,https://roic.ai/company/CBIO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,512973,475209,437445,184000,167000,149000,132000,115000,97000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,550737,512973,475209,437445,184000,167000,149000,132000,115000,97000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,38487000,54266000,59966000,51448000,3418000,- -,- -,- -,- -,- -,2543000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000,40000,12000,125000,125000,128000,543000,257000,528000,472000
45,Total Non-Current Assets,- -,- -,- -,2813435,2260497,2515564,6552000,6585000,4950000,44708000,59433000,61836000,52267000,3858000,823000,569000,404000,929000,2488000,5336000,4186000
46,Other Assets,24396000,54379000,47390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24396000,54379000,47390000,58203824,28001143,81368470,98964995,98551000,319379000,262787000,258126000,189579000,145873000,111999000,69521000,38090000,39513000,124920000,98554000,94846000,55662000
48,Accounts Payable,- -,- -,- -,1854138,1173545,1982180,2295912,1500000,1275000,4721000,3489000,2056000,1296000,405000,939000,837000,747000,1248000,4279000,5931000,6419000
49,Short-Term Debt,- -,- -,- -,1113350,783895,593330,918596,1390000,1442000,1710000,1241000,851000,853000,- -,33743000,19403000,5085000,- -,483000,663000,1977000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,2484877,6520840,6521000,77285000,81710000,57714000,2357000,- -,- -,438000,283000,212000,- -,15000000,1983000,230000
52,Other Current Liabilities,- -,- -,- -,2343483,3252394,3889114,5460643,4381000,21158000,10516000,16167000,6085000,8830000,2509000,2636000,1442000,2695000,3553000,9137000,9219000,5539000
53,Total Current Liabilities,- -,- -,- -,5310971,5209834,8949501,15195991,13792000,101160000,98657000,78611000,11349000,10979000,2914000,37756000,21965000,8739000,4801000,28899000,17796000,14165000
54,Long-Term Debt,- -,2088000,1462000,3443297,1409402,816072,1685874,3408000,1966000,1349000,1986000,1136000,283000,- -,- -,- -,- -,- -,- -,981000,408000
55,Deferred Revenue,- -,- -,- -,637524,- -,- -,- -,23978000,147262000,70934000,3241000,1179000,- -,- -,292000,47000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,171777896,183863030,6604167,30498835,- -,- -,- -,- -,- -,- -,- -,48000,7000,- -,174000,1319000,- -,- -
58,Total Non-Current Liabilities,- -,2088000,1462000,175858717,185272432,7420239,32184709,27386000,149228000,72283000,5227000,2315000,283000,- -,340000,54000,- -,174000,1319000,981000,408000
59,Other Liabilities,62664000,119802000,139648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1802000,1644000,- -
61,Total Liabilities,62664000,117714000,138186000,181169688,190482266,16369740,47380700,41178000,250388000,170940000,83838000,13664000,11262000,2914000,38096000,22019000,8739000,4975000,30218000,18777000,14573000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,257,270,19132,20504,25000,28000,29000,33000,34000,34000,34000,11000,1000,6000,12000,12000,22000,31000
64,Retained Earnings,-38691000,-63936000,-91672000,-134753508,-174983007,-136161659,-164234546,-189896000,-229300000,-218401000,-226930000,-233928000,-280633000,-313256000,-131037000,-147982000,-173494000,-203342000,-258520000,-314761000,-402694000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,213710,-5652425,-6514899,-8232000,-10049000,225000,36000,201000,87000,4000,1000,-1000,-2023000,-4000,34000,5000,- -
66,Other Total Stockholders Equity,423000,601000,876000,11787387,12287904,206793682,222313236,255476000,308312000,309994000,401149000,409608000,415123000,422303000,162450000,164053000,206285000,323279000,326810000,390803000,443752000
67,Total Stockholders Equity,-38268000,-63335000,-90796000,-122965864,-162481123,64998730,51584295,57373000,68991000,91847000,174288000,175915000,134611000,109085000,31425000,16071000,30774000,119945000,68336000,76069000,41089000
68,Total Liabilities And Stockholders Equity,24396000,54379000,47390000,58203824,28001143,81368470,98964995,98551000,319379000,262787000,258126000,189579000,145873000,111999000,69521000,38090000,39513000,124920000,98554000,94846000,55662000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24396000,54379000,47390000,58203824,28001143,81368470,98964995,98551000,319379000,262787000,258126000,189579000,145873000,111999000,69521000,38090000,39513000,124920000,98554000,94846000,55662000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1124105/000119312507061689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312508057411/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312509053737/0001193125-09-053737-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312510053929/0001193125-10-053929-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312511064202/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312512099259/0001193125-12-099259-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312513109464/0001193125-13-109464-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312514099974/d652731d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312515093871/d856974d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312516498295/0001193125-16-498295-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459017003722/0001564590-17-003722-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459018006216/0001564590-18-006216-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459019006879/0001564590-19-006879-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459020005546/0001564590-20-005546-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459021010823/0001564590-21-010823-index.htm,https://www.sec.gov/Archives/edgar/data/1124105/000156459022012877/0001564590-22-012877-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-24025389,-28991523,2096529,-28072887,-25661000,-39404000,10899000,-8529000,-6998000,-46705000,-32623000,-14762000,-16945000,-21561000,-30055000,-55178000,-56241000,-87933000
74,Depreciation and Amortization,- -,- -,- -,766335,803185,820920,907162,1800000,1835000,1997000,2480000,2212000,547000,351000,470000,389000,173000,149000,146000,138000,290000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101000,7000,72000,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2065000,2454000,4937000,8513000,7846000,5216000,3472000,326000,635000,863000,2606000,3204000,3627000,3405000
77,Change in Working Capital,- -,- -,- -,-1517697,-29548606,49372593,7313599,956996,135095000,-93847000,660000,-3688000,-33767000,22600000,-74285000,-15386000,14814000,88820000,-52023000,4547000,-34403000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,2125000,- -,- -,- -,- -,- -,- -,-79000,461000,7000,- -,-15000000,11687000,1495000
79,Inventory,- -,- -,- -,15880,60700,-131753,33280,40000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4273000,-102000,-90000,500000,3031000,1652000,500000
81,Other Working Capital,- -,- -,- -,50079418,20530812,69903405,77217004,78174000,213269000,119422000,120082000,116394000,82627000,105227000,30942000,15556000,30370000,119190000,67167000,71714000,37311000
82,Other Non-Cash Items,- -,- -,- -,-259877,31490428,-62182319,44690202,-7421996,-124251000,214312000,-86842000,-63510000,34090000,-28355000,69133000,12835000,-14229000,-90073000,60238000,-7119000,34886000
83,Cash Provided by Operating Activities,- -,- -,- -,-25036628,-26246516,-9892277,24838076,-28261000,-24271000,138298000,-83718000,-64239000,-40612000,-34483000,-19118000,-18472000,-19940000,-28553000,-43613000,-55048000,-83755000
84,CAPEX,- -,- -,- -,-660624,-250247,-1075987,-4943598,-2053000,-200000,-3311000,-1431000,-333000,-92000,-4000,-272000,-468000,-23000,-376000,-64000,-267000,-839000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23931000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-6191930,-25500000,-41191431,-151751107,-104800000,-31000000,-144012000,-156253000,-120972000,-57551000,-7169000,- -,-13401000,-25472000,-198912000,-129977000,-97635000,- -
87,Sales/Maturities of Investments,- -,- -,- -,37379107,25500000,29000000,130408543,101334000,41000000,84481000,100012000,159538000,69882000,40991000,13823000,10002000,14300000,127967000,157433000,107565000,49028000
88,Other Investing Activites,- -,- -,- -,38191,- -,- -,- -,- -,- -,43000,5000,1589000,1170000,38000,-125000,2559000,-57000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,30564744,-250247,-13267418,-26286162,-5519000,9800000,-62799000,-57667000,39822000,13409000,33856000,37357000,-1308000,-11252000,-71321000,27392000,9663000,48189000
90,Debt Repayment,- -,- -,- -,-730979,- -,- -,- -,-3106000,-1390000,-1577000,-1964000,-1240000,-851000,-1136000,-3020000,-14340000,-14318000,-5082000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,519054,636067,40836651,11911747,29385000,48568000,3292000,82646000,614000,299000,296000,- -,958000,15020000,106869000,327000,59941000,49250000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,36150000,-2363350,-783895,1195068,5300000,- -,4731000,2132000,- -,- -,3412000,12333000,14330000,34698000,9545000,- -,435000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,35938075,-1727283,40052756,13106815,31579000,47178000,6446000,82814000,-626000,-552000,2572000,9313000,948000,35400000,111332000,327000,60376000,49553000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,41466191,-28224046,16893061,11658729,-2201000,32707000,81945000,-58571000,-25043000,-27755000,1945000,27552000,-18832000,4208000,11458000,-15894000,14991000,13987000
98,Cash at the End of Period,- -,- -,- -,53075348,24851302,41744363,53403092,51202000,83909000,165854000,107283000,82240000,54485000,56430000,29096000,10264000,14472000,31263000,15369000,30360000,44347000
99,Cash at the Beginning of Period,- -,- -,- -,11609157,53075348,24851302,41744363,53403000,51202000,83909000,165854000,107283000,82240000,54485000,1544000,29096000,10264000,19805000,31263000,15369000,30360000
100,Free Cash Flow,- -,- -,- -,-25697252,-26496763,-10968264,19894478,-30314000,-24471000,134987000,-85149000,-64572000,-40704000,-34487000,-19390000,-18940000,-19963000,-28929000,-43677000,-55315000,-84594000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1124105/000119312507061689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312508057411/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312509053737/0001193125-09-053737-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312510053929/0001193125-10-053929-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312511064202/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312512099259/0001193125-12-099259-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312513109464/0001193125-13-109464-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000119312514099974/d652731d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312515093871/d856974d10k.htm,https://www.sec.gov/Archives/edgar/data/1124105/000119312516498295/0001193125-16-498295-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459017003722/0001564590-17-003722-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459018006216/0001564590-18-006216-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459019006879/0001564590-19-006879-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459020005546/0001564590-20-005546-index.html,https://www.sec.gov/Archives/edgar/data/1124105/000156459021010823/0001564590-21-010823-index.htm,https://www.sec.gov/Archives/edgar/data/1124105/000156459022012877/0001564590-22-012877-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
