,https://roic.ai/company/HLF,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,25127000,16618000,17466000,33560000,41306000,37499000,41229000,43574000,62905000,72011000,84032000,107500000,114100000,123900000,157300000,149500000,325300000,192700000,196500000
58,Total Non-Current Liabilities,389954000,512890000,383456000,339551000,509381000,477688000,356773000,274192000,337332000,566298000,1000077000,1834500000,1507000000,1577600000,2323000000,1924400000,2104200000,2804900000,3130900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207300000,242200000,245100000
61,Total Liabilities,666176000,884359000,668913000,663043000,884999000,879587000,786739000,745008000,886021000,1283189000,1922255000,2709300000,2531400000,2369100000,3229800000,3513200000,3068600000,3932200000,4211300000
62,Preferred Stock,102000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,137000,140000,143000,129000,123000,120000,118000,116000,107000,101000,100000,100000,100000,100000,100000,100000,100000,100000
64,Retained Earnings,50852000,-14311000,78829000,221774000,25190000,72507000,159705000,257004000,305931000,148368000,247279000,-665400000,-326300000,-66300000,-248100000,-526300000,-215300000,-687400000,-1169000000
65,Other Comprehensive Income/Loss,3427000,3923000,605000,-782000,-3947000,-28614000,-23396000,-27285000,-37809000,-31695000,-19794000,-78200000,-165500000,-205100000,-165400000,-209800000,-212500000,-182200000,-211800000
66,Other Total Stockholders Equity,204543000,74593000,89314000,132755000,160872000,197715000,222882000,257375000,291950000,303975000,323860000,409100000,438200000,467600000,78700000,12600000,37700000,13400000,- -
67,Total Stockholders Equity,237788000,64342000,168888000,353890000,182244000,241731000,359311000,487212000,560188000,420755000,551446000,-334400000,-53500000,196300000,-334700000,-723400000,-390000000,-856100000,-1391500000
68,Total Liabilities And Stockholders Equity,903964000,948701000,837801000,1016933000,1067243000,1121318000,1146050000,1232220000,1446209000,1703944000,2473701000,2374900000,2477900000,2565400000,2895100000,2789800000,2678600000,3076100000,2819800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,903964000,948701000,837801000,1016933000,1067243000,1121318000,1146050000,1232220000,1446209000,1703944000,2473701000,2374900000,2477900000,2565400000,2895100000,2789800000,2678600000,3076100000,2819800000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1180262/000104746905006359/0001047469-05-006359-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095014806000008/0000950148-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095013707002811/0000950137-07-002811-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095012408000865/0000950124-08-000865-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095013409003593/0000950134-09-003593-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095012310015793/0000950123-10-015793-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095012311016549/0000950123-11-016549-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312512070421/0001193125-12-070421-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312513065327/0001193125-13-065327-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312514057107/0001193125-14-057107-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312515065723/0001193125-15-065723-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459016013384/0001564590-16-013384-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459017002230/0001564590-17-002230-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459018002880/0001564590-18-002880-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459019003287/0001564590-19-003287-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459020005039/0001564590-20-005039-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312521046519/0001193125-21-046519-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095017022001787/0000950170-22-001787-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,36847000,-14311000,93140000,143139000,191451000,221190000,203346000,290533000,412578000,477190000,527525000,308700000,339100000,260000000,213900000,296600000,311000000,372600000,447200000
74,Depreciation and Amortization,62644000,50752000,36833000,30335000,35450000,48732000,62437000,68621000,71853000,74384000,84739000,93200000,98000000,98300000,99800000,100400000,97700000,100300000,107600000
75,Deferred Income Tax,-12160000,3618000,-12455000,-19544000,3344000,-4103000,-11226000,-24631000,-12984000,-9050000,-24910000,-84800000,-38200000,-36400000,97800000,-8100000,15400000,2000000,-33300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,17788000,20907000,22969000,24133000,27906000,29492000,45700000,44900000,40200000,42100000,35500000,38600000,51000000,54100000
77,Change in Working Capital,-1193000,-3077000,15650000,118121000,-20737000,-28609000,667000,41234000,95360000,26827000,473985000,-202342000,23300000,129100000,282500000,-737300000,307600000,124700000,-218300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,592000,-7569000,-40247000,-29943000,26765000,-27572000,-1742000,-31516000,-84880000,-82177000,-39878000,-99400000,-30500000,-71600000,37900000,-83300000,-68600000,-76600000,-129100000
80,Accounts Payable,- -,- -,- -,- -,- -,8922000,-9500000,6650000,15427000,17034000,10844000,-5200000,6000000,-1300000,-5000000,21700000,100000,5500000,6900000
81,Other Working Capital,1521000,-1556000,14094000,132215000,111478000,82869000,83536000,124770000,220130000,246957000,720942000,518600000,541900000,671000000,953500000,216200000,523800000,648500000,-5400000
82,Other Non-Cash Items,8510000,43241000,10184000,-87604000,61303000,17990000,8925000,-18324000,-81609000,-29473000,-317956000,350942000,161600000,-123900000,-145300000,961300000,-312800000,-22000000,103000000
83,Cash Provided by Operating Activities,94648000,80223000,143352000,184447000,270811000,272988000,285056000,380402000,509331000,567784000,772875000,511400000,628700000,367300000,590800000,648400000,457500000,628600000,460300000
84,CAPEX,-13601000,-23081000,-31536000,-62460000,-41942000,-88601000,-59768000,-68125000,-90408000,-121524000,-146958000,-173700000,-79000000,-143400000,-95500000,-84000000,-106100000,-112000000,-151400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1975000,- -,-4050000,-12600000,-100000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,1268000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,15187000,13703000,-990000,-4348000,-1448000,3637000,-1554000,-1011000,297000,-3476000,186000,-15000000,5700000,2100000,-2300000,100000,-1900000,-11200000,-5000000
89,Cash Used for Investing Activites,2854000,-9378000,-32526000,-66808000,-43390000,-84964000,-71322000,-69136000,-92086000,-125000000,-150822000,-201300000,-73400000,-141300000,-97800000,-83900000,-108000000,-123200000,-156400000
90,Debt Repayment,- -,- -,- -,- -,- -,-167556000,-313089000,-499451000,-888865000,-1146580000,-319483000,-131300000,-227600000,-438800000,-494500000,-1819900000,-699500000,-24500000,-984200000
91,Common Stock Issued,4206000,203108000,2131000,11773000,13747000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-365783000,-138921000,-74641000,-160008000,-321639000,-556727000,-306441000,-1291900000,-16600000,-13200000,-844200000,-750300000,-16700000,-923500000,-1011300000
93,Dividends Paid,- -,-184538000,- -,- -,-41535000,-50700000,-48721000,-53740000,-85489000,-135091000,-123055000,-30400000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-23037000,-40551000,-228021000,-66817000,190060000,152110000,223124000,458719000,958194000,1467157000,779721000,1064100000,-5800000,199700000,1253500000,1977100000,3200000,627100000,1266900000
95,Cash Used/Provided by Financing Activities,-18831000,-21981000,-225890000,-55044000,-203511000,-205067000,-213327000,-254480000,-337799000,-371241000,30742000,-389500000,-250000000,-252300000,-85200000,-593100000,-713000000,-320900000,-728600000
96,Effect of Forex Changes on Cash,7807000,2034000,1735000,3480000,9174000,-19517000,-453000,-17037000,-11221000,3216000,-13355000,-248200000,-60900000,-19500000,27000000,-51900000,-4000000,22000000,-18900000
97,Net Change In Cash,86478000,50898000,-113329000,66075000,33084000,-36560000,-46000,39749000,68225000,74759000,639440000,-327600000,244400000,-45800000,434800000,-80500000,-367500000,206500000,-443600000
98,Cash at the End of Period,150679000,201577000,88248000,154323000,187407000,150847000,150801000,190550000,258775000,333534000,972974000,645400000,889800000,844000000,1278800000,1215000000,847500000,1054000000,610400000
99,Cash at the Beginning of Period,64201000,150679000,201577000,88248000,154323000,187407000,150847000,150801000,190550000,258775000,333534000,973000000,645400000,889800000,844000000,1295500000,1215000000,847500000,1054000000
100,Free Cash Flow,81047000,57142000,111816000,121987000,228869000,184387000,225288000,312277000,418923000,446260000,625917000,337700000,549700000,223900000,495300000,564400000,351400000,516600000,308900000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1180262/000104746905006359/0001047469-05-006359-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095014806000008/0000950148-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095013707002811/0000950137-07-002811-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095012408000865/0000950124-08-000865-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095013409003593/0000950134-09-003593-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095012310015793/0000950123-10-015793-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095012311016549/0000950123-11-016549-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312512070421/0001193125-12-070421-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312513065327/0001193125-13-065327-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312514057107/0001193125-14-057107-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312515065723/0001193125-15-065723-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459016013384/0001564590-16-013384-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459017002230/0001564590-17-002230-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459018002880/0001564590-18-002880-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459019003287/0001564590-19-003287-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000156459020005039/0001564590-20-005039-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000119312521046519/0001193125-21-046519-index.htm,https://www.sec.gov/Archives/edgar/data/1180262/000095017022001787/0000950170-22-001787-index.htm
102,false,,,,,,,,,,,,,,,,,,,
