,https://roic.ai/company/HELE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.08,0.18,0.21,0.31,0.33,0.16,0.26,0.45,0.26,0.41,0.49,1.24,0.77,0.96,0.44,0.60,1.00,1.31,1.94,2.35,1.56,1.58,1.93,-1.88,2.32,2.98,3.48,3.62,2.66,4.52,3.52,5.04,1.63,6.41,6.02,10.08
27,Weighted Average Shares Outstanding,17500000,19444444,20400000,22051282,33030303,28750000,27692308,28666667,26785714,25454545,25686275,13884804,26856463,28278545,29052788,28420073,28089072,28188747,28356000,29710000,29919000,30122000,30531000,30173000,30217000,30669000,31340000,31754000,32272519,28579000,27735034,27522000,26575634,24946046,25193766,24405921
28,Weighted Average Shares Outstanding Diluted,17500000,19444444,24285714,27741935,33030303,28750000,27692308,28666667,28846154,27317073,26734694,27500000,28850689,29596189,29885260,28728762,29198972,29547845,31261000,32589000,31605000,31717000,31798000,30173000,30921000,31355000,31705000,31936000,32344000,29035000,28749000,27891000,27254000,26303000,25322000,25196000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916789/000095013403008672/0000950134-03-008672-index.html,https://www.sec.gov/Archives/edgar/data/916789/000095013404007667/0000950134-04-007667-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000095013405010305/0000950134-05-010305-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000095013406010002/0000950134-06-010002-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000114420407025150/0001144204-07-025150-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465908032699/0001104659-08-032699-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465909032574/0001104659-09-032574-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465910028183/0001104659-10-028183-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465911029322/0001104659-11-029322-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465912030645/0001104659-12-030645-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465913034243/0001104659-13-034243-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465914031704/0001104659-14-031704-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837015000587/0001558370-15-000587-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837016005055/0001558370-16-005055-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837017003176/0001558370-17-003176-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837018003549/0001558370-18-003549-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678919000008/0000916789-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678920000024/0000916789-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678921000034/0000916789-21-000034-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2100000,4800000,6900000,12300000,12800000,17100000,25800000,29700000,35200000,31900000,44200000,25800000,55700000,33700000,34300000,25900000,64300000,47400000,53000000,21800000,18300000,35500000,57900000,101300000,20300000,23000000,19200000,10700000,277848000,12300000,13836000,23848000,20700000,11871000,24467000,45120000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2000000,100000,1400000,700000,200000,100000,55900000,63900000,600000,88800000,2800000,22421000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2100000,4800000,6900000,12300000,12800000,17100000,25800000,29700000,35200000,31900000,44200000,25800000,55700000,33700000,35300000,27900000,64400000,48800000,53700000,22000000,18400000,91400000,121800000,101900000,109100000,25800000,41621000,10700000,277848000,12300000,13836000,23848000,20700000,11871000,24467000,45120000
34,Net Receivables,8600000,10200000,15100000,21200000,22300000,18000000,18400000,22400000,18900000,25200000,28900000,37000000,44600000,59800000,52900000,64300000,69900000,57200000,72800000,111700000,107300000,115900000,106500000,107600000,110300000,190800000,195300000,221500000,217899000,222900000,- -,231658000,275900000,280280000,348023000,389169000
35,Inventory,10700000,11700000,21800000,29300000,45300000,61600000,49000000,41000000,39500000,46100000,48600000,68300000,71400000,90300000,97000000,118500000,100300000,100800000,104100000,137500000,168400000,144100000,144900000,169800000,124000000,217200000,246100000,280900000,301609000,293100000,301609000,280877000,251500000,302339000,256311000,481611000
36,Other Current Assets,900000,- -,1400000,3100000,3400000,3200000,2300000,1700000,1300000,500000,1200000,2100000,5200000,5900000,8800000,9700000,9100000,11600000,13100000,15000000,17100000,21800000,22600000,18000000,16000000,26700000,5479000,32100000,-42268000,36500000,457279000,19695000,9600000,10369000,54035000,56037000
37,Total Current Assets,22300000,26700000,45200000,65900000,83800000,99900000,95500000,94800000,94900000,103700000,122900000,133200000,176900000,189700000,194000000,220400000,243700000,218400000,243700000,286200000,311200000,373200000,395800000,397300000,359400000,460500000,488500000,545200000,755088000,564800000,772724000,556078000,557700000,604859000,682836000,971937000
38,PP&E,1200000,1200000,3200000,3600000,5900000,7000000,6800000,13100000,11600000,11600000,15800000,25800000,26300000,42500000,47700000,47800000,45700000,62800000,68800000,71600000,100700000,96700000,91600000,83900000,82100000,82500000,100700000,101700000,130465000,126100000,130465000,126502000,123500000,130338000,164752000,169068000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,39100000,40900000,42800000,40800000,35100000,52800000,201200000,201000000,201000000,212900000,166100000,185900000,356200000,452400000,453200000,583005000,549700000,583005000,602320000,602300000,602320000,739901000,739901000
40,Intangible Assets,1400000,3600000,3300000,3000000,2700000,2400000,2000000,9200000,9700000,8900000,8200000,9900000,9000000,8000000,5500000,7800000,6800000,44400000,81300000,204000000,201300000,199100000,202400000,143700000,177100000,304700000,377200000,355600000,375751000,389300000,375751000,336004000,302900000,291526000,300952000,357264000
41,Intangible Assets,1400000,3600000,3300000,3000000,2700000,2400000,2000000,9200000,9700000,8900000,8200000,9900000,19900000,47100000,46400000,50600000,47600000,79500000,134100000,405200000,402300000,400100000,415300000,309800000,363000000,660900000,829600000,808800000,958756000,939000000,958756000,938324000,905200000,893846000,1040853000,1097165000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19973000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,1700000,400000,- -,1200000,23200000,60600000,58000000,27364000,52700000,- -,20091000,7100000,5748000,4224000,21748000
44,Other Non-Current Assets,200000,200000,1800000,1900000,7000000,7400000,7600000,5600000,6900000,9000000,8000000,13300000,4500000,14700000,16200000,18400000,20600000,44900000,43000000,48400000,43400000,34600000,8900000,11127000,29000000,13400000,-43700000,-39700000,-22779000,-28800000,7698000,172101000,30200000,14744000,11218000,3570000
45,Total Non-Current Assets,2800000,5000000,8300000,8500000,15600000,16800000,16400000,27900000,28200000,29500000,32000000,49000000,50700000,104300000,110300000,116800000,113900000,187200000,245900000,525200000,546500000,533100000,516200000,424800000,475300000,780000000,947200000,928800000,1093806000,1089000000,1096919000,1257018000,1066000000,1044676000,1221047000,1291551000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25100000,31700000,53500000,74400000,99400000,116700000,111900000,122700000,123100000,133200000,154900000,182200000,227600000,294000000,304300000,337200000,357600000,405600000,489600000,811400000,857700000,906300000,912000000,822100000,834700000,1240500000,1435700000,1474000000,1848894000,1653800000,1869643000,1813096000,1623700000,1649535000,1903883000,2263488000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,3100000,3300000,3100000,2400000,1000000,2600000,1400000,1600000,6300000,21000000,11500000,16400000,15600000,34200000,30200000,37800000,42800000,34000000,35000000,73300000,69800000,72300000,103713000,98600000,103713000,105652000,129300000,143560000,152674000,334807000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,10000000,450000,10000000,- -,- -,10000000,10000000,10000000,10000000,3000000,78000000,3000000,124000000,174100000,102000000,96900000,21900000,23800000,24404000,1884000,1884000,1884000,1884000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,352000,5729000,6835000,6850000,6938000,6564000,- -,1427000,1181000,7022000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5930000,7655000,10690000,13479000,16419000,13010000,- -,- -,5070000,-12061000,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13100000,14300000,10100000,22400000,36700000,57700000,42600000,39200000,34300000,42200000,11300000,14700000,21200000,27100000,32850000,31600000,40700000,38600000,45770000,78545000,74710000,73821000,57281000,39090000,67300000,141600000,129930000,146461000,66989000,141400000,141245000,159311000,168316000,166587000,184338000,278201000
53,Total Current Liabilities,13100000,14300000,10100000,22400000,36700000,57700000,45700000,42500000,37400000,44600000,12300000,21300000,22600000,38700000,39600000,62600000,52200000,55000000,77300000,130400000,125600000,135100000,119500000,164100000,105300000,338900000,378900000,308700000,267602000,261900000,268758000,289367000,299500000,312031000,338896000,614892000
54,Long-Term Debt,- -,1100000,21600000,1100000,900000,200000,200000,- -,- -,- -,40500000,40500000,55500000,55500000,55000000,55000000,55000000,55000000,45000000,260000000,255000000,240000000,212000000,134000000,131000000,178000000,175000000,155000000,597270000,411300000,23800000,461211000,288000000,318900000,337421000,380098000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60576000,57991000,56988000,52711000,44120000,20091000,7096000,5748000,4224000,5735000
57,Other Non-Current Liabilities,200000,-100000,100000,- -,- -,- -,- -,- -,- -,- -,200000,-100000,- -,- -,- -,- -,- -,6000000,17200000,500000,1800000,3800000,12100000,15300000,14700000,38100000,24524000,25709000,-3009000,23289000,602922000,21661000,14704000,16219000,61619000,23416000
58,Total Non-Current Liabilities,200000,1000000,21700000,1100000,900000,200000,200000,- -,- -,- -,40700000,40400000,55500000,55500000,55000000,55000000,55000000,61000000,62200000,260500000,256800000,243800000,224100000,149300000,145700000,216100000,260100000,238700000,651249000,487300000,670842000,502963000,309800000,340867000,403264000,409249000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40861000,38352000
61,Total Liabilities,13300000,15300000,31800000,23500000,37600000,57900000,45900000,42500000,37400000,44600000,53000000,61700000,78100000,94200000,94600000,117600000,107200000,116000000,139500000,390900000,382400000,378900000,343600000,313400000,251000000,555000000,639000000,547400000,918851000,749200000,939600000,792330000,609300000,652898000,742160000,1024141000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,2700000,2900000,2900000,2800000,2800000,2800000,2900000,3000000,3000000,3000000,3000000,3000000,3100000,3100000,3200000,3200000,2774000,2800000,- -,2703000,2700000,2495000,2519000,2441000
64,Retained Earnings,1400000,5600000,10700000,19300000,30200000,34800000,41900000,54800000,57700000,62300000,75400000,92500000,114900000,143200000,153200000,169500000,195500000,233800000,274400000,331600000,380900000,431000000,473400000,410400000,468500000,560300000,648100000,761700000,728527000,721900000,728527000,798130000,780500000,746366000,898166000,965166000
65,Other Comprehensive Income/Loss,-700000,-800000,-1000000,-1300000,-1800000,-2500000,-3000000,-3100000,-2700000,-3300000,-3200000,-4000000,-4900000,-6900000,-6200000,-9800000,-2800000,-976000,-918000,-1784000,1160000,-1566000,-8351000,-10294000,-8574000,-7850000,-5589000,-2729000,-1091000,-76000,665000,1173000,631000,1191000,-7005000,-11656000
66,Other Total Stockholders Equity,11100000,11600000,12000000,32900000,33400000,26500000,27100000,28500000,30700000,29600000,29700000,30700000,36800000,60600000,59724000,57109000,54826000,53978000,73721000,87711000,90317000,94983000,100327000,105587000,120746000,129999000,151018000,164435000,299277000,179941000,200516000,218760000,230628000,246585000,268043000,283396000
67,Total Stockholders Equity,11800000,16400000,21700000,50900000,61800000,58800000,66000000,80200000,85700000,88600000,101900000,120500000,149500000,199800000,209624000,219609000,250326000,289602000,350103000,420527000,475377000,527417000,568376000,508693000,583772000,685549000,796729000,926606000,1029487000,904565000,930043000,1020766000,1014459000,996637000,1161723000,1239347000
68,Total Liabilities And Stockholders Equity,25100000,31700000,53500000,74400000,99400000,116700000,111900000,122700000,123100000,133200000,154900000,182200000,227600000,294000000,304224000,337209000,357526000,405602000,489603000,811427000,857777000,906317000,911976000,822093000,834772000,1240549000,1435729000,1474006000,1948338000,1653765000,1869643000,1813096000,1623759000,1649535000,1903883000,2263488000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000,-9000,74000,-2000,-3000,-27000,-77000,-17000,24000,7000,-72000,-49000,-29000,-6000,-99444000,35000,- -,- -,-59000,- -,- -,- -
70,Total Liabilities & Equity,25100000,31700000,53500000,74400000,99400000,116700000,111900000,122700000,123100000,133200000,154900000,182200000,227600000,294000000,304300000,337200000,357600000,405600000,489600000,811400000,857700000,906300000,912000000,822100000,834700000,1240500000,1435700000,1474000000,1848894000,1653800000,1869643000,1813096000,1623700000,1649535000,1903883000,2263488000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916789/000095013403008672/0000950134-03-008672-index.html,https://www.sec.gov/Archives/edgar/data/916789/000095013404007667/0000950134-04-007667-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000095013405010305/0000950134-05-010305-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000095013406010002/0000950134-06-010002-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000114420407025150/0001144204-07-025150-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465908032699/0001104659-08-032699-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465909032574/0001104659-09-032574-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465910028183/0001104659-10-028183-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465911029322/0001104659-11-029322-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465912030645/0001104659-12-030645-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465913034243/0001104659-13-034243-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000110465914031704/0001104659-14-031704-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837015000587/0001558370-15-000587-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837016005055/0001558370-16-005055-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837017003176/0001558370-17-003176-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000155837018003549/0001558370-18-003549-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678919000008/0000916789-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678920000024/0000916789-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/916789/000091678921000034/0000916789-21-000034-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,7200000,12900000,7500000,11200000,13100000,17200000,22300000,28300000,13100000,17300000,29200000,38700000,60500000,76500000,49300000,50100000,61500000,-56800000,71800000,93300000,110400000,115700000,86200000,131164000,101228000,140689000,44446000,168545000,152333000,253946000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,2000000,1900000,1600000,2000000,2200000,2700000,4000000,5000000,6921000,8137000,8630000,6558000,6128000,9708000,12427000,14301000,14298000,14185000,15261000,18502000,30178000,35328000,34750000,39653000,42749000,44341000,33730000,29927000,39091000,37718000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-100000,- -,300000,-400000,-500000,-200000,-500000,-1112000,-2148000,1391000,2580000,-1791000,-1725000,-2954000,-677000,1377000,2379000,3316000,2219000,5070000,-12061000,-10109000,-1830000,-464000,-7254000,21264000,7636000,-5696000,-4400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1488000,1744000,2017000,2928000,5913000,31683000,5974000,8483000,15498000,15054000,22053000,22929000,26418000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,13700000,2500000,5200000,1600000,51500000,1300000,42400000,-3300000,3400000,3400000,33700000,-28100000,3000000,-10600000,29800000,52500000,38200000,-43100000,20900000,-132500000,-12000000,126900000,250986000,-184586000,201066000,-237255000,-8511000,34628000,51112000,13105000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3417000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,12600000,8100000,1500000,-7500000,-2500000,-19700000,-3100000,-15700000,-6671000,-20011000,18238000,-11660000,-3279000,-33418000,-30926000,24331000,7039000,-24265000,45653000,-26049000,-28912000,-34625000,-8383000,2274000,-17606000,18967000,29366000,-50828000,45482000,-220817000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8130000,-3476000,2507000,3733000,16502000,7044000,5797000,23689000,14219000,7166000,175784000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,49800000,52300000,57500000,59100000,110600000,111900000,154300000,151000000,154400000,157800000,191500000,163400000,166400000,155800000,185600000,238100000,276300000,233200000,254100000,121600000,109600000,236500000,487486000,302900000,503966000,266711000,258200000,292828000,343940000,357045000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,1500000,100000,-500000,-15200000,-63000000,-18800000,-50900000,-17800000,6321000,-26874000,-20332000,23775000,8376000,-28515000,-53818000,-25818000,-5469000,103775000,39078000,103892000,-32696000,-184222000,-239345000,188228000,-167801000,272482000,118224000,-67486000,11524000,-12681000
