,https://roic.ai/company/ENR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,- -,501100000,470200000,1689700000,1761500000,1738500000,3154300000,4905800000,5419200000,4651800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,600000,600000,600000,600000,700000,700000,700000
64,Retained Earnings,- -,- -,- -,6900000,70900000,198700000,177300000,129500000,-66200000,-5000000
65,Other Comprehensive Income/Loss,- -,-34600000,-31700000,-249300000,-266100000,-238800000,-241800000,-298300000,-307700000,-230400000
66,Other Total Stockholders Equity,- -,1604400000,1547800000,181700000,164600000,124600000,88400000,711900000,682300000,- -
67,Total Stockholders Equity,- -,737700000,724500000,-60100000,-30000000,85100000,24500000,543800000,309100000,355700000
68,Total Liabilities And Stockholders Equity,- -,1238800000,1194700000,1629600000,1731500000,1823600000,3178800000,5449600000,5728300000,5007500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1238800000,1194700000,1629600000,1731500000,1823600000,3178800000,5449600000,5728300000,5007500000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1632790/000163279015000044/0001632790-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279016000150/0001632790-16-000150-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279017000087/0001632790-17-000087-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279018000107/0001632790-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279019000080/0001632790-19-000080-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279020000094/0001632790-20-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1632790/000163279021000128/0001632790-21-000128-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,187000000,114900000,157300000,-4000000,127700000,201500000,93500000,51100000,-93300000,160900000
74,Depreciation and Amortization,56800000,55900000,42200000,41800000,34300000,50200000,45100000,92800000,111900000,118500000
75,Deferred Income Tax,-19300000,-12800000,5600000,-7100000,4200000,-4400000,34900000,-33700000,-34800000,-62900000
76,Stock Based Compensation,20700000,16000000,13200000,13500000,20400000,24300000,28200000,27100000,24500000,10200000
77,Change in Working Capital,54000000,357900000,8800000,292000000,-302300000,81800000,-18300000,547900000,-405300000,-169300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,17200000,5000000,35500000,-100000,11900000,-30700000,-12100000,-15200000,-39800000,-211800000
80,Accounts Payable,27900000,12300000,10700000,-18200000,43700000,13400000,4400000,5200000,76200000,51400000
81,Other Working Capital,- -,357900000,366700000,658700000,356400000,438200000,419900000,967800000,562500000,- -
82,Other Non-Cash Items,-13900000,-202300000,-7200000,-174400000,309600000,-156200000,45300000,-535700000,773400000,122300000
83,Cash Provided by Operating Activities,285300000,329600000,219900000,161800000,193900000,197200000,228700000,149500000,376400000,179700000
84,CAPEX,-38100000,-17800000,-28400000,-40400000,-28700000,-25200000,-24200000,-55100000,-65300000,-64900000
85,Acquisitions Net,- -,- -,- -,-12100000,-344000000,- -,-38100000,-2460000000,-5100000,-67200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-20800000,-16800000,-22800000,13700000,1500000,27200000,6100000,200000,222000000,-59200000
89,Cash Used for Investing Activites,-20800000,-16800000,-22800000,-38800000,-371200000,2000000,-56200000,-2514900000,216900000,-126400000
90,Debt Repayment,- -,- -,- -,-1000000,-3000000,-4000000,-4000000,-529500000,-1393500000,-2773800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,205300000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-31800000,-59500000,-70000000,-45000000,-45000000,-96300000
93,Dividends Paid,- -,- -,- -,-15500000,-62700000,-69100000,-70000000,-91000000,-101600000,-100100000
94,Other Financing Activites,-255600000,-301200000,-185500000,325700000,52100000,25700000,1370300000,1732300000,1933200000,1901100000
95,Cash Used/Provided by Financing Activities,-255600000,-301200000,-185500000,309200000,-45400000,-106900000,1226300000,1272100000,393100000,-1069100000
96,Effect of Forex Changes on Cash,-300000,-300000,- -,-19700000,7900000,-1600000,-8500000,-9100000,4900000,4900000
97,Net Change In Cash,8600000,11300000,11600000,412500000,-214800000,90700000,1390300000,-1509800000,991300000,-1010900000
98,Cash at the End of Period,66700000,78000000,89600000,502100000,287300000,378000000,1768300000,258500000,1249800000,238900000
99,Cash at the Beginning of Period,58100000,66700000,78000000,89600000,502100000,287300000,378000000,1768300000,258500000,1249800000
100,Free Cash Flow,247200000,311800000,191500000,121400000,165200000,172000000,204500000,94400000,311100000,114800000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1632790/000163279015000044/0001632790-15-000044-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279016000150/0001632790-16-000150-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279017000087/0001632790-17-000087-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279018000107/0001632790-18-000107-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279019000080/0001632790-19-000080-index.html,https://www.sec.gov/Archives/edgar/data/1632790/000163279020000094/0001632790-20-000094-index.htm,https://www.sec.gov/Archives/edgar/data/1632790/000163279021000128/0001632790-21-000128-index.htm
102,false,,,,,,,,,,
