5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,272400000,396800000,551800000,863900000,975200000,914800000,883300000,961800000,930700000,945900000,946800000,967000000,976700000,1002400000,1159007000,1225290000,1215923000,1329886000,1549702000,1736692000,41118000,67827000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,930694000,928333000,946769000,966982000,23976000,24817000,23421000,23254000,27231000,25923000,30672000,32966000,41118000,67827000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21175123000,23486609000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,77000000,72000000,209000000,185000000,185000000,107000000,250000000,251000000,206000000,248000000,258000000,449000000,537000000,611000000,437474000,283658000,481922000,635067000,656095000,808036000,21976774000,24927470000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,- -,47000000,32000000,145000000,148000000,42000000,68000000,- -,- -,- -,- -,- -,- -,- -,4692370000,5349333000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-175686000,-173470000,-169030000,-236043000,-283064000,-224286000,-378082000,-390635000,-475203000,-588424000,-594404000,-420039000,-265986000,-464439000,-616441000,-637662000,-787288000,-26643683000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,9314000,11530000,12970000,13957000,14936000,13714000,14918000,15365000,15797000,16576000,16596000,17435000,17672000,17483000,18626000,18433000,20748000,25461000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161435000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
