,https://roic.ai/company/DCP,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,28300000,29100000,33900000,42200000,52000000,86000000,92000000,94000000,289000000,269000000,304000000,302000000,299000000
14,Depreciation and Amortization,11300000,- -,15500000,17000000,11700000,12800000,24400000,36500000,64900000,73700000,81000000,63400000,93000000,110000000,120000000,122000000,379000000,388000000,404000000,376000000,364000000
15,EBITDA,26300000,15100000,43000000,37400000,49700000,45800000,8700000,162300000,74700000,151100000,215900000,274600000,334000000,625000000,435000000,528000000,899000000,958000000,724000000,372000000,1060000000
16,EBITDA ratio,0.0756,0.0273,0.0562,0.0734,0.0633,0.0576,0.0099,0.1259,0.0793,0.1190,0.1375,0.1663,0.1127,0.1792,0.2399,0.3481,0.1062,0.0975,0.0950,0.0590,0.0990
17,Operating Income,13600000,14600000,16300000,24200000,37900000,37900000,34000000,122600000,-700000,62800000,116800000,187300000,225000000,454000000,147000000,198000000,222000000,223000000,-150000000,-447000000,165000000
18,Operating Income ratio,0.0391,0.0264,0.0213,0.0475,0.0483,0.0476,0.0387,0.0951,-0.0007,0.0495,0.0744,0.1135,0.0759,0.1302,0.0811,0.1305,0.0262,0.0227,-0.0197,-0.0709,0.0154
19,Total Other Income Expenses (Gains),- -,500000,11200000,- -,-300000,400000,-49700000,3200000,-9500000,-5300000,3000000,-13300000,-19000000,-11000000,81000000,120000000,14000000,82000000,170000000,145000000,236000000
20,Income Before Tax,- -,15100000,27500000,- -,- -,- -,-15700000,125800000,-10200000,57500000,119800000,174000000,206000000,443000000,228000000,318000000,236000000,305000000,20000000,-302000000,401000000
21,Income Before Tax Ratio,- -,0.0273,0.0359,- -,- -,- -,-0.0179,0.0976,-0.0108,0.0453,0.0763,0.1054,0.0695,0.1270,0.1258,0.2096,0.0279,0.0311,0.0026,-0.0479,0.0375
22,Income Tax expense (Gain),- -,1100000,3600000,- -,- -,- -,100000,100000,600000,300000,600000,1000000,8000000,6000000,-5000000,- -,2000000,3000000,-1000000,- -,6000000
23,Net Income,15000000,14000000,23900000,20400000,38000000,33000000,-15800000,125700000,-19100000,48000000,100400000,168000000,181000000,423000000,228000000,312000000,229000000,298000000,17000000,-306000000,391000000
24,Net Income ratio,0.0431,0.0253,0.0312,0.0400,0.0484,0.0415,-0.0180,0.0975,-0.0203,0.0378,0.0640,0.1018,0.0611,0.1213,0.1258,0.2057,0.0271,0.0303,0.0022,-0.0486,0.0365
25,EPS,0.86,0.80,1.37,1.17,0.20,1.90,-1.05,3.25,-0.99,0.86,1.73,2.28,1.34,2.84,0.91,1.64,0.43,0.61,-1.05,-1.75,1.59
26,EPS Diluted,0.86,0.80,1.37,1.17,0.20,1.90,-1.05,3.25,-0.99,0.86,1.72,2.28,1.34,2.84,0.91,1.64,0.43,0.61,-1.05,-1.75,1.59
27,Weighted Average Shares Outstanding,17500000,17500000,17500000,17500000,17500000,17500000,20500000,27400000,31200000,36100000,43500000,54500000,78400000,106600000,114600000,114700000,143300000,143300000,153100000,208300000,208400000
28,Weighted Average Shares Outstanding Diluted,17500000,17500000,17500000,17500000,17500000,17500000,20500000,27400000,31200000,36100000,43600000,54500000,78400000,106600000,114600000,114700000,143300000,143300000,153100000,208300000,208600000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338065/000103570406000138/0001035704-06-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1338065/000095013407005634/d44367e10vk.htm,https://www.sec.gov/Archives/edgar/data/1338065/000103570408000109/d54670e10vk.htm,https://www.sec.gov/Archives/edgar/data/1338065/000095013409004580/0000950134-09-004580-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312510053973/0001193125-10-053973-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312511051867/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000119312512088587/0001193125-12-088587-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312513079947/0001193125-13-079947-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806514000008/dpm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806515000017/dpm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806516000076/0001338065-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806517000014/0001338065-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806518000006/0001338065-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806519000006/0001338065-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806520000008/0001338065-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806521000010/0001338065-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806522000009/0001338065-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,42200000,46200000,24500000,48000000,2100000,6700000,6700000,1300000,12000000,25000000,2000000,1000000,156000000,1000000,1000000,52000000,1000000
32,Short-Term Investments,- -,- -,- -,- -,- -,600000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,42200000,46800000,25800000,48000000,2100000,6700000,6700000,1300000,12000000,25000000,2000000,1000000,156000000,1000000,1000000,52000000,1000000
34,Net Receivables,- -,- -,- -,61000000,82000000,78200000,133800000,80400000,152500000,151000000,161400000,181300000,342000000,270000000,154000000,156000000,981000000,1033000000,878000000,820000000,1425000000
35,Inventory,- -,- -,- -,- -,100000,30100000,37300000,20900000,34200000,65200000,64700000,74700000,67000000,63000000,43000000,44000000,68000000,79000000,46000000,38000000,77000000
36,Other Current Assets,- -,- -,- -,100000,200000,4500000,21600000,15900000,8900000,10200000,7100000,51800000,82000000,232000000,107000000,26000000,117000000,158000000,155000000,98000000,246000000
37,Total Current Assets,- -,- -,- -,61100000,124500000,159600000,218500000,165200000,197700000,233100000,239900000,309100000,503000000,590000000,306000000,227000000,1322000000,1271000000,1080000000,1008000000,1749000000
38,PP&E,187200000,201800000,189600000,172000000,168900000,194700000,500700000,629300000,1000100000,1169100000,1181800000,1727400000,3005000000,3347000000,3476000000,3272000000,8983000000,9135000000,8918000000,8078000000,7805000000
39,Goodwill,- -,- -,- -,- -,- -,29300000,80200000,88800000,92100000,99700000,141900000,153800000,154000000,154000000,72000000,72000000,231000000,231000000,159000000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,2100000,2800000,29700000,47700000,60500000,87000000,113900000,136900000,129000000,120000000,112000000,103000000,106000000,97000000,61000000,44000000,39000000
41,Intangible Assets,- -,- -,- -,2200000,2100000,32100000,109900000,136500000,152600000,186700000,255800000,290700000,283000000,274000000,184000000,175000000,337000000,328000000,220000000,44000000,39000000
42,Investments,- -,- -,- -,5800000,106000000,272000000,288000000,172000000,124600000,104300000,208700000,558000000,627000000,1459000000,1493000000,1475000000,3050000000,3340000000,3724000000,3641000000,3578000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,5800000,-156800000,3600000,77000000,6500000,7400000,17400000,86800000,108000000,69000000,18000000,12000000,186000000,192000000,185000000,186000000,209000000
45,Total Non-Current Assets,- -,- -,- -,180000000,282800000,342000000,902200000,1014800000,1283800000,1467500000,1663700000,2662900000,4023000000,5149000000,5171000000,4934000000,12556000000,12995000000,13047000000,11949000000,11631000000
46,Other Assets,232200000,339700000,467400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,232200000,339700000,467400000,241100000,407300000,501600000,1120700000,1180000000,1481500000,1700600000,1903600000,2972000000,4526000000,5739000000,5477000000,5161000000,13878000000,14266000000,14127000000,12957000000,13380000000
48,Accounts Payable,15700000,60700000,62300000,39800000,87000000,117300000,165800000,78400000,128600000,136700000,188100000,112600000,232000000,196000000,98000000,108000000,989000000,807000000,638000000,536000000,977000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335000000,250000000,- -,500000000,- -,525000000,603000000,505000000,355000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,19000000,58000000,64000000,65000000,59000000,51000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,2900000,6400000,9200000,53800000,46400000,62500000,74500000,81100000,120800000,155000000,155000000,102000000,126000000,499000000,572000000,552000000,580000000,678000000
53,Total Current Liabilities,- -,- -,- -,42700000,93400000,126500000,219600000,124800000,191100000,211200000,269200000,233400000,722000000,601000000,200000000,734000000,1488000000,1904000000,1793000000,1621000000,2010000000
54,Long-Term Debt,- -,100000,- -,- -,210100000,268000000,630000000,656500000,613000000,647800000,746800000,1620300000,1590000000,2061000000,2424000000,1750000000,4707000000,4782000000,5321000000,5195000000,5171000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,32000000,30000000,30000000,34000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,2900000,3700000,75800000,34900000,72000000,103400000,46700000,35100000,41000000,51000000,48000000,44000000,216000000,251000000,350000000,250000000,289000000
58,Total Non-Current Liabilities,- -,100000,- -,- -,213000000,271700000,705800000,691400000,685000000,751200000,793500000,1655400000,1631000000,2112000000,2472000000,1794000000,4952000000,5065000000,5701000000,5475000000,5494000000
59,Other Liabilities,21100000,69800000,72300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000000,81000000,119000000
61,Total Liabilities,21100000,69700000,72300000,42700000,306400000,398200000,925400000,816200000,876100000,962400000,1062700000,1888800000,2353000000,2713000000,2672000000,2528000000,6440000000,6969000000,7494000000,7096000000,7504000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100500000,96100000,183300000,374400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-119000000,7300000,-14900000,-45300000,-31900000,-27700000,-21200000,-14700000,-11000000,-9000000,-8000000,-8000000,-9000000,-8000000,-7000000,-7000000,-6000000
66,Other Total Stockholders Equity,211100000,270000000,- -,198400000,119000000,- -,- -,- -,637400000,766200000,861900000,1098200000,2184000000,3035000000,2813000000,2641000000,7447000000,7305000000,6640000000,- -,- -
67,Total Stockholders Equity,211100000,- -,- -,198400000,100900000,103400000,168400000,329100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,232200000,339700000,72300000,241100000,407300000,501600000,1093800000,1145300000,1481500000,1700600000,1903600000,2972000000,4526000000,5739000000,5477000000,5161000000,13878000000,14266000000,14127000000,12957000000,7504000000
69,Minority Interest,- -,- -,395100000,- -,- -,- -,26900000,34700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5876000000
70,Total Liabilities & Equity,232200000,339700000,467400000,241100000,407300000,501600000,1120700000,1180000000,1481500000,1700600000,1903600000,2972000000,4526000000,5739000000,5477000000,5161000000,13878000000,14266000000,14127000000,12957000000,13380000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1338065/000103570406000138/0001035704-06-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1338065/000095013407005634/d44367e10vk.htm,https://www.sec.gov/Archives/edgar/data/1338065/000103570408000109/d54670e10vk.htm,https://www.sec.gov/Archives/edgar/data/1338065/000095013409004580/0000950134-09-004580-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312510053973/0001193125-10-053973-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312511051867/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000119312512088587/0001193125-12-088587-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312513079947/0001193125-13-079947-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806514000008/dpm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806515000017/dpm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806516000076/0001338065-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806517000014/0001338065-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806518000006/0001338065-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806519000006/0001338065-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806520000008/0001338065-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806521000010/0001338065-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806522000009/0001338065-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,20400000,38000000,33000000,-15800000,125700000,-19100000,48000000,100400000,168000000,181000000,423000000,228000000,312000000,229000000,298000000,17000000,-306000000,391000000
74,Depreciation and Amortization,- -,- -,- -,17000000,11700000,12800000,24400000,36500000,64900000,73700000,81000000,63400000,93000000,110000000,120000000,122000000,379000000,388000000,404000000,376000000,364000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29200000,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-11200000,12700000,2000000,-34200000,41500000,-33800000,15300000,-51200000,105000000,-294700000,208000000,117000000,-613000000,341000000,-467000000,-80000000,100000000,-369000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-36600000,5800000,-10700000,29900000,-89000000,68000000,110000000,-3000000,-194000000,-55000000,170000000,62000000,-605000000
79,Inventory,- -,- -,- -,- -,-100000,11600000,-7200000,16400000,-13300000,-8700000,-600000,13300000,9000000,4000000,20000000,-1000000,4000000,-11000000,9000000,3000000,-39000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,21500000,5700000,46300000,-133300000,51000000,-67000000,-90000000,25000000,328000000,-168000000,-133000000,-47000000,478000000
81,Other Working Capital,- -,- -,- -,18400000,31100000,33100000,-1100000,40400000,6600000,21900000,-29300000,75700000,-219000000,-11000000,106000000,-507000000,-166000000,-633000000,-713000000,-613000000,-203000000
82,Other Non-Cash Items,- -,- -,- -,-600000,13100000,21100000,91000000,-102200000,95900000,3800000,103100000,-211500000,339700000,-217000000,185000000,754000000,-53000000,443000000,518000000,929000000,260000000
83,Cash Provided by Operating Activities,- -,- -,- -,25600000,75500000,68900000,65400000,101500000,107900000,140800000,204100000,124900000,324000000,524000000,650000000,575000000,896000000,662000000,859000000,1099000000,646000000
84,CAPEX,- -,- -,- -,-3100000,-7900000,-27200000,-21300000,-41000000,-164800000,-50700000,-104200000,-200400000,-363000000,-338000000,-281000000,-37000000,-375000000,-595000000,-519000000,-160000000,-108000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-56700000,-502900000,-157300000,-44500000,-203300000,-174800000,-871400000,-1024000000,-926000000,-62000000,-29000000,-148000000,-354000000,-450000000,-107000000,-5000000
86,Purchases of Investments,- -,- -,- -,- -,-731000000,-7372400000,-6921600000,-608200000,-8100000,-2300000,-15100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,630800000,7373300000,6924000000,650500000,53300000,11300000,14900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-2500000,1100000,300000,100000,-10900000,-164500000,-47300000,-99000000,-199100000,-363000000,-310000000,-281000000,123000000,-243000000,-591000000,-310000000,-152000000,-105000000
89,Cash Used for Investing Activites,- -,- -,- -,-2500000,-107000000,-82700000,-521700000,-166900000,-163800000,-241600000,-274000000,-1070500000,-1387000000,-1236000000,-343000000,94000000,-391000000,-945000000,-760000000,-259000000,-110000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-280500000,-833400000,-1425000000,-1791500000,-1653000000,-335000000,-1429000000,-2152000000,-811000000,-4560000000,-5372000000,-4713000000,-4916000000
91,Common Stock Issued,- -,- -,- -,- -,206400000,100000,228500000,132100000,69500000,189300000,169700000,455200000,1083000000,1001000000,31000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-22100000,-44000000,-76200000,-85300000,-101900000,-132400000,-181300000,-280000000,-420000000,-482000000,-483000000,-545000000,-704000000,-677000000,-465000000,-384000000
94,Other Financing Activites,- -,- -,- -,-23100000,-132700000,39800000,250100000,33000000,292400000,851400000,1457600000,2456900000,1923000000,479000000,1550000000,1965000000,1006000000,5392000000,5950000000,4393000000,4709000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-23100000,73700000,17800000,434600000,88900000,-3900000,105400000,69900000,939300000,1073000000,725000000,-330000000,-670000000,-350000000,128000000,-99000000,-785000000,-591000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,4000000,-21700000,23500000,-59800000,4600000,- -,-6300000,10000000,13000000,-23000000,-1000000,155000000,-155000000,- -,55000000,-55000000
98,Cash at the End of Period,- -,- -,- -,- -,42200000,46200000,24500000,48000000,2100000,6700000,6700000,1300000,12000000,25000000,2000000,1000000,156000000,1000000,1000000,56000000,1000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,42200000,46200000,24500000,61900000,2100000,6700000,7600000,2000000,12000000,25000000,2000000,1000000,156000000,1000000,1000000,56000000
100,Free Cash Flow,- -,- -,- -,22500000,67600000,41700000,44100000,60500000,-56900000,90100000,99900000,-75500000,-39000000,186000000,369000000,538000000,521000000,67000000,340000000,939000000,538000000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1338065/000103570406000138/0001035704-06-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1338065/000095013407005634/d44367e10vk.htm,https://www.sec.gov/Archives/edgar/data/1338065/000103570408000109/d54670e10vk.htm,https://www.sec.gov/Archives/edgar/data/1338065/000095013409004580/0000950134-09-004580-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312510053973/0001193125-10-053973-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312511051867/d10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000119312512088587/0001193125-12-088587-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000119312513079947/0001193125-13-079947-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806514000008/dpm-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806515000017/dpm-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806516000076/0001338065-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806517000014/0001338065-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806518000006/0001338065-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806519000006/0001338065-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806520000008/0001338065-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1338065/000133806521000010/0001338065-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1338065/000133806522000009/0001338065-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
