,https://roic.ai/company/DECK,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,21477273,28899083,32307692,27876000,26883000,25896000,26502000,27279000,27741000,27984000,28830000,33015000,37047000,37557000,38505000,39126000,39024000,38615000,38605000,36879000,34473000,- -,34433000,32556000,32000000,31758000,29641000,28385000,28055000
28,Weighted Average Shares Outstanding Diluted,23333333,28899083,32307692,28181818,27036000,25896000,26943000,28428000,28983000,29418000,35640000,36426000,38598000,38646000,39387000,39585000,39393000,39292000,39265000,37334000,34829000,- -,34733000,33039000,32355000,31996000,29903000,28694000,28406000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910521/000095014802000814/0000950148-02-000814-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095014803000685/0000950148-03-000685-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095014804000712/0000950148-04-000712-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095012905002490/0000950129-05-002490-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095012906002462/0000950129-06-002462-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095012407001573/0000950124-07-001573-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746908002087/0001047469-08-002087-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746909002106/0001047469-09-002106-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746910001651/0001047469-10-001651-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746911001618/0001047469-11-001618-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746912001917/0001047469-12-001917-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746913002068/0001047469-13-002068-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000144530514000820/0001445305-14-000820-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/910521/000091052116000058/0000910521-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052117000008/0000910521-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052118000015/0000910521-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052119000011/0000910521-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052120000016/0000910521-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/0000910521-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3000000,2900000,3200000,1300000,3200000,300000,1600000,9057000,16689000,3941000,6662000,10379000,50749000,34255000,54525000,176804000,315862000,445226000,263606000,110247000,237125000,245088000,225143000,245956000,291764000,429970000,589692000,649436000,1089361000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15475000,2500000,64637000,113567000,17976000,26120000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3000000,2900000,3200000,1300000,3200000,300000,1600000,9057000,16689000,3941000,6662000,25854000,53249000,98892000,168092000,194780000,341982000,445226000,263606000,110247000,237125000,245088000,225143000,245956000,291764000,429970000,589692000,649436000,1089361000
34,Net Receivables,10800000,18900000,19700000,17900000,23000000,27200000,24400000,23143000,20395000,20851000,18745000,41957000,40918000,49571000,72209000,108129000,76427000,116663000,193375000,190756000,184013000,106199000,158275000,183610000,183429000,145880000,180942000,193747000,222028000
35,Inventory,13200000,23400000,19600000,24900000,19000000,23700000,18100000,17146000,18425000,17067000,18004000,30260000,33374000,32375000,51776000,92740000,85356000,124995000,253270000,300173000,260791000,211519000,238911000,299911000,298851000,299602000,278842000,311620000,278242000
36,Other Current Assets,20300000,8800000,7500000,5200000,3600000,8100000,5000000,4304000,5849000,2702000,2831000,4731000,7313000,6585000,9490000,17315000,17222000,28848000,107651000,90410000,147375000,61056000,64264000,56288000,46777000,35238000,45929000,39308000,61168000
37,Total Current Assets,47300000,54000000,50000000,49300000,48800000,59300000,49100000,53650000,61358000,44561000,46242000,102802000,134854000,187423000,301567000,412964000,520987000,715732000,817902000,691586000,829304000,623862000,686593000,785765000,820821000,910690000,1095405000,1194111000,1650799000
38,PP&E,2000000,2500000,3300000,2800000,2500000,3000000,2100000,2998000,3857000,3864000,2969000,2838000,4711000,7770000,10579000,28318000,35442000,47737000,90257000,125370000,174066000,184570000,232317000,237246000,225531000,220162000,213796000,452559000,393201000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18030000,18030000,6101000,6507000,6507000,120045000,126267000,128725000,127934000,127934000,127934000,13990000,13990000,13990000,13990000,13990000
40,Intangible Assets,300000,1500000,16900000,20800000,21900000,20700000,22000000,20471000,19941000,70773000,70572000,70319000,70009000,36369000,36101000,17933000,17433000,18411000,94449000,98423000,93278000,91411000,87743000,83026000,65138000,57850000,51494000,48016000,41945000
41,Intangible Assets,300000,1500000,16900000,20800000,21900000,20700000,22000000,20471000,19941000,70773000,70572000,70319000,70009000,54399000,54131000,24034000,23940000,24918000,214494000,224690000,222003000,219345000,215677000,210960000,79128000,71840000,65484000,62006000,55935000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1428000,- -,- -,- -,327000,2682000,17447000,16704000,15121000,13223000,13372000,15751000,17062000,15017000,20636000,44708000,38381000,30870000,28233000,37194000
44,Other Non-Current Assets,2300000,4700000,4700000,2000000,1500000,1400000,300000,593000,728000,1786000,1243000,592000,52000,54000,1073000,958000,1970000,5486000,10320000,13046000,18605000,19365000,20329000,23461000,21592000,23306000,21651000,28209000,30576000
45,Total Non-Current Assets,4600000,8700000,24900000,25600000,25900000,25100000,24400000,24062000,24526000,77851000,74784000,73749000,74772000,62550000,68465000,70757000,78056000,93262000,328294000,376478000,430425000,440342000,483340000,492303000,370959000,353689000,331801000,571007000,516906000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51900000,62700000,74900000,74900000,74700000,84400000,73500000,77712000,85884000,122412000,121026000,176551000,209626000,249973000,370032000,483721000,599043000,808994000,1146196000,1068064000,1259729000,1064204000,1169933000,1278068000,1191780000,1264379000,1427206000,1765118000,2167705000
48,Accounts Payable,2600000,1800000,3000000,5500000,3600000,7900000,7300000,8020000,13915000,12916000,11220000,16524000,14506000,21053000,36221000,42960000,47331000,67073000,110853000,133457000,151037000,76139000,85714000,100593000,95893000,93939000,124974000,147892000,231632000
49,Short-Term Debt,200000,200000,100000,100000,2100000,6200000,100000,1046000,290000,3951000,3792000,- -,- -,- -,- -,- -,- -,- -,- -,33000000,9728000,6702000,5383000,67475000,549000,578000,603000,49729000,46768000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19685000,25166000,30888000,25067000,78727000,4823000,8079000,10356000,8185000,14508000,22522000,14735000,41821000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2600000,3700000,3200000,4000000,3900000,3100000,3000000,4102000,4988000,5241000,8427000,16424000,13228000,14682000,35173000,52249000,53539000,77790000,121226000,100560000,159753000,39374000,76445000,70430000,62609000,94649000,124947000,103325000,189968000
53,Total Current Liabilities,5400000,5700000,6300000,9600000,9600000,17200000,10400000,13168000,19193000,22108000,23439000,32948000,27734000,35735000,71394000,95209000,100870000,144863000,232079000,267017000,320518000,122215000,167542000,238498000,159051000,189166000,250524000,300946000,468368000
54,Long-Term Debt,200000,- -,15200000,10300000,8000000,15200000,6300000,449000,159000,35077000,26495000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33154000,32631000,32082000,31504000,30901000,30263000,176274000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,568000,2607000,4337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6269000,8456000,72687000,62246000,51092000,53140000,32225000,39468000,46392000,102930000,100651000,293789000,78838000
58,Total Non-Current Liabilities,200000,100000,15100000,10300000,8000000,15200000,6300000,449000,159000,35077000,27063000,2607000,4337000,- -,- -,- -,6269000,8456000,72687000,62246000,51092000,53140000,65379000,72099000,78474000,134434000,131552000,324052000,255112000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264815000,223042000
61,Total Liabilities,5600000,5800000,21400000,19900000,17600000,32400000,16700000,13617000,19352000,57185000,50502000,35555000,32071000,35735000,71394000,95209000,107139000,153319000,304766000,329263000,371610000,175355000,232921000,310597000,237525000,323600000,382076000,624998000,723480000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,91000,93000,95000,97000,122000,124000,126000,130000,131000,129000,386000,387000,344000,346000,346000,333000,320000,320000,304000,291000,280000,279000
64,Retained Earnings,12500000,23000000,24500000,28100000,32600000,29700000,32600000,39625000,41251000,33898000,43052000,68591000,100436000,131958000,194567000,268515000,365304000,513459000,692595000,600811000,746500000,743815000,798370000,826449000,819589000,785871000,889266000,973948000,1257379000
65,Other Comprehensive Income/Loss,-600000,-1000000,-1800000,-2300000,-2900000,-3300000,-5000000,-6339000,-7598000,-476000,260000,324000,207000,393000,282000,392000,494000,1153000,-1730000,-1400000,-2643000,-2043000,-20468000,-20557000,-26451000,-12983000,-22654000,-25559000,-16743000
66,Other Total Stockholders Equity,34400000,34900000,30800000,29200000,27400000,25600000,29100000,30718000,32786000,26210000,27115000,71959000,76788000,81761000,103659000,115214000,125431000,137989000,144684000,139046000,143916000,- -,- -,161259000,160797000,167587000,178227000,191451000,203310000
67,Total Stockholders Equity,46300000,56900000,53500000,55000000,57100000,52000000,56800000,64095000,66532000,65227000,70524000,140996000,177555000,214238000,298638000,384252000,491358000,652987000,835936000,738801000,888119000,888849000,937012000,967471000,954255000,940779000,1045130000,1140120000,1444225000
68,Total Liabilities And Stockholders Equity,51900000,62700000,74900000,74900000,74700000,84400000,73500000,77712000,85884000,122412000,121026000,176551000,209626000,249973000,370032000,479461000,598497000,806306000,1140702000,1068064000,1259729000,1064204000,1169933000,1278068000,1191780000,1264379000,1427206000,1765118000,2167705000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4260000,546000,2688000,5494000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,51900000,62700000,74900000,74900000,74700000,84400000,73500000,77712000,85884000,122412000,121026000,176551000,209626000,249973000,370032000,483721000,599043000,808994000,1146196000,1068064000,1259729000,1064204000,1169933000,1278068000,1191780000,1264379000,1427206000,1765118000,2167705000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910521/000095014802000814/0000950148-02-000814-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095014803000685/0000950148-03-000685-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095014804000712/0000950148-04-000712-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095012905002490/0000950129-05-002490-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095012906002462/0000950129-06-002462-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000095012407001573/0000950124-07-001573-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746908002087/0001047469-08-002087-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746909002106/0001047469-09-002106-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746910001651/0001047469-10-001651-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746911001618/0001047469-11-001618-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746912001917/0001047469-12-001917-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000104746913002068/0001047469-13-002068-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000144530514000820/0001445305-14-000820-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/910521/000091052116000058/0000910521-16-000058-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052117000008/0000910521-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052118000015/0000910521-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052119000011/0000910521-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052120000016/0000910521-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/910521/000091052121000017/0000910521-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6300000,10500000,1400000,3700000,4500000,-2900000,2900000,7015000,1626000,-7353000,9154000,25539000,31845000,31522000,66437000,73948000,116786000,158235000,199052000,128866000,145689000,- -,161780000,122265000,5710000,114394000,264308000,276142000,382575000
74,Depreciation and Amortization,500000,800000,1700000,2300000,2500000,2600000,3100000,2940000,3577000,2584000,3577000,1787000,2497000,3082000,3516000,6008000,- -,- -,- -,33367000,41439000,- -,49293000,50024000,52628000,48572000,44941000,38912000,40530000
75,Deferred Income Tax,- -,- -,- -,- -,300000,-400000,800000,-1591000,-444000,656000,-444000,936000,-979000,-3101000,-3933000,-22125000,5308000,-1712000,-67000,-5657000,-4092000,- -,9970000,8167000,-24495000,8138000,6939000,2934000,-8171000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13016000,12782000,14803000,14661000,13136000,- -,13524000,6622000,6175000,14302000,14774000,14477000,22701000
77,Change in Working Capital,-12100000,-4600000,-4000000,-500000,2900000,-3400000,1782000,1683000,-19712000,350000,47051000,37266000,44568000,78485000,87582000,102362000,150752000,14954000,-161254000,84217000,-7139000,- -,17404000,28216000,114503000,59754000,123357000,48284000,289266000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31527000,-39449000,-63199000,491000,6618000,- -,-36885000,-23545000,-1336000,10770000,-16157000,-10493000,-33173000
79,Inventory,-6800000,-10200000,9600000,-5400000,6000000,-4700000,5600000,957000,-2012000,1749000,-3373000,-14154000,-7950000,-2544000,-22768000,-45749000,5247000,-41107000,-127739000,-46903000,40580000,- -,-26748000,-61492000,1060000,-751000,8827000,-32777000,33378000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3790000,19742000,38237000,18932000,21251000,- -,8912000,14775000,-7825000,-2184000,31035000,23312000,79176000
81,Other Working Capital,48300000,43700000,39700000,39200000,42100000,38700000,40482000,42165000,22453000,22803000,69854000,107120000,151688000,230173000,317755000,420117000,570869000,585823000,424569000,508786000,501647000,- -,519051000,547267000,661770000,721524000,844881000,893165000,1182431000
82,Other Non-Cash Items,900000,-17500000,5800000,3400000,-1300000,-6100000,9618000,4604000,26002000,11204000,-48289000,-53112000,-48324000,-61490000,-92548000,-106917000,-100388000,-44337000,-22443000,-91548000,73092000,- -,-82317000,-89713000,44156000,82191000,-94814000,-94415000,-130684000
83,Cash Provided by Operating Activities,-4400000,-10800000,4900000,8900000,8900000,-10200000,18200000,14651000,11049000,7441000,11049000,12416000,29607000,48498000,61054000,53276000,185474000,139922000,30091000,163906000,262125000,- -,169654000,125581000,198677000,327351000,359505000,286334000,596217000
84,CAPEX,-1300000,-1200000,-1900000,-1400000,-1700000,-3900000,-900000,-1755000,-2455000,-1477000,-2455000,-1441000,-4104000,-5543000,-6385000,-22337000,-13699000,-22489000,-59563000,-66533000,-85197000,- -,-100636000,-70056000,-44499000,-34813000,-29086000,-32455000,-32218000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-43254000,- -,- -,- -,- -,- -,-5936000,-1877000,-5191000,-125203000,-8829000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-18200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31250000,-37116000,-146689000,-225371000,-204179000,-66900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,13400000,4900000,- -,- -,- -,- -,- -,- -,- -,- -,15775000,50091000,84644000,176135000,299049000,57078000,26080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1500000,-14200000,-500000,-1000000,100000,-1000000,19000,-949000,- -,-949000,43000,31000,42000,54000,119000,- -,- -,-4025000,-4958000,-5368000,- -,-9489000,-1865000,- -,116000,68000,491000,49000
89,Cash Used for Investing Activites,-19500000,10700000,-11200000,-1900000,-2700000,-3800000,-1900000,-1736000,-3404000,-44731000,-3404000,-16873000,8902000,-67546000,-55567000,66716000,-25398000,-1600000,-184766000,-75362000,-85197000,- -,-100636000,-67221000,-44499000,-34697000,-29018000,-31964000,-32169000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000000,-274000000,-344000000,- -,-201988000,-387613000,-469461000,-215439000,-162199000,-69800000,-40379000
91,Common Stock Issued,32100000,100000,- -,300000,700000,100000,100000,130000,389000,400000,389000,38500000,1784000,1341000,2278000,404000,107000,89000,62000,- -,52000,- -,- -,- -,- -,- -,- -,1288000,1502000
92,Common Stock Repurchased,- -,- -,-4900000,-4200000,-2600000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-10082000,-19918000,-227230000,-6736000,- -,-112913000,-97891000,-20437000,-157792000,-166723000,-196553000,-106579000
93,Dividends Paid,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-6000000,-200000,11600000,-5100000,-1800000,13400000,-15000000,-5621000,-402000,24142000,-402000,-30287000,- -,1280000,12562000,1863000,-1172000,941000,37696000,258609000,300171000,- -,236641000,449164000,386828000,215516000,161728000,72951000,15875000
95,Cash Used/Provided by Financing Activities,26100000,-100000,6700000,-9000000,-4300000,11000000,-14900000,-5491000,-13000,24542000,-13000,8213000,1784000,2621000,14840000,2267000,-21065000,-9052000,-27160000,-242621000,-50513000,- -,-78260000,-36340000,-103070000,-157715000,-167194000,-192114000,-129581000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39000,77000,-67000,-57000,20000,47000,94000,215000,718000,463000,- -,-10703000,-1207000,-5300000,3267000,-3571000,-2512000,5458000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,1300000,7424000,7632000,-12748000,7632000,3717000,40370000,-16494000,20270000,122279000,139058000,129364000,-181620000,-153359000,126878000,- -,-19945000,20813000,45808000,138206000,159722000,59744000,439925000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,1600000,9057000,16689000,3941000,16689000,10379000,50749000,34255000,54525000,176804000,315862000,445226000,263606000,110247000,237125000,- -,225143000,245956000,291764000,429970000,589692000,649436000,1089361000
99,Cash at the Beginning of Period,800000,3000000,2900000,3200000,1300000,3200000,300000,1633000,9057000,16689000,9057000,6662000,10379000,50749000,34255000,54525000,176804000,315862000,445226000,263606000,110247000,- -,245088000,225143000,245956000,291764000,429970000,589692000,649436000
100,Free Cash Flow,-5700000,-12000000,3000000,7500000,7200000,-14100000,17300000,12896000,8594000,5964000,8594000,10975000,25503000,42955000,54669000,30939000,171775000,117433000,-29472000,97373000,176928000,- -,69018000,55525000,154178000,292538000,330419000,253879000,563999000
