,https://roic.ai/company/WTRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-26400000,-42100000,-1200000,-24500000,-39200000,-3546000,-9517000,-8914000,-192331000,-54300000,-11633000,-11848000,-51226000,-14659000,- -,- -,-8515000,-151285000,-24382000,-14058000,-28341000,-1677000,-4518000,-144977000,-56794000,-3499720000,-34507000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-770000,-1163000,-1464000,-12823000,-15756000,-25247000,-3028000,-2167000,-2555000,-1867000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3878000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-1000000,-5000000,307000,-10768000,-5972000,25498000,17540000,-50027000,58205000,-54678000,43306000,-33707000,-48181000,55359000,136059000,123813000,65918000,24215000,4492000,4390000,3454000,4331000,1696000,-1032000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000,-59600000,-73500000,-40700000,-84400000,-140600000,-129101000,-144373000,-151050000,-330153000,-232496000,-299122000,-225349000,-344044000,-238771000,-320664000,-384202000,-284904000,-364675000,-221563000,-292501000,-394062000,-383209000,-480384000,-639815000,-604603000,-4333666000,-1056058000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19355000,-62232000,23671000,-53102000,-161096000,-96072000,-202203000,-300323000,-253192000,-400407000,-373087000,-359068000,-914125000,-1048471000,-1820571000,-769546000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,9100000,14700000,10700000,32100000,7100000,37190000,13522000,10611000,134826000,56193000,21416000,58088000,10399000,33297000,11892000,12530000,12607000,13190000,10290000,- -,677000,1388000,1453000,5163000,8959000,745823000,316538000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-2900000,-2300000,-4200000,-8000000,-3300000,-4383000,-4486000,-25053000,-1525000,-1082000,-1749000,-972000,-863000,-397000,-304000,-770000,-1163000,-1464000,-12823000,-15756000,-17030000,2620000,2159000,4067000,1945731000,-4365000,-3291000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12600000,-13500000,-14800000,-16300000,-18500000,-29300000,-30512000,-34340000,-36841000,-39927000,-45807000,-51139000,-58023000,-63763000,-68504000,-74729000,-80907000,-87133000,-93423000,-102889000,-112106000,-121248000,-130923000,-140660000,-150736000,-188512000,-232571000,-258650000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,6900000,35300000,37400000,7800000,23600000,88400000,43225000,64435000,85678000,98248000,51948000,128600000,107052000,236836000,29602000,185242000,334668000,92088000,277485000,259026000,308847000,560367000,487957000,595623000,1326347000,1413668000,3273231000,8356000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,28000000,35000000,-2000000,29200000,62900000,45520000,39131000,34395000,191622000,61252000,97128000,86790000,120377000,17669000,68999000,104425000,-79673000,-6415000,-146719000,-72207000,22359000,-12045000,99507000,270716000,2131375000,1961547000,417119000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,1200000,-900000,-800000,- -,-3500000,3391000,-3077000,4905000,4842000,2359000,-2320000,32167000,-29499000,404000,6925000,-10001000,2270000,-2683000,-463000,-920000,-909000,534000,441000,-577000,1865295000,-1864095000,417119000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,2400000,1500000,700000,700000,4700000,8049000,1010000,5915000,10757000,13116000,11872000,44039000,14540000,14944000,21869000,5934000,8204000,5521000,5058000,4138000,-909000,3763000,4204000,3627000,1868922000,4827000,10567000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,1200000,2400000,1500000,700000,8200000,4658000,4087000,1010000,5915000,10757000,14192000,11872000,44039000,14540000,14944000,15935000,5934000,8204000,5521000,5058000,- -,3229000,3763000,4204000,3627000,1868922000,4827000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,-400000,6200000,2800000,-3700000,-22300000,-42768000,-21923000,-14604000,-19947000,-22133000,-37788000,-100980000,-43972000,-45912000,-24994000,-62784000,36262000,20422000,59648000,35183000,6105000,13167000,-96771000,-127215000,-211750000,-327618000,-375840000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78128/000136231007000195/0001362310-07-000195-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000136231008001150/0001362310-08-001150-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000136231009002971/0001362310-09-002971-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000095012310017964/0000950123-10-017964-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000095012311018861/0000950123-11-018861-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312512082050/0001193125-12-082050-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312513084841/0001193125-13-084841-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312514080172/0001193125-14-080172-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812815000003/0000078128-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276216000347/0001562762-16-000347-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812817000002/0000078128-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812818000003/0000078128-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812819000002/0000078128-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812820000005/0000078128-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276221000081/0001562762-21-000081-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
