,https://roic.ai/company/CNS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.44,0.25,0.32,0.45,0.23,0.80,0.08,1.80,0.43,-0.04,1.09,1.26,1.51,1.54,1.69,1.42,2.02,1.98,2.43,2.85,1.60,4.42
26,EPS Diluted,0.44,0.25,0.32,0.45,0.23,0.79,0.08,1.77,0.43,-0.04,1.07,1.23,1.49,1.51,1.65,1.41,2.00,1.96,2.40,2.79,1.57,4.42
27,Weighted Average Shares Outstanding,26450000,26416000,26475368,26700000,31815689,39991000,40033000,41869000,41864000,42339000,42715000,43190000,43766000,44272000,44788000,45433000,45951000,46353000,46794000,47273000,47800000,48442000
28,Weighted Average Shares Outstanding Diluted,26450000,26416000,26475368,26700000,31942123,40324000,40711000,42655000,42094000,42339000,43227000,43975000,44482000,45083000,45643000,45897000,46432000,46979000,47381000,48297000,48676000,49429000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1284812/000095011705001145/0000950117-05-001145-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000095011706001196/0000950117-06-001196-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312507055801/0001193125-07-055801-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312508057582/0001193125-08-057582-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312509055641/0001193125-09-055641-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312510058479/0001193125-10-058479-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312511068763/0001193125-11-068763-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481212000132/0001284812-12-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481213000168/0001284812-13-000168-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481214000126/0001284812-14-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481215000137/0001284812-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481216000396/0001284812-16-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481217000114/0001284812-17-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481218000110/0001284812-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481219000102/0001284812-19-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481220000092/0001284812-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481221000150/0001284812-21-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481222000117/0001284812-22-000117-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4737000,2750000,- -,7526000,30164000,39092000,139360000,136971000,121857000,153002000,136191000,127824000,95412000,128277000,124938000,142728000,183234000,193452000,92733000,101352000,41232000,184373000
32,Short-Term Investments,- -,4145000,4593000,6497000,69935000,87276000,39408000,93703000,63915000,63379000,16954000,52437000,122477000,26117000,21269000,17191000,35396000,27074000,- -,- -,- -,62679000
33,Cash and Short-Term Investments,4737000,6895000,4593000,14023000,100099000,126368000,178768000,230674000,185772000,216381000,153145000,180261000,217889000,154394000,146207000,159919000,218630000,220526000,92733000,101352000,41232000,247052000
34,Net Receivables,- -,- -,- -,9571000,13532000,19044000,31611000,30112000,45598000,52335000,32821000,50033000,62630000,43794000,45197000,50663000,47867000,60283000,64621000,60844000,74805000,84090000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1003000,2505000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,24597000,116136000,145412000,210379000,260786000,231370000,268716000,185966000,230294000,280519000,198188000,191404000,210582000,266497000,280809000,157354000,162196000,116037000,331142000
38,PP&E,- -,- -,3262000,3361000,2638000,8936000,10539000,12226000,16420000,14866000,13242000,11200000,9103000,9824000,11189000,9783000,15964000,15040000,14106000,50926000,41544000,8938000
39,Goodwill,- -,- -,- -,- -,- -,- -,20609000,21450000,20783000,21196000,20334000,19934000,20122000,20672000,19120000,17975000,17684000,19034000,18501000,18310000,19245000,- -
40,Intangible Assets,- -,- -,- -,- -,13693000,9252000,10597000,6340000,2146000,2057000,1968000,1879000,1790000,1701000,1612000,1523000,1434000,1345000,1250000,1250000,1250000,- -
41,Intangible Assets,- -,- -,- -,- -,13693000,9252000,31206000,27790000,22929000,23253000,22302000,21813000,21912000,22373000,20732000,19498000,19118000,20379000,19751000,19560000,20495000,19696000
42,Investments,- -,- -,- -,6539000,74039000,4427000,- -,- -,45000000,10842000,43979000,7868000,8106000,24724000,38059000,54143000,19148000,81032000,224932000,155213000,154978000,- -
43,Tax Assets,- -,- -,- -,- -,- -,21604000,17869000,20412000,9704000,6649000,8058000,9233000,10171000,14144000,15108000,5551000,5619000,5812000,7200000,7091000,6995000,- -
44,Other Non-Current Assets,- -,- -,- -,26000,-46216000,8917000,15153000,11031000,-39301000,4385000,4039000,5825000,7504000,5673000,4229000,5765000,7382000,7053000,9208000,7433000,8404000,- -
45,Total Non-Current Assets,- -,- -,- -,9926000,44154000,53136000,74767000,71459000,54752000,59995000,91620000,55939000,56796000,76738000,89317000,94740000,67231000,129316000,275197000,240223000,232416000,28634000
46,Other Assets,16547000,17853000,24394000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190179000
47,Total Assets,16547000,17853000,24394000,34523000,160290000,198548000,285146000,332245000,286122000,328711000,277586000,286233000,337315000,274926000,280721000,305322000,333728000,410125000,432551000,402419000,348453000,492687000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6192000,6452000,6231000,8493000,7318000,7748000,- -
49,Short-Term Debt,- -,- -,141000,136000,135000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49050000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9077000,4948000,8836000,7575000,4141000,6780000,9375000,19892000,18663000,22194000,12672000,22611000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,2947000,2656000,2209000,1679000,- -,- -,- -,- -,- -,- -,- -,- -,6995000,- -
52,Other Current Liabilities,2370000,- -,- -,7121000,12866000,33853000,43737000,50330000,38233000,21602000,42012000,28285000,8836000,7575000,4141000,11149000,9375000,23174000,23784000,22560000,6178000,- -
53,Total Current Liabilities,2370000,- -,141000,7257000,13001000,33853000,43737000,50330000,41180000,24258000,44221000,29964000,8836000,7575000,4141000,17341000,15827000,29405000,32277000,29878000,20921000,49050000
54,Long-Term Debt,- -,- -,4794000,6374000,1558000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,500000,- -,- -,118000,96000,- -,- -,- -,- -,19584000,- -,20961000,111899000,43794000,48599000,56205000,52087000,105184000,177628000,158838000,153293000,99311000
58,Total Non-Current Liabilities,500000,- -,4794000,6492000,1654000,- -,- -,- -,- -,19584000,- -,20961000,111899000,43794000,48599000,56205000,52087000,105184000,177628000,158838000,153293000,99311000
59,Other Liabilities,- -,4142000,12355000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,16000,134000,116000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43349000,34926000,- -
61,Total Liabilities,2870000,4142000,7702000,13749000,14655000,33853000,43737000,50330000,41180000,43842000,44221000,50925000,120735000,51369000,52740000,73546000,67914000,134589000,209905000,188716000,174214000,148361000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,267000,267000,354000,354000,388000,411000,442000,448000,454000,462000,470000,477000,486000,497000,504000,511000,518000,527000,535000,543000
64,Retained Earnings,- -,- -,12399000,15195000,-21557000,-6377000,-22053000,19567000,4981000,-5382000,-65553000,-83063000,-117889000,-131366000,-142786000,-148096000,-127957000,-137972000,-208404000,-242461000,-291542000,-231967000
65,Other Comprehensive Income/Loss,- -,- -,- -,1620000,1790000,354000,4376000,-3581000,-30620000,11119000,2971000,-225000,2341000,2989000,-1582000,-3843000,-5885000,-3671000,-7323000,-6326000,-4134000,-5886000
66,Other Total Stockholders Equity,13677000,13711000,4026000,3692000,165048000,170364000,258698000,265518000,270139000,278684000,295493000,313338000,331658000,351457000,371863000,383218000,399152000,416668000,437855000,461963000,469380000,492493000
67,Total Stockholders Equity,13677000,13711000,16692000,20774000,145635000,164695000,241409000,281915000,244942000,284869000,233365000,230512000,216580000,223557000,227981000,231776000,265814000,275536000,222646000,213703000,174239000,255183000
68,Total Liabilities And Stockholders Equity,16547000,17853000,24394000,34523000,160290000,198548000,285146000,332245000,286122000,328711000,277586000,281437000,337315000,274926000,280721000,305322000,333728000,410125000,432551000,402419000,348453000,403544000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4796000,- -,- -,- -,- -,- -,- -,- -,- -,- -,89143000
70,Total Liabilities & Equity,16547000,17853000,24394000,34523000,160290000,198548000,285146000,332245000,286122000,328711000,277586000,286233000,337315000,274926000,280721000,305322000,333728000,410125000,432551000,402419000,348453000,492687000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1284812/000095011705001145/0000950117-05-001145-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000095011706001196/0000950117-06-001196-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312507055801/0001193125-07-055801-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312508057582/0001193125-08-057582-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312509055641/0001193125-09-055641-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312510058479/0001193125-10-058479-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312511068763/0001193125-11-068763-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481212000132/0001284812-12-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481213000168/0001284812-13-000168-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481214000126/0001284812-14-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481215000137/0001284812-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481216000396/0001284812-16-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481217000114/0001284812-17-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481218000110/0001284812-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481219000102/0001284812-19-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481220000092/0001284812-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481221000150/0001284812-21-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481222000117/0001284812-22-000117-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,8436000,12051000,7288000,31921000,3204000,75496000,18061000,-1710000,46397000,54307000,66117000,68119000,75510000,64551000,92936000,91939000,113896000,134621000,76584000,211396000
74,Depreciation and Amortization,- -,- -,2625000,1002000,1136000,9642000,6403000,17719000,4027000,4221000,4531000,5056000,5562000,5606000,4624000,6213000,7610000,7117000,4473000,14444000,14780000,16033000
75,Deferred Income Tax,- -,- -,-52000,-98000,-18029000,-4235000,1191000,3325000,10431000,-283000,223000,-415000,-173000,-3087000,-279000,7392000,-900000,-314000,-1373000,96000,107000,104000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,21694000,13010000,15100000,18675000,17562000,21539000,24931000,22686000,21649000,21769000,24626000,27811000,29337000,40464000
77,Change in Working Capital,- -,- -,-7746000,17340000,85795000,8424000,55083000,43814000,-20266000,54268000,-102713000,58585000,71353000,-81070000,-3350000,5978000,57429000,734000,-126327000,7241000,-37202000,186976000
78,Accounts Receivable,- -,- -,-4481000,-9767000,-8938000,-9609000,-23872000,-4306000,13142000,-6137000,-9127000,-5940000,-5379000,2887000,-1916000,-724000,-3413000,-7613000,3262000,-8729000,-9310000,-16384000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,608000,4330000,2250000,17859000,11063000,13043000,- -,- -,- -,- -,- -,- -,- -,-803000,260000,-221000,2262000,-1175000,430000,- -
81,Other Working Capital,- -,- -,- -,17340000,103135000,111559000,166642000,210456000,190190000,244458000,141745000,200330000,271683000,190613000,187263000,193241000,250670000,251404000,125077000,132318000,95116000,282092000
82,Other Non-Cash Items,- -,- -,3883000,-19574000,-40334000,4365000,-60516000,-23558000,1230000,-47365000,90502000,-63763000,-140078000,64765000,-46854000,-17024000,-63766000,-56992000,57303000,-42768000,5580000,-212072000
83,Cash Provided by Operating Activities,- -,- -,7146000,10721000,35856000,50117000,5365000,116796000,35177000,22141000,54040000,72445000,20343000,75872000,54582000,89796000,114958000,64253000,72598000,141445000,89186000,242901000
84,CAPEX,- -,- -,-919000,-1062000,-436000,-7604000,-3895000,-5330000,-8031000,-2486000,-2854000,-2927000,-3361000,-6230000,-5916000,-2427000,-10183000,-3242000,-3470000,-2752000,-2502000,-2695000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-6890000,- -,- -,- -,- -,- -,811000,7741000,10881000,1184000,363000,41000,37000,52000,6000,- -
86,Purchases of Investments,- -,- -,-513000,-527000,-67819000,-58867000,-136588000,-83528000,-35427000,-32802000,-19748000,-37611000,-20733000,-10195000,-7829000,-5663000,-8096000,-16901000,-63557000,-50943000,-70963000,-54043000
87,Sales/Maturities of Investments,- -,- -,- -,- -,997000,42800000,95860000,15310000,45106000,45583000,54873000,37503000,25736000,26700000,12699000,7303000,20814000,25811000,13796000,89592000,71689000,104386000
88,Other Investing Activites,- -,- -,- -,- -,897000,485000,97012000,1175000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-1432000,-1589000,-66361000,-23186000,45499000,-72373000,1654000,10295000,32271000,-3035000,2453000,18016000,9835000,397000,2898000,5709000,-53194000,35949000,-1770000,47648000
90,Debt Repayment,- -,- -,-625000,-134000,-4837000,-1722000,-26000,-79000,-45000,-27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,1950000,- -,104990000,497000,71341000,1048000,803000,542000,426000,466000,439000,408000,491000,539000,642000,636000,597000,741000,859000,1001000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6608000,-38313000,-32008000,-2253000,-3386000,-6647000,-8484000,-7962000,-11722000,-19234000,-8040000,-9141000,-10599000,-10408000,-25937000,-22592000
93,Dividends Paid,- -,- -,-7339000,-9255000,-3983000,-16338000,-18278000,-38727000,-31592000,-8472000,-102400000,-69118000,-97208000,-79695000,-84237000,-68177000,-70825000,-98313000,-178879000,-162705000,-122489000,-147555000
94,Other Financing Activites,- -,- -,3640000,1693000,-43027000,- -,2975000,28705000,10761000,8461000,2343000,-2251000,49599000,25494000,29853000,15763000,3681000,46395000,70771000,2242000,-1328000,23720000
95,Cash Used/Provided by Financing Activities,- -,- -,-2374000,-7696000,53143000,-17563000,49404000,-47366000,-52081000,-1749000,-103017000,-77550000,-55654000,-61755000,-65615000,-71109000,-74542000,-60423000,-118110000,-170130000,-148895000,-145426000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-440000,- -,554000,136000,458000,- -,-227000,446000,732000,-2141000,-1294000,-2808000,679000,-2013000,1355000,1359000,-999000
97,Net Change In Cash,- -,- -,3340000,1436000,22638000,8928000,100268000,-2389000,-15114000,31145000,-16811000,-8367000,-32412000,32865000,-3339000,17790000,40506000,10218000,-100719000,8619000,-60120000,144124000
98,Cash at the End of Period,- -,- -,6090000,7526000,30164000,39092000,139360000,136971000,121857000,153002000,136191000,127824000,95412000,128277000,124938000,142728000,183234000,193452000,92733000,101352000,41232000,185356000
99,Cash at the Beginning of Period,- -,- -,2750000,6090000,7526000,30164000,39092000,139360000,136971000,121857000,153002000,136191000,127824000,95412000,128277000,124938000,142728000,183234000,193452000,92733000,101352000,41232000
100,Free Cash Flow,- -,- -,6227000,9659000,35420000,42513000,1470000,111466000,27146000,19655000,51186000,69518000,16982000,69642000,48666000,87369000,104775000,61011000,69128000,138693000,86684000,240206000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1284812/000095011705001145/0000950117-05-001145-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000095011706001196/0000950117-06-001196-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312507055801/0001193125-07-055801-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312508057582/0001193125-08-057582-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312509055641/0001193125-09-055641-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312510058479/0001193125-10-058479-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000119312511068763/0001193125-11-068763-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481212000132/0001284812-12-000132-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481213000168/0001284812-13-000168-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481214000126/0001284812-14-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481215000137/0001284812-15-000137-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481216000396/0001284812-16-000396-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481217000114/0001284812-17-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481218000110/0001284812-18-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481219000102/0001284812-19-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481220000092/0001284812-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481221000150/0001284812-21-000150-index.htm,https://www.sec.gov/Archives/edgar/data/1284812/000128481222000117/0001284812-22-000117-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
