,https://roic.ai/company/JBL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,213000000,166400000,318000000,367400000,543000000,817900000,896200000,1171400000,1859100000,3340252000,4132969000,3437697000,4584455000,6035543000,7237015000,9942055000,12036257000,12473498000,11520024000,13073628000,15915521000,16530010000,17710406000,15464741000,17310719000,17818884000,18490384000,21516361000,24555050000,26610006000,28220000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7426000,2956000,3132000,2041000,1901000,3741000,9953000,9128000,12525000,17813000,21460000,14559000,6000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82247000,79168000,97693000,106129000,121062000,128055000,128091000,136536000,138074000,149002000,188730000,173877000,130000000
14,Depreciation and Amortization,4200000,4700000,6800000,9500000,12000000,18200000,24900000,35700000,56000000,99337000,155388000,188308000,224439000,221668000,219121000,197274000,239702000,276311000,291997000,283284000,319179000,353492000,418117000,487278000,529176000,696752000,760405000,773704000,771833000,794581000,876000000
15,EBITDA,20200000,9700000,20200000,14500000,22100000,56200000,105100000,117600000,195600000,312033000,321536000,233064000,261393000,419181000,495493000,422390000,334339000,435322000,-630070000,607793000,896164000,967119000,926634000,930357000,1078747000,1219532000,1156635000,1294896000,1408904000,1226329000,1948000000
16,EBITDA ratio,0.0868,0.0560,0.0604,0.0386,0.0395,0.0651,0.1075,0.0921,0.0978,0.0877,0.0742,0.0657,0.0553,0.0670,0.0659,0.0411,0.0272,0.0341,-0.0539,0.0453,0.0543,0.0564,0.0505,0.0590,0.0603,0.0664,0.0607,0.0586,0.0557,0.0450,0.0665
17,Operating Income,19600000,6700000,16700000,8400000,16500000,45400000,81900000,85100000,141200000,212916000,163762000,48050000,44453000,216015000,287371000,241807000,181939000,251397000,-910201000,327566000,578734000,621931000,511438000,204074000,555411000,522833000,410230000,542153000,701356000,499846000,1055000000
18,Operating Income ratio,0.0843,0.0387,0.0499,0.0224,0.0295,0.0526,0.0837,0.0666,0.0706,0.0598,0.0378,0.0136,0.0094,0.0345,0.0382,0.0236,0.0148,0.0197,-0.0779,0.0244,0.0350,0.0363,0.0279,0.0129,0.0310,0.0285,0.0215,0.0245,0.0277,0.0183,0.0360
19,Total Other Income Expenses (Gains),-3600000,-1700000,-3300000,-3400000,-6400000,-7300000,-1700000,-3100000,-1700000,-220000,2386000,-3294000,-7499000,-18502000,-10999000,-16691000,-87426000,-94204000,-94932000,-80299000,-97547000,-113031000,-125374000,-131951000,-123765000,-135788000,-153997000,-168752000,-250652000,-239108000,-111000000
20,Income Before Tax,16000000,5000000,13400000,5000000,10100000,38100000,80200000,82000000,139500000,212696000,166148000,44756000,36954000,197513000,276372000,225116000,94513000,157193000,-1005133000,247267000,481187000,508900000,386064000,72123000,431646000,387045000,256233000,373401000,450704000,260738000,944000000
21,Income Before Tax Ratio,0.0688,0.0289,0.0400,0.0133,0.0181,0.0441,0.0820,0.0642,0.0697,0.0598,0.0384,0.0126,0.0078,0.0316,0.0367,0.0219,0.0077,0.0123,-0.0860,0.0184,0.0291,0.0297,0.0211,0.0046,0.0241,0.0211,0.0134,0.0169,0.0178,0.0096,0.0322
22,Income Tax expense (Gain),5700000,1800000,5300000,2400000,2800000,13700000,27700000,25000000,48100000,67048000,47631000,10041000,-6053000,30613000,44525000,60598000,21401000,25119000,160898000,76501000,98229000,112811000,15973000,73711000,137461000,132149000,129066000,285860000,161230000,203959000,246000000
23,Net Income,10300000,3200000,8100000,2600000,7300000,24300000,52500000,56900000,91500000,145648000,118517000,34715000,43007000,166900000,231847000,164518000,73236000,133892000,-1165212000,168840000,381063000,394687000,371482000,241313000,284019000,254095000,129090000,86330000,287111000,53912000,696000000
24,Net Income ratio,0.0443,0.0185,0.0242,0.0069,0.0130,0.0281,0.0537,0.0445,0.0457,0.0409,0.0274,0.0098,0.0091,0.0267,0.0308,0.0160,0.0060,0.0105,-0.0997,0.0126,0.0231,0.0230,0.0203,0.0153,0.0159,0.0138,0.0068,0.0039,0.0114,0.0020,0.0238
25,EPS,0.11,0.04,0.08,0.03,0.07,0.17,0.34,0.38,0.58,0.81,0.62,0.18,0.22,0.83,1.14,0.79,0.36,0.65,-5.63,0.79,1.78,1.91,1.83,1.19,1.47,1.33,0.71,0.50,1.85,0.36,4.69
26,EPS Diluted,0.11,0.04,0.08,0.02,0.06,0.17,0.34,0.37,0.56,0.78,0.59,0.17,0.21,0.81,1.12,0.77,0.35,0.65,-5.63,0.78,1.73,1.87,1.79,1.19,1.45,1.32,0.69,0.49,1.81,0.35,4.58
27,Weighted Average Shares Outstanding,93636364,80000000,101250000,86666667,104285714,145336000,153360000,148500000,156506000,179032000,191862000,197396000,198495000,200430000,202501000,207413000,203779000,205275000,207002000,214332000,214502000,206160000,203096000,202497000,193689000,190413000,181902000,172237000,155613000,151613000,148548000
28,Weighted Average Shares Outstanding Diluted,93636364,80000000,101250000,130000000,121666667,145808000,153360000,154300000,163656000,187448000,202223000,200782000,202103000,205849000,207526000,212540000,206972000,206158000,207002000,217597000,220719000,211181000,207815000,202497000,196005000,192750000,185838000,175044000,158647000,155274000,152051000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898293/000095014400014452/0000950144-00-014452-index.html,https://www.sec.gov/Archives/edgar/data/898293/000095014401509611/0000950144-01-509611-index.html,- -,https://www.sec.gov/Archives/edgar/data/898293/000095014403012684/0000950144-03-012684-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095014404010550/0000950144-04-010550-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095014405010851/0000950144-05-010851-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312507115671/0001193125-07-115671-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312507225859/0001193125-07-225859-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312508219096/0001193125-08-219096-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095012309052410/0000950123-09-052410-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095012310094969/0000950123-10-094969-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312511284229/0001193125-11-284229-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312512435503/0001193125-12-435503-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312513413660/0001193125-13-413660-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312514377410/0001193125-14-377410-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/0001193125-15-345706-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312516742815/0001193125-16-742815-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312517313834/0001193125-17-313834-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312518303041/0001193125-18-303041-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312519271646/0001193125-19-271646-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312520274411/0001193125-20-274411-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312521305429/0001193125-21-305429-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,73300000,45500000,23100000,113600000,337602000,430652000,- -,699748000,621322000,796071000,773563000,663625000,772923000,876272000,744329000,888611000,1217256000,1011373000,1000249000,913963000,912059000,1189919000,1257949000,1163343000,1393557000,1567000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,27200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,73300000,45500000,23100000,140800000,337602000,430652000,- -,699748000,621322000,796071000,773563000,663625000,772923000,876272000,744329000,888611000,1217256000,1011373000,1000249000,913963000,912059000,1189919000,1257949000,1163343000,1393557000,1567000000
34,Net Receivables,- -,- -,- -,- -,- -,84800000,117000000,126300000,228600000,523096000,528196000,- -,759696000,777357000,955353000,1305531000,1374515000,1500065000,1298410000,1443879000,1134781000,1135964000,1294473000,1230916000,1467247000,1359610000,1397424000,1693268000,3657166000,3952443000,4139000000
35,Inventory,- -,- -,- -,- -,- -,64900000,96200000,123100000,191500000,477548000,431499000,- -,510218000,656681000,818435000,1452737000,1374400000,1528862000,1226656000,2094135000,2227339000,2268949000,2302155000,2008077000,2507264000,2456612000,2942083000,3457706000,3023003000,3131783000,4414000000
36,Other Current Assets,- -,- -,- -,- -,- -,4300000,7300000,17900000,27000000,49024000,56451000,- -,124285000,127315000,116076000,147134000,253753000,337287000,275488000,371675000,884629000,1017159000,1212244000,1119775000,977835000,1120100000,1097257000,1141000000,501573000,657102000,757000000
37,Total Current Assets,- -,- -,- -,- -,- -,227300000,266000000,290400000,587900000,1387270000,1446798000,- -,2093947000,2182675000,2685935000,3678965000,3666293000,4139137000,3676826000,4654018000,5135360000,5639328000,5820245000,5359017000,5866309000,5848381000,6626683000,7549923000,8345085000,9134885000,10877000000
38,PP&E,- -,- -,- -,- -,- -,70700000,139500000,224700000,314300000,587494000,744723000,- -,746204000,776353000,880736000,985262000,1261481000,1392479000,1377729000,1451392000,1641335000,1779155000,2395598000,2271705000,2804333000,3331879000,3228678000,3198016000,3333750000,4028159000,4465000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,608067000,1124484000,1119110000,25120000,28455000,36199000,95018000,436205000,383644000,462382000,594773000,608184000,627745000,622255000,696853000,715000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148888000,- -,381319000,352426000,453301000,80707000,146592000,172835000,131168000,104113000,89106000,119053000,304230000,244056000,283536000,296954000,284596000,279131000,256853000,209870000,182000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148888000,- -,381319000,352426000,453301000,688774000,1271076000,1291945000,156288000,132568000,125305000,214071000,740435000,627700000,745918000,891727000,892780000,906876000,879108000,906723000,897000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5923000,24727000,46356000,89562000,155508000,49673000,55101000,74989000,73411000,94069000,92702000,85169000,148859000,205722000,218252000,198827000,165407000,176000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,1900000,400000,11600000,18500000,43428000,17169000,- -,23275000,11979000,32563000,12373000,6820000,53068000,57342000,74668000,80951000,97176000,103434000,128622000,101478000,101831000,142132000,172574000,213705000,162242000,239000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,72600000,139900000,236300000,332800000,630922000,910780000,- -,1150798000,1146681000,1391327000,1732765000,2628939000,2893000000,1641032000,1713729000,1922580000,2163813000,3333536000,3120729000,3736898000,4474296000,4469312000,4495718000,4625390000,5262531000,5777000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,299900000,405900000,526700000,920700000,2018192000,2357578000,- -,3244745000,3329356000,4077262000,5411730000,6295232000,7032137000,5317858000,6367747000,7057940000,7803141000,9153781000,8479746000,9603207000,10322677000,11095995000,12045641000,12970475000,14397416000,16654000000
48,Accounts Payable,- -,- -,- -,- -,- -,78600000,125700000,132600000,263300000,594111000,392181000,- -,712697000,937636000,1339866000,2231864000,2001508000,2218969000,1938009000,2741719000,2885168000,2992865000,3301235000,3060814000,3663264000,3593195000,4257623000,4942932000,5166780000,5687038000,6841000000
49,Short-Term Debt,- -,- -,- -,- -,- -,2500000,2500000,8300000,8300000,8333000,8333000,- -,347237000,4412000,674000,63813000,501716000,269937000,197575000,167566000,74160000,18031000,215536000,12960000,323833000,45810000,445498000,25197000,375181000,160917000,108000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11831000,19236000,32987000,35665000,40332000,27623000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,893148000,1017144000,691365000,511329000,496219000,559000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,30500000,40500000,45800000,59200000,89531000,104261000,- -,203284000,217036000,227589000,405657000,487623000,558734000,550342000,695889000,930560000,848100000,1347663000,1247323000,1688044000,1035903000,1150328000,1571379000,2478815000,2715309000,3175000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,111600000,168700000,186700000,330800000,691975000,504775000,- -,1263218000,1159084000,1568129000,2701334000,2990847000,3047640000,2685926000,3605174000,3889888000,3858996000,4864434000,4321097000,5675141000,5568056000,6870593000,7230873000,8532105000,9059483000,10683000000
54,Long-Term Debt,- -,- -,- -,- -,- -,57300000,50000000,81700000,33300000,25000000,361667000,- -,297018000,305194000,326580000,329344000,760477000,1099473000,1036873000,1018930000,1112594000,1658326000,1690426000,1669585000,1346558000,2074012000,1632592000,2493502000,2121284000,2980323000,3211000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,2900000,3700000,7700000,8900000,28112000,36960000,- -,19223000,- -,- -,7846000,13677000,9409000,4178000,1462000,104212000,24245000,73173000,61670000,82167000,54290000,49327000,114385000,115818000,114657000,111000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,3900000,2000000,2200000,1900000,2922000,40100000,- -,76810000,45738000,47336000,78725000,78538000,152486000,148472000,149409000,67423000,154239000,170181000,167026000,164330000,168822000,175139000,243501000,300510000,417554000,512000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,64100000,55700000,91600000,44100000,56034000,438727000,- -,393051000,350932000,373916000,415915000,852692000,1261368000,1189523000,1169801000,1284229000,1836810000,1933780000,1898281000,1593055000,2297124000,1857058000,2851388000,2537612000,3512534000,3834000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412758000,441000000
61,Total Liabilities,- -,- -,- -,- -,- -,175700000,224400000,278300000,374900000,748009000,943502000,- -,1656269000,1510016000,1942045000,3117249000,3843539000,4309008000,3875449000,4774975000,5174117000,5695806000,6798214000,6219378000,7268196000,7865180000,8727651000,10082261000,11069717000,12572017000,14517000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,100000,190000,197000,- -,199000,201000,204000,211000,212000,215000,217000,220000,225000,232000,238000,244000,247000,250000,253000,257000,260000,264000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,67300000,119800000,176700000,268200000,426814000,545331000,- -,623053000,789953000,1021800000,1116035000,1131403000,1210417000,-13700000,123303000,441793000,766934000,1071175000,1245772000,1468910000,1660820000,1730893000,1760097000,2037037000,2040922000,2688000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-57200000,-77000000,-99700000,-141800000,-256656000,-348923000,- -,21079000,53057000,71329000,113104000,170960000,301401000,196972000,122062000,194706000,106275000,81248000,86962000,-50854000,-39877000,54620000,-19399000,-82794000,-34168000,-25000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,114100000,138700000,171400000,419300000,1099835000,1217471000,- -,944145000,976129000,1041884000,1065131000,1140436000,1203692000,1251673000,1332461000,1230396000,1231616000,1182626000,908850000,896553000,816978000,567748000,209302000,-67060000,-195634000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,124200000,181500000,248400000,545800000,1270183000,1414076000,- -,1588476000,1819340000,2135217000,2294481000,2443011000,2715725000,1435162000,1578046000,1867120000,2105057000,2335287000,2241828000,2314856000,2438171000,2353514000,1950257000,1887443000,1811384000,2136000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,299900000,405900000,526700000,920700000,2018192000,2357578000,- -,3244745000,3329356000,4077262000,5411730000,6286550000,7024733000,5310611000,6353021000,7041237000,7800863000,9133501000,8461206000,9583052000,10303351000,11081165000,12032518000,12957160000,14383401000,16653000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8682000,7404000,7247000,14726000,16703000,2278000,20280000,18540000,20155000,19326000,14830000,13123000,13315000,14015000,1000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,299900000,405900000,526700000,920700000,2018192000,2357578000,- -,3244745000,3329356000,4077262000,5411730000,6295232000,7032137000,5317858000,6367747000,7057940000,7803141000,9153781000,8479746000,9603207000,10322677000,11095995000,12045641000,12970475000,14397416000,16654000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/898293/000095014400014452/0000950144-00-014452-index.html,https://www.sec.gov/Archives/edgar/data/898293/000095014401509611/0000950144-01-509611-index.html,undefined,https://www.sec.gov/Archives/edgar/data/898293/000095014403012684/0000950144-03-012684-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095014404010550/0000950144-04-010550-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095014405010851/0000950144-05-010851-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312507115671/0001193125-07-115671-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312507225859/0001193125-07-225859-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312508219096/0001193125-08-219096-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095012309052410/0000950123-09-052410-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000095012310094969/0000950123-10-094969-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312511284229/0001193125-11-284229-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312512435503/0001193125-12-435503-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312513413660/0001193125-13-413660-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312514377410/0001193125-14-377410-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312515345706/0001193125-15-345706-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312516742815/0001193125-16-742815-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312517313834/0001193125-17-313834-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312518303041/0001193125-18-303041-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312519271646/0001193125-19-271646-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312520274411/0001193125-20-274411-index.htm,https://www.sec.gov/Archives/edgar/data/898293/000119312521305429/0001193125-21-305429-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,10300000,3200000,8100000,2600000,7300000,24300000,52500000,56900000,91500000,145648000,118517000,34715000,43007000,166900000,231847000,164518000,73236000,133892000,-1165212000,168840000,381063000,394687000,371482000,241313000,284019000,254095000,129090000,86330000,287111000,53912000,696000000
74,Depreciation and Amortization,4200000,4700000,6800000,9500000,12000000,18200000,24900000,35700000,56000000,99337000,155388000,188308000,224439000,221668000,219121000,197274000,239702000,276311000,291997000,283284000,319179000,353492000,418117000,487278000,529176000,696752000,760405000,773704000,771833000,794581000,876000000
75,Deferred Income Tax,- -,400000,100000,-800000,2300000,-2900000,-1800000,-5400000,4600000,13769000,9056000,922000,-28958000,-43142000,4609000,9212000,-32146000,-67448000,102375000,2331000,2266000,- -,-123165000,-38971000,-10912000,-23155000,-63001000,52705000,20998000,29209000,-13000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44026000,104609000,76230000,81405000,68383000,10624000,62560000,58997000,48544000,90664000,61346000,83084000,102000000
77,Change in Working Capital,-6400000,- -,- -,- -,- -,115700000,- -,-18400000,6400000,153400000,438195000,246728000,-111294000,192862000,94215000,-140175000,-302185000,416051000,-100597000,57944000,196628000,534860000,-824521000,82109000,-846752000,89157000,-524235000,562960000,-506070000,262422000,118598000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169741000,-247133000,48232000,-22626000,750000,-116458000,-292706000,122115000,-31353000,-316262000,-586511000,-135973000,-283000000
79,Inventory,3600000,300000,-12500000,-23300000,-36700000,26800000,-31300000,10600000,-68400000,-255615000,97698000,154516000,68640000,-133907000,-106291000,-577934000,201546000,-27602000,283816000,-969348000,-158545000,-53268000,50229000,160790000,-483071000,67966000,-445089000,-499105000,483074000,-77320000,-1276000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21955000,485972000,-177586000,984651000,-86060000,744470000,815258000,- -,592972000,1310000000
81,Other Working Capital,- -,- -,- -,- -,- -,115700000,115700000,97300000,103700000,257100000,695295000,942023000,830729000,1023591000,1117806000,977631000,675446000,1091497000,990900000,1048844000,1245472000,1780332000,955811000,1037920000,191168000,280325000,-243910000,319050000,-187020000,75402000,194000000
82,Other Non-Cash Items,100000,8200000,-26200000,-25700000,-34600000,-55200000,-6200000,29600000,-51200000,-376738000,-538377000,83435000,136299000,-87047000,40209000,217347000,205282000,-346941000,1384720000,-189598000,-147357000,-730218000,1303593000,-283496000,1222191000,-159639000,905840000,-632513000,557848000,34067000,-346598000
83,Cash Provided by Operating Activities,8200000,16500000,-11200000,-14400000,-13000000,100100000,69400000,98400000,107300000,35416000,182779000,554108000,263493000,451241000,590001000,448176000,183889000,411865000,557309000,427410000,828009000,634226000,1213889000,498857000,1240282000,916207000,1256643000,933850000,1193066000,1257275000,1433000000
84,CAPEX,-2100000,-7600000,-25700000,-15400000,-25800000,-27300000,-93800000,-99800000,-150100000,- -,- -,-85460000,-117215000,-217741000,-256849000,-279861000,-302190000,-337502000,-292238000,-398425000,-458989000,-497697000,-736858000,-624060000,-963145000,-924239000,-716485000,-1036651000,-1005480000,-983035000,-1159000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-369855000,-448402000,-278617000,-415166000,-1492000,-216060000,-166686000,-771898000,-58243000,-4176000,-27140000,3985000,-125098000,-650054000,531189000,-167441000,-242143000,-36620000,-109664000,-153239000,-146909000,-50000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-27200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3342000,-3600000,-11939000,-10250000,-2033000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27176000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,200000,900000,200000,400000,400000,400000,-62300000,3000000,6339000,6886000,13704000,14888000,13640000,-15785000,29077000,19666000,11025000,10239000,-14692000,22926000,16925000,15792000,157138000,21078000,-3349000,175673000,347931000,286265000,208831000,358000000
89,Cash Used for Investing Activites,-2100000,-7400000,-24800000,-15200000,-25400000,-26900000,-93400000,-162100000,-174300000,-336340000,-441516000,-350373000,-517493000,-205593000,-488694000,-417470000,-1054422000,-384720000,-286175000,-440257000,-426278000,-605870000,-1374462000,60667000,-1121447000,-1179981000,-579465000,-798384000,-872454000,-921113000,-851000000
