,https://roic.ai/company/CVEO,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-22721000,-20088000,-13392000,-18750000,-20172000,-20773000,-25157000,-20024000,3773000,-179000
20,Income Before Tax,330208000,239368000,-156283000,-163753000,-115932000,-118744000,-113212000,-69075000,-143415000,5873000
21,Income Before Tax Ratio,0.2978,0.2299,-0.1657,-0.3161,-0.2919,-0.3106,-0.2426,-0.1309,-0.2707,0.0099
22,Income Tax expense (Gain),84266000,56056000,31379000,-33089000,-20105000,-13490000,-31365000,-10741000,-10635000,3376000
23,Net Income,244721000,181876000,-189043000,-131759000,-96388000,-105713000,-82243000,-58491000,-134250000,1350000
24,Net Income ratio,0.2207,0.1747,-0.2005,-0.2544,-0.2427,-0.2765,-0.1762,-0.1109,-0.2534,0.0023
25,EPS,27.40,20.45,-21.24,-14.88,-10.80,-9.84,-10.08,-4.32,-9.64,-0.04
26,EPS Diluted,27.40,20.45,-21.24,-14.88,-10.80,-9.84,-10.08,-4.32,-9.64,-0.04
27,Weighted Average Shares Outstanding,8895624,8895624,8858797,8883631,8918630,10697040,13102530,13920527,14129000,14232000
28,Weighted Average Shares Outstanding Diluted,8895624,8895624,8858797,8883631,8918630,10697040,13102530,13920527,14129000,14232000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590584/000143774915005012/oisasc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1590584/000143774916026172/0001437749-16-026172-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000143774917003062/0001437749-17-003062-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000143774918003216/0001437749-18-003216-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058419000055/0001590584-19-000055-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058420000029/0001590584-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058421000037/0001590584-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1590584/000159058422000011/0001590584-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,224128000,263314000,7837000,1785000,32647000,12372000,3331000,6155000,6282000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,224128000,263314000,7837000,1785000,32647000,12372000,3331000,6155000,6282000
34,Net Receivables,- -,177845000,160253000,61467000,56302000,66823000,70223000,99493000,89782000,114859000
35,Inventory,- -,29815000,13228000,5631000,3112000,7246000,4313000,5877000,6181000,6468000
36,Other Current Assets,- -,7956000,27161000,16301000,21369000,25496000,20889000,22740000,17095000,29584000
37,Total Current Assets,- -,439744000,463956000,91236000,82568000,132212000,107797000,131441000,119213000,157193000
38,PP&E,- -,1325867000,1248430000,931914000,789710000,693833000,658905000,615185000,509536000,408323000
39,Goodwill,- -,261056000,45260000,- -,- -,- -,114207000,110173000,8729000,8204000
40,Intangible Assets,- -,75675000,50882000,35309000,28039000,22753000,119409000,111837000,99749000,93642000
41,Intangible Assets,- -,336731000,96142000,35309000,28039000,22753000,233616000,222010000,108478000,101846000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,20895000,20633000,12753000,10129000,5114000,1359000,1276000,3626000,5372000
45,Total Non-Current Assets,- -,1683493000,1365205000,979976000,827878000,721700000,893880000,838471000,621640000,515541000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2123237000,1829161000,1071212000,910446000,853912000,1001677000,969912000,740853000,672734000
48,Accounts Payable,- -,45376000,36277000,24609000,21119000,27812000,28334000,36971000,42056000,49321000
49,Short-Term Debt,- -,- -,19375000,17698000,15471000,16596000,33329000,35080000,34585000,30576000
50,Tax Payable,- -,4701000,1628000,2067000,838000,2952000,2487000,3480000,3302000,171000
51,Deferred Revenue,- -,19571000,18539000,7747000,6792000,5442000,3035000,7165000,6812000,18479000
52,Other Current Liabilities,- -,32105000,44250000,16431000,17061000,25779000,21985000,30824000,33312000,38542000
53,Total Current Liabilities,- -,97052000,118441000,66485000,60443000,75629000,86683000,110040000,116765000,136918000
54,Long-Term Debt,- -,335171000,755625000,383862000,337800000,277990000,342908000,321792000,233834000,158031000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,79739000,55500000,25391000,9194000,- -,18442000,9452000,- -,896000
57,Other Non-Current Liabilities,- -,18530000,39486000,31704000,27019000,23926000,18220000,37823000,14897000,13778000
58,Total Non-Current Liabilities,- -,433440000,850611000,440957000,374013000,301916000,379570000,369067000,248731000,172705000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,21231000,19834000,15429000
61,Total Liabilities,- -,530492000,969052000,507442000,434456000,377545000,466253000,479107000,365496000,309623000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,56280000,58129000,60016000,61941000
63,Common Stock,- -,- -,1067000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-244617000,-376376000,-472764000,-579113000,-710551000,-771590000,-907727000,-912951000
65,Other Comprehensive Income/Loss,- -,-59979000,-198491000,-366309000,-362930000,-328213000,-371249000,-363173000,-348989000,-361883000
66,Other Total Stockholders Equity,- -,1652745000,1300042000,1306146000,1311754000,1383480000,1616975000,1625395000,- -,- -
67,Total Stockholders Equity,- -,1591034000,858001000,563245000,475467000,476250000,535424000,490143000,374685000,361499000
68,Total Liabilities And Stockholders Equity,- -,2121526000,1827053000,1070687000,909923000,853795000,1001677000,969250000,740181000,671122000
69,Minority Interest,- -,1711000,2108000,525000,523000,117000,- -,662000,672000,1612000
70,Total Liabilities & Equity,- -,2123237000,1829161000,1071212000,910446000,853912000,1001677000,969912000,740853000,672734000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1590584/000143774915005012/oisasc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1590584/000143774916026172/0001437749-16-026172-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000143774917003062/0001437749-17-003062-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000143774918003216/0001437749-18-003216-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058419000055/0001590584-19-000055-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058420000029/0001590584-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058421000037/0001590584-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1590584/000159058422000011/0001590584-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,244721000,181876000,-189043000,-131759000,-96388000,-105713000,-82243000,-58491000,-134250000,1350000
74,Depreciation and Amortization,139047000,167213000,174970000,152990000,131302000,126443000,125846000,123768000,96547000,83101000
75,Deferred Income Tax,13812000,11607000,4333000,-34175000,-13208000,-8976000,-31403000,-11713000,-11122000,3070000
76,Stock Based Compensation,3258000,4894000,6283000,4614000,5296000,7338000,11036000,10116000,6066000,4127000
77,Change in Working Capital,33030000,364033000,2823000,-320764000,-2626000,34458000,-35469000,287000,-18953000,-8765000
78,Accounts Receivable,-12096000,12554000,4840000,80347000,6680000,-6896000,13326000,-20547000,13679000,-28131000
79,Inventory,10963000,-11885000,15174000,5406000,1773000,-4463000,3376000,-87000,171000,-526000
80,Accounts Payable,27188000,-28257000,-167000,-12885000,-4463000,12674000,-17716000,8473000,6890000,15435000
81,Other Working Capital,-21341000,342692000,345515000,24751000,22125000,56583000,21114000,21401000,2448000,4485000
82,Other Non-Cash Items,-1205000,-392245000,291687000,515225000,37728000,3276000,66624000,10514000,179073000,5651000
83,Cash Provided by Operating Activities,432663000,337378000,291053000,186131000,62104000,56826000,54391000,74481000,117361000,88534000
84,CAPEX,-314047000,-291694000,-251158000,-62451000,-19779000,-11194000,-17108000,-29812000,-10083000,-15571000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-171337000,-16434000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-305701000,-284206000,-239072000,-49768000,-12689000,-8738000,-10610000,-22144000,-1774000,-706000
89,Cash Used for Investing Activites,-305701000,-284206000,-239072000,-49768000,-12689000,-8738000,-181947000,-38578000,-1774000,-706000
90,Debt Repayment,-14122000,-133756000,- -,-969709000,-366761000,-125243000,-243948000,-420013000,-487769000,-125483000
91,Common Stock Issued,- -,- -,- -,500000,- -,64734000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4649000
93,Dividends Paid,- -,- -,-27790000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,15639000,164091000,44022000,619594000,308477000,42437000,353471000,375382000,373563000,43625000
95,Cash Used/Provided by Financing Activities,1517000,30335000,16232000,-349615000,-58284000,-18072000,109523000,-44631000,-114206000,-86507000
96,Effect of Forex Changes on Cash,843000,-20775000,-29027000,-42225000,2817000,846000,-2242000,-313000,1443000,-1194000
97,Net Change In Cash,129322000,62732000,39186000,-255477000,-6052000,30862000,-20275000,-9041000,2824000,127000
98,Cash at the End of Period,161396000,224128000,263314000,7837000,1785000,32647000,12372000,3331000,6155000,6282000
99,Cash at the Beginning of Period,32074000,161396000,224128000,263314000,7837000,1785000,32647000,12372000,3331000,6155000
100,Free Cash Flow,118616000,45684000,39895000,123680000,42325000,45632000,37283000,44669000,107278000,72963000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1590584/000143774915005012/oisasc20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/1590584/000143774916026172/0001437749-16-026172-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000143774917003062/0001437749-17-003062-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000143774918003216/0001437749-18-003216-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058419000055/0001590584-19-000055-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058420000029/0001590584-20-000029-index.html,https://www.sec.gov/Archives/edgar/data/1590584/000159058421000037/0001590584-21-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1590584/000159058422000011/0001590584-22-000011-index.htm
102,false,,,,,,,,,,
