,https://roic.ai/company/ORN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,- -,-16376000,419000,19981000,31077000,40169000,40356000,50638000,53733000,2980000,5807000,21457000,34197000,20652000,38298000,31081000,-66913000,36902000,60207000,3474000
16,EBITDA ratio,- -,- -,-Infinity,0.0129,0.1194,0.1696,0.1910,0.1541,0.1725,0.1522,0.0115,0.0199,0.0605,0.0886,0.0443,0.0662,0.0537,-0.1285,0.0521,0.0848,0.0058
17,Operating Income,- -,- -,-16376000,32570000,10890000,21112000,27448000,22473000,31750000,32587000,-19341000,-14203000,-106000,9903000,-7533000,4074000,1538000,-100540000,2193000,26586000,-9317000
18,Operating Income ratio,- -,- -,-Infinity,1.0000,0.0651,0.1152,0.1305,0.0858,0.1082,0.0923,-0.0744,-0.0486,-0.0003,0.0257,-0.0161,0.0070,0.0027,-0.1930,0.0031,0.0374,-0.0155
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-1774000,-1669000,129000,-716000,-186000,1254000,-120000,-2303000,-500000,149000,-3046000,-6113000,-5679000,-6115000,-5684000,-4390000,-4741000
20,Income Before Tax,- -,- -,- -,- -,9116000,19443000,27577000,21757000,31564000,33841000,-19461000,-16506000,-606000,10052000,-10579000,-2039000,-4141000,-106655000,-3491000,22196000,-14058000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0545,0.1061,0.1311,0.0831,0.1075,0.0958,-0.0749,-0.0565,-0.0017,0.0261,-0.0227,-0.0035,-0.0072,-0.2048,-0.0049,0.0313,-0.0234
22,Income Tax expense (Gain),- -,- -,- -,- -,3805000,7040000,10178000,7282000,11534000,11959000,-6347000,-4640000,-937000,3175000,-2519000,1581000,-4541000,-12233000,1868000,1976000,502000
23,Net Income,- -,- -,4879000,419000,5311000,12403000,17399000,14475000,20030000,21882000,-13114000,-11866000,331000,6877000,-8060000,-3620000,400000,-94422000,-5359000,20220000,-14560000
24,Net Income ratio,- -,- -,Infinity,0.0129,0.0317,0.0677,0.0827,0.0553,0.0682,0.0620,-0.0505,-0.0406,0.0009,0.0178,-0.0173,-0.0063,0.0007,-0.1813,-0.0076,0.0285,-0.0242
25,EPS,- -,- -,50.25,-0.00,0.20,0.65,0.86,0.67,0.85,0.81,-0.49,-0.44,0.01,0.25,-0.29,-0.13,0.01,-3.31,-0.18,0.67,-0.47
26,EPS Diluted,- -,- -,50.25,-0.00,0.20,0.63,0.83,0.66,0.84,0.81,-0.49,-0.44,0.01,0.25,-0.29,-0.13,0.01,-3.31,-0.18,0.67,-0.47
27,Weighted Average Shares Outstanding,- -,- -,97000,15695067,15706960,15872360,19400942,21482900,23577854,26899373,26990059,27138927,27296732,27421441,27366528,27536967,28029936,28518353,29322054,30122362,30979207
28,Weighted Average Shares Outstanding Diluted,- -,- -,97000,15695067,16135211,16407250,19976317,21979317,23979943,27165852,26990059,27138927,27613054,27787613,27366528,27536967,28354280,28518353,29322054,30122362,30979207
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402829/000140282909000005/0001402829-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282910000003/0001402829-10-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/1402829/000140282912000008/0001402829-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282913000003/0001402829-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282914000030/0001402829-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282915000007/orn12312014.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282916000040/0001402829-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282917000009/0001402829-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282918000003/0001402829-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282919000010/0001402829-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282920000007/0001402829-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282921000004/0001402829-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282922000007/0001402829-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,8420000,- -,7645000,18561000,12584000,25712000,104736000,23174000,38979000,43084000,40859000,38893000,1345000,305000,9086000,8684000,128000,1589000,12293000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,8420000,- -,7645000,18561000,12584000,25712000,104736000,23174000,38979000,43084000,40859000,38893000,1345000,305000,9086000,8684000,128000,1589000,12293000
34,Net Receivables,- -,- -,- -,- -,32627000,29335000,47473000,55461000,36820000,63600000,42091000,75686000,74726000,97702000,167482000,172504000,170487000,118059000,201438000,225036000,- -
35,Inventory,- -,- -,- -,- -,558000,526000,646000,738000,1472000,2991000,3361000,4354000,3520000,6487000,4867000,5392000,4386000,1056000,1114000,1548000,1428000
36,Other Current Assets,- -,- -,- -,- -,381000,776000,844000,4526000,26941000,29973000,18764000,5526000,6173000,8052000,19423000,16907000,7830000,9257000,9285000,7229000,184213000
37,Total Current Assets,- -,- -,- -,- -,41211000,49198000,61547000,86437000,169969000,119738000,103195000,128650000,125278000,151134000,193117000,195108000,191789000,137056000,211965000,235402000,197934000
38,PP&E,- -,- -,- -,- -,69914000,71334000,68746000,84154000,90790000,155311000,146107000,150671000,141923000,161773000,165989000,158082000,146278000,148003000,158241000,157229000,121340000
39,Goodwill,- -,- -,- -,- -,2481000,2481000,2481000,12096000,12096000,32168000,32168000,34817000,33798000,33798000,65982000,66351000,69483000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,3556000,38000,5000,- -,627000,197000,87000,29319000,22032000,18175000,14787000,12147000,10077000,8556000
41,Intangible Assets,- -,- -,- -,- -,2481000,2481000,2481000,15652000,12134000,32173000,32168000,35444000,33995000,33885000,95301000,88383000,87658000,14787000,12147000,10077000,8556000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85000,70000,41000
44,Other Non-Current Assets,- -,- -,- -,- -,1020000,2059000,760000,79000,264000,357000,1617000,2550000,5012000,5508000,11093000,6103000,7560000,13024000,12406000,11411000,23879000
45,Total Non-Current Assets,- -,- -,- -,- -,73415000,75874000,71987000,99885000,103188000,187841000,179892000,188665000,180930000,201166000,272383000,252568000,241496000,175814000,182879000,178787000,153816000
46,Other Assets,- -,- -,53711000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,53711000,- -,114626000,125072000,133534000,186322000,273157000,307579000,283087000,317315000,306208000,352300000,465500000,447676000,433285000,312870000,394844000,414189000,351750000
48,Accounts Payable,- -,- -,- -,- -,17616000,19456000,19225000,24942000,24907000,25896000,11977000,31177000,24772000,23595000,54390000,50016000,47184000,42759000,70983000,48968000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,5909000,- -,- -,- -,12621000,8564000,33527000,12459000,19188000,22756000,2946000,3668000,13910000,14977000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,7456000,405000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16369000,14595000,16704000,28484000,27681000,33923000,21761000,48781000,33135000,- -
52,Other Current Liabilities,- -,- -,- -,- -,8866000,16772000,9870000,8565000,14302000,17114000,15378000,12708000,11874000,16800000,22962000,20635000,18129000,18840000,26320000,84600000,146760000
53,Total Current Liabilities,- -,- -,- -,- -,26482000,36228000,29095000,39416000,39209000,43010000,27355000,72875000,59805000,90626000,118295000,117520000,121992000,86306000,149752000,180613000,161737000
54,Long-Term Debt,- -,- -,- -,- -,29983000,19190000,- -,28216000,- -,- -,- -,- -,- -,3480000,98188000,82077000,63185000,76119000,68029000,69148000,11896000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,315000,260000,203000,146000,87000,34000,- -,- -,- -,- -,- -,- -,169000
56,Deferred Tax Liabilities,- -,- -,- -,- -,16896000,15934000,13928000,12286000,11453000,16707000,21287000,18496000,17978000,20877000,19345000,19000000,13243000,49000,205000,207000,169000
57,Other Non-Current Liabilities,- -,- -,- -,- -,535000,481000,427000,793000,514000,746000,606000,564000,526000,566000,1958000,2875000,3599000,8811000,38837000,4727000,29681000
58,Total Non-Current Liabilities,- -,- -,- -,- -,47414000,35605000,14355000,41295000,12282000,17713000,22096000,19206000,18591000,24957000,119491000,103952000,80027000,84979000,107071000,74082000,41915000
59,Other Liabilities,- -,- -,21672000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3045000,43116000,49191000,- -
61,Total Liabilities,- -,- -,21672000,- -,73896000,71833000,43450000,80711000,51491000,60723000,49451000,92081000,78396000,115583000,237786000,221472000,202019000,171285000,256823000,254695000,203652000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,167000,167000,216000,216000,268000,270000,274000,275000,278000,279000,279000,283000,288000,296000,303000,312000,317000
64,Retained Earnings,- -,- -,- -,- -,5730000,18133000,35532000,50007000,70037000,91919000,78805000,66939000,66567000,73444000,65384000,61764000,62847000,-31861000,-37220000,-17000000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-38508000,-48596000,-56223000,-69092000,-82671000,- -,-119440000,-136556000,-144121000,-161276000,-164371000,-181293000,-191407000,-195373000,-1000000,-1602000,- -
66,Other Total Stockholders Equity,- -,- -,32039000,- -,73341000,83535000,110559000,124480000,234032000,- -,273997000,294526000,305088000,324270000,326422000,345450000,359538000,368523000,175938000,177784000,147781000
67,Total Stockholders Equity,- -,- -,32039000,- -,40730000,53239000,90084000,105611000,221666000,246856000,233636000,225184000,227812000,236717000,227714000,226204000,231266000,141585000,138021000,159494000,148098000
68,Total Liabilities And Stockholders Equity,- -,- -,53711000,- -,114626000,125072000,133534000,186322000,273157000,307579000,283087000,317265000,306208000,352300000,465500000,447676000,433285000,312870000,394844000,414189000,351750000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,53711000,- -,114626000,125072000,133534000,186322000,273157000,307579000,283087000,317315000,306208000,352300000,465500000,447676000,433285000,312870000,394844000,414189000,351750000
71,SEC Link,undefined,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402829/000140282909000005/0001402829-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282910000003/0001402829-10-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/1402829/000140282912000008/0001402829-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282913000003/0001402829-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282914000030/0001402829-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282915000007/orn12312014.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282916000040/0001402829-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282917000009/0001402829-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282918000003/0001402829-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282919000010/0001402829-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282920000007/0001402829-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282921000004/0001402829-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282922000007/0001402829-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,4879000,- -,5311000,12403000,17399000,14475000,20030000,21882000,-13114000,-11866000,331000,6877000,-8060000,-3620000,400000,-94422000,-5359000,20220000,-14560000
74,Depreciation and Amortization,- -,- -,- -,- -,10865000,11634000,12592000,18599000,18536000,19458000,22092000,21570000,21538000,23451000,28083000,34162000,29491000,31799000,33585000,33091000,22608000
75,Deferred Income Tax,- -,- -,- -,- -,-1175000,1333000,-1998000,-2410000,-1013000,4959000,5192000,-1646000,-239000,1869000,-2885000,751000,-4166000,-13194000,71000,17000,-9000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1614000,2542000,2712000,3115000,2141000,1594000,2275000,2280000,2303000,2238000,2753000,1998000,2401000
77,Change in Working Capital,- -,- -,- -,- -,14729000,-1759000,19482000,14569000,83739000,-54032000,-888000,-20065000,5638000,-4965000,14314000,2766000,-7791000,-19047000,11463000,-7424000,-18592000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1996000,-5073000,26135000,-26966000,4571000,-4202000,-2666000,-23935000,15022000,10936000,-51709000,23587000,4703000
79,Inventory,- -,- -,- -,- -,-32000,32000,-120000,-92000,-734000,-1519000,-370000,-497000,-3024000,-3702000,1150000,1696000,89000,647000,503000,148000,371000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,11241000,-7651000,-12970000,18826000,-6405000,-1178000,12245000,-5717000,-5666000,-4584000,28894000,-22015000,589000
81,Other Working Capital,- -,- -,- -,- -,14729000,12970000,32452000,47021000,130760000,76728000,75840000,55775000,65473000,60508000,74822000,77588000,69797000,50750000,62213000,54789000,36197000
82,Other Non-Cash Items,- -,- -,-4879000,- -,-18112000,8864000,-37383000,-18762000,-82570000,19030000,16682000,33330000,-16376000,-16881000,-8548000,-13190000,13896000,114557000,-43229000,-1870000,8221000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,11618000,32475000,10092000,26471000,40336000,13839000,32676000,24438000,13033000,11945000,25179000,23149000,34133000,21931000,-716000,46032000,69000
84,CAPEX,- -,- -,- -,- -,-9149000,-11931000,-11433000,-14485000,-22693000,-29050000,-14894000,-24647000,-12760000,-43792000,-20802000,-18715000,-10729000,-17714000,-17199000,-14694000,27164000
85,Acquisitions Net,- -,- -,- -,- -,- -,-494000,- -,-36713000,- -,-6653000,- -,-9000000,- -,- -,-110701000,-369000,-6557000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94000,- -,- -,- -
88,Other Investing Activites,- -,- -,-6809000,- -,3718000,438000,1970000,3861000,1095000,-60052000,841000,374000,750000,1005000,2708000,1398000,7206000,4320000,3868000,11565000,-16535000
89,Cash Used for Investing Activites,- -,- -,-6809000,- -,-5431000,-11987000,-9463000,-47337000,-21598000,-95755000,-14053000,-33273000,-12010000,-42787000,-128795000,-17686000,-10080000,-13300000,-13331000,-3129000,10629000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-34125000,-411000,- -,-5379000,-4057000,-1557000,-75382000,-63084000,-87813000,-50848000,-73116000,-51823000,-49120000
91,Common Stock Issued,- -,- -,- -,- -,3513000,- -,260574000,- -,90997000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-24000,-241986000,-51000,- -,- -,-3003000,- -,- -,-436000,-3101000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-5476000,- -,-9757000,-9548000,-25194000,34045000,3414000,765000,185000,18319000,809000,30869000,144551000,56581000,72541000,41815000,79565000,9423000,49126000
95,Cash Used/Provided by Financing Activities,- -,- -,-5476000,- -,-6244000,-9572000,-6606000,33994000,60286000,354000,-2818000,12940000,-3248000,28876000,66068000,-6503000,-15272000,-9033000,6449000,-42400000,6000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-5476000,- -,-57000,10916000,-5977000,13128000,79024000,-81562000,15805000,4105000,-2225000,-1966000,-37548000,-1040000,8781000,-402000,-7598000,503000,10704000
98,Cash at the End of Period,- -,- -,- -,- -,7645000,18561000,12584000,25712000,104736000,23174000,38979000,43084000,40859000,38893000,1345000,305000,9086000,8684000,1086000,1589000,12293000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7702000,7645000,18561000,12584000,25712000,104736000,23174000,38979000,43084000,40859000,38893000,1345000,305000,9086000,8684000,1086000,1589000
100,Free Cash Flow,- -,- -,- -,- -,2469000,20544000,-1341000,11986000,17643000,-15211000,17782000,-209000,273000,-31847000,4377000,4434000,23404000,4217000,-17915000,31338000,27233000
101,SEC Link,undefined,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1402829/000140282909000005/0001402829-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282910000003/0001402829-10-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/1402829/000140282912000008/0001402829-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282913000003/0001402829-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282914000030/0001402829-14-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282915000007/orn12312014.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282916000040/0001402829-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282917000009/0001402829-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282918000003/0001402829-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282919000010/0001402829-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282920000007/0001402829-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1402829/000140282921000004/0001402829-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1402829/000140282922000007/0001402829-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
