,https://roic.ai/company/LEG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,67700000,85100000,92200000,117900000,146000000,194700000,190700000,196000000,237700000,283900000,321900000,395700000,464400000,550700000,640500000,740400000,630200000,404400000,418300000,470700000,479100000,508300000,463900000,432300000,377600000,359000000,427500000,406100000,418900000,468100000,438000000,414500000,419800000,445600000,533000000,468200000,- -
11,COGS and Expenses,432100000,527400000,582700000,743000000,903200000,1021200000,1003800000,1061700000,1370100000,1656100000,1823100000,2162600000,2547500000,2943500000,3278700000,3789700000,3752000000,3854500000,4034800000,4640400000,4865600000,5015300000,3971700000,3817200000,2803000000,3062700000,3398200000,3378900000,3417700000,3460000000,3432000000,3265200000,3495700000,3826400000,4234900000,3853900000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,5500000,5200000,6700000,6500000,7700000,5800000,4400000,3900000,7600000,8400000,7400000,3100000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48400000,37400000,37700000,38300000,43400000,44700000,41800000,41100000,38800000,43500000,60900000,90700000,82700000,- -
14,Depreciation and Amortization,13100000,16200000,17600000,21700000,25700000,30200000,36400000,38200000,45300000,56900000,67100000,92200000,105600000,127900000,149300000,173300000,196600000,164600000,167000000,177200000,171100000,175400000,183400000,140400000,130300000,122800000,116900000,116100000,122600000,117900000,113200000,115400000,125900000,136100000,191900000,189400000,- -
15,EBITDA,54200000,74400000,81700000,81700000,101400000,80800000,100300000,138000000,186300000,246400000,287800000,329400000,438900000,523500000,611900000,591900000,493900000,528100000,482100000,599800000,527300000,610200000,249600000,358300000,356800000,409000000,358300000,464000000,419600000,328000000,601200000,660000000,600400000,581200000,712600000,592900000,- -
16,EBITDA ratio,0.1132,0.1270,0.1258,0.1009,0.1023,0.0742,0.0927,0.1179,0.1220,0.1326,0.1398,0.1336,0.1509,0.1553,0.1619,0.1384,0.1201,0.1236,0.1099,0.1179,0.0995,0.1108,0.0580,0.0879,0.1168,0.1218,0.0985,0.1247,0.1120,0.0867,0.1535,0.1760,0.1522,0.1361,0.1499,0.1385,- -
17,Operating Income,46800000,58300000,66500000,66900000,88400000,67400000,78000000,108800000,156600000,202000000,236200000,303600000,361700000,426900000,500300000,486600000,361800000,417300000,353400000,445100000,433700000,490100000,334700000,258900000,252100000,296400000,237800000,341900000,328300000,322300000,485200000,484700000,448100000,443100000,517600000,426300000,- -
18,Operating Income ratio,0.0977,0.0995,0.1024,0.0826,0.0891,0.0619,0.0721,0.0930,0.1026,0.1087,0.1147,0.1231,0.1243,0.1267,0.1324,0.1138,0.0879,0.0977,0.0805,0.0875,0.0818,0.0890,0.0777,0.0635,0.0825,0.0882,0.0654,0.0919,0.0876,0.0852,0.1239,0.1293,0.1136,0.1038,0.1089,0.0996,- -
19,Total Other Income Expenses (Gains),-5700000,-100000,-2400000,-6900000,-12700000,-16800000,-14100000,-9000000,-15600000,-12500000,-15500000,-53900000,-28400000,-31300000,-37700000,-68000000,-64500000,-53800000,-38300000,-22500000,-77500000,-55300000,-206300000,-70900000,-53700000,-40900000,-31600000,-37500000,-80500000,-26800000,-35400000,2400000,-16100000,-58700000,-87500000,-105400000,- -
20,Income Before Tax,41100000,58200000,64100000,60000000,75700000,50600000,63900000,99800000,141000000,189500000,220700000,249700000,333300000,395600000,462600000,418600000,297300000,363500000,315100000,422600000,356200000,434800000,128400000,188000000,198400000,255500000,206200000,304400000,247800000,295500000,449800000,487100000,432000000,384400000,430100000,320900000,- -
21,Income Before Tax Ratio,0.0858,0.0994,0.0987,0.0741,0.0763,0.0465,0.0591,0.0853,0.0924,0.1020,0.1072,0.1012,0.1146,0.1174,0.1224,0.0979,0.0723,0.0851,0.0718,0.0831,0.0672,0.0790,0.0298,0.0461,0.0649,0.0761,0.0567,0.0818,0.0662,0.0781,0.1148,0.1299,0.1095,0.0900,0.0905,0.0750,- -
22,Income Tax expense (Gain),17100000,23600000,26600000,22300000,29800000,21200000,24500000,37300000,55100000,74100000,85800000,96700000,125000000,147600000,172100000,154500000,109700000,130400000,109200000,137200000,104900000,134500000,77400000,65100000,77300000,71900000,49800000,56300000,55000000,70300000,121800000,120000000,138400000,78300000,96200000,73200000,- -
23,Net Income,24000000,34600000,37500000,37700000,45900000,29400000,39400000,62500000,85900000,115400000,134900000,140500000,208300000,248000000,290500000,264100000,187600000,233100000,205900000,285400000,251300000,300300000,-11200000,104400000,111800000,176600000,153300000,248200000,197300000,98000000,325100000,385800000,292600000,305900000,333800000,247600000,- -
24,Net Income ratio,0.0501,0.0591,0.0578,0.0465,0.0463,0.0270,0.0364,0.0534,0.0563,0.0621,0.0655,0.0570,0.0716,0.0736,0.0769,0.0618,0.0456,0.0546,0.0469,0.0561,0.0474,0.0545,-0.0026,0.0256,0.0366,0.0526,0.0422,0.0667,0.0527,0.0259,0.0830,0.1029,0.0742,0.0716,0.0702,0.0578,- -
25,EPS,0.22,0.26,0.29,0.28,0.34,0.21,0.28,0.41,0.54,0.69,0.80,0.77,1.09,1.25,1.46,1.33,0.94,1.17,1.05,1.46,1.30,1.61,-0.06,0.62,0.70,1.17,1.05,1.72,1.36,0.69,2.31,2.80,2.15,2.28,2.48,1.82,- -
26,EPS Diluted,0.21,0.26,0.28,0.28,0.33,0.21,0.28,0.41,0.52,0.69,0.80,0.77,1.08,1.24,1.45,1.32,0.94,1.17,1.05,1.45,1.30,1.61,-0.06,0.62,0.70,1.15,1.04,1.70,1.34,0.68,2.28,2.76,2.13,2.26,2.47,1.82,- -
27,Weighted Average Shares Outstanding,109090909,133076923,129310345,134642857,135000000,140000000,140714286,152439024,159074074,166043165,169685535,183660131,190228311,198400000,198972603,198571429,199574468,199230769,196095238,195479452,193307692,186521739,186666667,167952381,159331228,151225065,145400000,144300000,145200000,141400000,140900000,137900000,136000000,134300000,134800000,135700000,- -
28,Weighted Average Shares Outstanding Diluted,114285714,133076923,133928571,134642857,139090909,140000000,140714286,152439024,165192308,166043165,169800000,183660131,192870370,200000000,200344828,200075758,199574468,199230769,196095238,196827586,193307692,186521739,186666667,168186330,159964623,153268185,147000000,146000000,145200000,143200000,142900000,140000000,137300000,135200000,135400000,135900000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/58492/000095013196001285/0000950131-96-001285-index.html,https://www.sec.gov/Archives/edgar/data/58492/000095013197002089/0000950131-97-002089-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/58492/000119312504038989/0001193125-04-038989-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312505038718/0001193125-05-038718-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312506042696/0001193125-06-042696-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312507040727/0001193125-07-040727-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312508038495/0001193125-08-038495-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312509036996/0001193125-09-036996-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312510040659/0001193125-10-040659-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312511045388/0001193125-11-045388-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312512078429/0001193125-12-078429-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849213000002/0000058492-13-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849214000002/0000058492-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849215000002/0000058492-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849216000019/0000058492-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849217000004/0000058492-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849218000004/0000058492-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849219000004/0000058492-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849220000002/0000058492-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849221000005/0000058492-21-000005-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,6700000,3700000,7700000,83500000,20600000,37300000,187200000,225000000,443900000,491300000,64900000,131900000,205400000,164700000,260500000,244500000,236300000,359100000,272700000,332800000,253200000,281900000,526100000,268100000,247600000,348900000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,6700000,3700000,7700000,83500000,20600000,37300000,187200000,225000000,443900000,491300000,64900000,131900000,205400000,164700000,260500000,244500000,236300000,359100000,272700000,332800000,253200000,281900000,526100000,268100000,247600000,348900000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,254300000,254200000,335300000,438600000,503100000,559400000,634200000,562500000,569000000,680700000,790700000,847600000,853800000,640200000,550500000,469500000,478900000,503600000,446200000,467400000,523300000,520200000,486600000,595100000,571600000,591900000,563600000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,255500000,276800000,379600000,433200000,486200000,605800000,671800000,601300000,625700000,628300000,705700000,767100000,826300000,599200000,495000000,409100000,435300000,441000000,489000000,495900000,481600000,504600000,519600000,571100000,633900000,636700000,645500000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,32200000,34200000,44700000,65100000,64300000,70400000,62000000,70900000,68300000,66500000,77100000,83700000,82100000,389600000,96600000,74500000,60400000,43100000,44800000,45700000,91900000,33200000,36800000,74200000,51000000,61900000,54100000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,544700000,571900000,763300000,944600000,1137100000,1256200000,1405300000,1421900000,1488000000,1819400000,2064800000,1763300000,1894100000,1834400000,1306800000,1213600000,1219100000,1224000000,1339100000,1281700000,1429600000,1311200000,1324900000,1766500000,1524600000,1538100000,1612100000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000000,451800000,582900000,693200000,820400000,915000000,1018400000,961900000,960700000,967100000,960700000,971100000,962800000,726900000,681400000,668600000,624200000,580600000,572800000,574600000,558900000,540800000,565500000,663900000,728500000,993900000,946400000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,879000000,898000000,989500000,1028900000,- -,1149300000,931300000,875600000,928200000,930300000,926600000,991500000,926800000,819000000,806100000,791300000,822200000,833800000,1406300000,1388800000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,142500000,155800000,320500000,425600000,528600000,759500000,895300000,43800000,36800000,44000000,68400000,1236000000,182900000,232200000,197400000,171100000,152300000,116600000,206300000,203400000,204700000,192300000,164900000,169100000,178700000,764000000,701600000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,142500000,155800000,320500000,425600000,528600000,759500000,895300000,922800000,934800000,1033500000,1097300000,1236000000,1332200000,1163500000,1073000000,1099300000,1082600000,1043200000,1197800000,1130200000,1023700000,998400000,956200000,991300000,1012500000,2170300000,2090400000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29100000,18300000,24200000,27600000,32100000,38700000,37500000,42500000,46300000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,50200000,46900000,36500000,33300000,23900000,21400000,20200000,11500000,11000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,36700000,38800000,46200000,42900000,49200000,46800000,54200000,106300000,117600000,69700000,74400000,82200000,76200000,347700000,100700000,79700000,75100000,56300000,65900000,56400000,67700000,56300000,81500000,69000000,58700000,60100000,47800000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,575200000,646400000,949600000,1161700000,1398200000,1721300000,1967900000,1991000000,2013100000,2070300000,2132400000,2289300000,2371200000,2238100000,1855100000,1847600000,1781900000,1691100000,1915800000,1826400000,1711000000,1656400000,1659200000,1784300000,1857400000,3278300000,3141900000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1119900000,1218300000,1712900000,2106300000,2535300000,2977500000,3373200000,3412900000,3501100000,3889700000,4197200000,4052600000,4265300000,4072500000,3161900000,3061200000,3001000000,2915100000,3254900000,3108100000,3140600000,2967600000,2984100000,3550800000,3382000000,4816400000,4754000000,- -
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,89900000,90400000,110300000,128700000,134800000,146100000,179400000,162400000,181900000,195200000,224400000,254200000,259000000,227600000,175300000,199400000,226400000,256600000,285400000,339300000,369800000,307200000,351100000,430300000,465400000,463400000,552200000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,4000000,3900000,- -,- -,- -,- -,57100000,- -,119400000,401300000,156300000,52000000,88700000,22400000,10100000,2200000,2500000,201500000,181100000,201700000,3400000,3600000,153800000,1200000,90400000,93300000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,21400000,22000000,23900000,21200000,23100000,20200000,22000000,31700000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9100000,13100000,12700000,12600000,14400000,12700000,11800000,11900000,19400000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,139100000,132400000,178600000,243800000,266600000,285400000,297200000,237500000,416100000,311300000,333900000,327500000,380200000,483300000,326500000,325600000,294400000,326900000,235000000,296000000,408000000,378000000,337500000,379400000,337300000,362400000,341100000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,232900000,226800000,292800000,372500000,401400000,431500000,476600000,457000000,598000000,625900000,959600000,738000000,691200000,799600000,524200000,535100000,523000000,586000000,731000000,829500000,992200000,701200000,706600000,976200000,815700000,928100000,1006000000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,204900000,191900000,388500000,466200000,574100000,787400000,988400000,977600000,808600000,1012200000,779400000,921600000,1060000000,1000600000,851200000,789300000,762200000,833300000,853900000,688400000,766700000,945400000,956200000,1097900000,1167800000,2066500000,1849300000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42200000,47800000,54500000,52800000,74900000,68500000,71900000,64700000,79400000,95200000,85600000,59400000,67100000,42300000,17200000,49000000,69500000,57800000,105100000,92500000,66900000,58500000,69400000,95300000,95900000,222300000,200600000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,17700000,36000000,40800000,48100000,43900000,42500000,47000000,38200000,42400000,59500000,84600000,95900000,97300000,116300000,112300000,121900000,113700000,122700000,98500000,159900000,164800000,157900000,190600000,145000000,287000000,307800000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,261800000,257400000,479000000,559800000,697100000,899800000,1102800000,1089300000,926200000,1149800000,924500000,1065600000,1223000000,1140200000,984700000,950600000,953600000,1021400000,1081700000,879400000,993500000,1168700000,1183500000,1383800000,1408700000,2575800000,2357700000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160900000,164500000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,494700000,484200000,771800000,932300000,1098500000,1331300000,1579400000,1546300000,1524200000,1775700000,1884100000,1803600000,1914200000,1939800000,1508900000,1485700000,1476600000,1607400000,1812700000,1708900000,1985700000,1869900000,1890100000,2360000000,2224400000,3503900000,3363700000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,496500000,598000000,704400000,871300000,1058700000,1278100000,1460000000,1552700000,1687300000,1788300000,1961500000,2093100000,2270700000,2122300000,2062100000,2013300000,2033300000,2027400000,2109600000,2136400000,2061300000,2209200000,2410500000,2511300000,2613800000,2734500000,2762400000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-303500000,-356600000,-432200000,-519100000,-614600000,-713700000,-804400000,-903600000,-39000000,34400000,82300000,66300000,75600000,193500000,11400000,104800000,101800000,65200000,71000000,94500000,-2600000,-91100000,-113600000,-9500000,-77600000,-76800000,-52400000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,432200000,492700000,668900000,821800000,992700000,1079800000,1136200000,1215500000,326600000,289300000,267300000,87600000,2800000,-185100000,-422500000,-566100000,- -,- -,-748100000,-841600000,-914200000,-1034500000,-1207300000,-1313600000,-1381200000,-1347700000,-1322200000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,625200000,734100000,941100000,1174000000,1436800000,1646200000,1793800000,1866600000,1976900000,2114000000,2313100000,2249000000,2351100000,2132700000,1653000000,1554000000,1507300000,1297200000,1434500000,1391300000,1146500000,1085600000,1091600000,1190200000,1157000000,1312000000,1389800000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1119900000,1218300000,1712900000,2106300000,2535300000,2977500000,3373200000,3412900000,3501100000,3889700000,4197200000,4052600000,4265300000,4072500000,3161900000,3039700000,2983900000,2904600000,3247200000,3100200000,3132200000,2955500000,2981700000,3550200000,3381400000,4815900000,4753500000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21500000,17100000,10500000,7700000,7900000,8400000,12100000,2400000,600000,600000,500000,500000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1119900000,1218300000,1712900000,2106300000,2535300000,2977500000,3373200000,3412900000,3501100000,3889700000,4197200000,4052600000,4265300000,4072500000,3161900000,3061200000,3001000000,2915100000,3254900000,3108100000,3140600000,2967600000,2984100000,3550800000,3382000000,4816400000,4754000000,- -
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/58492/000095013196001285/0000950131-96-001285-index.html,https://www.sec.gov/Archives/edgar/data/58492/000095013197002089/0000950131-97-002089-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/58492/000119312504038989/0001193125-04-038989-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312505038718/0001193125-05-038718-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312506042696/0001193125-06-042696-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312507040727/0001193125-07-040727-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312508038495/0001193125-08-038495-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312509036996/0001193125-09-036996-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312510040659/0001193125-10-040659-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312511045388/0001193125-11-045388-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000119312512078429/0001193125-12-078429-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849213000002/0000058492-13-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849214000002/0000058492-14-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849215000002/0000058492-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849216000019/0000058492-16-000019-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849217000004/0000058492-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849218000004/0000058492-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849219000004/0000058492-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849220000002/0000058492-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/58492/000005849221000005/0000058492-21-000005-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,45900000,29400000,39400000,62500000,85900000,115400000,134900000,140500000,208300000,248000000,290500000,264100000,187600000,233100000,205900000,285400000,251300000,300300000,-11200000,104400000,111800000,176600000,153300000,248200000,197300000,98000000,325100000,385800000,292600000,305900000,333800000,247600000,- -
74,Depreciation and Amortization,- -,- -,- -,- -,25700000,30200000,36400000,38200000,45300000,56900000,67100000,92200000,105600000,127900000,149300000,173300000,196600000,164600000,167000000,177200000,171100000,175400000,183400000,140400000,130300000,122800000,116900000,116100000,122600000,117900000,113200000,115400000,125900000,136100000,191900000,189400000,- -
75,Deferred Income Tax,- -,- -,- -,- -,2700000,-5500000,3300000,-1900000,8600000,-6600000,-600000,-13400000,-1500000,17300000,-6700000,13100000,-19600000,17700000,15900000,3400000,-35600000,5300000,-56100000,25500000,44000000,30200000,-1100000,-21900000,-32900000,-39800000,24100000,17600000,83900000,-4500000,7600000,-22500000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41600000,38000000,37600000,35300000,33800000,36300000,41600000,45200000,37100000,36600000,35500000,33000000,29200000,- -
77,Change in Working Capital,- -,- -,- -,- -,-22200000,- -,- -,- -,311800000,33300000,125400000,101600000,163600000,89000000,104000000,36200000,-74900000,303500000,-88300000,-79900000,177600000,-168100000,-252200000,-104100000,17600000,-58100000,-29900000,-155900000,-14800000,172600000,8300000,172000000,-81400000,-98900000,-3900000,123900000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34700000,-29500000,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -
