,https://roic.ai/company/BLDR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,- -,5845000,12794000,18934000,16766000,16143000,14916000,16643000,6994000,8068000,14484000,23266000,18844000,24151000,22701000,22870000,22152000,22225000,16457000,-332922000
45,Total Non-Current Assets,- -,- -,254830000,263432000,281826000,308204000,278657000,210523000,194609000,177455000,169142000,170969000,184678000,251525000,1687709000,1693906000,1610256000,1558558000,1942623000,1949989000,6746074000
46,Other Assets,564204000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,564204000,- -,622128000,697011000,724407000,748515000,647423000,521140000,434951000,412804000,488803000,550841000,515839000,583065000,2882038000,2909887000,3006124000,2932309000,3249490000,4173671000,10714343000
48,Accounts Payable,- -,- -,65778000,94378000,127998000,84944000,65811000,35414000,39570000,44866000,48618000,79397000,81046000,75868000,365347000,409759000,514282000,423168000,436823000,600357000,1093370000
49,Short-Term Debt,- -,- -,26531000,1708000,102000,442000,40000,44000,48000,5301000,54000,60000,67000,30074000,29153000,16217000,12475000,15565000,75528000,88960000,293700000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,7388000,- -,- -,- -,7130000,8439000,9167000,29054000,30177000,28460000,28954000,32604000,58953000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4037000,5540000,4665000,38173000,38448000,46894000,53816000,50171000,77047000,- -
52,Other Current Liabilities,- -,- -,47850000,58863000,83572000,59329000,47626000,37794000,28923000,26284000,25183000,33741000,39770000,61560000,302565000,290273000,224703000,238710000,258779000,308489000,741641000
53,Total Current Liabilities,- -,- -,140159000,154949000,211672000,144715000,113477000,73252000,68541000,76451000,73855000,117235000,126423000,172167000,735238000,754697000,798354000,731259000,821301000,1074853000,2128711000
54,Long-Term Debt,- -,- -,166802000,311792000,314898000,318758000,279226000,319182000,299135000,163801000,297455000,360895000,353904000,353830000,1922518000,1785835000,1771945000,1545729000,1277398000,1596905000,3676700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,362121000
56,Deferred Tax Liabilities,- -,- -,8034000,10209000,12333000,15173000,1155000,4669000,5058000,5052000,5539000,5993000,6670000,6441000,11502000,- -,- -,- -,36645000,49495000,362121000
57,Other Non-Current Liabilities,- -,- -,8200000,9171000,14369000,13005000,12018000,21563000,15270000,7995000,10730000,18622000,13474000,10427000,63585000,59735000,59616000,58983000,289193000,299635000,-617791000
58,Total Non-Current Liabilities,- -,- -,183036000,331172000,341600000,346936000,292399000,345414000,319463000,176848000,313724000,385510000,374048000,370698000,1997605000,1845570000,1831561000,1604712000,1603236000,1946035000,3783151000
59,Other Liabilities,271169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298601000,280864000,- -
61,Total Liabilities,271169000,- -,323195000,486121000,553272000,491651000,405876000,418666000,388004000,253299000,387579000,502745000,500471000,542865000,2732843000,2600267000,2629915000,2335971000,2424537000,3020888000,5911862000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,252000,251000,330000,345000,351000,357000,363000,949000,950000,957000,973000,982000,1097000,1115000,1136000,1151000,1161000,1168000,1798000
64,Retained Earnings,- -,- -,46848000,50426000,58081000,126974000,102375000,-37119000,-98973000,-194481000,-259476000,-316332000,-359023000,-340873000,-363704000,-219363000,-171693000,34966000,248837000,562374000,540013000
65,Other Comprehensive Income/Loss,- -,- -,-196000,-91864000,745000,1915000,345000,-7414000,-4683000,-2157000,- -,-141334000,-146840000,-152317000,-188269000,-269332000,-324851000,-390125000,-449016000,- -,- -
66,Other Total Stockholders Equity,293035000,- -,252029000,252077000,111979000,127630000,138476000,146650000,150240000,355194000,359750000,504805000,520258000,532408000,700071000,797200000,871617000,950346000,1023971000,589241000,4260670000
67,Total Stockholders Equity,293035000,- -,298933000,210890000,171135000,256864000,241547000,102474000,46947000,159505000,101224000,48096000,15368000,40200000,149195000,309620000,376209000,596338000,824953000,1152783000,4802481000
68,Total Liabilities And Stockholders Equity,564204000,- -,622128000,697011000,724407000,748515000,647423000,521140000,434951000,412804000,488803000,550841000,515839000,583065000,2882038000,2909887000,3006124000,2932309000,3249490000,4173671000,10714343000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,564204000,- -,622128000,697011000,724407000,748515000,647423000,521140000,434951000,412804000,488803000,550841000,515839000,583065000,2882038000,2909887000,3006124000,2932309000,3249490000,4173671000,10714343000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1316835/000095013406004905/d33711e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013407005357/d43878e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013408004136/d54408e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013409004066/0000950134-09-004066-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000095012310021074/0000950123-10-021074-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000095012311021379/d80042e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000119312512094395/0001193125-12-094395-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000119312513087218/0001193125-13-087218-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459014000455/bldr-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459015001235/bldr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459016014562/0001564590-16-014562-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459017003114/0001564590-17-003114-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459018004035/0001564590-18-004035-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459019005770/0001564590-19-005770-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/0001564590-20-005717-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/0001564590-21-009308-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/0001564590-22-007980-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1542000,- -,17576000,51581000,48628000,68893000,-23752000,-139494000,-61854000,-95508000,-64995000,-56856000,-42691000,18150000,-22831000,144341000,38781000,205191000,221809000,313537000,1725416000
74,Depreciation and Amortization,25232000,- -,22141000,23336000,35699000,24969000,29029000,21574000,17915000,15433000,14041000,11120000,9305000,9519000,58280000,109793000,92993000,97906000,100038000,116566000,547352000
75,Deferred Income Tax,- -,- -,3148000,2125000,-2757000,-1699000,-12945000,18705000,411000,-1235000,1817000,458000,917000,524000,3287000,-124787000,49104000,51823000,50994000,16614000,-34573000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,8479000,2861000,4308000,4559000,3628000,4245000,6157000,6848000,10549000,13508000,14420000,12239000,17022000,31486000
77,Change in Working Capital,- -,- -,227139000,51491000,-47721000,64687000,-40307000,-17924000,-65564000,-12903000,86908000,16831000,-57899000,-45365000,299718000,2193000,136230000,44978000,-156926000,663263000,690729000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-16139000,-15306000,-11539000,31308000,28851000,26170000,20846000,-15788000,-9517000,-31914000,-14637000,-9103000,46854000,-33965000,-60645000,-5425000,44202000,-220101000,-282165000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-30397000,4156000,5296000,3752000,30779000,1649000,-5178000,-45286000,36585000,65764000,-89392000,4070000,160947000,191885000
81,Other Working Capital,- -,- -,227139000,278630000,230909000,295596000,255289000,237365000,171801000,158898000,245806000,262637000,204738000,159373000,459091000,461284000,597514000,642492000,485566000,1148829000,1839558000
82,Other Non-Cash Items,-26774000,- -,-310166000,-34148000,83128000,-45003000,119472000,79783000,103485000,48185000,-108738000,-42031000,38547000,38508000,-168268000,16138000,-152088000,-131488000,275892000,-866935000,-1216861000
83,Cash Provided by Operating Activities,- -,- -,-40162000,94385000,116977000,111847000,71497000,-28877000,-2746000,-41720000,-66408000,-66850000,-47576000,27493000,177034000,158227000,178528000,282830000,504046000,260067000,1743549000
84,CAPEX,- -,- -,-15592000,-20718000,-29735000,-27192000,-10053000,-8193000,-2103000,-8953000,-4792000,-10398000,-15051000,-25716000,-43811000,-42662000,-62407000,-101411000,-112870000,-112082000,-227891000
85,Acquisitions Net,- -,- -,-4563000,- -,- -,-35378000,-18288000,701000,- -,- -,- -,- -,- -,-69337000,-1468511000,-3970000,- -,- -,-92855000,-32643000,-1206471000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7115000,2046000,4321000,1702000,2015000,5209000,1986000,602000,-13816000,1365000,15622000,213000,4275000,8305000,2981000,4753000,6545000,8500000,89722000
89,Cash Used for Investing Activites,- -,- -,-13040000,-18672000,-25414000,-60868000,-26326000,-2283000,-117000,-8351000,-18608000,-9033000,571000,-94840000,-1508047000,-38327000,-59426000,-96658000,-199180000,-136225000,-1344640000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-420000,-20043000,-105238000,-26583000,-54000,-394778000,-67000,-294213000,-1774517000,-1399926000,-1898312000,-1802834000,-1461542000,-554677000
91,Common Stock Issued,- -,- -,6000,38000,109789000,11891000,4224000,- -,- -,- -,- -,- -,- -,- -,111309000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-1451000,-351000,- -,-116000,-722000,-416000,-126000,-31000,-2000,-496000,-1036000,-1306000,-986000,-1092000,-2644000,-4895000,-10392000,-4153000,-1714761000
93,Dividends Paid,- -,- -,- -,-139592000,-201186000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,57984000,109235000,-20058000,-232000,-44357000,41313000,239000,174476000,155200000,61032000,366083000,31797000,1562193000,1605095000,1326552000,1669629000,1512329000,1751563000,1489326000
95,Cash Used/Provided by Financing Activities,- -,- -,56539000,-30670000,-111455000,11543000,-40855000,40477000,-19930000,69207000,128615000,60482000,-29731000,30424000,1378303000,-170514000,-76018000,-233578000,-300897000,285868000,-780112000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,3337000,45043000,-19892000,62522000,4316000,9317000,-22793000,19136000,43599000,-15401000,-76736000,-36923000,47290000,-50614000,43084000,-47406000,3969000,409710000,-381203000
98,Cash at the End of Period,- -,- -,5585000,50628000,30736000,93258000,97574000,106891000,84098000,103234000,146833000,131432000,54696000,17773000,65063000,14449000,57533000,10127000,14096000,423806000,42603000
99,Cash at the Beginning of Period,- -,- -,2248000,5585000,50628000,30736000,93258000,97574000,106891000,84098000,103234000,146833000,131432000,54696000,17773000,65063000,14449000,57533000,10127000,14096000,423806000
100,Free Cash Flow,- -,- -,-55754000,73667000,87242000,84655000,61444000,-37070000,-4849000,-50673000,-71200000,-77248000,-62627000,1777000,133223000,115565000,116121000,181419000,391176000,147985000,1515658000
101,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1316835/000095013406004905/d33711e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013407005357/d43878e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013408004136/d54408e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013409004066/0000950134-09-004066-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000095012310021074/0000950123-10-021074-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000095012311021379/d80042e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000119312512094395/0001193125-12-094395-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000119312513087218/0001193125-13-087218-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459014000455/bldr-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459015001235/bldr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459016014562/0001564590-16-014562-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459017003114/0001564590-17-003114-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459018004035/0001564590-18-004035-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459019005770/0001564590-19-005770-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/0001564590-20-005717-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/0001564590-21-009308-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/0001564590-22-007980-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
