,https://roic.ai/company/BKTI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,42700000,53600000,65800000,35500000,76200000,73000000,96400000,104600000,123800000,81800000,67500000,51100000,32800000,24100000,22604000,22116000,19311000,18462000,18732000,22995000,26837000,24708000,22224000,24490000,26582000,24757000,24683000,25382000,28443000,28292000,46404000,44422000,46955000,44485000,43091000,46560000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000,602000,150000,6000,1000,1000,1000,- -,1000,1000,9000,46000,102000,150000,- -,- -
13,Interest Expense (Gain),- -,300000,700000,700000,700000,2300000,1200000,1000000,2000000,1300000,1600000,700000,- -,800000,- -,933000,579000,456000,442000,291000,41000,21000,4000,7000,47000,30000,107000,4000,- -,- -,-1000,- -,- -,- -,- -,8000,-53000
14,Depreciation and Amortization,- -,2800000,4600000,3900000,1800000,1900000,1800000,2700000,2700000,3200000,2400000,2800000,1800000,1300000,1500000,1429000,- -,787000,675000,678000,548000,531000,390000,384000,672000,811000,1412000,1355000,1475000,1185000,914000,942000,942000,921000,1219000,1344000,- -
15,EBITDA,- -,-7100000,-6700000,-23600000,-9000000,5900000,4200000,5400000,4300000,4100000,4600000,-200000,-9100000,-3300000,-800000,934000,701000,-2388000,1998000,2629000,6116000,6477000,3211000,-2521000,4173000,188000,753000,4240000,3132000,3708000,2299000,5214000,-3843000,449000,-2404000,1603000,-1567000
16,EBITDA ratio,- -,-0.1914,-0.1576,-0.6194,-0.4286,0.0742,0.0560,0.0551,0.0399,0.0323,0.0562,-0.0029,-0.2004,-0.1119,-0.0357,0.0444,0.0307,-0.1495,0.1013,0.1273,0.2145,0.1996,0.1190,-0.1315,0.1491,0.0072,0.0312,0.1538,0.1159,0.1197,0.0774,0.1029,-0.0976,0.0091,-0.0600,0.0363,-0.0345
17,Operating Income,- -,-5600000,-11100000,-27700000,-14500000,3300000,2000000,1600000,3300000,3200000,- -,1200000,-5700000,-3300000,-1700000,-1550000,693000,-3333000,1266000,1924000,5524000,5608000,2268000,-3049000,3499000,-628000,-653000,2893000,1641000,2528000,1430000,4285000,-5027000,2425000,-4385000,1048000,-1196000
18,Operating Income ratio,- -,-0.1509,-0.2612,-0.7270,-0.6905,0.0415,0.0267,0.0163,0.0306,0.0252,- -,0.0175,-0.1256,-0.1119,-0.0759,-0.0736,0.0304,-0.2086,0.0642,0.0931,0.1937,0.1728,0.0841,-0.1590,0.1250,-0.0242,-0.0271,0.1049,0.0607,0.0816,0.0481,0.0845,-0.1276,0.0491,-0.1094,0.0237,-0.0264
19,Total Other Income Expenses (Gains),- -,-4600000,-900000,-500000,1000000,1300000,-400000,-100000,-3700000,-1400000,200000,-1100000,-2400000,-900000,500000,1321000,8000,-298000,-385000,-264000,3000,317000,549000,137000,-45000,-25000,-113000,-12000,16000,-5000,-44000,-13000,242000,-2897000,762000,-797000,-318000
20,Income Before Tax,- -,-10200000,-12000000,-28200000,- -,- -,1600000,1500000,-400000,1800000,-1300000,100000,-8100000,- -,- -,- -,- -,-3631000,881000,1660000,5527000,5925000,2817000,-2912000,3454000,-653000,-766000,2881000,1657000,2523000,1386000,4272000,-4785000,-472000,-3623000,251000,-1514000
21,Income Before Tax Ratio,- -,-0.2749,-0.2824,-0.7402,- -,- -,0.0213,0.0153,-0.0037,0.0142,-0.0159,0.0015,-0.1784,- -,- -,- -,- -,-0.2272,0.0447,0.0804,0.1938,0.1826,0.1044,-0.1519,0.1234,-0.0252,-0.0318,0.1045,0.0613,0.0815,0.0466,0.0843,-0.1215,-0.0096,-0.0903,0.0057,-0.0334
22,Income Tax expense (Gain),- -,-4800000,-2100000,-300000,- -,- -,600000,600000,-100000,700000,-500000,300000,3900000,- -,- -,- -,- -,- -,13000,-6217000,-4765000,2498000,971000,-1286000,1091000,7000,-273000,816000,515000,900000,345000,1583000,-1159000,-277000,-987000,3000,-187000
23,Net Income,- -,-5400000,-9900000,-27900000,-11500000,1700000,600000,1100000,-300000,-1100000,1100000,-4000000,-14800000,-5400000,-2300000,-1428000,122000,-3631000,868000,7877000,10292000,3427000,1846000,-1626000,2363000,-660000,-493000,2065000,1142000,1623000,1041000,2689000,-3626000,-195000,-2636000,248000,-1327000
24,Net Income ratio,- -,-0.1456,-0.2329,-0.7323,-0.5476,0.0214,0.0080,0.0112,-0.0028,-0.0087,0.0134,-0.0582,-0.3260,-0.1831,-0.1027,-0.0678,0.0053,-0.2272,0.0440,0.3813,0.3609,0.1056,0.0684,-0.0848,0.0844,-0.0254,-0.0205,0.0749,0.0423,0.0524,0.0350,0.0530,-0.0920,-0.0039,-0.0657,0.0056,-0.0293
25,EPS,- -,-6.72,-7.92,-21.00,-7.98,0.53,0.18,0.21,-0.06,-0.21,0.59,-0.79,-2.92,-1.07,-0.45,-0.27,0.02,-0.47,0.10,0.68,0.79,0.26,0.14,-0.12,0.18,-0.05,-0.04,0.15,0.08,0.12,0.08,0.20,-0.27,-0.01,-0.21,0.02,-0.11
26,EPS Diluted,- -,-6.72,-7.92,-21.00,-7.98,0.53,0.18,0.21,-0.06,-0.21,0.59,-0.79,-2.92,-1.07,-0.45,-0.27,0.02,-0.47,0.09,0.65,0.75,0.24,0.13,-0.12,0.17,-0.05,-0.04,0.15,0.08,0.12,0.08,0.19,-0.27,-0.01,-0.21,0.02,-0.11
27,Weighted Average Shares Outstanding,- -,1239000,1250000,1328571,1441103,3207547,3333333,7616000,5000000,5107000,5000000,5063291,5068493,5046729,5111111,5288889,6100000,7725532,9002000,11536000,13036000,13278000,13362000,13403000,13411000,13480000,13514000,13542000,13569000,13647000,13706000,13735000,13625000,13464000,12705000,12553000,12553000
28,Weighted Average Shares Outstanding Diluted,- -,1239000,1250000,1328571,1441103,3207547,3333333,7616000,5000000,5107000,5000000,5063291,5068493,5046729,5111111,5288889,6100000,7725532,9173000,12151000,13718000,14196000,14062000,13403000,13600000,13480000,13514000,13544000,13627000,13755000,13848000,13823000,13625000,13464000,12705000,12561000,12561000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2186/000111650206000549/0001116502-06-000549-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650207000444/0001116502-07-000444-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650208000360/0001116502-08-000360-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650209000348/0001116502-09-000348-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650210000192/0001116502-10-000192-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448811000702/0001354488-11-000702-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448812001013/0001354488-12-001013-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448813000998/0001354488-13-000998-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448814001005/0001354488-14-001005-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448815000960/0001354488-15-000960-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448816006435/0001354488-16-006435-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495417001579/0001654954-17-001579-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495418002205/0001654954-18-002205-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495419002033/0001654954-19-002033-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495420002248/0001654954-20-002248-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495421002287/0001654954-21-002287-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495422003300/0001654954-22-003300-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3000000,2100000,3400000,17900000,- -,1000000,600000,- -,200000,100000,500000,200000,500000,- -,208000,335000,1631000,1293000,3140000,5283000,13266000,8452000,5475000,7660000,5050000,2693000,6581000,7945000,11363000,4669000,10910000,7147000,11268000,4676000,6826000,10580000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9184000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3000000,2100000,3400000,17900000,- -,1000000,600000,- -,200000,100000,500000,200000,500000,- -,208000,335000,1631000,1293000,3140000,5283000,13266000,8452000,5475000,7660000,5050000,2693000,6581000,7945000,11363000,4669000,10910000,16331000,11268000,4676000,6826000,10580000
34,Net Receivables,- -,13300000,11600000,6800000,2000000,- -,7900000,10100000,14300000,16400000,10900000,11500000,5800000,3500000,2000000,3712000,3657000,786000,2880000,3651000,5504000,3565000,1992000,1769000,3767000,3900000,4155000,2062000,2844000,3266000,4122000,3448000,5524000,5721000,3964000,6466000,8229000
35,Inventory,- -,24100000,18000000,6800000,1400000,- -,15800000,25700000,29700000,29400000,21300000,16200000,11500000,10600000,10200000,8940000,8961000,7862000,5698000,4735000,7091000,7440000,8899000,9774000,6623000,11942000,12148000,13345000,11575000,12112000,16282000,13999000,14358000,11466000,13513000,9441000,16978000
36,Other Current Assets,- -,5200000,4300000,1100000,3000000,- -,3600000,1500000,1600000,2100000,2200000,3200000,3000000,1400000,900000,528000,452000,289000,374000,1664000,4253000,4331000,3642000,2493000,2507000,2868000,3984000,5344000,5756000,5664000,3081000,1410000,772000,2401000,1733000,1878000,1634000
37,Total Current Assets,- -,45600000,36000000,18100000,24300000,- -,28300000,37900000,45600000,48100000,34500000,31400000,20500000,16000000,13100000,13388000,13405000,10568000,10245000,13190000,22131000,28602000,22985000,19511000,20557000,23760000,22980000,27332000,28120000,32405000,28154000,29767000,36985000,30856000,23886000,24611000,37421000
38,PP&E,- -,16600000,11800000,5600000,1200000,- -,15400000,22000000,21500000,21100000,13600000,12500000,8800000,8800000,8000000,2833000,2156000,1792000,1468000,1291000,1220000,913000,1338000,1386000,1306000,1357000,1158000,1113000,1045000,1282000,1840000,2486000,2201000,2729000,6849000,6453000,6955000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,5500000,5400000,5600000,- -,- -,700000,900000,900000,900000,900000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732000,3024000,3776000,2778000,2207000,1478000,753000,370000,176000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,5500000,5400000,5600000,- -,- -,700000,900000,900000,900000,900000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732000,3024000,3776000,2778000,2207000,1478000,753000,370000,176000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3402000,6472000,- -,1919000,2635000,2014000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4924000,7407000,5360000,5359000,7638000,6183000,5637000,4712000,2978000,3072000,2290000,5461000,3418000,3317000,3495000,4373000,4300000,4116000
44,Other Non-Current Assets,- -,1300000,1000000,300000,-100000,- -,8300000,10900000,9300000,8800000,8500000,8100000,2400000,2000000,1800000,2201000,2062000,496000,516000,288000,358000,431000,463000,355000,351000,262000,219000,330000,308000,256000,222000,225000,298000,192000,197000,112000,1893000
45,Total Non-Current Assets,- -,23400000,18200000,11500000,1100000,- -,24400000,33800000,31700000,30800000,23000000,20700000,11200000,10800000,9800000,5034000,4218000,2288000,1984000,6503000,8985000,6704000,7160000,11111000,10864000,11032000,8867000,6628000,5903000,4581000,11295000,12777000,5816000,8335000,14054000,12879000,12964000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,69000000,54200000,29600000,25400000,- -,52700000,71700000,77300000,78900000,57500000,52100000,31700000,26800000,22900000,18422000,17623000,12856000,12229000,19693000,31116000,35306000,30145000,30622000,31421000,34792000,31847000,33960000,34023000,36986000,39449000,42544000,42801000,39191000,37940000,37490000,50385000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,5900000,6800000,6200000,13700000,6800000,4900000,1900000,4600000,4400000,3604000,3171000,2127000,891000,520000,1520000,1172000,1161000,1849000,1250000,2753000,1756000,1132000,950000,1403000,2285000,1973000,5971000,5595000,5310000,5119000,5883000
49,Short-Term Debt,- -,3200000,4000000,3000000,3600000,- -,4400000,2900000,3400000,3000000,1400000,900000,1600000,1400000,1800000,848000,110000,1970000,3150000,700000,- -,- -,- -,- -,- -,- -,- -,18000,- -,- -,- -,- -,- -,- -,447000,607000,714000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000,627000,281000,291000,136000,142000,157000,180000,369000,757000,1045000
52,Other Current Liabilities,- -,11200000,7400000,7600000,6000000,- -,5400000,5300000,7400000,6800000,3600000,3000000,6700000,3400000,1200000,1257000,862000,737000,931000,1019000,1778000,1833000,1190000,1029000,1509000,1263000,1372000,1918000,1225000,1847000,1842000,4247000,4185000,4108000,3250000,2983000,4545000
53,Total Current Liabilities,- -,14400000,11400000,10600000,9600000,- -,15700000,15000000,17000000,23500000,11800000,8800000,10200000,9400000,7400000,5709000,4143000,4834000,4972000,2239000,3298000,3005000,2351000,2878000,2759000,4016000,3513000,3695000,2456000,3541000,4263000,6362000,10313000,9883000,9376000,9466000,12187000
54,Long-Term Debt,- -,2700000,1600000,3600000,300000,- -,14000000,22000000,26700000,22900000,13200000,14100000,7400000,8800000,9100000,6353000,6998000,3150000,1272000,- -,- -,- -,- -,1500000,- -,2000000,- -,- -,- -,- -,- -,- -,- -,- -,328000,247000,2269000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000,265000,81000,147000,212000,366000,408000,481000,1596000,2354000,2551000,2706000
56,Deferred Tax Liabilities,- -,600000,- -,- -,- -,- -,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,800000,300000,- -,1000000,- -,700000,-100000,-100000,- -,-100000,- -,100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2606000,2702000,605000
58,Total Non-Current Liabilities,- -,4100000,1900000,3600000,1300000,- -,15400000,21900000,26600000,22900000,13100000,14100000,7500000,8700000,9100000,6353000,6998000,3150000,1272000,- -,- -,- -,- -,1500000,- -,2386000,265000,81000,147000,212000,366000,408000,481000,1596000,5288000,5500000,5580000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2975000,3227000,- -
61,Total Liabilities,- -,18500000,13300000,14200000,10900000,- -,31100000,36900000,43600000,46400000,24900000,22900000,17700000,18100000,16500000,12062000,11141000,7984000,6244000,2239000,3298000,3005000,2351000,4378000,2759000,6402000,3778000,3776000,2603000,3753000,4629000,6770000,10794000,11479000,14664000,14966000,17767000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,3207000,3207000,5123000,5443000,7723000,7878000,8004000,8037000,8046000,8050000,8105000,8111000,8127000,8153000,8199000,8238000,8253000,8307000,8330000,8357000,8377000,10979000
64,Retained Earnings,- -,7300000,-2500000,-30400000,-31100000,- -,8900000,10000000,9600000,8600000,9700000,5600000,-9200000,-14600000,-16900000,-18299000,-18177000,-21808000,-20940000,-13063000,-2771000,656000,-4196000,-5822000,-3459000,-4119000,-4612000,-2547000,-1405000,218000,1259000,240000,-5450000,-2393000,-6043000,-6797000,-8821000
65,Other Comprehensive Income/Loss,- -,-9900000,-13300000,-8700000,-2800000,- -,-11200000,-12400000,-13700000,-16500000,-13900000,-15100000,-4600000,-5300000,-6800000,-7643000,-5440000,-7008000,-7502000,-8008000,-3355000,-3886000,-2508000,-2893000,-3245000,-3636000,-4050000,-4470000,-4853000,-5302000,397000,2061000,4318000,- -,-9198000,- -,- -
66,Other Total Stockholders Equity,- -,53100000,56700000,54500000,48400000,- -,23900000,37200000,37800000,40400000,36800000,38700000,27800000,28600000,27000000,29095000,26892000,28565000,28984000,30802000,26066000,27527000,26461000,26913000,27316000,28040000,28620000,29074000,29525000,30118000,24926000,25220000,24832000,21775000,30160000,20944000,30460000
67,Total Stockholders Equity,- -,50500000,40900000,15400000,14500000,- -,21600000,34800000,33700000,32500000,32600000,29200000,14000000,8700000,6400000,6360000,6482000,4872000,5985000,17454000,27818000,32301000,27794000,26244000,28662000,28390000,28069000,30184000,31420000,33233000,34820000,35774000,32007000,27712000,23276000,22524000,32618000
68,Total Liabilities And Stockholders Equity,- -,69000000,54200000,29600000,25400000,- -,52700000,71700000,77300000,78900000,57500000,52100000,31700000,26800000,22900000,18422000,17623000,12856000,12229000,19693000,31116000,35306000,30145000,30622000,31421000,34792000,31847000,33960000,34023000,36986000,39449000,42544000,42801000,39191000,37940000,37490000,50385000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,69000000,54200000,29600000,25400000,- -,52700000,71700000,77300000,78900000,57500000,52100000,31700000,26800000,22900000,18422000,17623000,12856000,12229000,19693000,31116000,35306000,30145000,30622000,31421000,34792000,31847000,33960000,34023000,36986000,39449000,42544000,42801000,39191000,37940000,37490000,50385000
71,SEC Link,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2186/000111650206000549/0001116502-06-000549-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650207000444/0001116502-07-000444-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650208000360/0001116502-08-000360-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650209000348/0001116502-09-000348-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000111650210000192/0001116502-10-000192-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448811000702/0001354488-11-000702-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448812001013/0001354488-12-001013-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448813000998/0001354488-13-000998-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448814001005/0001354488-14-001005-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448815000960/0001354488-15-000960-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000135448816006435/0001354488-16-006435-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495417001579/0001654954-17-001579-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495418002205/0001654954-18-002205-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495419002033/0001654954-19-002033-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495420002248/0001654954-20-002248-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495421002287/0001654954-21-002287-index.htm,https://www.sec.gov/Archives/edgar/data/2186/000165495422003300/0001654954-22-003300-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5400000,-9900000,-27900000,-11500000,1700000,600000,1100000,-300000,-1100000,1100000,-4000000,-14800000,-5400000,-2300000,-1428000,122000,-3631000,868000,7877000,10292000,3427000,1846000,-1626000,2363000,-660000,-493000,2065000,1142000,1623000,1041000,2689000,-3626000,-195000,-2636000,248000,-1327000
74,Depreciation and Amortization,- -,2800000,4600000,3900000,1800000,1900000,1800000,2700000,2700000,3200000,2400000,2800000,1800000,1300000,1500000,1429000,- -,787000,675000,678000,548000,531000,390000,384000,672000,811000,1412000,1355000,1475000,1185000,914000,942000,942000,921000,1219000,1344000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-300000,200000,-1000000,-100000,-800000,400000,-700000,3900000,- -,- -,- -,- -,- -,- -,-6262000,-4928000,2340000,946000,-1296000,1406000,12000,-368000,763000,500000,875000,328000,1118000,-1163000,-178000,-878000,73000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,55000,281000,172000,27000,42000,46000,57000,49000,131000,248000,253000,271000,- -
77,Change in Working Capital,- -,- -,-6600000,6600000,-6600000,7200000,-2100000,10300000,5700000,-4000000,-1900000,-100000,-12300000,-3700000,-900000,1979000,1583000,-3528000,-461000,5678000,7882000,6764000,-4963000,-4001000,1165000,1946000,-277000,4170000,2027000,3200000,-4973000,-486000,3267000,-5699000,-6463000,635000,10089000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195000,-2003000,-150000,-255000,2098000,-827000,-387000,-856000,657000,-2076000,-197000,1757000,-2502000,- -
79,Inventory,- -,- -,- -,- -,- -,-400000,2600000,-1600000,-3900000,-3100000,-1100000,2300000,3500000,900000,100000,3388000,-21000,816000,1964000,1287000,-2520000,-667000,-1811000,-1206000,2906000,-5590000,-354000,-1264000,1642000,-546000,-4152000,2103000,-508000,2930000,-2241000,3946000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,688000,-599000,1503000,-997000,-624000,-182000,453000,882000,-312000,3998000,-376000,-285000,-191000,- -
81,Other Working Capital,- -,31200000,24600000,31200000,24600000,14700000,12600000,22900000,28600000,24600000,22700000,22600000,10300000,6600000,5700000,7679000,9262000,5734000,5273000,10951000,18833000,25597000,20634000,16633000,17798000,19744000,19467000,23637000,25664000,28864000,23891000,23405000,26672000,20973000,14510000,15145000,25234000
82,Other Non-Cash Items,- -,2600000,11900000,17400000,16300000,-9400000,1800000,-11600000,-12000000,8000000,-2900000,2200000,24600000,7800000,-600000,-2407000,-1413000,7906000,-804000,-5656000,-10508000,-5084000,4404000,2418000,-92000,-5493000,-588000,-3776000,-3196000,-2958000,-303000,6409000,-1837000,10191000,6019000,1873000,-8762000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1100000,2300000,1500000,-4000000,5300000,-900000,200000,3200000,- -,-2300000,-427000,292000,1534000,278000,2315000,3286000,7978000,2623000,-4057000,5569000,-3103000,-142000,4604000,1990000,3971000,-2936000,10721000,-2286000,5288000,-2486000,4444000,- -
