,https://roic.ai/company/COHU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,8500000,8500000,8700000,9300000,9600000,10000000,10900000,11800000,18800000,24700000,37300000,35600000,41000000,45300000,50700000,65881000,46900000,56498000,49878000,57019000,65072000,73200000,74500000,77300000,67500000,80300000,82793000,82000000,106300000,86569000,81079000,89163000,105682000,189089000,282157000,254145000,254335000
11,COGS and Expenses,28900000,26700000,26700000,29600000,31600000,39700000,44100000,48500000,64300000,86000000,140500000,122500000,144800000,158900000,174100000,239257000,140494000,141545000,141540000,162197000,208443000,250400000,237100000,212000000,186400000,293000000,291632000,235200000,283100000,297226000,261695000,276419000,314979000,481549000,635657000,618370000,754588000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5483000,1300000,561000,442000,967000,54000,- -,44000,342000,617000,1187000,764000,224000,239000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,100000,30000,44000,- -,-2360000,4977000,20556000,13759000,6413000
14,Depreciation and Amortization,500000,700000,600000,700000,700000,700000,800000,900000,1000000,1200000,1900000,1700000,2100000,2800000,3300000,3585000,4623000,4634000,3996000,4349000,5775000,6479000,7439000,6943000,11029000,10988000,10067000,9403000,13469000,13528000,11273000,10412000,9195000,26047000,58871000,52746000,48568000
15,EBITDA,2100000,1400000,3700000,4800000,4600000,5000000,5000000,6300000,12000000,17800000,40800000,40500000,48000000,18800000,42200000,56324000,-6944000,1056000,8649000,20252000,40149000,31979000,20106000,-236000,-2798000,41182000,27845000,-3671000,-22159000,25559000,13778000,16198000,41922000,-526000,6645000,53370000,247325000
16,EBITDA ratio,0.0691,0.0486,0.1242,0.1429,0.1303,0.1139,0.1037,0.1158,0.1594,0.1733,0.2282,0.2541,0.2556,0.1096,0.2021,0.1945,-0.0549,0.0078,0.0624,0.1149,0.1681,0.1184,0.0833,-0.0012,-0.0163,0.1276,0.0901,-0.0166,-0.0896,0.0807,0.0511,0.0574,0.1189,-0.0012,0.0114,0.0839,0.2788
17,Operating Income,1500000,2100000,3100000,4000000,3700000,4200000,4100000,5900000,11000000,16700000,38300000,36900000,43000000,12600000,34700000,50307000,-15994000,-6825000,-2974000,14040000,30459000,19748000,4288000,-12305000,-15095000,29677000,17336000,-14084000,-35800000,9098000,7959000,5665000,34748000,-29781000,-52328000,3260000,201518000
18,Operating Income ratio,0.0493,0.0729,0.1040,0.1190,0.1048,0.0957,0.0851,0.1085,0.1461,0.1626,0.2142,0.2315,0.2290,0.0735,0.1662,0.1737,-0.1264,-0.0507,-0.0215,0.0797,0.1275,0.0731,0.0178,-0.0616,-0.0881,0.0920,0.0561,-0.0637,-0.1448,0.0287,0.0295,0.0201,0.0985,-0.0659,-0.0897,0.0051,0.2271
19,Total Other Income Expenses (Gains),100000,-1400000,- -,100000,200000,100000,100000,-100000,- -,-100000,600000,1900000,2900000,3400000,4200000,5731000,4427000,3247000,7627000,1863000,3915000,6652000,8412000,5505000,1295000,523000,442000,984000,100000,10335000,44000,342000,617000,-2131000,-19749000,-16437000,-9174000
20,Income Before Tax,1600000,700000,3100000,4100000,3900000,4300000,4200000,5800000,11000000,16600000,38900000,38800000,45900000,16000000,38900000,56038000,-11567000,-3578000,4653000,15903000,34374000,26400000,12700000,-6800000,-13800000,30200000,17778000,-13100000,-35700000,19433000,8003000,6007000,35365000,-31912000,-72077000,-13177000,192344000
21,Income Before Tax Ratio,0.0526,0.0243,0.1040,0.1220,0.1105,0.0979,0.0871,0.1066,0.1461,0.1616,0.2176,0.2434,0.2444,0.0933,0.1863,0.1935,-0.0914,-0.0266,0.0336,0.0902,0.1439,0.0977,0.0526,-0.0341,-0.0806,0.0936,0.0575,-0.0592,-0.1444,0.0614,0.0297,0.0213,0.1003,-0.0706,-0.1236,-0.0207,0.2168
22,Income Tax expense (Gain),500000,200000,1200000,1400000,1400000,1600000,1600000,2300000,4200000,6500000,15300000,14600000,16700000,4400000,13000000,19000000,-5100000,-2700000,4700000,-800000,400000,7800000,4667000,-1379000,14373000,5594000,2059000,-874000,-2328000,3293000,2211000,2747000,2244000,631000,-3082000,666000,25019000
23,Net Income,1100000,500000,1900000,2700000,2500000,2700000,2600000,3100000,6800000,10100000,23600000,24200000,29200000,11600000,25900000,33739000,-6467000,-878000,-47000,16703000,33974000,17700000,8000000,-5400000,-28200000,24600000,15719000,-12200000,-33400000,8708000,250000,3039000,32843000,-32181000,-69700000,-13801000,167325000
24,Net Income ratio,0.0362,0.0174,0.0638,0.0804,0.0708,0.0615,0.0539,0.0570,0.0903,0.0983,0.1320,0.1518,0.1555,0.0676,0.1240,0.1165,-0.0511,-0.0065,-0.0003,0.0948,0.1422,0.0655,0.0331,-0.0270,-0.1646,0.0762,0.0509,-0.0552,-0.1351,0.0275,0.0009,0.0108,0.0931,-0.0712,-0.1195,-0.0217,0.1886
25,EPS,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.10,0.15,1.23,1.25,1.54,0.60,1.31,1.67,-0.32,-0.04,-0.00,0.78,1.55,0.78,0.35,-0.23,-1.20,1.04,0.65,-0.50,-1.34,0.34,0.01,0.11,1.18,-1.01,-1.69,-0.33,4.00
26,EPS Diluted,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.10,0.14,1.23,1.25,1.47,0.58,1.26,1.60,-0.32,-0.04,-0.00,0.76,1.50,0.77,0.34,-0.23,-1.20,1.02,0.64,-0.50,-1.34,0.33,0.01,0.11,1.14,-1.01,-1.69,-0.33,4.00
27,Weighted Average Shares Outstanding,14392000,14568000,14576000,15168000,15624000,15696000,15856000,16048000,16212000,17620000,19168000,19354000,18874000,19452000,19763000,20197000,20434000,20752000,21151000,21505000,21902000,22588000,22880000,23179000,23412000,23732000,24134000,24459000,24859000,25393000,26057000,26659000,27836000,31776000,41159000,41854000,41854000
28,Weighted Average Shares Outstanding Diluted,14392000,14568000,14576000,15168000,15624000,15696000,15856000,16048000,16212000,17620000,19168000,19354000,19900000,19940000,20502000,21048000,20434000,20752000,21151000,21986000,22585000,22934000,23270000,23179000,23412000,24097000,24501000,24459000,24859000,26006000,26788000,27480000,28916000,31776000,41159000,41854000,41854000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21535/000093639202000182/a79538e10-k405.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639203000213/a88177ore10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000095013704001367/a96647e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000095013405003440/a05907e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639206000155/a17749e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639207000123/a27406e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639208000126/a38169e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639209000087/0000936392-09-000087-index.html,https://www.sec.gov/Archives/edgar/data/21535/000095012310015804/0000950123-10-015804-index.html,https://www.sec.gov/Archives/edgar/data/21535/000095012311017227/a58777e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000119312512088296/0001193125-12-088296-index.html,https://www.sec.gov/Archives/edgar/data/21535/000119312513084654/0001193125-13-084654-index.html,https://www.sec.gov/Archives/edgar/data/21535/000119312514082872/d652591d10k.htm,https://www.sec.gov/Archives/edgar/data/21535/000119312515059529/d838579d10k.htm,https://www.sec.gov/Archives/edgar/data/21535/000143774916025855/0001437749-16-025855-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774917003675/0001437749-17-003675-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774918003809/0001437749-18-003809-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774919004933/0001437749-19-004933-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774920004691/0001437749-20-004691-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774921004277/0001437749-21-004277-index.htm,https://www.sec.gov/Archives/edgar/data/21535/000143774922003768/0001437749-22-003768-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,400000,200000,800000,3200000,2400000,1100000,200000,400000,3900000,3100000,28900000,24700000,39700000,74400000,56000000,79119000,65510000,32696000,7127000,59591000,38747000,24800000,77300000,30200000,38200000,45900000,53262000,102800000,51700000,70885000,115370000,96045000,134286000,164460000,155194000,149358000,290201000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25600000,13468000,24457000,74488000,100493000,56920000,100202000,123100000,92800000,58200000,46700000,52300000,51740000,7400000,1200000,1155000,1652000,31990000,21329000,560000,904000,20669000,89704000
33,Cash and Short-Term Investments,400000,200000,800000,3200000,2400000,1100000,200000,400000,3900000,3100000,28900000,24700000,39700000,74400000,81600000,92587000,89967000,107184000,107620000,116511000,138949000,147900000,170100000,88400000,84900000,98200000,105002000,110200000,52900000,72040000,117022000,128035000,155615000,165020000,156098000,170027000,379905000
34,Net Receivables,6100000,5100000,5600000,4700000,6600000,9100000,10600000,11200000,8600000,20500000,27600000,19200000,31900000,18800000,52300000,37164000,35279000,18267000,25578000,32744000,47156000,50100000,45500000,31900000,43400000,66800000,41922000,37000000,60800000,71502000,59832000,63019000,71125000,149276000,127921000,151919000,192873000
35,Inventory,7700000,6600000,8000000,8700000,9300000,10700000,13700000,13800000,19900000,28400000,21200000,15700000,44900000,25900000,55600000,46039000,30404000,24317000,31636000,41515000,44832000,48000000,42200000,53300000,52400000,63200000,82689000,62300000,59000000,49200000,51348000,45502000,62085000,139314000,130706000,142500000,161053000
36,Other Current Assets,200000,200000,300000,300000,200000,400000,400000,1200000,300000,3900000,10400000,39000000,25000000,24300000,13300000,16926000,20773000,16530000,6704000,19906000,25680000,27900000,26000000,25700000,12900000,12000000,14203000,11600000,14100000,22075000,6261000,8593000,8613000,31629000,24971000,20600000,16962000
37,Total Current Assets,14400000,12100000,14700000,16900000,18500000,21300000,24900000,26600000,32700000,55900000,88100000,98600000,141500000,143400000,202800000,192716000,176423000,166298000,171538000,210676000,256617000,273900000,283800000,199300000,193600000,240200000,243816000,221100000,186800000,214817000,234463000,245149000,297438000,485239000,439696000,485046000,750793000
38,PP&E,5800000,5200000,5000000,4900000,5200000,6300000,8600000,9000000,8800000,9100000,13200000,16800000,18900000,17600000,17000000,38117000,35849000,33770000,30683000,31121000,31780000,29600000,29800000,39400000,38000000,39800000,36981000,35500000,36200000,31854000,19000000,18234000,34172000,74332000,104181000,96119000,89017000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8340000,- -,- -,- -,9597000,12900000,16400000,60800000,61800000,58500000,58060000,58800000,71300000,35768000,60264000,58849000,65613000,242127000,238669000,252304000,219791000
40,Intangible Assets,500000,500000,400000,400000,400000,400000,300000,300000,300000,3300000,2600000,2500000,2300000,1200000,900000,578000,781000,9898000,9348000,8798000,6553000,6800000,6700000,41000000,35500000,26500000,21828000,19000000,45300000,60451000,25297000,17835000,16748000,318961000,275019000,233667000,177320000
41,Intangible Assets,500000,500000,400000,400000,400000,400000,300000,300000,300000,3300000,2600000,2500000,2300000,1200000,900000,578000,9121000,9898000,9348000,8798000,16150000,19700000,23100000,101800000,97300000,85000000,79888000,77800000,116600000,96219000,85561000,76684000,82361000,561088000,513688000,485971000,397111000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2232000,4400000,4500000,11500000,14200000,13900000,- -,11700000,12900000,11062000,6954000,- -,2921000,38942000,31310000,- -,- -
44,Other Non-Current Assets,- -,- -,100000,- -,- -,- -,300000,200000,- -,100000,- -,100000,200000,- -,- -,84000,166000,11837000,9161000,173000,198000,-1300000,-800000,-7800000,-13000000,-12900000,923000,-11200000,-7100000,-5134000,-632000,5445000,3565000,-25599000,-11165000,23192000,22123000
45,Total Non-Current Assets,6300000,5700000,5500000,5300000,5600000,6700000,9200000,9500000,9100000,12500000,15800000,19400000,21400000,18800000,17900000,38779000,45136000,55505000,49192000,40092000,50360000,52400000,56600000,144900000,136500000,125800000,117792000,113800000,158600000,134001000,110883000,100363000,123019000,648763000,638014000,605282000,508251000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20700000,17800000,20200000,22200000,24100000,28000000,34100000,36100000,41800000,68400000,103900000,118000000,162900000,162200000,220700000,231495000,221559000,221803000,220730000,250768000,306977000,326300000,340400000,344200000,330100000,366000000,361608000,334900000,345400000,348818000,345346000,345512000,420457000,1134002000,1077710000,1090328000,1259044000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,2300000,3200000,1600000,6400000,7500000,4500000,16200000,3000000,13000000,7604000,7845000,6387000,7250000,7712000,7726000,7500000,16700000,11700000,22600000,18200000,18625000,13200000,26000000,25119000,27290000,31444000,37556000,48117000,48697000,67923000,85230000
49,Short-Term Debt,2700000,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4388000,6787000,6517000,8389000,14397000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1282000,1486000,8802000,2518000,3248000,805000,3133000,4195000,1920000,2159000,11055000,3894000,3857000,6873000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3108000,5231000,4132000,9651000,13816000,21660000,18832000,16270000,3703000,5991000,2821000,4746000,5516000,4406000,6954000,6886000,6608000,38942000,31310000,23081000,20508000
52,Other Current Liabilities,3200000,2800000,3500000,3000000,2800000,4300000,2600000,4300000,5800000,11400000,23300000,16100000,19100000,20300000,43700000,24529000,14666000,14141000,15435000,18820000,28780000,19240000,13868000,15730000,27697000,47309000,30425000,18454000,29484000,38953000,28947000,30359000,36715000,66743000,62361000,75060000,72324000
53,Total Current Liabilities,5900000,2800000,3500000,3000000,2800000,4300000,6400000,7500000,7400000,17800000,30800000,20600000,35300000,23300000,56700000,32133000,25619000,25759000,26817000,36183000,50322000,48400000,49400000,43700000,54000000,71500000,51871000,36400000,61000000,68478000,63191000,68689000,85267000,160589000,148885000,174453000,192459000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2000000,- -,- -,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4575000,346041000,346518000,337338000,125433000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11689000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,600000,600000,800000,600000,500000,600000,600000,400000,100000,1000000,200000,200000,300000,500000,700000,464000,4300000,4811000,416000,5090000,5087000,- -,- -,- -,- -,- -,12742000,11747000,12948000,11061000,6954000,5852000,2921000,38942000,31310000,28816000,25887000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,-100000,100000,- -,700000,700000,800000,900000,900000,1100000,900000,900000,1058000,1109000,1139000,1267000,1383000,1443000,6400000,7500000,14900000,18900000,19800000,5964000,5853000,18352000,22211000,37064000,23813000,38603000,42187000,67925000,37451000,32763000
58,Total Non-Current Liabilities,600000,600000,800000,500000,400000,700000,2600000,1100000,800000,3200000,1100000,1100000,1400000,1400000,1600000,1522000,5409000,5950000,1683000,6473000,6530000,6400000,7500000,14900000,18900000,19800000,18706000,17600000,31300000,33272000,44018000,41354000,46099000,427170000,445753000,403605000,184083000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2613000,28877000,25787000,22040000
61,Total Liabilities,6500000,3400000,4300000,3500000,3200000,5000000,9000000,8600000,8200000,21000000,31900000,21700000,36700000,24700000,58300000,33655000,31028000,31709000,28500000,42656000,56852000,54800000,56900000,58600000,72900000,91300000,70577000,54000000,92300000,101750000,107209000,110043000,131366000,587759000,594638000,578058000,376542000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19900000,20313000,20543000,20864000,21375000,21611000,22380000,22700000,23000000,23300000,23500000,24000000,24330000,24600000,25100000,25692000,26240000,26842000,28489000,40763000,41395000,42190000,48756000
64,Retained Earnings,9000000,9100000,10600000,12900000,14800000,17000000,19000000,21400000,27400000,36500000,58700000,81100000,108000000,116500000,138900000,168570000,158012000,152978000,148691000,161089000,190225000,202500000,205000000,194000000,160200000,179100000,189055000,170900000,131500000,134152000,128153000,124559000,150726000,111670000,42517000,26230000,193555000
65,Other Comprehensive Income/Loss,-2700000,-3200000,-3800000,-4200000,-4700000,-5200000,-5600000,-6300000,-7200000,-9400000,-10000000,-11300000,-13000000,-14800000,-17800000,-20605000,-21139000,330000,24000,-160000,-197000,-414000,486000,7134000,8662000,-197000,-12000,1783000,6651000,-10714000,-21772000,-27882000,-17787000,-25880000,-34030000,-4326000,-27262000
66,Other Total Stockholders Equity,7900000,8500000,9100000,10000000,10800000,11200000,11700000,12400000,13400000,20300000,23300000,26500000,31200000,35800000,21400000,29562000,33115000,15922000,22140000,25572000,37717000,46802000,54982000,61105000,64887000,71822000,77658000,83616000,89909000,97938000,105516000,111950000,127663000,419690000,433190000,448194000,667453000
67,Total Stockholders Equity,14200000,14400000,15900000,18700000,20900000,23000000,25100000,27500000,33600000,47400000,72000000,96300000,126200000,137500000,162400000,197840000,190531000,190094000,192230000,208112000,250125000,271588000,283468000,285539000,257249000,274725000,291031000,280899000,253160000,247068000,238137000,235469000,289091000,546243000,483072000,512288000,882502000
68,Total Liabilities And Stockholders Equity,20700000,17800000,20200000,22200000,24100000,28000000,34100000,36100000,41800000,68400000,103900000,118000000,162900000,162200000,220700000,231495000,221559000,221803000,220730000,250768000,306977000,326388000,340368000,344139000,330149000,366025000,361608000,334899000,345460000,348818000,345346000,345512000,420457000,1134002000,1077710000,1090346000,1259044000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88000,32000,61000,-49000,-25000,- -,1000,-60000,- -,- -,- -,- -,- -,- -,-18000,- -
70,Total Liabilities & Equity,20700000,17800000,20200000,22200000,24100000,28000000,34100000,36100000,41800000,68400000,103900000,118000000,162900000,162200000,220700000,231495000,221559000,221803000,220730000,250768000,306977000,326300000,340400000,344200000,330100000,366000000,361608000,334900000,345400000,348818000,345346000,345512000,420457000,1134002000,1077710000,1090328000,1259044000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21535/000093639202000182/a79538e10-k405.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639203000213/a88177ore10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000095013704001367/a96647e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000095013405003440/a05907e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639206000155/a17749e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639207000123/a27406e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639208000126/a38169e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000093639209000087/0000936392-09-000087-index.html,https://www.sec.gov/Archives/edgar/data/21535/000095012310015804/0000950123-10-015804-index.html,https://www.sec.gov/Archives/edgar/data/21535/000095012311017227/a58777e10vk.htm,https://www.sec.gov/Archives/edgar/data/21535/000119312512088296/0001193125-12-088296-index.html,https://www.sec.gov/Archives/edgar/data/21535/000119312513084654/0001193125-13-084654-index.html,https://www.sec.gov/Archives/edgar/data/21535/000119312514082872/d652591d10k.htm,https://www.sec.gov/Archives/edgar/data/21535/000119312515059529/d838579d10k.htm,https://www.sec.gov/Archives/edgar/data/21535/000143774916025855/0001437749-16-025855-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774917003675/0001437749-17-003675-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774918003809/0001437749-18-003809-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774919004933/0001437749-19-004933-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774920004691/0001437749-20-004691-index.html,https://www.sec.gov/Archives/edgar/data/21535/000143774921004277/0001437749-21-004277-index.htm,https://www.sec.gov/Archives/edgar/data/21535/000143774922003768/0001437749-22-003768-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,2600000,3100000,6800000,10100000,23600000,24200000,29200000,11600000,25900000,33739000,-6467000,-878000,-47000,16703000,33974000,17700000,8000000,-5400000,-28200000,24600000,15719000,-12200000,-33400000,8708000,250000,3039000,32843000,-32181000,-69700000,-13801000,167325000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,800000,900000,1000000,1200000,1900000,1700000,2100000,2800000,3300000,3585000,4623000,4634000,3996000,4349000,5775000,6479000,7439000,6943000,11029000,10988000,10067000,9403000,13469000,13528000,11273000,10412000,9195000,26047000,58871000,52746000,48568000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-200000,-300000,-1900000,1600000,-300000,200000,-600000,-600000,-2760000,2525000,4647000,3008000,-6821000,-6962000,-2801000,1154000,1573000,17360000,-1971000,-1676000,581000,-1657000,-487000,222000,-1065000,-3791000,-8207000,-5385000,-5305000,953000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3949000,3378000,3543000,4287000,4621000,5468000,6585000,6755000,7143000,7007000,18279000,14148000,14234000,13792000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-3900000,1500000,600000,6200000,12800000,19200000,20700000,28200000,13900000,26000000,14483000,-9779000,-10265000,4182000,29772000,31802000,19205000,8900000,-78800000,-16000000,29100000,23245000,-7245000,-58900000,20539000,24933000,5188000,35711000,112479000,-33839000,-71757000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20878000,-11226000,-23434000,24877000,4979000,-2502000,-15484000,8970000,-4617000,-3259000,5785000,21150000,-20210000,-59123000
79,Inventory,- -,- -,- -,- -,- -,- -,-3000000,- -,-6200000,-3100000,7200000,5700000,-29300000,19000000,-29800000,9607000,18135000,6087000,-7319000,-11415000,-4250000,-2577000,6829000,-7854000,708000,-13866000,-20865000,19897000,13052000,-1850000,-5743000,4608000,-12196000,2043000,26000,-14982000,-35864000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7021000,10757000,-4402000,427000,-5458000,6658000,320000,3376000,5678000,4157000,-7103000,-3122000,15058000,17316000
