,https://roic.ai/company/TGI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0426,0.0476,0.0842,0.1202,0.1335,0.1181,0.1084,0.1172,0.1030,0.0401,0.0296,0.0573,0.0745,0.0112,0.1156,0.0977,0.0807,0.1284,0.1251,0.0830,0.0898,-0.2983,-0.0067,-0.1444,-0.0972,-0.0077,-0.2396
22,Income Tax expense (Gain),2600000,3700000,8500000,15600000,20300000,17550000,21571000,22365000,20682000,4991000,4596000,9053000,24026000,37161000,45586000,41167000,82066000,155955000,165710000,105977000,110597000,-111187000,19340000,-36457000,-5426000,5798000,2881000
23,Net Income,1500000,9700000,11100000,24600000,33100000,34602000,39214000,49437000,36717000,18222000,11428000,34515000,47071000,67274000,93067000,67762000,149899000,280857000,297347000,206256000,238697000,-1047960000,-42952000,-425391000,-321767000,-28126000,-450910000
24,Net Income ratio,0.0091,0.0519,0.0443,0.0747,0.0827,0.0783,0.0699,0.0807,0.0649,0.0300,0.0166,0.0454,0.0493,0.0584,0.0750,0.0523,0.0516,0.0824,0.0803,0.0548,0.0614,-0.2697,-0.0122,-0.1330,-0.0956,-0.0097,-0.2412
25,EPS,0.14,0.77,0.67,1.18,1.40,1.48,1.61,1.56,1.16,0.57,0.36,1.08,1.45,2.04,2.84,2.06,3.33,5.75,5.99,3.99,4.70,-21.21,-0.87,-8.48,-6.47,-0.58,-8.55
26,EPS Diluted,0.14,0.69,0.67,1.09,1.31,1.40,1.55,1.55,1.16,0.57,0.36,1.07,1.44,1.92,2.81,2.04,3.15,5.41,5.67,3.91,4.68,-21.21,-0.87,-8.48,-6.47,-0.58,-8.55
27,Weighted Average Shares Outstanding,10344828,12679739,17296000,20970000,23792000,23378000,24250000,31568000,31666000,31684000,31754000,31840000,32440000,32994000,32768000,32918000,45006000,48821000,49663000,51711000,50796000,49218000,49303000,49442000,49698000,50494000,52739000
28,Weighted Average Shares Outstanding Diluted,10344828,14160584,21967213,22462000,25292000,24794000,25258000,31836000,31848000,31836000,31942000,32120000,32826000,35080000,33168000,33332000,47488000,51873000,52446000,52787000,51005000,49218000,49303000,49442000,49698000,50494000,52739000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1021162/000089322097001184/0000893220-97-001184-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746998024552/0001047469-98-024552-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021162/000091205700030088/0000912057-00-030088-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021162/000091205702021350/0000912057-02-021350-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746903021219/0001047469-03-021219-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746904019225/0001047469-04-019225-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746905017242/a2159227z10-k.htm,https://www.sec.gov/Archives/edgar/data/1021162/000110465906040324/a06-12867_110k.htm,https://www.sec.gov/Archives/edgar/data/1021162/000110465907046610/0001104659-07-046610-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746908006990/0001047469-08-006990-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746909005915/0001047469-09-005915-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746910005346/0001047469-10-005346-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746911005289/0001047469-11-005289-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116212000011/tgi-2012331x10k.htm,https://www.sec.gov/Archives/edgar/data/1021162/000102116213000018/0001021162-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116214000016/0001021162-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116215000017/0001021162-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116216000059/0001021162-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116217000023/0001021162-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116218000018/0001021162-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116219000060/0001021162-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000156459020027367/0001564590-20-027367-index.htm,https://www.sec.gov/Archives/edgar/data/1021162/000156459021029065/0001564590-21-029065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,700000,500000,1000000,4600000,5000000,6279000,4819000,6913000,8583000,6766000,4844000,5698000,7257000,13738000,14478000,157218000,39328000,29662000,32037000,28998000,32617000,20984000,69633000,35819000,92807000,485463000,589882000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,700000,500000,1000000,4600000,5000000,6279000,4819000,6913000,8583000,6766000,4844000,5698000,7257000,13738000,14478000,157218000,39328000,29662000,32037000,28998000,32617000,20984000,69633000,35819000,92807000,485463000,589882000
34,Net Receivables,27900000,29700000,39200000,63400000,65600000,78960000,115666000,104450000,106841000,131102000,127942000,147780000,174526000,207975000,209463000,214497000,369491000,440608000,433926000,517707000,521846000,444208000,311792000,414185000,700257000,603904000,328704000
35,Inventory,30500000,45100000,54300000,77100000,104800000,123750000,172247000,182102000,196343000,206751000,217234000,235878000,307665000,361667000,389348000,363925000,781714000,817956000,1022555000,1153433000,1321699000,1236190000,1340175000,1427169000,413560000,452976000,400366000
36,Other Current Assets,11600000,30000000,2900000,4100000,4800000,4730000,7060000,3430000,31432000,32097000,9309000,11762000,18121000,31420000,65529000,49093000,49322000,130157000,137818000,82205000,168452000,41259000,51319000,45752000,34446000,19289000,235482000
37,Total Current Assets,70700000,105300000,97400000,149200000,180200000,213719000,299792000,296895000,343199000,376716000,359329000,401118000,507569000,614800000,678818000,784733000,1239855000,1418383000,1626336000,1782343000,2044614000,1742641000,1772919000,1922925000,1241070000,1561632000,1554434000
38,PP&E,27600000,36600000,48300000,78800000,107100000,122787000,157519000,176061000,215832000,248626000,234123000,237325000,294479000,324095000,332467000,327634000,734879000,733380000,815548000,930973000,948902000,889734000,805030000,726003000,543710000,418141000,211369000
39,Goodwill,- -,- -,- -,- -,- -,- -,194223000,250410000,- -,- -,- -,272737000,339930000,383740000,459541000,502074000,1545541000,1546374000,1745321000,1791831000,2030594000,1444254000,1142605000,592828000,583225000,513527000,521638000
40,Intangible Assets,1100000,17000000,25600000,73400000,141500000,170425000,79835000,34947000,291522000,295135000,329703000,49424000,69919000,78488000,108350000,79844000,859620000,829676000,929413000,978182000,972389000,649612000,592364000,507681000,430954000,381968000,102453000
41,Intangible Assets,1100000,17000000,25600000,73400000,141500000,170425000,274058000,285357000,291522000,295135000,329703000,322161000,409849000,462228000,567891000,581918000,2405161000,2376050000,2674734000,2770013000,3002983000,2093866000,1734969000,1100509000,1014179000,895495000,624091000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51578000,527000,627000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,12000000,2500000,- -,- -,100000,- -,- -,14652000,13615000,15371000,14560000,14179000,17261000,13712000,13731000,18392000,38764000,26417000,66260000,69954000,72944000,108852000,101682000,57627000,55615000,105065000,61041000
45,Total Non-Current Assets,40700000,56100000,73900000,152200000,248700000,293212000,431577000,476070000,520969000,559132000,578386000,573665000,721589000,800035000,914089000,927944000,3230382000,3136374000,3557169000,3770940000,4024829000,3092452000,2641681000,1884139000,1613504000,1418701000,896501000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,111400000,161400000,171300000,301400000,428900000,506931000,731369000,772965000,864168000,935848000,937715000,974783000,1229158000,1414835000,1592907000,1712677000,4470237000,4554757000,5183505000,5553283000,6069443000,4835093000,4414600000,3807064000,2854574000,2980333000,2450935000
48,Accounts Payable,18000000,18200000,20500000,27400000,33900000,34996000,52168000,46082000,47466000,55259000,65211000,73995000,103164000,120117000,103711000,92859000,262716000,266124000,327634000,317334000,427448000,410225000,481243000,418367000,433783000,457694000,179473000
49,Short-Term Debt,- -,- -,400000,700000,1200000,4856000,6017000,11295000,7831000,4884000,1740000,8078000,5702000,1010000,89085000,91929000,300252000,142237000,133930000,49575000,42255000,42441000,160630000,16527000,8201000,20475000,16852000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2516000,2469000,3873000,4852000,5974000,3796000,5084000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32302000,20428000,32210000,78932000,256275000,234198000,293719000,295320000,204379000
52,Other Current Liabilities,13000000,26700000,20200000,29000000,51700000,49580000,62196000,57793000,55985000,61557000,78520000,73683000,79676000,89493000,113863000,112165000,399578000,311620000,242557000,252862000,395530000,604276000,436112000,323347000,239572000,214264000,317663000
53,Total Current Liabilities,31000000,44900000,41100000,57100000,86800000,89432000,120381000,115170000,111282000,121700000,145471000,155756000,188542000,210620000,306659000,296953000,962546000,719981000,736423000,640199000,897443000,1135874000,1334260000,992439000,975275000,987753000,718367000
54,Long-Term Debt,68800000,90000000,24000000,33800000,91900000,133952000,170305000,146961000,191692000,220963000,156042000,153339000,310481000,418803000,386219000,413851000,1011752000,1016625000,1195933000,1500808000,1337141000,1374879000,1035670000,1421757000,1480620000,1800171000,1978356000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123006000,141505000,644950000,522680000,394883000,344064000,340944000,184227000,144625000
56,Deferred Tax Liabilities,2800000,6800000,14800000,27700000,35500000,39177000,50792000,57333000,66209000,78069000,109539000,101985000,102772000,91246000,117462000,113640000,20000,188370000,331061000,385085000,406641000,62453000,68107000,16582000,6964000,7439000,7491000
57,Other Non-Current Liabilities,800000,1900000,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,1437000,2917000,27547000,863702000,836412000,751924000,601775000,647484000,804263000,735207000,581688000,624084000,782007000,420949000
58,Total Non-Current Liabilities,72400000,98700000,38800000,61400000,127300000,173129000,221097000,204294000,257901000,299032000,265581000,255324000,413253000,511486000,506598000,555038000,1875474000,2041407000,2401924000,2629173000,3036216000,2764275000,2233867000,2364091000,2452612000,2773844000,2551421000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67826000,37665000
61,Total Liabilities,103400000,143600000,79900000,118500000,214100000,262561000,341478000,319464000,369183000,420732000,411052000,411080000,601795000,722106000,813257000,851991000,2838020000,2761388000,3138347000,3269372000,3933659000,3900149000,3568127000,3356530000,3427887000,3761597000,3269788000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,12000,15000,16000,16000,16000,16000,16000,16000,16000,16000,17000,24000,50000,50000,52000,51000,51000,51000,51000,52000,52000,64000
64,Retained Earnings,5100000,14100000,22900000,47500000,80700000,115204000,154340000,203637000,240300000,258522000,269950000,304180000,349290000,413612000,500348000,553015000,697585000,970406000,1257708000,1455620000,1686217000,630368000,579489000,146155000,-794072000,-830501000,-1254391000
65,Other Comprehensive Income/Loss,-3900000,-6700000,-11100000,-15900000,-24600000,-38531000,-49965000,-66441000,543000,1408000,306000,-162000,-120000,2950000,-2233000,705000,120471000,-9306000,-60972000,-18908000,-198910000,-347162000,-396178000,-367870000,-487684000,-719428000,-530192000
66,Other Total Stockholders Equity,6800000,10400000,79600000,151300000,158700000,167685000,285501000,316289000,254126000,255170000,256391000,259669000,278177000,276151000,281519000,306949000,814137000,832219000,848372000,847147000,648426000,651687000,663111000,672198000,708391000,768613000,965666000
67,Total Stockholders Equity,8000000,17800000,91400000,182900000,214800000,244370000,389891000,453501000,494985000,515116000,526663000,563703000,627363000,692729000,779650000,860686000,1632217000,1793369000,2045158000,2283911000,2135784000,934944000,846473000,450534000,-573313000,-781264000,-818853000
68,Total Liabilities And Stockholders Equity,111400000,161400000,171300000,301400000,428900000,506931000,731369000,772965000,864168000,935848000,937715000,974783000,1229158000,1414835000,1592907000,1712677000,4470237000,4554757000,5183505000,5553283000,6069443000,4835093000,4414600000,3807064000,2854574000,2980333000,2450935000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,111400000,161400000,171300000,301400000,428900000,506931000,731369000,772965000,864168000,935848000,937715000,974783000,1229158000,1414835000,1592907000,1712677000,4470237000,4554757000,5183505000,5553283000,6069443000,4835093000,4414600000,3807064000,2854574000,2980333000,2450935000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1021162/000089322097001184/0000893220-97-001184-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746998024552/0001047469-98-024552-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021162/000091205700030088/0000912057-00-030088-index.html,- -,https://www.sec.gov/Archives/edgar/data/1021162/000091205702021350/0000912057-02-021350-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746903021219/0001047469-03-021219-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746904019225/0001047469-04-019225-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746905017242/a2159227z10-k.htm,https://www.sec.gov/Archives/edgar/data/1021162/000110465906040324/a06-12867_110k.htm,https://www.sec.gov/Archives/edgar/data/1021162/000110465907046610/0001104659-07-046610-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746908006990/0001047469-08-006990-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746909005915/0001047469-09-005915-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746910005346/0001047469-10-005346-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000104746911005289/0001047469-11-005289-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116212000011/tgi-2012331x10k.htm,https://www.sec.gov/Archives/edgar/data/1021162/000102116213000018/0001021162-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116214000016/0001021162-14-000016-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116215000017/0001021162-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116216000059/0001021162-16-000059-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116217000023/0001021162-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116218000018/0001021162-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000102116219000060/0001021162-19-000060-index.html,https://www.sec.gov/Archives/edgar/data/1021162/000156459020027367/0001564590-20-027367-index.htm,https://www.sec.gov/Archives/edgar/data/1021162/000156459021029065/0001564590-21-029065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1500000,9700000,11100000,24600000,33100000,34602000,39214000,49437000,36717000,18222000,11428000,34515000,47071000,67274000,93067000,67762000,149899000,280857000,297347000,206256000,238697000,-1047960000,-42952000,-425391000,-321767000,-28126000,-450910000
74,Depreciation and Amortization,3000000,3800000,6300000,9300000,14500000,19997000,26526000,22097000,24802000,28710000,31305000,32786000,38864000,44836000,48611000,54418000,99657000,129325000,129506000,164277000,158323000,177755000,176946000,158368000,149904000,138168000,93334000
75,Deferred Income Tax,900000,700000,1100000,3600000,2300000,4362000,7862000,7596000,6009000,6518000,2723000,-489000,5969000,8380000,15248000,7524000,80732000,153453000,186767000,102869000,105277000,-118302000,9480000,-43108000,-7939000,2823000,-176000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3180000,3220000,3622000,4988000,6367000,4653000,1272000,2657000,7922000,7949000,10259000,11062000,12701000
77,Change in Working Capital,-5000000,20700000,-4100000,35800000,1300000,30887000,55124000,2314000,50192000,23099000,-41158000,31504000,73665000,85153000,-32021000,115621000,-210471000,421093000,191511000,252231000,5027000,-540404000,-168108000,491827000,-664691000,308084000,262188000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10478000,-6172000,-15875000,-82062000,24718000,-46378000,69500000,73083000,112196000,-105104000,-89728000,5001000,126294000
79,Inventory,-3000000,-4200000,-8100000,-8200000,-19000000,- -,-26555000,-7925000,-8003000,-930000,-10954000,-17604000,-52705000,-54903000,-7719000,30192000,-21045000,-47487000,-138342000,-101154000,42383000,293517000,-272653000,-163417000,-15930000,-48802000,35412000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,39700000,60400000,56300000,92100000,93400000,124287000,179411000,181725000,231917000,255016000,213858000,245362000,319027000,404180000,372159000,487780000,277309000,698402000,889913000,1142144000,1147171000,606767000,438659000,930486000,265795000,573879000,836067000
82,Other Non-Cash Items,5200000,-18800000,-6300000,-59700000,-17000000,-53188000,-102503000,-3618000,-52716000,-30902000,60697000,-57945000,-119325000,-154521000,6912000,-78897000,18865000,-761935000,-490580000,-595149000,-41264000,1610117000,298234000,-478539000,659814000,-335345000,-90256000
83,Cash Provided by Operating Activities,5600000,16100000,8100000,13600000,34200000,36660000,26223000,77826000,65004000,45647000,64995000,40371000,46244000,51122000,134997000,169648000,142304000,227781000,320918000,135137000,467332000,83863000,281522000,-288894000,-174420000,96666000,-173119000
84,CAPEX,-3200000,-1900000,-8200000,-14200000,-88500000,-14736000,-27073000,-32642000,-31567000,-25446000,-18602000,-28777000,-59694000,-62368000,-45421000,-31665000,-90025000,-90532000,-121734000,-197328000,-109351000,-80047000,-51832000,-42050000,-47099000,-39834000,-25178000
85,Acquisitions Net,- -,- -,- -,- -,- -,-49677000,-153092000,-29489000,-75672000,-50036000,-7057000,-15351000,-140332000,-62829000,-140192000,-31493000,-347912000,11951000,-349632000,-94456000,38281000,-54051000,9000,-2818000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1500000,-34100000,19400000,-69200000,7800000,5815000,11930000,721000,1065000,1095000,26949000,114000,780000,- -,-45421000,-31050000,4213000,-81774000,-117741000,-152281000,-106184000,-73978000,34355000,41032000,200548000,7395000,-9290000
89,Cash Used for Investing Activites,-1700000,-36000000,11200000,-83400000,-80700000,-58598000,-168235000,-61410000,-106174000,-74387000,1290000,-44014000,-199246000,-125197000,-185613000,-62543000,-433724000,-69823000,-467373000,-246737000,-67903000,-128029000,34364000,38214000,200548000,7395000,-9290000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82541000,-113788000,-731168000,-484538000,-366489000,-416645000,-655860000,-80917000,-254144000,-387373000,-113425000,-449650000,-160035000
91,Common Stock Issued,- -,- -,51800000,66800000,100000,286000,106710000,16556000,939000,340000,1084000,2314000,15984000,7507000,1474000,1367000,3034000,- -,- -,- -,- -,- -,- -,- -,- -,- -,145383000
92,Common Stock Repurchased,- -,- -,- -,- -,-1400000,-4611000,- -,-750000,-220000,- -,- -,- -,- -,-12342000,- -,- -,-1861000,-609000,-1840000,-21860000,-185053000,-96000,-182000,-483000,-860000,-1442000,-1285000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1961000,-2661000,-2652000,-2666000,-3574000,-6899000,-8005000,-8344000,-8100000,-7889000,-7927000,-7943000,-7971000,-8078000,- -
94,Other Financing Activites,-3700000,19700000,-70700000,6600000,48200000,27589000,33842000,-30128000,41394000,26256000,-69370000,2318000,140273000,87264000,135829000,150363000,906620000,325795000,524973000,550048000,453845000,121356000,-4204000,609402000,154731000,752862000,293184000
95,Cash Used/Provided by Financing Activities,-3700000,19700000,-18900000,73400000,46900000,23264000,140552000,-14322000,42113000,26596000,-68286000,4632000,154296000,79768000,52110000,35276000,173051000,-166251000,148639000,103199000,-395168000,32454000,-266457000,213603000,32475000,293692000,277247000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,810000,327000,79000,-135000,265000,802000,-754000,359000,479000,-1373000,191000,5362000,-642000,79000,-780000,3263000,-1615000,-5097000,9581000
97,Net Change In Cash,- -,- -,- -,- -,- -,1326000,-1460000,2094000,1753000,-1817000,-1922000,854000,1559000,6495000,740000,142740000,-117890000,-9666000,2375000,-3039000,3619000,-11633000,48649000,-33814000,56988000,392656000,104419000
98,Cash at the End of Period,- -,- -,- -,- -,- -,6279000,4819000,6913000,8583000,6766000,4844000,5698000,7257000,13738000,14478000,157218000,39328000,29662000,32037000,28998000,32617000,20984000,69633000,35819000,92807000,485463000,589882000
99,Cash at the Beginning of Period,400000,700000,500000,1000000,4600000,4953000,6279000,4819000,6830000,8583000,6766000,4844000,5698000,7243000,13738000,14478000,157218000,39328000,29662000,32037000,28998000,32617000,20984000,69633000,35819000,92807000,485463000
100,Free Cash Flow,2400000,14200000,-100000,-600000,-54300000,21924000,-850000,45184000,33437000,20201000,46393000,11594000,-13450000,-11246000,89576000,137983000,52279000,137249000,199184000,-62191000,357981000,3816000,229690000,-330944000,-221519000,56832000,-198297000
