,https://roic.ai/company/PPL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1187200000,1301000000,1324000000,1313000000,1708000000,2020000000,2742000000,2732000000,2600000000,2728000000,3017000000,3067000000,3189000000,2954000000,1145000000,2550000000,3953000000,1466000000,1525000000,1594000000,1182000000,1227000000,1300000000,1406000000,1512000000,1594000000,1289000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1916400000,2101000000,2294000000,2866000000,3718000000,4481000000,4870000000,4189000000,4247000000,4425000000,4873000000,5286000000,4815000000,6225000000,6595000000,6655000000,9152000000,9177000000,8824000000,8227000000,4838000000,4469000000,4379000000,4933000000,4929000000,4804000000,4359000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,3000000,5000000,4000000,3000000,2000000,6000000,16000000,10000000,12000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396000000,593000000,898000000,961000000,1006000000,1024000000,871000000,888000000,901000000,963000000,994000000,1001000000,918000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000000,780000000,1215000000,1286000000,1383000000,1465000000,942000000,1006000000,1105000000,1172000000,1280000000,1359000000,1121000000
15,EBITDA,290600000,300100000,302500000,332000000,353400000,343900000,348400000,346700000,348100000,244300000,636000000,610000000,558000000,-285000000,632000000,818000000,492000000,485000000,933000000,893000000,799000000,1140000000,1576000000,1388000000,1404000000,2574000000,4299000000,4318000000,3699000000,5007000000,2960000000,4444000000,3918000000,4420000000,4429000000,4331000000,1062000000
16,EBITDA ratio,0.1470,0.1371,0.1448,0.1500,0.1500,0.1440,0.1361,0.1263,0.1276,0.0896,0.2311,0.2096,0.1830,-0.0753,0.1377,0.1439,0.0859,0.0893,0.1670,0.1536,0.1285,0.1652,0.2425,0.1726,0.1858,0.3021,0.3375,0.3515,0.3119,0.4354,0.3860,0.5912,0.5261,0.5678,0.5701,0.5693,0.1836
17,Operating Income,1976500000,2188900000,2088800000,2213900000,2356400000,2388700000,2559700000,2744100000,2727000000,2725100000,835400000,809000000,755000000,920000000,872000000,1202000000,855000000,1240000000,1340000000,1387000000,1346000000,1613000000,1683000000,1819000000,961000000,1866000000,3101000000,3109000000,2339000000,3272000000,2831000000,3048000000,3068000000,2852000000,2840000000,2803000000,1424000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.3036,0.2780,0.2476,0.2430,0.1900,0.2115,0.1493,0.2284,0.2398,0.2386,0.2164,0.2338,0.2590,0.2261,0.1272,0.2190,0.2435,0.2531,0.1972,0.2845,0.3691,0.4055,0.4120,0.3663,0.3656,0.3685,0.2462
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-199400000,-199000000,-197000000,-257000000,-194000000,-395000000,-373000000,-605000000,-422000000,-492000000,-488000000,-453000000,-382000000,-439000000,-365000000,-627000000,-900000000,-1027000000,-1030000000,-908000000,-763000000,-498000000,-1156000000,-567000000,-685000000,-832000000,-903000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,636000000,610000000,558000000,663000000,678000000,807000000,482000000,635000000,918000000,895000000,858000000,1160000000,1301000000,1380000000,596000000,1239000000,2201000000,2082000000,1309000000,2364000000,2068000000,2550000000,1912000000,2285000000,2155000000,1971000000,521000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2311,0.2096,0.1830,0.1751,0.1477,0.1420,0.0842,0.1170,0.1643,0.1540,0.1380,0.1681,0.2002,0.1716,0.0789,0.1454,0.1728,0.1695,0.1104,0.2056,0.2697,0.3392,0.2567,0.2935,0.2774,0.2591,0.0901
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,285500000,253000000,238000000,259000000,174000000,294000000,261000000,210000000,170000000,195000000,121000000,275000000,270000000,440000000,130000000,263000000,691000000,545000000,180000000,781000000,465000000,648000000,784000000,458000000,409000000,502000000,503000000
23,Net Income,290600000,300100000,302500000,332000000,353400000,343900000,348400000,346700000,348100000,244300000,350500000,357000000,320000000,-544000000,458000000,524000000,231000000,275000000,763000000,698000000,678000000,865000000,1306000000,948000000,407000000,938000000,1495000000,1526000000,1130000000,1737000000,682000000,1902000000,1128000000,1827000000,1746000000,1469000000,-1480000000
24,Net Income ratio,0.1470,0.1371,0.1448,0.1500,0.1500,0.1440,0.1361,0.1263,0.1276,0.0896,0.1274,0.1227,0.1050,-0.1437,0.0998,0.0922,0.0403,0.0507,0.1366,0.1201,0.1090,0.1254,0.2010,0.1179,0.0539,0.1101,0.1174,0.1242,0.0953,0.1511,0.0889,0.2530,0.1515,0.2347,0.2247,0.1931,-0.2559
25,EPS,0.67,0.78,0.83,0.94,1.01,0.99,1.00,1.01,1.03,0.70,1.02,1.02,0.90,-1.73,1.42,1.73,0.61,0.69,2.13,1.90,1.79,2.27,3.39,2.49,1.08,2.17,2.61,2.61,1.85,2.64,1.01,2.80,1.64,2.59,2.39,1.91,-1.93
26,EPS Diluted,0.67,0.78,0.83,0.94,1.01,0.99,1.00,1.01,1.03,0.70,1.02,1.02,0.90,-1.73,1.42,1.72,0.61,0.68,2.12,1.89,1.77,2.24,3.35,2.47,1.08,2.17,2.61,2.60,1.76,2.61,1.01,2.79,1.64,2.58,2.37,1.91,-1.93
27,Weighted Average Shares Outstanding,297462687,298064516,298915663,299251337,300492611,300808081,302189055,303168317,303574879,306241135,315298000,322120000,329100000,328901734,304225352,288695652,291056911,303649635,345411765,368337731,378770950,381057269,379941003,373626000,376082000,431345000,550395000,580276000,608983000,653504000,669814000,677592000,685240000,704439000,728512000,768590000,762902000
28,Weighted Average Shares Outstanding Diluted,297462687,298064516,298915663,299251337,300492611,300808081,302189055,303168317,303574879,306241135,319452055,322120000,329100000,334010152,308108108,289534884,293442623,305882353,346226415,370291777,383050847,386160714,384477612,376526000,376406000,431569000,550952000,581626000,663073000,665973000,672586000,680446000,687334000,708619000,736754000,769384000,764819000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922224/000092222402000003/ppl10k_2001.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222403000007/0000922224-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/60549/000110465904008852/0001104659-04-008852-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222405000010/ppl10k_2004.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222406000018/ppl10-k2005.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222407000030/ppl10-k2006.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222408000013/ppl10k2007.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222409000020/0000922224-09-000020-index.html,https://www.sec.gov/Archives/edgar/data/1161976/000092222410000012/0000922224-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222411000029/form10k.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222412000023/0000922224-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222413000025/0000922224-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222414000024/form10k.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222415000016/form10k.htm,https://www.sec.gov/Archives/edgar/data/317187/000092222416000130/0000922224-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/317187/000092222417000010/0000922224-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222418000023/0000922224-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222419000015/0000922224-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222420000005/0000922224-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222421000006/0000922224-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222422000005/0000922224-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115900000,174000000,56000000,195000000,133000000,480000000,950000000,245000000,476000000,666000000,555000000,896000000,633000000,1420000000,801000000,925000000,1202000000,901000000,1102000000,1751000000,836000000,341000000,485000000,621000000,815000000,708000000,3571000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,16000000,- -,- -,120000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115900000,174000000,56000000,195000000,133000000,480000000,950000000,245000000,476000000,666000000,555000000,896000000,633000000,1420000000,801000000,1088000000,1218000000,901000000,1102000000,1871000000,836000000,341000000,485000000,621000000,815000000,708000000,3571000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303300000,300000000,365000000,470000000,709000000,981000000,822000000,914000000,896000000,866000000,1023000000,1060000000,1192000000,1132000000,1068000000,1531000000,1657000000,1681000000,1855000000,1829000000,1185000000,1192000000,1324000000,1266000000,1296000000,1379000000,948000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190300000,201000000,200000000,207000000,200000000,197000000,251000000,242000000,256000000,309000000,346000000,378000000,316000000,337000000,357000000,643000000,654000000,673000000,702000000,836000000,357000000,356000000,320000000,303000000,332000000,361000000,322000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83100000,74000000,74000000,76000000,251000000,287000000,315000000,459000000,411000000,463000000,986000000,1296000000,1027000000,1494000000,2526000000,2926000000,2897000000,1813000000,1494000000,1623000000,268000000,178000000,165000000,242000000,324000000,320000000,166000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,692600000,749000000,695000000,948000000,1293000000,1945000000,2338000000,1860000000,2039000000,2304000000,2910000000,3630000000,3168000000,4383000000,4752000000,6188000000,6426000000,5068000000,5153000000,6159000000,2646000000,2067000000,2294000000,2432000000,2767000000,2768000000,5007000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7178900000,6960000000,6820000000,4480000000,5644000000,5948000000,6135000000,9566000000,10446000000,11209000000,10916000000,12069000000,12605000000,12416000000,13174000000,20858000000,27266000000,30032000000,33087000000,34597000000,30382000000,30074000000,33092000000,34458000000,36482000000,38892000000,25470000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,806000000,1761000000,4114000000,4158000000,4225000000,4005000000,3550000000,3060000000,3258000000,3162000000,3198000000,3274000000,716000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,615000000,966000000,1065000000,932000000,951000000,932000000,679000000,700000000,697000000,717000000,743000000,764000000,343000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,663000000,1298000000,1403000000,1482000000,1521000000,1326000000,1359000000,1421000000,2727000000,5179000000,5090000000,5176000000,4937000000,4229000000,3760000000,3955000000,3879000000,3941000000,4038000000,1059000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,54000000,53000000,76000000,613000000,693000000,718000000,759000000,907000000,985000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1620200000,1927000000,1970000000,4179000000,4237000000,4467000000,4101000000,3480000000,3340000000,2845000000,2554000000,2473000000,2820000000,3171000000,2205000000,2371000000,3059000000,2685000000,1936000000,2186000000,2044000000,2414000000,2138000000,2627000000,2490000000,2418000000,1687000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8799100000,8887000000,8790000000,8659000000,9881000000,10415000000,10236000000,13709000000,15084000000,15457000000,15016000000,16117000000,16804000000,17022000000,17413000000,26649000000,36222000000,38566000000,41106000000,42705000000,36655000000,36248000000,39185000000,40964000000,42913000000,45348000000,28216000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9491700000,9636000000,9485000000,9607000000,11174000000,12360000000,12574000000,15569000000,17123000000,17761000000,17926000000,19747000000,19972000000,21405000000,22165000000,32837000000,42648000000,43634000000,46259000000,48864000000,39301000000,38315000000,41479000000,43396000000,45680000000,48116000000,33223000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128300000,133000000,140000000,197000000,399000000,506000000,558000000,488000000,456000000,407000000,542000000,667000000,723000000,766000000,619000000,1028000000,1214000000,1252000000,1308000000,1356000000,812000000,820000000,924000000,989000000,956000000,965000000,679000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200200000,255000000,343000000,801000000,1482000000,1354000000,616000000,1309000000,451000000,908000000,1340000000,1149000000,770000000,1366000000,639000000,1196000000,578000000,1403000000,1016000000,3001000000,1401000000,1441000000,1428000000,1960000000,2323000000,3236000000,543000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000000,276000000,292000000,257000000,261000000,300000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271800000,233000000,286000000,269000000,399000000,651000000,664000000,839000000,866000000,980000000,1458000000,1532000000,1389000000,2161000000,2924000000,2990000000,3463000000,2970000000,2588000000,3086000000,1337000000,1300000000,1379000000,1357000000,1360000000,1476000000,1101000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600300000,621000000,769000000,1267000000,2280000000,2511000000,1838000000,2636000000,1773000000,2295000000,3340000000,3348000000,2882000000,4293000000,4182000000,5214000000,5255000000,5625000000,4912000000,7443000000,3876000000,3837000000,4023000000,4563000000,4900000000,5977000000,2323000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2828700000,2802000000,2835000000,3233000000,3689000000,4467000000,5081000000,5901000000,8145000000,6881000000,6044000000,6728000000,6890000000,7151000000,7143000000,12161000000,17993000000,18725000000,20592000000,18856000000,18563000000,17808000000,19847000000,20069000000,20721000000,21553000000,10666000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2325800000,2261000000,2221000000,1574000000,1548000000,1412000000,1449000000,2370000000,2201000000,2426000000,2197000000,2331000000,2192000000,1764000000,2153000000,2800000000,3611000000,3715000000,4270000000,4609000000,3568000000,4021000000,2591000000,2922000000,3212000000,3690000000,3270000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,673500000,741000000,754000000,1646000000,1947000000,1861000000,2267000000,2356000000,1694000000,1869000000,1876000000,2218000000,2452000000,3120000000,2872000000,4184000000,4693000000,5071000000,4019000000,4328000000,3375000000,2750000000,4257000000,4185000000,3856000000,3523000000,3241000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5828000000,5804000000,5810000000,6453000000,7184000000,7740000000,8797000000,10627000000,12040000000,11176000000,10117000000,11277000000,11534000000,12035000000,12168000000,19145000000,26297000000,27511000000,28881000000,27793000000,25506000000,24579000000,26695000000,27176000000,27789000000,28766000000,17177000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6428200000,6425000000,6579000000,7720000000,9400000000,10197000000,10597000000,13227000000,13759000000,13415000000,13401000000,14565000000,14397000000,16310000000,16350000000,24359000000,31552000000,33136000000,33793000000,35236000000,29382000000,28416000000,30718000000,31739000000,32689000000,34743000000,19500000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,51000000,51000000,51000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,4000000,4000000,4000000,4000000,4000000,5000000,6000000,6000000,6000000,7000000,7000000,7000000,7000000,7000000,8000000,8000000,8000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1083100000,1143000000,1164000000,372000000,654000000,999000000,1023000000,1013000000,1478000000,1870000000,2182000000,2626000000,3448000000,3875000000,3749000000,4082000000,4797000000,5478000000,5709000000,6462000000,2953000000,3829000000,3871000000,4593000000,5127000000,5315000000,2572000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3113400000,-3337000000,-3570000000,-6126000000,-6015000000,-5470000000,-6342000000,-6840000000,-7329000000,-7483000000,-532000000,-318000000,-68000000,-985000000,-537000000,-479000000,-788000000,-1940000000,-1565000000,-2274000000,-2728000000,-3778000000,-3422000000,-3964000000,-4358000000,-4220000000,-157000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5092200000,5403000000,5310000000,7639000000,7069000000,6578000000,7256000000,8049000000,9108000000,9850000000,2764000000,2810000000,2172000000,2183000000,2280000000,4602000000,6813000000,6936000000,8316000000,9433000000,9687000000,9841000000,10305000000,11021000000,12214000000,12270000000,11300000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3063500000,3211000000,2906000000,1887000000,1710000000,2109000000,1939000000,2306000000,3310000000,4290000000,4469000000,5122000000,5556000000,5077000000,5496000000,8210000000,10828000000,10480000000,12466000000,13628000000,9919000000,9899000000,10761000000,11657000000,12991000000,13373000000,13723000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9491700000,9636000000,9485000000,9607000000,11110000000,12306000000,12536000000,15533000000,17069000000,17705000000,17870000000,19687000000,19953000000,21387000000,21846000000,32569000000,42380000000,43616000000,46259000000,48864000000,39301000000,38315000000,41479000000,43396000000,45680000000,48116000000,33223000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,54000000,38000000,36000000,54000000,56000000,56000000,60000000,19000000,18000000,319000000,268000000,268000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9491700000,9636000000,9485000000,9607000000,11174000000,12360000000,12574000000,15569000000,17123000000,17761000000,17926000000,19747000000,19972000000,21405000000,22165000000,32837000000,42648000000,43634000000,46259000000,48864000000,39301000000,38315000000,41479000000,43396000000,45680000000,48116000000,33223000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922224/000092222402000003/ppl10k_2001.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222403000007/0000922224-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/60549/000110465904008852/0001104659-04-008852-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222405000010/ppl10k_2004.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222406000018/ppl10-k2005.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222407000030/ppl10-k2006.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222408000013/ppl10k2007.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222409000020/0000922224-09-000020-index.html,https://www.sec.gov/Archives/edgar/data/1161976/000092222410000012/0000922224-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222411000029/form10k.htm,https://www.sec.gov/Archives/edgar/data/1161976/000092222412000023/0000922224-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222413000025/0000922224-13-000025-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222414000024/form10k.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222415000016/form10k.htm,https://www.sec.gov/Archives/edgar/data/317187/000092222416000130/0000922224-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/317187/000092222417000010/0000922224-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222418000023/0000922224-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222419000015/0000922224-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1518339/000092222420000005/0000922224-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/922224/000092222421000006/0000922224-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/922224/000092222422000005/0000922224-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350500000,357000000,320000000,-544000000,458000000,524000000,231000000,275000000,763000000,698000000,678000000,865000000,1306000000,948000000,407000000,938000000,1495000000,1526000000,1130000000,1737000000,682000000,1902000000,1128000000,1827000000,1746000000,1469000000,-1480000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471000000,780000000,1215000000,1286000000,1383000000,1465000000,942000000,1006000000,1105000000,1172000000,1280000000,1359000000,1121000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,- -,18000000,12000000,-43000000,-59000000,-47000000,85000000,96000000,155000000,-66000000,-25000000,42000000,43000000,104000000,241000000,582000000,424000000,72000000,640000000,428000000,560000000,707000000,355000000,309000000,402000000,87000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,- -,- -,38000000,26000000,36000000,29000000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,-202000000,-245000000,-668000000,421000000,1066000000,-1276000000,1042000000,-257000000,-439000000,712000000,4000000,-196000000,480000000,404000000,197000000,-1728000000,798000000,-1525000000,54000000,-540000000,41000000,-402000000,-2000000,-1076000000,2751000000,22000000
