,https://roic.ai/company/AMZN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1018724/000089102099000375/0000891020-99-000375-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000089102000000622/0000891020-00-000622-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018724/000103221002000059/d10k405.htm,https://www.sec.gov/Archives/edgar/data/1018724/000095014903000355/0000950149-03-000355-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312504029488/0001193125-04-029488-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312505047032/0001193125-05-047032-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312506034166/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312507034081/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312508024707/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312509014406/0001193125-09-014406-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312510016098/0001193125-10-016098-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312511016253/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312512032846/0001193125-12-032846-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312513028520/0001193125-13-028520-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872414000006/amzn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872415000006/amzn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872416000172/0001018724-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000011/0001018724-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/0001018724-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6200000,109800000,25561000,116962000,822435000,540282000,738254000,1102273000,1302600000,1013000000,1022000000,2539000000,2769000000,3444000000,3777000000,5269000000,8084000000,8658000000,14557000000,15890000000,19334000000,20522000000,31750000000,36092000000,42122000000,36220000000
32,Short-Term Investments,- -,- -,347884000,589226000,278087000,456303000,562715000,292550000,476599000,987000000,997000000,573000000,958000000,2922000000,4985000000,4307000000,3364000000,3789000000,2859000000,3918000000,6647000000,10464000000,9500000000,18929000000,42274000000,59829000000
33,Cash and Short-Term Investments,6200000,109800000,373445000,706188000,1100522000,996585000,1300969000,1394823000,1779199000,2000000000,2019000000,3112000000,3727000000,6366000000,8762000000,9576000000,11448000000,12447000000,17416000000,19808000000,25981000000,30986000000,41250000000,55021000000,84396000000,96049000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,112282000,132069000,199100000,274000000,399000000,705000000,827000000,988000000,1587000000,2571000000,3364000000,4767000000,5612000000,6423000000,8339000000,13164000000,16677000000,20816000000,24542000000,32891000000
35,Inventory,600000,9000000,29501000,220646000,174563000,143722000,202425000,293917000,479709000,566000000,877000000,1200000000,1399000000,2171000000,3202000000,4992000000,6031000000,7411000000,8299000000,10243000000,11461000000,16047000000,17174000000,20497000000,23795000000,32640000000
36,Other Current Assets,300000,18500000,21308000,85344000,86044000,67613000,- -,- -,81388000,89000000,78000000,147000000,204000000,272000000,196000000,351000000,453000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,7100000,137300000,424254000,1012178000,1361129000,1207920000,1615676000,1820809000,2539396000,2929000000,3373000000,5164000000,6157000000,9797000000,13747000000,17490000000,21296000000,24625000000,31327000000,36474000000,45781000000,60197000000,75101000000,96334000000,132733000000,161580000000
38,PP&E,1000000,9300000,29791000,317613000,366416000,271751000,239398000,224285000,246156000,348000000,457000000,543000000,854000000,1290000000,2414000000,4417000000,7060000000,10949000000,16967000000,21838000000,29114000000,48866000000,61797000000,72705000,150667000000,216363000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195000000,222000000,438000000,1234000000,1349000000,1955000000,2552000000,2655000000,3319000000,3759000000,3784000000,13350000000,14548000000,14754000000,15017000000,15371000000
40,Intangible Assets,- -,- -,186377000,730144000,255325000,79749000,74271000,69639000,138999000,159000000,21000000,26000000,160000000,567000000,563000000,647000000,725000000,645000000,764000000,762000000,854000000,3371000000,4110000000,4049000000,4981000000,- -
41,Intangible Assets,- -,- -,186377000,730144000,255325000,79749000,74271000,69639000,138999000,159000000,216000000,248000000,598000000,1801000000,1912000000,2602000000,3277000000,3300000000,4083000000,4521000000,4638000000,16721000000,18658000000,18803000000,19998000000,15371000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,281757000,223000000,199000000,260000000,145000000,18000000,22000000,28000000,123000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,2400000,8038000,411616000,152299000,78127000,61104000,47300000,42200000,37000000,118000000,270000000,560000000,907000000,702000000,741000000,799000000,1285000000,2128000000,2611000000,3869000000,5526000000,7092000000,110038295000,17797000000,27235000000
45,Total Non-Current Assets,1200000,11700000,224206000,1459373000,774040000,429627000,374773000,341224000,709112000,767000000,990000000,1321000000,2157000000,4016000000,5050000000,7788000000,11259000000,15534000000,23178000000,28970000000,37621000000,71113000000,87547000000,128914000000,188462000000,258969000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8300000,149000000,648460000,2471551000,2135169000,1637547000,1990449000,2162033000,3248508000,3696000000,4363000000,6485000000,8314000000,13813000000,18797000000,25278000000,32555000000,40159000000,54505000000,65444000000,83402000000,131310000000,162648000000,225248000000,321195000000,420549000000
48,Accounts Payable,2900000,32700000,113273000,463026000,485383000,444748000,618128000,819811000,1141733000,1366000000,1816000000,2795000000,3594000000,5605000000,8051000000,11145000000,13318000000,15133000000,16459000000,20397000000,25309000000,34616000000,38192000000,47183000000,72539000000,78664000000
49,Short-Term Debt,- -,1500000,684000,14322000,16577000,14992000,13318000,4216000,2381000,- -,- -,- -,59000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,54790000,- -,87978000,47916000,37844000,41099000,- -,- -,- -,- -,- -,- -,- -,- -,1159000000,1823000000,3118000000,4768000000,5097000000,6536000000,8190000000,9708000000,11827000000
52,Other Current Liabilities,2000000,9600000,47618000,206797000,472996000,373696000,386596000,390830000,435187000,563000000,716000000,919000000,1093000000,1759000000,2321000000,3751000000,5684000000,6688000000,9807000000,10384000000,13739000000,18170000000,23663000000,32439000000,44138000000,51775000000
53,Total Current Liabilities,4900000,43800000,161575000,738935000,974956000,921414000,1065958000,1252701000,1620400000,1929000000,2532000000,3714000000,4746000000,7364000000,10372000000,14896000000,19002000000,22980000000,28089000000,33899000000,43816000000,57883000000,68391000000,87812000000,126385000000,142266000000
54,Long-Term Debt,- -,76700000,348140000,1466338000,2127464000,2156133000,2277305000,1945439000,1855319000,1521000000,1247000000,1282000000,409000000,109000000,184000000,255000000,3084000000,3191000000,8265000000,8235000000,7694000000,24743000000,23495000000,23414000000,84389000000,116395000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,336000000,1028000000,1531000000,2016000000,1787000000,1994000000,2386000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,292000000,487000000,1083000000,1377000000,2370000000,1941000000,3214000000,5879000000,7910000000,10820000000,18981000000,24827000000,51962000000,17017000000,23643000000
58,Total Non-Current Liabilities,- -,76700000,348140000,1466338000,2127464000,2156133000,2277305000,1945439000,1855319000,1521000000,1400000000,1574000000,896000000,1192000000,1561000000,2625000000,5361000000,7433000000,15675000000,18161000000,20301000000,45718000000,50708000000,75376000000,101406000000,140038000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67651000000
61,Total Liabilities,4900000,120500000,509715000,2205273000,3102420000,3077547000,3343263000,3198140000,3475719000,3450000000,3932000000,5288000000,5642000000,8556000000,11933000000,17521000000,24363000000,30413000000,43764000000,52060000000,64117000000,103601000000,119099000000,163188000000,227791000000,282304000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1593000,3452000,3571000,3732000,3879000,4034000,4097000,4000000,4000000,4000000,4000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000
64,Retained Earnings,-6000000,-33600000,-162060000,-882028000,-2293301000,-2860578000,-3009710000,-2974428000,-2385977000,-2027000000,-1837000000,-1375000000,-730000000,172000000,1324000000,1955000000,1916000000,2190000000,1949000000,2545000000,4916000000,8636000000,19625000000,31220000000,52551000000,85915000000
65,Other Comprehensive Income/Loss,-300000,-3600000,-13794000,-49364000,-114848000,-166392000,3071000,34889000,30071000,6000000,-1000000,5000000,-123000000,-56000000,-190000000,-316000000,-239000000,-185000000,-511000000,-723000000,-985000000,-484000000,-1035000000,-986000000,-180000000,-1376000000
66,Other Total Stockholders Equity,9700000,65700000,313006000,1194218000,1437327000,1583238000,1896355000,2081740000,2331476000,2263000000,2265000000,2563000000,3521000000,5136000000,5725000000,6113000000,6510000000,7736000000,9298000000,11557000000,15349000000,19552000000,24954000000,31821000000,41033000000,- -
67,Total Stockholders Equity,3400000,28500000,138745000,266278000,-967251000,-1440000000,-1352814000,-1036107000,-227211000,246000000,431000000,1197000000,2672000000,5257000000,6864000000,7757000000,8192000000,9746000000,10741000000,13384000000,19285000000,27709000000,43549000000,62060000000,93404000000,138245000000
68,Total Liabilities And Stockholders Equity,8300000,149000000,648460000,2471551000,2135169000,1637547000,1990449000,2162033000,3248508000,3696000000,4363000000,6485000000,8314000000,13813000000,18797000000,25278000000,32555000000,40159000000,54505000000,65444000000,83402000000,131310000000,162648000000,225248000000,321195000000,420549000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8300000,149000000,648460000,2471551000,2135169000,1637547000,1990449000,2162033000,3248508000,3696000000,4363000000,6485000000,8314000000,13813000000,18797000000,25278000000,32555000000,40159000000,54505000000,65444000000,83402000000,131310000000,162648000000,225248000000,321195000000,420549000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1018724/000089102099000375/0000891020-99-000375-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000089102000000622/0000891020-00-000622-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018724/000103221002000059/d10k405.htm,https://www.sec.gov/Archives/edgar/data/1018724/000095014903000355/0000950149-03-000355-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312504029488/0001193125-04-029488-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312505047032/0001193125-05-047032-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312506034166/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312507034081/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312508024707/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312509014406/0001193125-09-014406-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312510016098/0001193125-10-016098-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312511016253/d10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000119312512032846/0001193125-12-032846-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000119312513028520/0001193125-13-028520-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872414000006/amzn-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872415000006/amzn-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872416000172/0001018724-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872417000011/0001018724-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872418000005/0001018724-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872419000004/0001018724-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872420000004/0001018724-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1018724/000101872421000004/0001018724-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000005/0001018724-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-5800000,-27600000,-124546000,-719968000,-1411273000,-567277000,-149132000,35282000,588451000,359000000,190000000,476000000,645000000,902000000,1152000000,631000000,-39000000,274000000,-241000000,596000000,2371000000,3033000000,10073000000,11588000000,21331000000,33364000000
74,Depreciation and Amortization,300000,4700000,12078000,282118000,322818000,129934000,87752000,78310000,75724000,121000000,205000000,246000000,287000000,378000000,568000000,1083000000,2159000000,3253000000,4746000000,6281000000,8116000000,11478000000,15341000000,21789000000,25251000000,34296000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-256696000,70000000,22000000,-99000000,-5000000,81000000,4000000,136000000,-265000000,-156000000,-316000000,81000000,-246000000,-29000000,441000000,796000000,-554000000,-310000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,185000000,275000000,341000000,424000000,557000000,833000000,1134000000,1497000000,2119000000,2975000000,4215000000,5418000000,6864000000,9208000000,12757000000
77,Change in Working Capital,3700000,91300000,169179000,10564000,112930000,-99667000,263212000,18390000,350888000,81004000,-159000000,609000000,-39000000,1022000000,942000000,-781000000,-300000000,-649000000,1593000000,-663000000,-610000000,349000000,4396000000,1812000000,-2174000000,-19611000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103000000,-255000000,-218000000,-481000000,-295000000,-866000000,-861000000,-846000000,-1039000000,-1755000000,-3367000000,-4786000000,-4615000000,-7681000000,-8169000000,-18163000000
79,Inventory,-600000,-8400000,-20513000,-172069000,46083000,30628000,-51303000,-76786000,-168896000,-104000000,-282000000,-303000000,-232000000,-531000000,-1019000000,-1777000000,-999000000,-1410000000,-1193000000,-2187000000,-1426000000,-3583000000,-1314000000,-3278000000,-2849000000,-9487000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,402000000,928000000,812000000,1859000000,2373000000,2997000000,2070000000,1888000000,1759000000,4294000000,5030000000,7175000000,3263000000,8193000000,17480000000,3602000000
81,Other Working Capital,2200000,93500000,262679000,273243000,386173000,286506000,549718000,568108000,918996000,1000000000,841000000,1450000000,1411000000,2433000000,3375000000,2594000000,2294000000,1645000000,3238000000,2575000000,1965000000,2314000000,6710000000,8522000000,6348000000,2314000000
82,Other Non-Cash Items,100000,-64900000,-25676000,336411000,845083000,417228000,-27541000,260040000,-191807000,101996000,343000000,-12000000,534000000,569000000,405000000,2277000000,1792000000,1619000000,-437000000,3506000000,3837000000,-612000000,-4946000000,-4335000000,13002000000,-14169000000
83,Cash Provided by Operating Activities,-1700000,3500000,31035000,-90875000,-130442000,-119782000,174291000,392022000,566560000,733000000,702000000,1405000000,1697000000,3293000000,3495000000,3903000000,4180000000,5475000000,6842000000,11920000000,16443000000,18434000000,30723000000,38514000000,66064000000,46327000000
84,CAPEX,-1200000,-7200000,-28333000,-287055000,-134758000,-50321000,-39163000,-45963000,-89133000,-204000000,-216000000,-224000000,-333000000,-373000000,-979000000,-1811000000,-3785000000,-3444000000,-4893000000,-4589000000,-6737000000,-11955000000,-13427000000,-16861000000,-40140000000,-61053000000
85,Acquisitions Net,- -,- -,-19019000,-369607000,- -,- -,- -,- -,-71195000,-24000000,-32000000,-75000000,-494000000,-40000000,-352000000,-705000000,-745000000,-312000000,-979000000,-795000000,-116000000,-13972000000,-2186000000,-2461000000,-2325000000,-1985000000
86,Purchases of Investments,- -,-20500000,-546509000,-4290173000,-184455000,-567152000,-635810000,-535642000,-1584089000,-1386000000,-1930000000,-930000000,-1677000000,-3890000000,-6279000000,-6257000000,-3302000000,-2826000000,-2542000000,-4091000000,-7756000000,-13777000000,-7100000000,-31812000000,-72479000000,-60157000000
87,Sales/Maturities of Investments,- -,5200000,332084000,4024551000,545724000,370377000,553289000,813184000,1426786000,836000000,1845000000,1271000000,1305000000,1966000000,4250000000,6843000000,4237000000,2306000000,3349000000,3025000000,4733000000,9988000000,8240000000,22681000000,50237000000,59384000000
88,Other Investing Activites,- -,- -,- -,- -,-62533000,-6198000,- -,5072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1897000000,2104000000,4172000000,5096000000,5657000000
89,Cash Used for Investing Activites,-1200000,-22500000,-261777000,-922284000,163978000,-253294000,-121684000,236651000,-317631000,-778000000,-333000000,42000000,-1199000000,-2337000000,-3360000000,-1930000000,-3595000000,-4276000000,-5065000000,-6450000000,-9876000000,-27819000000,-12369000000,-24281000000,-59611000000,-58154000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-383000000,-74000000,-355000000,-472000000,-221000000,-444000000,-588000000,-1011000000,-1933000000,-4235000000,-4361000000,-6371000000,-8454000000,-12339000000,-18425000000,-20668000000
91,Common Stock Issued,8200000,49800000,14366000,64469000,44697000,116456000,121689000,163322000,60109000,66000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252000000,-248000000,-100000000,- -,- -,-277000000,-960000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,72700000,240096000,1039602000,648450000,-9575000,-14795000,-495308000,-157401000,-259000000,235000000,372000000,257000000,192000000,402000000,239000000,3807000000,472000000,6365000000,472000000,1450000000,16231000000,768000000,2273000000,17321000000,26959000000
95,Cash Used/Provided by Financing Activities,8200000,122500000,254462000,1104071000,693147000,106881000,106894000,-331986000,-97292000,-193000000,-400000000,50000000,-198000000,-280000000,181000000,-482000000,2259000000,-539000000,4432000000,-3763000000,-2911000000,9860000000,-7686000000,-10066000000,-1104000000,6291000000
96,Effect of Forex Changes on Cash,- -,- -,-35000,489000,-37557000,-15958000,38471000,67332000,48690000,-52000000,40000000,20000000,-70000000,-1000000,17000000,1000000,-29000000,-86000000,-310000000,-374000000,-212000000,713000000,-351000000,70000000,618000000,-364000000
97,Net Change In Cash,8200000,122500000,23685000,91401000,689126000,-282153000,197972000,364019000,200327000,-290000000,9000000,1517000000,230000000,675000000,333000000,1492000000,2815000000,574000000,5899000000,1333000000,3444000000,1188000000,10317000000,4237000000,5967000000,-5900000000
