,https://roic.ai/company/OCC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,1.01,1.08,1.00,1.17,1.16,-0.96,0.04,0.05,0.13,0.20,0.06,0.21,0.36,-0.34,-0.95,0.11,0.43,-0.01,0.10,-0.69,-0.28,-0.27,0.14,-0.77,-0.83,0.90
27,Weighted Average Shares Outstanding,7380123,7251640,7203947,7073864,7019607,7009582,7086150,6292140,5769785,5859485,5843833,5964943,6062000,5656000,6014733,6305000,6455817,5784545,6764263,6201000,6443000,6547000,7593000,7387000,7355000,7355000
28,Weighted Average Shares Outstanding Diluted,7380123,7500000,7280585,7106164,7116429,7009582,7086150,6292140,5984214,5859485,5843833,5964943,6062000,5656000,6014733,6305000,6455817,5784545,6764263,6201000,6443000,6547000,7593000,7387000,7355000,7355000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1000230/000100515097000048/0001005150-97-000048-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100515098000060/0001005150-98-000060-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100515099000068/0001005150-99-000068-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100515000000103/0001005150-00-000103-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000230/000091664102000139/0000916641-02-000139-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000091664103000101/0000916641-03-000101-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312504011319/0001193125-04-011319-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312505012392/0001193125-05-012392-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312506015235/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312507015322/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312508014289/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312509014313/0001193125-09-014313-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312510017031/0001193125-10-017031-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312511012997/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312512025266/0001193125-12-025266-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312512511683/0001193125-12-511683-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100023013000016/0001000230-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774914022335/0001437749-14-022335-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774916024214/0001437749-16-024214-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774916043579/0001437749-16-043579-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774917020936/0001437749-17-020936-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774918022311/0001437749-18-022311-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774920001224/0001437749-20-001224-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774920025692/0001437749-20-025692-index.htm,https://www.sec.gov/Archives/edgar/data/1000230/000143774921028951/0001437749-21-028951-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,1000000,1100000,6800000,1458896,2087608,746771,2337259,4341956,3290133,555272,3138878,3910120,1948334,2522058,1091513,591038,750303,1089507,1083072,1879064,891169,177413,537330,140839,132249
32,Short-Term Investments,- -,- -,- -,- -,17982830,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1700000,1000000,1100000,6800000,19441726,2087608,746771,2337259,4341956,3290133,555272,3138878,3910120,1948334,2522058,1091513,591038,750303,1089507,1083072,1879064,891169,177413,537330,140839,132249
34,Net Receivables,9700000,10400000,10300000,10500000,11722412,11049870,8080697,7871881,8294036,8332724,8412820,9256949,12902906,11808096,11639148,11742658,12935672,10767555,14256484,9684250,8987073,9012638,12894841,10442328,7609482,10580456
35,Inventory,10300000,12000000,10000000,8800000,7572153,14084931,9412130,6624492,6548762,8706081,8614871,7340370,13022260,12306286,14422787,16497185,18464019,18234279,17518119,17816080,15023966,16781449,17474755,18095627,17099767,16303808
36,Other Current Assets,200000,300000,300000,400000,2234577,1589565,1543825,994112,612456,429612,1164104,1078582,2087348,1639647,2083017,2191835,2773936,2057836,2512496,564024,431780,418122,500021,304713,472516,549350
37,Total Current Assets,21900000,23700000,21700000,26500000,40970868,28811974,19783423,17827744,19797210,20758550,18747067,20814779,31922634,27702363,30667010,31523191,34764665,31809973,35376606,29147426,26321883,27103378,31047030,29379998,25322604,27565863
38,PP&E,9200000,11500000,11100000,10800000,11455372,12685053,11907567,11284205,11619254,12779152,13650007,12896564,16128657,14972379,13125114,12544465,11648166,12827198,13113445,13903919,13399158,12210692,11204639,10010223,8811863,7912851
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6288803,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250365,1271624,695580,295843,245956,- -,- -,- -,- -,- -,- -,- -,- -,646860
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2250365,7560427,695580,295843,245956,340807,438696,523665,575010,624264,635035,659280,665731,646860
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,933801,721755,900524,641780,358700,- -,- -,- -,- -,626132,426770,513817,161063,320509,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,200000,261937,367469,261344,172690,54663,1047699,2394035,3569897,4535329,91629,176930,154945,589741,275858,789358,1453808,369737,200846,211756,57433,1757614,1790956
45,Total Non-Current Assets,9200000,11500000,11100000,11000000,11717309,13986323,12890666,12357419,12315697,14185551,16044042,16466461,22914351,22624435,14623756,13422023,12997680,13604926,14662008,15881392,14343905,13035802,12051430,10726936,11235208,10350667
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,31100000,35200000,32800000,37500000,52688177,42798297,32674089,30185163,32112907,34944101,34791109,37281240,54836985,50326798,45290766,44945214,47762345,45414899,50038614,45028818,40665788,40139180,43098460,40106934,36557812,37916530
48,Accounts Payable,5500000,2600000,2000000,3400000,2479116,5537313,2912177,2538203,2343201,2974694,1999536,2968620,5218702,- -,5339941,5426467,4191633,- -,5438519,4116927,2636420,2590252,3256153,5459352,2861343,4275880
49,Short-Term Debt,1100000,- -,- -,- -,- -,8271000,- -,- -,- -,- -,990724,- -,262122,166909,177350,190593,247739,258628,269996,280999,294214,250726,260954,6388955,1927513,324840
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13986,13121
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,900000,1200000,700000,1100000,6506146,798203,1391542,1012956,2094285,2624496,1315574,1908958,2677104,7465227,2244825,2579865,3487389,4565403,3593151,1245226,1195475,1355899,3510736,1778720,1477293,1566892
53,Total Current Liabilities,7500000,3800000,2700000,4500000,8985262,14606516,4303719,3551159,4437486,5599190,4305834,4877578,8157928,7632136,7762116,8196925,7926761,4824031,9301666,5643152,4126109,4196877,7027843,13627027,6266149,6167612
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10690979,8369126,8891785,8000311,8755680,9997042,9727023,12946008,11651780,12119607,9158630,5169668,13208113,7994519
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,100000,200000,195085,- -,- -,- -,- -,- -,50335,425188,946752,149768,- -,- -,- -,83158,26038,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,50000,-30000,- -,- -,- -,326553,166383,- -,- -,- -,- -,- -,209122,919013,1056803,1025003,1044862,950952,677597,551108,122910,133174,101150,71339,1823632,1548446
58,Total Non-Current Liabilities,50000,70000,100000,200000,195085,326553,166383,- -,- -,- -,50335,425188,11846853,9437907,9948588,9025314,9800542,11031152,10430658,13497116,11774690,12252781,9259780,5241007,15031745,9542965
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,7500000,3800000,2800000,4700000,9180347,14933069,4470102,3551159,4437486,5599190,4356169,5302766,20004781,17070043,17710704,17222239,17727303,15855183,19732324,19140268,15900799,16449658,16287623,18868034,21297894,15710577
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4100000,5179295,- -,55313,1142006,1433351,1930944,- -,- -,- -,- -,- -,- -,- -,8679435,9543686,10363012,11080595,11762021,13816140,13853334,14002130,14337649
64,Retained Earnings,5000000,12800000,20100000,28400000,36614251,27865228,28148674,25491998,26242070,27413967,27764597,28294720,30469937,28090739,21869667,21437609,22619814,21519238,21462881,16267595,13684394,11927501,12994697,7385566,1257788,7868304
65,Other Comprehensive Income/Loss,-3000000,-3700000,-4400000,-5100000,-5834880,-6893369,-7980774,-8982777,-9912834,-10722382,-11292829,-11785671,-13533319,-15681963,-17624424,-18856930,-20165748,-21726591,-23265701,-24650792,-26147529,-27542925,-28629598,-30017022,-31180843,- -
66,Other Total Stockholders Equity,21600000,22300000,14300000,5400000,7549164,6893369,7980774,8982777,9912834,10722382,13963172,15469425,17895586,20847979,23612201,25628495,28190292,21726591,23265701,24650792,26147529,27542925,28629598,30017022,31180843,- -
67,Total Stockholders Equity,23600000,31400000,30000000,32800000,43507830,27865228,28203987,26634004,27675421,29344911,30434940,31978474,34832204,33256755,27857444,28209174,30644358,30198673,31006567,26630607,24764989,23689522,26810837,21238900,15259918,22205953
68,Total Liabilities And Stockholders Equity,31100000,35200000,32800000,37500000,52688177,42798297,32674089,30185163,32112907,34944101,34791109,37281240,54836985,50326798,45568148,45431413,48371661,46053856,50738891,45770875,40665788,40139180,43098460,40106934,36557812,37916530
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-277382,-486199,-609316,-638957,-700277,-742057,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,31100000,35200000,32800000,37500000,52688177,42798297,32674089,30185163,32112907,34944101,34791109,37281240,54836985,50326798,45290766,44945214,47762345,45414899,50038614,45028818,40665788,40139180,43098460,40106934,36557812,37916530
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1000230/000100515097000048/0001005150-97-000048-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100515098000060/0001005150-98-000060-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100515099000068/0001005150-99-000068-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100515000000103/0001005150-00-000103-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000230/000091664102000139/0000916641-02-000139-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000091664103000101/0000916641-03-000101-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312504011319/0001193125-04-011319-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312505012392/0001193125-05-012392-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312506015235/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312507015322/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312508014289/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312509014313/0001193125-09-014313-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312510017031/0001193125-10-017031-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312511012997/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000230/000119312512025266/0001193125-12-025266-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000119312512511683/0001193125-12-511683-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000100023013000016/0001000230-13-000016-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774914022335/0001437749-14-022335-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774916024214/0001437749-16-024214-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774916043579/0001437749-16-043579-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774917020936/0001437749-17-020936-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774918022311/0001437749-18-022311-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774920001224/0001437749-20-001224-index.html,https://www.sec.gov/Archives/edgar/data/1000230/000143774920025692/0001437749-20-025692-index.htm,https://www.sec.gov/Archives/edgar/data/1000230/000143774921028951/0001437749-21-028951-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7500000,7800000,7300000,8300000,8255058,-6729199,283446,314607,750072,1171897,350630,1252638,2211752,-1924499,-5732925,666316,2749317,-42837,684227,-4255665,-1778822,-1738771,1068753,-5669321,-6121224,6610516
74,Depreciation and Amortization,500000,700000,800000,800000,841646,1058489,1155807,1125953,1049808,1286706,1400498,1603741,2282878,3081120,2955834,2688150,2181100,2051433,2022648,2076486,2054977,1675519,1817597,1720562,1427067,1206706
75,Deferred Income Tax,-100000,100000,-100000,100000,-737717,-429930,292611,-264588,378145,384803,-165173,286512,-831816,566103,-724195,132097,-558770,998747,-423524,2228124,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,920223,942711,893354,1440534,971145,956859,1078563,800520,787100,2224620,980549,142242,335519
77,Change in Working Capital,-5800000,5500000,-900000,3000000,9985606,-17780148,1274246,-1203119,1083139,-200364,-718127,1495968,7827505,-3694479,2834667,421372,3511638,148038,-911002,-2570666,-1308500,710727,1112686,-8266216,3303484,-1095966
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1913497,-1156552,-178428,-1793255,2628971,-4143294,4903740,261999,-45864,-3873895,2424912,2361208,-825416
79,Inventory,-4200000,-1800000,2100000,1200000,1182270,-6512778,4672801,2787638,75730,-2157319,91210,1274501,-1740412,1934637,-2116501,-2074398,-1966834,229740,716160,-297961,2792114,-1757483,-693306,-620872,995860,795959
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800378,2171801,-1698165,-997163,-78129,622444,2323012,-3040820,1357106
81,Other Working Capital,14400000,19900000,19000000,22000000,31985606,14205458,15479704,14276585,15359724,15159360,14441233,15937201,23764706,20070227,22904894,23326266,26837904,26985942,26074940,23504274,22195774,22906501,24019187,15752971,19056455,90464
82,Other Non-Cash Items,2000000,-10100000,2500000,-300000,-23350020,27812160,4216129,5229606,-21400,-556546,-925663,1357992,-8532126,3818093,874220,-2449905,-7339210,-650989,2055110,2645506,3387305,-2121646,-3017408,10950629,-2304706,-4940187
83,Cash Provided by Operating Activities,4100000,4000000,9600000,11900000,-5005427,3931372,7222239,5202459,3239764,2086496,-57835,5996851,2958193,2766561,1150312,2351384,1984609,3475537,4384318,1202348,3155480,-687071,3206248,-283797,-3553137,2116588
84,CAPEX,-3100000,-3600000,-600000,-400000,-1298717,-2481696,-350659,-500115,-1255060,-2286316,-2290372,-829764,-1245923,-674853,-541082,-1523210,-1551403,-3148544,-2958684,-3244793,-703401,-583867,-734395,-550397,-168458,-192867
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-200000,-90554,-105532,367469,- -,- -,-872184,-1264526,-1151195,-1063832,214265,-21086,4016,-84234,-159584,-138501,-95329,-41130,-74958,-45539,-62843,-48457,-26640
89,Cash Used for Investing Activites,-3100000,-3600000,-600000,-600000,-1389271,-2587228,16810,-500115,-1255060,-3158500,-3554898,-1980959,-13309755,-1460588,-532731,-1488124,-1551323,-3143544,-2958684,-3244293,-676283,-583867,-734395,-550397,-168458,-192867
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2417066,-166900,-988594,-5437485,-3383926,-2008651,-770012,-7281013,-1125661,-12500749,-710961,-21294630,-60708528
91,Common Stock Issued,5500000,- -,200000,200000,1036916,295261,- -,30353,19993,20181,6538,280953,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-9000000,-5900000,- -,-9281693,- -,-3107055,- -,- -,- -,-722515,-36535,-454699,-425345,-846287,-1176661,-543420,-195206,-379675,-40150,-18122,-1557,-1573,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-251953,-357060,-479128,-539965,-555566,-141311,- -,- -,- -,- -,- -
94,Other Financing Activites,-5300000,-1100000,- -,- -,- -,8271000,-8579886,-35154,- -,- -,871334,-990724,11159339,-395994,548388,-206971,6037445,4233746,1657392,3740763,5779269,1426826,9316697,1906645,24619734,58776217
95,Cash Used/Provided by Financing Activities,200000,-1100000,-8800000,-5700000,1036916,-715432,-8579886,-3111856,19993,20181,877872,-1432286,11122804,-3267759,-43857,-2293805,-933761,-172728,-1086430,2035510,-1683205,283043,-3185609,1194111,3325104,-1932311
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,5700000,-5357782,628712,-1340837,1590488,2004697,-1051823,-2734861,2583606,771242,-1961786,573724,-1430545,-500475,159265,339204,-6435,795992,-987895,-713756,359917,-396491,-8590
98,Cash at the End of Period,- -,- -,- -,6800000,1458896,2087608,746771,2337259,4341956,3290133,555272,3138878,3910120,1948334,2522058,1091513,591038,750303,1089507,1083072,1879064,891169,177413,537330,140839,132249
99,Cash at the Beginning of Period,500000,1700000,1000000,1100000,6816678,1458896,2087608,746771,2337259,4341956,3290133,555272,3138878,3910120,1948334,2522058,1091513,591038,750303,1089507,1083072,1879064,891169,177413,537330,140839
100,Free Cash Flow,1000000,400000,9000000,11500000,-6304144,1449676,6871580,4702344,1984704,-199820,-2348207,5167087,1712270,2091708,609230,828174,433206,326993,1425634,-2042445,2452079,-1270938,2471853,-834194,-3721595,1923721
