,https://roic.ai/company/CAAS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
38,PP&E,- -,- -,- -,22350056,35943624,39796033,40848046,46585041,51978905,60489798,75380747,84843250,86854000,85603000,91306000,108206000,120989000,140954000,144711000,149281000,148160000,127859000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645000,608000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,218639,392552,3503217,3140548,589713,504339,561389,662089,837075,676000,686000,3419000,2793000,617000,661000,605000,11698000,12504000,1812000
41,Intangible Assets,- -,- -,- -,218639,392552,3503217,3140548,589713,504339,561389,662089,837075,676000,686000,4064000,3401000,617000,661000,605000,11698000,12504000,1812000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,6448127,3162136,3485118,3665000,4023000,4575000,6152000,16431000,27596000,32620000,39642000,49766000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1315510,2383065,2172643,3271594,4340974,4112000,4528000,4896000,4899000,4641000,13367000,15336000,15291000,13846000,10114000
44,Other Non-Current Assets,- -,- -,20300000,2385306,2116375,6577703,3681141,7223113,7888047,1064224,12175411,7561168,956000,360000,1695000,8978000,3117000,2188000,1799000,2887000,7626000,75597000
45,Total Non-Current Assets,- -,- -,20300000,24954001,38452551,49876953,47669735,55713377,62754356,70736181,94651977,101067585,96263000,95200000,106536000,131636000,145795000,184766000,195071000,218799000,231902000,215382000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6628,8813,- -,95846750,105486645,119529723,152108538,182984687,231046936,313032957,405215361,466447120,485825000,565607000,629161000,607695000,631699000,717369000,690499000,659964000,707560000,716762000
48,Accounts Payable,- -,- -,1103000,23017221,15358250,31375599,37647913,32511812,38595446,69454231,148517423,2052897,103621000,124836000,137246000,133122000,144856000,156368000,129087000,116738000,145079000,- -
49,Short-Term Debt,- -,- -,- -,9638554,26774928,14814815,15384615,28991174,60888391,71808159,36794812,10315987,107564000,115598000,124689000,111275000,119760000,156559000,141985000,116681000,124533000,214718000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,11365016,6860946,2029215,5593000,7792000,11557000,9284000,11674000,5927000,11137000,11492000,13149000,12326000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720883,1181401,870000,1677000,1885000,1613000,1082000,1511000,1114000,1656000,2367000,2400000
52,Other Current Liabilities,- -,7400000,- -,18292854,13446801,14359547,22269902,30745969,26775842,38691433,70338469,204009387,38761000,48961000,60695000,52202000,59162000,59025000,69114000,68699000,82505000,134698000
53,Total Current Liabilities,- -,7400000,1103000,50948629,55579979,60549961,75302430,92248955,126259679,179953823,256371587,217559672,250816000,291072000,324515000,298212000,324860000,373463000,341300000,303774000,354484000,351816000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,603983,23571429,- -,- -,- -,- -,608000,306000,291000,7167000,149000,22000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,983986,2609000,2764000,6156000,1922000,339000,359000,1654000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000,266000,- -,4393000,4198000,4253000,4280000,4380000
57,Other Non-Current Liabilities,- -,- -,- -,196547,196378,301614,313151,334600,234041,233941,- -,8174857,- -,- -,- -,- -,- -,32719000,38229000,35398000,29255000,23103000
58,Total Non-Current Liabilities,- -,- -,- -,196547,196378,301614,313151,334600,234041,233941,603983,32730272,2609000,2764000,6477000,2188000,947000,37777000,44372000,46818000,33684000,27505000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000,271000,- -
61,Total Liabilities,- -,- -,1103000,51145176,55776357,60851575,75615581,92583555,126493720,180187764,256975570,250289944,253425000,293836000,330992000,300400000,325807000,411240000,385672000,350592000,388168000,379321000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,529,529,529000,2257,2257,2257,2385,2396,2698,2704,2717,2826,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,-2972,-787,-10703000,7236875,14129965,17445442,22257146,31117052,43552293,66966556,67747648,108539635,119329000,146023000,179435000,206622000,228963000,209459000,211439000,221237000,215491000,226541000
65,Other Comprehensive Income/Loss,- -,- -,- -,-4150,3060,1332684,2468800,5989463,10627453,11187744,15957500,25291231,35851000,42109000,46297000,28791000,9657000,28487000,12959000,7803000,28716000,24717000
66,Other Total Stockholders Equity,9071,9071,9071000,18779880,18003168,18146722,28651959,30125951,27148206,27515064,28565153,39295419,38371000,38565000,63522000,63627000,61857000,61499000,61476000,60168000,59012000,69773000
67,Total Stockholders Equity,6628,8813,-1103000,26014862,32138450,36927105,53380290,67234862,81330650,105672068,112273018,173129111,193554000,226700000,289257000,299043000,300480000,299448000,285877000,289211000,303222000,321034000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,77160038,87914807,97778680,128995871,159818417,207824370,285859832,369248588,423419055,446979000,520536000,620249000,599443000,626287000,710688000,671549000,639803000,691390000,700355000
69,Minority Interest,6628,8813,- -,18686712,17571838,21751043,23112667,23166270,23222566,27173125,35966773,43028065,38846000,45071000,8912000,8252000,5412000,6681000,18950000,20161000,16170000,16407000
70,Total Liabilities & Equity,6628,8813,- -,95846750,105486645,119529723,152108538,182984687,231046936,313032957,405215361,466447120,485825000,565607000,629161000,607695000,631699000,717369000,690499000,659964000,707560000,716762000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1157762/000100201403000096/0001002014-03-000096-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1157762/000127528706001702/0001275287-06-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420407016348/0001144204-07-016348-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420408017093/0001144204-08-017093-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420409016354/0001144204-09-016354-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420410015464/0001144204-10-015464-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420411037999/0001144204-11-037999-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420412014010/0001144204-12-014010-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420413017694/0001144204-13-017694-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420414018987/0001144204-14-018987-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420415018486/0001144204-15-018486-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420416091114/0001144204-16-091114-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420417017409/0001144204-17-017409-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420418017693/0001144204-18-017693-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420419016630/0001144204-19-016630-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000110465920061126/0001104659-20-061126-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000110465921043566/0001104659-21-043566-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000141057822000626/0001410578-22-000626-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2972,2200000,4700000,3900000,6900000,3300000,4800000,8900000,12400000,23400000,51700000,40800000,20700000,26800000,33542000,27388000,22511000,-19346000,2377000,9959000,-4980000,10726000
74,Depreciation and Amortization,- -,- -,- -,1367170,2006052,4908243,6476214,7349546,9924992,8684169,9497618,13501091,13910000,14587000,15523000,15273000,13926000,15358000,16816000,17841000,22057000,27113000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-1315510,-974383,-1169108,620880,-914886,-1557000,-1471000,-1684000,-655000,-1628000,4143000,-2502000,16000,2205000,4020000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,446676,595402,100575,76000,194000,193000,105000,137000,100000,23000,- -,- -,88000
77,Change in Working Capital,- -,-7397815,6288187,21047120,-8490005,-2351306,20033564,5885982,7010546,20310052,-8151156,93628066,-9073863,40589000,18775000,-20263000,-16803000,-1904000,-5012000,-16737000,-16217000,28390000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7295000,26560000
79,Inventory,- -,- -,- -,-1028046,-2882650,-100143,-2534133,-3454479,-4955085,-817828,-8679749,-12458644,229000,-8716000,-10156000,-7626000,-15442000,-12156000,-17853000,3992000,-109000,-25684000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36821221,15013604,7745000,26600000,11940000,-2578000,35455000,2533000,-22491000,-22138000,27248000,-2801000
81,Other Working Capital,6628,-7391187,-1103000,19944120,11454115,9102809,29136373,35022355,42032901,62342953,54191797,147819863,138746000,179335000,198110000,177847000,161044000,159140000,154128000,137391000,121174000,149564000
82,Other Non-Cash Items,- -,5200000,-19801187,-22058536,20897306,7537009,-23340628,-9495545,-11987189,-16715255,-15710583,-113051556,-7846137,-67823000,-20652000,17426000,-6318000,51802000,824000,19215000,54361000,-42066000
83,Cash Provided by Operating Activities,-2972,2185,-8813000,4255754,21313353,13393946,7969150,11324473,16373966,34956534,38552161,34063290,16209000,12876000,45697000,39274000,11825000,50153000,12526000,30294000,57426000,28271000
84,CAPEX,- -,- -,- -,-8843129,-17811256,-11088505,-7553836,-14270237,-12370933,-17822971,-28189930,-15180827,-19079000,-14871000,-19414000,-42682000,-39746000,-27297000,-25953000,-35901000,-16566000,150000
85,Acquisitions Net,- -,- -,- -,-328228,- -,- -,- -,- -,-10000000,- -,- -,- -,7471000,- -,-2976000,- -,-8603000,-7629000,-5957000,-8578000,-5360000,- -
86,Purchases of Investments,- -,- -,- -,- -,-626506,- -,- -,- -,- -,- -,-3095414,- -,- -,-46492000,-47236000,-14031000,-28210000,-32145000,-22923000,-19647000,-60055000,-63478000
87,Sales/Maturities of Investments,- -,- -,- -,1189157,- -,- -,- -,- -,- -,- -,- -,563649,- -,11330000,40828000,25133000,20657000,35780000,34175000,31847000,56715000,69351000
88,Other Investing Activites,- -,- -,- -,-1215606,207506,-925373,6334733,1110960,14873,163270,-1476689,251312,5241000,6812000,5629000,-1669000,3511000,-16225000,22922000,3458000,768000,-3060000
89,Cash Used for Investing Activites,- -,- -,- -,-9197806,-18230256,-12013878,-1219103,-13159277,-22356060,-17335687,-32596741,-14042403,-6292000,-43058000,-21793000,-32271000,-52230000,-47315000,2453000,-27316000,-23757000,2963000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7196367,-6794812,-6995320,-11389000,-28359000,-15501000,-11822000,-6973000,-43154000,-95433000,-69740000,-57209000,-4450000
91,Common Stock Issued,- -,- -,- -,159000,- -,- -,10373740,1145500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,-1907000,- -,-300000,-1308000,-2990000,- -
93,Dividends Paid,- -,- -,- -,-2646632,-4469379,-1196451,- -,- -,-6198489,-4176583,-3614252,- -,- -,- -,-4291000,- -,-544000,- -,- -,- -,-88000,- -
94,Other Financing Activites,6300,- -,- -,12542130,1768025,1026688,-2902769,-8574525,28180442,82325,9014486,7867256,17020000,22549000,10675000,10047000,13849000,71614000,105853000,60310000,40454000,1331000
95,Cash Used/Provided by Financing Activities,6300,- -,- -,10054498,-2701354,-169763,7470971,-7429025,21981953,-11290625,-1394578,871936,4631000,-5810000,-9117000,-1775000,4425000,28460000,10120000,-10738000,-19833000,-3119000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,822538,1332488,1626357,36579,1383961,2642698,140000,2322000,-261000,-4057000,-2604000,2168000,-5223000,-1813000,7822000,- -
97,Net Change In Cash,3328,2185,- -,5112446,381743,1210305,15043556,-7931341,17626216,6366801,5944803,23535521,14688000,-33670000,14526000,1171000,-38584000,33466000,19876000,-9573000,21658000,-137321000
98,Cash at the End of Period,6628,8813,- -,10730882,11164639,12374944,27418500,19487159,37113375,43480176,49424979,72960500,87649000,53979000,68505000,69676000,31092000,64558000,115969000,106396000,128061000,-9260000
99,Cash at the Beginning of Period,3300,6628,8813000,5618436,10782896,11164639,12374944,27418500,19487159,37113375,43480176,49424979,72961000,87649000,53979000,68505000,69676000,31092000,96093000,115969000,106403000,128061000
100,Free Cash Flow,-2972,2185,-8813000,-4587375,3502097,2305441,415314,-2945764,4003033,17133563,10362231,18882463,-2870000,-1995000,26283000,-3408000,-27921000,22856000,-13427000,-5607000,40860000,28421000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1157762/000100201403000096/0001002014-03-000096-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1157762/000127528706001702/0001275287-06-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420407016348/0001144204-07-016348-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420408017093/0001144204-08-017093-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420409016354/0001144204-09-016354-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420410015464/0001144204-10-015464-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420411037999/0001144204-11-037999-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420412014010/0001144204-12-014010-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420413017694/0001144204-13-017694-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420414018987/0001144204-14-018987-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420415018486/0001144204-15-018486-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420416091114/0001144204-16-091114-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420417017409/0001144204-17-017409-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420418017693/0001144204-18-017693-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000114420419016630/0001144204-19-016630-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000110465920061126/0001104659-20-061126-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000110465921043566/0001104659-21-043566-index.htm,https://www.sec.gov/Archives/edgar/data/1157762/000141057822000626/0001410578-22-000626-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
