,https://roic.ai/company/KOPN,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1684,0.1344,-0.0295,-0.0561,0.0444,0.1700,0.0361,0.0077,-0.5780,-1.6638,-0.8949,-0.4624,-0.8789,-1.0180,-1.4082,-0.9914,-0.1097,-0.2921
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-192000,-300000,500000,800000,700000,-100000,-3541000,1099000,-12933209,-180000,-25000,3130000,-2963000,-30000,108000,- -,129000
23,Net Income,-2200000,-1700000,-1600000,-6700000,-9000000,-21600000,-6300000,-3000000,800000,6293384,-22713388,-31911318,-6878258,-15400000,11671229,-2100000,-6600000,2600000,19400000,8800000,3597927,-18400000,-4700000,-28212040,-14693420,-23434116,-25240480,-34533540,-29506250,-4530925,-13468371
24,Net Income ratio,-0.3607,-0.2267,-0.1231,-0.4527,-0.5696,-1.2000,-0.3841,-0.1115,0.0207,0.0680,-0.4375,-0.4155,-0.0899,-0.1764,0.1293,-0.0295,-0.0673,0.0226,0.1691,0.1515,0.0274,-0.5318,-0.2052,-0.8870,-0.4584,-1.0350,-0.9066,-1.4115,-0.9996,-0.1129,-0.2949
25,EPS,-0.03,-0.02,-0.01,-0.04,-0.06,-0.49,-0.14,-0.06,0.01,0.10,-0.34,-0.46,-0.10,-0.20,0.17,-0.03,-0.10,0.04,0.29,0.14,0.06,-0.29,-0.08,-0.45,-0.23,-0.36,-0.38,-0.49,-0.37,-0.05,-0.15
26,EPS Diluted,-0.03,-0.02,-0.01,-0.04,-0.06,-0.49,-0.14,-0.06,0.01,0.09,-0.34,-0.46,-0.10,-0.20,0.17,-0.03,-0.10,0.04,0.29,0.13,0.06,-0.29,-0.08,-0.45,-0.23,-0.36,-0.38,-0.49,-0.37,-0.05,-0.15
27,Weighted Average Shares Outstanding,20188000,27484000,36884000,37136000,43660000,43684552,44040640,48273912,51763034,62975715,65946964,69317695,69540201,70051520,69333508,68064262,67543957,67876385,66849490,66019847,64405776,63617680,62347852,62638675,63465797,64043897,69914956,73156545,80282126,82347741,90517330
28,Weighted Average Shares Outstanding Diluted,20188000,27484000,36884000,37136000,43660000,43684552,44040640,48273912,56321914,67727513,65946964,69317695,69540201,70051520,70222597,68064262,67543957,68163758,67457751,66711501,65346484,63617680,62347852,62638675,63465797,64043897,69914956,73156545,80282126,82347741,90517330
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771266/000092701602001521/0000927016-02-001521-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000092701603001089/0000927016-03-001089-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312504042215/0001193125-04-042215-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312505060861/0001193125-05-060861-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312506059889/0001193125-06-059889-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312508059105/0001193125-08-059105-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312508071379/0001193125-08-071379-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312509049876/0001193125-09-049876-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312510050370/0001193125-10-050370-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312511062417/0001193125-11-062417-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312512117581/0001193125-12-117581-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126613000006/0000771266-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126614000007/0000771266-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126615000006/0000771266-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126616000071/0000771266-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126617000016/0000771266-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126618000012/0000771266-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126619000020/0000771266-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126620000008/0000771266-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000149315221005466/0001493152-21-005466-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000149315222006784/0001493152-22-006784-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3400000,4700000,5900000,1900000,24700000,16500000,14400000,30800000,66000000,13332973,74425853,35297639,29144578,17800000,31502645,27900000,30700000,57900000,54800000,49800000,43095163,27100000,16800000,14635800,19767890,15822495,24848230,14326350,6029250,17112869,26787931
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,33100000,59847124,30009300,82693673,91188610,94100000,88254220,77500000,62600000,42100000,59700000,61100000,62323387,65300000,96000000,76223140,60942890,61375401,43907460,22918020,15753000,3635681,- -
33,Cash and Short-Term Investments,3400000,4700000,5900000,1900000,24700000,16500000,14400000,30800000,99100000,73180097,104435153,117991312,120333188,111900000,119756865,105400000,93300000,100000000,114500000,110900000,105418550,92400000,112800000,90858940,80710780,77197896,68755690,37244370,21782250,20748550,26787931
34,Net Receivables,1500000,15200000,3500000,4700000,6600000,6600000,4300000,3700000,11200000,14833348,7244545,6680538,6771391,9100000,13014815,12000000,15100000,19600000,19300000,17500000,17887754,5500000,2400000,3802320,16574970,1699195,4659990,6178020,6944330,9260865,12113070
35,Inventory,600000,600000,1000000,2200000,6400000,3100000,2700000,3300000,6200000,5711617,8713740,4773333,5920364,7900000,9256739,11800000,16700000,13300000,16500000,21500000,21415517,5800000,3100000,4081890,2512470,3302112,5080800,4797240,3768700,4455756,6581139
36,Other Current Assets,400000,700000,34700000,28400000,19300000,11800000,5500000,6700000,1600000,9841724,3769400,1118944,1451374,7400000,1900479,2100000,2000000,1400000,1900000,2700000,1706436,23300000,1300000,1181470,1358000,1194901,1243020,1184400,1269360,4991009,6725605
37,Total Current Assets,5900000,21200000,45100000,37200000,57000000,38000000,26900000,44500000,118100000,103566786,124162838,130564127,134476317,136300000,143928898,131300000,127100000,134300000,152200000,152600000,146428257,127000000,119600000,99924620,101156220,83394104,79739500,49404030,33764640,39456180,52207745
38,PP&E,2400000,2900000,7000000,9700000,11600000,10900000,11100000,9300000,20700000,49091088,40813240,34748361,31008403,11600000,11250453,17400000,21900000,19400000,20800000,32600000,32369441,8500000,6000000,4589420,2677100,2976006,5077040,2598840,4227300,1626930,5717029
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1664457,700000,1000000,976450,946080,844023,1780250,331340,- -,- -,- -
40,Intangible Assets,700000,1400000,1800000,2200000,4200000,1900000,2100000,1800000,1900000,16310995,13729099,480866,9335749,- -,- -,- -,- -,- -,- -,- -,1953660,2300000,1600000,1581500,- -,- -,883640,- -,- -,- -,- -
41,Intangible Assets,700000,1400000,1800000,2200000,4200000,1900000,2100000,1800000,1900000,16310995,13729099,480866,9335749,- -,- -,- -,- -,- -,- -,- -,3618117,3000000,2600000,2557950,946080,844023,2663890,331340,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2854694,1681124,- -,- -,- -,5565499,4537159,4523525,2507535
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4201627,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,-100000,3700000,3400000,2900000,3300000,6300000,4400000,15521801,24943792,8773040,- -,7900000,11152666,12700000,12100000,6000000,10200000,6900000,7946087,37700000,15045306,14188296,1280690,618139,3842060,1649401,517421,-887844,2575419
45,Total Non-Current Assets,3200000,4300000,8700000,15600000,19200000,15700000,16500000,17400000,27000000,80923884,79486131,44002267,40344152,19500000,22403119,30100000,34000000,25400000,31000000,39500000,48135272,49200000,26500000,23016790,4903870,4438168,11582990,10145080,9281880,5262611,10799983
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9100000,25500000,53800000,52800000,76200000,53700000,43400000,61900000,145100000,184490670,203648969,174566394,174820469,155800000,166332017,161400000,161100000,159700000,183200000,192100000,194563529,176200000,146100000,122941410,106060090,87832272,91322490,59549110,43046520,44718791,63007728
48,Accounts Payable,700000,2000000,2100000,5600000,7700000,6900000,2700000,1700000,7600000,9892554,12040426,7414774,10442184,5900000,8334282,8300000,12400000,8700000,9600000,11300000,12384870,5100000,3900000,5503730,3959700,4355462,4918610,3921880,3998230,5606910,5483970
49,Short-Term Debt,- -,- -,- -,- -,- -,1800000,2000000,2000000,2100000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1041695,982375,3208739
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,935364,1416892,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1220395,547681,586471,1407566,981761,896479,388933,796794,- -,- -
52,Other Current Liabilities,1200000,1300000,800000,1000000,4500000,1600000,700000,1500000,1900000,4336787,5691601,7302586,7527400,7000000,6459449,6900000,6800000,8700000,8400000,9200000,10094920,13879605,6752319,7152719,5909574,8028484,6288421,6056557,5472991,10293224,8840395
53,Total Current Liabilities,1900000,3300000,2900000,6600000,12200000,10300000,5400000,5200000,11600000,15229341,17732027,14717360,17969584,12900000,14793731,15200000,19200000,17400000,18000000,20500000,22479790,20200000,11200000,13242920,11276840,13365707,12103510,10367370,11309710,16882509,17533104
54,Long-Term Debt,1000000,600000,100000,2200000,1600000,2800000,2000000,4200000,2600000,1250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2814375,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,374171,17294,6557,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1304513,1512771,1282000,1207000,- -,520000,546000,525000,- -,513417
57,Other Non-Current Liabilities,100000,500000,300000,500000,600000,300000,100000,- -,- -,- -,- -,- -,- -,3700000,740001,5200000,4400000,3800000,5000000,5800000,1295670,5995487,-1112771,-1430460,-1130950,246922,225539,756576,2596613,1270328,5334350
58,Total Non-Current Liabilities,1100000,1100000,400000,2700000,2200000,3100000,2100000,4200000,2600000,1250000,- -,- -,- -,3700000,740001,5200000,4400000,3800000,5000000,5800000,1295670,7300000,400000,-148460,76050,246922,1119710,1319870,3128170,4084703,5847767
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1295670,322477,329435,311187,298463,246922,644048,254098,2833285,1803681,- -
61,Total Liabilities,3000000,4400000,3300000,9300000,14400000,13400000,7500000,9400000,14200000,16479341,17732027,14717360,17969584,16600000,15533732,20400000,23600000,21200000,23000000,26300000,23775460,27500000,11600000,13094460,11352890,13612629,13223220,11687240,14437880,19113716,23380871
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,300000,646811,690455,693913,700449,700000,712350,700000,700000,700000,700000,700000,732263,700000,700000,751830,760800,766409,775720,785220,870500,880075,900691
64,Retained Earnings,-7700000,-9300000,-11000000,-17700000,-26700000,-48300000,-54500000,-57500000,-56700000,-50418146,-73131534,-105042852,-111921110,-125800000,-114081897,-153800000,-160300000,-157800000,-136500000,-127600000,-124008273,-143000000,-147700000,-175915260,-190608670,-214042787,-240121900,-272932140,-301236910,- -,-319080898
65,Other Comprehensive Income/Loss,-3700000,-4600000,-5600000,-7400000,-9900000,-11700000,-14900000,-16900000,-20700000,-24935045,-31033869,1013040,1791934,1448021,-336268,2945098,3767256,-168303,4556813,5985345,4146024,6512792,3441997,3126239,771774,1570971,3564779,1554587,1757184,1484434,1414351
66,Other Total Stockholders Equity,17500000,35000000,67100000,68600000,98400000,100300000,105300000,126900000,208000000,242717709,289391890,260253567,263165884,262837819,260166175,291119799,293317153,295750239,291429723,286750574,284714711,284520888,278111250,281884150,283816971,285783093,313880670,318454207,327217861,26070922,356392713
67,Total Stockholders Equity,6100000,21100000,50500000,43500000,61800000,40300000,35900000,52500000,130900000,168011329,185916942,156917668,153737157,139185840,146460360,140964897,137484409,138481936,160186536,165835919,165584725,148733680,134553247,109846959,94740875,74077686,78099269,47861874,28608635,28435431,39626857
68,Total Liabilities And Stockholders Equity,9100000,25500000,53800000,52800000,76200000,53700000,43400000,61900000,145100000,184490670,203648969,171635028,171706741,155785840,161994092,161364897,161084409,159681936,183186536,192135919,189360185,176233680,146153247,122941419,106093765,87690315,91322489,59549114,43046515,47549147,63007728
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2931366,3113728,14160,4337925,35103,15591,18064,13464,-35919,5203344,-33680,-53247,-9,-33675,141957,1,-4,5,-2830356,- -
70,Total Liabilities & Equity,9100000,25500000,53800000,52800000,76200000,53700000,43400000,61900000,145100000,184490670,203648969,174566394,174820469,155800000,166332017,161400000,161100000,159700000,183200000,192100000,194563529,176200000,146100000,122941410,106060090,87832272,91322490,59549110,43046520,44718791,63007728
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/771266/000092701602001521/0000927016-02-001521-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000092701603001089/0000927016-03-001089-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312504042215/0001193125-04-042215-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312505060861/0001193125-05-060861-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312506059889/0001193125-06-059889-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312508059105/0001193125-08-059105-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312508071379/0001193125-08-071379-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312509049876/0001193125-09-049876-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312510050370/0001193125-10-050370-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312511062417/0001193125-11-062417-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000119312512117581/0001193125-12-117581-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126613000006/0000771266-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126614000007/0000771266-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126615000006/0000771266-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126616000071/0000771266-16-000071-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126617000016/0000771266-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126618000012/0000771266-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126619000020/0000771266-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000077126620000008/0000771266-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000149315221005466/0001493152-21-005466-index.htm,https://www.sec.gov/Archives/edgar/data/771266/000149315222006784/0001493152-22-006784-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2200000,-1700000,-1600000,-6700000,-9000000,-21600000,-6300000,-3000000,800000,6293384,-22713388,-31911318,-6878258,-15400000,11671229,-2100000,-6600000,2600000,19400000,8800000,3597927,-18400000,-4700000,-28212040,-14693420,-23434116,-25240480,-34533540,-29506250,-4530925,-13468371
74,Depreciation and Amortization,1000000,1200000,1500000,2100000,3100000,3600000,3600000,4300000,4100000,7366263,11255805,11917833,9694549,10484817,5377856,2859359,3682793,5035403,5990951,6565365,8598672,9111943,3646725,3002014,2138982,993621,2501891,1958680,792221,651083,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2162246,252687,-230725,-75000,1451858,-2421040,4185,105036,116536,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2740849,1884340,2583728,3923628,4486990,4203408,4827772,3145479,2425326,2296131,4791054,2057400,821122,- -
77,Change in Working Capital,-600000,13900000,24300000,-11600000,14200000,-17100000,-6200000,17800000,67200000,-18162555,18093366,9415956,659966,6893267,5735167,-13035167,-8200000,9000000,17300000,-2100000,-8151533,-17148467,1600000,-21718300,3197680,-19850983,-2392407,-28599330,-16581730,118741,12100970
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8259245,3703840,1926676,256190,4363447,4853073,-1286407,2850942,-39629,-2376593,853163,-3944859,-2954703,- -
79,Inventory,-300000,- -,-300000,-1200000,-3000000,1500000,- -,-600000,-2800000,435612,-3395011,4103405,-1139054,-1756074,-1269318,-2235270,-4880725,3192566,-2666190,-4287717,162575,3466568,2262547,-1520824,-8484,-1527602,-1633027,-1656196,-792165,-1332139,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,4000000,17900000,42200000,30600000,44800000,27700000,21500000,39300000,106500000,88337445,106430811,115846767,116506733,123400000,129135167,116100000,107900000,116900000,134200000,132100000,123948467,106800000,108400000,86681700,89879380,70028397,67635990,39036660,22454930,22573671,34674641
82,Other Non-Cash Items,-200000,-15000000,-26500000,12000000,-19700000,22300000,3400000,-16800000,-72500000,17357826,-9118019,22748074,3116083,-7698089,-8360233,13165109,6986607,-7705320,-21218133,-1915752,11283407,23575489,-23903225,22726283,-10633270,12239599,-656793,28213042,22106469,-1593714,1367401
83,Cash Provided by Operating Activities,-2000000,-1600000,-2300000,-4200000,-11400000,-12800000,-5500000,2300000,-400000,12854918,-2482236,12170545,6592340,-5720005,14424019,889301,-4130600,11670932,23357158,13933341,19252101,3788201,-18900405,-19604996,-16919549,-26174695,-25912698,-28165909,-21026854,-4417157,- -
84,CAPEX,-300000,-1200000,-5100000,-4500000,-3800000,-3800000,-3600000,-2900000,-15000000,-33431439,-6997226,-5191683,-5436023,-1258871,-3107423,-7867729,-7637451,-3334079,-3684629,-15849823,-7132371,-9831967,-741543,-1489986,-1122808,-394897,-2794467,-1183131,-170186,-542862,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212380,- -,-10084307,188223,55399504,- -,- -,15000000,-3690047,-1000000,-2500000,- -,- -
86,Purchases of Investments,- -,-11700000,-21600000,- -,- -,- -,- -,-1400000,-27100000,-24738587,- -,-52352745,-8905483,-45600120,-27317516,-32538083,-16451503,-31631309,-48712270,-48730506,-44326544,-42103621,-52913502,-19867896,-22835740,-51828988,-19633903,-5697329,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,5800000,10400000,6600000,5900000,- -,- -,- -,29773216,4440383,1202922,40340483,29039232,46451627,32020156,54226824,31328136,52180392,41124549,38162041,19727777,39801276,47262678,51869649,37536004,26646078,7454139,12148117,- -
88,Other Investing Activites,600000,- -,- -,-3700000,-1200000,500000,-400000,-2800000,1800000,-11335296,220702,378134,-1103950,110290,5818088,-4871874,-1003443,-5309921,-3299873,-15653245,-7115465,-12177215,-752095,-1278120,-1124580,7792715,-2935327,-1191504,-211217,-349676,- -
89,Cash Used for Investing Activites,300000,-12900000,-26700000,-2400000,5400000,3300000,1900000,-7100000,-40300000,-69505322,22996692,-52725911,-14242534,-6408218,4432381,1173941,6927759,17285594,-20471627,-12203359,-20401767,-15930572,21461684,18655260,23302358,22833376,11276727,18757245,4742922,11798441,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,16600000,31000000,200000,30500000,1900000,1800000,18900000,77800000,6657772,42910842,1115307,1477328,289562,1281446,520446,279878,- -,- -,- -,- -,- -,- -,- -,- -,- -,24664250,- -,8038529,3829462,532540000
92,Common Stock Repurchased,- -,- -,- -,- -,-4100000,- -,- -,- -,-500000,- -,- -,- -,- -,-671235,-6727715,-6933899,-280980,- -,-5299451,-6728507,-4414626,-3455529,-9184300,-1274488,-1072385,-510596,-771323,-208015,-45513,-139926,- -
