,https://roic.ai/company/OSG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,62100000,65600000,69900000,75200000,80500000,91700000,96400000,97300000,97800000,100100000,110700000,112000000,122800000,117000000,90500000,80495000,91405000,111861000,129678000,152081000,231978000,206984000,296700000,333226000,195307000,638700000,646839000,290129000,273939000,235474000,236982000,131171000,86166000,77392000,75898000,85382000,24097000
11,COGS and Expenses,201200000,224400000,243400000,232800000,233900000,286800000,317000000,341500000,350000000,343800000,383500000,409200000,415400000,371300000,327200000,333552000,307734000,252395000,240029000,325801000,529628000,646385000,912857000,1236899000,1016488000,1096283000,1193779000,1241845000,998626000,852417000,687421000,380074000,343134000,343154000,321289000,378269000,382966000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,- -,- -,- -,- -,- -,- -,- -,6613000,- -,- -,- -,22886000,35980000,13087000,- -,1294000,- -,431000,856000,359000,287000,534000,1183000,1970000,1177000,102000,5000
13,Interest Expense (Gain),48800000,44000000,- -,37700000,41800000,61500000,55600000,44600000,43300000,57000000,66400000,69500000,- -,62200000,- -,47470000,45035000,52693000,62124000,74146000,89489000,68652000,74696000,57449000,45125000,67044000,79898000,84957000,350000,232491000,113332000,42812000,35978000,30709000,25633000,24045000,29203000
14,Depreciation and Amortization,43300000,45900000,49300000,48900000,51100000,55600000,56200000,56500000,58700000,60000000,66100000,71000000,77900000,70800000,51200000,37873000,56137000,65166000,83122000,99538000,142414000,98826000,138196000,189163000,172404000,170670000,179721000,201284000,176276000,151758000,157813000,89563000,58673000,50512000,52499000,58513000,61823000
15,EBITDA,134800000,141400000,96200000,149300000,167100000,197900000,191700000,114300000,128800000,107000000,118600000,143900000,109100000,84100000,72200000,222254000,255617000,96995000,313399000,654698000,695622000,551951000,429029000,530273000,251002000,96015000,61741000,-195354000,-476349000,117168000,454213000,-226337000,93002000,76996000,87343000,118747000,26677000
16,EBITDA ratio,0.5015,0.4793,0.3278,0.4857,0.5389,0.4951,0.4574,0.3112,0.3417,0.2985,0.2908,0.3182,0.2282,0.2057,0.2060,0.4753,0.5446,0.3263,0.7269,0.8292,0.7234,0.5270,0.3799,0.3111,0.2295,0.0918,0.0588,-0.1718,-0.4688,0.1224,0.4709,-0.4895,0.2382,0.2103,0.2457,0.2836,0.0743
17,Operating Income,67600000,70600000,50100000,74600000,76200000,112900000,102100000,25800000,26900000,14700000,24300000,43100000,62600000,37500000,23300000,134066000,151160000,44888000,191107000,463780000,432034000,401018000,216448000,357478000,77903000,-75702000,-142188000,-345747000,-326304000,136457000,330626000,-31540000,37823000,27424000,33404000,58613000,-29100000
18,Operating Income ratio,0.2515,0.2393,0.1707,0.2427,0.2457,0.2825,0.2436,0.0702,0.0714,0.0410,0.0596,0.0953,0.1310,0.0917,0.0665,0.2867,0.3221,0.1510,0.4433,0.5874,0.4493,0.3829,0.1917,0.2097,0.0712,-0.0724,-0.1355,-0.3041,-0.3212,0.1425,0.3428,-0.0682,0.0969,0.0749,0.0940,0.1400,-0.0810
19,Total Other Income Expenses (Gains),-24900000,-19100000,-3200000,-11900000,-2000000,-32100000,-22200000,-28600000,-100000,-24700000,-38200000,-39700000,-31400000,-72800000,-3800000,-1880000,3285000,-65752000,-22954000,17234000,31685000,-16545000,-311000,-73817000,-43453000,-65997000,-55690000,-135848000,-326671000,-403538000,-147558000,-34617000,-39472000,-31649000,-24193000,-22424000,-35249000
20,Income Before Tax,42700000,51500000,46900000,62700000,74200000,80800000,79900000,-2800000,26800000,-10000000,-13900000,3400000,31200000,-35300000,19500000,132186000,154445000,-20864000,168153000,481014000,463719000,384473000,216137000,283661000,34450000,-141699000,-197878000,-481595000,-652975000,-267081000,183068000,-66157000,-1649000,-4225000,9211000,36189000,-64349000
21,Income Before Tax Ratio,0.1589,0.1746,0.1598,0.2040,0.2393,0.2022,0.1906,-0.0076,0.0711,-0.0279,-0.0341,0.0075,0.0653,-0.0864,0.0556,0.2827,0.3291,-0.0702,0.3900,0.6092,0.4822,0.3671,0.1914,0.1664,0.0315,-0.1355,-0.1885,-0.4235,-0.6427,-0.2790,0.1898,-0.1431,-0.0042,-0.0115,0.0259,0.0864,-0.1792
22,Income Tax expense (Gain),11700000,14200000,11400000,16300000,22200000,24900000,24800000,-2900000,8900000,-3800000,-5300000,900000,12200000,-11000000,6200000,46520000,53004000,-3244000,46844000,79778000,-1110000,-8187000,4827000,-34004000,-36697000,-7456000,-4962000,-1481000,-14745000,-114808000,-100892000,-65098000,-57627000,-17714000,536000,6185000,-18097000
23,Net Income,31000000,37300000,35500000,46400000,52000000,55900000,55100000,16100000,17900000,-6200000,-8600000,2500000,19000000,-37900000,14800000,90391000,101441000,-17620000,121309000,401236000,464829000,392660000,211310000,317665000,70170000,-134243000,-192916000,-480114000,-638230000,-152273000,283960000,-293614000,55978000,13489000,8675000,30004000,-46252000
24,Net Income ratio,0.1153,0.1264,0.1210,0.1509,0.1677,0.1399,0.1315,0.0438,0.0475,-0.0173,-0.0211,0.0055,0.0397,-0.0927,0.0422,0.1933,0.2161,-0.0593,0.2814,0.5082,0.4834,0.3749,0.1871,0.1863,0.0642,-0.1284,-0.1838,-0.4222,-0.6282,-0.1590,0.2944,-0.6350,0.1434,0.0368,0.0244,0.0717,-0.1288
25,EPS,4.69,5.67,5.40,7.04,7.96,8.89,9.11,2.67,3.00,-0.93,-1.31,0.38,2.84,-5.62,2.24,14.56,16.20,-2.78,19.04,55.96,64.25,54.22,33.76,58.42,14.24,-24.82,-34.85,-86.29,-114.22,-3.55,2.93,-3.25,0.64,0.15,0.10,0.33,-0.51
26,EPS Diluted,4.69,5.67,5.40,7.04,7.96,8.89,9.11,2.67,3.00,-0.93,-1.31,0.38,2.84,-5.62,2.24,14.35,15.93,-2.78,18.93,55.85,64.20,54.11,33.60,58.09,14.24,-24.82,-34.85,-86.29,-114.22,-3.55,2.93,-3.25,0.64,0.15,0.10,0.33,-0.51
27,Weighted Average Shares Outstanding,6608540,6575334,6574087,6594328,6529693,6287334,6048914,6014445,5966679,6686288,6569458,6547632,6698731,6745968,6617899,6206635,6261803,6305758,6366308,7170738,7231425,7244486,6258219,5435519,4925068,5408000,5541891,5562208,5588527,42878115,96904896,90949577,87834769,88394580,89251818,89794392,90587454
28,Weighted Average Shares Outstanding Diluted,6608540,6575334,6574087,6594328,6529693,6287334,6048914,6014445,5966679,6966681,6569458,6722236,6722236,8203720,6645847,6301033,6369025,6305758,6412424,7182327,7242842,7257454,6293248,5465951,4926071,5408000,5541891,5562208,5588527,42878115,96949427,90949577,88082978,89045734,89658938,90838262,90587454
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75208/000100547701002119/0001005477-01-002119-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75208/000104746905004917/0001047469-05-004917-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000110465906013267/0001104659-06-013267-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746907001515/0001047469-07-001515-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746908002019/0001047469-08-002019-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746909002054/0001047469-09-002054-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420410010646/0001144204-10-010646-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420411011868/0001144204-11-011868-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420412011875/0001144204-12-011875-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420413047751/0001144204-13-047751-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420414015316/0001144204-14-015316-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420415016383/0001144204-15-016383-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420416085131/0001144204-16-085131-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420417013619/0001144204-17-013619-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000007520818000021/0000075208-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000007520819000020/0000075208-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315220003938/0001493152-20-003938-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315221007754/0001493152-21-007754-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315222006400/0001493152-22-006400-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,91400000,82900000,97400000,110300000,66200000,97800000,114000000,85700000,110200000,100000000,160600000,109100000,113200000,51000000,56700000,15781000,30256000,36944000,74003000,479181000,188588000,606758000,502420000,343609000,474690000,253649000,54877000,507342000,601927000,389226000,502836000,191089000,165994000,80417000,41503000,69697000,83172000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32300000,54985000,69958000,28796000,- -,- -,- -,- -,- -,- -,50000000,20047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,91400000,82900000,97400000,110300000,66200000,97800000,114000000,85700000,110200000,100000000,160600000,109100000,113200000,51000000,89000000,70766000,100214000,65740000,74003000,479181000,188588000,606758000,502420000,343609000,524690000,273696000,54877000,507342000,601927000,389226000,502836000,191089000,165994000,80417000,41503000,69697000,83172000
34,Net Receivables,27900000,28000000,27200000,18600000,51600000,31300000,26000000,44900000,27200000,33800000,31500000,31200000,30800000,33800000,18500000,56954000,38054000,51532000,59624000,157052000,179536000,207766000,265033000,284273000,246451000,260604000,220650000,208159000,168754000,165662000,90471000,27712000,27887000,19562000,13476000,15327000,22284000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3046000,1155000,495000,1132000,1855000,7002000,9195000,6627000,8110000,14950000,19219000,15532000,16884000,7987000,3926000,12243000,13356000,2456000,1178000,2293000,2895000
36,Other Current Assets,26800000,18100000,15400000,16600000,19300000,18200000,23300000,29300000,25700000,26900000,31200000,28200000,26400000,19800000,13500000,9315000,5308000,4960000,7301000,8252000,14908000,23995000,28105000,43780000,38115000,45627000,47401000,40394000,29748000,144793000,26698000,7272000,58000,9945000,1352000,1359000,580000
37,Total Current Assets,146100000,129000000,140000000,145500000,137100000,147300000,163300000,159900000,163100000,160700000,223300000,168500000,170400000,104600000,121000000,137035000,146622000,123387000,141423000,645617000,384887000,845521000,804753000,678289000,817366000,594877000,342147000,771427000,817313000,707668000,623931000,238316000,207295000,112380000,57509000,88676000,108931000
38,PP&E,797000000,775200000,806400000,856200000,895800000,872500000,874700000,925900000,999800000,1183200000,1173000000,1214400000,1106800000,1130400000,1237500000,1250171000,1307311000,1416774000,1364773000,1456365000,2324748000,2563346000,2715404000,2818060000,3000768000,3245515000,3292946000,2837288000,2359352000,2213217000,2084859000,684468000,632509000,597659000,1023681000,1047991000,913804000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64293000,72463000,9589000,9589000,9589000,9589000,9589000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92611000,114077000,106585000,99088000,83137000,77158000,71975000,60167000,54817000,50217000,45617000,41017000,36417000,31817000,27217000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156904000,186540000,116174000,108677000,92726000,86747000,81564000,60167000,54817000,50217000,45617000,41017000,36417000,31817000,27217000,22617000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147301000,230013000,265096000,251385000,252398000,323327000,334863000,348718000,3694000,3785000,3585000,3599000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,321800000,336000000,312400000,316500000,507700000,478500000,507700000,628700000,660800000,561500000,668500000,654400000,746000000,460500000,362400000,436707000,510342000,494681000,494490000,578816000,639045000,664898000,452220000,130237000,51617000,42889000,61124000,100858000,84335000,125926000,167227000,58402000,47281000,77689000,58861000,67853000,70377000
45,Total Non-Current Assets,1118800000,1111200000,1118800000,1172700000,1403500000,1351000000,1382400000,1554600000,1660600000,1744700000,1841500000,1868800000,1852800000,1590900000,1599900000,1686878000,1817653000,1911455000,1859263000,2035181000,2963793000,3385148000,3354164000,3211772000,3391075000,3646226000,3692202000,3272108000,2827181000,2728823000,2651021000,792181000,724592000,715350000,1117958000,1143061000,1006798000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1264900000,1240200000,1258800000,1318200000,1540600000,1498300000,1545700000,1714500000,1823700000,1905400000,2064800000,2037300000,2023200000,1695500000,1720900000,1823913000,1964275000,2034842000,2000686000,2680798000,3348680000,4230669000,4158917000,3890061000,4208441000,4241103000,4034349000,4043535000,3644494000,3436491000,3274952000,1030497000,931887000,827730000,1175467000,1231737000,1115729000
48,Accounts Payable,- -,- -,- -,- -,4000000,4400000,7100000,4700000,3800000,4600000,5000000,4900000,6100000,5800000,3100000,3451000,3132000,2201000,1681000,3960000,105173000,17549000,12047000,5996000,32591000,16083000,18554000,16545000,22002000,4422000,5959000,2538000,3825000,3360000,5944000,8717000,9496000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,27400000,26600000,26000000,28300000,24400000,15000000,14294000,23764000,21075000,48407000,29753000,27034000,35076000,34464000,26231000,33202000,44607000,14990000,- -,- -,12314000,63039000,- -,28160000,23240000,31512000,38922000,126235000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10778000,18682000,15693000,10743000,9579000,5217000,6731000,11580000,8677000,18343000
52,Other Current Liabilities,59600000,40300000,40600000,45900000,52800000,49900000,64800000,54000000,59800000,39200000,39700000,35300000,36600000,31600000,27100000,31083000,58636000,22971000,48120000,167030000,- -,174951000,166790000,162711000,117300000,113095000,106557000,427649000,337156000,76857000,74544000,45411000,25329000,24587000,112508000,125308000,22062000
53,Total Current Liabilities,59600000,40300000,40600000,45900000,56800000,54300000,71900000,58700000,63600000,71200000,71300000,66200000,71000000,61800000,45200000,48828000,85532000,46247000,98208000,200743000,132207000,227576000,213301000,194938000,183093000,173785000,140101000,454972000,377840000,109286000,154285000,57528000,62531000,57918000,161544000,181624000,176136000
54,Long-Term Debt,481200000,453700000,462300000,477900000,673100000,612800000,576300000,784500000,876300000,910100000,1101800000,1093500000,1056300000,827900000,827400000,836497000,795736000,932933000,739733000,863466000,923612000,1273053000,1506396000,1396135000,1813289000,1941583000,2050902000,2567316000,2559188000,1656353000,1267766000,525082000,420776000,322295000,336535000,390198000,514663000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,143948000,82500000,40876000,11051000,3839000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,71100000,72500000,78900000,84300000,92400000,106100000,120900000,97500000,103300000,105800000,97100000,99000000,102500000,85800000,184200000,188421000,210388000,219411000,197815000,147500000,141334000,270076000,281711000,330407000,261704000,274716000,277050000,360229000,396539000,317797000,210715000,144586000,86876000,73585000,73697000,81181000,63923000
57,Other Non-Current Liabilities,15900000,12200000,14800000,14400000,10700000,13000000,11800000,7200000,7700000,4700000,8000000,7700000,13600000,12400000,3000000,- -,59193000,52102000,47855000,42717000,275499000,252653000,207014000,- -,- -,- -,- -,122933000,371174000,66968000,61698000,48969000,48466000,44464000,262146000,198923000,22393000
58,Total Non-Current Liabilities,568200000,538400000,556000000,576600000,776200000,731900000,709000000,889200000,987300000,1020600000,1206900000,1200200000,1172400000,926100000,1014600000,1024918000,1065317000,1204446000,985403000,1053683000,1340445000,1795782000,1995121000,1870490000,2157493000,2257175000,2339003000,3054317000,3326901000,2041118000,1540179000,718637000,556118000,440344000,672378000,670302000,600979000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52102000,47855000,42717000,42043000,33894000,24938000,1092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337205000,263127000,196158000
61,Total Liabilities,627800000,578700000,596600000,622500000,833000000,786200000,780900000,947900000,1050900000,1091800000,1278200000,1266400000,1243400000,987900000,1059800000,1073746000,1150849000,1250693000,1083611000,1254426000,1472652000,2023358000,2208422000,2065428000,2340586000,2430960000,2479104000,3509289000,3704741000,2150404000,1694464000,776165000,618649000,498262000,833922000,851926000,777115000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,39600000,- -,- -,- -,- -,39600000,39591000,39591000,39591000,39591000,40791000,40791000,40791000,40791000,40791000,40791000,44291000,44291000,44291000,44291000,3158000,3720000,702000,783000,848000,857000,864000,872000
64,Retained Earnings,580000000,604400000,627100000,660600000,694700000,733300000,770300000,766600000,765000000,737600000,707200000,688000000,685100000,625100000,618500000,688528000,769457000,731201000,829824000,1203528000,1640742000,1996826000,2170098000,2442907000,2465949000,2279822000,2040031000,1024480000,386250000,-141025000,-1282000,-321736000,-265758000,-252014000,-243339000,-213335000,-259587000
65,Other Comprehensive Income/Loss,-363600000,-369000000,-370700000,-397200000,-319500000,-373300000,-395900000,-443400000,-463900000,-640500000,-551800000,-555800000,-547400000,-340600000,-368700000,-55226000,-55226000,-512404000,-512404000,-473162000,-455129000,-391404000,-513087000,-570394000,-674457000,-756988000,-858188000,-994306000,-69000000,-83000000,-73000000,-8000000,-6000000,-7000000,-6000000,-282000,2943000
66,Other Total Stockholders Equity,420700000,426100000,405800000,432300000,325600000,347100000,385900000,439200000,467300000,673100000,629400000,637200000,642100000,423100000,371700000,77274000,59604000,525761000,560064000,655215000,649624000,561098000,120223000,-190437000,35572000,243018000,329111000,459781000,-421788000,1506954000,1651050000,583366000,584213000,587634000,590027000,592564000,- -
67,Total Stockholders Equity,637100000,661500000,662200000,695700000,700800000,707100000,760300000,762400000,768400000,809800000,784800000,769400000,779800000,707600000,661100000,750167000,813426000,784149000,917075000,1426372000,1876028000,2207311000,1818025000,1722867000,1867855000,1810143000,1555245000,534246000,-60247000,1286087000,1580488000,254332000,313238000,329468000,341545000,379811000,338614000
68,Total Liabilities And Stockholders Equity,1264900000,1240200000,1258800000,1318200000,1533800000,1493300000,1541200000,1710300000,1819300000,1901600000,2063000000,2035800000,2023200000,1695500000,1720900000,1823913000,1964275000,2034842000,2000686000,2680798000,3348680000,4230669000,4026447000,3788295000,4208441000,4241103000,4034349000,4043535000,3644494000,3436491000,3274952000,1030497000,931887000,827730000,1175467000,1231737000,1115729000
69,Minority Interest,- -,- -,- -,- -,6800000,5000000,4500000,4200000,4400000,3800000,1800000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132470000,101766000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1264900000,1240200000,1258800000,1318200000,1540600000,1498300000,1545700000,1714500000,1823700000,1905400000,2064800000,2037300000,2023200000,1695500000,1720900000,1823913000,1964275000,2034842000,2000686000,2680798000,3348680000,4230669000,4158917000,3890061000,4208441000,4241103000,4034349000,4043535000,3644494000,3436491000,3274952000,1030497000,931887000,827730000,1175467000,1231737000,1115729000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75208/000100547701002119/0001005477-01-002119-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75208/000104746905004917/0001047469-05-004917-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000110465906013267/0001104659-06-013267-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746907001515/0001047469-07-001515-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746908002019/0001047469-08-002019-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000104746909002054/0001047469-09-002054-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420410010646/0001144204-10-010646-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420411011868/0001144204-11-011868-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420412011875/0001144204-12-011875-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420413047751/0001144204-13-047751-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420414015316/0001144204-14-015316-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420415016383/0001144204-15-016383-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420416085131/0001144204-16-085131-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000114420417013619/0001144204-17-013619-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000007520818000021/0000075208-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000007520819000020/0000075208-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315220003938/0001493152-20-003938-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315221007754/0001493152-21-007754-index.htm,https://www.sec.gov/Archives/edgar/data/75208/000149315222006400/0001493152-22-006400-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,31000000,37300000,- -,46400000,52000000,55900000,55100000,16100000,17900000,-6200000,-8600000,2500000,19000000,-37900000,14800000,90391000,101441000,-17620000,121309000,401236000,464829000,392660000,211310000,317665000,70170000,-134243000,-192916000,-480114000,-638230000,-152273000,283960000,-293614000,55978000,13489000,8675000,30004000,-46252000
74,Depreciation and Amortization,43300000,45900000,- -,48900000,51100000,55600000,56200000,56500000,58700000,60000000,66100000,71000000,77900000,70800000,51200000,37873000,56137000,65166000,83122000,99538000,142414000,98826000,138196000,189163000,172404000,170670000,179721000,201284000,176276000,151758000,157813000,89563000,58673000,50512000,52499000,58513000,61823000
75,Deferred Income Tax,- -,- -,- -,- -,10600000,14600000,12900000,-2800000,5300000,1900000,-5300000,700000,10600000,-32500000,- -,- -,25862000,2759000,11351000,- -,675000,9702000,-1081000,-26136000,3698000,-10176000,-4667000,-29751000,-7398000,-82432000,-69564000,-67394000,-59047000,-18794000,-991000,6298000,-18236000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12674000,14214000,11940000,10069000,7910000,-131000,1009000,4412000,7441000,2388000,3785000,1662000,2333000,2232000
77,Change in Working Capital,- -,200000,- -,-19300000,12700000,-1600000,9800000,-1700000,-10000000,62500000,-49700000,-2900000,-56600000,33000000,12407000,-27117000,16050000,-33925000,401659000,-192194000,365265000,-26493000,-108101000,150922000,-213181000,-219046000,114409000,123018000,158909000,-128736000,-288858000,-36024000,-90302000,-158497000,11087000,50550000,-97614000
