,https://roic.ai/company/CBRL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0779,0.0929,0.0914,0.0994,0.1069,0.1219,0.1353,0.1410,0.1414,0.1345,0.1086,0.1223,0.1250,0.0736,0.0534,0.0430,0.0689,0.0752,0.0733,0.0754,0.0636,0.0495,0.0392,0.0380,0.0481,0.0475,0.0567,0.0627,0.0711,0.0838,0.0915,0.1021,0.0919,0.0867,0.0322,0.1101
22,Income Tax expense (Gain),2700000,4500000,4300000,6000000,8800000,13700000,20300000,27300000,33600000,39300000,38900000,50900000,60600000,42700000,35700000,35300000,50700000,58700000,62700000,66900000,51758000,40498000,28212000,24105000,30451000,30483000,43207000,48517000,58721000,74298000,77120000,96988000,30803000,42955000,-28683000,56038000
23,Net Income,3600000,4700000,7200000,10900000,15300000,22900000,33900000,45700000,58000000,66000000,63500000,86600000,104100000,70200000,59000000,49200000,91800000,106500000,111900000,126600000,116291000,162100000,65600000,65926000,85300000,85200000,103100000,117300000,132100000,163903000,189299000,201899000,247620000,223401000,-32475000,254513000
24,Net Income ratio,0.0445,0.0475,0.0572,0.0641,0.0678,0.0763,0.0846,0.0883,0.0905,0.0843,0.0673,0.0771,0.0790,0.0458,0.0333,0.0251,0.0444,0.0484,0.0470,0.0493,0.0440,0.0689,0.0275,0.0278,0.0355,0.0350,0.0400,0.0444,0.0492,0.0577,0.0650,0.0690,0.0817,0.0727,-0.0129,0.0902
25,EPS,0.09,0.11,0.17,0.25,0.32,0.45,0.61,0.78,0.97,1.10,1.05,1.42,1.68,1.16,1.02,0.88,1.69,2.16,2.32,2.65,2.71,5.86,2.88,2.94,3.71,3.70,4.47,4.95,5.55,6.85,7.91,8.40,10.31,9.29,-1.36,10.74
26,EPS Diluted,0.09,0.11,0.17,0.25,0.32,0.45,0.61,0.78,0.96,1.09,1.04,1.41,1.65,1.16,1.02,0.87,1.64,2.09,2.25,2.45,2.50,5.23,2.80,2.89,3.62,3.61,4.40,4.90,5.51,6.82,7.86,8.37,10.29,9.27,-1.36,10.71
27,Weighted Average Shares Outstanding,40000000,42727273,42352941,43600000,47812500,50888889,55573770,58589744,59793814,60000000,60476190,60985915,61964286,58628000,57959646,56128956,54198845,49274373,48877306,47791317,42917319,27643098,22782608,22458971,23007856,22998200,23067566,23708875,23817768,23918368,23945041,24031810,24011161,24037272,23865367,23692063
28,Weighted Average Shares Outstanding Diluted,40000000,42727273,42352941,43600000,47812500,50888889,55573770,58589744,60416667,60550459,61057692,61418440,63090909,58628000,58041290,59799124,56090940,50998339,50369845,53382007,48044440,31756582,23406044,22787633,23579752,23634675,23408126,23948321,23966015,24048924,24074273,24118288,24075614,24096396,23865367,23767390
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067294/000106729402000012/0001067294-02-000012-index.html,https://www.sec.gov/Archives/edgar/data/1067294/000106729403000048/0001067294-03-000048-index.html,https://www.sec.gov/Archives/edgar/data/1067294/000106729404000031/0001067294-04-000031-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1067294/000100579407000490/0001005794-07-000490-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579408000313/0001005794-08-000313-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579409000182/0001005794-09-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579410000170/0001005794-10-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036111046998/0001140361-11-046998-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036112041343/0001140361-12-041343-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036113037045/0001140361-13-037045-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036114036434/0001140361-14-036434-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036115036053/0001140361-15-036053-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036116080733/0001140361-16-080733-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036117036195/0001140361-17-036195-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036118039529/0001140361-18-039529-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036119017413/0001140361-19-017413-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036120021571/0001140361-20-021571-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036121032472/0001140361-21-032472-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11200000,5100000,1600000,1000000,2300000,8700000,1600000,38600000,13100000,48100000,29000000,64900000,62600000,18300000,13900000,11800000,15100000,14400000,28800000,17200000,89562000,14200000,12000000,11609000,47700000,52300000,152000000,121700000,119400000,265455000,150966000,161001000,114656000,36884000,436996000,144593000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89100,- -,- -
33,Cash and Short-Term Investments,11200000,5100000,1600000,1000000,2300000,8700000,1600000,38600000,13100000,48100000,29000000,64900000,62600000,18300000,13900000,11800000,15100000,14400000,28800000,17200000,89562000,14200000,12000000,11609000,47700000,52300000,152000000,121700000,119400000,265455000,150966000,161001000,114656000,36973100,436996000,144593000
34,Net Receivables,500000,200000,300000,1000000,500000,1800000,1700000,2400000,3000000,3200000,2800000,4800000,5200000,8900000,11600000,10200000,8200000,9000000,9800000,13700000,14629000,11800000,20400000,16808000,13500000,20200000,14600000,15900000,25700000,18050000,35573000,22381000,19496000,32206000,49009000,48495000
35,Inventory,3900000,6800000,7500000,9400000,12600000,15700000,23200000,28400000,42000000,51500000,61500000,73300000,91600000,100500000,107400000,116600000,124700000,136000000,141800000,142800000,138176000,144400000,156000000,137424000,144100000,141500000,143300000,146700000,165400000,153058000,152308000,156367000,156253000,154958000,139091000,138320000
36,Other Current Assets,100000,200000,400000,19000000,3500000,59100000,49600000,65900000,69800000,17600000,13100000,6400000,5400000,10500000,11100000,16600000,23500000,16700000,22600000,16800000,27729000,29900000,32200000,32484000,31000000,31900000,27400000,17900000,19100000,20261000,16893000,19108000,16347000,18242900,17916000,22188000
37,Total Current Assets,15700000,12300000,9800000,30400000,18900000,85300000,76100000,135300000,127900000,120400000,106400000,149400000,164800000,138200000,144000000,155200000,171500000,176100000,203000000,190500000,270096000,200300000,220600000,198325000,236300000,245900000,337300000,302200000,329600000,456824000,355740000,358857000,306752000,242380000,643012000,353596000
38,PP&E,40700000,54700000,74200000,94100000,125500000,178700000,236700000,305600000,386000000,479500000,568600000,678200000,812300000,1020100000,1075100000,955000000,984800000,1040300000,1118600000,1218300000,1270084000,1019000000,1045200000,1001776000,1004100000,1009200000,1022400000,1026400000,1043300000,1052636000,1080189000,1098097000,1149135000,1168965000,1822010000,1954327000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111200000,107300000,92900000,92900000,92900000,93700000,93700000,93724000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4690000,4690000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20960000,21285000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111200000,107300000,92900000,92900000,92900000,93700000,93700000,93724000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25650000,25975000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,89100000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29900000,38700000,35700000,42500000,77700000,98800000,107300000,- -,62400000,54300000,- -,57100000,68300000,63200000,56500000,57700000,- -,53726000,65421000,52161000,44119000,- -,- -
44,Other Non-Current Assets,3200000,600000,500000,700000,800000,700000,700000,28200000,16200000,4600000,1400000,1100000,15000000,-21600000,-30100000,-25900000,-28000000,-60700000,-78400000,-76500000,47393000,-16700000,-6400000,45080000,-5400000,-12500000,-3900000,3200000,1600000,66748000,8009000,-433000,19307000,36661000,53586000,57796000
45,Total Non-Current Assets,43900000,55300000,74700000,94800000,126300000,179400000,237400000,333800000,402200000,484100000,570000000,679300000,827300000,1139600000,1191000000,1057700000,1092200000,1150200000,1232700000,1342800000,1411201000,1064700000,1093100000,1046856000,1055800000,1065000000,1081700000,1086100000,1102600000,1119384000,1141924000,1163085000,1220603000,1338845000,1901246000,2038098000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,59600000,67600000,84500000,125200000,145200000,264700000,313500000,469100000,530100000,604500000,676400000,828700000,992100000,1277800000,1335000000,1212900000,1263700000,1326300000,1435700000,1533300000,1681297000,1265000000,1313700000,1245181000,1292100000,1310900000,1419000000,1388300000,1432200000,1576208000,1497664000,1521942000,1527355000,1581225000,2544258000,2391694000
48,Accounts Payable,- -,- -,- -,- -,9400000,15200000,16000000,23100000,25800000,29800000,30600000,27400000,38200000,67300000,62400000,64900000,85500000,82200000,53300000,97700000,83846000,93100000,93100000,92168000,116200000,99700000,101300000,110600000,98500000,133117000,132493000,118395000,122332000,132221000,103504000,135176000
49,Short-Term Debt,500000,400000,500000,1300000,1300000,1400000,1200000,3900000,3600000,4100000,4100000,3700000,2700000,- -,- -,- -,- -,100000,189000,210000,8116000,8188000,8714000,7422000,6765000,123000,- -,- -,25000000,- -,- -,- -,- -,- -,81696000,50575000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32081000,40611000,32335000,45529000,35076000,36261000,39061000,37561000,36725000,37069000,38196000,31177000,48031000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21413000,12553000,18075000,22528000,22341000,32630000,37696000,44098000,49825000,58980000,64028000,72376000,76292000,81734000,94762000,93157000
52,Other Current Liabilities,7600000,10700000,14900000,17200000,14000000,18400000,26300000,32200000,37800000,42900000,48400000,57700000,63100000,76700000,111200000,132300000,147600000,164400000,188711000,197390000,182306000,160859000,144811000,142844000,164194000,134647000,180104000,161402000,171075000,253514000,172296000,185057000,165995000,178519000,171094000,186354000
53,Total Current Liabilities,8100000,11100000,15400000,18500000,24700000,35000000,43500000,59200000,67200000,76800000,83100000,88800000,104000000,144000000,173600000,197200000,233100000,246700000,242200000,295300000,295681000,274700000,264700000,264962000,309500000,267100000,319100000,316100000,344400000,445611000,368817000,375828000,364619000,392474000,451056000,465262000
54,Long-Term Debt,9100000,8600000,14100000,17300000,16000000,44500000,43300000,38400000,25200000,21100000,17000000,63300000,60600000,312900000,293800000,125000000,194500000,186700000,185100000,212200000,978382000,756300000,779100000,638040000,573800000,550100000,525000000,400000000,375000000,400000000,400000000,400000000,400000000,400000000,1542630000,1075558000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2300000,3400000,3700000,4600000,4500000,4700000,4500000,4700000,7900000,10600000,10000000,16200000,23700000,- -,- -,- -,- -,- -,- -,- -,104952000,- -,- -,55655000,- -,68339000,63159000,56496000,57709000,50031000,53726000,65421000,52161000,44119000,27718000,98626000
57,Other Non-Current Liabilities,- -,- -,-100000,100000,100000,100000,100000,- -,- -,-100000,100000,- -,400000,29900000,38700000,44600000,53100000,98000000,135100000,155800000,- -,129900000,177200000,150902000,217200000,157361000,129041000,131704000,126491000,142298000,148678000,136186000,128794000,139922000,104465000,88615000
58,Total Non-Current Liabilities,11400000,12000000,17700000,22000000,20600000,49300000,47900000,43100000,33100000,31600000,27100000,79500000,84700000,342800000,332500000,169600000,247600000,284700000,320200000,368000000,1083334000,886200000,956300000,844597000,791000000,775800000,717200000,588200000,559200000,592329000,602404000,601607000,580955000,584041000,1674813000,1262799000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,674931000,798756000
61,Total Liabilities,19500000,23100000,33100000,40500000,45300000,84300000,91400000,102300000,100300000,108400000,110200000,168300000,188700000,486800000,506100000,366800000,480700000,531400000,562400000,663300000,1379015000,1160900000,1221000000,1109559000,1100500000,1042900000,1036300000,904300000,903600000,1037940000,971221000,977435000,945574000,976515000,2125869000,1728061000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,600000,600000,500000,500000,500000,500000,309000,200000,200000,227000,200000,200000,200000,200000,200000,240000,240000,241000,240000,241000,237000,235000
64,Retained Earnings,13500000,17700000,24400000,34700000,49300000,71400000,104500000,149100000,205800000,270700000,333000000,418000000,520900000,590100000,648500000,696500000,782500000,794400000,858900000,869500000,302245000,112900000,119500000,167245000,234000000,298800000,374900000,438700000,493200000,485687000,488481000,492836000,532807000,561650000,438498000,663398000
65,Other Comprehensive Income/Loss,-1800000,-13900000,-17900000,-22300000,-27700000,-33000000,-44200000,-57000000,-74200000,-97300000,-123700000,-153300000,-182000000,-227900000,-274700000,-305500000,-344200000,-377600000,-383700000,-445800000,-4529000,-8988000,-27653000,-44822000,-48849000,-38032000,-21158000,-6612000,-4733000,-3725000,-13740000,-4229000,4685000,-6913000,-20346000,- -
66,Other Total Stockholders Equity,28400000,40700000,44900000,72300000,78300000,142000000,161800000,274700000,298200000,322700000,356900000,395700000,464500000,428200000,454600000,454500000,344200000,377596000,404547000,445788000,- -,11000,704000,12972000,6266000,7066000,28733000,51738000,39974000,56066000,51462000,55659000,44049000,49732000,- -,- -
67,Total Stockholders Equity,40100000,44500000,51400000,84700000,99900000,180400000,222100000,366800000,429800000,496100000,566200000,660400000,803400000,791000000,829000000,846100000,783000000,794896000,880247000,869988000,302282000,104123000,92751000,135622000,191617000,268034000,382675000,484026000,528641000,538268000,526443000,544507000,581781000,604710000,418389000,663633000
68,Total Liabilities And Stockholders Equity,59600000,67600000,84500000,125200000,145200000,264700000,313500000,469100000,530100000,604500000,676400000,828700000,992100000,1277800000,1335100000,1212900000,1263700000,1326296000,1442647000,1533288000,1681297000,1265023000,1313751000,1245181000,1292117000,1310934000,1418975000,1388326000,1432241000,1576208000,1497664000,1521942000,1527355000,1581225000,2544258000,2391694000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,4000,-6947000,12000,- -,-23000,-51000,- -,-17000,-34000,25000,-26000,-41000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,59600000,67600000,84500000,125200000,145200000,264700000,313500000,469100000,530100000,604500000,676400000,828700000,992100000,1277800000,1335000000,1212900000,1263700000,1326300000,1435700000,1533300000,1681297000,1265000000,1313700000,1245181000,1292100000,1310900000,1419000000,1388300000,1432200000,1576208000,1497664000,1521942000,1527355000,1581225000,2544258000,2391694000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067294/000106729402000012/0001067294-02-000012-index.html,https://www.sec.gov/Archives/edgar/data/1067294/000106729403000048/0001067294-03-000048-index.html,https://www.sec.gov/Archives/edgar/data/1067294/000106729404000031/0001067294-04-000031-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1067294/000100579407000490/0001005794-07-000490-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579408000313/0001005794-08-000313-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579409000182/0001005794-09-000182-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000100579410000170/0001005794-10-000170-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036111046998/0001140361-11-046998-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036112041343/0001140361-12-041343-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036113037045/0001140361-13-037045-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036114036434/0001140361-14-036434-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036115036053/0001140361-15-036053-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036116080733/0001140361-16-080733-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036117036195/0001140361-17-036195-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036118039529/0001140361-18-039529-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036119017413/0001140361-19-017413-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036120021571/0001140361-20-021571-index.htm,https://www.sec.gov/Archives/edgar/data/1067294/000114036121032472/0001140361-21-032472-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,10900000,15300000,22900000,33900000,45700000,58000000,66000000,63500000,86600000,104100000,70200000,59000000,49200000,91800000,106500000,111900000,126600000,116291000,162100000,65600000,65926000,85300000,85200000,103100000,117300000,132100000,163903000,189299000,201899000,247620000,223401000,-32475000,254513000
74,Depreciation and Amortization,- -,- -,- -,5700000,6700000,9300000,12500000,15800000,20400000,26400000,31400000,35700000,43400000,53800000,65218000,64902000,62759000,64376000,63868000,67321000,72278000,56908000,57689000,59286000,61024000,62788000,64467000,66120000,68389000,72955000,78223000,86319000,93692000,107537000,118178000,121339000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,100000,-200000,200000,-100000,400000,-2000000,15500000,6000000,3900000,6944000,-5293000,1745000,39254000,14384000,13282000,-7152000,-12490000,150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6946000,13193000,9796000,14420000,17839000,7924000,16210000,13202000,8458000,6977000,8181000,6386000,8729000
77,Change in Working Capital,- -,- -,- -,500000,-17700000,56100000,-17700000,43500000,-15400000,-17100000,-20300000,37300000,200000,-66600000,-23800000,-12400000,-19600000,-9000000,31400000,-65600000,79215000,-48815000,30300000,-22537000,-6563000,52000000,39400000,-32100000,-900000,26013000,-24290000,-3894000,-40896000,-92227000,342050000,74299000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754000,-800000,1251000,-2330000,-1333000,-6762000,4654000,-1339000,1273000,-1380000,-3261000,3124000,-7016000
79,Inventory,- -,- -,- -,-1800000,-3300000,-3100000,-7400000,-5200000,-13600000,-9500000,-10000000,-11800000,-17900000,-8100000,-6922000,-9213000,-8103000,-11327000,-5800000,-984000,4628000,-16113000,-11538000,18530000,-6655000,2532000,-1720000,-3420000,-18739000,12368000,750000,-4059000,114000,1295000,16094000,771000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1021000,24050000,-16539000,1592000,9366000,-12160000,34640000,-624000,-14098000,3937000,9889000,-30593000,31672000
81,Other Working Capital,- -,- -,- -,11900000,-5800000,50300000,32600000,76100000,60700000,43600000,23300000,60600000,60800000,-5800000,-29600000,-42000000,-61600000,-70600000,-39200000,-104800000,-25585000,-74400000,-44100000,-66637000,-73200000,-21200000,18200000,-13900000,-14800000,11213000,-13077000,-16971000,-57867000,-150094000,191956000,73352000
