,https://roic.ai/company/CIEN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),71000000,40200000,-2100000,39187000,87333000,110735000,1256000,1121000,1320000,1381000,2944000,2645000,-1324000,1941000,7673000,9322000,5240000,13964000,12097000,14134000,-1105827000,493471000,59756000,94670000,-37445000
23,Net Income,112900000,53200000,-3900000,81387000,-1794062000,-1597499000,-386517000,-789464000,-435699000,595000,82788000,38894000,-581154000,-333514000,-195521000,-144021000,-85431000,-40637000,11667000,72584000,1261953000,-344690000,253434000,361291000,500196000
24,Net Income ratio,0.3020,0.1047,-0.0081,0.0948,-1.1190,-4.4233,-1.3651,-2.6429,-1.0198,0.0011,0.1062,0.0431,-0.8905,-0.2697,-0.1122,-0.0785,-0.0410,-0.0178,0.0048,0.0279,0.4504,-0.1114,0.0709,0.1023,0.1381
25,EPS,3.81,1.82,-0.10,2.03,-40.24,-30.58,-6.09,-10.57,-5.32,0.01,0.97,0.44,-6.37,-3.58,-2.04,-1.45,-0.83,-0.38,0.10,0.52,8.89,-2.40,1.63,2.34,3.22
26,EPS Diluted,3.81,1.71,-0.10,1.89,-40.24,-30.58,-6.09,-10.57,-5.32,0.01,0.87,0.42,-6.37,-3.58,-2.04,-1.45,-0.83,-0.38,0.10,0.51,7.53,-2.49,1.61,2.32,3.22
27,Weighted Average Shares Outstanding,29656037,29080435,38160301,40243640,44558363,52187365,63832858,74515776,82194222,83840000,85525000,89146000,91167000,93103000,95854000,99341000,102350000,105783000,118416000,138312000,141997000,143738000,155720000,154287000,155271000
28,Weighted Average Shares Outstanding Diluted,29656037,30836391,38160301,42821699,44558363,52187365,63832858,74515776,82194222,85011000,99604000,110605000,91167000,93103000,95854000,99341000,102350000,105783000,120101000,150704000,169919000,143738000,157612000,155955000,156744000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/936395/0000950133-97-004148-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/936395/000095013300004793/0000950133-00-004793-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095013301503553/w55577e10-k.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013302004070/w66669e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013303004259/w92366e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013304004551/w69403e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013306000075/w16344e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013307000092/w28680e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013307005124/0000950133-07-005124-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095013308004117/0000950133-08-004117-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095012309072656/0000950123-09-072656-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095012310115852/0000950123-10-115852-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639511000009/0000936395-11-000009-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639512000075/0000936395-12-000075-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639513000057/0000936395-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639514000063/0000936395-14-000063-index.html,- -,https://www.sec.gov/Archives/edgar/data/936395/000093639516000128/0000936395-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639517000064/0000936395-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639518000048/0000936395-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639519000056/0000936395-19-000056-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639520000042/0000936395-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/936395/000093639521000054/0000936395-21-000054-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,263100000,227400000,143400000,143187000,397890000,377189000,309665000,202623000,372781000,220164000,892061000,550669000,485705000,688687000,541896000,642444000,346487000,586720000,790971000,777615000,640513000,745423000,904045000,1088624000,1422546000
32,Short-Term Investments,- -,- -,119000000,95131000,902594000,1130414000,796809000,753251000,579531000,628393000,822185000,366336000,563183000,- -,- -,50057000,124979000,140205000,135107000,275248000,279133000,148981000,109940000,150667000,181483000
33,Cash and Short-Term Investments,263100000,227400000,262400000,238318000,1300484000,1507603000,1106474000,955874000,952312000,848557000,1714246000,917005000,1048888000,688687000,541896000,692501000,471466000,726925000,926078000,1052863000,919646000,894404000,1013985000,1239291000,1604029000
34,Net Receivables,63200000,85500000,144300000,248950000,395063000,28680000,43600000,45878000,72786000,118642000,112848000,142414000,118251000,343582000,417509000,354185000,488630000,529664000,579249000,584373000,633887000,812844000,837036000,827229000,1004721000
35,Inventory,41100000,70900000,79600000,141279000,254968000,47023000,44995000,47614000,49333000,106085000,102618000,93452000,88086000,261619000,230076000,260098000,249103000,254660000,191162000,211251000,267143000,262751000,345049000,344379000,374265000
36,Other Current Assets,11200000,44200000,46700000,184467000,240574000,54351000,34334000,29906000,27491000,24902000,39047000,31915000,50537000,147680000,143357000,108906000,186603000,181941000,167721000,164705000,185635000,172603000,185732000,200260000,205891000
37,Total Current Assets,378600000,428000000,533000000,813014000,2191089000,1637657000,1229403000,1079272000,1101922000,1098186000,1968759000,1184786000,1305762000,1441568000,1332838000,1415690000,1395802000,1693190000,1864210000,2013192000,2006311000,2142602000,2381802000,2611159000,3188906000
38,PP&E,67400000,123400000,125300000,189231000,331490000,196951000,114930000,51252000,28090000,29427000,46671000,59967000,61868000,120294000,122558000,123580000,119729000,126632000,191973000,288406000,308465000,292067000,286884000,329403000,329253000
39,Goodwill,- -,- -,- -,- -,178891000,212500000,- -,- -,- -,232015000,232015000,455673000,- -,- -,- -,- -,- -,- -,256434000,266974000,267458000,297968000,297937000,310847000,311645000
40,Intangible Assets,- -,16300000,12600000,9049000,47874000,62457000,444447000,616630000,352339000,91274000,67144000,92249000,60820000,426412000,331635000,257137000,185828000,128677000,202673000,146711000,100997000,148225000,112781000,96647000,65314000
41,Intangible Assets,- -,16300000,12600000,9049000,226765000,274957000,444447000,616630000,352339000,323289000,299159000,547922000,60820000,426412000,331635000,257137000,185828000,128677000,459107000,413685000,368455000,446193000,410718000,407494000,376959000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,156000000,351000000,34000000,156000000,8031000,- -,50264000,420000,17771000,50057000,95105000,90172000,55783000,67026000,20741000,95634000,78616000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1155104000,745039000,714942000,647805000,800180000
44,Other Non-Current Assets,1200000,4700000,6900000,15907000,567957000,641457000,589385000,389900000,36878000,37811000,67684000,75919000,67902000,129819000,114123000,84316000,83640000,74076000,84656000,76987000,57593000,63596000,78259000,89422000,91313000
45,Total Non-Current Assets,68600000,144400000,144800000,214187000,1126212000,1113365000,1148762000,1057782000,573307000,741527000,447514000,839808000,198621000,676525000,618580000,465453000,406968000,379442000,830841000,869250000,1945400000,1613921000,1511544000,1569758000,1676321000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,447200000,572400000,677800000,1027201000,3317301000,2751022000,2378165000,2137054000,1675229000,1839713000,2416273000,2024594000,1504383000,2118093000,1951418000,1881143000,1802770000,2072632000,2695051000,2882442000,3951711000,3756523000,3893346000,4180917000,4865227000
48,Accounts Payable,20400000,25700000,34400000,70250000,68735000,39841000,44402000,31509000,43868000,39277000,55389000,44761000,53104000,200617000,157116000,179704000,254849000,209777000,222140000,235942000,260098000,340582000,344819000,291904000,356176000
49,Short-Term Debt,- -,- -,1000000,712000,995000,948000,- -,- -,- -,- -,542262000,- -,- -,- -,- -,216210000,- -,197851000,7423000,238879000,356065000,10547000,9764000,28801000,29182000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13577000
51,Deferred Revenue,- -,- -,- -,- -,29480000,15388000,14473000,21566000,27817000,19637000,33025000,36767000,40565000,75334000,99373000,79516000,88550000,104688000,126111000,109009000,102418000,111134000,111381000,108700000,118007000
52,Other Current Liabilities,33200000,36200000,70100000,102377000,155172000,167641000,127324000,105504000,106779000,102689000,99716000,97811000,105160000,193994000,197004000,209540000,271656000,268820000,311360000,308032000,319162000,500740000,379976000,331296000,405665000
53,Total Current Liabilities,53600000,61900000,105500000,173339000,254382000,223818000,186199000,158579000,178464000,161603000,730392000,179339000,198829000,469945000,453493000,684970000,615055000,781136000,667034000,891862000,1037743000,963003000,845940000,760701000,909030000
54,Long-Term Debt,- -,- -,4900000,4882000,869865000,848625000,730428000,690000000,648752000,842262000,800000000,798000000,798000000,1442705000,1442364000,1225806000,1212019000,1274791000,1285433000,1025991000,583688000,686450000,680406000,676356000,774502000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35368000,29715000,24425000,27560000,23620000,40930000,62962000,73854000,82589000,58323000,45492000,49663000,57457000
56,Deferred Tax Liabilities,28200000,34100000,37000000,39145000,64072000,151310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1800000,1500000,-100000,- -,- -,- -,130721000,134053000,112646000,82222000,35727000,48306000,16348000,16435000,17263000,31779000,34753000,45390000,58746000,124394000,111349000,119413000,148747000,184600000,104220000
58,Total Non-Current Liabilities,30000000,35600000,41800000,44027000,933937000,999935000,861149000,824053000,761398000,924484000,835727000,846306000,849716000,1488855000,1484052000,1285145000,1270392000,1361111000,1407141000,1224239000,777626000,864186000,874645000,910619000,936179000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,61312000,- -,- -,32785000,- -,- -,8554000,16435000,- -,- -,- -,7788000,18717000,26619000,77179000,71792000,68048000,144851000,126399000
61,Total Liabilities,83600000,97500000,147300000,217366000,1188319000,1223753000,1047348000,982632000,939862000,1086087000,1566119000,1025645000,1048545000,1958800000,1937545000,1970115000,1885447000,2142247000,2074175000,2116101000,1815369000,1827189000,1720585000,1671320000,1845209000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1400000,2865000,3280000,4328000,4732000,5717000,5803000,849000,868000,905000,920000,941000,974000,1006000,1037000,1070000,1356000,1398000,1430000,1543000,1544000,1546000,1549000
64,Retained Earnings,117500000,179500000,169300000,250646000,-1543416000,-3140915000,-3527432000,-4316896000,-4752595000,-4752000000,-4669212000,-4630179000,-5211333000,-5544847000,-5740368000,-5884389000,-5969820000,-6010457000,-5998790000,-5926206000,-4664253000,-4947652000,-4644413000,-4283122000,-3785132000
65,Other Comprehensive Income/Loss,-11500000,-41100000,-88700000,-147638000,-249195000,4974000,-7665000,-16574000,-7454000,-1076000,-1243000,-1275000,1223000,1062000,31000,-3354000,-7774000,-14668000,-22126000,-24329000,-11017000,-5780000,-22084000,-35358000,439000
66,Other Total Stockholders Equity,257600000,336500000,448500000,703962000,3918313000,4658882000,4861182000,5482175000,5489613000,5505853000,5519741000,5629498000,5665028000,5702137000,5753236000,5797765000,5893880000,5954440000,6640436000,6715478000,6810182000,6881223000,6837714000,6826531000,6803162000
67,Total Stockholders Equity,363600000,474900000,530500000,809835000,2128982000,1527269000,1330817000,1154422000,735367000,753626000,850154000,998949000,455838000,159293000,13873000,-88972000,-82677000,-69615000,620876000,766341000,2136342000,1929334000,2172761000,2509597000,3020018000
68,Total Liabilities And Stockholders Equity,447200000,572400000,677800000,1027201000,3317301000,2751022000,2378165000,2137054000,1675229000,1839713000,2416273000,2024594000,1504383000,2118093000,1951418000,1881143000,1802770000,2072632000,2695051000,2882442000,3951711000,3756523000,3893346000,4180917000,4865227000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,447200000,572400000,677800000,1027201000,3317301000,2751022000,2378165000,2137054000,1675229000,1839713000,2416273000,2024594000,1504383000,2118093000,1951418000,1881143000,1802770000,2072632000,2695051000,2882442000,3951711000,3756523000,3893346000,4180917000,4865227000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/936395/0000950133-97-004148-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/936395/000095013300004793/0000950133-00-004793-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095013301503553/w55577e10-k.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013302004070/w66669e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013303004259/w92366e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013304004551/w69403e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013306000075/w16344e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013307000092/w28680e10vk.htm,https://www.sec.gov/Archives/edgar/data/936395/000095013307005124/0000950133-07-005124-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095013308004117/0000950133-08-004117-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095012309072656/0000950123-09-072656-index.html,https://www.sec.gov/Archives/edgar/data/936395/000095012310115852/0000950123-10-115852-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639511000009/0000936395-11-000009-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639512000075/0000936395-12-000075-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639513000057/0000936395-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639514000063/0000936395-14-000063-index.html,- -,https://www.sec.gov/Archives/edgar/data/936395/000093639516000128/0000936395-16-000128-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639517000064/0000936395-17-000064-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639518000048/0000936395-18-000048-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639519000056/0000936395-19-000056-index.html,https://www.sec.gov/Archives/edgar/data/936395/000093639520000042/0000936395-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/936395/000093639521000054/0000936395-21-000054-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,112900000,53200000,-3900000,81387000,-1794062000,-1597499000,-386517000,-789464000,-435699000,595000,82788000,38894000,-581154000,-333514000,-195521000,-144021000,-85431000,-40637000,11667000,72584000,1261953000,-344690000,253434000,361291000,500196000
74,Depreciation and Amortization,10200000,33800000,52200000,64620000,2049622000,711658000,146388000,133845000,113943000,44628000,27862000,56555000,53362000,169807000,156081000,133596000,127007000,112767000,135767000,141692000,122902000,110020000,122712000,132527000,132266000
75,Deferred Income Tax,- -,-6200000,- -,-117644000,-6631000,186861000,- -,- -,- -,- -,- -,1640000,-883000,700000,183000,- -,- -,- -,- -,- -,-1126732000,463631000,19865000,64339000,-156469000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34438000,35560000,37930000,32394000,37720000,42930000,55340000,51993000,48360000,52972000,59736000,67758000,84336000
77,Change in Working Capital,-63600000,41100000,61400000,212175000,1297032000,-522868000,-370635000,-122511000,2765000,13125000,301784000,-232920000,101486000,-135310000,-92278000,-148625000,50027000,131307000,285122000,-75846000,-152762000,211031000,356263000,314596000,-68151000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20097000,-218196000,-75623000,70366000,-145421000,-33164000,-37297000,-26074000,-66123000,-168357000,65712000,-17299000,-174377000
79,Inventory,-35500000,-39400000,-15200000,-76693000,-177482000,-27807000,9216000,962000,9216000,-65764000,-8713000,3713000,-10353000,-40957000,14209000,-53460000,-8943000,-37889000,46898000,-53000000,-91567000,-27445000,-112941000,-25044000,-47567000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12610000,115312000,-59837000,-10505000,7153000,33897000,85798000,27740000,-117931000,162134000
81,Other Working Capital,325000000,366100000,427500000,639675000,1936707000,1413839000,1043204000,920693000,923458000,936583000,1238367000,1005447000,1106933000,971623000,879345000,730720000,780747000,912054000,1197176000,1121330000,968568000,1179599000,1535862000,1850458000,16822000
82,Other Non-Cash Items,20600000,-86400000,-92000000,-181500000,-1388971000,1196344000,369606000,532695000,88721000,-137741000,-303692000,253450000,400172000,33747000,3120000,233745000,-84645000,-156551000,-225784000,99097000,81161000,-263703000,-398870000,-446857000,49468000
83,Cash Provided by Operating Activities,80100000,35500000,17700000,59038000,156990000,-25504000,-241158000,-245435000,-230270000,-79393000,108742000,117619000,7421000,-229010000,-90485000,107089000,44678000,89816000,262112000,289520000,234882000,229261000,413140000,493654000,541646000
84,CAPEX,-66600000,-86400000,-46800000,-123947000,-238544000,-66330000,-29544000,-32999000,-29544000,-17760000,-32105000,-29998000,-24114000,-51207000,-52367000,-48098000,-43814000,-48216000,-62109000,-107185000,-94600000,-67616000,-62579000,-82667000,-79550000
85,Acquisitions Net,- -,- -,- -,- -,54101000,286899000,-29668000,- -,- -,- -,- -,-210016000,- -,-693247000,- -,- -,- -,- -,37212000,-32000000,- -,-82670000,-2667000,-28300000,4678000
86,Purchases of Investments,- -,-93900000,-274900000,-269149000,-1714077000,-1521479000,-1064993000,-696344000,-1049993000,-1089461000,-864193000,-571511000,-1214218000,-88112000,-49892000,- -,-184864000,-255237000,-223190000,-387697000,-301848000,-288591000,-159425000,-223196000,-172778000
87,Sales/Maturities of Investments,- -,77900000,171900000,289927000,420885000,1547516000,1426756000,897738000,1414808000,851084000,989705000,901433000,1168256000,633672000,6544000,524000,95479000,195000000,205000000,230612000,335075000,419494000,248748000,113921000,156933000
88,Other Investing Activites,- -,-2100000,100000,- -,-13005000,-10000000,- -,2314000,-43608000,4552000,-13277000,1340000,-4116000,- -,27145000,35597000,2338000,2060000,-40000,11000,-54000,117000,- -,- -,- -
89,Cash Used for Investing Activites,-66600000,-104500000,-149700000,-103169000,-1490640000,236606000,302551000,170709000,291663000,-251585000,80130000,91248000,-74192000,-198894000,-68570000,-11977000,-130861000,-106393000,-43127000,-296259000,-61427000,-19266000,24077000,-220242000,-90717000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-76065000,- -,-1895000,-219545000,-3659000,-37905000,-272082000,-330741000,-309807000,-121587000,-7901000,-9933000
91,Common Stock Issued,228600000,28400000,11300000,43977000,907026000,15140000,13798000,16780000,13798000,27987000,36835000,5776000,1107000,1570000,13202000,12167000,15898000,17663000,30275000,23091000,20412000,23127000,22947000,28068000,28457000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28457000,-42500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115738000,-179135000,-107007000,-135359000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1500000,-600000,13500000,-99000,681327000,-246943000,-142715000,-49096000,-142715000,193600000,488250000,-555341000,- -,704699000,- -,-2332000,-3692000,244523000,-421000,244763000,-722000,303189000,-1191000,-382000,- -
95,Cash Used/Provided by Financing Activities,227100000,27800000,24800000,43878000,1588353000,-231803000,-128917000,-32316000,-128917000,193130000,482585000,-549565000,1107000,630204000,13202000,7940000,-207339000,258527000,-8051000,-4228000,-311051000,-99229000,-278966000,-87222000,-116835000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440000,-694000,700000,682000,-938000,-2504000,-2435000,-1717000,-6683000,-2389000,494000,-5856000,476000,-1643000,-198000
97,Net Change In Cash,227100000,27800000,-107300000,-253000,254703000,-20701000,-67524000,-107042000,-67524000,-137848000,671897000,-341392000,-64964000,202982000,-146791000,100548000,-295957000,240233000,204251000,-13356000,-137102000,104910000,158727000,184547000,333896000
98,Cash at the End of Period,- -,- -,143400000,143187000,397890000,377189000,309665000,202623000,309665000,220164000,892061000,550669000,485705000,688687000,541896000,642444000,346487000,586720000,790971000,777615000,640513000,745423000,904161000,1088708000,1422604000
99,Cash at the Beginning of Period,22600000,268600000,250700000,143440000,143187000,397890000,377189000,309665000,377189000,358012000,220164000,892061000,550669000,485705000,688687000,541896000,642444000,346487000,586720000,790971000,777615000,640513000,745434000,904161000,1088708000
100,Free Cash Flow,13500000,-50900000,-29100000,-64909000,-81554000,-91834000,-270702000,-278434000,-259814000,-97153000,76637000,87621000,-16693000,-280217000,-142852000,58991000,864000,41600000,200003000,182335000,140282000,161645000,350561000,410987000,462096000
