,https://roic.ai/company/VFC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),132700000,120100000,134100000,101300000,107700000,62000000,101900000,138700000,153600000,181100000,127000000,- -,209000000,235000000,243000000,164000000,125000000,- -,197000000,237418000,252278000,242000000,292324000,- -,245000000,196215000,274350000,335737000,352371000,- -,304861000,243064000,695286000,32969000,268400000,191660000,101566000
23,Net Income,139400000,129400000,179700000,173700000,176000000,81100000,161300000,237000000,246400000,274500000,157000000,- -,300000000,351000000,388000000,260000000,138000000,- -,-155000000,474702000,506702000,534000000,591621000,- -,603000000,461000000,888089000,1086000000,1210000000,- -,1048000000,1074106000,614923000,252793000,1259792000,679449000,407869000
24,Net Income ratio,0.0941,0.0838,0.0698,0.0690,0.0695,0.0310,0.0546,0.0620,0.0570,0.0552,0.0310,- -,0.0584,0.0672,0.0708,0.0452,0.0250,- -,-0.0305,0.0784,0.0788,0.0859,0.0819,- -,0.0789,0.0639,0.0939,0.0998,0.1060,- -,0.0853,0.0894,0.0521,0.0830,0.1227,0.0648,0.0441
25,EPS,0.07,0.13,0.17,0.16,0.17,0.08,0.17,0.25,0.24,0.53,0.30,- -,0.58,0.69,0.79,0.56,0.30,- -,-0.37,1.07,1.14,1.21,1.34,- -,1.38,1.04,2.03,2.47,2.76,- -,2.42,2.82,1.54,0.64,3.19,1.72,1.05
26,EPS Diluted,0.07,0.13,0.17,0.16,0.17,0.08,0.17,0.24,0.23,0.51,0.30,- -,0.57,0.68,0.78,0.55,0.30,- -,-0.37,1.05,1.11,1.18,1.30,- -,1.35,1.03,2.00,2.42,2.71,- -,2.38,2.78,1.52,0.63,3.15,1.70,1.04
27,Weighted Average Shares Outstanding,497552000,540448000,544944000,544752000,463888000,456104000,461600000,476152000,515912000,516960000,509944000,- -,509168000,508550725,485299685,455424000,444514286,- -,437761074,439880000,444992070,442215768,441508209,- -,436936000,441556000,437148000,439292000,438657000,- -,432611000,416103000,399223000,395253000,395189000,395411000,389655000
28,Weighted Average Shares Outstanding Diluted,497552000,540448000,544944000,544752000,463888000,456104000,461600000,476152000,515912000,527414634,517468354,- -,521057269,519851852,496258065,463666968,444514286,- -,472655072,449283610,455014414,451584746,453349425,- -,445020000,446420000,445152000,447616000,446809000,- -,440153000,422081000,403559000,401276000,400496000,399936000,392121000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322097000612/0000893220-97-000612-index.html,- -,https://www.sec.gov/Archives/edgar/data/103379/000089322099000395/0000893220-99-000395-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322003000363/0000893220-03-000363-index.html,- -,https://www.sec.gov/Archives/edgar/data/103379/000089322006000503/w18296e10vk.htm,https://www.sec.gov/Archives/edgar/data/103379/000089322007000491/w30596e10vk.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322009000455/0000893220-09-000455-index.html,https://www.sec.gov/Archives/edgar/data/103379/000095012310020525/0000950123-10-020525-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312512088711/0001193125-12-088711-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312513079974/0001193125-13-079974-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312514069474/d647537d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/103379/000119312515075174/d838659d10k.htm,https://www.sec.gov/Archives/edgar/data/103379/000162828017002027/0001628280-17-002027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/103379/000010337919000006/0000103379-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/103379/000010337920000006/0000103379-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103379/000010337921000006/0000103379-21-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,59700000,84000000,- -,271000000,124000000,63000000,119000000,332000000,- -,496000000,485507000,296557000,343000000,321863000,- -,382000000,732000000,341228000,597000000,776000000,- -,972000000,1227862000,566075000,680762000,402226000,1369028000,815750000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,598806000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,59700000,84000000,- -,271000000,124000000,63000000,119000000,332000000,- -,496000000,485507000,296557000,343000000,321863000,- -,382000000,732000000,341228000,597000000,776000000,- -,972000000,1227862000,566075000,680762000,402226000,1369028000,1414556000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,613300000,630000000,- -,593000000,588000000,706000000,716000000,602000000,- -,588000000,751582000,764184000,810000000,970951000,- -,851000000,776000000,1120246000,1222000000,1360000000,- -,1276000000,1197678000,1422101000,1408587000,1375194000,1309232000,1298020000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,801300000,842000000,- -,731000000,775000000,954000000,1124000000,913000000,- -,831000000,973248000,1081080000,958000000,1138752000,- -,1152000000,959000000,1453645000,1354000000,1399000000,- -,1483000000,1569325000,1705171000,1861441000,1173102000,1293912000,1061839000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,76900000,112000000,- -,111000000,114000000,125000000,151000000,184000000,- -,160000000,168231000,223555000,467000000,213563000,- -,268000000,162000000,272825000,277000000,348000000,- -,455000000,298233000,698777000,732533000,1722935000,1054844000,1011455000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1551200000,1668000000,- -,1706000000,1601000000,1848000000,2110000000,2031000000,- -,2075000000,2378568000,2365376000,2578000000,2645129000,- -,2653000000,2629000000,3187944000,3450000000,3883000000,- -,4186000000,4293098000,4392124000,4683323000,4673457000,5027016000,4785870000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,767000000,750000000,- -,722000000,706000000,776000000,776000000,655000000,- -,567000000,572254000,564055000,593000000,651858000,- -,643000000,614000000,737451000,828000000,933000000,- -,942000000,939650000,1002700000,1011617000,876093000,2227920000,2450310000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,888000000,- -,864000000,814000000,952000000,1102000000,1016000000,- -,473000000,- -,- -,1031000000,1278163000,- -,1314000000,1368000000,2023460000,2010000000,2022000000,- -,1825000000,1736959000,1692644000,1693219000,1491684000,1156019000,2425427000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,911300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1671114000,1841350000,756000000,1488099000,- -,1413000000,1576000000,2958463000,3022000000,3124000000,- -,2434000000,2034874000,2322018000,2120110000,2153587000,2088766000,3294481000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,911300000,888000000,- -,864000000,814000000,952000000,1102000000,1016000000,- -,473000000,1671114000,1841350000,1787000000,2766262000,- -,2727000000,2944000000,4981923000,5032000000,5146000000,- -,4259000000,3771833000,4014662000,3813329000,3645271000,3244785000,5719908000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202537000,181416000,206244000,235191000,- -,243176000,205579000,214441000,214303000,219704000,143920000,194649000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,- -,43000000,- -,12000000,- -,- -,- -,- -,12476000,- -,14000000,25731000,- -,9000000,73000000,- -,367000000,- -,- -,- -,42231000,103601000,105493000,107997000,161371000,201237000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,106100000,82000000,- -,115000000,202000000,249000000,370000000,401000000,- -,388000000,369866000,400290000,494000000,357705000,- -,402000000,8463000,224392000,-250244000,117809000,- -,349824000,486896000,230974000,483245000,834263000,328239000,402055000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1784400000,1779000000,- -,1744000000,1722000000,1989000000,2248000000,2072000000,- -,1428000000,2625710000,2805695000,2888000000,3801556000,- -,3781000000,3842000000,6125182000,6183000000,6432000000,- -,5794000000,5446189000,5566378000,5627987000,5683328000,6106235000,8968159000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3335600000,3447000000,- -,3450000000,3323000000,3837000000,4358000000,4103000000,- -,3503000000,5004278000,5171071000,5466000000,6446685000,- -,6434000000,6471000000,9313126000,9633000000,10315000000,- -,9980000000,9739287000,9958502000,10311310000,10356785000,11133251000,13754029000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,291100000,277000000,- -,320000000,301000000,341000000,340000000,252000000,- -,298000000,369937000,451900000,386000000,509879000,- -,435000000,373000000,637116000,563000000,639000000,- -,691000000,664644000,755569000,583004000,489600000,407021000,463208000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,323900000,230000000,- -,18000000,24000000,245000000,147000000,78000000,- -,61696000,444062000,172912000,157343000,135348000,- -,56902000,248632000,284430000,415432000,23977000,- -,25797000,279718000,735549000,1531371000,670318000,1582408000,416079000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95274000,112177000,154873000,226111000,- -,240473000,199494000,290676000,227590000,221409000,196742000,233997000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68905000,- -,- -,9835000,- -,- -,96339000,64959000,35725000,140515000,169321000,- -,154285000,- -,- -,- -,32175000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,297300000,361000000,- -,428000000,441000000,447000000,519000000,484000000,- -,446399000,558215000,527331000,461822000,489160000,- -,423759000,406409000,708761000,613053000,735702000,- -,748918000,841038000,1254082000,1024454000,1469511000,1034455000,1331190000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,912300000,868000000,- -,766000000,766000000,1033000000,1006000000,814000000,- -,875000000,1372214000,1152143000,1015000000,1134387000,- -,1012000000,1093000000,1666032000,1732000000,1568000000,- -,1620000000,1785400000,2745200000,3138829000,2661604000,3023884000,2210477000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,516700000,614000000,- -,519000000,516000000,522000000,905000000,904000000,- -,602000000,556639000,647728000,635000000,1144810000,- -,1142000000,938000000,1831781000,1429000000,1427000000,- -,1424000000,2039180000,2187789000,2212555000,2115884000,2608269000,6945610000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68560000,86141000,- -,90939000,- -,- -,- -,96276000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140515000,169321000,- -,154285000,220618000,58374000,40887000,68864000,- -,342712000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,152900000,133000000,- -,133000000,118000000,161000000,207000000,227000000,- -,331000000,562184000,562987000,551000000,590659000,- -,724000000,625000000,1290138000,1136925000,987538000,- -,1059776000,753168000,1247239000,1230943000,1115641000,2143764000,1199066000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,669600000,747000000,- -,652000000,634000000,683000000,1112000000,1131000000,- -,933000000,1118823000,1210715000,1186000000,1735469000,- -,1866000000,1563000000,3121919000,2775000000,2670000000,- -,2729000000,3012966000,3493402000,3484385000,3396665000,4752033000,8487388000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1373229000,1640456000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1581900000,1615000000,- -,1418000000,1400000000,1716000000,2118000000,1945000000,- -,1808000000,2491037000,2362858000,2201000000,2869856000,- -,2878000000,2656000000,4787951000,4507000000,4238000000,- -,4349000000,4798366000,6238602000,6623214000,6058269000,7775917000,10697865000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63000000,- -,64000000,121000000,119000000,112000000,110000000,- -,109000000,111388000,110108000,112000000,109798000,- -,110000000,110000000,110557000,110000000,110000000,- -,108000000,103503000,98955000,98578000,99206000,97203000,97985000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1112400000,1094000000,- -,1235000000,1038000000,1171000000,1334000000,1221000000,- -,833000000,1427283000,1585421000,1807000000,1786216000,- -,1973000000,2050000000,2520804000,2941000000,3432000000,- -,3232000000,2545458000,1023745000,846124000,1179601000,7309000,189534000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-636800000,40000000,- -,12000000,-72000000,-52000000,-176000000,-206000000,- -,-214141000,-113071000,-164802000,-123652000,61495000,- -,-276294000,-209742000,-421477000,-453895000,-211720000,- -,-702272000,-1041463000,-926140000,-864030000,-902075000,-930958000,-1009000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1278100000,635000000,- -,721000000,836000000,883000000,970000000,1033000000,- -,929989000,- -,1277486000,1469824000,- -,- -,1749186000,1864893000,2316107000,2528520000,2746758000,- -,2993154000,3333423000,- -,3607424000,3921784000,4183780000,3777645000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1753700000,1832000000,- -,2032000000,1923000000,2121000000,2240000000,2158000000,- -,1657848000,2513241000,2808213000,3265172000,3576829000,- -,3555892000,3815151000,4525991000,5125625000,6077038000,- -,5630882000,4940921000,3719900000,3688096000,4298516000,3357334000,3056164000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3335600000,3447000000,- -,3450000000,3323000000,3837000000,4358000000,4103000000,- -,3465848000,5004278000,5171071000,5466172000,6446685000,- -,6433892000,6471151000,9313942000,9632625000,10315038000,- -,9979882000,9739287000,9958502000,10311310000,10356785000,11133251000,13754029000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37152000,- -,- -,-172000,- -,- -,108000,-151000,-816000,375000,-38000,- -,118000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3335600000,3447000000,- -,3450000000,3323000000,3837000000,4358000000,4103000000,- -,3503000000,5004278000,5171071000,5466000000,6446685000,- -,6434000000,6471000000,9313126000,9633000000,10315000000,- -,9980000000,9739287000,9958502000,10311310000,10356785000,11133251000,13754029000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322097000612/0000893220-97-000612-index.html,- -,https://www.sec.gov/Archives/edgar/data/103379/000089322099000395/0000893220-99-000395-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322003000363/0000893220-03-000363-index.html,- -,https://www.sec.gov/Archives/edgar/data/103379/000089322006000503/w18296e10vk.htm,https://www.sec.gov/Archives/edgar/data/103379/000089322007000491/w30596e10vk.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/103379/000089322009000455/0000893220-09-000455-index.html,https://www.sec.gov/Archives/edgar/data/103379/000095012310020525/0000950123-10-020525-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312512088711/0001193125-12-088711-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312513079974/0001193125-13-079974-index.html,https://www.sec.gov/Archives/edgar/data/103379/000119312514069474/d647537d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/103379/000119312515075174/d838659d10k.htm,https://www.sec.gov/Archives/edgar/data/103379/000162828017002027/0001628280-17-002027-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/103379/000010337919000006/0000103379-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/103379/000010337920000006/0000103379-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/103379/000010337921000006/0000103379-21-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,176000000,81100000,161300000,237000000,246400000,274500000,157000000,- -,300000000,351000000,388000000,260000000,138000000,- -,-155000000,474702000,506702000,534000000,591621000,- -,603000000,461000000,888089000,1086000000,1210000000,- -,1048000000,1074106000,614923000,252793000,1259792000,679449000,407869000
74,Depreciation and Amortization,- -,- -,- -,- -,91000000,97900000,91000000,108300000,125800000,158500000,167700000,- -,160500000,156300000,161400000,173422000,168972000,- -,109674000,140717000,133264000,126505000,141227000,- -,166171000,170452000,198735000,237956000,253273000,- -,274883000,281577000,290503000,71532000,301005000,267619000,269081000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70849000,16172000,433000,-24463000,-3748000,- -,23654000,54674000,-10867000,-20797000,-12370000,- -,-78064000,-71625000,-79838000,303000,-62901000,-74499000,-39812000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36038000,76739000,92814000,87118000,- -,104313000,67762000,81641000,25440000,105157000,68205000,70823000
77,Change in Working Capital,- -,- -,- -,- -,-125400000,- -,- -,- -,- -,638900000,161100000,- -,140000000,-105000000,-20000000,340000000,113000000,- -,-17000000,63445000,206233000,349767000,-4225000,- -,130000000,-105000000,-195088000,196088000,597000000,- -,251000000,286275000,388752000,-89170000,467359000,-8721000,572261000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75449000,-154487000,-111571000,-155053000,- -,854000,47102000,-107083000,38686000,-373012000,-5947000,70471000
79,Inventory,- -,- -,- -,- -,-85600000,77200000,-55300000,-160500000,-41800000,72100000,-31900000,- -,110800000,-55700000,-52400000,-73871000,185255000,- -,43253000,51450000,-95992000,-33193000,-24113000,- -,-38275000,209439000,-7509000,87620000,-47240000,- -,-130540000,-37210000,17005000,-156292000,-135099000,-140744000,314315000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69560000,-32898000,-74294000,75073000,- -,69807000,-9553000,21494000,-187553000,111678000,-73674000,20106000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,638900000,800000000,- -,940000000,835000000,815000000,1104000000,1217000000,- -,1200000000,- -,1213233000,1563000000,-45808000,- -,1641000000,1536000000,1521912000,1718000000,2315000000,- -,2566000000,2507698000,-34942000,1544494000,2011853000,2003132000,2575393000
