,https://roic.ai/company/ARMP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40,Intangible Assets,- -,- -,- -,- -,- -,- -,37821059,31752000,31649000,31649000,31649000,31649000,- -,- -,- -,- -,- -,- -,12877000,12939000,12815000,12784000,10768000,4937000,2976000,10256000,10256000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,37821059,31752000,31649000,31649000,31649000,31649000,7926000,7926000,- -,- -,- -,9730000,20284000,17268000,20377000,20346000,10768000,4937000,2976000,13746000,13746000,3490000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,400000,600000,600000,500000,400000,1761434,1489000,1315000,968000,668000,217000,206000,200000,200000,- -,- -,-10000,- -,- -,- -,- -,- -,- -,- -,835000,2087000,51283000
45,Total Non-Current Assets,5300000,5400000,5600000,4500000,3800000,4400000,45788769,41549000,38484000,36040000,34812000,33613000,9232000,9178000,1485000,140000,- -,9860000,20420000,17413000,21597000,21477000,11840000,5753000,3479000,18796000,28670000,54773000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17000000,20000000,25100000,9800000,16200000,13700000,87974042,71038000,52712000,57672000,69965000,48798000,17467000,28474000,7150000,5450000,- -,11480000,22071000,37947000,28617000,31493000,18195000,11138000,11887000,25451000,39516000,69768000
48,Accounts Payable,700000,600000,1900000,1400000,1700000,2300000,4000084,3452000,2012000,1271000,1289000,1770000,1901000,2161000,- -,- -,- -,- -,1937000,2147000,- -,1464000,1659000,578000,729000,547000,956000,- -
49,Short-Term Debt,600000,900000,1300000,1000000,1200000,1200000,838245,1308000,1298000,1290000,1269000,155000,1129000,336000,- -,- -,- -,- -,3648000,- -,- -,- -,803000,- -,- -,1308000,2273000,1509000
