,https://roic.ai/company/ASTC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5064000,13900000,10900000,20100000,22100000,25700000,29022000,22189000,19890000,91552000,21205000,1716000,11082000,14563000,10736000,12090000,14968000,12236000,9638000,8870000,11398000,16200000,14177000,13095000,11694000,8454000,8153000,7433000
11,COGS and Expenses,29291000,28700000,25100000,44000000,51300000,107500000,108203000,114432000,101657000,170343000,66883000,48874000,57937000,65592000,30276000,27813000,27826000,25904000,28428000,24554000,22103000,16624000,16509000,14388000,11730000,8544000,8602000,7731000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1026000,-164000,-182000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,622000,459000,279000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,8500000,6390000,10200000,5800000,7500000,8750000,10573000,13414000,9385000,5883000,5526000,6062000,6362000,2668000,2209000,2135000,2315000,2243000,2115000,2313000,320000,572000,731000,765000,268000,533000,203000
15,EBITDA,8638000,24500000,37390000,27100000,17900000,4400000,3144000,-3098000,8997000,-73247000,8464000,10629000,-6303000,-9999000,-32685000,7046000,2876000,-2442000,-453000,1930000,-2641000,5157000,-12548000,-10849000,-12486000,-8124000,-7778000,-7400000
16,EBITDA ratio,0.1972,0.5315,0.6629,0.4788,0.2793,0.0409,0.0297,-0.0294,0.0875,-0.7713,0.1091,0.1789,-0.1242,-0.1895,-1.2796,0.2203,0.1028,-0.1212,-0.0173,0.0804,-0.1608,10.0526,-4.6979,-4.6602,-145.1860,-63.9685,-15.9385,-22.1557
17,Operating Income,14509000,17400000,31300000,12600000,12800000,200000,-2495000,-9178000,1116000,-75380000,10723000,10527000,-7191000,-12830000,-4732000,4172000,153000,-5755000,-2290000,-559000,-5680000,-16111000,-13838000,-12060000,-13337000,-8417000,-8114000,-7910000
18,Operating Income ratio,0.3313,0.3774,0.5550,0.2226,0.1997,0.0019,-0.0236,-0.0872,0.0109,-0.7938,0.1382,0.1772,-0.1417,-0.2432,-0.1852,0.1304,0.0055,-0.2856,-0.0876,-0.0233,-0.3459,-31.4055,-5.1808,-5.1804,-155.0814,-66.2756,-16.6270,-23.6826
19,Total Other Income Expenses (Gains),- -,-1400000,400000,1000000,-700000,-3300000,-3111000,-4493000,-5533000,-7252000,-8142000,-5424000,-5174000,29191000,-30621000,43000,-459000,-279000,-1026000,-164000,-182000,224000,379000,306000,86000,25000,-197000,307000
20,Income Before Tax,- -,16000000,31700000,13600000,12100000,-3100000,-5606000,-13671000,-4417000,-82632000,2581000,5103000,-12365000,16361000,-35353000,4215000,-306000,-6034000,-3316000,-723000,-5862000,-15887000,-13459000,-11754000,-13251000,-8392000,-8311000,-7603000
21,Income Before Tax Ratio,- -,0.3471,0.5621,0.2403,0.1888,-0.0288,-0.0530,-0.1299,-0.0430,-0.8701,0.0333,0.0859,-0.2437,0.3101,-1.3840,0.1318,-0.0109,-0.2995,-0.1269,-0.0301,-0.3569,-30.9688,-5.0389,-5.0490,-154.0814,-66.0787,-17.0307,-22.7635
22,Income Tax expense (Gain),- -,200000,1900000,3000000,2500000,-500000,-1762000,-886000,-2050000,-857000,506000,-146000,32000,-69000,675000,-510000,22000,-53000,17000,- -,6000,-5941000,-25000,2000,- -,-858000,- -,- -
23,Net Income,8638000,15800000,29800000,13900000,9600000,-2600000,-3844000,-12785000,-2367000,-81775000,2075000,5249000,-12397000,-16292000,-36028000,4725000,260000,-4983000,-2713000,-185000,-4960000,10778000,-13095000,-11582000,-13251000,-7534000,-8311000,-7603000
24,Net Income ratio,0.1972,0.3427,0.5284,0.2456,0.1498,-0.0241,-0.0364,-0.1215,-0.0230,-0.8611,0.0267,0.0884,-0.2443,-0.3088,-1.4104,0.1477,0.0093,-0.2473,-0.1038,-0.0077,-0.3020,21.0097,-4.9027,-4.9751,-154.0814,-59.3228,-17.0307,-22.7635
25,EPS,84.97,1185.00,149.00,62.00,43.00,-11.50,-17.00,-56.00,-10.00,-333.00,8.50,21.00,-48.50,-63.00,-21.30,1.45,0.10,-1.40,-0.75,-0.05,-1.25,2.60,-3.20,-2.85,-3.26,-1.53,-1.31,-0.35
26,EPS Diluted,64.50,1180.00,149.00,62.00,42.00,-11.50,-17.00,-56.00,-10.00,-333.00,7.50,18.50,-48.50,-63.00,-21.30,1.40,0.05,-1.40,-0.75,-0.05,-1.25,2.60,-3.20,-2.85,-3.26,-1.53,-1.31,-0.35
27,Weighted Average Shares Outstanding,101660,101660,200000,222664,223085,223694,225455,228009,237686,245709,249006,252269,254870,258390,1850869,3273000,3313400,3564400,3708800,3865600,3897400,3962200,4077600,4083600,4061000,4940000,6346000,21984000
28,Weighted Average Shares Outstanding Diluted,134700,101660,200000,222664,291425,223694,225455,228009,237686,245709,282838,283805,254870,258390,1850869,3380800,3656600,3564400,3708800,3865600,3897400,3962200,4077600,4083600,4061000,4940000,6346000,21984000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001907/000095013397003251/0000950133-97-003251-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095013398003325/0000950133-98-003325-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012399008645/0000950123-99-008645-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000092838500002522/0000928385-00-002522-index.html,- -,https://www.sec.gov/Archives/edgar/data/1001907/000092838502003112/0000928385-02-003112-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000119312503055315/0001193125-03-055315-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000119312504163163/0001193125-04-163163-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000119312505189689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1001907/000119312506198137/d10k.htm,https://www.sec.gov/Archives/edgar/data/1001907/000110465907070594/0001104659-07-070594-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000110465908061033/0001104659-08-061033-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012309046587/0000950123-09-046587-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012310082003/0000950123-10-082003-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012311085361/0000950123-11-085361-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000151597112000327/0001515971-12-000327-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000151597113000465/astc10k063013.htm,https://www.sec.gov/Archives/edgar/data/1001907/000157104914004871/0001571049-14-004871-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000100190715000017/0001001907-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000100190716000088/astc10-k06302016.htm,https://www.sec.gov/Archives/edgar/data/1001907/000100190717000060/0001001907-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000156459018023552/0001564590-18-023552-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000156459019035928/0001564590-19-035928-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000156459020042788/0001564590-20-042788-index.htm,https://www.sec.gov/Archives/edgar/data/1001907/000156459021048370/0001564590-21-048370-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7000000,50800000,12900000,92300000,21300000,6949000,34000,2145000,1301000,506000,7327000,6317000,9724000,2640000,4730000,8085000,14994000,10177000,5096000,3831000,2330000,4399000,2184000,552000,1588000,3349000,35936000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,14047000,6641000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23161000,17102000,10900000,3551000,- -,- -,27351000
33,Cash and Short-Term Investments,- -,7000000,50800000,12900000,92300000,21300000,6949000,34000,2145000,15348000,7147000,7327000,6317000,9724000,2640000,4730000,8085000,14994000,10177000,5096000,3831000,25491000,21501000,13084000,4103000,1588000,3349000,63287000
34,Net Receivables,- -,5600000,5400000,5200000,6000000,17500000,25798000,17358000,13802000,6780000,7878000,16906000,11379000,8319000,4047000,12279000,6351000,2429000,1926000,5317000,1279000,6298000,607000,146000,12000,432000,530000,5000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2369000,695000,482000,- -,- -,- -,- -,- -,- -,509000,496000,166000,7000,331000,676000,1500000
36,Other Current Assets,- -,100000,200000,200000,600000,1200000,2328000,1381000,1013000,343000,925000,1663000,610000,7188000,464000,591000,528000,963000,592000,503000,574000,296000,319000,269000,154000,371000,117000,318000
37,Total Current Assets,- -,12700000,56400000,18300000,98900000,40000000,35075000,18773000,16960000,22471000,15950000,25896000,20675000,25926000,7633000,17600000,14964000,18386000,12695000,10916000,5684000,32594000,22923000,13665000,4276000,2722000,4672000,65110000
38,PP&E,- -,70600000,70500000,91000000,112600000,132200000,158684000,174054000,175851000,83689000,79600000,73647000,61637000,43884000,40999000,40226000,39920000,38418000,37270000,37035000,35069000,3108000,3392000,3180000,733000,469000,1187000,512000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,21347000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,3400000,3200000,25500000,23301000,- -,20294000,8274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,3400000,3200000,25500000,23301000,21347000,20294000,8274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8516000,4208000,1990000,50000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3400000,2800000,1800000,5900000,6600000,8049000,8303000,7721000,6922000,4375000,2408000,3138000,2665000,9579000,1093000,19000,816000,84000,51000,29000,- -,- -,- -,81000,501000,71000,11000
45,Total Non-Current Assets,- -,74000000,73300000,96200000,121700000,164300000,190034000,203704000,203866000,98885000,83975000,76055000,64775000,46549000,50578000,41319000,39939000,39234000,37354000,37086000,35098000,11624000,7600000,5170000,864000,970000,1258000,523000
46,Other Assets,95261000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,95261000,86700000,129700000,114500000,220600000,204300000,225109000,222477000,220826000,121356000,99925000,101951000,85450000,72475000,58211000,58919000,54903000,57620000,50049000,48002000,40782000,44218000,30523000,18835000,5140000,3692000,5930000,65633000
48,Accounts Payable,- -,1300000,- -,2400000,1100000,3800000,11347000,13284000,8763000,11055000,5686000,4015000,4984000,4449000,1217000,2965000,859000,757000,3033000,2488000,1180000,398000,237000,259000,112000,160000,239000,396000
49,Short-Term Debt,- -,100000,- -,500000,3300000,3400000,7959000,18069000,6185000,4222000,3391000,2057000,1636000,10306000,1845000,267000,8467000,348000,372000,387000,5655000,- -,- -,- -,- -,- -,3049000,2581000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190000,- -,2000,2000,2000,2000,2000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,18993000,15405000,7370000,6340000,1811000,1321000,1153000,1007000,3594000,854000,10919000,2836000,1304000,872000,- -,54000,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,4100000,10500000,9900000,31800000,20400000,17370000,9851000,8629000,4574000,6884000,12578000,9981000,15563000,2560000,2356000,2161000,1342000,1634000,2430000,2386000,1991000,1509000,1550000,848000,678000,1062000,1234000
53,Total Current Liabilities,- -,5500000,10500000,12800000,36200000,27600000,36676000,60197000,38982000,27221000,22301000,20461000,17922000,31471000,6629000,9182000,12341000,13366000,7875000,6609000,10093000,2389000,1800000,1809000,960000,838000,4350000,4211000
54,Long-Term Debt,22884000,24900000,17300000,12700000,85300000,78900000,75901000,64589000,83426000,80056000,66942000,64885000,63250000,52944000,10387000,8435000,- -,6422000,6042000,5655000,- -,- -,- -,- -,- -,- -,332000,215000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649000,350000,274000,- -,64000,237000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,2700000,2800000,2080000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,58000000,30300000,2400000,- -,800000,7750000,7335000,9998000,8989000,1272000,1808000,1469000,1191000,6259000,105000,- -,- -,- -,194000,152000,101000,96000,256000,188000,146000,623000,- -
58,Total Non-Current Liabilities,22884000,82900000,47600000,15100000,88000000,82500000,85731000,71924000,93424000,89045000,68214000,66693000,64719000,54135000,16646000,9189000,350000,6696000,6042000,5913000,389000,101000,96000,256000,188000,146000,955000,215000
59,Other Liabilities,139329000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,962000,296000
61,Total Liabilities,116445000,88400000,58100000,27900000,124200000,110100000,122407000,132121000,132406000,116266000,90515000,87154000,82641000,85606000,23275000,18371000,12691000,20062000,13917000,12522000,10482000,2490000,1896000,2065000,1148000,984000,5305000,4426000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,11892000,11892000,11892000,11892000,11892000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,79900000,- -,- -,81600000,82074000,82513000,83204000,83446000,83751000,83889000,- -,- -,- -,183341000,- -,- -,183712000,183782000,183866000,189007000,189294000,190382000,190570000,190571000,190599000,190641000
64,Retained Earnings,- -,-38100000,-8300000,5500000,15200000,12600000,8720000,-4065000,-6432000,-88207000,-86132000,-80883000,-93280000,-109572000,-148944000,-144219000,-143959000,-148942000,-151655000,-151840000,-156800000,-146022000,-159117000,-170913000,-184164000,-191698000,-199779000,-207382000
65,Other Comprehensive Income/Loss,- -,-21600000,-28000000,-38100000,-43300000,-49200000,-56380000,-63580000,-74307000,-1946000,-49755000,-52224000,-50620000,-66845000,-69131000,-71331000,-73466000,-69117000,-71518000,-73600000,-75933000,-23000,-101000,-61000,-31000,- -,-2512000,-23000
66,Other Total Stockholders Equity,- -,58000000,28000000,119200000,124500000,49200000,68288000,75488000,85955000,-95000,49654000,52123000,146709000,163286000,253011000,72757000,259637000,255617000,72863000,74350000,77367000,-1533000,-1409000,-2638000,-2383000,3835000,12317000,77971000
67,Total Stockholders Equity,-21184000,-1700000,71600000,86600000,96400000,94200000,102702000,90356000,88420000,5090000,9410000,14797000,2809000,-13131000,34936000,40548000,39958000,35637000,33402000,32692000,28500000,41429000,28667000,16770000,3992000,2708000,625000,61207000
68,Total Liabilities And Stockholders Equity,95261000,86700000,129700000,114500000,220600000,204300000,225109000,222477000,220826000,121356000,99925000,101951000,85450000,72475000,58211000,58919000,52649000,55699000,47319000,45214000,38982000,43919000,30563000,18835000,5140000,3692000,5930000,65633000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2254000,1921000,2730000,2788000,1800000,299000,-40000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,95261000,86700000,129700000,114500000,220600000,204300000,225109000,222477000,220826000,121356000,99925000,101951000,85450000,72475000,58211000,58919000,54903000,57620000,50049000,48002000,40782000,44218000,30523000,18835000,5140000,3692000,5930000,65633000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001907/000095013397003251/0000950133-97-003251-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095013398003325/0000950133-98-003325-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012399008645/0000950123-99-008645-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000092838500002522/0000928385-00-002522-index.html,- -,https://www.sec.gov/Archives/edgar/data/1001907/000092838502003112/0000928385-02-003112-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000119312503055315/0001193125-03-055315-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000119312504163163/0001193125-04-163163-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000119312505189689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1001907/000119312506198137/d10k.htm,https://www.sec.gov/Archives/edgar/data/1001907/000110465907070594/0001104659-07-070594-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000110465908061033/0001104659-08-061033-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012309046587/0000950123-09-046587-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012310082003/0000950123-10-082003-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000095012311085361/0000950123-11-085361-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000151597112000327/0001515971-12-000327-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000151597113000465/astc10k063013.htm,https://www.sec.gov/Archives/edgar/data/1001907/000157104914004871/0001571049-14-004871-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000100190715000017/0001001907-15-000017-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000100190716000088/astc10-k06302016.htm,https://www.sec.gov/Archives/edgar/data/1001907/000100190717000060/0001001907-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000156459018023552/0001564590-18-023552-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000156459019035928/0001564590-19-035928-index.html,https://www.sec.gov/Archives/edgar/data/1001907/000156459020042788/0001564590-20-042788-index.htm,https://www.sec.gov/Archives/edgar/data/1001907/000156459021048370/0001564590-21-048370-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8638000,15800000,29800000,13900000,9600000,-2600000,-3844000,-12785000,-2367000,-81775000,2075000,5249000,-12397000,-16292000,-36028000,4725000,260000,-4983000,-2713000,-185000,-4960000,10778000,-13095000,-11582000,-13251000,-7534000,-8311000,-7603000
74,Depreciation and Amortization,- -,8500000,6390000,10200000,5800000,7500000,8750000,10573000,13414000,9385000,5883000,5526000,6062000,6362000,2668000,2209000,2135000,2315000,2243000,2115000,2313000,320000,572000,731000,765000,268000,533000,203000
75,Deferred Income Tax,- -,- -,- -,- -,2700000,- -,-762000,-5372000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-429000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338000,978000,1195000,1007000,31000,646000,5028000,551000,1134000,450000,305000,348000,626000
77,Change in Working Capital,- -,7200000,38700000,-40400000,57200000,-50300000,-14001000,-39823000,19402000,17272000,-1601000,11786000,-2682000,-8298000,6549000,7414000,-5795000,2397000,-200000,-513000,-8716000,34614000,-9082000,-9267000,-8540000,-1432000,-1562000,60577000
78,Accounts Receivable,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8407000,6603000,3247000,503000,-3391000,4038000,-139000,42000,10000,134000,9000,-98000,96000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-324000,-345000,-824000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000,-2106000,-102000,2276000,-545000,-1270000,-598000,-161000,22000,-147000,48000,79000,157000
81,Other Working Capital,- -,7200000,45900000,5500000,62700000,12400000,-1601000,-41424000,-22022000,-4750000,-6351000,5435000,2753000,-5545000,1004000,8418000,2623000,5020000,4820000,4307000,-4409000,30205000,21123000,11856000,3316000,1884000,322000,60899000
82,Other Non-Cash Items,13193000,-4700000,-61740000,15400000,-43700000,39100000,11281000,64531000,-21857000,74898000,-1084000,-29714000,13001000,30538000,18213000,-9714000,6859000,8310000,-4446000,-4350000,10165000,-61598000,7730000,10163000,9792000,347000,2061000,-61213000
83,Cash Provided by Operating Activities,21831000,26800000,13150000,-900000,31600000,-6300000,1424000,17124000,8592000,19780000,5273000,-7153000,3984000,12310000,-8598000,4972000,4437000,9234000,-4109000,-2902000,-552000,-10858000,-13324000,-8821000,-10784000,-8475000,-6931000,-7410000
84,CAPEX,-76000,-100000,-6270000,-700000,-23100000,-57200000,-30238000,-30642000,-18992000,-1458000,-2090000,-3429000,-2111000,-577000,-158000,-1427000,-1829000,-776000,-1252000,-1847000,-368000,-2268000,-809000,-499000,-19000,- -,- -,-211000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1400000,- -,- -,- -,-14047000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35418000,- -,- -,- -,- -,- -,-27374000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7406000,6641000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3741000,10242000,8380000,9178000,3595000,- -,- -
88,Other Investing Activites,- -,-4800000,- -,-33700000,- -,- -,600000,7566000,5276000,875000,-297000,14471000,970000,-6782000,- -,- -,- -,- -,- -,- -,- -,53189000,6100000,- -,- -,2000,- -,- -
89,Cash Used for Investing Activites,- -,-4900000,-6270000,-34400000,-23100000,-58600000,-29794000,-23076000,-13716000,-14630000,5019000,17683000,-1141000,-7359000,-158000,-1427000,-1829000,-776000,-1252000,-1847000,-368000,19244000,15533000,7881000,9159000,3597000,- -,-27585000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1352000,-267000,-8640000,-356000,-372000,-387000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,3700000,- -,- -,200000,300000,12381000,439000,341000,152000,305000,138000,142000,92000,746000,17000,114000,148000,- -,40000,42000,- -,- -,- -,- -,5908000,5650000,67582000
92,Common Stock Repurchased,- -,- -,43480000,- -,- -,- -,- -,- -,- -,-111000,-6000,- -,- -,- -,- -,-120000,- -,- -,- -,- -,- -,-2435000,-156000,-1293000,-7000,-1000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-19900000,-6610000,-2600000,70700000,-6300000,1592000,-1402000,6894000,-6584000,-11386000,-3847000,-3995000,-1636000,926000,- -,900000,6943000,900000,- -,- -,-7452000,16000,18000,- -,7000,3042000,- -
95,Cash Used/Provided by Financing Activities,- -,-16200000,36870000,-2600000,70900000,-6000000,13973000,-963000,7235000,-6543000,-11087000,-3709000,-3853000,-1544000,1672000,-1455000,747000,-1549000,544000,-332000,-345000,-9887000,-140000,-1275000,-7000,5914000,8692000,67582000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,43760000,- -,- -,-71000000,-14397000,-6915000,2111000,-1393000,-795000,6821000,-1010000,3407000,-7084000,2090000,3355000,6909000,-4817000,-5081000,-1265000,-1501000,2069000,-2215000,-1632000,1036000,1761000,32587000
98,Cash at the End of Period,- -,- -,50760000,- -,- -,21300000,6949000,34000,2145000,1301000,506000,7327000,6317000,9724000,2640000,4730000,8085000,14994000,10177000,5096000,3831000,2330000,4399000,2184000,552000,1588000,3349000,35936000
99,Cash at the Beginning of Period,- -,1400000,7000000,50800000,12900000,92300000,21346000,6949000,34000,2694000,1301000,506000,7327000,6317000,9724000,2640000,4730000,8085000,14994000,10177000,5096000,3831000,2330000,4399000,2184000,552000,1588000,3349000
100,Free Cash Flow,21755000,26700000,6880000,-1600000,8500000,-63500000,-28814000,-13518000,-10400000,18322000,3183000,-10582000,1873000,11733000,-8756000,3545000,2608000,8458000,-5361000,-4749000,-920000,-13126000,-14133000,-9320000,-10803000,-8475000,-6931000,-7621000
