,https://roic.ai/company/STLY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,4700000,3500000,7800000,3400000,2900000,2400000,2400000,2900000,3500000,3200000,5400000,4200000,5800000,4000000,3800000,5900000,5200000,7664000,8400000,7000000,5400000,6200000,6400000,3698000,1622000,1392000,1176000,677000,-3996000,-11699000,8777000
37,Total Current Assets,- -,- -,- -,57300000,59900000,68400000,67400000,66100000,73800000,76300000,85300000,82800000,92600000,80800000,95400000,93000000,121300000,123400000,103900000,120300000,120894000,109600000,72000000,62500000,87200000,69300000,39106000,35978000,32047000,28528000,7222000,3802000,12555000,20766000
38,PP&E,- -,- -,- -,42800000,41600000,43900000,44800000,54200000,52700000,51700000,52500000,72100000,70500000,66700000,59500000,55200000,51300000,50700000,49200000,43900000,35445000,31400000,16000000,17600000,19900000,20100000,1990000,1787000,1606000,1449000,9000,7000,7000,204000
39,Goodwill,- -,- -,- -,12400000,12100000,11800000,11400000,11100000,10800000,10400000,10100000,9700000,9400000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,9072000,9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4451000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,- -,2700000,2400000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,12400000,12100000,11800000,11400000,11100000,10800000,10400000,10100000,9700000,9400000,9100000,9100000,9100000,9100000,9100000,9100000,9100000,9072000,9100000,- -,- -,- -,4900000,- -,2700000,2400000,- -,- -,- -,- -,4451000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4405000,12072000,- -
43,Tax Assets,- -,- -,- -,8600000,8300000,12800000,11500000,12200000,11700000,10400000,10700000,11100000,10900000,11300000,13100000,12600000,10700000,10200000,7400000,4800000,- -,2100000,1000000,500000,1000000,700000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-7400000,-7600000,-12000000,-10600000,-9000000,-7500000,-5600000,-4200000,-5200000,-4200000,-4900000,-4600000,-5700000,-3500000,-2900000,-6900000,-4400000,460000,-1700000,-600000,- -,2600000,200000,18545000,22681000,468000,2593000,6856000,6120000,2392000,13444000
45,Total Non-Current Assets,- -,- -,- -,56400000,54400000,56500000,57100000,68500000,67700000,66900000,69100000,87700000,86600000,82200000,77100000,71200000,67600000,67100000,58800000,53400000,44977000,40900000,16400000,18100000,23500000,25900000,20535000,27168000,4474000,4042000,6865000,10532000,14471000,18099000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,113700000,114300000,124900000,124500000,134600000,141500000,143200000,154400000,170500000,179200000,163000000,172500000,164200000,188900000,190500000,162700000,173700000,165871000,150500000,88400000,80600000,110700000,95200000,59641000,63146000,36521000,32570000,14087000,14334000,27026000,38865000
48,Accounts Payable,- -,- -,- -,15000000,13300000,15400000,14700000,13600000,14600000,18200000,21800000,25800000,19500000,11800000,13400000,10600000,16100000,16400000,17800000,16100000,11236000,11600000,9100000,10000000,8700000,7900000,6425000,5883000,5674000,9252000,29000,7000,3000,12000
49,Short-Term Debt,- -,- -,- -,- -,- -,600000,- -,700000,700000,5100000,5100000,5200000,6714000,6839000,6914000,7014000,4257000,2857000,2857000,1428000,1429000,1429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2462000,3928000,3381000,- -,3433000,1021000,519000,962000,699000,66000,- -,759000,500000,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,16900000,11900000,11500000,9800000,9300000,12300000,11500000,14000000,13300000,12586000,10961000,12186000,10886000,12443000,10481000,7315000,7491000,11170000,5838000,9079000,5981000,5238000,4601000,3202000,1701000,1964000,2988000,127000,173000,60000,8503000
53,Total Current Liabilities,- -,- -,- -,31900000,25200000,27500000,24500000,23600000,27600000,34800000,40900000,44300000,38800000,29600000,32500000,28500000,32800000,32200000,31900000,28400000,23835000,22300000,19200000,16500000,14900000,13200000,9693000,7584000,8397000,12740000,156000,180000,63000,8793000
54,Long-Term Debt,- -,- -,- -,61200000,46500000,32000000,33400000,40400000,38600000,47500000,38400000,33200000,45500000,30200000,22700000,15700000,11400000,8600000,5700000,29300000,27857000,26400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2778000,- -,- -,- -,962000,699000,- -,- -,- -,- -,494000,- -,- -,- -
