,https://roic.ai/company/MTH,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,5269791,3848545,2058016,1839000,2884000,5435000,5776000,12072000,-5672000,32197000,-166903000,-33960000,-21032000,-28630000,-22388000,-26327000,-16474000,962000,-17249000,3841000,4653000,10432000,-4428000,4485000,-644992000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,15199358,30499730,32214757,56762000,83336000,113544000,151460000,224758000,416225000,364009000,-456482000,-275966000,-154799000,2484000,-20376000,28854000,177672000,208417000,189464000,218060000,247519000,283254000,302945000,533566000,954834000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.1016,0.1191,0.0943,0.1091,0.1120,0.1014,0.1030,0.1102,0.1387,0.1052,-0.1948,-0.1812,-0.1595,0.0026,-0.0237,0.0242,0.0969,0.0951,0.0731,0.0713,0.0760,0.0799,0.0824,0.1184,0.1855
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,961916,6496943,13269404,21000000,32444000,43607000,57054000,85790000,160560000,138655000,-167631000,15969000,-88343000,-4666000,730000,-76309000,53208000,66176000,60726000,68519000,104264000,55922000,53282000,110091000,217390000
23,Net Income,6500000,10800000,8000000,-19100000,-32000000,-4500000,1100000,200000,14237442,24002787,18945353,35762000,50659000,69937000,94406000,138968000,255665000,225354000,-288851000,-291935000,-66456000,7150000,-21106000,105163000,124464000,142241000,128738000,149541000,143255000,227332000,249663000,423475000,737444000
24,Net Income ratio,0.1570,0.2517,0.0826,-0.3136,-64.0000,-2.1429,0.3056,0.0909,0.0952,0.0938,0.0554,0.0687,0.0681,0.0625,0.0642,0.0681,0.0852,0.0651,-0.1233,-0.1917,-0.0685,0.0076,-0.0245,0.0881,0.0679,0.0649,0.0497,0.0489,0.0440,0.0641,0.0679,0.0940,0.1433
25,EPS,0.55,0.83,0.61,-1.45,-2.47,-0.12,0.03,0.01,0.73,1.13,0.87,1.73,2.39,2.82,3.62,5.33,9.48,8.52,-11.01,-9.95,-2.12,0.22,-0.65,3.09,3.45,3.65,3.25,3.74,3.56,5.67,6.55,11.23,19.55
26,EPS Diluted,0.55,0.83,0.61,-1.45,-2.47,-0.12,0.03,0.01,0.67,0.98,0.79,1.56,2.15,2.65,3.42,5.03,8.88,8.32,-11.01,-9.95,-2.12,0.22,-0.65,3.00,3.25,3.46,3.09,3.55,3.41,5.58,6.42,11.00,19.55
27,Weighted Average Shares Outstanding,11872146,12972973,13168724,13195164,12968592,38882448,38949208,13338248,19436781,21288503,21713872,20671676,21218429,24800355,26079006,26072795,26977000,26448000,26225000,29330000,31350000,32060000,32382000,34057000,36105000,39017000,39593000,39976000,40287000,40107000,38100000,37718000,37718000
28,Weighted Average Shares Outstanding Diluted,11872146,12972973,13168724,13195164,12968592,38882448,38949208,16000000,21249913,24492640,24134208,22851118,23562326,26341620,27604094,27627833,28787000,27102000,26225000,29330000,31350000,32322000,32382000,35172000,38801000,41614000,42164000,42585000,42228000,40728000,38891000,38484000,37718000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833079/000110465904007433/a04-3129_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465905011520/a05-1786_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465906016783/a06-1993_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465907013817/a07-3960_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465908012616/a07-27708_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465909012899/0001104659-09-012899-index.html,https://www.sec.gov/Archives/edgar/data/833079/000110465910012424/0001104659-10-012424-index.html,https://www.sec.gov/Archives/edgar/data/833079/000095012311019601/c13070e10vk.htm,https://www.sec.gov/Archives/edgar/data/833079/000119312512077617/0001193125-12-077617-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307913000051/0000833079-13-000051-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307914000047/mth-2013_10k.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307915000036/mth-10kx2014.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307916000119/0000833079-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307917000041/0000833079-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307918000007/0000833079-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307919000035/0000833079-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307920000026/0000833079-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307921000019/0000833079-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307922000011/0000833079-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,6700000,3300000,15600000,8245392,12386806,13422016,4397000,3383000,6600000,4799000,47876000,65812000,56710000,27677000,205923000,249331000,103953000,173612000,170457000,274136000,103333000,262208000,131702000,170746000,311466000,319466000,745621000,618335000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125699000,299345000,147429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,6700000,3300000,15600000,8245392,12386806,13422016,4397000,3383000,6600000,4799000,47876000,65812000,56710000,27677000,205923000,375030000,403298000,321041000,170457000,274136000,103333000,262208000,131702000,170746000,311466000,319466000,745621000,618335000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,985708,2460966,1643187,2179000,5508000,8894000,8716000,15974000,60745000,68725000,123503000,142554000,115443000,20835000,14932000,20290000,38983000,56763000,57296000,70355000,79317000,77285000,88492000,98573000,147548000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1113187000,1405299000,1877682000,2098302000,2422063000,2731380000,2742621000,2744361000,2778039000,3734408000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19855000,23728000,16044000,16348000,9344000,12146000,38938000,- -,38090000,47428000,42434000,52183000,51194000,- -,-2718505000,90679000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,9231100,14847772,15065203,6576000,8891000,15494000,13515000,63850000,126557000,145290000,174908000,364521000,506821000,433477000,348119000,1342872000,1718418000,2075868000,2465234000,2666554000,3033626000,3182566000,3152319000,903728000,4590970000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,66001356,107324693,175052540,216024000,339905000,498977000,701680000,894960000,36239000,40712000,30973000,22692000,690288000,14602000,13491000,15718000,22099000,32403000,33970000,33202000,33631000,54596000,50606000,38933000,37340000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129659000,- -,- -,- -,- -,- -,- -,- -,32962000,32962000,32962000,32962000,32962000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1800000,5970773,14640712,18741625,17675000,30369000,73785000,75645000,91475000,144251000,9492000,8181000,5023000,3590000,2143000,1571000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,1800000,5970773,14640712,18741625,17675000,30369000,73785000,75645000,91475000,144251000,139151000,8181000,5023000,3590000,2143000,1571000,- -,- -,32962000,32962000,32962000,32962000,32962000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11882000,10987000,11088000,98159000,101325000,10780000,11370000,17097000,17068000,17480000,4443000,4350000,5764000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,10404000,6935000,698634,543000,2612000,2701000,1204000,- -,- -,28119000,139057000,- -,- -,- -,- -,77974000,70404000,64137000,59147000,53320000,35162000,26465000,25917000,36040000,40672000
44,Other Non-Current Assets,384000000,365900000,1002600000,766700000,43900000,31200000,27800000,71000000,5026275,8502143,17000894,26257000,54938000,100831000,162495000,215109000,1664310000,1817253000,1395262000,934013000,30086000,763729000,847109000,40839000,91115000,99988000,87839000,85556000,98809000,51410000,164964000,2881347000,132787000
45,Total Non-Current Assets,384000000,365900000,1002600000,766700000,43900000,31200000,27800000,72800000,87402404,137402548,211493693,260499000,427824000,676294000,941024000,1201544000,1844800000,2025235000,1573473000,961728000,735846000,791461000,873259000,232690000,284943000,240270000,225288000,222137000,217632000,182913000,245930000,2960670000,216563000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,384000000,365900000,1002600000,766700000,43900000,31200000,27800000,72800000,96633504,152250320,226558896,267075000,436715000,691788000,954539000,1265394000,1971357000,2170525000,1748381000,1326249000,1242667000,1224938000,1221378000,1575562000,2003361000,2316138000,2690522000,2888691000,3251258000,3365479000,3398249000,3864398000,4807533000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,21171301,34068178,41950761,48907000,69029000,52133000,80737000,77799000,140789000,117443000,59680000,31655000,30296000,23589000,37735000,49801000,68018000,83619000,106440000,140682000,140516000,128169000,155024000,175250000,216009000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,9769567,10925000,32104000,17269000,15590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28254000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34373000,37297000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42610000
52,Other Current Liabilities,- -,-20600000,-22000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41329000,67411000,135590000,289307000,266683000,202790000,125101000,103236000,87811000,79464000,96377000,166611000,154144000,161163000,170852000,181076000,177862000,226008000,215870000,284842000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,30940868,44993178,74054761,66176000,84619000,93462000,148148000,213389000,430096000,384126000,262470000,156756000,133532000,111400000,117199000,146178000,234629000,237763000,267603000,311534000,321592000,306031000,381032000,419374000,543461000
54,Long-Term Debt,234800000,243300000,889400000,699300000,19900000,11800000,7800000,30500000,13122683,26279845,53832601,68883000,161971000,264927000,351491000,471415000,592124000,733276000,729875000,628968000,605009000,605780000,606409000,722797000,905055000,935208000,1127785000,1127314000,1283804000,1310057000,1018981000,1048339000,1186209000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12377000,21996000,29379000,36197000,28348000,34059000,28636000,24246000,25074000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20865000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,63800000,36400000,35200000,12700000,1600000,1800000,1600000,15400000,6204773,8587245,8261000,10917000,13538000,16091000,43005000,57835000,77267000,46291000,25872000,13319000,18701000,7763000,8858000,- -,289000,4299000,- -,- -,34978000,- -,- -,23743000,33474000
58,Total Non-Current Liabilities,298600000,279700000,924600000,712000000,21500000,13600000,9400000,45900000,19327456,34867090,62093601,79800000,175509000,281018000,394496000,529250000,690256000,779567000,755747000,642287000,623710000,613543000,615267000,735174000,927340000,968886000,1163982000,1155662000,1352841000,1338693000,1043227000,1097156000,1219683000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34231000,28254000,26171000
61,Total Liabilities,298600000,279700000,924600000,712000000,21500000,13600000,9400000,45900000,50268324,79860268,136148362,145976000,260128000,374480000,542644000,742639000,1120352000,1163693000,1018217000,799043000,757242000,724943000,732466000,881352000,1161969000,1206649000,1431585000,1467196000,1674433000,1644724000,1424259000,1516530000,1763144000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,52554,53349,54749,59000,63000,152000,155000,315000,331000,340000,341000,386000,397000,400000,404000,356000,362000,391000,397000,400000,403000,381000,382000,375000,373000
64,Retained Earnings,2000000,2700000,-6000000,-29100000,-20300000,-24900000,-23800000,-65300000,-51096675,-27093888,-8148535,29530000,78272000,148209000,242615000,381583000,637248000,862602000,570789000,278854000,212398000,219548000,198442000,303605000,428069000,570310000,699048000,848589000,991844000,1218593000,1468256000,1891731000,2629175000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-375700,-2862000,-3503000,-5400000,-7100000,-10500000,-11800000,-11800000,-24400000,-33600000,-33600000,-45700000,-38900000,-38400000,-33800000,-28547000,-31016000,-34084000,-39498000,-47853000,-57163000,-83369000,-92603000,-96872000,- -
66,Other Total Stockholders Equity,83400000,83500000,84000000,83800000,42700000,42500000,42200000,92200000,97785001,102181669,102007320,96910000,105352000,179447000,180925000,152457000,237826000,177490000,192634000,293666000,311530000,318447000,323866000,418796000,443977000,572872000,598990000,620359000,641741000,585150000,597955000,552634000,414841000
67,Total Stockholders Equity,85400000,86200000,78000000,54700000,22400000,17600000,18400000,26900000,46365180,72279130,90410534,121099000,176587000,317308000,411895000,522555000,851005000,1006832000,730164000,527206000,485425000,499995000,488912000,694210000,841392000,1109489000,1258937000,1421495000,1576825000,1720755000,1973990000,2347868000,3044389000
68,Total Liabilities And Stockholders Equity,384000000,365900000,1002600000,766700000,43900000,31200000,27800000,72800000,96633504,152139398,226558896,267075000,436715000,691788000,954539000,1265194000,1971357000,2170525000,1748381000,1326249000,1242667000,1224938000,1221378000,1575562000,2003361000,2316138000,2690522000,2888691000,3251258000,3365479000,3398249000,3864398000,4807533000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,110922,- -,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,384000000,365900000,1002600000,766700000,43900000,31200000,27800000,72800000,96633504,152250320,226558896,267075000,436715000,691788000,954539000,1265394000,1971357000,2170525000,1748381000,1326249000,1242667000,1224938000,1221378000,1575562000,2003361000,2316138000,2690522000,2888691000,3251258000,3365479000,3398249000,3864398000,4807533000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833079/000110465904007433/a04-3129_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465905011520/a05-1786_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465906016783/a06-1993_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465907013817/a07-3960_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465908012616/a07-27708_110k.htm,https://www.sec.gov/Archives/edgar/data/833079/000110465909012899/0001104659-09-012899-index.html,https://www.sec.gov/Archives/edgar/data/833079/000110465910012424/0001104659-10-012424-index.html,https://www.sec.gov/Archives/edgar/data/833079/000095012311019601/c13070e10vk.htm,https://www.sec.gov/Archives/edgar/data/833079/000119312512077617/0001193125-12-077617-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307913000051/0000833079-13-000051-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307914000047/mth-2013_10k.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307915000036/mth-10kx2014.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307916000119/0000833079-16-000119-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307917000041/0000833079-17-000041-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307918000007/0000833079-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307919000035/0000833079-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307920000026/0000833079-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/833079/000083307921000019/0000833079-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/833079/000083307922000011/0000833079-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,10800000,8000000,-19100000,-32000000,-4500000,1100000,200000,14237442,24002787,18945353,35762000,50659000,69937000,94406000,138968000,255665000,225354000,-288851000,-291935000,-66456000,7150000,-21106000,105163000,124464000,142241000,128738000,149541000,143255000,227332000,249663000,423475000,737444000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,432081,1637474,2528346,3407000,5741000,6780000,8536000,13233000,17207000,23729000,17818000,15669000,8843000,7974000,7178000,8196000,9934000,11614000,14241000,15978000,16704000,26966000,27923000,31052000,26245000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,4969000,6236366,156000,-2069000,-89000,1497000,609000,-5965000,-48984000,-112295000,118563000,- -,- -,- -,-77974000,-8666000,- -,- -,- -,19687000,-2741000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6204000,5358000,7410000,8319000,9483000,12211000,15781000,13741000,12056000,17170000,19607000,19995000,20069000
77,Change in Working Capital,- -,600000,- -,- -,- -,- -,- -,- -,-21709768,-8435638,-28844152,-610442,-16128000,-2240000,-56665000,-14906000,-154000000,64703000,151274000,295327000,165524000,-51212000,-91157000,965774000,287095000,354316000,359526000,157389000,357014000,164501000,-105248000,-2286933000,-951421000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6301000,-18429000,-25032000,-7083000,-17513000,-17775000,3042000,- -,- -,-65114000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-299185000,-281944000,-338594000,-209407000,-311426000,-301477000,-19426000,3621000,-40089000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24213000,-21725000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-21709768,-30145406,-58989558,-59600000,-75728000,-77968000,-134633000,-149539000,-303539000,-238836000,-87562000,207765000,373289000,322077000,230920000,1196694000,1483789000,1838105000,2197631000,2355020000,2712034000,2876535000,2771287000,484354000,- -
82,Other Non-Cash Items,- -,1200000,4700000,37800000,28500000,3500000,200000,2200000,13716461,-27369503,-35253100,-32462558,-58050000,-80224000,-104668000,-77733000,-40664000,-286766000,211441000,62205000,69959000,63281000,23539000,-1229965000,-508586000,-731630000,-521621000,-440051000,-635848000,-171028000,154875000,2342771000,15571000
83,Cash Provided by Operating Activities,- -,12600000,12700000,18700000,-3500000,-1000000,1300000,2400000,6676216,-5195880,-36387187,6252000,-19847000,-5836000,-56894000,60171000,72243000,-21964000,-20613000,199829000,184074000,32551000,-74136000,-220487000,-86276000,-211248000,-3335000,-103402000,-87132000,262200000,346820000,530360000,-152092000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-174257,-1568642,-2935205,-3017000,-7270000,-8285000,-17133000,-15113000,-25279000,-25850000,-13349000,-9693000,-3609000,-6389000,-7082000,-10863000,-15783000,-20788000,-16092000,-16662000,-18096000,-33415000,-24385000,-19932000,-25664000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-152000000,- -,- -,- -,- -,- -,- -,- -,-19000000,-131000000,- -,- -,- -,- -,- -,-5000,-1708000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51909000,-28624000,- -,-126983000,-425673000,-197103000,-136823000,-166619000,-35813000,-1555000,-746000,-1402000,-1181000,-754000,-2489000,-2795000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,9100000,4300000,4696495,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250190000,348105000,198201000,163012000,124599000,1555000,746000,1402000,1181000,754000,2489000,2795000
88,Other Investing Activites,- -,18200000,109400000,226300000,16700000,-100000,-600000,13700000,6550413,470697,-6966890,-5158000,-65759000,-134520000,-12087000,-66691000,-70148000,20039000,32296000,-13570000,-14827000,7357000,-2738000,-26671000,39421000,135000,-395000,-3444000,1024000,-112000,10896000,1703000,551000
89,Cash Used for Investing Activites,- -,18200000,109400000,226300000,16700000,-100000,-500000,18000000,11072651,-1097945,-9902095,-8175000,-73029000,-142805000,-29220000,-81804000,-247427000,-57720000,-9677000,-23263000,-145419000,-174515000,141182000,23844000,1031000,-62867000,-16487000,-20106000,-17072000,-33527000,-13489000,-18234000,-26821000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197543000,- -,-315080000,-102822000,-10447000,-23226000,-21274000,-152661000,-190755000,-309296000,-16379000,-331279000
