,https://roic.ai/company/SNFCA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318673/000031867397000002/0000318673-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/318673/000031867398000006/0000318673-98-000006-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318673/000116923207001738/0001169232-07-001738-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690608000537/snf10k123107.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690609000307/0001096906-09-000307-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690610000384/0001096906-10-000384-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690611000630/snfc10k20101231.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690612000774/0001096906-12-000774-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690613000418/0001096906-13-000418-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690614000406/security.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690615000339/security.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690616001519/0001096906-16-001519-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690617000214/0001096906-17-000214-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690618000170/0001096906-18-000170-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690619000117/0001096906-19-000117-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690620000127/0001096906-20-000127-index.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690621000634/0001096906-21-000634-index.htm,https://www.sec.gov/Archives/edgar/data/318673/000149315222008236/0001493152-22-008236-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,2060876,7710155,3301084,3408179,6670996,12422864,11275030,8757246,38199041,19704358,15333668,16632966,10376585,5203060,19914110,39463803,39556503,17083604,38906115,38203164,30855320,40053242,38987430,45315661,142199942,127754719,106219429,131354470
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,4013296,722593,2258283,3698941,11543540,1290310,1027927,1453644,5335478,2054248,4628999,3211590,4586828,5337367,5282986,7144319,2618349,6932023,40925390,12135719,27059495,16915808,27560040,- -,5558611,363248985,- -,259287603
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,6074172,8432748,5559367,7107120,18214536,13713174,12302957,10210890,43534519,21758606,19962667,19844556,14963413,10540427,25197096,46608122,42174852,24015627,79831505,50338883,57914815,56969050,66547470,45315661,147758553,491003704,106219429,390642073
34,Net Receivables,- -,- -,- -,- -,- -,4500000,3800000,4100000,3814131,24176660,17069653,15223792,28309374,38074092,36412923,58700774,12229056,9336555,53736581,61463995,15578968,14490018,13135080,10873207,7827114,9934075,30746044,23374282,26302025,29181539,31891196,23838472,19755445,24984098,10899207,18316116
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,90141617,85739493,86458014,146238517,142116643,137988144,123934031,231012775,265734755,223022892,257955716,-14395867198,1285200,11625349,21248569,-11770465061,-9490034780,-3107012,-1090137,-909847,-2374443,-112518908,2586185,-941675,-378996753,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,122751025,108368513,108788926,192762427,193903909,186704024,192845695,286776350,296829916,296722140,339264267,-14365324817,26315645,49957525,78729898,-11720463095,-9456085078,107470537,72623028,83306993,83776146,-14080242,71740318,166572323,136991049,117118636,408958189
38,PP&E,- -,- -,- -,- -,- -,3600000,3500000,3400000,11820081,14000631,14970282,15108448,19087810,19089195,19310223,19148835,19350850,19396477,19068429,19698015,14059529,14828699,24675528,23814311,22207188,9300185,22113712,22154733,22155799,22222656,19464358,18012313,16889205,24120344,12473345,21517598
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,718391,1461025,1370708,1554505,1414910,1305333,1172599,1065045,1029562,683191,683191,683191,683191,1075039,- -,1075039,1075039,677039,677039,677039,2765570,2765570,2765570,2765570,2765570,3519588,3519588,5253783
40,Intangible Assets,- -,- -,- -,- -,- -,900000,800000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1075039,- -,- -,- -,12626552,13524946,16382374,21423528,26442662,27965696,26637401,28433954,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,900000,800000,800000,718391,1461025,1370708,1554505,1414910,1305333,1172599,1065045,1029562,683191,683191,683191,683191,1075039,1075039,1075039,1075039,677039,13303591,14201985,19147944,24189098,29208232,30731266,29402971,31953542,3519588,5253783
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59507611,57071718,89846554,111936632,13266054,131014595,136483417,129912756,107451008,140810502,175779912,160100969,168830592,170905323,223113040,234435478,237637334,363248985,305980918,564267724
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59507611,-57071718,-89846554,-111936632,14714711226,244928667,229613016,237044894,12055364765,9826436274,278548871,349676739,377628234,448840094,596299283,627253679,600309290,778130155,-305980918,-564267724
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15461656,16340990,16662953,20502720,20394528,20482822,20213880,20380412,20079668,19751620,20381206,14742720000,391847000,391847000,391847000,12186098000,9977224000,489746086,546134426,587762569,666157171,868084913,910432736,884238800,1197453026,15992933,26771381
46,Other Assets,117700000,153100000,178100000,202700000,208500000,67200000,70600000,75900000,103758257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1165406498
47,Total Assets,117700000,153100000,178100000,202700000,208500000,67200000,70600000,75900000,103758257,138212681,124709503,125451879,213265147,214298437,207186846,213059575,307156762,316909584,316473760,359645473,377395183,418162645,441804525,470576898,465634905,521138922,597216623,618757454,671069562,749933317,854004671,982173054,1050811123,1334444075,133111569,1547593306
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2079735,1193859,1199920,1204029,1321559,804133,1242407,1319319,1553777,1274183,1064269,1533065,1820178,1833188,1941777,2601149,2472996,2672479,2715834,2850575,1789387,3502046,4213109,3613100,2883349,5056983,8932683,10166573
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501778,283744,199537,18018145,4608204,- -,- -,- -,- -,- -,47250000,1250000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31036096
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13080179,14508022
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,102406141,88700080,89995971,169978441,172295867,166757593,169680681,252746223,255125817,262435731,302066935,314879822,347166812,378856445,399015107,395927467,416109376,498175962,509949425,543200063,588248834,764686211,760978970,806565041,1106839477,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,103600000,89900000,91200000,171300000,173100000,168000000,171000000,254300000,256400000,263500000,303600000,316700000,349000000,381300000,401900000,398600000,436800000,505500000,512800000,544989450,591750880,768899320,764592070,856698390,1113146460,22012862,24674595
54,Long-Term Debt,3600000,6700000,- -,- -,- -,- -,6000000,8100000,10209122,27129062,12489930,9980917,22886500,23340805,14045948,12097676,19273236,17863364,13330645,10272605,7670532,13371476,6138202,8656245,6866438,7000974,7302139,18289438,29020378,40908915,53718548,157450925,140271188,216169173,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10762357,10828994,11533798,12643199,13467132,13381662,13192499,13140483,13412339,13176476,13242143,12816227,12360249,12873068,12508625,12607978,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14429062,-1189930,-1080917,-7586500,-8640805,-45948,2324,26764,36636,-11793002,-10801599,-11504330,-12614675,-13005334,-13137907,-12958937,4858543,-8814478,-13265914,-13273511,77280468,-15115687,-101311003,-130478253,-204190141,- -,1223151877
58,Total Non-Current Liabilities,3600000,6700000,- -,- -,- -,- -,6000000,8100000,10209122,12700000,11300000,8900000,15300000,14700000,14000000,12100000,19300000,17900000,12300000,10300000,7700000,13400000,6600000,8900000,7100000,25000000,11900000,18200000,28989010,131005610,50963110,69012990,22301560,24587010,- -,1223151877
59,Other Liabilities,111100000,142300000,159700000,184400000,195000000,50400000,59000000,65200000,93988834,- -,22641475,- -,- -,- -,- -,- -,- -,- -,- -,20647055,- -,- -,- -,- -,14206437,- -,23804514,36406265,57978021,- -,- -,138025984,- -,- -,1262940563,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153439,104951,- -
61,Total Liabilities,107500000,135600000,159700000,184400000,195000000,50400000,53000000,57100000,83779712,116294088,101241475,100056949,179806331,181762000,175820871,178853227,268345544,273777525,270995574,313947055,322145977,359904735,387892246,410771456,405706437,459908335,517404514,531006265,573978461,638687092,725825117,833605064,878999950,1137733470,1284953425,1247826472
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,8026832,8594046,9214831,9693338,10323979,10838532,11380823,11949868,12825517,13844135,14805381,15552938,15066460,17476598,18350681,19303296,20289921,21304791,23881972,26274956,27706618,29637480,31442470,33249902,34996882,37217332,33191566,41018574
64,Retained Earnings,3800000,5900000,7800000,7000000,2500000,4700000,5300000,5900000,6154694,6759972,7118528,7533259,7474783,7516640,7831306,9989230,11992542,15414681,15365259,17460024,20495063,21104156,21023179,23178944,21907579,22546623,35114072,39666587,44101252,52021764,63029627,77520951,95201732,101256229,153739167,184537489
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2000000,1000000,1000000,- -,- -,1000000,- -,14000000,23243133,18070448
66,Other Total Stockholders Equity,6400000,11600000,10600000,11300000,11000000,12100000,12300000,12900000,5797019,6564575,7134669,8168333,8881497,8134521,7529232,8030220,9695352,9916615,11494200,12685456,17409173,17203398,14538419,17323202,17730968,16379173,18816065,20809646,24283231,29586981,33707457,36797137,41612559,44237044,53813187,56140323
67,Total Stockholders Equity,10200000,17500000,18400000,18300000,13500000,16800000,17600000,18800000,19978545,21918593,23468028,25394930,26680259,26489693,26741361,29969318,34513411,39175431,41664840,45698418,52970696,55784152,53912279,59805442,59928468,61230587,79812109,87751189,97091101,111246225,128179554,148567990,171811173,196710605,263987053,299766834
68,Total Liabilities And Stockholders Equity,117700000,153100000,178100000,202700000,208500000,67200000,70600000,75900000,103758257,138212681,124709503,125451879,206486590,208251693,202562232,208822545,302858955,312952956,312660414,359645473,375116673,415688887,441804525,470576898,465634905,521138922,597216623,618757454,671069562,749933317,854004671,982173054,1050811123,1334444075,1548940478,1547593306
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6778557,6046744,4624614,4237030,4297807,3956628,3813346,- -,2278510,2473758,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1415828909,- -
70,Total Liabilities & Equity,117700000,153100000,178100000,202700000,208500000,67200000,70600000,75900000,103758257,138212681,124709503,125451879,213265147,214298437,207186846,213059575,307156762,316909584,316473760,359645473,377395183,418162645,441804525,470576898,465634905,521138922,597216623,618757454,671069562,749933317,854004671,982173054,1050811123,1334444075,133111569,1547593306
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318673/000031867397000002/0000318673-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/318673/000031867398000006/0000318673-98-000006-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318673/000116923207001738/0001169232-07-001738-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690608000537/snf10k123107.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690609000307/0001096906-09-000307-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690610000384/0001096906-10-000384-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690611000630/snfc10k20101231.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690612000774/0001096906-12-000774-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690613000418/0001096906-13-000418-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690614000406/security.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690615000339/security.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690616001519/0001096906-16-001519-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690617000214/0001096906-17-000214-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690618000170/0001096906-18-000170-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690619000117/0001096906-19-000117-index.html,https://www.sec.gov/Archives/edgar/data/318673/000109690620000127/0001096906-20-000127-index.htm,https://www.sec.gov/Archives/edgar/data/318673/000109690621000634/0001096906-21-000634-index.htm,https://www.sec.gov/Archives/edgar/data/318673/000149315222008236/0001493152-22-008236-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,2600000,1000000,1100000,1039759,1551780,1237145,1308941,771229,975895,895729,2840780,3991280,6596497,2122272,3487880,5124450,2265396,574853,3773880,-430624,1298758,16712518,7585921,7754648,12622880,14279504,14112934,21686079,10893519,87303641,39518990
74,Depreciation and Amortization,- -,- -,- -,- -,- -,300000,400000,600000,565777,719903,1213639,815977,917166,1187426,1202158,1350372,1553399,1866924,2013113,2094022,2023017,2398330,2471201,2801417,2917513,2814585,2877743,4608383,5140207,6396528,7989806,9861215,10739116,12239453,17288841,5540672
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,228464,-182291,522047,970139,2862343,636430,862024,1153985,481810,-163307,- -,- -,- -,953394,416269,3072642,4362664,5076899,-7752028,-2605401,-1857897,2854669,11308436
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,485986,520457,253934,251031,88369,391220,387608,343577,395603,237123,256996,358878,118384
77,Change in Working Capital,- -,- -,- -,- -,- -,900000,- -,- -,- -,19151025,-682512,-879587,3873501,-658518,-2099885,3141671,10630655,7953566,-7207776,2442127,-14717689084,14359340462,-8658120,8172373,-11795892993,2226178017,9494855615,-42147509,-21505485,-46292277,-275004828,90127810,2725685,-286029344,1071261185,289177820
78,Accounts Receivable,- -,- -,- -,- -,- -,-100000,1200000,100000,600000,-19000000,8100000,5000000,-4900000,-8967679,2134395,2400265,-38760032,-25333080,67621035,-6803081,7448391,5466589,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,500000,-300000,2100000,2000000,-1200000,500000,-500000,- -,5012923,7023493,- -,- -,- -,- -,- -,-520347,1067072,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,19151025,18468513,17588926,21462427,20803909,18704024,21845695,32476350,40429916,33222140,35664267,-14682024817,-322684355,-331342475,-323170102,-12119063095,-9892885078,-398029463,-440176972,-461682457,-507974734,-782979562,-692851752,-690126067,-976155411,95105774,384283594
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-300000,2200000,1800000,2310463,-37136066,9968909,5837561,-4973272,-2223315,10650582,-18638020,-44108299,-21742581,79351890,-283517,14721061767,-14354477360,62178927,1938448,11778634767,-2223679469,-9493234095,66100421,36162577,6691349,291175488,-62427492,-25773332,188895198,-1308694421,-201026060
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,3500000,3600000,3500000,4215999,-15713358,11737181,7082892,588624,-490048,10466293,-10783150,-26962826,-2463251,76915929,8602536,11674135,10008638,56403554,17172104,-14250880,6865825,22416206,36651854,31015809,-15831248,43860446,44318042,7009270,-75602075,-129627207,144638242
84,CAPEX,- -,- -,- -,- -,- -,-2200000,-200000,-200000,-1693004,-672422,-1471395,-448104,-2795604,-1188613,-3048467,-1791501,-4502051,-3430968,-3098829,-7375527,-4026598,-7643593,-1323849,-736210,-859988,-765633,-3022393,-3570334,-1520443,-3632690,-3566511,-911007,-1282704,-1839293,-1630734,-5219928
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-5008708,-4544043,- -,-60602,-11764823,- -,- -,- -,- -,- -,-304042,- -,- -,-1702762,-2928022,- -,- -,- -,-180591,- -,-15011193,- -,-4328520,- -,-3405783,-20141074,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1600000,-2800000,-8200000,-35816021,-7695567,-14668160,-16239118,-18990011,-21856826,-4801309,-402995,-28481972,-49868496,-145986642,-96079595,-146187860,-132031052,-47747234,-39553438,-23586927,-126036550,-62112119,-45371478,-24412459,-72808840,-31288359,-99398771,-40843048,-113865466,-65484979,-18857131
