,https://roic.ai/company/WST,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),1900000,-600000,-6700000,-2900000,-2200000,-10500000,-2500000,-5700000,-4300000,-6400000,-5700000,-26100000,-4200000,-36800000,-9300000,-32600000,-13500000,-9500000,-7500000,-7000000,-27000000,-16500000,-8500000,-14600000,-14400000,-16200000,-16900000,-26500000,-15300000,-13000000,-12500000,-7000000,-6500000,400000,-4800000,-5600000,-3400000
20,Income Before Tax,25400000,30200000,23200000,27500000,33900000,10700000,-3800000,34000000,36800000,40700000,42600000,27200000,57700000,27900000,57100000,3100000,27800000,17200000,47000000,41200000,45200000,84500000,86400000,109500000,83100000,74500000,92700000,108600000,147100000,169000000,116100000,189800000,222400000,240700000,291800000,401300000,748900000
21,Income Before Tax Ratio,0.1336,0.1282,0.0916,0.0954,0.1098,0.0331,-0.0115,0.1005,0.1055,0.1115,0.1032,0.0593,0.1275,0.0620,0.1217,0.0072,0.0700,0.0410,0.0958,0.0761,0.0646,0.0925,0.0847,0.1042,0.0787,0.0674,0.0777,0.0858,0.1075,0.1189,0.0829,0.1258,0.1391,0.1402,0.1586,0.1869,0.2645
22,Income Tax expense (Gain),10400000,13200000,9500000,10100000,13200000,6400000,4700000,14300000,14300000,13400000,13900000,10800000,13300000,21200000,18400000,1500000,8600000,4100000,16700000,11100000,-400000,24600000,17200000,23700000,13500000,13600000,23500000,32700000,40200000,47200000,26300000,54400000,80900000,41400000,59000000,72500000,107200000
23,Net Income,15000000,17000000,13700000,17400000,20700000,4300000,-8500000,19700000,23500000,27300000,28700000,16400000,44400000,6700000,38700000,1600000,-5200000,18400000,31900000,19400000,45600000,67100000,70700000,86000000,72600000,65300000,75500000,80700000,112300000,127100000,95600000,143600000,150700000,206900000,241700000,346200000,661800000
24,Net Income ratio,0.0789,0.0722,0.0541,0.0604,0.0671,0.0133,-0.0258,0.0582,0.0674,0.0748,0.0695,0.0357,0.0981,0.0149,0.0825,0.0037,-0.0131,0.0438,0.0650,0.0358,0.0652,0.0735,0.0693,0.0818,0.0688,0.0591,0.0633,0.0637,0.0821,0.0894,0.0683,0.0952,0.0942,0.1205,0.1314,0.1613,0.2337
25,EPS,0.24,0.27,0.21,0.27,0.32,0.07,-0.14,0.32,0.37,0.42,0.43,0.25,0.67,0.10,0.65,0.03,-0.09,0.32,0.55,0.33,0.73,1.04,1.08,1.32,1.10,0.98,1.12,1.19,1.61,1.79,1.33,1.96,2.04,2.80,3.27,4.68,8.96
26,EPS Diluted,0.24,0.27,0.21,0.27,0.32,0.07,-0.14,0.31,0.37,0.42,0.43,0.25,0.67,0.10,0.64,0.03,-0.09,0.32,0.55,0.32,0.70,1.00,1.02,1.25,1.06,0.94,1.08,1.15,1.57,1.75,1.30,1.91,1.99,2.74,3.21,4.57,8.73
27,Weighted Average Shares Outstanding,63157895,64150943,64470588,65046729,64687500,63703704,61818182,62539683,63513514,64216000,66228000,65672000,65900000,65740000,59656000,57628000,57344000,57736000,58052000,59910000,62200000,64400000,65400000,64800000,65600000,66600000,67400000,68000000,69600000,70900000,72000000,73300000,73900000,73900000,74000000,73900000,73900000
28,Weighted Average Shares Outstanding Diluted,63157895,64150943,64470588,65046729,65196850,63703704,61818182,63040000,63945578,64216000,66228000,65672000,66288000,66016000,60192000,57636000,57392000,57736000,58184000,61684000,65050000,67200000,72400000,72200000,72600000,73400000,74000000,71800000,71400000,72800000,73800000,75000000,75800000,75400000,75400000,75800000,75800000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105770/000095011595000063/0000950115-95-000063-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577096000012/0000105770-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577097000011/0000105770-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/105770/000095011598000641/0000950115-98-000641-index.html,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577000000008/0000105770-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577001000008/0000105770-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577002000007/0000105770-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577003000007/0000105770-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/105770/000095015404000022/0000950154-04-000022-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577005000135/0000105770-05-000135-index.html,https://www.sec.gov/Archives/edgar/data/105770/000110465906014167/0001104659-06-014167-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000110465907015074/0001104659-07-015074-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000104746908002017/0001047469-08-002017-index.htm,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577010000011/0000105770-10-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577012000011/0000105770-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577013000007/0000105770-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577014000005/0000105770-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577015000007/0000105770-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577016000060/0000105770-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577017000011/0000105770-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577018000006/0000105770-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577019000012/0000105770-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577020000015/0000105770-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577021000008/0000105770-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000162828022003342/0001628280-22-003342-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,17400000,27400000,52300000,31300000,45300000,42700000,42100000,33200000,37800000,68800000,48800000,47100000,108400000,87200000,83100000,110200000,91800000,161900000,230000000,255300000,274600000,203000000,235900000,337400000,439100000,615500000,762600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,4300000,- -,- -,- -,12400000,7500000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,17400000,27400000,52300000,31300000,45300000,42700000,42100000,33200000,37800000,68800000,48800000,47100000,129400000,91500000,83100000,110200000,91800000,174300000,237500000,255300000,274600000,203000000,235900000,337400000,439100000,615500000,762600000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,57800000,67900000,69300000,60400000,64400000,74600000,60900000,61800000,66200000,114900000,75100000,107400000,110500000,136100000,128600000,138700000,126400000,147200000,175000000,185700000,179000000,181400000,200500000,253200000,288200000,319300000,385300000,489000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,38100000,48300000,44000000,38300000,43500000,42100000,41000000,34300000,41300000,48000000,56700000,61200000,97500000,111800000,115700000,129200000,147000000,151800000,162200000,176900000,181500000,181100000,199300000,215200000,214500000,235700000,321300000,378400000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13600000,14800000,16000000,19700000,20500000,22700000,28500000,20300000,20600000,16000000,25900000,19800000,26600000,35000000,30400000,46200000,53000000,81200000,45800000,50600000,43500000,36600000,39100000,39200000,54300000,64600000,51600000,112000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,136700000,148400000,156700000,170700000,159700000,184700000,173100000,158500000,161300000,216700000,226500000,237200000,281700000,412300000,366200000,397200000,436600000,472000000,557300000,650700000,659300000,673700000,641900000,743500000,894400000,1058700000,1373700000,1742000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,192200000,229300000,210300000,202200000,220300000,227600000,235800000,210300000,223300000,255700000,283800000,328000000,384700000,481700000,531000000,577100000,554800000,593600000,669000000,711700000,705800000,721000000,778300000,855000000,822000000,909400000,1011500000,1126800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102800000,109200000,105300000,114200000,112500000,111500000,112500000,114200000,108600000,104600000,103000000,107700000,105800000,107800000,111100000,109900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,33900000,63000000,58900000,51600000,61200000,66500000,52400000,32600000,44500000,48400000,43700000,159200000,66300000,55000000,50000000,55600000,55100000,52000000,50600000,48300000,42000000,37600000,23300000,21700000,20400000,29800000,30500000,23000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,33900000,63000000,58900000,51600000,61200000,66500000,52400000,32600000,44500000,48400000,43700000,159200000,169100000,164200000,155300000,169800000,167600000,163500000,163100000,162500000,150600000,142200000,126300000,129400000,126200000,137600000,141600000,132900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33600000,38200000,48200000,56200000,59800000,60900000,60600000,61300000,82700000,85800000,91200000,192700000,214700000,207700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27600000,20500000,17900000,8300000,29800000,61000000,63700000,69400000,64500000,85100000,90300000,61800000,66100000,70500000,66200000,25700000,24700000,14000000,16000000,48500000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000,39400000,51500000,53400000,64400000,73000000,96100000,109900000,80100000,82300000,86800000,90900000,52900000,66400000,18900000,19300000,22600000,28700000,24500000,24000000,28500000,26400000,21300000,23400000,20400000,29000000,36300000,55900000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,260700000,331700000,320700000,307200000,345900000,367100000,384300000,352800000,375500000,406900000,432200000,586400000,636500000,773300000,802500000,873800000,857700000,927100000,1006700000,1020900000,1011600000,1021400000,1074800000,1119300000,1084500000,1282700000,1420100000,1571800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,397400000,480100000,477400000,477900000,505600000,551800000,557400000,511300000,536800000,623600000,658700000,823600000,918200000,1185600000,1168700000,1271000000,1294300000,1399100000,1564000000,1671600000,1670900000,1695100000,1716700000,1862800000,1978900000,2341400000,2793800000,3313800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,22500000,23900000,18600000,20800000,25500000,27600000,22600000,19200000,29400000,29300000,46300000,61200000,80400000,67600000,68400000,63200000,89800000,102900000,108000000,103100000,119800000,122000000,138100000,130400000,156800000,213100000,232200000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,21900000,9800000,2900000,1600000,36100000,29600000,3600000,8700000,15800000,8000000,10000000,300000,500000,500000,3900000,500000,300000,50100000,32700000,2200000,27200000,69300000,2400000,- -,100000,11900000,12400000,53500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9700000,13800000,15000000,17000000,23400000,22100000,14900000,12800000,4500000,6000000,9800000,12900000,41400000,39300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,14400000,13200000,18400000,25500000,27500000,51000000,48700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,45100000,29500000,38800000,37800000,47300000,48900000,48100000,44000000,52700000,81500000,77200000,78200000,95200000,102000000,87600000,102200000,106200000,103300000,126200000,126700000,108900000,110800000,103400000,123000000,127700000,145400000,226900000,259700000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,86300000,61800000,65600000,58000000,104200000,104000000,79300000,75300000,87700000,118900000,116500000,124800000,156900000,182900000,159100000,171100000,169700000,243200000,261800000,236900000,252500000,314300000,241000000,279500000,283700000,341600000,503400000,594100000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,35900000,104500000,95500000,87400000,105000000,141500000,195800000,184300000,159200000,167000000,150800000,280700000,235800000,394600000,382100000,379100000,358100000,299300000,378800000,371300000,309500000,228900000,226200000,197000000,196000000,255000000,313300000,271800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,24400000,34300000,39700000,30100000,39100000,48000000,51000000,46800000,56200000,44800000,45000000,31900000,43500000,46600000,20400000,22900000,20000000,21600000,20800000,18900000,15700000,12400000,9200000,10400000,13100000,15500000,10400000,4900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21600000,25200000,24300000,24300000,26600000,26300000,25500000,28100000,32200000,35300000,45300000,48600000,62700000,70600000,120000000,118800000,120800000,180100000,173700000,138100000,136300000,115600000,122800000,96000000,89800000,156100000,112200000,107600000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,81900000,164000000,159500000,141800000,170700000,215800000,272300000,259200000,247600000,247100000,241100000,361200000,342000000,511800000,522500000,520800000,498900000,501000000,573300000,528300000,461500000,356900000,358200000,303400000,298900000,426600000,435900000,384300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,70500000,72300000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,168200000,225800000,225100000,199800000,274900000,319800000,351600000,334500000,335300000,366000000,357600000,486000000,498900000,694700000,681600000,691900000,668600000,744200000,835100000,765200000,714000000,671200000,599200000,582900000,582600000,768200000,939300000,978400000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,4300000,4300000,4300000,4300000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,17600000,17800000,18100000,18400000,18800000,18800000,18800000,18800000,18800000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,189800000,210200000,217700000,252500000,249300000,278100000,269800000,254000000,261200000,281200000,287500000,318600000,375700000,450300000,517300000,569400000,612600000,664500000,719900000,805000000,902200000,964600000,1071600000,1178200000,1353400000,1549400000,1846700000,2456700000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174600000,-210800000,-221300000,-226400000,-251900000,-261600000,-285600000,-249200000,-13400000,18900000,33200000,8900000,10600000,33600000,-44900000,-19700000,-31300000,-71500000,-75900000,-32400000,-119200000,-162600000,-186800000,-117300000,-154200000,-149600000,-110600000,-159600000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,214000000,254900000,255900000,252000000,233300000,211200000,217300000,167700000,-50600000,-46800000,-28200000,-2600000,19600000,-7200000,6100000,20800000,35800000,53300000,76300000,116200000,156100000,203800000,214300000,200200000,178300000,154600000,99600000,19500000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,229200000,254300000,252300000,278100000,230700000,232000000,205800000,176800000,201500000,257600000,301100000,333500000,414500000,485300000,487100000,579100000,625700000,654900000,728900000,906400000,956900000,1023900000,1117500000,1279900000,1396300000,1573200000,1854500000,2335400000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,397400000,480100000,477400000,477900000,505600000,551800000,557400000,511300000,536800000,623600000,658700000,819500000,913400000,1180000000,1168700000,1271000000,1294300000,1399100000,1564000000,1671600000,1670900000,1695100000,1716700000,1862800000,1978900000,2341400000,2793800000,3313800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,4800000,5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,397400000,480100000,477400000,477900000,505600000,551800000,557400000,511300000,536800000,623600000,658700000,823600000,918200000,1185600000,1168700000,1271000000,1294300000,1399100000,1564000000,1671600000,1670900000,1695100000,1716700000,1862800000,1978900000,2341400000,2793800000,3313800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/105770/000095011595000063/0000950115-95-000063-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577096000012/0000105770-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577097000011/0000105770-97-000011-index.html,https://www.sec.gov/Archives/edgar/data/105770/000095011598000641/0000950115-98-000641-index.html,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577000000008/0000105770-00-000008-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577001000008/0000105770-01-000008-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577002000007/0000105770-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577003000007/0000105770-03-000007-index.html,https://www.sec.gov/Archives/edgar/data/105770/000095015404000022/0000950154-04-000022-index.html,https://www.sec.gov/Archives/edgar/data/105770/000010577005000135/0000105770-05-000135-index.html,https://www.sec.gov/Archives/edgar/data/105770/000110465906014167/0001104659-06-014167-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000110465907015074/0001104659-07-015074-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000104746908002017/0001047469-08-002017-index.htm,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577010000011/0000105770-10-000011-index.htm,- -,https://www.sec.gov/Archives/edgar/data/105770/000010577012000011/0000105770-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577013000007/0000105770-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577014000005/0000105770-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577015000007/0000105770-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577016000060/0000105770-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577017000011/0000105770-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577018000006/0000105770-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577019000012/0000105770-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577020000015/0000105770-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000010577021000008/0000105770-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/105770/000162828022003342/0001628280-22-003342-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,20700000,4300000,-8500000,19700000,23500000,27300000,28700000,16400000,44400000,6700000,38700000,1600000,-5200000,18400000,31900000,19400000,45600000,67100000,70700000,86000000,72600000,65300000,75500000,80700000,112300000,127100000,95600000,143600000,150700000,206900000,241700000,346200000,661800000
74,Depreciation and Amortization,- -,- -,- -,- -,20300000,22700000,24500000,23600000,22000000,23100000,29600000,30700000,31900000,32300000,35700000,37000000,32000000,33000000,33000000,33200000,47400000,52700000,56600000,60600000,68100000,73200000,75700000,76900000,85200000,90000000,89900000,90700000,96700000,104400000,103400000,109100000,122300000
75,Deferred Income Tax,- -,- -,- -,- -,-600000,-2600000,-3200000,600000,2500000,-2700000,2000000,-5700000,-7500000,5900000,8500000,100000,1400000,1500000,7500000,-2900000,2300000,4900000,-6400000,7300000,-4800000,-1800000,2900000,5300000,1700000,7000000,-8900000,21500000,41700000,900000,15300000,-5800000,-42900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6400000,7500000,7800000,8400000,15500000,21200000,18600000,29600000,19500000,16100000,15100000,24400000,34000000,37500000
77,Change in Working Capital,- -,- -,- -,- -,1400000,- -,- -,- -,- -,50400000,36200000,4500000,21600000,-57200000,25200000,13100000,-10600000,-9600000,24200000,12200000,2400000,12400000,104600000,-22300000,19000000,40800000,-38100000,66700000,118300000,-7000000,-47400000,41500000,63100000,146700000,106400000,153200000,-193800000
