,https://roic.ai/company/NFLX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,130530000,176012000,251793000,364681000,608779000,647020000,617946000,679734000,982067000,3069196000,3967890000,5412563000,7056651000,10202871000,13586610000,19012742000,25974400000,33975712000,39280359000,44584663000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1065280/000095016803001155/0000950168-03-001155-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312504031416/0001193125-04-031416-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312505051159/0001193125-05-051159-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312506056663/0001193125-06-056663-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312507042689/0001193125-07-042689-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312508040378/0001193125-08-040378-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312509037430/0001193125-09-037430-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312510036181/0001193125-10-036181-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312511040217/0001193125-11-040217-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312512053009/0001193125-12-053009-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/0001065280-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528014000006/0001065280-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/0001065280-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000047/0001065280-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000162828017000496/0001628280-17-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/0001065280-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/0001065280-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/0001065280-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-38618000,-21947000,6512000,21595000,42027000,49082000,66952000,83026000,115860000,160853000,226126000,17152000,112403000,266799000,122641000,186678000,558929000,1211242000,1866916000,2761395000,5116228000
74,Depreciation and Amortization,- -,29797000,26477000,50991000,88204000,107002000,157136000,224986000,242836000,257534000,38099000,43747000,1702083000,2241680000,2781798000,3547045000,4924978000,6330385000,7656457000,9319826000,10922622000,12438779000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-34905000,16150000,-661000,-8427000,6328000,-962000,-18597000,-30071000,-22044000,-30063000,-58655000,-46847000,-208688000,-85520000,-94443000,70066000,199548000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,12618000,27996000,61582000,73948000,73100000,115239000,124725000,173675000,182209000,320657000,405376000,415180000,403220000
77,Change in Working Capital,- -,6937000,- -,9278000,16509000,13668000,128867000,-31015000,-58526000,39214000,67744000,353414000,-40937000,339695000,372755000,624901000,-768582000,1070028000,1003153000,-3884007000,2632987000,-241977000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2256000,139983000,24314000,-3764000,18374000,83812000,51615000,32247000,74559000,199198000,96063000,-41605000,145115000
81,Other Working Capital,- -,66649000,66649000,75927000,92436000,106104000,234971000,203956000,145430000,184644000,252388000,605802000,564865000,904560000,1277315000,1902216000,1133634000,2203662000,3206815000,-677192000,1955795000,-197749000
82,Other Non-Cash Items,- -,6731000,35584000,23011000,21263000,35185000,-103373000,31561000,25128000,-106491000,-17329000,-348560000,-1699410000,-2647003000,-3490045000,-5110096000,-5943886000,-9718811000,-12786468000,-10500990000,-14375173000,-17523188000
83,Cash Provided by Operating Activities,- -,4847000,40114000,89792000,147571000,162977000,247862000,291823000,284037000,325063000,276401000,317712000,22765000,97831000,16483000,-749439000,-1473984000,-1785948000,-2680479000,-2887322000,2427077000,392610000
84,CAPEX,- -,-12084000,-26821000,-64492000,-14962000,-30619000,-197446000,-44806000,-207701000,-46132000,-34342000,-49682000,-89732000,-120070000,-144516000,-169206000,-184830000,-227022000,-212532000,-253035000,-497923000,-524585000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-788349000
86,Purchases of Investments,- -,- -,-43022000,-1679000,-586000,- -,- -,-405340000,-256959000,-228000000,-107362000,-223750000,-477321000,-550264000,-426934000,-371915000,-187193000,-74819000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,45013000,- -,- -,200832000,307333000,209862000,136675000,89098000,312318000,408427000,527250000,363841000,422729000,342859000,- -,- -,- -,- -
88,Other Investing Activites,- -,-586000,2542000,1494000,-97846000,-108099000,11577000,-201499000,12367000,-182009000,-111557000,-81480000,-39459000,-59988000,-73456000,-79870000,-78118000,-60409000,-165174000,-134029000,-7431000,-26919000
89,Cash Used for Investing Activites,- -,-12670000,-67301000,-64677000,-68381000,-138718000,-185869000,-450813000,-144960000,-246079000,-116081000,-265814000,-245919000,-255968000,-42866000,-179192000,49765000,34329000,-339120000,-387064000,-505354000,-1339853000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21158000,-1776000,-2083000,-2614000,-220542000,-1093000,-545000,- -,- -,- -,- -,- -,-500000000
91,Common Stock Issued,- -,125000,88020000,6299000,6035000,13393000,112964000,9611000,18872000,35274000,49776000,219561000,3660000,124557000,60544000,77980000,36979000,88378000,124502000,72490000,235406000,174414000
92,Common Stock Repurchased,- -,-12000,-6000,- -,- -,- -,- -,-99860000,-199904000,-324335000,-210259000,-199666000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600022000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,8946000,-17144000,-1334000,-436000,-79000,13217000,26248000,4397000,225578000,62214000,243844000,4543000,572249000,482261000,1562842000,1054651000,2988612000,3924025000,4433172000,1001905000,-224168000
95,Cash Used/Provided by Financing Activities,- -,9059000,70870000,4965000,5599000,13314000,126181000,-64001000,-176635000,-84641000,-100045000,261656000,5589000,476264000,541712000,1640277000,1091630000,3076990000,4048527000,4505662000,1237311000,-1149776000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-222000,222000,- -,- -,- -,- -,- -,- -,-197000,-3453000,-6686000,-15924000,-9165000,29848000,-39682000,469000,36050000,-86740000
97,Net Change In Cash,- -,1236000,43683000,30080000,84567000,37795000,188174000,-222991000,-37558000,-5657000,60275000,313554000,-217762000,314674000,508643000,695722000,-341754000,1355219000,989246000,1231745000,3195084000,-2183759000
98,Cash at the End of Period,- -,16131000,59814000,89894000,174461000,212256000,400430000,177439000,139881000,134224000,194499000,508053000,290291000,604965000,1113608000,1809330000,1467576000,2822795000,3812041000,5043786000,8238870000,6055111000
99,Cash at the Beginning of Period,- -,14895000,16131000,59814000,89894000,174461000,212256000,400430000,177439000,139881000,134224000,194499000,508053000,290291000,604965000,1113608000,1809330000,1467576000,2822795000,3812041000,5043786000,8238870000
100,Free Cash Flow,- -,-7237000,13293000,25300000,132609000,132358000,50416000,247017000,76336000,278931000,242059000,268030000,-66967000,-22239000,-128033000,-918645000,-1658814000,-2012970000,-2893011000,-3140357000,1929154000,-131975000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1065280/000095016803001155/0000950168-03-001155-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312504031416/0001193125-04-031416-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312505051159/0001193125-05-051159-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312506056663/0001193125-06-056663-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312507042689/0001193125-07-042689-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312508040378/0001193125-08-040378-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312509037430/0001193125-09-037430-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312510036181/0001193125-10-036181-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312511040217/0001193125-11-040217-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312512053009/0001193125-12-053009-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/0001065280-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528014000006/0001065280-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/0001065280-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000047/0001065280-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000162828017000496/0001628280-17-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/0001065280-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/0001065280-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/0001065280-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
