,https://roic.ai/company/MAS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,244600000,302400000,422900000,528200000,660000000,730200000,788900000,899900000,976500000,1077200000,768400000,796000000,892000000,978300000,1536400000,1460270000,1511400000,1637710000,1926000000,2149000000,2032000000,2393000000,2252000000,1835000000,1701000000,1618000000,1585000000,1561000000,1582000000,1607000000,1339000000,1403000000,1442000000,1478000000,1274000000,1292000000,1413000000
11,COGS and Expenses,954300000,1188300000,1667200000,2042400000,2745600000,2846200000,2892700000,3166400000,3482100000,3958400000,2524600000,2756500000,3172900000,3664500000,5395500000,6186300000,7318200000,8088300000,9512000000,10505000000,11065000000,11652000000,10811000000,9059000000,7475000000,7370000000,7268000000,7355000000,7500000000,7741000000,6228000000,6304000000,6475000000,7148000000,5610000000,5893000000,6925000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,1000000,2000000,1000000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,228000000,225000000,251000000,254000000,254000000,235000000,225000000,225000000,229000000,278000000,156000000,159000000,144000000,278000000
14,Depreciation and Amortization,34500000,43800000,63300000,74600000,89100000,93500000,102700000,114500000,116000000,120600000,90100000,99700000,116100000,136300000,181800000,238330000,269490000,220300000,244000000,237000000,241000000,244000000,248000000,238000000,254000000,279000000,263000000,214000000,186000000,167000000,133000000,134000000,127000000,156000000,159000000,133000000,151000000
15,EBITDA,303300000,374700000,397800000,496000000,416200000,329400000,200300000,419300000,478600000,443200000,-199800000,602400000,747000000,891300000,1085900000,1131730000,570190000,1158900000,1513000000,1699000000,1699000000,1144000000,970000000,207000000,247000000,-288000000,-107000000,437000000,804000000,915000000,1006000000,1150000000,1243000000,1304000000,1483000000,1770000000,1047000000
16,EBITDA ratio,0.2628,0.2581,0.1966,0.2034,0.1321,0.1026,0.0638,0.1190,0.1232,0.0992,-0.0683,0.1861,0.1987,0.2051,0.1722,0.1563,0.0682,0.1230,0.1384,0.1407,0.1344,0.0895,0.0824,0.0216,0.0317,-0.0379,-0.0143,0.0564,0.0984,0.1074,0.1409,0.1563,0.1626,0.1560,0.2211,0.2462,0.1250
17,Operating Income,199700000,263700000,356100000,396200000,404900000,362800000,248300000,358600000,403900000,509600000,402400000,480500000,587100000,680500000,911500000,1056700000,1039800000,1331100000,1424000000,1569000000,1577000000,1126000000,959000000,74000000,55000000,-499000000,-295000000,271000000,673000000,788000000,914000000,1053000000,1169000000,1211000000,1088000000,1295000000,1405000000
18,Operating Income ratio,0.1731,0.1816,0.1760,0.1625,0.1285,0.1131,0.0791,0.1017,0.1039,0.1141,0.1375,0.1484,0.1561,0.1566,0.1445,0.1459,0.1244,0.1413,0.1302,0.1299,0.1247,0.0881,0.0815,0.0077,0.0071,-0.0657,-0.0395,0.0350,0.0823,0.0925,0.1280,0.1431,0.1529,0.1449,0.1622,0.1802,0.1678
19,Total Other Income Expenses (Gains),69100000,67200000,-21600000,25200000,-77800000,-126900000,-150700000,-53800000,-41300000,-187000000,-50600000,22200000,43800000,74500000,-7400000,-163300000,-739100000,-300100000,-208000000,-51000000,-165000000,-226000000,-189000000,-285000000,-206000000,-278000000,-177000000,-229000000,-239000000,-213000000,-225000000,-223000000,-284000000,-169000000,-174000000,-164000000,-717000000
20,Income Before Tax,268800000,330900000,334500000,421400000,327100000,235900000,97600000,304800000,362600000,322600000,351800000,502700000,630900000,755000000,904100000,893400000,300700000,1031000000,1216000000,1518000000,1412000000,900000000,770000000,-211000000,-151000000,-777000000,-472000000,42000000,434000000,575000000,689000000,830000000,885000000,1042000000,914000000,1131000000,688000000
21,Income Before Tax Ratio,0.2329,0.2279,0.1653,0.1728,0.1038,0.0735,0.0311,0.0865,0.0933,0.0722,0.1202,0.1553,0.1678,0.1738,0.1433,0.1233,0.0360,0.1095,0.1112,0.1257,0.1117,0.0704,0.0654,-0.0220,-0.0194,-0.1023,-0.0632,0.0054,0.0531,0.0675,0.0965,0.1128,0.1158,0.1247,0.1363,0.1573,0.0821
22,Income Tax expense (Gain),104300000,127500000,115700000,133100000,106200000,97100000,52700000,121700000,141500000,128900000,151700000,207500000,248500000,279000000,334500000,301700000,102200000,348900000,463000000,569000000,518000000,412000000,336000000,132000000,-49000000,225000000,-49000000,83000000,111000000,-333000000,293000000,296000000,305000000,258000000,230000000,269000000,210000000
23,Net Income,164500000,203400000,218800000,288300000,220900000,138800000,44900000,183100000,221100000,193700000,-441600000,295200000,382400000,476000000,569600000,591700000,198500000,589700000,806000000,893000000,940000000,488000000,386000000,-391000000,-183000000,-1043000000,-575000000,-114000000,272000000,856000000,355000000,491000000,533000000,734000000,935000000,1224000000,408000000
24,Net Income ratio,0.1425,0.1401,0.1081,0.1182,0.0701,0.0433,0.0143,0.0519,0.0569,0.0434,-0.1509,0.0912,0.1017,0.1096,0.0903,0.0817,0.0237,0.0626,0.0737,0.0740,0.0744,0.0382,0.0328,-0.0407,-0.0235,-0.1374,-0.0770,-0.0147,0.0333,0.1005,0.0497,0.0667,0.0697,0.0878,0.1394,0.1703,0.0487
25,EPS,0.64,0.78,0.83,1.05,0.71,0.46,0.15,0.61,0.72,0.61,-1.39,0.92,1.20,1.44,1.31,1.34,0.43,1.22,1.68,2.01,2.23,1.24,1.05,-1.11,-0.52,-2.99,-1.65,-0.33,0.78,2.48,1.07,1.54,1.72,2.50,3.39,4.74,1.70
26,EPS Diluted,0.64,0.78,0.83,1.05,0.71,0.46,0.15,0.61,0.70,0.61,-1.39,0.92,1.15,1.39,1.28,1.31,0.42,1.15,1.64,1.96,2.19,1.22,1.03,-1.11,-0.53,-3.00,-1.66,-0.33,0.76,2.38,1.02,1.47,1.66,2.37,3.22,4.59,1.62
27,Weighted Average Shares Outstanding,257031250,260769231,263614458,274571429,311126761,301739130,299333333,300163934,307083333,317540984,318844765,320869565,320000000,330555556,434809160,441567164,461627907,483360656,479761905,444278607,421524664,393548387,367619048,352252252,351000000,348600000,347900000,349000000,349500000,345000000,330500000,318000000,310400000,293900000,275600000,258200000,241200000
28,Weighted Average Shares Outstanding Diluted,257031250,260769231,263614458,274571429,311126761,301739130,299333333,300163934,315857143,317540984,318844765,320869565,332521739,342446043,445000000,451679389,472619048,512782609,491463415,455612245,429223744,400000000,374757282,353000000,351000000,349000000,348000000,349000000,352000000,352000000,341000000,330000000,318000000,307000000,288000000,264000000,251000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62996/000095012401001796/0000950124-01-001796-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62996/000095012407001157/k12528e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000095012408000792/k22937e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000095015209001494/0000950152-09-001494-index.html,https://www.sec.gov/Archives/edgar/data/62996/000095012310013437/0000950123-10-013437-index.html,https://www.sec.gov/Archives/edgar/data/62996/000095012311015716/k49882e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000119312512070524/0001193125-12-070524-index.html,https://www.sec.gov/Archives/edgar/data/62996/000119312513062852/0001193125-13-062852-index.html,https://www.sec.gov/Archives/edgar/data/62996/000104746914000923/a2218121z10-k.htm,https://www.sec.gov/Archives/edgar/data/62996/000104746915000803/a2222936z10-k.htm,https://www.sec.gov/Archives/edgar/data/62996/000104746916010135/0001047469-16-010135-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299617000008/0000062996-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299618000015/0000062996-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000011/0000062996-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299620000006/0000062996-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299621000008/0000062996-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/62996/000006299622000011/0000062996-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,61200000,60500000,473700000,441300000,541700000,230800000,169430000,311990000,1066570000,795000000,1256000000,1964000000,1958000000,922000000,1028000000,1413000000,1715000000,1656000000,1351000000,1223000000,1383000000,1468000000,990000000,1194000000,559000000,697000000,1326000000,926000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000000,306000000,248000000,201000000,108000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,61200000,60500000,473700000,441300000,541700000,230800000,169430000,311990000,1066570000,795000000,1256000000,1964000000,1958000000,922000000,1028000000,1413000000,1715000000,1656000000,1351000000,1544000000,1689000000,1716000000,1191000000,1302000000,559000000,697000000,1326000000,926000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,755100000,439900000,466900000,559100000,700100000,1002600000,1099150000,1204210000,1546360000,1674000000,1732000000,1716000000,1613000000,1405000000,999000000,983000000,888000000,914000000,965000000,1004000000,1040000000,853000000,917000000,1021000000,1153000000,997000000,1138000000,1171000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,948800000,391800000,411900000,515000000,559000000,769900000,912960000,913100000,1055620000,1019000000,1132000000,1127000000,1263000000,1126000000,941000000,743000000,732000000,769000000,792000000,765000000,819000000,687000000,712000000,796000000,946000000,754000000,876000000,1216000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,126300000,72300000,77300000,111300000,61800000,106500000,126620000,197620000,281220000,316000000,282000000,316000000,281000000,355000000,332000000,312000000,129000000,90000000,109000000,155000000,315000000,72000000,114000000,96000000,108000000,263000000,149000000,109000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1891400000,964500000,1429800000,1626700000,1862600000,2109800000,2308160000,2626920000,3949770000,3804000000,4402000000,5123000000,5115000000,3808000000,3300000000,3451000000,3464000000,3429000000,3217000000,3468000000,3863000000,3328000000,2934000000,3215000000,2766000000,2711000000,3489000000,3422000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1231800000,856700000,940600000,1037300000,1164300000,1624400000,1906840000,2016730000,2315060000,2339000000,2272000000,2173000000,2363000000,2367000000,2136000000,1981000000,1737000000,1567000000,1429000000,1252000000,1139000000,1027000000,1060000000,1129000000,1223000000,1054000000,1074000000,1083000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3957000000,3938000000,3371000000,3108000000,2383000000,1891000000,1894000000,1903000000,1884000000,839000000,832000000,841000000,898000000,509000000,563000000,568000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,706200000,343500000,457400000,729200000,1036300000,1742900000,2190770000,3522670000,4651020000,4835000000,4734000000,4478000000,306000000,323000000,299000000,290000000,269000000,196000000,151000000,149000000,145000000,160000000,154000000,187000000,406000000,259000000,357000000,388000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,706200000,343500000,457400000,729200000,1036300000,1742900000,2190770000,3522670000,4651020000,4835000000,4734000000,4478000000,4263000000,4261000000,3670000000,3398000000,2652000000,2087000000,2045000000,2052000000,2029000000,999000000,986000000,1028000000,1304000000,768000000,920000000,956000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95000000,88000000,50000000,48000000,18000000,13000000,12000000,11000000,157000000,25000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184000000,68000000,48000000,42000000,99000000,109000000,57000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,560600000,1613900000,873900000,940600000,1104200000,1157800000,1338230000,1017010000,1134580000,1171000000,1133000000,785000000,584000000,471000000,377000000,345000000,287000000,214000000,89000000,73000000,86000000,94000000,71000000,55000000,46000000,384000000,28000000,32000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2498600000,2814100000,2271900000,2707100000,3304800000,4525100000,5435840000,6556410000,8100660000,8345000000,8139000000,7436000000,7210000000,7099000000,6183000000,5724000000,4676000000,3868000000,3658000000,3465000000,3304000000,2352000000,2203000000,2273000000,2627000000,2316000000,2288000000,2153000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4390000000,3778600000,3701700000,4333800000,5167400000,6634900000,7744000000,9183330000,12050430000,12149000000,12541000000,12559000000,12325000000,10907000000,9483000000,9175000000,8140000000,7297000000,6875000000,6933000000,7167000000,5680000000,5137000000,5488000000,5393000000,5027000000,5777000000,5575000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,201300000,125200000,149500000,166300000,171300000,243800000,250460000,322280000,541590000,715000000,837000000,837000000,815000000,714000000,531000000,578000000,602000000,770000000,819000000,902000000,950000000,749000000,800000000,824000000,926000000,697000000,893000000,1045000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,48400000,25700000,7600000,68500000,254000000,62300000,210950000,129860000,321180000,334000000,80000000,832000000,1446000000,122000000,71000000,364000000,66000000,803000000,206000000,6000000,505000000,1005000000,2000000,116000000,8000000,2000000,42000000,48000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,32000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,40000000,62000000,67000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,351600000,295000000,361300000,385200000,421300000,540300000,616640000,784420000,1069680000,1050000000,1230000000,1225000000,1128000000,1072000000,945000000,839000000,819000000,790000000,837000000,874000000,756000000,752000000,658000000,688000000,709000000,809000000,937000000,779000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,601300000,445900000,518400000,620000000,846600000,846400000,1078050000,1236560000,1932450000,2099000000,2147000000,2894000000,3389000000,1908000000,1547000000,1781000000,1487000000,2363000000,1862000000,1782000000,2211000000,2506000000,1460000000,1628000000,1684000000,1548000000,1934000000,1939000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1592600000,1577100000,1236300000,1321500000,1391400000,2431300000,3018240000,3627630000,4316470000,3848000000,4187000000,3915000000,3533000000,3966000000,3915000000,3604000000,4032000000,3222000000,3422000000,3421000000,2919000000,2418000000,2995000000,2969000000,2971000000,2771000000,2941000000,3121000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,83500000,100300000,107100000,163300000,200800000,220700000,221650000,199310000,507670000,746000000,740000000,902000000,932000000,1008000000,1175000000,973000000,1039000000,970000000,1057000000,967000000,106000000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,100000,- -,- -,- -,- -,- -,- -,- -,44000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,803000000,698000000,785000000,715000000,669000000,764000000,481000000,459000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1676000000,1677300000,1343500000,1484800000,1592200000,2652000000,3239890000,3826940000,4824140000,4594000000,4971000000,4817000000,4465000000,4974000000,5090000000,4577000000,5071000000,4192000000,4479000000,4388000000,3828000000,3116000000,3780000000,3684000000,3640000000,3535000000,3422000000,3580000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,188000000,210000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2277300000,2123200000,1861900000,2104800000,2438800000,3498400000,4317940000,5063500000,6756590000,6693000000,7118000000,7711000000,7854000000,6882000000,6637000000,6358000000,6558000000,6555000000,6341000000,6170000000,6039000000,5622000000,5240000000,5312000000,5324000000,5083000000,5356000000,5519000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443500000,444750000,459050000,488890000,458000000,447000000,419000000,384000000,359000000,351000000,350000000,349000000,348000000,349000000,349000000,345000000,330000000,318000000,310000000,294000000,276000000,258000000,241000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1924700000,1366300000,1536400000,1784400000,2111800000,2151500000,2519940000,2468230000,2783490000,3299000000,3880000000,4286000000,3575000000,2969000000,2162000000,1871000000,720000000,38000000,-102000000,55000000,690000000,-300000000,-381000000,-305000000,-278000000,-332000000,79000000,-652000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-686100000,-485700000,-533500000,-588100000,-647500000,-814700000,-926450000,-1013220000,-1145510000,-1258000000,-1263000000,328000000,512000000,697000000,308000000,366000000,273000000,76000000,59000000,115000000,-111000000,-165000000,-235000000,-65000000,-127000000,-179000000,-142000000,232000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,874100000,774800000,836900000,1032700000,1264300000,1356200000,1387820000,2205770000,3166950000,2957000000,2359000000,-185000000,- -,- -,25000000,42000000,42000000,65000000,16000000,16000000,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2112700000,1655400000,1839800000,2229000000,2728600000,3136500000,3426060000,4119830000,5293840000,5456000000,5423000000,4848000000,4471000000,4025000000,2846000000,2629000000,1384000000,527000000,322000000,535000000,924000000,-135000000,-298000000,-60000000,-111000000,-235000000,195000000,-179000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4390000000,3778600000,3701700000,4333800000,5167400000,6634900000,7744000000,9183330000,12050430000,12149000000,12541000000,12559000000,12325000000,10907000000,9483000000,8987000000,7942000000,7082000000,6663000000,6705000000,6963000000,5487000000,4942000000,5252000000,5213000000,4848000000,5551000000,5340000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000000,198000000,215000000,212000000,228000000,204000000,193000000,195000000,236000000,180000000,179000000,226000000,235000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,4390000000,3778600000,3701700000,4333800000,5167400000,6634900000,7744000000,9183330000,12050430000,12149000000,12541000000,12559000000,12325000000,10907000000,9483000000,9175000000,8140000000,7297000000,6875000000,6933000000,7167000000,5680000000,5137000000,5488000000,5393000000,5027000000,5777000000,5575000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62996/000095012401001796/0000950124-01-001796-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/62996/000095012407001157/k12528e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000095012408000792/k22937e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000095015209001494/0000950152-09-001494-index.html,https://www.sec.gov/Archives/edgar/data/62996/000095012310013437/0000950123-10-013437-index.html,https://www.sec.gov/Archives/edgar/data/62996/000095012311015716/k49882e10vk.htm,https://www.sec.gov/Archives/edgar/data/62996/000119312512070524/0001193125-12-070524-index.html,https://www.sec.gov/Archives/edgar/data/62996/000119312513062852/0001193125-13-062852-index.html,https://www.sec.gov/Archives/edgar/data/62996/000104746914000923/a2218121z10-k.htm,https://www.sec.gov/Archives/edgar/data/62996/000104746915000803/a2222936z10-k.htm,https://www.sec.gov/Archives/edgar/data/62996/000104746916010135/0001047469-16-010135-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299617000008/0000062996-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299618000015/0000062996-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299619000011/0000062996-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299620000006/0000062996-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/62996/000006299621000008/0000062996-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/62996/000006299622000011/0000062996-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,220900000,138800000,44900000,183100000,221100000,193700000,-441600000,295200000,382400000,476000000,569600000,591700000,198500000,589700000,806000000,893000000,940000000,488000000,386000000,-391000000,-183000000,-1043000000,-575000000,-114000000,272000000,856000000,355000000,491000000,533000000,734000000,935000000,1224000000,408000000
74,Depreciation and Amortization,- -,- -,- -,- -,89100000,93500000,102700000,114500000,116000000,120600000,90100000,99700000,116100000,136300000,181800000,238330000,269490000,220300000,244000000,237000000,241000000,244000000,248000000,238000000,254000000,279000000,263000000,214000000,186000000,167000000,133000000,134000000,127000000,156000000,159000000,133000000,151000000
75,Deferred Income Tax,- -,- -,- -,- -,-2100000,6300000,-3600000,11600000,-8500000,-36100000,18200000,28900000,34900000,45900000,5200000,15260000,-94890000,63500000,179000000,91000000,75000000,-42000000,-41000000,20000000,-83000000,168000000,-112000000,50000000,42000000,-406000000,212000000,130000000,43000000,46000000,-18000000,22000000,-53000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000000,69000000,62000000,61000000,61000000,54000000,47000000,41000000,29000000,38000000,27000000,35000000,45000000,61000000
77,Change in Working Capital,- -,- -,- -,- -,-61900000,- -,- -,- -,- -,1290100000,-771500000,392800000,95300000,9300000,247400000,-33290000,160250000,626960000,-312320000,550000000,-26000000,-503000000,174000000,-147000000,-83000000,307000000,-911000000,289000000,331000000,-34000000,-830000000,652000000,113000000,-505000000,81000000,392000000,-224000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
