,https://roic.ai/company/ELY,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,0.01,0.01,0.04,0.17,0.57,1.47,1.73,1.94,-0.38,0.79,1.16,0.84,1.04,0.69,-0.15,0.19,0.34,0.82,1.05,-0.33,-0.46,-2.82,-1.98,-0.31,0.21,0.18,2.02,0.43,1.11,0.84,-1.35,3.42
26,EPS Diluted,0.01,0.01,0.04,0.15,0.54,1.40,1.73,1.85,-0.38,0.78,1.13,0.82,1.03,0.68,-0.15,0.19,0.34,0.81,1.04,-0.33,-0.46,-2.82,-1.98,-0.31,0.20,0.17,1.98,0.42,1.08,0.82,-1.35,3.42
27,Weighted Average Shares Outstanding,360000000,55752000,56460000,67590000,68095000,66462585,70661000,68407000,69463000,70397000,69946000,69809000,66517000,66027000,67721000,68646000,67732000,66371000,63055000,63176000,63902000,64601000,67061000,72809000,77559000,83116000,94045000,94329000,94579000,94251000,94201000,94025185
28,Weighted Average Shares Outstanding Diluted,360000000,55752000,56460000,67590000,68095000,69785714,70661000,71698000,69463000,71214000,71412000,71314000,67274000,66471000,67721000,69239000,68503000,67484000,63798000,63176000,63902000,64601000,67061000,72809000,78385000,84611000,95845000,96577000,97153000,96287000,94201000,94025185
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/837465/000093639203000258/a88298ore10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000093639204000209/a96880e10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000093639205000054/a05839e10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312506039141/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312507044062/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312508041974/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312509039469/0001193125-09-039469-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312510043146/0001193125-10-043146-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312511050374/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312512094413/0001193125-12-094413-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312513098448/0001193125-13-098448-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746514000002/ely-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746515000003/ely-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746516000014/0000837465-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746517000002/0000837465-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746518000004/0000837465-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746519000002/0000837465-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746520000002/0000837465-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746521000003/0000837465-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746522000005/0000837465-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,5200000,20000000,49000000,54400000,59200000,108500000,26200000,45600000,112600000,102596000,84263000,108452000,47340000,31657000,49481000,46362000,49875000,38337000,78314000,55043000,43023000,52003000,36793000,37635000,49801000,125975000,85674000,63981000,106666000,366119000,352221000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6422000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111442000,- -
33,Cash and Short-Term Investments,1300000,5200000,20000000,49000000,54400000,59200000,108500000,26200000,45600000,112600000,102596000,90685000,108452000,47340000,31657000,49481000,46362000,49875000,38337000,78314000,55043000,43023000,52003000,36793000,37635000,49801000,125975000,85674000,63981000,106666000,477561000,352221000
34,Net Receivables,2100000,6100000,11300000,17500000,30100000,73900000,74500000,124500000,73500000,54300000,58836000,48653000,63867000,100664000,133850000,100108000,127227000,121296000,135616000,159506000,154878000,119327000,92882000,92431000,110776000,116094000,128500000,95267000,72087000,150374000,139111000,105331000
35,Inventory,8500000,11200000,15300000,29000000,74200000,51600000,98300000,97100000,149200000,97900000,133962000,167760000,151760000,185389000,181230000,241577000,265110000,253001000,257191000,219178000,268591000,233070000,211734000,263492000,207229000,208883000,189400000,262486000,338057000,456639000,352544000,533457000
36,Other Current Assets,700000,2900000,8600000,16000000,28700000,25000000,30200000,34000000,55300000,45700000,47075000,47593000,44948000,50069000,46995000,47424000,54501000,72409000,58859000,55989000,66096000,23909000,30377000,28887000,28393000,16709000,16550000,22557000,50781000,75671000,-56589000,174744000
37,Total Current Assets,12600000,25400000,55200000,111500000,187400000,209700000,311500000,281800000,323600000,310500000,342469000,354691000,369027000,383462000,393732000,438590000,493200000,496581000,490003000,512987000,544608000,419329000,386996000,421603000,384033000,391487000,460425000,465984000,524906000,789350000,912627000,1165753000
38,PP&E,1900000,2800000,12800000,30700000,50600000,69000000,91300000,142500000,172800000,142200000,134712000,133250000,167340000,164763000,135865000,127739000,131224000,128036000,142145000,143436000,129601000,117147000,89093000,71341000,58093000,55808000,54475000,70227000,88472000,292858000,341271000,2835903000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30833000,32060000,29744000,31113000,30630000,29203000,29034000,29212000,27821000,26500000,25593000,56429000,55816000,203743000,56658000,- -
40,Intangible Assets,200000,400000,700000,- -,- -,- -,- -,112100000,127800000,120100000,112824000,121313000,121317000,169851000,179636000,175191000,144326000,140985000,146945000,142904000,131327000,121935000,89189000,88901000,88833000,88782000,88731000,225758000,224692000,493423000,484339000,- -
41,Intangible Assets,200000,400000,700000,- -,- -,- -,- -,112100000,127800000,120100000,112824000,121313000,121317000,169851000,179636000,175191000,175159000,173045000,176689000,174017000,161957000,151138000,118223000,118113000,116654000,115282000,114324000,282187000,280508000,697166000,540997000,3488708000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,50677000,53315000,48997000,70495000,72238000,90134000,111442000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20282000,5216000,12289000,9837000,6516000,18821000,18885000,6299000,10463000,11874000,1386000,1910000,2299000,2346000,6962000,114707000,91398000,75079000,73948000,59735000,- -
44,Other Non-Current Assets,- -,200000,200000,2200000,5600000,11300000,25600000,25300000,31600000,44000000,40929000,18066000,16945000,18201000,16667000,16462000,27543000,40416000,40202000,35027000,36939000,38112000,41414000,12507000,13008000,8370000,8354000,10866000,11741000,17092000,14528000,257416000
45,Total Non-Current Assets,2100000,3400000,13700000,32900000,56200000,80300000,116900000,279900000,332200000,306300000,288465000,292911000,310818000,365104000,342005000,325908000,352747000,360382000,365335000,362943000,340371000,307783000,250640000,242260000,240778000,239737000,340857000,525173000,528038000,1171198000,1067973000,6582027000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14700000,28800000,68900000,144400000,243600000,290000000,428400000,561700000,655800000,616800000,630934000,647602000,679845000,748566000,735737000,764498000,845947000,856963000,855338000,875930000,884979000,727112000,637636000,663863000,624811000,631224000,801282000,991157000,1052944000,1960548000,1980600000,7747780000
48,Accounts Payable,- -,7000000,6900000,11900000,17700000,26900000,15000000,30100000,35900000,46700000,44173000,38261000,61720000,79787000,16658000,26524000,40947000,33019000,- -,31778000,139312000,39012000,45376000,59914000,46154000,54789000,54574000,63204000,42468000,67843000,66282000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,83900000,- -,- -,2374000,3160000,240000,13039000,21000,80000000,36507000,90000000,- -,- -,- -,- -,25660000,15235000,14969000,11966000,90122000,42711000,178315000,66308000,216978000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1492000,971000,2558000,3430000,5425000,2623000,1823000,4404000,1295000,1091000,12104000,5908000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93873000
52,Other Current Liabilities,3900000,2100000,8900000,15900000,38900000,35900000,46100000,42300000,64200000,58600000,65133000,61239000,44281000,50133000,91101000,113660000,102508000,154022000,163411000,119676000,35854000,128772000,116190000,140622000,122739000,108878000,120314000,161048000,218058000,277088000,258682000,555174000
53,Total Current Liabilities,3900000,9100000,15800000,27800000,56600000,62800000,61100000,72400000,184000000,105300000,109306000,101874000,109161000,130160000,120798000,140205000,223455000,223548000,253411000,151454000,175166000,167784000,161566000,226196000,184128000,178636000,186854000,314374000,303237000,523246000,391272000,866025000
54,Long-Term Debt,2100000,4500000,3400000,- -,600000,2200000,- -,- -,- -,- -,- -,3160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107133000,107835000,108574000,- -,- -,9448000,7218000,443259000,650564000,1025278000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16256000,21252000,14993000,1243000,1376000,31429000,33533000,35271000,35043000,35093000,1596000,1822000,1796000,73483000,58628000,163591000
57,Other Non-Current Liabilities,- -,- -,-100000,- -,- -,100000,5000000,7900000,18700000,11600000,9884000,28219000,27297000,29023000,28622000,28245000,27132000,41955000,6566000,13351000,12591000,15085000,13696000,9942000,5532000,4550000,4232000,6138000,6385000,153207000,204492000,2009984000
58,Total Non-Current Liabilities,2100000,4500000,3300000,- -,600000,2300000,5000000,7900000,18700000,11600000,9884000,31379000,27297000,29023000,28622000,28245000,43388000,63207000,21559000,14594000,13967000,46514000,154362000,153048000,149149000,39643000,5828000,17408000,15399000,669949000,913684000,3198853000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154000,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,164114000,207575000,- -
61,Total Liabilities,6000000,13600000,19100000,27800000,57200000,65100000,66100000,80300000,202700000,116900000,119190000,133253000,136458000,159183000,149420000,168450000,266843000,286755000,274970000,166048000,189133000,214298000,315928000,379244000,333277000,218279000,192682000,331782000,318636000,1193195000,1304956000,4064878000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,14000,14000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,790000,827000,836000,837000,848000,850000,851000,663000,663000,663000,663000,663000,723000,783000,784000,938000,942000,950000,956000,956000,956000,- -
64,Retained Earnings,-3000000,3500000,17700000,58600000,114700000,131700000,238300000,298200000,254300000,288100000,349681000,388609000,439454000,466441000,437269000,430996000,435074000,470469000,518851000,474379000,442405000,247941000,113831000,77038000,89932000,101047000,287129000,324081000,413799000,489382000,360228000,- -
65,Other Comprehensive Income/Loss,-600000,-1200000,-2100000,-5000000,-10800000,-21300000,-33800000,-52100000,-79200000,-101100000,-124862000,-132995000,-138068000,2890000,-1481000,-5637000,7569000,16746000,-6376000,6240000,13564000,14071000,14770000,12177000,-796000,-11813000,-18466000,-6166000,-13700000,-22422000,-6546000,- -
66,Other Total Stockholders Equity,12300000,12900000,34200000,63000000,82500000,114500000,157800000,235300000,278000000,312100000,286135000,257908000,241165000,119215000,149681000,169839000,133623000,80352000,65017000,225962000,236588000,247267000,189662000,194621000,201614000,322773000,329301000,330766000,323519000,299437000,321006000,3682902000
67,Total Stockholders Equity,8700000,15200000,49800000,116600000,186400000,224900000,362300000,481400000,453100000,499900000,511744000,514349000,543387000,589383000,586317000,596048000,577117000,568230000,578155000,707258000,693234000,509956000,318990000,284619000,291534000,412945000,598906000,649631000,724574000,767353000,675644000,3682902000
68,Total Liabilities And Stockholders Equity,14700000,28800000,68900000,144400000,243600000,290000000,428400000,561700000,655800000,616800000,630934000,647602000,679845000,748566000,735737000,764498000,843960000,854985000,853125000,873306000,882367000,724254000,634918000,663863000,624811000,631224000,791588000,981413000,1043210000,1960548000,1980600000,7747780000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1987000,1978000,2213000,2624000,2612000,2858000,2718000,- -,- -,- -,9694000,9744000,9734000,- -,- -,- -
70,Total Liabilities & Equity,14700000,28800000,68900000,144400000,243600000,290000000,428400000,561700000,655800000,616800000,630934000,647602000,679845000,748566000,735737000,764498000,845947000,856963000,855338000,875930000,884979000,727112000,637636000,663863000,624811000,631224000,801282000,991157000,1052944000,1960548000,1980600000,7747780000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/837465/000093639203000258/a88298ore10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000093639204000209/a96880e10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000093639205000054/a05839e10vk.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312506039141/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312507044062/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312508041974/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312509039469/0001193125-09-039469-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312510043146/0001193125-10-043146-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312511050374/d10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000119312512094413/0001193125-12-094413-index.html,https://www.sec.gov/Archives/edgar/data/837465/000119312513098448/0001193125-13-098448-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746514000002/ely-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746515000003/ely-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746516000014/0000837465-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746517000002/0000837465-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746518000004/0000837465-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746519000002/0000837465-19-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746520000002/0000837465-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/837465/000083746521000003/0000837465-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/837465/000083746522000005/0000837465-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6400000,19300000,42900000,78000000,97700000,122300000,132700000,-26600000,55300000,80999000,58375000,69446000,45523000,-10103000,13284000,23290000,54587000,66176000,-15260000,-18804000,-171820000,-122946000,-18921000,16008000,14568000,189900000,40806000,104740000,79408000,-126934000,321988000
74,Depreciation and Amortization,- -,600000,1300000,3000000,6200000,10800000,12700000,19400000,35900000,39900000,40249000,37467000,37640000,44496000,51154000,38260000,32274000,35326000,37963000,40748000,40949000,38636000,34411000,25543000,21236000,17379000,16586000,17605000,19948000,34951000,39508000,155822000
75,Deferred Income Tax,- -,-1800000,-5000000,- -,-11700000,5000000,-4400000,1000000,-36200000,10000000,4906000,1732000,11357000,-8320000,7707000,-3906000,979000,9047000,13977000,3424000,-3788000,55930000,-1925000,-2309000,604000,128000,-141447000,24594000,21705000,-1381000,-12507000,8415000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8756000,9588000,9570000,3142000,3533000,5740000,7542000,8965000,12647000,13530000,12896000,10927000,38685000
77,Change in Working Capital,- -,-1400000,23100000,44300000,47100000,16100000,103500000,-41000000,-69800000,65600000,27963000,19654000,7049000,-6564000,19632000,25451000,-28640000,3288000,-36441000,124941000,7909000,-117897000,-26115000,-30023000,4498000,12946000,60720000,-121961000,70059000,44435000,255251000,-221627000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18133000,-11567000,-2096000,28100000,23701000,-6690000,-23314000,-11591000,-16965000,51618000,-2109000,-44476000,9950000,- -
79,Inventory,- -,-2700000,-4100000,-13800000,-45000000,22500000,-44400000,6300000,-42700000,51000000,-39402000,-37147000,21785000,4897000,10299000,-65595000,-16842000,17292000,-14847000,47415000,-38824000,36460000,20216000,-60966000,47334000,-5347000,24251000,-52010000,-78017000,-33952000,116963000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1042000,34663000,-30578000,5382000,12553000,15414000,22268000,34908000,-9899000,- -
81,Other Working Capital,- -,16300000,39400000,83700000,130800000,146900000,250400000,209400000,139600000,205200000,233163000,252817000,259866000,253302000,272934000,298385000,269745000,273033000,236592000,361533000,369442000,251545000,225430000,195407000,199905000,212851000,273571000,151610000,221669000,266104000,521355000,299728000
82,Other Non-Cash Items,- -,1200000,-24800000,-57200000,-77800000,-34200000,-159400000,53400000,127100000,-4500000,-63054000,-17075000,13722000,43608000,-59853000,-2791000,-10616000,49734000,-39970000,-119738000,-26222000,195679000,84625000,13228000,-11206000,-21982000,-57014000,144008000,-137700000,-83759000,61993000,-25026000
83,Cash Provided by Operating Activities,- -,5000000,13900000,33000000,41800000,95400000,74700000,165500000,30400000,166300000,91063000,100153000,139214000,118743000,8537000,70298000,17287000,151982000,41705000,42871000,9632000,10098000,-28808000,-8949000,36880000,30581000,77710000,117699000,92282000,86550000,228238000,278257000
84,CAPEX,- -,-1500000,-11400000,-20900000,-26100000,-29500000,-35400000,-67900000,-78600000,-58600000,-28386000,-35274000,-73502000,-7810000,-25986000,-34259000,-32453000,-32930000,-51005000,-38845000,-22216000,-28931000,-18403000,-13038000,-10753000,-14369000,-16152000,-26203000,-36825000,-54702000,-39262000,-322274000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-444000,-5758000,- -,-160321000,-9204000,- -,374000,- -,-9797000,- -,- -,- -,- -,-13637000,-14771000,-940000,21981000,-204977000,-1743000,-481002000,-19999000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6422000,-2000000,- -,- -,- -,-10008000,-3698000,-763000,-89000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6998000,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19096000
88,Other Investing Activites,- -,- -,-300000,- -,- -,100000,-500000,-129300000,3500000,5100000,244000,4629000,871000,178000,431000,1363000,469000,11460000,-50960000,-38590000,-24797000,-9560000,5545000,-8890000,-10295000,-17471000,-13028000,-25616000,-36782000,-54664000,-39213000,-180980000
89,Cash Used for Investing Activites,- -,-1500000,-11700000,-20900000,-26100000,-29400000,-35900000,-197200000,-75100000,-53500000,-28586000,-42825000,-67633000,-167929000,-34759000,-32896000,-41618000,-25168000,-61520000,-38679000,-24797000,-9560000,5545000,-22527000,-25066000,-18411000,8953000,-230593000,-38525000,-535666000,-59212000,-161864000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000000,- -,- -,- -,- -,-10425000,-266000,-3003000,- -,-49641000,-37391000,-135679000,-200693000
