,https://roic.ai/company/CASY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.14,0.19,0.22,0.16,0.19,0.20,0.25,0.29,0.34,0.44,0.51,0.52,0.63,0.76,0.76,0.71,0.64,0.80,0.73,0.73,1.19,1.22,1.67,1.68,2.29,2.22,3.04,2.86,3.46,4.62,5.73,4.48,8.34,5.51,7.10,8.38
27,Weighted Average Shares Outstanding,44285714,45263158,46086957,43750000,44210526,42857143,44230769,44333333,45479452,52045455,52549020,52427184,52343750,52894737,51905263,49297183,49601562,49420000,49953425,50346575,50390000,50317886,50664881,50787309,50899000,42285000,38068000,38297000,38458000,38743227,39016299,39124665,37778304,36709940,36956115,37092273
28,Weighted Average Shares Outstanding Diluted,44285714,45263158,48181818,43750000,44210526,45000000,46000000,45862069,48823529,52045455,52549020,52954545,53174603,52894737,51905263,49297183,49601562,49420000,49953425,50346575,50813445,50730328,50968263,50917479,51053000,42567000,38392000,38620000,38868000,39103833,39422199,39578998,38132099,36975387,37185828,37356138
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726958/000095012494001250/0000950124-94-001250-index.html,https://www.sec.gov/Archives/edgar/data/726958/000095012495002249/0000950124-95-002249-index.html,https://www.sec.gov/Archives/edgar/data/726958/000095012496003247/0000950124-96-003247-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726958/000095013102002825/0000950131-02-002825-index.html,- -,https://www.sec.gov/Archives/edgar/data/726958/000119312504117913/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312505141692/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312506146200/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312507147153/0001193125-07-147153-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312508141469/0001193125-08-141469-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312509140503/0001193125-09-140503-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312510148944/0001193125-10-148944-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312511175866/0001193125-11-175866-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/d372825d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/0001193125-13-274177-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312514253245/0001193125-14-253245-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/0000726958-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695816000258/0000726958-16-000258-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695817000055/0000726958-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695818000097/0000726958-18-000097-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695819000078/0000726958-19-000078-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695820000085/0000726958-20-000085-index.htm,https://www.sec.gov/Archives/edgar/data/726958/000072695821000078/0000726958-21-000078-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,800000,27300000,15200000,7000000,1300000,2800000,1500000,2100000,3200000,5500000,12700000,3100000,4000000,5900000,15917000,22958000,18946000,40544000,45887000,49051000,75369000,107067000,154523000,145695000,151676000,59572000,55919000,41271000,121641000,48541000,75775000,76717000,53679000,63296000,78275000,336545000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7925000,18225000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,800000,27300000,15200000,7000000,1300000,2800000,1500000,2100000,3200000,5500000,12700000,3100000,4000000,5900000,23842000,41183000,18956000,40544000,45887000,49051000,75369000,107067000,154523000,145695000,151676000,59572000,55919000,41271000,121641000,48541000,75775000,76717000,53679000,63296000,78275000,336545000
34,Net Receivables,1400000,1500000,2100000,2400000,2100000,1900000,1900000,2100000,2800000,3100000,2700000,2700000,2500000,2800000,4111000,8477000,14349000,8731000,16633000,13408000,12719000,16165000,24413000,19215000,22912000,63530000,38124000,30720000,38314000,41832000,42114000,63145000,95727000,66751000,63167000,89276000
35,Inventory,11600000,13700000,18700000,19100000,20000000,20300000,21900000,25700000,23800000,27300000,32400000,36500000,39200000,47200000,41363000,51772000,60498000,63009000,77895000,75392000,96255000,109702000,124503000,106528000,124951000,159200000,170794000,189514000,204833000,197331000,204988000,201644000,241668000,273040000,236007000,286598000
36,Other Current Assets,1500000,700000,2700000,2600000,7100000,6600000,7700000,16600000,11600000,7300000,22200000,12400000,6800000,14300000,5745000,5461000,3816000,4590000,6392000,4579000,7063000,7891000,9817000,13289000,10724000,11585000,14441000,11312000,13356000,17556000,3008000,9179000,5766000,7493000,9801000,11214000
37,Total Current Assets,15300000,43200000,38700000,31100000,30500000,31600000,33000000,46500000,41400000,43200000,70000000,54700000,52500000,70200000,75061000,106893000,97619000,116874000,146807000,142430000,191406000,240825000,313256000,284727000,310263000,293887000,279278000,272817000,378144000,305260000,325885000,350685000,396840000,410580000,387250000,723633000
38,PP&E,55100000,71700000,93600000,126200000,151000000,162700000,183600000,217400000,264400000,294500000,328300000,367500000,419900000,484500000,546991000,585294000,636644000,657643000,686625000,722912000,774825000,833308000,848738000,918410000,1010911000,1217305000,1378749000,1581925000,1778965000,2019364000,2252475000,2513158000,2902920000,3110626000,3323801000,3493459000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14414000,46588000,48308000,50976000,57547000,88042000,104385000,114791000,120406000,127046000,128566000,132806000,140258000,157223000,161075000,161075000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14414000,46588000,48308000,50976000,57547000,88042000,104385000,114791000,120406000,127046000,128566000,132806000,140258000,157223000,161075000,161075000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1700000,3500000,4600000,4200000,3900000,3400000,2900000,16900000,12400000,7500000,6500000,4800000,7600000,8200000,1513000,1297000,992000,808000,1154000,5567000,6894000,8550000,8898000,8582000,10054000,11721000,12403000,14485000,15947000,18295000,19222000,23453000,29909000,52947000,71766000,82147000
45,Total Non-Current Assets,56800000,75200000,98200000,130400000,154900000,166100000,186500000,234300000,276800000,302000000,334800000,372300000,427500000,492700000,548504000,586591000,637636000,658451000,687779000,728479000,796133000,888446000,905944000,977968000,1078512000,1317068000,1495537000,1711201000,1915318000,2164705000,2400263000,2669417000,3073087000,3320796000,3556642000,3736681000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,72100000,118400000,136900000,161500000,185400000,197700000,219500000,280800000,318200000,345200000,404800000,427000000,480000000,562900000,623565000,693484000,735255000,775325000,834586000,870909000,987539000,1129271000,1219200000,1262695000,1388775000,1610955000,1774815000,1984018000,2293462000,2469965000,2726148000,3020102000,3469927000,3731376000,3943892000,4460314000
48,Accounts Payable,- -,- -,- -,- -,19500000,24100000,29300000,31400000,37400000,39900000,36200000,37200000,43700000,44200000,60959000,67735000,69912000,64880000,83388000,100640000,146121000,134375000,163343000,115436000,145334000,215675000,211165000,232913000,250807000,226577000,241207000,293903000,321419000,335240000,184800000,355471000
49,Short-Term Debt,800000,700000,5500000,8600000,6700000,5000000,9000000,15600000,23400000,19800000,29700000,14600000,22100000,16800000,55653000,9482000,9648000,19897000,28345000,27636000,51628000,47566000,34383000,28442000,24577000,1767000,10737000,74910000,553000,15398000,15375000,16321000,54974000,92205000,690280000,2354000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17283000,19111000,20229000,22572000,23523000,24091000,26721000,29117000,32931000,36348000,39399000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,13100000,13000000,18400000,20400000,3700000,6700000,8300000,8500000,14700000,17300000,17000000,22000000,24200000,22800000,24039000,24824000,32513000,32561000,34107000,41851000,45947000,52326000,61373000,77365000,70975000,77058000,84739000,89925000,111583000,122914000,130989000,136322000,131457000,163487000,188348000,254924000
53,Total Current Liabilities,13900000,13700000,23900000,29000000,29900000,35800000,46600000,55500000,75500000,77000000,82900000,73800000,90000000,83800000,140651000,102041000,112073000,117338000,145840000,170127000,243696000,234267000,259099000,221243000,240886000,294500000,306641000,397748000,362943000,364889000,387571000,446546000,507850000,590932000,1063428000,612749000
54,Long-Term Debt,7000000,42700000,42900000,52400000,64500000,63800000,61400000,99000000,61400000,60000000,81200000,79700000,79100000,122500000,112896000,183107000,173797000,162394000,144158000,123064000,106512000,199504000,181443000,167887000,154754000,678680000,659000000,644000000,844000000,829000000,814000000,899000000,1291725000,1283275000,714502000,1361395000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2900000,4500000,7300000,8600000,11100000,12700000,14900000,17600000,22000000,27300000,32800000,39600000,45000000,51700000,57650000,63650000,75786000,86871000,99159000,102039000,99929000,105724000,105959000,125536000,141229000,203078000,260405000,293708000,317953000,354973000,394934000,440124000,341946000,385788000,435598000,439721000
57,Other Non-Current Liabilities,500000,600000,400000,400000,400000,600000,700000,700000,900000,1200000,1700000,2000000,2500000,3000000,3606000,4210000,4380000,4484000,5635000,6542000,14212000,17512000,25227000,26999000,27587000,30801000,42728000,46267000,48700000,45874000,46180000,43812000,57265000,62612000,87159000,113770000
58,Total Non-Current Liabilities,10400000,47800000,50600000,61400000,76000000,77100000,77000000,117300000,84300000,88500000,115700000,121300000,126600000,177200000,174152000,250967000,253963000,253749000,248952000,231645000,220653000,322740000,312629000,320422000,323570000,912559000,962133000,983975000,1210653000,1229847000,1255114000,1382936000,1690936000,1731675000,1237259000,1914886000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8930000,9081000,9642000,9245000,8869000,8356000,- -,- -,- -,- -
61,Total Liabilities,24300000,61500000,74500000,90400000,105900000,112900000,123600000,172800000,159800000,165500000,198600000,195100000,216600000,261000000,314803000,353008000,366036000,371087000,394792000,401772000,464349000,557007000,571728000,541665000,564456000,1207059000,1268774000,1381723000,1573596000,1594736000,1642685000,1829482000,2198786000,2322607000,2300687000,2527635000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37930000,38353000,39562000,40008000,44155000,46516000,- -,- -,- -,- -,- -,- -,12199000,23119000,33878000,56274000,72868000,40074000,- -,15600000,33286000,58951000
64,Retained Earnings,17600000,26200000,36700000,43800000,52100000,60300000,70500000,82500000,97500000,118300000,142600000,167000000,197500000,234500000,270832000,302123000,329657000,364230000,395639000,422621000,474029000,518717000,589782000,660226000,759880000,399900000,493842000,579176000,685988000,818955000,1010595000,1150546000,1271141000,1393169000,1609919000,1873728000
65,Other Comprehensive Income/Loss,-14800000,-20400000,-26000000,-33700000,-42600000,-52300000,-62800000,-76200000,-91900000,-111700000,-132600000,-158100000,-185100000,-212400000,-245858000,-284483000,-324936000,-368123000,-409969000,-447197000,-490288000,-538121000,-595316000,-652376000,-706994000,-777342000,-860998000,-952286000,-1062278000,-1185246000,-1340249000,-1496472000,-1611177000,-1826936000,-2037708000,- -
66,Other Total Stockholders Equity,45000000,51100000,51700000,61000000,70000000,76800000,88200000,101700000,152800000,173100000,196200000,223000000,251000000,279800000,245858000,284483000,324936000,368123000,409969000,447197000,539449000,591668000,653006000,713180000,771433000,781338000,860998000,952286000,1062278000,1185246000,1340249000,1496472000,1611177000,1826936000,2037708000,- -
67,Total Stockholders Equity,47800000,56900000,62400000,71100000,79500000,84800000,95900000,108000000,158400000,179700000,206200000,231900000,263400000,301900000,308762000,340476000,369219000,404238000,439794000,469137000,523190000,572264000,647472000,721030000,824319000,403896000,506041000,602295000,719866000,875229000,1083463000,1190620000,1271141000,1408769000,1643205000,1932679000
68,Total Liabilities And Stockholders Equity,72100000,118400000,136900000,161500000,185400000,197700000,219500000,280800000,318200000,345200000,404800000,427000000,480000000,562900000,623565000,693484000,735255000,775325000,834586000,870909000,987539000,1129271000,1219200000,1262695000,1388775000,1610955000,1774815000,1984018000,2293462000,2469965000,2726148000,3020102000,3469927000,3731376000,3943892000,4460314000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,72100000,118400000,136900000,161500000,185400000,197700000,219500000,280800000,318200000,345200000,404800000,427000000,480000000,562900000,623565000,693484000,735255000,775325000,834586000,870909000,987539000,1129271000,1219200000,1262695000,1388775000,1610955000,1774815000,1984018000,2293462000,2469965000,2726148000,3020102000,3469927000,3731376000,3943892000,4460314000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726958/000095012494001250/0000950124-94-001250-index.html,https://www.sec.gov/Archives/edgar/data/726958/000095012495002249/0000950124-95-002249-index.html,https://www.sec.gov/Archives/edgar/data/726958/000095012496003247/0000950124-96-003247-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/726958/000095013102002825/0000950131-02-002825-index.html,- -,https://www.sec.gov/Archives/edgar/data/726958/000119312504117913/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312505141692/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312506146200/d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312507147153/0001193125-07-147153-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312508141469/0001193125-08-141469-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312509140503/0001193125-09-140503-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312510148944/0001193125-10-148944-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312511175866/0001193125-11-175866-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312512283506/d372825d10k.htm,https://www.sec.gov/Archives/edgar/data/726958/000119312513274177/0001193125-13-274177-index.html,https://www.sec.gov/Archives/edgar/data/726958/000119312514253245/0001193125-14-253245-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695815000075/0000726958-15-000075-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695816000258/0000726958-16-000258-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695817000055/0000726958-17-000055-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695818000097/0000726958-18-000097-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695819000078/0000726958-19-000078-index.html,https://www.sec.gov/Archives/edgar/data/726958/000072695820000085/0000726958-20-000085-index.htm,https://www.sec.gov/Archives/edgar/data/726958/000072695821000078/0000726958-21-000078-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8400000,9000000,11500000,13300000,16600000,22900000,26800000,27000000,33500000,40200000,39448000,35001000,31745000,39536000,36466000,36753000,60468000,61891000,85117000,85690000,116962000,94623000,116791000,110625000,134514000,180628000,225982000,177485000,317903000,203886000,263846000,312900000
74,Depreciation and Amortization,- -,- -,- -,- -,10600000,12200000,13700000,15900000,18600000,22200000,24700000,26900000,30400000,33900000,38208000,41492000,44702000,47299000,49506000,53182000,59056000,64377000,67878000,69214000,73749000,83343000,96899000,112018000,131457000,156430000,170937000,197629000,220970000,244387000,251174000,265195000
75,Deferred Income Tax,- -,- -,- -,- -,2700000,2200000,2200000,2700000,2100000,2000000,8000000,6600000,5400000,6500000,6000000,6000000,12136000,11085000,12288000,2880000,-2110000,-406000,235000,16080000,18171000,60861000,54589000,36530000,22283000,44711000,55492000,45190000,-98178000,45337000,49810000,4123000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1256000,2031000,2066000,3792000,4270000,5600000,7307000,7413000,10697000,18800000,16410000,18129000,31986000
77,Change in Working Capital,- -,- -,- -,- -,4000000,-4800000,-9400000,4600000,-25100000,300000,20900000,-6200000,-18400000,23900000,-51990000,70442000,-19306000,13990000,1431000,-28664000,-24593000,58848000,47599000,9327000,5893000,-69990000,-26750000,-97568000,140132000,-74830000,-2057000,-34175000,-15149000,-69342000,-495826000,787062000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1546000,800000,-4941000,3232000,-5092000,-15543000,-1801000,- -,- -,-26278000
79,Inventory,- -,- -,- -,- -,-900000,-200000,-1600000,-3800000,2000000,-3600000,-5100000,-4100000,-2700000,-8000000,5841000,-10409000,-8726000,-2511000,-12636000,2503000,-20863000,-10437000,-14801000,17975000,-15886000,-26527000,-8647000,-16222000,-13696000,10365000,-7390000,4400000,-38406000,-29648000,37713000,-50342000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47907000,29898000,70341000,-4510000,21748000,17894000,-33290000,3011000,40332000,14751000,12451000,-140151000,166546000
81,Other Working Capital,- -,- -,- -,- -,600000,-4200000,-13600000,-9000000,-34100000,-33800000,-12900000,-19100000,-37500000,-13600000,-65590000,4852000,-14454000,-464000,967000,-27697000,-52290000,6558000,54157000,63484000,69377000,-613000,-27363000,-124931000,15201000,-59629000,-61686000,-95861000,-111010000,-180352000,-676178000,110884000
