,https://roic.ai/company/SNBR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0114,- -,0.0467,-0.0889,-0.0405,0.0626,- -,0.0931,0.0993,0.0903,0.0544,- -,-0.1141,0.0380,0.1217,0.1281,0.0944,- -,0.0880,0.0585,0.0636,0.0603,0.0660,- -,0.0996
19,Total Other Income Expenses (Gains),-4800000,- -,-7100000,-1582000,-1498000,-1622000,- -,297000,2174000,2990000,-6000,- -,-3242000,-5973000,-33000,213000,312000,- -,362000,-717000,-877000,-5907000,-11587000,- -,-8924000
20,Income Before Tax,-2700000,- -,4400000,-25600000,-12100000,19400000,- -,43000000,70763000,75800000,43500000,- -,-72700000,14700000,90420000,120000000,91000000,- -,102108000,75933000,91038000,86521000,100508000,- -,175972000
21,Income Before Tax Ratio,-0.0146,- -,0.0179,-0.0948,-0.0462,0.0578,- -,0.0938,0.1024,0.0940,0.0544,- -,-0.1195,0.0270,0.1217,0.1283,0.0948,- -,0.0883,0.0579,0.0630,0.0565,0.0592,- -,0.0948
22,Income Tax expense (Gain),100000,- -,-2200000,11600000,- -,-18100000,- -,15900000,26996000,28645000,15846000,- -,-2566000,-20862000,29942000,41911000,30930000,- -,34134000,24516000,25961000,16982000,18663000,- -,36783000
23,Net Income,-2800000,- -,5200000,-37200000,-12100000,37500000,- -,27100000,43767000,47200000,27600000,- -,-70200000,35600000,60478000,78100000,60100000,- -,67974000,51417000,65077000,69539000,81845000,- -,139189000
24,Net Income ratio,-0.0152,- -,0.0211,-0.1377,-0.0462,0.1117,- -,0.0591,0.0633,0.0586,0.0345,- -,-0.1154,0.0654,0.0814,0.0835,0.0626,- -,0.0588,0.0392,0.0451,0.0454,0.0482,- -,0.0750
25,EPS,-0.71,- -,0.49,-1.39,-0.44,1.01,- -,0.55,0.82,0.89,0.59,- -,-1.59,0.78,1.10,1.41,1.10,- -,1.27,1.11,1.58,1.97,2.78,- -,5.03
26,EPS Diluted,-0.71,- -,0.13,-1.39,-0.44,0.73,- -,0.46,0.76,0.85,0.57,- -,-1.59,0.77,1.07,1.37,1.08,- -,1.25,1.10,1.55,1.92,2.70,- -,4.90
27,Weighted Average Shares Outstanding,5233232,- -,6184408,26708612,27235500,36823500,- -,49284000,53356500,52837000,46536000,- -,44186000,45682000,55081000,55516000,54866000,- -,53452000,46154000,41212000,35256000,29472000,- -,27665000
28,Weighted Average Shares Outstanding Diluted,5233232,- -,34736842,26708612,27235500,51798000,- -,58915500,57673500,55587000,48292000,- -,44186000,46198000,56432000,57076000,55803000,- -,54193000,46902000,42085000,36165000,30355000,- -,28428000
29,SEC Link,- -,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/827187/000082718706000019/0000827187-06-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710107000456/0000897101-07-000456-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710108000406/0000897101-08-000406-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000089710109000573/0000897101-09-000573-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710110000333/0000897101-10-000333-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000114036112011468/0001140361-12-011468-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718713000017/0000827187-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718714000022/0000827187-14-000022-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000082718715000011/0000827187-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718717000010/0000827187-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718718000009/0000827187-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000156459019004499/0001564590-19-004499-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000156459020006396/0001564590-20-006396-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000082718721000011/0000827187-21-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12700000,- -,45600000,1500000,16400000,27200000,- -,24700000,32863000,8800000,7300000,- -,13100000,17700000,116255000,87900000,58200000,- -,51995000,11609000,3651000,1612000,1593000,- -,4243000
32,Short-Term Investments,- -,- -,- -,4000000,- -,12100000,- -,49300000,24122000,37700000,- -,- -,- -,- -,20020000,51300000,52200000,- -,69609000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12700000,- -,45600000,5500000,16400000,39300000,- -,74000000,56985000,46500000,7300000,- -,13100000,17700000,136275000,139200000,110400000,- -,121604000,11609000,3651000,1612000,1593000,- -,4243000
34,Net Receivables,6000000,- -,10600000,2700000,2600000,3300000,- -,6800000,10109000,12200000,18900000,- -,30800000,9000000,13844000,16600000,15000000,- -,19693000,19705000,19312000,24795000,43546000,- -,31871000
35,Inventory,7700000,- -,10100000,11100000,8100000,9000000,- -,14100000,21982000,24100000,32500000,- -,18700000,15600000,24851000,35600000,40200000,- -,53535000,75026000,84298000,84882000,87065000,- -,81362000
36,Other Current Assets,4300000,- -,9500000,4700000,3600000,18400000,- -,12400000,15980000,20400000,20400000,- -,6600000,11800000,16225000,19200000,23900000,- -,37763000,31987000,45230000,39568000,28164000,- -,64328000
37,Total Current Assets,30700000,- -,75800000,24000000,30700000,70000000,- -,107300000,105056000,103200000,79100000,- -,69200000,54100000,191195000,210600000,189500000,- -,232595000,138327000,152491000,150857000,160368000,- -,181804000
38,PP&E,25200000,- -,29100000,37100000,30900000,29000000,- -,36100000,53866000,59400000,80400000,- -,53300000,37700000,43850000,79400000,129500000,- -,165453000,208367000,208646000,205631000,524438000,- -,489449000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,8963000,64046000,64000000,64000000,64000000,- -,64000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,7900000,- -,7023000,16771000,13588000,11407000,9226000,- -,8871000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,16900000,- -,15986000,80817000,77588000,75407000,73226000,- -,72871000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10042000,38642000,34632000,- -,44441000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,11256000,- -,- -,- -,- -,- -,12964000,- -,- -,- -,- -,4667000,- -,4822000,3808000,- -,- -
44,Other Non-Current Assets,1300000,- -,1300000,3600000,5800000,9300000,- -,10100000,58656000,66400000,31000000,- -,12900000,26400000,4606000,10458000,11268000,- -,15712000,24988000,33109000,33421000,44203000,- -,56012000
45,Total Non-Current Assets,26500000,- -,30400000,40700000,36700000,38300000,- -,46200000,123778000,125800000,111400000,- -,66200000,64100000,71462000,131400000,192300000,- -,241592000,318839000,319343000,319281000,645675000,- -,618332000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,57200000,- -,106200000,64700000,67400000,108300000,- -,153500000,228834000,229000000,190500000,- -,135400000,118200000,262657000,342000000,381800000,- -,474187000,457166000,471834000,470138000,806043000,- -,800136000
48,Accounts Payable,12200000,- -,12100000,17300000,15200000,16500000,- -,16500000,31655000,46100000,69800000,- -,40300000,37500000,50141000,67700000,73400000,- -,84197000,105375000,129194000,144781000,134594000,- -,91904000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37900000,- -,79200000,- -,- -,- -,- -,- -,- -,- -,24500000,199600000,231000000,- -,244200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9282000,12517000,- -,10207000,- -,24234000,18380000,22171000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,5785000,6796000,- -,1323000,5153000,13529000,15194000,15392000,- -,28726000,26207000,27767000,4822000,3808000,- -,72017000
52,Other Current Liabilities,17700000,- -,21500000,19100000,19200000,26700000,- -,36500000,63243000,45615000,34604000,- -,38877000,36847000,55380000,50206000,48408000,- -,74129000,93735000,124928000,139465000,225372000,- -,247823000
53,Total Current Liabilities,29900000,- -,33600000,36400000,34400000,43200000,- -,53000000,94898000,97500000,149100000,- -,159700000,79500000,119050000,133100000,137200000,- -,187052000,225317000,306389000,488668000,594774000,- -,655944000
54,Long-Term Debt,19500000,- -,- -,2300000,17100000,3000000,- -,- -,- -,- -,- -,- -,600000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5401000,6936000,- -,8786000,- -,2625000,4822000,3808000,- -,242000
57,Other Non-Current Liabilities,1200000,- -,1900000,9400000,9200000,7600000,- -,8300000,12589000,15800000,17300000,- -,16700000,16000000,14216000,9799000,12364000,- -,21442000,71529000,73664000,86198000,366892000,- -,367928000
58,Total Non-Current Liabilities,20700000,- -,1900000,11700000,26300000,10600000,- -,8300000,12589000,15800000,17300000,- -,17300000,16300000,14216000,15200000,19300000,- -,30228000,71529000,76289000,91020000,370700000,- -,368170000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,621000,262000,- -,- -,- -,- -,- -,- -,- -,- -,357651000,- -,345161000
61,Total Liabilities,50600000,- -,35500000,48100000,60700000,53800000,- -,61300000,107487000,113300000,166400000,- -,177000000,95800000,133266000,148300000,156500000,- -,217280000,296846000,382678000,579688000,965474000,- -,1024114000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,200000,200000,300000,- -,400000,357000,500000,400000,- -,500000,500000,564000,600000,500000,- -,528000,436000,388000,309000,280000,- -,254000
64,Retained Earnings,-22300000,- -,-17100000,-63000000,-75100000,-38000000,- -,-11400000,63957000,111100000,23700000,- -,-46500000,-10900000,81101000,159200000,219300000,- -,256413000,159884000,88768000,-109859000,-159711000,- -,-224232000
65,Other Comprehensive Income/Loss,-7000000,- -,-11800000,-23800000,-30400000,-38600000,- -,-1800000,-70866000,-86300000,-102900000,- -,-112700000,-115000000,-132006000,20000,-143800000,- -,-166263000,-196496000,89000000,-263975000,-293071000,- -,- -
66,Other Total Stockholders Equity,35900000,- -,99400000,103200000,112100000,130815000,- -,105562000,127899000,90394000,102926000,- -,117070000,147858000,179732000,33877000,149220000,- -,166229000,196496000,-89000000,263975000,293071000,- -,- -
67,Total Stockholders Equity,6600000,- -,70700000,16600000,6800000,54515000,- -,92762000,121347000,115694000,24126000,- -,-41630000,22458000,129391000,193697000,225220000,- -,256907000,160320000,89156000,-109550000,-159431000,- -,-223978000
68,Total Liabilities And Stockholders Equity,57200000,- -,106200000,64700000,67500000,108315000,- -,154062000,228834000,228994000,190526000,- -,135370000,118258000,262657000,341997000,381720000,- -,474187000,457166000,471834000,470138000,806043000,- -,800136000
69,Minority Interest,- -,- -,- -,- -,-100000,-15000,- -,-562000,- -,6000,-26000,- -,30000,-58000,- -,3000,80000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,57200000,- -,106200000,64700000,67400000,108300000,- -,153500000,228834000,229000000,190500000,- -,135400000,118200000,262657000,342000000,381800000,- -,474187000,457166000,471834000,470138000,806043000,- -,800136000
71,SEC Link,- -,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/827187/000082718706000019/0000827187-06-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710107000456/0000897101-07-000456-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710108000406/0000897101-08-000406-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000089710109000573/0000897101-09-000573-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710110000333/0000897101-10-000333-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000114036112011468/0001140361-12-011468-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718713000017/0000827187-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718714000022/0000827187-14-000022-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000082718715000011/0000827187-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718717000010/0000827187-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718718000009/0000827187-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000156459019004499/0001564590-19-004499-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000156459020006396/0001564590-20-006396-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000082718721000011/0000827187-21-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2800000,- -,5200000,-37200000,-12100000,37500000,- -,27100000,43767000,47200000,27600000,- -,-70200000,35600000,60478000,78100000,60100000,- -,67974000,51417000,65077000,69539000,81845000,- -,139189000
74,Depreciation and Amortization,4000000,- -,5400000,8409000,10082000,10473000,- -,11275000,15747000,19684000,24791000,- -,22186000,19054000,13543000,20401000,30811000,- -,39809000,57172000,61291000,61966000,61866000,- -,61563000
75,Deferred Income Tax,- -,- -,- -,10887000,- -,-17307000,- -,5648000,-1353000,-7665000,-7280000,- -,25075000,-18209000,2839000,3499000,2037000,- -,-311000,-1640000,2042000,7447000,-1014000,- -,-3566000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3702000,3236000,4971000,10306000,4232000,- -,6798000,11961000,15763000,11412000,16657000,- -,21813000
77,Change in Working Capital,2600000,- -,41400000,-26900000,8700000,30500000,- -,27500000,-13342000,-4458000,-75700000,- -,-20500000,65100000,52145000,5355000,-25200000,- -,-6757000,-44432000,-66908000,-183913000,-96595000,- -,-39734000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13963000,-155000,-3935000,-2705000,1993000,- -,-4717000,9297000,393000,-5483000,4817000,- -,-11893000
79,Inventory,-2200000,- -,-2400000,640000,2926000,-894000,- -,-3401000,-1501000,-2138000,-8397000,- -,13842000,3029000,-5204000,-10713000,-3910000,- -,-13383000,11574000,-9272000,-584000,-2183000,- -,5703000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20047000,2545000,6913000,7114000,-3477000,- -,14340000,-4965000,21779000,-9894000,10661000,- -,-16755000
81,Other Working Capital,800000,- -,42200000,-12400000,-3700000,26800000,- -,54300000,10158000,5700000,-70000000,- -,-90500000,-25400000,72145000,77500000,52300000,- -,45543000,-86990000,-153898000,-337811000,-434406000,- -,-474140000
82,Other Non-Cash Items,3500000,- -,-41000000,34518000,-6267000,-25022000,- -,-22320000,42679000,4615000,74620000,- -,42710000,-38142000,-42930000,-17035000,16125000,- -,36955000,77167000,95342000,165089000,126401000,- -,100396000
83,Cash Provided by Operating Activities,7300000,- -,11000000,-10286000,415000,36144000,- -,49203000,87498000,59376000,44031000,- -,2973000,66639000,91046000,100626000,88105000,- -,144468000,151645000,172607000,131540000,189160000,- -,279661000
84,CAPEX,-10700000,- -,-8800000,-12084000,-4859000,-7802000,- -,-18364000,-25840000,-31079000,-43514000,- -,-32202000,-2459000,-23527000,-51593000,-76811000,- -,-76594000,-57852000,-59829000,-45515000,-59239000,- -,-39073000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15500000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-24780000,- -,-55717000,-39172000,-28072000,- -,- -,- -,- -,-40021000,-86803000,-48670000,- -,-91849000,-5968000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,16179000,3950000,11132000,- -,18972000,36625000,25940000,81086000,- -,- -,- -,10000000,26249000,53565000,- -,54506000,21053000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,-2639000,45000,117000,- -,-495000,92000,3186000,272000,2615000,- -,-1918000
89,Cash Used for Investing Activites,-10700000,- -,-8800000,3695000,-909000,-21450000,- -,-55109000,-28387000,-33211000,37572000,- -,-32202000,-2444000,-56187000,-112102000,-87299000,- -,-114432000,-42675000,-56643000,-45243000,-56624000,- -,-39018000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86069000,-795000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,400000,- -,46700000,664000,369000,1129000,- -,5300000,8413000,8809000,4572000,- -,651000,26534000,4356000,5138000,7966000,- -,2873000,2298000,3241000,2788000,7190000,- -,9602000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1834000,-49727000,-77199000,-134452000,- -,- -,- -,-371000,-34892000,-42072000,- -,-46492000,-126693000,-155245000,-272446000,-165079000,- -,-235644000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13200000,- -,-16000000,-16000,15002000,-5022000,- -,-11000,- -,7177000,46737000,- -,34356000,- -,2190000,12890000,3608000,- -,7355000,6040000,28082000,181322000,25334000,- -,-11951000
95,Cash Used/Provided by Financing Activities,13600000,- -,30700000,648000,15371000,-3893000,- -,3455000,-41314000,-61213000,-83143000,- -,35007000,-59535000,5380000,-16864000,-30498000,- -,-36264000,-118355000,-123922000,-88336000,-132555000,- -,-237993000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,13600000,- -,30700000,-5943000,14877000,10801000,- -,-2451000,17797000,-35048000,-1540000,- -,5778000,4660000,40239000,-28340000,-29692000,- -,-6228000,-9385000,-7958000,-2039000,-19000,- -,2650000
98,Cash at the End of Period,- -,- -,- -,1498000,16375000,27176000,- -,24725000,32863000,8819000,7279000,- -,13057000,17717000,116255000,87915000,58223000,- -,51995000,11609000,3651000,1612000,1593000,- -,4243000
99,Cash at the Beginning of Period,2400000,- -,12700000,7441000,1498000,16375000,- -,27176000,15066000,43867000,8819000,- -,7279000,13057000,76016000,116255000,87915000,- -,58223000,20994000,11609000,3651000,1612000,- -,1593000
100,Free Cash Flow,-3400000,- -,2200000,-22370000,-4444000,28342000,- -,30839000,61658000,28297000,517000,- -,-29229000,64180000,67519000,49033000,11294000,- -,67874000,93793000,112778000,86025000,129921000,- -,240588000
101,SEC Link,- -,undefined,- -,- -,- -,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/827187/000082718706000019/0000827187-06-000019-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710107000456/0000897101-07-000456-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710108000406/0000897101-08-000406-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000089710109000573/0000897101-09-000573-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000089710110000333/0000897101-10-000333-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000114036112011468/0001140361-12-011468-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718713000017/0000827187-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718714000022/0000827187-14-000022-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000082718715000011/0000827187-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718717000010/0000827187-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000082718718000009/0000827187-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000156459019004499/0001564590-19-004499-index.htm,https://www.sec.gov/Archives/edgar/data/827187/000156459020006396/0001564590-20-006396-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/827187/000082718721000011/0000827187-21-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
