,https://roic.ai/company/KRO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,266020000,233858000,259844000,286521000,312800000,385100000,294800000,275800000,444200000,638300000,416600000,423600000,387200000,343500000,382300000,497900000,503000000,519000000,432000000
36,Other Current Assets,- -,- -,- -,- -,43860000,7263000,7832000,9331000,9400000,12200000,14400000,12600000,17500000,16600000,28300000,16700000,10300000,11600000,11700000,17700000,16500000,-82000000,60000000
37,Total Current Assets,- -,- -,- -,- -,523177000,495518000,525344000,562889000,621700000,589500000,529900000,824300000,865000000,1223400000,781200000,886200000,710800000,650400000,1062500000,1201400000,1219700000,1218300000,1258000000
38,PP&E,- -,- -,- -,- -,434967000,466890000,418920000,462003000,526500000,485500000,499700000,473600000,485500000,522500000,536300000,479700000,429500000,434000000,506400000,486400000,519600000,550700000,522000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98700000,145900000,187600000,131500000,132700000,100100000,85300000,84900000,97200000,84700000,93500000,105500000,4000000
43,Tax Assets,- -,- -,- -,- -,6682000,238284000,213722000,264380000,168800000,166400000,- -,192000000,133000000,120500000,148400000,165400000,14000000,8100000,139200000,122000000,127700000,151000000,106000000
44,Other Non-Current Assets,- -,- -,- -,- -,157051000,152591000,140946000,132244000,138000000,117300000,196700000,71800000,152800000,29100000,20500000,11100000,3100000,2200000,19100000,3600000,5300000,11200000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,598700000,857765000,773588000,858627000,833300000,769200000,795100000,883300000,958900000,803600000,837900000,756300000,531900000,529200000,761900000,696700000,746100000,818400000,632000000
46,Other Assets,973600000,893400000,910100000,988500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,973600000,893400000,910100000,988500000,1121877000,1353283000,1298932000,1421516000,1455000000,1358700000,1325000000,1707600000,1823900000,2027000000,1619100000,1642500000,1242700000,1179600000,1824400000,1898100000,1965800000,2036700000,1890000000
48,Accounts Payable,- -,- -,- -,- -,166664000,170009000,165545000,88776000,105700000,128200000,117100000,119200000,186600000,161300000,123900000,121400000,96100000,84900000,107900000,103200000,137200000,111000000,- -
49,Short-Term Debt,- -,- -,- -,- -,288000,13792000,958000,912000,16200000,800000,2100000,2200000,2200000,21200000,3100000,3900000,3800000,3600000,700000,1500000,7700000,7400000,1000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,7000000,25200000,23100000,8900000,7800000,5700000,5000000,25000000,9000000,10100000,15700000,12000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,24709000,29082000,38607000,89769000,102600000,75400000,96200000,98700000,139200000,145900000,151000000,112600000,101800000,93600000,122900000,128700000,125700000,-9200000,287000000
53,Total Current Liabilities,- -,- -,- -,- -,191661000,212883000,205110000,179457000,224500000,204400000,215400000,220100000,328000000,328400000,278000000,237900000,201700000,182100000,231500000,233400000,270600000,260200000,288000000
54,Long-Term Debt,- -,- -,- -,- -,556451000,519403000,464365000,535336000,590000000,637700000,611100000,537400000,362900000,378900000,180400000,344700000,337200000,335400000,473800000,455100000,444000000,486700000,464000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,119825000,60081000,53383000,47312000,48200000,35700000,31100000,33200000,41000000,24000000,19500000,6800000,8100000,10500000,11300000,21500000,20700000,24600000,28000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,94064000,89995000,166015000,210971000,181300000,163000000,154900000,155700000,167700000,233600000,206100000,272000000,233800000,256600000,353500000,348300000,414400000,468700000,333000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,770340000,669479000,683763000,793619000,819500000,836400000,797100000,726300000,571600000,636500000,406000000,623500000,579100000,602500000,838600000,824900000,879100000,980000000,853000000
59,Other Liabilities,662700000,546800000,531600000,672800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,25500000,- -
61,Total Liabilities,662700000,546800000,531600000,672800000,962001000,882362000,888873000,973076000,1044000000,1040800000,1012500000,946400000,899600000,964900000,684000000,861400000,780800000,784600000,1070100000,1058300000,1149700000,1240200000,1020000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,489000,489000,489000,489000,500000,500000,500000,600000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1000000
64,Retained Earnings,- -,- -,- -,- -,- -,-463352000,-441295000,-406283000,-527900000,-567900000,-602600000,-486500000,-290100000,-141100000,-312600000,-282900000,-526000000,-552200000,-267200000,-136200000,-132500000,-151800000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-901295000,-126935000,-210749000,-207451000,-123300000,-176500000,-147300000,-152300000,-185800000,-197100000,-152000000,-335800000,-412000000,-452800000,-378700000,-424300000,-448800000,-448200000,-404000000
66,Other Total Stockholders Equity,310900000,346600000,378500000,315700000,1060157000,1060643000,1061539000,1061644000,- -,1061800000,1061900000,1399400000,1399000000,1399100000,1398500000,1398600000,1398700000,1398800000,1399000000,1399100000,1396200000,1395300000,1273000000
67,Total Stockholders Equity,310900000,346600000,378500000,315700000,159351000,470845000,409984000,448399000,411000000,317900000,312500000,761200000,924300000,1062100000,935100000,781100000,461900000,395000000,754300000,839800000,816100000,796500000,870000000
68,Total Liabilities And Stockholders Equity,973600000,893400000,910100000,988500000,1121352000,1353207000,1298857000,1421475000,1455000000,1358700000,1325000000,1707600000,1823900000,2027000000,1619100000,1642500000,1242700000,1179600000,1824400000,1898100000,1965800000,2036700000,1890000000
69,Minority Interest,- -,- -,- -,- -,525000,76000,75000,41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,973600000,893400000,910100000,988500000,1121877000,1353283000,1298932000,1421516000,1455000000,1358700000,1325000000,1707600000,1823900000,2027000000,1619100000,1642500000,1242700000,1179600000,1824400000,1898100000,1965800000,2036700000,1890000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1257640/000005925509000045/0000059255-09-000045-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000005925510000027/0000059255-10-000027-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000005925511000067/kwi201010k.htm,https://www.sec.gov/Archives/edgar/data/1257640/000119312512097044/0001193125-12-097044-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000119312513103357/0001193125-13-103357-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459014000695/kro-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1257640/000156459015001607/kro-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1257640/000156459016014416/0001564590-16-014416-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459017003984/0001564590-17-003984-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459018005295/0001564590-18-005295-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459019007183/0001564590-19-007183-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459020010067/0001564590-20-010067-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459021012064/0001564590-21-012064-index.htm,https://www.sec.gov/Archives/edgar/data/1257640/000155837022003141/0001558370-22-003141-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,66400000,87549000,314853000,71006000,81969000,-66700000,9000000,-34700000,130600000,321000000,218500000,-102000000,99200000,-173600000,43300000,354500000,205000000,87100000,63900000,112000000
74,Depreciation and Amortization,- -,- -,- -,- -,39421000,44053000,43539000,44253000,48900000,51300000,47000000,44700000,47500000,47800000,50200000,49200000,42100000,40500000,41200000,49700000,54900000,64600000,- -
75,Deferred Income Tax,- -,- -,- -,- -,36489000,-263314000,26467000,-28202000,104800000,-10600000,-21900000,-23800000,63800000,22600000,-67900000,19600000,138500000,7700000,-151600000,27300000,6500000,-3200000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,331516000,-48881000,37599000,63198000,13768000,-12100000,-70600000,289700000,-67200000,358000000,-391800000,145100000,-139200000,-40800000,362700000,137000000,-18900000,9000000,11900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24800000,-27800000,20100000,-37400000,-52700000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-26041000,48237000,-47922000,-6102000,5700000,-93900000,99400000,7100000,-183800000,-184800000,222200000,-52300000,-9500000,38800000,-4900000,-135500000,-7100000,13300000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-56200000,9100000,-21100000,-12000000,-12900000,20700000,16400000,24600000,-33200000,- -
81,Other Working Capital,- -,- -,- -,- -,331516000,282635000,320234000,383432000,397200000,385100000,314500000,604200000,537000000,895000000,503200000,648300000,509100000,468300000,831000000,968000000,949100000,958100000,970000000
82,Other Non-Cash Items,- -,- -,- -,44700000,-387294000,104294000,-80785000,-89291000,-10768000,-34900000,166500000,-315200000,-69500000,-570000000,641900000,-225400000,184300000,38900000,-330700000,-230500000,30700000,-31800000,-123900000
83,Cash Provided by Operating Activities,- -,- -,- -,111100000,107681000,151005000,97826000,71927000,90000000,2700000,86300000,126000000,295600000,76900000,130400000,87700000,52100000,89600000,276100000,188500000,160300000,102500000,- -
84,CAPEX,- -,- -,- -,- -,-35245000,-39295000,-43366000,-50936000,-47300000,-68100000,-23700000,-37700000,-68600000,-74800000,-67600000,-61200000,-47100000,-53000000,-64300000,-56300000,-55100000,-62800000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-316000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,129000,- -,- -,- -,- -,- -,251000000,91100000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-34600000,-173000,-546000,3579000,15000,-100000,- -,-23700000,-145800000,-153100000,58700000,-68200000,-54000000,-46800000,-53000000,-77900000,-42700000,-52500000,-61300000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-34600000,-35418000,-39841000,-39658000,-50921000,-47400000,-68100000,-23700000,-145800000,-218100000,149800000,-68200000,-54000000,-46800000,-53000000,-77900000,-42700000,-52500000,-61300000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-333700000,-256200000,-288100000,-523800000,-588700000,-265200000,-3900000,-270000000,-594300000,-1500000,-1500000,-1100000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,- -,- -,- -,- -,- -,-3000000,-1000000,- -
93,Dividends Paid,- -,- -,- -,- -,-7000000,-48945000,-48949000,-48952000,-49000000,-49000000,- -,-14500000,-124600000,-69500000,-69500000,-69500000,-69500000,-69500000,-69500000,-78800000,-83400000,-83200000,- -
94,Other Financing Activites,- -,- -,- -,-93900000,-54814000,-59805000,4175000,13966000,9200000,59300000,283900000,228200000,113100000,565200000,366600000,424300000,1300000,266200000,722600000,-100000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-93900000,-61814000,-108750000,-44774000,-34986000,-39800000,10300000,-49800000,295100000,-299600000,-28100000,-292300000,89600000,-72100000,-73300000,58800000,-80400000,-87900000,-85300000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,4742000,2500000,-2155000,5219000,6100000,-3500000,4700000,-1700000,-100000,1600000,1200000,-9400000,-8400000,-5300000,14400000,-14400000,-2300000,13800000,- -
97,Net Change In Cash,- -,- -,- -,-93900000,15191000,4914000,11239000,-8761000,8900000,-58600000,17500000,273600000,-222200000,200200000,-228900000,113900000,-75200000,-42000000,271400000,51000000,17600000,-30300000,- -
98,Cash at the End of Period,- -,- -,- -,- -,55876000,60790000,72029000,63268000,72200000,13600000,31100000,304700000,82500000,282700000,53800000,167700000,92500000,52300000,323700000,374700000,392300000,362000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,40685000,55876000,60790000,72029000,63300000,72200000,13600000,31100000,304700000,82500000,282700000,53800000,167700000,94300000,52300000,323700000,374700000,392300000,362000000
100,Free Cash Flow,- -,- -,- -,111100000,72436000,111710000,54460000,20991000,42700000,-65400000,62600000,88300000,227000000,2100000,62800000,26500000,5000000,36600000,211800000,132200000,105200000,39700000,- -
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1257640/000005925509000045/0000059255-09-000045-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000005925510000027/0000059255-10-000027-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000005925511000067/kwi201010k.htm,https://www.sec.gov/Archives/edgar/data/1257640/000119312512097044/0001193125-12-097044-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000119312513103357/0001193125-13-103357-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459014000695/kro-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1257640/000156459015001607/kro-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1257640/000156459016014416/0001564590-16-014416-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459017003984/0001564590-17-003984-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459018005295/0001564590-18-005295-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459019007183/0001564590-19-007183-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459020010067/0001564590-20-010067-index.html,https://www.sec.gov/Archives/edgar/data/1257640/000156459021012064/0001564590-21-012064-index.htm,https://www.sec.gov/Archives/edgar/data/1257640/000155837022003141/0001558370-22-003141-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
