,https://roic.ai/company/LRCX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,43675000,62879000,125725000,13509000,37965000,70000000,222000000,172431000,167000000,163000000,482000000,911000000,574000000,733000000,374000000,546000000,1492000000,1565000000,1162473000,1453000000,1501539000,5039322000,2377534000,4512257000,3658219000,4915172000,4418263000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,57334000,67605000,38520000,383647000,273836000,302000000,643000000,701774000,340000000,266000000,327000000,140000000,97000000,326000000,205000000,281000000,630000000,1298000000,1334745000,1613000000,2574947000,1788612000,3663628000,437338000,1772984000,1795080000,1310872000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,101009000,130484000,164245000,397156000,311801000,372000000,865000000,874205000,507000000,429000000,809000000,1051000000,671000000,1059000000,579000000,827000000,2122000000,2863000000,2497218000,3066000000,4076486000,6827934000,6041162000,4949595000,5431203000,6710252000,5729135000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,195682000,256767000,223123000,176029000,170531000,324000000,249000000,132113000,108000000,246000000,232000000,407000000,410000000,412000000,254000000,500000000,591000000,766000000,602624000,801000000,1093582000,1262145000,1673398000,2176936000,1455522000,2097099000,3026430000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,171401000,322366000,253762000,220610000,183716000,227000000,285000000,180799000,112000000,108000000,110000000,169000000,235000000,282000000,233000000,318000000,397000000,633000000,559317000,741000000,943346000,971911000,1232916000,1876162000,1540140000,1900024000,2689294000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,58041000,67228000,104908000,103294000,72822000,98000000,178000000,168307000,146000000,113000000,94000000,79000000,100000000,165000000,171000000,112000000,163000000,153000000,134670000,176000000,157435000,151160000,195022000,147218000,133544000,146160000,207528000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,526133000,776845000,746038000,897089000,738870000,1021000000,1577000000,1355424000,873000000,896000000,1245000000,1706000000,1416000000,1918000000,1237000000,1757000000,3273000000,4415000000,3793829000,4784000000,6270849000,9213150000,9142498000,9149911000,8560409000,10853535000,11652387000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,117571000,170839000,184500000,144252000,103337000,119000000,127000000,67496000,49000000,42000000,41000000,50000000,114000000,236000000,216000000,200000000,270000000,585000000,603910000,543000000,621418000,639608000,685595000,902547000,1059077000,1071499000,1303479000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000000,281000000,169000000,169000000,169000000,1446000000,1452196000,1466000000,1387509000,1386276000,1385673000,1484904000,1484597000,1484436000,1490134000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,71000000,122000000,92000000,68000000,47000000,1240000000,1074345000,894000000,728140000,564921000,410995000,317836000,216950000,168532000,132365000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,131000000,403000000,261000000,237000000,216000000,2686000000,2526541000,2360000000,2115649000,1951197000,1796668000,1802740000,1701547000,1652968000,1622499000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178439000,165234000,165256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26397000,51745000,- -,- -,86231000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,38945000,21681000,34911000,83034000,85499000,105000000,168000000,123140000,276000000,261000000,163000000,556000000,441000000,250000000,100561000,127766000,129744000,319000000,326035000,306000000,356732000,460360000,498004000,624280000,680300000,981045000,1313787000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,156516000,192520000,219411000,253683000,240581000,224000000,295000000,276867000,325000000,303000000,204000000,621000000,686000000,889000000,756000000,730000000,781000000,3590000000,3456486000,3209000000,3093799000,3051165000,2980267000,3329567000,3440924000,3705512000,4239765000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,682649000,969365000,965449000,1150772000,979451000,1245000000,1872000000,1632291000,1198000000,1199000000,1449000000,2327000000,2102000000,2807000000,1993000000,2487000000,4054000000,8005000000,7250315000,7993000000,9364648000,12264315000,12122765000,12479478000,12001333000,14559047000,15892152000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,82542000,112883000,113661000,67703000,51216000,77000000,57000000,59806000,36000000,93000000,60000000,109000000,118000000,89000000,50000000,121000000,164000000,259000000,200254000,224000000,300203000,348199000,464643000,510983000,376561000,592387000,829710000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7572000,37896000,55841000,17364000,20566000,- -,- -,315291000,5011000,2500000,- -,- -,- -,30209000,5348000,4967000,4782000,511139000,514655000,518267000,1359650000,949494000,908439000,610030000,667131000,839877000,11349000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102999000,- -,51183000,24745000,39420000,93934000,39275000,86723000,95127000,185384000,49926000,215652000,348206000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133066000,102731000,76660000,53625000,54765000,96748000,69043000,46158000,78435000,164833000,225038000,235923000,322070000,349199000,607672000,720086000,381317000,457523000,967325000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,98633000,155874000,159604000,208442000,172213000,211000000,443000000,222447000,42923000,178769000,242340000,405375000,500235000,422043000,257609000,386875000,433783000,492028000,464528000,603810000,649438000,771149000,969361000,1309209000,946641000,1272655000,1719483000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,188747000,306653000,329106000,293509000,243995000,288000000,500000000,597544000,217000000,377000000,379000000,568000000,673000000,638000000,382000000,559000000,681000000,1427000000,1404475000,1582000000,2631361000,2418041000,2950115000,3150308000,2371650000,3162442000,3527867000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,95928000,52926000,45706000,334174000,326500000,322000000,660000000,359691000,332000000,10000000,- -,350000000,250000000,277000000,41000000,18000000,738000000,952000000,789256000,1001000000,1243190000,3585681000,1954835000,1884754000,3822768000,4970848000,4983712000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113582000,274240000,- -,258357000,202930000,231514000,120178000,851936000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,- -,- -,-1000000,3000000,1000000,2000000,113000000,117000000,142000000,51418000,219760000,380792000,122643000,184023000,134562000,280186000,90629000,1083611000,1242268000,1353385000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,98640000,52926000,45706000,334174000,326500000,321000000,659000000,359691000,332000000,9000000,3000000,351000000,252000000,390000000,158000000,160000000,903000000,1446000000,1170048000,1382000000,1630143000,3951757000,2355199000,2827319000,4906379000,6213116000,6337097000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15247000,40747000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,287387000,359579000,374812000,627683000,570495000,609000000,1159000000,957235000,549000000,386000000,382000000,919000000,925000000,1028000000,540000000,719000000,1584000000,2873000000,2574523000,2964000000,4261504000,6369798000,5305314000,5977627000,7278029000,9375558000,9864964000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000,30000,31000,38000,39000,- -,- -,128000,- -,135000,137000,142000,137000,125000,127000,126000,124000,187000,163000,162000,159000,160000,162000,157000,144000,145000,143000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,170505000,311596000,277962000,141745000,28832000,227000000,254000000,157040000,144000000,221000000,520000000,784000000,1469000000,1926000000,1624000000,1966000000,2690000000,2859000000,2972688000,3576000000,4096855000,4820109000,6249691000,8261194000,9930919000,11520591000,14684912000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53400000,-83800000,-115689000,-150534000,-126104000,-16000000,-36000000,-200385000,-16463000,-17122000,-12014000,-11205000,-4302000,10620000,-52822000,-69849000,9761000,-33818000,-28693000,-28655000,-57796000,-69333000,-61700000,-57449000,-64030000,-94211000,-64128000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,278130000,381960000,428333000,531840000,506189000,424000000,494000000,718273000,537000000,608453000,558773000,623212000,-288515000,-158148000,-118216000,-128142000,-230040000,2496755000,1731634000,1665577000,1305734000,1351133000,799159000,-1623859000,-5143729000,-6243036000,-8593739000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,395262000,609786000,590637000,523089000,408956000,635000000,712000000,675056000,649084000,812466000,1066896000,1396149000,1176320000,1778597000,1453089000,1768135000,2469845000,5322124000,4675792000,5213084000,5344952000,6102069000,6987312000,6580043000,4723304000,5183489000,6027188000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,682649000,969365000,965449000,1150772000,979451000,1244000000,1871000000,1632291000,1198084000,1198466000,1448896000,2315149000,2101320000,2806597000,1993089000,2487135000,4053845000,8195124000,7250315000,8177084000,9606456000,12471867000,12292626000,12557670000,12001333000,14559047000,15892152000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1000000,- -,-84000,534000,104000,11851000,680000,403000,-89000,-135000,155000,-190124000,- -,-184084000,-241808000,-207552000,-169861000,-78192000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,682649000,969365000,965449000,1150772000,979451000,1245000000,1872000000,1632291000,1198000000,1199000000,1449000000,2327000000,2102000000,2807000000,1993000000,2487000000,4054000000,8005000000,7250315000,7993000000,9364648000,12264315000,12122765000,12479478000,12001333000,14559047000,15892152000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/707549/000091205795008038/0000912057-95-008038-index.html,https://www.sec.gov/Archives/edgar/data/707549/000091205796020899/0000912057-96-020899-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/707549/000070754902000010/0000707549-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/707549/000089161803004913/0000891618-03-004913-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000095013404013455/0000950134-04-013455-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000089161805000627/0000891618-05-000627-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000095013406016366/0000950134-06-016366-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000089161808000189/0000891618-08-000189-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000095013408015947/0000950134-08-015947-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312509182356/0001193125-09-182356-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312510194304/0001193125-10-194304-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312511227691/0001193125-11-227691-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312512365446/0001193125-12-365446-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312513348269/0001193125-13-348269-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312514321759/0001193125-14-321759-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000119312515290023/0001193125-15-290023-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754916000050/0000707549-16-000050-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754917000100/0000707549-17-000100-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754918000115/0000707549-18-000115-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754919000124/0000707549-19-000124-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754920000138/0000707549-20-000138-index.htm,https://www.sec.gov/Archives/edgar/data/707549/000070754921000136/0000707549-21-000136-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,9300000,-8800000,6100000,9900000,18900000,37800000,89211000,141091000,-33634000,-144599000,-112913000,205000000,52000000,-90051000,-8000000,83000000,297000000,335000000,686000000,439000000,-302000000,347000000,724000000,169000000,113879000,632000000,655577000,914049000,1697763000,2380681000,2191430000,2251753000,3908458000
74,Depreciation and Amortization,- -,- -,- -,3600000,4600000,5500000,8800000,12700000,18400000,23532000,33756000,53109000,62265000,50924000,46015000,58727000,64338000,44967000,35373000,29666000,24683000,37439000,54704000,72417000,71401000,74759000,100825000,304116000,292254000,277920000,291028000,306905000,326395000,309281000,268525000,307151000
75,Deferred Income Tax,- -,- -,- -,-1800000,-3200000,3200000,1000000,-2800000,-13300000,-12529000,-21519000,-24437000,-25686000,-3508000,18566000,-7027000,-34166000,-8640000,10862000,89352000,27726000,17055000,-26661000,30545000,13718000,18054000,42446000,-70155000,7537000,5551000,-49003000,104936000,3046000,-4980000,-17777000,-151477000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53042000,50463000,53012000,81559000,99330000,103700000,135354000,142348000,149975000,172216000,187234000,189197000,220164000
77,Change in Working Capital,- -,- -,- -,-14900000,- -,- -,- -,337386000,132806000,-132806000,132806000,-53260000,186648000,-108705000,238125000,344000000,-319120000,-101880000,-137000000,347000000,272000000,-395000000,537000000,-425000000,343000000,1394000000,396000000,-598646000,812646000,437488000,3155621000,-602726000,-192780000,189156000,1502334000,433427000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152086000,-246653000,-89716000,66064000,162634000,-201549000,-294155000,-169034000,-411287000,-501628000,732138000,-641827000,-928928000
