,https://roic.ai/company/USM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,11200000,11300000,15300000,32200000,41700000,73000000,111700000,163800000,229700000,325300000,429000000,512000000,699400000,828500000,934166000,1032476000,1225279000,1484835000,1609836000,1677286000,1974673000,2192765000,2301359000,2334594000,2373678000,2352760000,2373566000,2481176000,2197911000,2100185000,2098000000,2027000000,2028000000,2108000000,2051000000,2023000000
11,COGS and Expenses,12400000,16100000,26600000,55900000,72100000,116300000,163700000,255800000,316000000,450600000,621800000,749500000,987400000,1162500000,1424327000,1577618000,1903312000,2416144000,2659857000,2791585000,3183259000,3550065000,3828822000,3874204000,3971590000,4064439000,4256318000,4243611000,4160491000,3928037000,3939000000,3830000000,3817000000,3892000000,3844000000,3931000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5730000,3597000,3808000,3395000,3644000,3961000,12148000,36332000,57000000,8000000,15000000,17000000,8000000,6000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77190000,76367000,61555000,65614000,42393000,43963000,57386000,86194000,113000000,113000000,116000000,110000000,112000000,175000000
14,Depreciation and Amortization,1700000,1500000,4200000,9100000,12500000,20400000,30200000,45900000,66400000,90500000,108800000,132400000,207800000,230000000,265698000,300658000,351154000,432333000,497942000,509072000,575112000,582269000,- -,- -,577054000,573557000,608633000,803781000,605997000,606455000,618000000,615000000,640000000,702000000,683000000,678000000
15,EBITDA,-3000000,-3100000,-2300000,-9100000,-2100000,-4000000,38400000,23200000,87700000,222700000,350300000,327800000,595900000,746100000,630573000,621849000,329325000,559881000,680671000,732224000,875206000,1113714000,118235000,406478000,850542000,928290000,826009000,1100916000,608789000,1090330000,812000000,453000000,957000000,991000000,1041000000,1028000000
16,EBITDA ratio,-0.4286,-0.3010,-0.1271,-0.2258,-0.0333,-0.0402,0.2340,0.0938,0.2638,0.4523,0.4949,0.3738,0.5126,0.5265,0.3673,0.3282,0.1508,0.2168,0.2399,0.2412,0.2520,0.2822,0.0279,0.0964,0.2036,0.2137,0.1855,0.2809,0.1564,0.2728,0.2061,0.1165,0.2412,0.2464,0.2579,0.2494
17,Operating Income,-5400000,-5800000,-8500000,-15600000,-9100000,-16800000,400000,-8500000,16400000,41800000,86000000,127500000,175100000,254700000,292313000,317212000,281166000,166639000,177762000,244302000,289896000,396199000,27710000,326407000,195374000,280780000,156656000,146865000,-143390000,312942000,-3000000,-304000000,158000000,112000000,173000000,170000000
18,Operating Income ratio,-0.7714,-0.5631,-0.4696,-0.3871,-0.1444,-0.1688,0.0024,-0.0344,0.0493,0.0849,0.1215,0.1454,0.1506,0.1797,0.1703,0.1674,0.1287,0.0645,0.0626,0.0805,0.0835,0.1004,0.0065,0.0774,0.0468,0.0646,0.0352,0.0375,-0.0368,0.0783,-0.0008,-0.0781,0.0398,0.0278,0.0429,0.0412
19,Total Other Income Expenses (Gains),700000,1200000,2000000,-2600000,-5500000,10400000,7800000,-14200000,4900000,90400000,155500000,67900000,213000000,261400000,114093000,10935000,-307092000,-24785000,14870000,-10042000,23242000,150302000,38418000,25472000,39643000,32042000,48397000,110791000,84686000,90687000,85000000,32000000,57000000,73000000,77000000,10000000
20,Income Before Tax,-4700000,-4600000,-6500000,-18200000,-14600000,- -,8200000,-22700000,21300000,132200000,241500000,195400000,388100000,516100000,406406000,328147000,-25926000,141854000,192632000,234260000,313138000,546501000,66128000,351879000,235017000,312822000,205053000,257656000,-58704000,403629000,82000000,-272000000,215000000,185000000,250000000,180000000
21,Income Before Tax Ratio,-0.6714,-0.4466,-0.3591,-0.4516,-0.2317,- -,0.0500,-0.0918,0.0641,0.2685,0.3412,0.2228,0.3338,0.3642,0.2367,0.1732,-0.0119,0.0549,0.0679,0.0772,0.0902,0.1385,0.0156,0.0835,0.0563,0.0720,0.0461,0.0657,-0.0151,0.1010,0.0208,-0.0699,0.0542,0.0460,0.0619,0.0437
22,Income Tax expense (Gain),-2100000,-500000,100000,100000,100000,- -,2000000,2700000,4900000,32500000,111600000,83900000,171200000,215300000,171968000,147315000,-7541000,66774000,73708000,88404000,120604000,216711000,8055000,114103000,79609000,114078000,63977000,113134000,-11782000,156334000,33000000,-287000000,51000000,52000000,17000000,20000000
23,Net Income,-2600000,-4100000,-6600000,-18300000,-14700000,-24400000,6200000,-25400000,16400000,99700000,129900000,111500000,216900000,300800000,192907000,173876000,-14288000,60774000,109021000,134748000,179490000,314734000,32990000,216008000,132324000,175041000,111006000,140038000,-42812000,241347000,48000000,12000000,150000000,127000000,229000000,155000000
24,Net Income ratio,-0.3714,-0.3981,-0.3646,-0.4541,-0.2333,-0.2452,0.0378,-0.1027,0.0493,0.2025,0.1835,0.1271,0.1866,0.2122,0.1124,0.0918,-0.0065,0.0235,0.0384,0.0444,0.0517,0.0798,0.0078,0.0513,0.0317,0.0403,0.0249,0.0357,-0.0110,0.0604,0.0122,0.0031,0.0378,0.0316,0.0567,0.0376
25,EPS,-0.09,-0.22,-0.24,-0.65,-0.51,-0.63,0.11,-0.45,0.21,1.19,1.51,1.29,2.48,3.44,2.23,2.02,-0.17,0.71,1.26,1.55,2.05,3.59,0.38,2.48,1.54,2.06,1.31,1.67,-0.51,2.86,0.56,0.14,1.75,1.47,2.66,1.80
26,EPS Diluted,-0.09,-0.22,-0.24,-0.65,-0.51,-0.63,0.11,-0.45,0.21,1.19,1.51,1.29,2.48,3.28,2.22,1.99,-0.17,0.70,1.26,1.54,2.04,3.56,0.38,2.48,1.53,2.05,1.30,1.65,-0.51,2.84,0.56,0.14,1.72,1.44,2.62,1.78
27,Weighted Average Shares Outstanding,28888889,27738000,27500000,28153846,28823529,38730159,56363636,56444444,79514000,84023000,86041000,86346000,87323000,87478000,86355000,86200000,86086000,86136000,86244000,86775000,87346000,87730000,87457000,86946000,86128000,84877000,84645000,83968000,84213000,84248000,85000000,85000000,86000000,86000000,86000000,86000000
28,Weighted Average Shares Outstanding Diluted,28888889,27738000,27500000,28153846,28823529,38730159,56363636,56444444,80000000,84210526,86569343,86346000,87323000,91707317,86895045,89977000,86086000,86602000,86736000,87464000,88109000,88481000,87754000,87168000,86518000,85335000,85067000,84730000,84213000,84891000,85000000,86000000,87000000,88000000,87000000,87000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821130/000104746903009441/a2103341z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746904007559/a2129465z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746905006191/a2152923z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000110465906049535/a06-12109_210k.htm,https://www.sec.gov/Archives/edgar/data/821130/000110465907030334/a07-10583_110k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746908002060/a2182849z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746909001882/0001047469-09-001882-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746910001341/0001047469-10-001341-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746911001405/a2202099z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746912001493/0001047469-12-001493-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746913001702/0001047469-13-001702-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113014000009/form_10k.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113015000010/form_10k.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113016000050/0000821130-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113017000010/0000821130-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113018000008/0000821130-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113019000014/0000821130-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113020000018/0000821130-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113021000008/0000821130-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113022000009/0000821130-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,5800000,38400000,14400000,13900000,52000000,197700000,124281000,28941000,14864000,9848000,40922000,29003000,32912000,204533000,170996000,294411000,294426000,424155000,378358000,342065000,211513000,715376000,586000000,352000000,580000000,285000000,1271000000,156000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,7000,- -,- -,- -,- -,- -,249039000,16352000,- -,- -,146586000,127039000,100676000,50104000,- -,- -,- -,50000000,17000000,- -,3000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,5800000,38400000,14400000,13900000,52000000,197800000,124288000,28941000,14864000,9848000,40922000,29003000,281951000,220885000,170996000,294411000,441012000,551194000,479034000,392169000,211513000,715376000,586000000,402000000,597000000,285000000,1274000000,156000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,49200000,77200000,95900000,129800000,160200000,195600000,219083000,247375000,315251000,286980000,317649000,367510000,407438000,435497000,419619000,421528000,424019000,516612000,446832000,586595000,556958000,672219000,727000000,843000000,976000000,1056000000,1123000000,1169000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,5400000,9200000,11900000,11800000,16700000,30000000,48798000,55996000,55490000,70963000,76918000,92748000,117189000,100990000,116564000,152556000,112279000,127056000,155886000,238188000,267068000,149307000,138000000,138000000,142000000,162000000,146000000,173000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4200000,5000000,6400000,19900000,13900000,25400000,17194000,71643000,67668000,56314000,143462000,54389000,48340000,76381000,107868000,137093000,132314000,97981000,114724000,184239000,243636000,134740000,107000000,100000000,97000000,70000000,80000000,107000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,64600000,129800000,128600000,175400000,242800000,448800000,409363000,403955000,453273000,424105000,578951000,543650000,854918000,833753000,815047000,1005588000,1109624000,1292843000,1196476000,1401191000,1279175000,1671642000,1558000000,1483000000,1812000000,1573000000,2623000000,1605000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,368200000,530000000,650800000,940300000,1010800000,1071000000,1145623000,1419341000,2007669000,2173884000,2365436000,2576764000,2628848000,2595096000,2620376000,2601338000,2615072000,2790302000,3022588000,2856520000,2728217000,2648933000,2470000000,2320000000,2202000000,3107000000,3390000000,3565000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,471617000,485452000,491316000,494279000,494737000,494737000,494737000,421743000,387524000,370151000,369596000,370000000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,947400000,1035800000,1044100000,1150900000,1248100000,1156200000,1130802000,1298623000,1722272000,1663967000,1679634000,1411581000,1520523000,1497821000,1442351000,1439083000,1452860000,1471083000,1456896000,1401126000,1443438000,1834212000,1886000000,2223000000,2186000000,2471000000,2629000000,4088000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,947400000,1035800000,1044100000,1150900000,1248100000,1156200000,1130802000,1298623000,1722272000,1663967000,1679634000,1883198000,2005975000,1989137000,1936630000,1933820000,1947597000,1965820000,1878639000,1788650000,1813589000,2203808000,2256000000,2223000000,2186000000,2471000000,2629000000,4088000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156637000,161481000,206880000,168153000,194836000,265585000,283014000,363383000,413000000,415000000,441000000,447000000,435000000,439000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,154600000,184500000,262400000,242300000,545900000,824100000,781246000,603095000,516627000,661691000,557906000,430416000,190875000,193888000,37352000,42990000,54437000,110858000,294911000,133762000,383273000,172212000,413000000,400000000,633000000,566000000,604000000,644000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,1470200000,1750300000,1957300000,2333500000,2804800000,3051300000,3057671000,3321059000,4246568000,4499542000,4602976000,4890378000,4825698000,4778121000,4750995000,4739629000,4823986000,5035133000,5390974000,5044517000,5208093000,5388336000,5552000000,5358000000,5462000000,6591000000,7058000000,8736000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,1534800000,1880100000,2085900000,2508900000,3047600000,3500100000,3467034000,3725014000,4699841000,4923647000,5181927000,5434028000,5680616000,5611874000,5566042000,5745217000,5933610000,6327976000,6587450000,6445708000,6487268000,7059978000,7110000000,6841000000,7274000000,8164000000,9681000000,10341000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,52800000,73600000,69400000,103700000,11500000,147100000,212347000,196760000,306887000,285560000,260240000,305636000,254871000,260791000,258398000,311020000,281601000,303779000,321661000,416826000,316619000,284977000,321000000,310000000,313000000,304000000,377000000,346000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,21400000,32300000,24500000,1300000,- -,- -,55000000,264000000,505200000,108000000,30000000,135000000,35000000,- -,10258000,76000,101000,127000,92000,166000,46000,11313000,11000000,18000000,19000000,113000000,118000000,132000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17643000,34583000,39299000,34095000,35834000,73820000,36652000,28448000,39000000,56000000,30000000,30000000,48000000,33000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151082000,143760000,146428000,181355000,192113000,256740000,287562000,250983000,190000000,185000000,157000000,148000000,151000000,191000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,24200000,49200000,52600000,99200000,246800000,79900000,130980000,116378000,166937000,188336000,256626000,213624000,566839000,343452000,182145000,189709000,237865000,237019000,241133000,332441000,252667000,200665000,196000000,220000000,202000000,185000000,225000000,234000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,98400000,155100000,146500000,204200000,258300000,227000000,398327000,577138000,979024000,581896000,546866000,654260000,856710000,604243000,601883000,644565000,665995000,722280000,754999000,1006173000,856894000,747938000,718000000,733000000,691000000,750000000,871000000,903000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,290600000,334500000,330700000,515300000,531500000,546300000,448817000,403156000,806460000,1144344000,1160786000,1161241000,1001839000,1002293000,996636000,867522000,867941000,880320000,878858000,878032000,1151819000,1628507000,1618000000,1622000000,1605000000,1502000000,2489000000,3618000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,5000000,14300000,78800000,100700000,258100000,402000000,357775000,354153000,424728000,443033000,680278000,660667000,601535000,554412000,478106000,513994000,579769000,799190000,849818000,836297000,859867000,820731000,826000000,461000000,510000000,507000000,633000000,674000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3600000,1400000,2400000,5500000,5900000,9200000,12611000,8466000,19527000,198103000,165534000,160678000,190553000,211374000,233619000,263139000,284949000,249264000,308528000,315609000,306086000,292046000,303000000,338000000,401000000,1195000000,1262000000,572000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,299200000,350200000,411900000,621500000,795500000,957500000,819203000,765775000,1250715000,1785480000,2006598000,1982586000,1793927000,1768079000,1708361000,1644655000,1732659000,1928774000,2037204000,2029938000,2317772000,2741284000,2747000000,2421000000,2516000000,3204000000,4384000000,4864000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,970000000,991000000,1018000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,397600000,505300000,558400000,825700000,1053800000,1184500000,1217530000,1342913000,2229739000,2367376000,2553464000,2636846000,2650637000,2372322000,2310244000,2289220000,2398654000,2651054000,2792203000,3036111000,3174666000,3489222000,3465000000,3154000000,3207000000,3954000000,5255000000,5767000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87700000,88052000,88052000,88052000,88052000,88052000,88052000,88052000,88052000,88052000,88074000,88074000,88074000,88074000,88074000,88074000,88074000,88000000,88000000,88000000,88000000,88000000,88000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-84700000,15100000,145000000,256600000,473500000,774300000,967164000,1141040000,1126752000,1187526000,1265776000,1397868000,1548478000,1823022000,1828680000,2029516000,2129638000,2297363000,2399052000,2043095000,1910498000,2132521000,2160000000,2157000000,2444000000,2550000000,2739000000,2849000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-96000000,-144400000,-195300000,-272300000,-389800000,-508300000,-655754000,-833675000,10307000,26789000,31393000,24944000,80382000,10134000,- -,-3282969000,-3767509000,-4218147000,-4455840000,-4860992000,-4730523000,-5019803000,-5242000000,-5308000000,-5576000000,-6086000000,-6319000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1284300000,1458800000,1526500000,1645000000,1866500000,1920900000,1815109000,1940252000,1189923000,1193807000,1202869000,1239876000,1276367000,1274948000,1289910000,4569675000,5030380000,5452671000,5702569000,6121029000,6033942000,6359721000,6628000000,6740000000,7101000000,7645000000,7903000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1103600000,1329500000,1476200000,1629300000,1950200000,2274600000,2214571000,2335669000,2415034000,2496174000,2588090000,2750740000,2993279000,3196156000,3206642000,3404296000,3480583000,3619961000,3733855000,3391206000,3301991000,3560513000,3634000000,3677000000,4057000000,4197000000,4411000000,4547000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1501200000,1834800000,2034600000,2455000000,3004000000,3459100000,3432101000,3678582000,4644773000,4863550000,5141554000,5387586000,5643916000,5568478000,5516886000,5693516000,5879237000,6271015000,6526058000,6427317000,6476657000,7049735000,7099000000,6831000000,7264000000,8151000000,9666000000,10314000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,33600000,45300000,51300000,53900000,43600000,41000000,34933000,46432000,55068000,60097000,40373000,46442000,36700000,43396000,49156000,51701000,54373000,56961000,61392000,18391000,10611000,10243000,11000000,10000000,10000000,13000000,15000000,27000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,1534800000,1880100000,2085900000,2508900000,3047600000,3500100000,3467034000,3725014000,4699841000,4923647000,5181927000,5434028000,5680616000,5611874000,5566042000,5745217000,5933610000,6327976000,6587450000,6445708000,6487268000,7059978000,7110000000,6841000000,7274000000,8164000000,9681000000,10341000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821130/000104746903009441/a2103341z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746904007559/a2129465z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746905006191/a2152923z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000110465906049535/a06-12109_210k.htm,https://www.sec.gov/Archives/edgar/data/821130/000110465907030334/a07-10583_110k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746908002060/a2182849z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746909001882/0001047469-09-001882-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746910001341/0001047469-10-001341-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746911001405/a2202099z10-k.htm,https://www.sec.gov/Archives/edgar/data/821130/000104746912001493/0001047469-12-001493-index.html,https://www.sec.gov/Archives/edgar/data/821130/000104746913001702/0001047469-13-001702-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113014000009/form_10k.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113015000010/form_10k.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113016000050/0000821130-16-000050-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113017000010/0000821130-17-000010-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113018000008/0000821130-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113019000014/0000821130-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113020000018/0000821130-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/821130/000082113021000008/0000821130-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821130/000082113022000009/0000821130-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-18300000,-14700000,-24400000,6200000,-25400000,16400000,99700000,129900000,111500000,216900000,300800000,192907000,173876000,-14288000,60774000,109021000,134748000,179490000,314734000,32990000,216008000,132324000,175041000,111006000,140038000,-42812000,241347000,48000000,12000000,150000000,127000000,229000000,155000000
74,Depreciation and Amortization,- -,- -,- -,9100000,12500000,20400000,30200000,45900000,66400000,90500000,108800000,132400000,207800000,230000000,265698000,300658000,351154000,432333000,497942000,509072000,575112000,582269000,- -,- -,577054000,573557000,608633000,803781000,605997000,606455000,618000000,615000000,640000000,702000000,683000000,678000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,63100000,24100000,107200000,134100000,23612000,41961000,-11743000,50611000,65648000,64015000,-32946000,-26503000,-83121000,45439000,71378000,203264000,49244000,-75348000,57604000,55306000,6000000,-365000000,-3000000,-4000000,130000000,41000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15122000,16362000,18044000,20183000,21466000,15844000,22383000,24748000,26000000,30000000,37000000,41000000,32000000,27000000
77,Change in Working Capital,- -,- -,- -,5600000,- -,- -,- -,- -,-33800000,8500000,7400000,-10900000,13300000,237300000,-210764000,-184219000,-352568000,367960000,189876000,-142695000,108818000,231302000,-16346000,147859000,82606000,126934000,-129086000,-46459000,27263000,501423000,-83704000,-90000000,371000000,-298000000,929000000,-211000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68039000,-109817000,-75252000,-82175000,-64816000,-291759000,12547000,-95730000,-23000000,-68000000,-39000000,-46000000,-8000000,-27000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19053000,-7198000,2639000,-16499000,-5876000,-15571000,-24180000,16312000,-15563000,-35992000,40277000,-14640000,-28786000,-82422000,-28878000,117764000,8000000,- -,-4000000,-20000000,16000000,-27000000
