,https://roic.ai/company/POWI,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,3900000,7300000,8845000,11406000,21599000,23622000,15028000,23113000,25354000,17929000,28280000,19696000,28468000,26248000,62077000,52010000,44625000,42235000,64025000,51934000,52564000,57087000,80857000,90380000,102878000,99266000
36,Other Current Assets,4700000,3800000,812000,5339000,10672000,6872000,7736000,7361000,6478000,2879000,7508000,5516000,8623000,12330000,10698000,7335000,6141000,12651000,16418000,5962000,5346000,6103000,8239000,8703000,13252000,15804000
37,Total Current Assets,14700000,42900000,58715000,88099000,104894000,112483000,140686000,156120000,166408000,160375000,173720000,243607000,233968000,215875000,261510000,250101000,164864000,277422000,265912000,240403000,318502000,364534000,332432000,541339000,601232000,686815000
38,PP&E,4800000,5600000,6339000,10472000,22497000,23182000,21008000,51977000,51718000,48890000,53475000,56740000,56911000,62381000,84470000,88241000,89724000,90141000,95823000,99381000,95296000,111705000,114117000,116619000,166188000,179824000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1824000,1824000,1824000,14826000,14786000,80599000,80599000,80599000,91849000,91849000,91849000,91849000,91849000,91849000,91849000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5895000,6731000,3818000,3099000,9795000,8852000,47738000,40334000,35524000,38165000,31502000,25419000,21152000,16865000,12506000,9012000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5895000,8555000,5642000,4923000,24621000,23638000,128337000,120933000,116123000,130014000,123351000,117268000,113001000,108714000,104355000,100861000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,4000000,- -,1000000,40100000,31760000,39041000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,1598000,1923000,9221000,13485000,15544000,15362000,14590000,13421000,12387000,11532000,9449000,11562000,11843000,12032000,2364000,6906000,2836000,3339000,16433000
44,Other Non-Current Assets,- -,100000,- -,- -,- -,- -,- -,1467000,15383000,14435000,10284000,10653000,195000,6698000,17288000,19511000,4673000,3476000,4243000,5896000,6157000,25203000,22241000,34388000,28225000,30554000
45,Total Non-Current Assets,4800000,5700000,6339000,10472000,22497000,23182000,21008000,55042000,69024000,76546000,87139000,91492000,79110000,128692000,171560000,182818000,234266000,223999000,227751000,247134000,236836000,256540000,256265000,262557000,302107000,327672000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19500000,48600000,65054000,98571000,127391000,135665000,161694000,211162000,235432000,236921000,260859000,335099000,313078000,344567000,433070000,432919000,399130000,501421000,493663000,487537000,555338000,621074000,588697000,803896000,903339000,1014487000
48,Accounts Payable,1500000,6900000,5866000,6524000,7490000,4641000,7727000,7918000,8612000,5410000,8592000,10792000,9319000,16944000,20291000,16532000,16452000,20772000,21980000,21660000,29727000,33211000,31552000,27433000,34712000,43721000
49,Short-Term Debt,- -,- -,1950000,1228000,678000,440000,233000,41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,902000,1210000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,3058000,3479000,4901000,5226000,4798000,9040000,12221000,7883000,11550000,15727000,15223000,15101000,16207000,- -,- -,- -,- -,- -
52,Other Current Liabilities,3400000,5900000,7911000,9178000,9721000,6566000,12335000,12485000,11250000,18673000,26600000,12549000,18854000,9932000,16943000,8216000,12565000,13919000,17957000,15232000,13919000,17840000,16814000,23043000,27814000,28600000
53,Total Current Liabilities,4900000,12800000,15727000,16930000,17889000,11647000,20295000,20444000,22920000,27562000,40093000,28567000,32971000,35916000,49455000,32631000,40567000,50418000,55160000,51993000,59853000,51051000,48366000,50476000,62526000,72321000
54,Long-Term Debt,5500000,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149000,- -,- -,- -,- -,8179000,5273000,4272000,1291000,820000,138000,216000,164000,75000,- -
57,Other Non-Current Liabilities,- -,100000,1963000,1393000,715000,716000,766000,- -,- -,- -,- -,16893000,20426000,23859000,29580000,34368000,9335000,9044000,3555000,5634000,6560000,22203000,13043000,28710000,30327000,30134000
58,Total Non-Current Liabilities,5500000,2500000,1963000,1393000,715000,716000,766000,- -,- -,- -,- -,17042000,20426000,23859000,29580000,34368000,17514000,14317000,7827000,6925000,7380000,22341000,13259000,28874000,30402000,30134000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10400000,15300000,17690000,18323000,18604000,12363000,21061000,20444000,22920000,27562000,40093000,45609000,53397000,59775000,79035000,66999000,58081000,64735000,62987000,58918000,67233000,73392000,61625000,79350000,92928000,102455000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,12000,26000,28000,28000,28000,30000,30000,29000,29000,30000,28000,27000,28000,28000,28000,30000,29000,28000,28000,29000,28000,28000,28000,28000
64,Retained Earnings,-26700000,-22000000,-9297000,15180000,34945000,41671000,51249000,69334000,89701000,76001000,85426000,113093000,114166000,134740000,178627000,207196000,165646000,213466000,259845000,285076000,317912000,351408000,402569000,575531000,621626000,753440000
65,Other Comprehensive Income/Loss,-4700000,-7000000,-9535000,-12554000,-15613000,-22441000,-28039000,-34835000,-41452000,-46991000,-53214000,-58613000,-67318000,-76993000,-82789000,-95224000,-109509000,-123898000,-1000000,-2000000,-3000000,-2000000,-2000000,-3000000,-2163000,-3737000
66,Other Total Stockholders Equity,40500000,62300000,66184000,77596000,89427000,104044000,117395000,156189000,164233000,180320000,188525000,234980000,212805000,227018000,258169000,253920000,284884000,347088000,171802000,145515000,173165000,198245000,126475000,151987000,190920000,- -
67,Total Stockholders Equity,9100000,33300000,47364000,80248000,108787000,123302000,140633000,190718000,212512000,209359000,220766000,289490000,259681000,284792000,354035000,365920000,341049000,436686000,430676000,428619000,488105000,547682000,527072000,724546000,810411000,912032000
68,Total Liabilities And Stockholders Equity,19500000,48600000,65054000,98571000,127391000,135665000,161694000,211162000,235432000,236921000,260859000,335099000,313078000,344567000,433070000,432919000,399130000,501421000,493663000,487537000,555338000,621074000,588697000,803896000,903339000,1014487000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,19500000,48600000,65054000,98571000,127391000,135665000,161694000,211162000,235432000,236921000,260859000,335099000,313078000,344567000,433070000,432919000,399130000,501421000,493663000,487537000,555338000,621074000,588697000,803896000,903339000,1014487000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/833640/0001012870-98-000730-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833640/000101287003001306/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312504038206/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312505051707/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312507049651/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312507174522/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312508050630/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000095013409004071/0000950134-09-004071-index.html,https://www.sec.gov/Archives/edgar/data/833640/000119312510043115/0001193125-10-043115-index.html,https://www.sec.gov/Archives/edgar/data/833640/000119312511045774/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364012000026/0000833640-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364013000061/0000833640-13-000061-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364014000073/powi-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364015000060/powi-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364016000276/0000833640-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364017000086/0000833640-17-000086-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364018000067/0000833640-18-000067-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364019000046/0000833640-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364020000044/0000833640-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364021000025/0000833640-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364022000021/0000833640-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1300000,4800000,12678000,24477000,19765000,6726000,9578000,18085000,20367000,15698000,9425000,26624000,1803000,23269000,49464000,34291000,-34404000,57266000,59544000,39147000,47890000,27609000,69984000,193468000,71176000,164413000
74,Depreciation and Amortization,1900000,2300000,3034000,3231000,4189000,6944000,6684000,6846000,6880000,6264000,7097000,7505000,9816000,10340000,13015000,16315000,20420000,23492000,21956000,23503000,23475000,24457000,24185000,24403000,28102000,34948000
75,Deferred Income Tax,- -,- -,- -,-3918000,-2136000,708000,-718000,191000,72000,-24000,-4912000,-1119000,18000,658000,1124000,3778000,2017000,-2781000,157000,-5416000,-660000,15838000,-4465000,4019000,-592000,-13240000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11330000,10721000,8969000,14224000,16485000,14282000,14767000,20885000,24677000,21580000,23347000,30912000,37609000
77,Change in Working Capital,400000,20300000,12888000,28181000,15836000,13831000,19555000,15285000,7812000,-10675000,814000,81413000,-14043000,-21038000,32096000,5415000,-93173000,102707000,-16252000,-22342000,70239000,54834000,-29417000,206797000,47843000,2443000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8709000,16236000,-3621000,5313000,-4936000,2133000,4131000,650000,-10479000,5754000,-13259000,-11300000,-5501000
79,Inventory,400000,-3400000,-1517000,-2561000,-10193000,-2023000,8594000,-8085000,-2241000,7473000,-10053000,8562000,-8928000,2136000,-33588000,10037000,18026000,2375000,-21703000,13500000,-630000,-4523000,-23770000,-9523000,-12498000,3612000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6838000,-483000,-1564000,2071000,2467000,2337000,-2000000,7714000,396000,1336000,-6556000,5697000,4067000
81,Other Working Capital,9800000,30100000,42988000,71169000,87005000,100836000,120391000,135676000,143488000,132813000,133627000,215040000,200997000,179959000,212055000,217470000,124297000,227004000,210752000,188410000,258649000,313483000,284066000,490863000,538706000,18000
82,Other Non-Cash Items,100000,-19300000,-10098000,-29081000,-23438000,-11986000,-3565000,-20021000,-5020000,24761000,16806000,-51814000,38607000,20412000,-46448000,424000,142746000,-98498000,5875000,42528000,-63928000,-65376000,2097000,-227535000,-51802000,4695000
83,Cash Provided by Operating Activities,1100000,8100000,18502000,22890000,14216000,16223000,31534000,20386000,30111000,36024000,29230000,62609000,36201000,44971000,59972000,69192000,51830000,98671000,85562000,92187000,97901000,82039000,83964000,224499000,125639000,230868000
84,CAPEX,-500000,-1400000,-1956000,-6592000,-16214000,-7629000,-4510000,-37787000,-8135000,-4291000,-13082000,-10950000,-9097000,-14356000,-30567000,-23223000,-16358000,-13960000,-23071000,-21748000,-12198000,-32496000,-25577000,-25140000,-70598000,-47272000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5461000,- -,- -,-8598000,-6914000,-115720000,- -,- -,-15549000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-3600000,-13400000,-47904000,-52070000,-31349000,-30750000,-42325000,-6210000,-29182000,-7806000,-24851000,-99080000,-29172000,-60461000,-29055000,-42176000,- -,-109482000,-45269000,-29748000,-188654000,-151663000,-62833000,-207240000,-109703000,-554018000
87,Sales/Maturities of Investments,- -,14400000,31117000,38524000,38166000,42998000,25173000,33037000,19270000,14344000,38969000,20506000,108373000,16849000,27010000,26725000,40463000,31350000,38052000,59309000,83423000,149443000,157551000,70334000,151385000,368457000
88,Other Investing Activites,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,-10000000,-1300000,- -,1050000,- -,-5335000,-6719000,-33091000,1428000,-7861000,- -,- -,- -,-900000,-1026000,651000,35000
89,Cash Used for Investing Activites,-4200000,-500000,-18743000,-20138000,-9397000,4619000,-21662000,-10960000,-18047000,-7753000,-264000,-94985000,71154000,-57968000,-46545000,-52307000,-124706000,-90664000,-38149000,-7736000,-117429000,-34716000,69141000,-162046000,-28265000,-232798000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-8000000,- -,- -,- -
91,Common Stock Issued,900000,19400000,828000,2946000,4863000,5477000,5914000,23554000,9099000,7874000,5563000,24608000,23880000,20353000,26263000,22210000,- -,- -,- -,- -,- -,- -,- -,- -,10527000,7710000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-11797000,-33662000,-19643000,- -,-82358000,-28673000,-13960000,-50000000,-20467000,- -,-80760000,-53731000,-6435000,-9188000,-103153000,-7302000,-2636000,-73938000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-730000,-2695000,-5577000,-5722000,-5755000,-9446000,-13165000,-13916000,-15054000,-16634000,-18823000,-20506000,-25081000,-32599000
94,Other Financing Activites,2400000,-4700000,-1964000,-1991000,-1103000,-640000,-403000,-233000,-41000,- -,172000,1184000,972000,-8486000,540000,796000,48174000,30973000,14292000,12580000,13059000,15020000,17353000,9908000,- -,- -
95,Cash Used/Provided by Financing Activities,3300000,14700000,-1136000,955000,3760000,4837000,5511000,23321000,-2739000,-25788000,-13908000,25792000,-58236000,-19501000,7266000,-32716000,21952000,21527000,-79633000,-55067000,-8430000,-15802000,-112623000,-17900000,-17190000,-98827000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,3300000,14700000,-1377000,3707000,8579000,25679000,15383000,32747000,9325000,2483000,15058000,-6584000,49119000,-32498000,20693000,-15831000,-76442000,29534000,-32220000,29384000,-27958000,31521000,40482000,44553000,80184000,-100757000
98,Cash at the End of Period,- -,- -,24176000,27883000,36462000,62141000,77524000,110271000,119596000,109879000,124937000,118353000,167472000,134974000,155667000,139836000,63394000,92928000,60708000,90092000,62134000,93655000,134137000,178690000,258874000,158117000
99,Cash at the Beginning of Period,3000000,3300000,25553000,24176000,27883000,36462000,62141000,77524000,110271000,107396000,109879000,124937000,118353000,167472000,134974000,155667000,139836000,63394000,92928000,60708000,90092000,62134000,93655000,134137000,178690000,258874000
100,Free Cash Flow,600000,6700000,16546000,16298000,-1998000,8594000,27024000,-17401000,21976000,31733000,16148000,51659000,27104000,30615000,29405000,45969000,35472000,84711000,62491000,70439000,85703000,49543000,58387000,199359000,55041000,183596000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/833640/0001012870-98-000730-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833640/000101287003001306/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312504038206/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312505051707/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312507049651/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312507174522/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000119312508050630/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000095013409004071/0000950134-09-004071-index.html,https://www.sec.gov/Archives/edgar/data/833640/000119312510043115/0001193125-10-043115-index.html,https://www.sec.gov/Archives/edgar/data/833640/000119312511045774/d10k.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364012000026/0000833640-12-000026-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364013000061/0000833640-13-000061-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364014000073/powi-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364015000060/powi-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364016000276/0000833640-16-000276-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364017000086/0000833640-17-000086-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364018000067/0000833640-18-000067-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364019000046/0000833640-19-000046-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364020000044/0000833640-20-000044-index.html,https://www.sec.gov/Archives/edgar/data/833640/000083364021000025/0000833640-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/833640/000083364022000021/0000833640-22-000021-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
