,https://roic.ai/company/TR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378000,243000,142000,121000,137000,92000,99000,76000,105000,144000,181000,220000,164000,46000
14,Depreciation and Amortization,2400000,2100000,2400000,3600000,5100000,5700000,5200000,6100000,8800000,10500000,10700000,12100000,12800000,12800000,10000000,13314000,16700000,12354000,11379000,13565000,16367000,16725000,16380000,17036000,17862000,18279000,19229000,19925000,20050000,20758000,20388000,19627000,18991000,18669000,18779000,18184000,17570000
15,EBITDA,25000000,27800000,28400000,29100000,38300000,42900000,49300000,58000000,66500000,71700000,74800000,87200000,108200000,118800000,121400000,131122000,117487000,113042000,109326000,108253000,130019000,111440000,93547000,73323000,82284000,92510000,80262000,94226000,104625000,112589000,113004000,117835000,103906000,92144000,104484000,94631000,103363000
16,EBITDA ratio,0.2343,0.2496,0.2474,0.2263,0.2136,0.2208,0.2371,0.2363,0.2562,0.2415,0.2392,0.2558,0.2881,0.3056,0.3059,0.3070,0.2774,0.2875,0.2784,0.2577,0.2666,0.2247,0.1880,0.1478,0.1648,0.1774,0.1507,0.1714,0.1925,0.2071,0.2092,0.2261,0.2001,0.1776,0.1982,0.2009,0.1811
17,Operating Income,21200000,24200000,24500000,23800000,33900000,36800000,42500000,49100000,55000000,62600000,61500000,71500000,90100000,101300000,104500000,110729000,93944000,9669000,92353000,89904000,108744000,86250000,70852000,66527000,62079000,65731000,57966000,69479000,72353000,83923000,91082000,92414000,71416000,70482000,69214000,58244000,67133000
18,Operating Income ratio,0.1987,0.2172,0.2134,0.1851,0.1891,0.1894,0.2044,0.2001,0.2119,0.2108,0.1967,0.2097,0.2399,0.2606,0.2634,0.2593,0.2218,0.0246,0.2352,0.2140,0.2230,0.1739,0.1424,0.1341,0.1243,0.1261,0.1089,0.1264,0.1332,0.1544,0.1686,0.1773,0.1375,0.1358,0.1313,0.1236,0.1176
19,Total Other Income Expenses (Gains),1400000,1500000,1500000,1700000,-700000,400000,1600000,2800000,2700000,-1400000,2600000,3600000,5300000,4700000,6900000,7079000,6843000,91019000,5594000,4784000,4908000,8465000,6315000,-10618000,2100000,8358000,2946000,4685000,12130000,7371000,1496000,5498000,13145000,2724000,16190000,18018000,18596000
20,Income Before Tax,22600000,25700000,26000000,25500000,33200000,37200000,44100000,51900000,57700000,61200000,64100000,75100000,95400000,106000000,111400000,117808000,100787000,100688000,97947000,94688000,113652000,94715000,77167000,55909000,64179000,74089000,60912000,74164000,84483000,91294000,92578000,97912000,84561000,73206000,85404000,76262000,85729000
21,Income Before Tax Ratio,0.2118,0.2307,0.2265,0.1983,0.1852,0.1915,0.2121,0.2115,0.2223,0.2061,0.2050,0.2203,0.2540,0.2727,0.2807,0.2759,0.2380,0.2561,0.2494,0.2254,0.2330,0.1910,0.1550,0.1127,0.1285,0.1421,0.1144,0.1349,0.1555,0.1680,0.1714,0.1879,0.1628,0.1411,0.1620,0.1619,0.1502
22,Income Tax expense (Gain),11700000,12900000,11400000,8900000,13000000,14600000,17600000,19900000,22300000,23300000,23700000,27900000,34700000,38500000,40100000,42071000,35100000,34300000,32933000,30514000,36425000,28796000,25542000,17132000,10704000,20375000,16974000,22160000,23634000,28434000,26451000,30593000,3907000,16401000,20565000,17288000,20421000
23,Net Income,10900000,12800000,14600000,16600000,20200000,22600000,26500000,32000000,35400000,37900000,40400000,47200000,60700000,67500000,71300000,75737000,65687000,66388000,65014000,64174000,77227000,65919000,51625000,38777000,53475000,53714000,43938000,52004000,60849000,63298000,66089000,67510000,80864000,56893000,64920000,58995000,65326000
24,Net Income ratio,0.1022,0.1149,0.1272,0.1291,0.1127,0.1163,0.1275,0.1304,0.1364,0.1277,0.1292,0.1385,0.1616,0.1737,0.1797,0.1773,0.1551,0.1688,0.1656,0.1528,0.1583,0.1329,0.1037,0.0782,0.1071,0.1030,0.0825,0.0946,0.1120,0.1165,0.1224,0.1296,0.1557,0.1096,0.1232,0.1252,0.1145
25,EPS,0.12,0.13,0.16,0.19,0.24,0.03,0.30,0.34,0.39,0.41,0.43,0.50,0.63,0.74,0.78,0.85,0.74,0.76,0.76,0.77,0.92,0.81,0.64,0.49,0.69,0.70,0.58,0.70,0.83,0.88,0.93,0.96,1.17,0.84,0.93,0.86,0.94
26,EPS Diluted,0.12,0.13,0.16,0.19,0.24,0.03,0.30,0.34,0.39,0.41,0.43,0.50,0.63,0.74,0.78,0.85,0.74,0.76,0.76,0.77,0.92,0.81,0.64,0.49,0.69,0.70,0.58,0.70,0.83,0.88,0.93,0.96,1.17,0.84,0.93,0.86,0.94
27,Weighted Average Shares Outstanding,90932352,97497299,54786651,88126266,84258665,86673235,89280193,93435269,89880642,93578808,93562560,93524791,95712077,92070684,91106066,89283302,88466133,87765531,85591061,84032057,83416691,81974800,80739983,78640693,77616761,76599201,75535929,74412608,73342298,72314195,71226958,70050542,69037399,68126754,69461366,68507360,69453930
28,Weighted Average Shares Outstanding Diluted,90932352,97497299,54786651,88126266,84258665,86673235,89280193,93435269,89880642,94478225,96355196,93524791,95712077,92070684,91106066,92393971,88466133,88034707,86260925,84318715,83650502,82701862,80739983,78858834,77616761,76599201,75535929,74412608,73342298,72314195,71226958,70050542,69037399,68126754,69461366,68507360,69453930
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98677/0000912057-96-005445-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98677/000104746903010353/0001047469-03-010353-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746904007970/0001047469-04-007970-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746905006676/0001047469-05-006676-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746906003397/0001047469-06-003397-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465907014891/0001104659-07-014891-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465908013904/0001104659-08-013904-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465909013455/0001104659-09-013455-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465910010655/0001104659-10-010655-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465911011443/0001104659-11-011443-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465912014416/0001104659-12-014416-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465913016402/0001104659-13-016402-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465914014392/0001104659-14-014392-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837015000212/0001558370-15-000212-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837016003574/0001558370-16-003574-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837017001046/0001558370-17-001046-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837018001364/0001558370-18-001364-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837019001395/0001558370-19-001395-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837020001773/0001558370-20-001773-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837021002125/0001558370-21-002125-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837022002480/0001558370-22-002480-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,27200000,35700000,50800000,16800000,1800000,4200000,5400000,1000000,2000000,16500000,47500000,45700000,60400000,80700000,88500000,60882000,106532000,105507000,84084000,56989000,69006000,55729000,57606000,68908000,90990000,115976000,78612000,63862000,88283000,100108000,126145000,119145000,96314000,110899000,138960000,166841000,105840000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71000000,71605000,68629000,40737000,86961000,32369000,54892000,23531000,41307000,17963000,8663000,7996000,10895000,18746000,33572000,39450000,42155000,67513000,41606000,75140000,100444000,42090000,39968000
33,Cash and Short-Term Investments,27200000,35700000,50800000,16800000,1800000,4200000,5400000,1000000,2000000,16500000,47500000,45700000,60400000,80700000,159500000,132487000,175161000,146244000,171045000,89358000,123898000,79260000,98913000,86871000,99653000,123972000,89507000,82608000,121855000,139558000,168300000,186658000,137920000,186039000,239404000,208931000,145808000
34,Net Receivables,7100000,9200000,10000000,11400000,12100000,16200000,13000000,12900000,20700000,22100000,23600000,21200000,23300000,22300000,24700000,24798000,23732000,26759000,21207000,37457000,33624000,39007000,35284000,34196000,45909000,47355000,45286000,47636000,45337000,46830000,53782000,46263000,65753000,52718000,48462000,45103000,58841000
35,Inventory,11600000,13400000,11700000,16100000,22300000,23000000,21500000,24800000,29300000,29200000,32200000,30400000,36700000,36500000,35100000,41890000,41162000,43645000,46086000,58777000,55032000,63957000,57402000,55584000,56387000,59076000,71760000,62383000,61856000,70379000,62263000,57531000,54827000,54524000,59088000,59579000,55505000
36,Other Current Assets,100000,200000,300000,800000,18000000,34500000,61800000,91000000,59900000,51100000,61600000,104200000,86600000,89000000,5200000,4036000,6041000,8300000,5367000,7101000,34042000,8693000,8127000,11328000,9929000,7188000,5648000,4614000,11063000,7854000,9461000,8848000,12420000,10765000,6376000,7259000,8147000
37,Total Current Assets,46000000,58500000,72800000,45100000,54200000,77900000,101700000,129700000,111900000,118900000,164900000,201500000,207000000,228500000,224500000,203211000,246096000,224948000,243705000,192693000,246596000,190917000,199726000,187979000,211878000,237591000,212201000,197241000,240111000,264621000,293806000,299300000,270920000,304046000,353330000,320872000,268301000
38,PP&E,18100000,19900000,20100000,31600000,30900000,32100000,34000000,41800000,86700000,85600000,82000000,81700000,78400000,83000000,95900000,131118000,132575000,128869000,129163000,178750000,178760000,202898000,201401000,217628000,220721000,215492000,212162000,201290000,196916000,190081000,184586000,180905000,178972000,186101000,188455000,187328000,208906000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74194000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000,73237000
40,Intangible Assets,- -,- -,- -,50600000,49300000,47700000,46500000,45200000,101400000,98700000,96000000,93300000,90500000,87800000,85100000,121263000,117499000,117499000,117499000,267344000,263218000,189024000,189024000,189024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000,175024000
41,Intangible Assets,- -,- -,- -,50600000,49300000,47700000,46500000,45200000,101400000,98700000,96000000,93300000,90500000,87800000,85100000,121263000,117499000,117499000,117499000,267344000,263218000,263218000,262261000,262261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000,248261000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59083000,63097000,68715000,100096000,126812000,148532000,163579000,152930000,164665000,190510000,170409000,153031000,220020000,291175000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11580000,9203000,7715000,6222000,4033000,1696000,308000,326000,424000,522000,689000,1038000,1372000
44,Other Non-Current Assets,1500000,1500000,1500000,1800000,1900000,2000000,2200000,5800000,3900000,6900000,10900000,15000000,60800000,88100000,123900000,106850000,122506000,174764000,174930000,172966000,125122000,134606000,149337000,85141000,82710000,81121000,77421000,66911000,50556000,42148000,29092000,26644000,41859000,38022000,34098000,7039000,603000
45,Total Non-Current Assets,19600000,21400000,21600000,84000000,82100000,81800000,82700000,92800000,192000000,191200000,188900000,190000000,229700000,258900000,304900000,359231000,372580000,421132000,421592000,619060000,567100000,600722000,612999000,624113000,626369000,622792000,645655000,649496000,648298000,645765000,615177000,620801000,660026000,643315000,624534000,663686000,750317000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,65600000,79900000,94400000,129100000,136300000,159700000,184400000,222500000,303900000,310100000,353800000,391500000,436700000,487400000,529400000,562442000,618676000,646080000,665297000,811753000,813696000,791639000,812725000,812092000,838247000,860383000,857856000,846737000,888409000,910386000,908983000,920101000,930946000,947361000,977864000,984558000,1018618000
48,Accounts Payable,- -,- -,- -,- -,5500000,7000000,4700000,4700000,6300000,6100000,5900000,8600000,11600000,12500000,12800000,10296000,9223000,12505000,11947000,19315000,17482000,13102000,11572000,13885000,9140000,9791000,10683000,8942000,9153000,11641000,11322000,10320000,11928000,11817000,12720000,13025000,14969000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,- -,- -,- -,- -,- -,- -,6333000,32001000,- -,- -,- -,- -,- -,- -,- -,- -,124000,231000,336000,440000,373000,1809000,1612000,2011000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8736000,3103000,4354000,7152000,3004000,3210000,3148000,3170000,6962000,6008000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,10000000,12600000,14000000,32600000,15200000,15600000,16500000,17800000,44600000,20200000,29400000,39600000,42000000,40900000,43300000,47150000,48623000,50591000,50940000,56669000,64173000,49109000,46400000,45367000,46926000,48714000,47672000,51823000,50968000,52694000,60509000,52905000,51420000,49201000,65015000,55384000,62988000
53,Total Current Liabilities,10000000,12600000,14000000,32600000,20700000,22600000,21200000,22500000,50900000,26300000,55300000,48200000,53600000,53400000,56100000,57446000,57846000,63096000,62887000,82317000,113656000,62211000,57972000,59252000,56066000,58505000,58355000,60765000,60121000,64459000,72062000,63561000,63788000,61391000,79544000,70021000,79968000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,20000000,20000000,7500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000,7500000,85667000,- -,- -,- -,7500000,7500000,7500000,7500000,7500000,7500000,8194000,7883000,7730000,7500000,7500000,8018000,7578000,13847000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1700000,2200000,3300000,3500000,4300000,5700000,5500000,4000000,6400000,7700000,8900000,9300000,8700000,9000000,9500000,12422000,16792000,19654000,22631000,25995000,32088000,40864000,35940000,43346000,44582000,48743000,51866000,38748000,54939000,47356000,47594000,46060000,41457000,43941000,47295000,47900000,45461000
57,Other Non-Current Liabilities,400000,500000,- -,1500000,1700000,1600000,4900000,14300000,14300000,15600000,9900000,13600000,15700000,21000000,25700000,26378000,28077000,29090000,35698000,47595000,50547000,57883000,80583000,67224000,77614000,76681000,74200000,89909000,85544000,99241000,82896000,91212000,84397000,84032000,83358000,95959000,110545000
58,Total Non-Current Liabilities,2100000,2700000,3300000,5000000,6000000,7300000,10400000,18300000,40700000,43300000,26300000,30400000,31900000,37500000,42700000,46300000,52369000,56244000,65829000,159257000,82635000,98747000,116523000,118070000,129696000,132924000,133566000,136157000,147983000,154791000,138373000,145002000,133354000,135473000,138671000,151437000,169853000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1580000,858000,7419000
61,Total Liabilities,12100000,15300000,17300000,37600000,26700000,29900000,31600000,40800000,91600000,69600000,81600000,78600000,85500000,90900000,98800000,103746000,110215000,119340000,128716000,241574000,196291000,160958000,174495000,177322000,185762000,191429000,191921000,196922000,208104000,219250000,210435000,208563000,197142000,196864000,218215000,221458000,249821000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33700000,34057000,35040000,35421000,35574000,36302000,36983000,37329000,37706000,38204000,38695000,39252000,39934000,40468000,41157000,41786000,42308000,43001000,43646000,44534000,45223000,45892000,46622000
64,Retained Earnings,37100000,41600000,46400000,53200000,63900000,74200000,83500000,90300000,96600000,107800000,121500000,136400000,159100000,164700000,158600000,180123000,161345000,148705000,156786000,149055000,164236000,169233000,156752000,142872000,145928000,137412000,114269000,80210000,73109000,64927000,52349000,43833000,57225000,33767000,40809000,32312000,39545000
65,Other Comprehensive Income/Loss,-23200000,-24000000,-26400000,-29200000,-32200000,-35900000,-40400000,-44800000,-50600000,-57500000,-64800000,-71600000,-73100000,-80600000,-88200000,-98004000,-108920000,-11052000,-11709000,-10931000,-7947000,-12537000,-11727000,-15241000,-12396000,-11213000,-19953000,-16447000,-4638000,-13098000,-17364000,-20246000,-21791000,-22222000,-20245000,-19815000,-25013000
66,Other Total Stockholders Equity,39600000,47000000,57100000,67500000,77900000,91500000,109700000,136200000,166300000,190200000,215500000,248100000,265200000,312400000,326500000,342520000,420996000,353666000,355930000,395753000,424133000,436656000,455499000,468935000,480258000,503503000,531685000,545584000,570677000,597194000,620890000,644776000,654760000,694543000,694067000,704938000,- -
67,Total Stockholders Equity,53500000,64600000,77100000,91500000,109600000,129800000,152800000,181700000,212300000,240500000,272200000,312900000,351200000,396500000,430600000,458696000,508461000,526740000,536581000,570179000,617405000,630681000,638230000,634770000,652485000,668954000,665935000,649815000,680305000,690809000,698183000,711364000,733840000,750622000,759854000,763327000,769042000
68,Total Liabilities And Stockholders Equity,65600000,79900000,94400000,129100000,136300000,159700000,184400000,222500000,303900000,310100000,353800000,391500000,436700000,487400000,529400000,562442000,618676000,646080000,665297000,811753000,813696000,791639000,812725000,812092000,838247000,860383000,857856000,846737000,888409000,910059000,908618000,919927000,930982000,947486000,978069000,984785000,1018863000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327000,365000,174000,-36000,-125000,-205000,-227000,-245000
70,Total Liabilities & Equity,65600000,79900000,94400000,129100000,136300000,159700000,184400000,222500000,303900000,310100000,353800000,391500000,436700000,487400000,529400000,562442000,618676000,646080000,665297000,811753000,813696000,791639000,812725000,812092000,838247000,860383000,857856000,846737000,888409000,910386000,908983000,920101000,930946000,947361000,977864000,984558000,1018618000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98677/0000912057-96-005445-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98677/000104746903010353/0001047469-03-010353-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746904007970/0001047469-04-007970-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746905006676/0001047469-05-006676-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000104746906003397/0001047469-06-003397-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465907014891/0001104659-07-014891-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465908013904/0001104659-08-013904-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465909013455/0001104659-09-013455-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465910010655/0001104659-10-010655-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465911011443/0001104659-11-011443-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465912014416/0001104659-12-014416-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465913016402/0001104659-13-016402-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000110465914014392/0001104659-14-014392-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837015000212/0001558370-15-000212-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837016003574/0001558370-16-003574-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837017001046/0001558370-17-001046-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837018001364/0001558370-18-001364-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837019001395/0001558370-19-001395-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837020001773/0001558370-20-001773-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837021002125/0001558370-21-002125-index.htm,https://www.sec.gov/Archives/edgar/data/98677/000155837022002480/0001558370-22-002480-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,20200000,22600000,26500000,32000000,35400000,37900000,40400000,47200000,60700000,67500000,71300000,75737000,65687000,66388000,65014000,64174000,77227000,65919000,51625000,38777000,53475000,53714000,43938000,52004000,60849000,63298000,66089000,67510000,80864000,56893000,64839000,58974000,65308000
74,Depreciation and Amortization,- -,- -,- -,- -,5100000,5700000,5200000,6100000,8800000,10500000,10700000,12100000,12800000,12800000,10000000,13314000,16700000,12354000,11379000,13565000,16367000,16725000,16380000,17036000,17862000,18279000,19229000,19925000,20050000,20758000,20388000,19627000,18991000,18669000,18779000,18184000,17570000
75,Deferred Income Tax,- -,- -,- -,- -,700000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000,199000,-2337000,2063000,2832000,-279000,-1263000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-9900000,21800000,25200000,26700000,-46200000,31600000,17000000,43700000,100000,21700000,-6700000,-22635000,42485000,-26398000,18966000,-70442000,22564000,-4234000,13048000,-13027000,27085000,23274000,-25240000,-17370000,43514000,20172000,21582000,13995000,-28607000,35523000,12112000,-3573000,-154000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261000,-5899000,717000,-5448000,272000,1330000,-2007000,-8929000,6869000,-4012000,-2445000,5086000,3483000,-14130000
79,Inventory,- -,- -,- -,- -,-6200000,-700000,1500000,-3400000,-2700000,-1100000,-3800000,1900000,-6500000,-100000,1600000,-768000,910000,-2734000,-2579000,-4567000,3947000,-8451000,6506000,1352000,-675000,-2468000,-15631000,9588000,503000,-7329000,7530000,4183000,1558000,303000,-4383000,-770000,3940000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,199000,418000,-1268000,3839000,-2061000,-557000,1648000,1080000,3849000,10010000
