,https://roic.ai/company/ZUMZ,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
23,Net Income,-169000,- -,4475000,7267000,12851000,20856000,25326000,17204000,9131000,24203000,37351000,42164000,45948000,43192000,28785000,25904000,26802000,45205000,66881000,76227000,119289000
24,Net Income ratio,-0.0264,- -,0.0380,0.0473,0.0625,0.0699,0.0664,0.0421,0.0224,0.0505,0.0672,0.0630,0.0634,0.0532,0.0358,0.0310,0.0289,0.0462,0.0647,0.0769,0.1008
25,EPS,-0.01,- -,51.19,0.32,0.49,0.76,0.89,0.59,0.31,0.81,1.22,1.37,1.54,1.50,1.05,1.05,1.09,1.81,2.65,3.06,4.78
26,EPS Diluted,-0.01,- -,45.17,0.28,0.47,0.73,0.86,0.58,0.30,0.79,1.20,1.35,1.52,1.47,1.04,1.04,1.08,1.79,2.62,3.00,4.70
27,Weighted Average Shares Outstanding,22610522,- -,87420,22610522,25879674,27542891,28608818,29126889,29499385,29971000,30527000,30742000,29810000,28871000,27497000,24727000,24679000,24936000,25200000,24942000,24942000
28,Weighted Average Shares Outstanding Diluted,22610522,- -,99070,25877716,27376684,28703037,29322337,29694112,30132560,30794000,31119000,31273000,30206000,29288000,27673000,24908000,24878000,25212000,25535000,25398000,25398000
29,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1318008/000110465906018666/a06-2482_110k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000110465907022503/a07-8982_110k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000104746908003387/a2184042z10-k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000104746909003015/0001047469-09-003015-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312510064532/0001193125-10-064532-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312511067226/d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312512111105/0001193125-12-111105-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312513114003/0001193125-13-114003-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312514103495/d615507d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312515095010/d844539d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312516502868/0001193125-16-502868-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459017004108/0001564590-17-004108-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459018006189/0001564590-18-006189-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459019008267/0001564590-19-008267-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459020011155/0001564590-20-011155-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459021013144/0001564590-21-013144-index.htm,https://www.sec.gov/Archives/edgar/data/1318008/000156459022010072/0001564590-22-010072-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,578000,1026000,4737000,8161000,11945000,33057000,22950000,11357000,14779000,17579000,19634000,20862000,43163000,20247000,24041000,52422000,52428000,73622000,117223000
32,Short-Term Investments,- -,- -,- -,- -,38264000,43816000,64587000,45525000,85101000,117444000,158019000,85593000,97521000,133782000,32391000,58579000,97864000,112912000,198768000,301920000,177260000
33,Cash and Short-Term Investments,- -,- -,578000,1026000,43001000,51977000,76532000,78582000,108051000,128801000,172798000,103172000,117155000,154644000,75554000,78826000,121905000,165334000,251196000,375542000,294483000
34,Net Receivables,- -,- -,1039000,1911000,3746000,5223000,4775000,4555000,6380000,6129000,6284000,9467000,10294000,12653000,12840000,12538000,17027000,17776000,16841000,16558000,14427000
35,Inventory,- -,- -,20802000,23230000,30559000,42157000,48721000,51974000,50916000,56303000,65037000,77598000,87182000,93850000,98299000,106924000,125826000,129268000,135095000,134354000,128728000
36,Other Current Assets,- -,- -,1063000,2025000,1649000,5144000,5529000,8202000,9315000,9628000,9384000,13077000,15215000,18616000,12204000,13075000,14405000,14797000,9456000,8823000,10011000
37,Total Current Assets,- -,- -,23482000,28192000,78955000,104501000,135557000,143313000,174662000,200861000,253503000,203314000,229846000,279763000,198897000,211363000,279163000,327175000,412588000,535277000,447649000
38,PP&E,- -,- -,18076000,26619000,35456000,49889000,65937000,73932000,66008000,78248000,89478000,115474000,127343000,135642000,137233000,129651000,128852000,120503000,414835000,365504000,321638000
39,Goodwill,- -,- -,- -,- -,- -,12904000,13154000,13236000,- -,- -,- -,64576000,64195000,55852000,54245000,56001000,62912000,58813000,57099000,61470000,57560000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20480000,17970000,13062000,11766000,14610000,16696000,15260000,14564000,16029000,14698000
41,Intangible Assets,- -,- -,- -,- -,- -,12904000,13154000,13236000,13186000,13154000,13154000,85056000,82165000,68914000,66011000,70611000,79608000,74073000,71663000,77499000,72258000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,872000,2766000,2380000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1447000,1101000,5537000,5703000,3109000,- -,- -,- -,4634000,7041000,4174000,5259000,6303000,9927000,8659000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,1767000,- -,899000,533000,5254000,4049000,9386000,7920000,8017000,7713000,7180000,8869000,10157000,11808000
45,Total Non-Current Assets,- -,- -,18076000,26619000,35456000,62793000,80538000,90036000,85603000,100770000,108654000,205784000,213557000,213942000,215798000,215320000,220347000,207015000,501670000,463087000,414363000
46,Other Assets,36003000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,36003000,- -,41558000,54811000,114411000,167294000,216095000,233349000,260265000,301631000,362157000,409098000,443403000,493705000,414695000,426683000,499510000,534190000,914258000,998364000,862012000
48,Accounts Payable,- -,- -,9273000,11240000,18623000,24164000,19672000,15909000,16817000,16371000,21743000,16052000,18343000,32094000,21919000,25529000,37861000,35293000,47787000,69751000,55638000
49,Short-Term Debt,- -,- -,5308000,429000,- -,- -,7384000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61800000,66993000,63577000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,4006000,4108000,5835000,10809000,8288000,9342000,9202000,6827000,12917000,12190000,11323000,13172000,7588000
51,Deferred Revenue,- -,- -,319000,1045000,900000,1377000,- -,- -,- -,- -,- -,4268000,6087000,8612000,9054000,10479000,8975000,6446000,5075000,5732000,6640000
52,Other Current Liabilities,- -,- -,5607000,10722000,12075000,24031000,16340000,15312000,22970000,29090000,33833000,36879000,36944000,40741000,38169000,37589000,52411000,51369000,45048000,52976000,58584000
53,Total Current Liabilities,- -,- -,20507000,23436000,31598000,49572000,43396000,31221000,39787000,45461000,55576000,57199000,61374000,81447000,69142000,73597000,99247000,93108000,159710000,195452000,184439000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6006000,4068000,4443000,- -,- -,- -,- -,284717000,246123000,204309000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1336000,1511000,1534000,841000,- -,- -,- -,- -,- -,5544000,4649000,5738000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,1277000,4065000,7595000,12069000,18097000,24177000,27802000,29435000,34304000,36928000,37658000,42553000,48596000,46035000,44348000,40626000,3745000,4193000,4946000
58,Total Non-Current Liabilities,- -,- -,2613000,5576000,9129000,12910000,18097000,24177000,27802000,29435000,34304000,48478000,46375000,52734000,48596000,46035000,44348000,40626000,288462000,250316000,209255000
59,Other Liabilities,22036000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346517000,313116000,267886000
61,Total Liabilities,22036000,- -,23120000,29012000,40727000,62482000,61493000,55398000,67589000,74896000,89880000,105677000,107749000,134181000,117738000,119632000,143595000,133734000,448172000,445768000,393694000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,44000,44000,34770000,- -,- -,- -,- -,- -,- -,108360000,114983000,129094000,135013000,140984000,146523000,153066000,161458000,171628000,180824000
64,Retained Earnings,- -,- -,18541000,25808000,38659000,59515000,84841000,102045000,111176000,135379000,172730000,189051000,215961000,241708000,177191000,182555000,209357000,256614000,317219000,380029000,300957000
65,Other Comprehensive Income/Loss,- -,- -,-147000,-53000,255000,-14000,464000,117000,101000,-17000,135000,6010000,4710000,-11278000,-15247000,-16488000,35000,-9224000,-12591000,939000,-13463000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,13967000,- -,18438000,25799000,73684000,104812000,154602000,177951000,192676000,226735000,272277000,303421000,335654000,359524000,296957000,307051000,355915000,400456000,466086000,552596000,468318000
68,Total Liabilities And Stockholders Equity,36003000,- -,41558000,54811000,114411000,167294000,216095000,233349000,260265000,301631000,362157000,409098000,443403000,493705000,414695000,426683000,499510000,534190000,914258000,998364000,862012000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,36003000,- -,41558000,54811000,114411000,167294000,216095000,233349000,260265000,301631000,362157000,409098000,443403000,493705000,414695000,426683000,499510000,534190000,914258000,998364000,862012000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1318008/000110465906018666/a06-2482_110k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000110465907022503/a07-8982_110k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000104746908003387/a2184042z10-k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000104746909003015/0001047469-09-003015-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312510064532/0001193125-10-064532-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312511067226/d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312512111105/0001193125-12-111105-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312513114003/0001193125-13-114003-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312514103495/d615507d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312515095010/d844539d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312516502868/0001193125-16-502868-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459017004108/0001564590-17-004108-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459018006189/0001564590-18-006189-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459019008267/0001564590-19-008267-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459020011155/0001564590-20-011155-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459021013144/0001564590-21-013144-index.htm,https://www.sec.gov/Archives/edgar/data/1318008/000156459022010072/0001564590-22-010072-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,4475000,7267000,12851000,20856000,25326000,17204000,9131000,24203000,37351000,42164000,45948000,43192000,28785000,25904000,26802000,45205000,66881000,76227000,119289000
74,Depreciation and Amortization,- -,- -,4185000,5857000,7535000,10499000,14762000,19470000,22092000,17923000,19744000,22957000,26596000,29167000,30410000,27916000,27288000,27316000,25449000,24059000,22930000
75,Deferred Income Tax,- -,- -,804000,-16000,-56000,-1306000,-1826000,-1221000,-4886000,537000,3441000,-1630000,-978000,-610000,-2698000,-2555000,3282000,-1809000,899000,-3890000,2374000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,4149000,4866000,5303000,5996000,4094000,7520000,4996000,4578000,5032000,5871000,6382000,6448000,6816000
77,Change in Working Capital,- -,- -,-2522000,1781000,42601000,7572000,37232000,19931000,22783000,20525000,42527000,-51812000,22357000,29844000,-68561000,8011000,42150000,54151000,18811000,86947000,-85882000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-1957000,-1456000,-6307000,-198000,-6564000,-3253000,1058000,-5387000,-8833000,-2987000,-9968000,-10850000,-5953000,-7984000,-14848000,-6222000,-6825000,3946000,2587000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,908000,-446000,4295000,-5626000,1714000,14744000,-9103000,3261000,11584000,-2374000,12756000,20797000,-14060000
81,Other Working Capital,- -,- -,2975000,4756000,47357000,54929000,92161000,112092000,134875000,155400000,197927000,146115000,168472000,198316000,129755000,137766000,179916000,234067000,252878000,339825000,- -
82,Other Non-Cash Items,- -,- -,33000,1498000,-41845000,-7690000,-41208000,-17047000,-8153000,-19362000,-40301000,48550000,-31123000,-19176000,55675000,-15399000,-39040000,-65415000,-12780000,-51379000,69423000
83,Cash Provided by Operating Activities,- -,- -,6975000,16387000,21086000,29931000,34286000,38337000,45116000,48692000,68065000,66225000,66894000,89937000,48607000,48455000,65514000,65319000,105642000,138412000,134950000
84,CAPEX,- -,- -,-5937000,-11060000,-13386000,-17896000,-30722000,-28349000,-16548000,-29361000,-25508000,-41070000,-35969000,-35758000,-34834000,-20400000,-24062000,-21028000,-18818000,-9057000,-15749000
85,Acquisitions Net,- -,- -,- -,- -,- -,-16542000,- -,- -,- -,- -,- -,-70711000,- -,- -,- -,-5395000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-72651000,-157433000,-143957000,-82607000,-90841000,-179611000,-194531000,-121003000,-124129000,-125971000,-59286000,-86826000,-129036000,-148646000,-236838000,-222785000,-160328000
87,Sales/Maturities of Investments,- -,- -,- -,- -,34365000,151785000,123459000,99013000,50706000,164961000,151965000,191705000,110479000,87856000,158850000,61106000,89128000,133276000,152725000,121301000,277720000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,-5937000,-11060000,-51672000,-40086000,-51220000,-11943000,-56683000,-44011000,-68074000,-41079000,-49619000,-73873000,64730000,-51515000,-63970000,-36398000,-102931000,-110541000,101643000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-258000,-4488000,-9009000,-43255000,-22429000,-20700000,-35181000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,34726000,1406000,2890000,929000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25213000,-17556000,-19557000,-92235000,-21607000,- -,- -,- -,-13417000,-193789000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-942000,-4879000,-429000,12173000,17828000,-6211000,1460000,5108000,3415000,2952000,6811000,14633000,44732000,23962000,21973000,35301000,2010000,3723000,2380000
95,Cash Used/Provided by Financing Activities,- -,- -,-942000,-4879000,34297000,13579000,20718000,-5282000,1460000,5108000,3415000,-22519000,-15233000,-13933000,-90758000,-20074000,1273000,120000,2010000,-9694000,-191409000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000,173000,13000,-903000,-278000,218000,977000,-660000,-429000,3522000,-1822000
97,Net Change In Cash,- -,- -,96000,448000,3711000,3424000,3784000,21112000,-10107000,9789000,3422000,2800000,2055000,1228000,22301000,-22916000,3794000,28381000,4292000,21699000,43362000
98,Cash at the End of Period,- -,- -,578000,1026000,4737000,8161000,11945000,33057000,22950000,11357000,14779000,17579000,19634000,20862000,43163000,20247000,24041000,52422000,58563000,80690000,124052000
99,Cash at the Beginning of Period,- -,- -,482000,578000,1026000,4737000,8161000,11945000,33057000,1568000,11357000,14779000,17579000,19634000,20862000,43163000,20247000,24041000,54271000,58991000,80690000
100,Free Cash Flow,- -,- -,1038000,5327000,7700000,12035000,3564000,9988000,28568000,19331000,42557000,25155000,30925000,54179000,13773000,28055000,41452000,44291000,86824000,129355000,119201000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1318008/000110465906018666/a06-2482_110k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000110465907022503/a07-8982_110k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000104746908003387/a2184042z10-k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000104746909003015/0001047469-09-003015-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312510064532/0001193125-10-064532-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312511067226/d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312512111105/0001193125-12-111105-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312513114003/0001193125-13-114003-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000119312514103495/d615507d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312515095010/d844539d10k.htm,https://www.sec.gov/Archives/edgar/data/1318008/000119312516502868/0001193125-16-502868-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459017004108/0001564590-17-004108-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459018006189/0001564590-18-006189-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459019008267/0001564590-19-008267-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459020011155/0001564590-20-011155-index.html,https://www.sec.gov/Archives/edgar/data/1318008/000156459021013144/0001564590-21-013144-index.htm,https://www.sec.gov/Archives/edgar/data/1318008/000156459022010072/0001564590-22-010072-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
