,https://roic.ai/company/DXCM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000,95000,107000,100000,- -,- -,- -,400000,3300000,2400000,26400000,16100000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,8045000,1548000,11000,200000,900000,800000,400000,700000,12800000,22700000,60300000,84700000,-100000000
14,Depreciation and Amortization,- -,- -,- -,353550,935494,1065007,2697912,3332000,3582000,2373000,2437000,3759000,6600000,7000000,8400000,10800000,15000000,16100000,29100000,48700000,67100000,102000000
15,EBITDA,-4014000,-6724000,-6310907,-9831041,-13131623,-31364467,-43901379,-42546000,-51602000,-43106000,-51185000,-40976000,-49000000,-21900000,-13100000,-46300000,-49200000,-19700000,-74700000,213200000,376800000,175000000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.2330,-9.1952,-5.2452,-1.4517,-1.0525,-0.5373,-0.4905,-0.1369,-0.0505,-0.1152,-0.0858,-0.0274,-0.0724,0.1444,0.1956,0.0715
17,Operating Income,- -,- -,- -,-10184591,-14067117,-32429474,-49320038,-46676000,-52827000,-45833000,-45290000,-44843000,-55700000,-28900000,-21500000,-57100000,-63900000,-42500000,-186300000,142300000,299500000,265800000
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-22.7303,-10.0877,-5.3697,-1.5436,-0.9313,-0.5880,-0.5576,-0.1806,-0.0829,-0.1420,-0.1115,-0.0592,-0.1806,0.0964,0.1554,0.1086
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,34000,- -,-8427000,1000,-100000,-900000,-800000,-400000,-1000000,-6100000,59800000,-38100000,-74500000,-92800000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55800000,-29800000,-22300000,-57500000,-64900000,-48600000,-126500000,104200000,225000000,173000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.5586,-0.1862,-0.0860,-0.1430,-0.1132,-0.0676,-0.1226,0.0706,0.1168,0.0707
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,- -,100000,100000,700000,1600000,600000,3100000,-268600000,19000000
23,Net Income,-3965000,-6273000,-7708029,-9914591,-13946464,-30767430,-46599291,-45878000,-55184000,-53524000,-55170000,-44746000,-54500000,-29800000,-22400000,-57600000,-65600000,-50200000,-127100000,101100000,493600000,154000000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.4764,-9.9153,-5.6093,-1.8026,-1.1345,-0.5867,-0.5455,-0.1862,-0.0864,-0.1433,-0.1144,-0.0699,-0.1232,0.0685,0.2562,0.0629
25,EPS,-2.35,-3.90,-4.96,-6.06,-7.51,-1.63,-1.71,-1.62,-1.87,-1.21,-0.97,-0.68,-0.79,-0.42,-0.30,-0.72,-0.78,-0.58,-1.44,1.11,5.23,1.59
26,EPS Diluted,-2.35,-3.90,-4.96,-6.06,-7.51,-1.63,-1.71,-1.62,-1.87,-1.21,-0.97,-0.68,-0.79,-0.42,-0.30,-0.72,-0.78,-0.58,-1.44,1.10,5.06,1.53
27,Weighted Average Shares Outstanding,1727024,1896494,2046208,2169922,2286320,18944208,27235704,28313000,29487000,44347000,56881000,65564000,68700000,71100000,75200000,79800000,83600000,86300000,88200000,91100000,94400000,96900000
28,Weighted Average Shares Outstanding Diluted,1727024,1896494,2046208,2169922,2286320,18944208,27235704,28313000,29487000,44347000,56881000,65564000,68700000,71100000,75200000,79800000,83600000,86300000,88200000,92300000,97500000,100500000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1093557/000110465906012220/0001104659-06-012220-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000110465907014481/0001104659-07-014481-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312508053011/0001193125-08-053011-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312509046182/0001193125-09-046182-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312510051468/0001193125-10-051468-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312511055131/0001193125-11-055131-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312512075640/0001193125-12-075640-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312513069590/0001193125-13-069590-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355714000028/0001093557-14-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355715000040/0001093557-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355716000432/0001093557-16-000432-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355717000048/0001093557-17-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355718000018/0001093557-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355719000041/0001093557-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355720000029/0001093557-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355721000024/0001093557-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355722000014/0001093557-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,20016186,27229208,37247064,18167066,23115000,12700000,3577000,4889000,2553000,8100000,43200000,71800000,86100000,94500000,441500000,1137000000,446200000,817600000,1052000000
32,Short-Term Investments,- -,- -,- -,- -,- -,13277688,36341449,41208000,14368000,24439000,42224000,79358000,40600000,11400000,11800000,29100000,29200000,107100000,248600000,1087100000,1890100000,1678000000
33,Cash and Short-Term Investments,- -,- -,- -,20016186,27229208,50524752,54508515,64323000,27068000,28016000,47113000,81911000,48700000,54600000,83600000,115200000,123700000,548600000,1385600000,1533300000,2707700000,2730000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,120477,215000,1118000,3490000,6671000,12547000,19500000,26100000,42400000,74100000,101700000,134300000,226700000,286300000,428500000,514000000
35,Inventory,- -,- -,- -,- -,- -,- -,1413024,1139000,2446000,2641000,8112000,8171000,7400000,9000000,16000000,35200000,45400000,45200000,70700000,119800000,234700000,357000000
36,Other Current Assets,- -,- -,- -,119653,43781,488015,1313907,1614000,1426000,2773000,4129000,1781000,2000000,3400000,3900000,6800000,9200000,16600000,16500000,30000000,53900000,83000000
37,Total Current Assets,- -,- -,- -,20135839,27272989,51012767,57355923,67291000,32058000,36920000,66025000,104410000,77600000,93100000,145900000,231300000,280000000,744700000,1699500000,1969400000,3424800000,3684000000
38,PP&E,- -,- -,- -,611079,1851892,5463491,6117685,6649000,6105000,6422000,10763000,15019000,18900000,20700000,31200000,54700000,109400000,145600000,183100000,392800000,608600000,889000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,3200000,3200000,3700000,11300000,12100000,18700000,18600000,19300000,26000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4200000,3600000,2700000,2200000,200000,- -,- -,- -,- -,42000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,6800000,5900000,5900000,11500000,12100000,18700000,18600000,19300000,68000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216400000,220000000
44,Other Non-Current Assets,- -,- -,- -,20063,233000,250000,1079000,3319000,6203000,3606000,376000,1046000,2100000,1900000,1600000,100000,1900000,1700000,14700000,14200000,21400000,2000000
45,Total Non-Current Assets,- -,- -,- -,631142,2084892,5713491,7196685,9968000,12308000,10028000,11139000,16065000,28400000,29400000,38700000,60700000,122800000,159400000,216500000,425600000,865700000,1179000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,20766981,29357881,56726258,64552608,77259000,44366000,46948000,77164000,120475000,106000000,122500000,184600000,292000000,402800000,904100000,1916000000,2395000000,4290500000,4863000000
48,Accounts Payable,- -,- -,- -,692045,1018879,6008194,834897,1532000,1123000,2600000,1758000,2807000,3900000,4200000,9900000,19000000,24500000,46700000,75500000,102300000,163300000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,907800,1375000,1931000,900000,525000,- -,200000,2200000,2300000,2300000,- -,- -,- -,13600000,16500000,40000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1200000,1600000,2100000,4500000,7100000,11700000,14000000,15300000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,6351000,7745000,3524000,1591000,1400000,700000,700000,800000,900000,3200000,2900000,1700000,2200000,2000000
52,Other Current Liabilities,- -,- -,- -,291854,549351,1065902,3485981,5540000,5591000,7551000,9322000,10343000,14000000,25000000,27700000,44800000,77000000,89000000,144000000,242600000,432100000,678000000
53,Total Current Liabilities,- -,- -,- -,983899,1568230,7074096,5228678,8447000,14996000,18796000,15129000,14741000,19500000,32100000,40600000,66900000,102400000,138900000,222400000,360200000,614100000,720000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,2118200,61031000,61425000,45757000,- -,- -,6800000,4600000,2300000,- -,- -,327600000,1010300000,1059700000,1823000000,1898000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,281000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,125241,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,52383934,76974340,240099,377463,666000,6558000,840000,1042000,963000,2100000,1700000,1500000,3900000,16600000,18200000,20000000,92500000,26900000,-6000000
58,Total Non-Current Liabilities,- -,- -,- -,52383934,77099581,240099,2495663,61697000,67983000,46597000,1042000,1244000,9500000,6300000,3800000,3900000,16600000,345800000,1030300000,1152200000,1849900000,1892000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,7300000,100400000,172300000,- -
61,Total Liabilities,- -,- -,- -,53367833,78667811,7314195,7724341,70144000,82979000,65393000,16171000,15985000,29000000,38400000,44400000,70800000,119000000,484700000,1252700000,1512400000,2464000000,2612000000
62,Preferred Stock,- -,- -,- -,3000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2244,2323,25417,28164,29000,30000,46000,62000,68000,100000,100000,100000,100000,100000,100000,100000,100000,100000,- -
64,Retained Earnings,- -,- -,- -,-35703953,-52884929,-83774591,-130373882,-176252000,-231436000,-291208000,-346378000,-391124000,-445600000,-475400000,-497800000,-555400000,-621000000,-671800000,-798900000,-695700000,-202100000,-47000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-931988,-2648336,-1096142,11923,13000,50000,-13000,-66000,-80000,-100000,-100000,-100000,-300000,-1000000,-2600000,1500000,2300000,3200000,- -
66,Other Total Stockholders Equity,- -,- -,- -,4029845,6218012,134257379,187162062,183325000,192743000,272730000,407375000,495626000,522600000,559500000,638000000,776800000,905700000,1093700000,1460600000,1575900000,2025300000,2298000000
67,Total Stockholders Equity,- -,- -,- -,-32600852,-49309930,49412063,56828267,7115000,-38613000,-18445000,60993000,104490000,77000000,84100000,140200000,221200000,283800000,419400000,663300000,882600000,1826500000,2251000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,20766981,29357881,56726258,64552608,77259000,44366000,46948000,77164000,120475000,106000000,122500000,184600000,292000000,402800000,904100000,1916000000,2395000000,4290500000,4863000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,20766981,29357881,56726258,64552608,77259000,44366000,46948000,77164000,120475000,106000000,122500000,184600000,292000000,402800000,904100000,1916000000,2395000000,4290500000,4863000000
71,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1093557/000110465906012220/0001104659-06-012220-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000110465907014481/0001104659-07-014481-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312508053011/0001193125-08-053011-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312509046182/0001193125-09-046182-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312510051468/0001193125-10-051468-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312511055131/0001193125-11-055131-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312512075640/0001193125-12-075640-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312513069590/0001193125-13-069590-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355714000028/0001093557-14-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355715000040/0001093557-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355716000432/0001093557-16-000432-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355717000048/0001093557-17-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355718000018/0001093557-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355719000041/0001093557-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355720000029/0001093557-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355721000024/0001093557-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355722000014/0001093557-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-9914591,-13946464,-30767430,-46599291,-45878000,-55184000,-53524000,-55170000,-44746000,-54500000,-29800000,-22400000,-57600000,-65600000,-50200000,-127100000,101100000,493600000,154000000
74,Depreciation and Amortization,- -,- -,- -,353550,935494,1065007,2697912,3332000,3582000,2373000,2437000,3759000,6600000,7000000,8400000,10800000,15000000,16100000,29100000,48700000,67100000,102000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,- -,- -,- -,- -,- -,- -,- -,-277300000,-4000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,24600000,50000000,82700000,110800000,106200000,101900000,102700000,119400000,113000000
77,Change in Working Capital,- -,- -,- -,99306,6552819,18233912,8188574,6716755,-41782000,1062000,32772000,38773000,-31569000,2900000,44300000,59100000,13200000,428200000,871300000,132100000,1201500000,153300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2372000,-3181000,-5876000,-7000000,-6500000,-16300000,-31700000,-27200000,-31800000,-93200000,-60000000,-142300000,-75000000
79,Inventory,- -,- -,- -,- -,- -,- -,-1413024,274000,-1307000,-195000,-5471000,-59000,700000,-1600000,-7000000,-19200000,-9800000,400000,-25500000,-49100000,-114500000,-112000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,2400000,8300000,17800000,21100000,21100000,56200000,109000000,194500000,58000000
81,Other Working Capital,- -,- -,- -,19151940,25704759,43938671,52127245,58844000,17062000,18124000,50896000,89669000,58100000,61000000,105300000,164400000,177600000,605800000,1477100000,1609200000,2810700000,2964000000
82,Other Non-Cash Items,- -,- -,- -,- -,-5970470,-11085274,-8022035,2622245,55933000,10700000,-22715000,-27912000,29269000,-2300000,-56700000,-46000000,-17200000,-408300000,-752000000,-70100000,-1128700000,-76300000
83,Cash Provided by Operating Activities,- -,- -,- -,-9461735,-12428621,-22553785,-43734840,-33207000,-37451000,-39389000,-42676000,-30126000,-33100000,2400000,23600000,49000000,56200000,92000000,123200000,314500000,475600000,442000000
84,CAPEX,- -,- -,- -,-408609,-1757523,-4676606,-3352106,-3443000,-2492000,-2992000,-6860000,-8006000,-9500000,-7900000,-16200000,-33300000,-55700000,-66000000,-67100000,-180000000,-199000000,-389000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,300000,- -,-11300000,- -,- -,-30000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-31573035,-61733416,-76944000,-36986000,-65270000,-73447000,-102655000,-66400000,-16300000,-13800000,-45200000,-39200000,-171800000,-453500000,-2031600000,-3058200000,-2473000000
87,Sales/Maturities of Investments,- -,- -,- -,7765280,- -,18080000,38525621,71943000,63802000,53856000,54691000,64286000,104300000,45100000,13200000,27500000,38700000,93400000,392100000,1196400000,2250500000,2666000000
88,Other Investing Activites,- -,- -,- -,9065,20063,- -,- -,- -,- -,302000,6000,4000,- -,- -,- -,- -,- -,- -,- -,- -,-11300000,10000000
89,Cash Used for Investing Activites,- -,- -,- -,7365736,-1737460,-18169641,-26559901,-8444000,24324000,-14104000,-25610000,-46371000,28400000,20900000,-16800000,-51500000,-55900000,-144400000,-139800000,-1015200000,-1018000000,-216000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1931000,-900000,-525000,- -,-200000,-2200000,-2300000,-2300000,-75000000,- -,- -,-282600000,- -
91,Common Stock Issued,- -,- -,- -,33440,21379103,50741282,48188743,897000,1762000,46310000,70546000,74709000,3600000,12000000,24000000,19100000,10400000,10100000,10800000,11900000,15300000,20000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2728000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,3026000,48430000,950000,- -,- -,- -,6600000,- -,- -,- -,- -,464000000,799600000,-1200000,1179400000,-10000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,33440,21379103,50741282,51214743,46599000,2712000,44379000,69646000,74184000,10200000,11800000,21800000,16800000,8100000,399100000,710400000,10700000,912100000,10000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000,-48000,-23000,- -,- -,- -,- -,- -,300000,1800000,-700000,2100000,-1000000
97,Net Change In Cash,- -,- -,- -,-2062559,7213022,10017856,-19079998,4948000,-10415000,-9123000,1312000,-2336000,5500000,35100000,28600000,14300000,8400000,347000000,695600000,-690700000,371800000,235000000
98,Cash at the End of Period,- -,- -,- -,20016186,27229208,37247064,18167066,23115000,12700000,3577000,4889000,2553000,8100000,43200000,71800000,86100000,94500000,441500000,1137100000,446400000,818200000,1053000000
99,Cash at the Beginning of Period,- -,- -,- -,22078745,20016186,27229208,37247064,18167000,23115000,12700000,3577000,4889000,2600000,8100000,43200000,71800000,86100000,94500000,441500000,1137100000,446400000,818000000
100,Free Cash Flow,- -,- -,- -,-9870344,-14186144,-27230391,-47086946,-36650000,-39943000,-42381000,-49536000,-38132000,-42600000,-5500000,7400000,15700000,500000,26000000,56100000,134500000,276600000,53000000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1093557/000110465906012220/0001104659-06-012220-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000110465907014481/0001104659-07-014481-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312508053011/0001193125-08-053011-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312509046182/0001193125-09-046182-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312510051468/0001193125-10-051468-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312511055131/0001193125-11-055131-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312512075640/0001193125-12-075640-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000119312513069590/0001193125-13-069590-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355714000028/0001093557-14-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355715000040/0001093557-15-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355716000432/0001093557-16-000432-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355717000048/0001093557-17-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355718000018/0001093557-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355719000041/0001093557-19-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355720000029/0001093557-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355721000024/0001093557-21-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1093557/000109355722000014/0001093557-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
