,https://roic.ai/company/CTG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,16100000,18100000,19200000,25700000,41800000,25900000,31400000,35100000,28500000,85700000,83600000,92700000,95200000,112300000,133400000,112532000,91338000,68518000,64199000,60999000,62877000,67298000,65872000,65598000,51970000,57305000,64981000,66867000,63982000,62186000,56523000,55200000,52139000,66407000,68123000,67828000,73708000
11,COGS and Expenses,108600000,134600000,161700000,208500000,242900000,232600000,282000000,292000000,290700000,303800000,326600000,346600000,378600000,428000000,441200000,347164000,311716000,259254000,249079000,234024000,289540000,320399000,318761000,340131000,265671000,317477000,376965000,399953000,394309000,376116000,358841000,320911000,297266000,356689000,387258000,356961000,379543000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,968000,90000,102000,231000,1424000,58000,111000,79000,188000,88000,223000,311000,506000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,712000,303000,263000,418000,441000,446000,325000,233000,377000,365000,841000,934000,786000,- -
14,Depreciation and Amortization,1400000,1800000,2700000,3800000,3400000,4600000,5700000,7000000,7900000,5900000,6100000,7700000,5400000,5000000,8500000,9696000,8613000,3903000,3392000,2625000,2662000,2596000,2425000,1986000,1682000,1711000,2271000,2919000,2796000,2974000,1962000,1647000,1578000,2537000,3268000,3309000,3172000
15,EBITDA,8800000,11100000,11200000,14600000,-8200000,17100000,7300000,17100000,-22800000,14000000,18200000,26200000,35700000,45700000,38400000,1017000,5330000,-30883000,6254000,635000,6216000,8745000,9234000,16036000,11661000,15743000,21812000,28805000,27581000,20237000,12924000,-31512000,6000000,5647000,10491000,14756000,14909000
16,EBITDA ratio,0.0761,0.0774,0.0658,0.0668,-0.0352,0.0701,0.0256,0.0565,-0.0772,0.0464,0.0536,0.0718,0.0876,0.0977,0.0814,0.0029,0.0171,-0.1173,0.0248,0.0027,0.0211,0.0267,0.0284,0.0454,0.0423,0.0475,0.0550,0.0679,0.0658,0.0515,0.0350,-0.0970,0.0199,0.0157,0.0266,0.0403,0.0380
17,Operating Income,7100000,8800000,8400000,10200000,-9900000,11300000,3100000,10700000,4800000,-2200000,12800000,18500000,29000000,39800000,30800000,-1488000,414000,4022000,3262000,3098000,4925000,6854000,6524000,13082000,9889000,13930000,19310000,24462000,24727000,17152000,10637000,-33347000,3944000,2080000,6912000,9130000,12742000
18,Operating Income ratio,0.0614,0.0614,0.0494,0.0466,-0.0425,0.0463,0.0109,0.0353,0.0162,-0.0073,0.0377,0.0507,0.0711,0.0851,0.0653,-0.0043,0.0013,0.0153,0.0129,0.0131,0.0167,0.0209,0.0201,0.0370,0.0359,0.0420,0.0487,0.0576,0.0590,0.0436,0.0288,-0.1026,0.0131,0.0058,0.0175,0.0249,0.0325
19,Total Other Income Expenses (Gains),300000,500000,100000,600000,-1700000,1200000,-1500000,-600000,-35500000,10300000,-700000,- -,1300000,900000,-900000,-7191000,-3697000,-1770000,-400000,-677000,-1371000,-705000,285000,256000,-213000,-161000,-187000,983000,-388000,-214000,92000,-189000,113000,189000,-623000,1531000,-1005000
20,Income Before Tax,7400000,9300000,8500000,10800000,-11600000,12500000,1600000,10100000,-30700000,8100000,12100000,18500000,30300000,40700000,29900000,-8679000,-3283000,2252000,2862000,2421000,3554000,6149000,6809000,13338000,9676000,13769000,19123000,25445000,24339000,16938000,10729000,-33536000,4057000,2269000,6289000,10661000,11737000
21,Income Before Tax Ratio,0.0640,0.0649,0.0500,0.0494,-0.0498,0.0513,0.0056,0.0334,-0.1039,0.0269,0.0357,0.0507,0.0743,0.0870,0.0633,-0.0251,-0.0105,0.0086,0.0113,0.0102,0.0121,0.0188,0.0209,0.0378,0.0351,0.0415,0.0483,0.0600,0.0581,0.0431,0.0290,-0.1032,0.0135,0.0063,0.0160,0.0291,0.0299
22,Income Tax expense (Gain),3400000,4200000,3400000,4400000,-3800000,5300000,700000,4500000,-3000000,3300000,1300000,7400000,12400000,16700000,13200000,-3018000,-1081000,890000,118000,-546000,1131000,2654000,2563000,5501000,3743000,5397000,7185000,9280000,8660000,6588000,4219000,1102000,3251000,5086000,2164000,3022000,-1993000
23,Net Income,4000000,5100000,5100000,6400000,-7800000,7200000,900000,5600000,-27700000,4800000,10800000,11100000,17900000,24000000,16700000,-5661000,-2202000,-35676000,2744000,-1444000,2423000,3495000,4246000,7837000,5933000,8372000,11938000,16165000,15679000,10350000,6510000,-34638000,806000,-2817000,4125000,7639000,13730000
24,Net Income ratio,0.0346,0.0356,0.0300,0.0293,-0.0335,0.0295,0.0032,0.0185,-0.0937,0.0159,0.0318,0.0304,0.0439,0.0513,0.0354,-0.0164,-0.0071,-0.1355,0.0109,-0.0061,0.0082,0.0107,0.0131,0.0222,0.0215,0.0253,0.0301,0.0381,0.0374,0.0263,0.0176,-0.1066,0.0027,-0.0079,0.0105,0.0209,0.0350
25,EPS,0.11,0.17,0.17,0.20,-0.22,0.20,0.03,0.14,-0.66,0.14,0.61,0.63,1.07,1.48,1.02,-0.35,-0.13,-2.15,0.16,-0.09,0.14,0.21,0.26,0.51,0.40,0.57,0.80,1.07,1.02,0.68,0.42,-2.22,0.05,-0.20,0.31,0.56,0.98
26,EPS Diluted,0.11,0.17,0.17,0.20,-0.22,0.20,0.03,0.14,-0.66,0.13,0.61,0.63,1.01,1.42,1.00,-0.35,-0.13,-2.15,0.16,-0.09,0.14,0.21,0.25,0.49,0.38,0.52,0.71,0.96,0.92,0.64,0.41,-2.22,0.05,-0.20,0.29,0.53,0.92
27,Weighted Average Shares Outstanding,13952000,14638000,15442000,15694000,16550000,11462000,16362000,17812000,18746000,19974000,17560976,17760000,16728972,16216216,16372549,16174286,16938462,16593488,17150000,16044444,17307143,16642857,16330769,15328000,14808000,14697000,14968000,15172000,15365000,15120000,15479000,15593000,15055000,13805000,13450000,13621000,14153000
28,Weighted Average Shares Outstanding Diluted,13952000,14638000,15442000,15694000,16550000,11462000,16362000,17812000,18746000,19974000,17560976,17760000,17722772,16901408,16700000,16174286,16938462,16908057,17150000,18050000,17307143,16642857,16984000,15878000,15549000,16073000,16731000,16841000,16954000,16260000,15920000,15593000,15324000,13805000,13997000,14427000,15101000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000095015296001180/0000950152-96-001180-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000095015299002907/0000950152-99-002907-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000119312507048465/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312508051447/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312509037577/0001193125-09-037577-index.html,https://www.sec.gov/Archives/edgar/data/23111/000119312510040960/0001193125-10-040960-index.html,https://www.sec.gov/Archives/edgar/data/23111/000119312511047412/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312512078045/0001193125-12-078045-index.html,https://www.sec.gov/Archives/edgar/data/23111/000144530513000296/0001445305-13-000296-index.html,https://www.sec.gov/Archives/edgar/data/23111/000002311114000003/ctg201310-k.htm,https://www.sec.gov/Archives/edgar/data/23111/000002311115000002/ctg201410-k.htm,https://www.sec.gov/Archives/edgar/data/23111/000002311116000014/0000023111-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459017002360/0001564590-17-002360-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459018005661/0001564590-18-005661-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459019008025/0001564590-19-008025-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459020010768/0001564590-20-010768-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459021012830/0001564590-21-012830-index.htm,https://www.sec.gov/Archives/edgar/data/23111/000156459022010168/0001564590-22-010168-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20500000,14100000,13900000,19600000,19600000,10900000,6600000,7600000,5400000,5100000,16500000,41500000,25000000,57700000,10700000,2562000,3362000,69000,2534000,4488000,2556000,4758000,4290000,10973000,10423000,14837000,22414000,40614000,46227000,40862000,10801000,9407000,11170000,12431000,10781000,32865000,35584000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208000,- -
33,Cash and Short-Term Investments,20500000,14100000,13900000,19600000,19600000,10900000,6600000,7600000,5400000,5100000,16500000,41500000,25000000,57700000,10700000,2562000,3362000,69000,2534000,4488000,2556000,4758000,4290000,10973000,10423000,14837000,22414000,40614000,46227000,40862000,10801000,9407000,11170000,12431000,10781000,33073000,35584000
34,Net Receivables,18300000,22000000,32100000,45500000,40500000,49400000,55600000,56000000,56600000,55400000,58500000,55900000,60200000,73900000,80800000,57968000,51230000,43696000,41554000,46966000,71940000,52544000,52314000,49152000,45423000,57540000,67801000,70459000,67422000,69527000,71403000,71355000,69988000,81662000,89003000,78066000,84252000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500000,2500000,2800000,3300000,7000000,8200000,8900000,12200000,16800000,7700000,3800000,3800000,3700000,5700000,5800000,5535000,4047000,3029000,4279000,3558000,3745000,4702000,4628000,3810000,3382000,3102000,3097000,2595000,2770000,2896000,2574000,2879000,2370000,1925000,2064000,1999000,2929000
37,Total Current Assets,39300000,38600000,48800000,68400000,67100000,68500000,71100000,75800000,78800000,68200000,78800000,101200000,88900000,137300000,97300000,66065000,58639000,46794000,48367000,55012000,78241000,62004000,61232000,63935000,59228000,75479000,93312000,113668000,116419000,113285000,84778000,83641000,83528000,96018000,101848000,113138000,122765000
38,PP&E,6100000,7500000,8100000,14300000,13500000,16900000,20800000,20600000,19600000,17800000,18000000,12400000,12400000,13100000,13500000,13784000,13082000,11129000,7187000,6075000,6616000,5918000,5741000,6767000,8146000,8364000,7969000,6916000,8241000,6793000,5488000,5863000,6996000,5656000,27632000,27631000,27374000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35678000,35678000,35678000,35678000,35678000,35678000,35678000,37638000,37409000,37231000,- -,- -,11664000,16681000,21275000,19676000
40,Intangible Assets,8800000,15100000,14800000,20200000,16900000,39800000,41700000,37900000,6900000,6300000,5500000,4500000,3300000,2800000,84000000,78771000,74735000,- -,35678000,35678000,35678000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5936000,8439000,9097000,7280000
41,Intangible Assets,8800000,15100000,14800000,20200000,16900000,39800000,41700000,37900000,6900000,6300000,5500000,4500000,3300000,2800000,84000000,78771000,74735000,- -,35678000,35678000,35678000,35678000,35678000,35678000,35678000,35678000,35678000,35678000,37638000,37409000,37231000,- -,- -,17600000,25120000,30372000,26956000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,562000,631000,631000,550000,637000,896000,788000,254000,370000,401000,192000,192000,208000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2660000,- -,4511000,4249000,4987000,4990000,5108000,4667000,5566000,6099000,7062000,6435000,6487000,6364000,5573000,6017000,3861000,767000,453000,393000,- -
44,Other Non-Current Assets,1600000,2900000,6400000,8400000,9300000,8800000,5700000,3900000,3300000,3200000,2500000,3200000,3100000,3600000,4400000,3747000,682000,41261000,704000,1846000,1273000,3127000,3702000,4231000,5473000,4022000,2921000,2871000,4750000,6157000,29753000,31024000,32849000,3888000,3461000,4511000,11239000
45,Total Non-Current Assets,16500000,25500000,29300000,42900000,39700000,65500000,68200000,62400000,29800000,27300000,26000000,20100000,18800000,19500000,101900000,96302000,91159000,52390000,48080000,47848000,49554000,49713000,51229000,51905000,55494000,54794000,54180000,52537000,58012000,57511000,78299000,43274000,44107000,28103000,56858000,63115000,65569000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,55800000,64100000,78100000,111300000,106800000,134000000,139300000,138200000,108600000,95500000,104800000,121300000,107700000,156800000,199200000,162367000,149798000,99184000,96447000,102860000,127795000,111717000,112461000,115840000,114722000,130273000,147492000,166205000,174431000,170796000,163077000,126915000,127635000,124121000,158706000,176253000,188334000
48,Accounts Payable,- -,- -,- -,- -,- -,7300000,7500000,5800000,6000000,9300000,9400000,9500000,9200000,14300000,10800000,12563000,8193000,6520000,6837000,9263000,9277000,9561000,10109000,8247000,7741000,6595000,9532000,10170000,9536000,8865000,8236000,6973000,9425000,12387000,18612000,18784000,21150000
49,Short-Term Debt,1600000,700000,5200000,14500000,600000,7000000,4000000,7400000,6400000,6800000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,4650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5904000,6427000,6444000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107000,208000,549000,1695000,641000,632000,- -,35000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1756000,2481000,2467000,1973000,945000,935000,1918000,2875000,1704000,3102000,- -
52,Other Current Liabilities,4600000,4600000,5000000,11800000,15100000,18800000,18800000,14900000,15100000,13200000,17600000,30200000,32600000,48200000,51300000,40958000,30135000,23053000,25082000,23893000,28308000,30789000,27912000,30914000,25714000,35839000,36638000,37550000,36926000,33222000,22623000,22003000,21393000,28901000,30634000,32832000,37389000
53,Total Current Liabilities,6200000,5300000,10200000,26300000,15700000,33100000,30300000,28100000,27500000,29300000,29300000,39700000,41800000,62500000,62100000,53521000,38328000,29573000,31919000,37806000,37585000,40350000,38021000,39161000,33455000,42434000,47926000,50201000,48929000,44060000,31804000,29911000,32736000,44163000,56854000,61145000,64983000
54,Long-Term Debt,1000000,1000000,900000,12100000,1400000,11600000,13800000,10500000,8400000,6100000,3600000,- -,- -,- -,31400000,9700000,15512000,8497000,- -,- -,23150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1225000,4725000,4435000,3640000,5290000,- -,15612000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8312000,8865000,9422000,10231000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,3100000,2700000,2600000,2500000,2300000,1900000,2000000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1632000,2101000,5503000,- -
57,Other Non-Current Liabilities,1600000,2700000,3300000,3400000,3800000,4100000,6000000,5200000,10200000,9400000,10400000,10100000,10600000,10900000,10800000,10353000,9331000,8744000,8397000,8570000,10045000,9736000,9361000,733000,684000,497000,530000,13223000,11660000,15770000,12331000,13460000,11840000,10458000,28225000,30097000,13302000
58,Total Non-Current Liabilities,5700000,6400000,6800000,18000000,7500000,17600000,21800000,17500000,18600000,15500000,14000000,10100000,10600000,10900000,42200000,20053000,24843000,17241000,8397000,8570000,33195000,9736000,9361000,9045000,9549000,9919000,10761000,13223000,11660000,15770000,13556000,18185000,16275000,15730000,35616000,35600000,28914000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21253000,21991000,22056000
61,Total Liabilities,11900000,11700000,17000000,44300000,23200000,50700000,52100000,45600000,46100000,44800000,43300000,49800000,52400000,73400000,104300000,73574000,63171000,46814000,40316000,46376000,70780000,50086000,47382000,48206000,43004000,52353000,58687000,63424000,60589000,59830000,45360000,48096000,49011000,59893000,92470000,96745000,93897000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,270000,- -
64,Retained Earnings,11000000,15700000,20500000,26500000,18300000,25000000,25400000,30500000,1800000,5700000,15700000,25900000,42900000,66200000,82000000,75575000,73373000,37697000,40441000,38997000,41646000,45235000,49481000,57236000,63169000,71541000,83479000,99644000,112277000,118999000,121798000,84223000,85029000,82548000,86673000,94312000,- -
65,Other Comprehensive Income/Loss,-4300000,-5600000,-7500000,-10000000,-13200000,-15600000,-19300000,-22100000,-23600000,-26100000,-33900000,-35900000,-25300000,-28500000,-26500000,-26784000,-28415000,-65646000,-64497000,-62639000,-63262000,-4138000,-2184000,-3930000,-4526000,-6161000,-8230000,-10680000,-8705000,-15593000,-14640000,-16763000,-13676000,-14611000,-18542000,-15367000,-16940000
66,Other Total Stockholders Equity,37200000,42300000,48100000,50500000,78500000,73900000,81100000,84200000,84300000,71100000,79700000,81500000,37700000,45700000,39100000,39732000,41399000,80049000,79917000,79856000,78361000,20264000,17512000,14058000,12805000,12270000,13286000,13547000,10000000,7290000,10289000,11089000,7001000,-3979000,-2165000,293000,- -
67,Total Stockholders Equity,43900000,52400000,61100000,67000000,83600000,83300000,87200000,92600000,62500000,50700000,61500000,71500000,55300000,83400000,94900000,88793000,86627000,52370000,56131000,56484000,57015000,61631000,65079000,67634000,71718000,77920000,88805000,102781000,113842000,110966000,117717000,78819000,78624000,64228000,66236000,79508000,94437000
68,Total Liabilities And Stockholders Equity,55800000,64100000,78100000,111300000,106800000,134000000,139300000,138200000,108600000,95500000,104800000,121300000,107700000,156800000,199200000,162367000,149798000,99184000,96447000,102860000,127795000,111717000,112461000,115840000,114722000,130273000,147492000,166205000,174431000,170796000,163077000,126915000,127635000,124121000,158706000,176253000,188334000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55800000,64100000,78100000,111300000,106800000,134000000,139300000,138200000,108600000,95500000,104800000,121300000,107700000,156800000,199200000,162367000,149798000,99184000,96447000,102860000,127795000,111717000,112461000,115840000,114722000,130273000,147492000,166205000,174431000,170796000,163077000,126915000,127635000,124121000,158706000,176253000,188334000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000095015296001180/0000950152-96-001180-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000095015299002907/0000950152-99-002907-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23111/000119312507048465/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312508051447/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312509037577/0001193125-09-037577-index.html,https://www.sec.gov/Archives/edgar/data/23111/000119312510040960/0001193125-10-040960-index.html,https://www.sec.gov/Archives/edgar/data/23111/000119312511047412/d10k.htm,https://www.sec.gov/Archives/edgar/data/23111/000119312512078045/0001193125-12-078045-index.html,https://www.sec.gov/Archives/edgar/data/23111/000144530513000296/0001445305-13-000296-index.html,https://www.sec.gov/Archives/edgar/data/23111/000002311114000003/ctg201310-k.htm,https://www.sec.gov/Archives/edgar/data/23111/000002311115000002/ctg201410-k.htm,https://www.sec.gov/Archives/edgar/data/23111/000002311116000014/0000023111-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459017002360/0001564590-17-002360-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459018005661/0001564590-18-005661-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459019008025/0001564590-19-008025-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459020010768/0001564590-20-010768-index.html,https://www.sec.gov/Archives/edgar/data/23111/000156459021012830/0001564590-21-012830-index.htm,https://www.sec.gov/Archives/edgar/data/23111/000156459022010168/0001564590-22-010168-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,7200000,900000,5600000,-27700000,4800000,10800000,11100000,17900000,24000000,16700000,-5661000,-2202000,-35676000,2744000,-1444000,2423000,3495000,4246000,7837000,5933000,8372000,11938000,16165000,15679000,10350000,6510000,-34638000,806000,-2817000,4125000,7639000,13730000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,4600000,5700000,7000000,7900000,5900000,6100000,7700000,5400000,5000000,8500000,9696000,8613000,3903000,3392000,2625000,2662000,2596000,2425000,1986000,1682000,1711000,2271000,2919000,2796000,2974000,1962000,1647000,1578000,2537000,3268000,3309000,3172000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,400000,- -,- -,600000,1100000,300000,- -,- -,-2000000,832000,2145000,216000,-75000,-194000,-567000,316000,-261000,296000,-483000,-154000,-883000,116000,-350000,204000,425000,-583000,2437000,3070000,-294000,-370000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,991000,1447000,1349000,1654000,2236000,2647000,3088000,1317000,1626000,1059000,2353000,1748000,2483000,2640000
77,Change in Working Capital,- -,- -,- -,- -,- -,3200000,5400000,6900000,3600000,-12400000,10600000,12000000,-14400000,27700000,-39600000,-22656000,7767000,-3090000,-773000,758000,23450000,-19002000,1557000,1563000,999000,7272000,12341000,18081000,4023000,1735000,-16251000,756000,-2938000,1063000,-6861000,6999000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1872000,3752000,-13210000,-10561000,-2239000,5213000,-2594000,-5951000,-729000,5202000,-8724000,-3627000,16961000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-770000,-1464000,-581000,1250000,-293000,-2607000,-2372000,-1166000,-1143000,1651000,30000,3864000,-577000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,35400000,40800000,47700000,51300000,38900000,49500000,61500000,47100000,74800000,35200000,12544000,20311000,17221000,16448000,17206000,40656000,21654000,23211000,24774000,25773000,33045000,45386000,63467000,67490000,69225000,52974000,53730000,50792000,51855000,44994000,51993000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1900000,-8200000,-8500000,22300000,200000,-6400000,2500000,12100000,-22700000,38200000,35935000,-17333000,39201000,4203000,-3758000,-44154000,41383000,-2772000,3934000,-5633000,-9385000,-18716000,-18361000,-5804000,-11643000,1352000,33247000,6288000,-6509000,6544000,10678000,-12131000
