,https://roic.ai/company/XRAY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818479/000081847905000019/0000818479-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/818479/000081847907000017/0000818479-07-000017-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847908000032/0000818479-08-000032-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847909000034/0000818479-09-000034-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000114420410009164/0001144204-10-009164-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000114420411009910/0001144204-11-009910-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000144530512000446/0001445305-12-000446-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847913000008/0000818479-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847914000004/0000818479-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847915000005/0000818479-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847916000056/0000818479-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847917000007/0000818479-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847918000014/0000818479-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847919000010/0000818479-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847920000006/0000818479-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847921000007/0000818479-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847922000015/0000818479-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,5600000,9800000,8700000,7300000,15433000,33710000,25652000,163755000,506369000,434525000,65064000,169384000,203991000,450348000,540038000,77128000,80132000,74954000,151639000,284600000,383900000,320600000,309600000,404900000,438000000,339000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000,146939000,258000,37000,- -,- -,- -,- -,57698000,- -,- -,54400000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,5600000,9800000,8700000,7300000,15433000,33710000,25652000,163755000,506369000,434525000,65143000,316323000,204249000,450385000,540038000,77128000,80132000,74954000,209337000,284600000,383900000,375000000,309600000,404900000,438000000,339000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93300000,102000000,114400000,134200000,127900000,133643000,191534000,221262000,241385000,238873000,254822000,290791000,307622000,319260000,348684000,344796000,427709000,442412000,472802000,426606000,399900000,636000000,746200000,701900000,782000000,709000000,800000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125700000,125400000,124700000,139200000,135500000,133304000,197454000,214492000,205587000,213709000,208179000,232441000,258032000,306125000,291640000,308738000,361762000,402940000,438559000,387095000,340400000,517100000,623100000,598900000,561700000,466000000,504000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29200000,23700000,28100000,40400000,44000000,43074000,61545000,79595000,116725000,97458000,132517000,129816000,100045000,120228000,127087000,121473000,146304000,185612000,157487000,183932000,171800000,345600000,258200000,277600000,251300000,178000000,194000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252200000,256700000,277000000,322500000,314700000,325454000,484243000,541001000,727452000,1056409000,1030043000,718191000,982022000,949862000,1217796000,1315045000,1012903000,1111096000,1143802000,1206970000,1196700000,1882600000,2002500000,1888000000,1999900000,1791000000,1837000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140100000,141500000,147100000,159000000,180500000,181341000,240890000,313178000,376211000,407527000,316218000,329616000,371409000,432276000,439619000,423105000,591445000,614705000,637172000,588845000,558800000,799800000,876000000,870600000,961700000,967000000,966000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,763270000,- -,- -,- -,- -,995382000,1127420000,1277026000,1312596000,1303055000,2190063000,2210953000,2281596000,2089339000,1987600000,5952000000,4539200000,3431300000,3396500000,3986000000,3976000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188400000,256200000,103500000,346100000,349400000,344753000,248890000,1134506000,1209739000,1254346000,1001827000,67648000,76167000,103718000,89086000,78743000,791100000,830642000,795323000,670840000,600700000,2957600000,2800700000,2420300000,2176300000,2504000000,2319000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188400000,256200000,103500000,346100000,349400000,344753000,1012160000,1134506000,1209739000,1254346000,1001827000,1063030000,1203587000,1380744000,1401682000,1381798000,2981163000,3041595000,3076919000,2760179000,2588300000,8909600000,7339900000,5851600000,5572800000,6490000000,6295000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,13300000,246800000,67700000,15000000,15067000,60858000,98348000,132185000,79863000,59241000,70513000,118551000,67518000,28835000,138003000,169887000,204901000,220154000,94271000,59100000,64100000,156100000,76800000,68500000,94000000,122000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345500000,411000000,497400000,572800000,544900000,541161000,1313908000,1546032000,1718135000,1741736000,1377286000,1463159000,1693547000,1880538000,1870136000,1942906000,3742495000,3861201000,3934245000,3443295000,3206200000,9773500000,8372000000,6799000000,6603000000,7551000000,7383000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597700000,667700000,774400000,895300000,859600000,866615000,1798151000,2087033000,2445587000,2798145000,2407329000,2181350000,2675569000,2830400000,3087932000,3257951000,4755398000,4972297000,5078047000,4650265000,4402900000,11656100000,10374500000,8687000000,8602900000,9342000000,9220000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,33700000,38900000,42700000,40500000,45764000,69904000,66625000,86338000,91576000,82317000,79951000,82321000,104329000,100847000,114479000,149117000,165290000,132789000,132611000,133600000,223000000,284400000,283900000,307900000,305000000,268000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7600000,26700000,24000000,16300000,20200000,794000,7634000,4550000,21973000,72879000,412212000,2995000,1244000,25795000,82174000,7754000,276701000,298963000,309862000,112831000,12100000,21100000,30100000,92400000,46000000,347000000,232000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36178000,12366000,13113000,9054000,39191000,14446000,28948000,25100000,70600000,61500000,68300000,67100000,73000000,63000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5514000,4922000,3482000,2200000,14100000,8900000,29300000,29200000,41000000,51000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84300000,82800000,106400000,135400000,115500000,121580000,280979000,294570000,229373000,240152000,246705000,228487000,228846000,229838000,261535000,237858000,298255000,458013000,348832000,404668000,328100000,512800000,631100000,607700000,612400000,624000000,635000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123700000,143200000,169300000,194400000,176200000,168138000,358517000,365745000,337684000,404607000,741234000,311433000,312411000,359962000,444556000,360091000,724073000,927780000,796405000,653592000,476000000,771000000,954500000,1013300000,995500000,1317000000,1186000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68700000,75100000,105500000,217500000,145300000,109500000,723524000,769823000,790202000,779940000,270104000,367161000,482063000,423679000,387151000,604015000,1490010000,1222035000,1166178000,1152882000,1141000000,1511100000,1611600000,1564900000,1433100000,1978000000,2058000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38900000,30000000,27600000,18800000,20200000,16820000,32526000,27039000,51241000,58196000,42912000,53192000,60547000,69049000,72524000,72489000,249822000,232641000,238394000,165551000,160300000,848600000,718000000,552800000,479600000,393000000,408000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47100000,49500000,44100000,48100000,46500000,47226000,73628000,87239000,143973000,110829000,111311000,175507000,304146000,389988000,276743000,311444000,407342000,340398000,299096000,356042000,286200000,399500000,462500000,423000000,599800000,684000000,525000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154700000,154600000,177200000,284400000,212000000,173546000,829678000,884101000,985416000,948965000,424327000,595860000,846756000,882716000,736418000,987948000,2147174000,1795074000,1703668000,1674475000,1587500000,2759200000,2792100000,2540700000,2512500000,3055000000,2991000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,163200000,178000000,195000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,278400000,297800000,346500000,478800000,388200000,341684000,1188195000,1249846000,1323100000,1353572000,1165561000,907293000,1159167000,1242678000,1180974000,1348039000,2871247000,2722854000,2500073000,2328067000,2063500000,3530200000,3746600000,3554000000,3508000000,4372000000,4177000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,543000,814000,814000,814000,814000,814000,814000,1628000,1628000,1628000,1628000,1628000,1628000,1628000,1628000,1600000,2600000,2600000,2600000,2600000,3000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179200000,237300000,301100000,324700000,402400000,490167000,597414000,730971000,889601000,1126262000,1151856000,1353156000,1582683000,1838958000,2083459000,2320350000,2535709000,2818461000,3095721000,3380748000,3591000000,3948000000,2316200000,1225900000,1404200000,1233000000,1560000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42700000,-56300000,-65000000,-80200000,-86600000,-103917000,-189746000,-275000,104540000,164100000,56454000,79914000,145819000,39612000,83542000,24156000,-190970000,-144200000,-69062000,-441136000,-594000000,-705700000,-291000000,-478700000,-599700000,-464000000,-592000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179400000,184600000,187800000,169300000,152600000,133577000,201037000,104418000,127114000,152797000,32456000,-160049000,-214024000,-292476000,-336524000,-506748000,-498290000,-467191000,-493234000,-619961000,-660600000,4869400000,4588500000,4371300000,4285400000,4195000000,4071000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315900000,365600000,423900000,413800000,468900000,520370000,609519000,835928000,1122069000,1443973000,1241580000,1273835000,1516106000,1587722000,1832105000,1839386000,1848077000,2208698000,2535053000,2321279000,2338000000,8114300000,6616300000,5121100000,5092500000,4967000000,5042000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,594300000,663400000,770400000,892600000,857100000,862054000,1797714000,2085774000,2445169000,2797545000,2407141000,2181128000,2675273000,2830400000,3013079000,3187425000,4719324000,4931552000,5035126000,4649346000,4401500000,11644500000,10362900000,8675100000,8600500000,9339000000,9219000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,4300000,4000000,2700000,2500000,4561000,437000,1259000,418000,600000,188000,222000,296000,- -,74853000,70526000,36074000,40745000,42921000,919000,1400000,11600000,11600000,11900000,2400000,3000000,1000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,597700000,667700000,774400000,895300000,859600000,866615000,1798151000,2087033000,2445587000,2798145000,2407329000,2181350000,2675569000,2830400000,3087932000,3257951000,4755398000,4972297000,5078047000,4650265000,4402900000,11656100000,10374500000,8687000000,8602900000,9342000000,9220000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/818479/000081847905000019/0000818479-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/818479/000081847907000017/0000818479-07-000017-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847908000032/0000818479-08-000032-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847909000034/0000818479-09-000034-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000114420410009164/0001144204-10-009164-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000114420411009910/0001144204-11-009910-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000144530512000446/0001445305-12-000446-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847913000008/0000818479-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847914000004/0000818479-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847915000005/0000818479-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847916000056/0000818479-16-000056-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847917000007/0000818479-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847918000014/0000818479-18-000014-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847919000010/0000818479-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847920000006/0000818479-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847921000007/0000818479-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/818479/000081847922000015/0000818479-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,800000,- -,- -,2400000,2900000,5300000,14100000,62000000,54000000,67200000,74600000,34800000,89900000,101016000,121496000,147952000,174183000,253165000,45413000,223718000,259654000,283869000,274258000,265708000,244520000,314213000,313192000,322854000,251200000,429900000,-1550000000,-1011000000,262900000,-83000000,421000000
74,Depreciation and Amortization,- -,- -,400000,- -,- -,1200000,2400000,3000000,19800000,20000000,21500000,28100000,32400000,37500000,39600000,41359000,54334000,43859000,45661000,49296000,50560000,47434000,50289000,56929000,65175000,66340000,85035000,129199000,127903000,129077000,122900000,271700000,316400000,330800000,322800000,334000000,346000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,1000000,-1300000,-3800000,29400000,-1700000,-3000000,-1800000,-22100000,5900000,4249000,6451000,-6019000,32411000,7058000,-91777000,53700000,25568000,13371000,195000,1386000,-88402000,-78536000,-31562000,15391000,15800000,-122800000,-143800000,-62000000,-37400000,-64000000,-20000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17290000,16276000,18803000,20947000,22187000,25099000,25428000,25600000,41300000,48000000,21000000,66200000,47000000,48000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128500000,-15000000,-5800000,20400000,10400000,18816000,-31590000,49530000,214512000,262034000,-362993000,117949000,262853000,-79711000,183340000,181714000,-666124000,-105514000,164081000,205981000,167322000,390900000,-63600000,-173300000,129700000,-530400000,-158000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12591000,-32532000,7196000,-900000,-75100000,-63400000,23500000,-91400000,126000000,- -
79,Inventory,- -,- -,- -,- -,- -,-300000,- -,700000,-200000,-7000000,-8200000,300000,1700000,-5600000,4400000,-1216000,14763000,-8940000,15197000,4103000,-7460000,-10775000,-716000,-32824000,27710000,-9309000,21503000,-36792000,-25367000,21032000,32100000,65400000,-62900000,-19900000,13700000,124000000,-63000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5430000,-4947000,2165000,10816000,12843000,-36728000,10043000,8800000,7200000,44200000,7100000,26100000,-23000000,-46000000
