,https://roic.ai/company/PRTK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,-2056000,-196000,-186000,-159000,-75000,-10037000,-807000,-2150000,-3736000,-7769000,-12860000,-21037000,-17354000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12016000,-27446000,-17835000,-70860000,-111636000,-88316000,-111854000,-128489000,-96541000,-58484000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.0898,-15.7104,-4.1076,-Infinity,-3849.5172,-7.0003,-6.5347,-7.7665,-2.0574,-0.4493
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,753000,502000,301000,- -,600000
23,Net Income,-1581000,-5636000,-12775000,-17952000,-23805000,-29628000,-32531000,34822000,-21800000,-9303000,-3880000,-12016000,-27446000,-17835000,-70860000,-111636000,-89069000,-112356000,-128790000,-96541000,-59084000
24,Net Income ratio,-Infinity,-15.1914,-9.6053,-16.0286,-425.0893,-79.8598,-1.9499,0.5744,-4.1859,-0.7442,-0.1970,-1.0898,-15.7104,-4.1076,-Infinity,-3849.5172,-7.0600,-6.5640,-7.7847,-2.0574,-0.4539
25,EPS,-133.80,-415.20,-849.00,-993.60,-1021.80,-118.80,-81.00,404.40,-21.48,-8.28,-3.48,-8.40,-17.52,-7.82,-4.29,-5.51,-3.32,-3.57,-3.93,-2.19,-1.20
26,EPS Diluted,-133.80,-415.20,-849.00,-993.60,-1021.80,-118.80,-81.00,403.20,-21.48,-8.28,-3.48,-8.40,-17.52,-7.82,-4.29,-5.51,-3.32,-3.57,-3.93,-2.19,-1.20
27,Weighted Average Shares Outstanding,11799,13583,15047,18066,23299,249849,402631,86049,1013829,1117995,1127828,1420994,1564327,2528595,16501912,20253082,26827253,31513454,32791934,44174765,49213986
28,Weighted Average Shares Outstanding Diluted,11799,13583,15047,18066,23299,249849,402631,86399,1013829,1117995,1127828,1420994,1564327,2528595,16501912,20253082,26827253,31513454,32791934,44174765,49213986
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178711/000119312507071961/0001193125-07-071961-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312508058927/0001193125-08-058927-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312509069221/0001193125-09-069221-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312510071612/0001193125-10-071612-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312511082981/0001193125-11-082981-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312512143822/0001193125-12-143822-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000117871113000012/0001178711-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000117871114000011/0001178711-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312515117033/0001193125-15-117033-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459016014314/0001564590-16-014314-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017003144/0001564590-17-003144-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018004551/0001564590-18-004551-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019006315/0001564590-19-006315-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020009802/0001564590-20-009802-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459021016154/0001564590-21-016154-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459022009957/0001564590-22-009957-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,8194000,36039000,14429000,24720000,14942000,17031000,13720000,10659000,39368000,9935000,95856000,131302000,52962000,35416000,46987000,102302000,105157000,80367000
32,Short-Term Investments,- -,- -,- -,38447000,14483000,50150000,69887000,70159000,71871000,54251000,51703000,45907000,60110000,- -,- -,75076000,116307000,203364000,113077000,20005000,15107000
33,Cash and Short-Term Investments,- -,- -,- -,46641000,50522000,64579000,94607000,85101000,88902000,67971000,62362000,85275000,70045000,95856000,131302000,128038000,151723000,250351000,215379000,125162000,95474000
34,Net Receivables,- -,- -,- -,480000,243000,173000,11522000,481000,- -,- -,- -,260000,2923000,4434000,745000,323000,5889000,249000,9583000,15733000,33117000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11579000,14555000,11020000
36,Other Current Assets,- -,- -,- -,487000,964000,926000,1650000,457000,1476000,1452000,3475000,9431000,659000,1039000,10370000,3739000,2874000,4643000,6813000,8667000,12489000
37,Total Current Assets,- -,- -,- -,47608000,51729000,65678000,107779000,86039000,90378000,69423000,65837000,94966000,73627000,101329000,142417000,132100000,160486000,255243000,243354000,164117000,152100000
38,PP&E,- -,- -,- -,213000,255000,150000,1098000,- -,1052000,614000,314000,128000,43000,49000,779000,1188000,1711000,1173000,3741000,2974000,2551000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2962000,2962000,2962000,2962000,- -,829000,829000,829000,829000,829000,829000,829000,829000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4814000,1349000,1015000,142000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2962000,2962000,2962000,2962000,- -,5643000,2178000,1844000,971000,829000,829000,829000,829000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42487000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,209000,280000,236000,943000,774000,826000,808000,38000,- -,- -,2946000,544000,600000,530000,460000,3155000,8933000,28389000
45,Total Non-Current Assets,- -,- -,- -,422000,535000,386000,2041000,774000,4840000,4384000,3314000,3090000,43000,8638000,3501000,3632000,3212000,44949000,7725000,12736000,31769000
46,Other Assets,3876000,41872000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3876000,41872000,- -,48030000,52264000,66064000,109820000,86813000,95218000,73807000,69151000,98056000,73670000,109967000,145918000,135732000,163698000,300192000,251079000,176853000,183869000
48,Accounts Payable,- -,- -,- -,1413000,2585000,2413000,4199000,1118000,728000,598000,987000,1001000,413000,489000,766000,4418000,3555000,2090000,4116000,1813000,5394000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,45000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,9968000,- -,12500000,7292000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,1286000,2097000,3827000,4999000,1593000,2812000,1758000,2352000,1662000,1515000,3252000,19736000,15994000,13234000,15619000,20084000,22140000,25903000
53,Total Current Liabilities,- -,- -,- -,2699000,4682000,6240000,19166000,2711000,16085000,9648000,3339000,2663000,1928000,3741000,20502000,20412000,16789000,17709000,24200000,23953000,31297000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,125000,- -,- -,- -,- -,- -,19565000,38974000,59186000,228959000,260728000,250474000,255736000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,7364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,82944000,108024000,- -,44906000,70000,573000,348000,60000,- -,- -,11002000,4611000,4754000,5245000,5946000,5798000,4686000,24623000
58,Total Non-Current Liabilities,- -,- -,- -,82944000,108024000,- -,44906000,70000,8062000,348000,60000,- -,- -,11002000,24176000,43728000,64431000,234905000,266526000,255160000,280359000
59,Other Liabilities,5335000,48844000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,948000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2095000,1544000,1308000
61,Total Liabilities,5335000,48844000,- -,85643000,112706000,6240000,64072000,2781000,24147000,9996000,3399000,2663000,1928000,14743000,44678000,64140000,81220000,252614000,290726000,279113000,311656000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,23000,26000,5000,13000,13000,14000,19000,19000,14000,17000,23000,28000,32000,40000,46000,52000
64,Retained Earnings,-1581000,-7217000,- -,-37944000,-61749000,-91377000,-123908000,-89086000,-86911000,-96214000,-100094000,-112110000,-139556000,-197866000,-268726000,-380362000,-470112000,-582468000,-711258000,-807799000,-866883000
65,Other Comprehensive Income/Loss,- -,- -,- -,-159000,-271000,-382000,-533000,-1632000,-1527000,-2023000,-2269000,-2459000,-1898000,-1142000,-586000,-821000,-1214000,-1812000,-2336000,0,-9000
66,Other Total Stockholders Equity,122000,245000,- -,489000,1577000,151560000,170163000,174745000,159496000,162035000,168101000,209943000,213177000,294218000,370535000,452752000,553776000,631826000,673907000,705493000,- -
67,Total Stockholders Equity,-1459000,-6972000,- -,-37613000,-60442000,59824000,45748000,84032000,71071000,63811000,65752000,95393000,71742000,95224000,101240000,71592000,82478000,47578000,-39647000,-102260000,-127787000
68,Total Liabilities And Stockholders Equity,3876000,41872000,- -,48030000,52264000,66064000,109820000,86813000,95218000,73807000,69151000,98056000,73670000,109967000,145918000,135732000,163698000,300192000,251079000,176853000,183869000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3876000,41872000,- -,48030000,52264000,66064000,109820000,86813000,95218000,73807000,69151000,98056000,73670000,109967000,145918000,135732000,163698000,300192000,251079000,176853000,183869000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1178711/000119312507071961/0001193125-07-071961-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312508058927/0001193125-08-058927-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312509069221/0001193125-09-069221-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312510071612/0001193125-10-071612-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312511082981/0001193125-11-082981-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312512143822/0001193125-12-143822-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000117871113000012/0001178711-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000117871114000011/0001178711-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312515117033/0001193125-15-117033-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459016014314/0001564590-16-014314-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017003144/0001564590-17-003144-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018004551/0001564590-18-004551-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019006315/0001564590-19-006315-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020009802/0001564590-20-009802-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459021016154/0001564590-21-016154-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459022009957/0001564590-22-009957-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-17952000,-23805000,-29628000,-32531000,34822000,-21800000,-9303000,-3880000,-12016000,-27446000,-17835000,-70860000,-111636000,-89069000,-112356000,-128790000,-96541000,-59084000
74,Depreciation and Amortization,- -,- -,- -,88000,521000,693000,516000,1119000,550000,500000,357000,229000,90000,196000,714000,2303000,1268000,-1067000,-1292000,578000,391000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,2780000,1367000,1879000,4405000,2929000,3335000,706000,5062000,10792000,16902000,25493000,14295000,10248000,14336000
77,Change in Working Capital,- -,- -,- -,750000,2138000,12391000,29175000,-5285000,-9035000,-14518000,2723000,29805000,-20604000,25889000,24327000,-10227000,32009000,93837000,-18380000,-78990000,-8189000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,11522000,- -,- -,- -,- -,- -,-4764000,-2705000,4960000,-4833000,4440000,-11228000,-7459000,-21785000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10856000,-11760000,-15504000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,154000,-130000,389000,14000,-588000,- -,- -,- -,- -,- -,- -,1618000,- -
81,Other Working Capital,- -,- -,- -,44909000,47047000,59438000,88613000,83328000,74293000,59775000,62498000,92303000,71699000,97588000,121915000,111688000,143697000,237534000,219154000,140164000,22332000
82,Other Non-Cash Items,- -,- -,- -,22000,-333000,-9366000,20587000,-44361000,29748000,1894000,-9312000,-36152000,29808000,-27489000,-13925000,14670000,-39684000,-87086000,122000,61281000,4273000
83,Cash Provided by Operating Activities,- -,- -,- -,-17092000,-21479000,-25910000,17747000,-10925000,830000,-19548000,-5707000,-15205000,-14817000,-18533000,-54682000,-94098000,-78574000,-81179000,-134045000,-103424000,-48273000
84,CAPEX,- -,- -,- -,-140000,-154000,-19000,-1099000,-24000,-318000,-65000,-59000,-43000,- -,- -,-856000,-690000,-1117000,-60000,-239000,-376000,-373000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-51073000,-16321000,-97156000,-128369000,-135568000,-128324000,-106618000,-52175000,-41037000,-69811000,- -,- -,-135799000,-180289000,-292864000,-102207000,-29625000,-15117000
87,Sales/Maturities of Investments,- -,- -,- -,52252000,40378000,61545000,108822000,136627000,95307000,122751000,53500000,46250000,54730000,- -,- -,60106000,138749000,165050000,237000000,122500000,20000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,47987000,- -,- -,- -,20000,13667000,253000,1626000,655000,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,1039000,23903000,-35630000,-20646000,1035000,14652000,16068000,1266000,5170000,-15061000,13667000,-603000,-74757000,-42002000,-127874000,134554000,92499000,4510000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3353000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,-319000
91,Common Stock Issued,- -,- -,- -,110000,25421000,39930000,13190000,112000,470000,169000,1380000,38744000,445000,89761000,71279000,70930000,82795000,51517000,26559000,21891000,18392000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9749000,19452000,19585000,20235000,169210000,31063000,59449000,259000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,110000,25421000,39930000,13190000,112000,-2883000,169000,1380000,38744000,445000,99510000,90731000,90515000,103030000,220727000,57622000,11340000,18332000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-15943000,27845000,-21610000,10291000,-9778000,12599000,-3311000,-3061000,28709000,-29433000,94644000,35446000,-78340000,-17546000,11674000,58131000,415000,-25431000
98,Cash at the End of Period,- -,- -,- -,8194000,36039000,14429000,24720000,14942000,17031000,13720000,10659000,39368000,9935000,95856000,131302000,52962000,35416000,47502000,105633000,106048000,80617000
99,Cash at the Beginning of Period,- -,- -,- -,24137000,8194000,36039000,14429000,24720000,4432000,17031000,13720000,10659000,39368000,1212000,95856000,131302000,52962000,35828000,47502000,105633000,106048000
100,Free Cash Flow,- -,- -,- -,-17232000,-21633000,-25929000,16648000,-10949000,512000,-19613000,-5766000,-15248000,-14817000,-18533000,-55538000,-94788000,-79691000,-81239000,-134284000,-103800000,-48646000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1178711/000119312507071961/0001193125-07-071961-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312508058927/0001193125-08-058927-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312509069221/0001193125-09-069221-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312510071612/0001193125-10-071612-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312511082981/0001193125-11-082981-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312512143822/0001193125-12-143822-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000117871113000012/0001178711-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000117871114000011/0001178711-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000119312515117033/0001193125-15-117033-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459016014314/0001564590-16-014314-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017003144/0001564590-17-003144-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018004551/0001564590-18-004551-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019006315/0001564590-19-006315-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020009802/0001564590-20-009802-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459021016154/0001564590-21-016154-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459022009957/0001564590-22-009957-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
