,https://roic.ai/company/CNMD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,1500000,2200000,1800000,800000,5300000,8000000,8300000,1200000,12200000,19800000,31900000,-3700000,52300000,68200000,59665000,68282000,76262000,77863000,76430000,78956000,5450000,96291000,111971000,62413000,90333000,43155000,111826000,104112000,98520000,95054000,90043000,105483000,133108000,146249000,118280000,179333000
16,EBITDA ratio,0.1429,0.1760,0.1268,0.0402,0.1688,0.2078,0.1948,0.0224,0.1716,0.1988,0.2540,-0.0268,0.1555,0.1830,0.1521,0.1593,0.1683,0.1566,0.1369,0.1279,0.0084,0.1387,0.1509,0.0898,0.1266,0.0595,0.1458,0.1376,0.1341,0.1322,0.1179,0.1325,0.1548,0.1531,0.1371,0.1774
17,Operating Income,1400000,1800000,1100000,300000,4400000,6100000,5800000,-1900000,8900000,18800000,25600000,25800000,61200000,74800000,64464000,68958000,79349000,79955000,63161000,63748000,-4603000,80991000,75259000,28269000,57093000,8274000,65210000,56508000,52786000,51175000,37676000,46935000,71305000,79114000,46010000,109717000
18,Operating Income ratio,0.1333,0.1440,0.0775,0.0151,0.1401,0.1584,0.1362,-0.0354,0.1252,0.1888,0.2038,0.1866,0.1819,0.2008,0.1644,0.1608,0.1751,0.1608,0.1131,0.1033,-0.0071,0.1167,0.1014,0.0407,0.0800,0.0114,0.0850,0.0747,0.0719,0.0712,0.0493,0.0589,0.0829,0.0828,0.0533,0.1086
19,Total Other Income Expenses (Gains),-200000,- -,100000,-100000,-700000,-200000,300000,-200000,-600000,-2000000,-100000,-36500000,-30900000,-32300000,-34286000,-30824000,-24513000,-26946000,-13599000,-15578000,-19798000,-16234000,-5996000,-10114000,-11436000,-10579000,-5730000,-5876000,-6111000,-6031000,-18301000,-18203000,-20652000,-47889000,-44407000,-36612000
20,Income Before Tax,1200000,1800000,1200000,200000,3700000,5900000,6100000,-2100000,8300000,16800000,25500000,-10700000,30300000,42500000,30178000,38134000,54836000,53009000,49562000,48170000,-24401000,64757000,69263000,18155000,45657000,-2305000,59480000,50632000,46675000,45144000,19375000,28732000,50653000,31225000,1603000,73105000
21,Income Before Tax Ratio,0.1143,0.1440,0.0845,0.0101,0.1178,0.1532,0.1432,-0.0392,0.1167,0.1687,0.2030,-0.0774,0.0901,0.1141,0.0769,0.0889,0.1210,0.1066,0.0888,0.0780,-0.0377,0.0933,0.0933,0.0261,0.0640,-0.0032,0.0775,0.0669,0.0635,0.0628,0.0254,0.0361,0.0589,0.0327,0.0019,0.0723
22,Income Tax expense (Gain),500000,700000,400000,100000,1300000,2000000,2000000,-700000,2900000,5900000,9200000,-3600000,10900000,15300000,10864000,13728000,19741000,20927000,16097000,16176000,-11894000,23301000,24702000,6018000,15311000,-3057000,18999000,14693000,14483000,14646000,4711000,-26755000,9799000,2605000,-7914000,10563000
23,Net Income,700000,1100000,800000,-300000,2400000,3900000,4100000,-1400000,5400000,10900000,16300000,-7100000,17800000,27200000,19314000,24406000,34151000,32082000,33465000,31994000,-12507000,41456000,44561000,12137000,30346000,752000,40481000,35939000,32192000,30498000,14664000,55487000,40854000,28620000,9517000,62542000
24,Net Income ratio,0.0667,0.0880,0.0563,-0.0151,0.0764,0.1013,0.0962,-0.0261,0.0759,0.1094,0.1298,-0.0513,0.0529,0.0730,0.0492,0.0569,0.0754,0.0645,0.0599,0.0518,-0.0193,0.0597,0.0600,0.0175,0.0425,0.0010,0.0528,0.0475,0.0438,0.0424,0.0192,0.0697,0.0475,0.0300,0.0110,0.0619
25,EPS,0.10,0.14,0.08,-0.03,0.25,0.31,0.28,-0.11,0.40,0.80,0.73,-0.31,0.79,1.19,0.84,1.02,1.25,1.11,1.13,1.09,-0.45,1.46,1.55,0.42,1.06,0.03,1.43,1.30,1.17,1.10,0.53,1.99,1.45,1.01,0.33,2.14
26,EPS Diluted,0.10,0.14,0.08,-0.03,0.25,0.31,0.28,-0.11,0.37,0.63,0.73,-0.31,0.77,1.17,0.83,1.00,1.23,1.10,1.11,1.08,-0.45,1.43,1.52,0.42,1.05,0.03,1.41,1.28,1.16,1.09,0.52,1.97,1.41,0.97,0.32,1.94
27,Weighted Average Shares Outstanding,6996502,7853216,9995002,11244378,9724867,12711036,14635539,13118441,13493253,17036936,20525452,22659574,22627119,22921348,22992857,23927451,27320800,28902703,29615044,29352294,27793333,28394521,28796000,29074000,28715000,28246000,28301000,27722000,27401000,27653000,27804000,27939000,28118000,28325000,28581000,29162000
28,Weighted Average Shares Outstanding Diluted,6996502,7853216,9995002,11244378,9724867,12711036,14635539,13118441,14457057,17419500,21744000,22659574,23017241,23181818,23363710,24406000,27765041,29165455,30148649,29624074,27793333,28990210,29227000,29142000,28911000,28633000,28653000,28114000,27769000,27858000,27964000,28171000,28890000,29495000,29464000,32216000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816956/0000914317-95-000125-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431796000058/0000914317-96-000058-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816956/000091431705000930/0000914317-05-000930-index.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431706000770/form10k-74773_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431707000529/form10k-82160_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431708000611/form10k.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431709000511/0000914317-09-000511-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431710000357/0000914317-10-000357-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431711000319/form10k-113048_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695612000007/0000816956-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695613000003/0000816956-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695614000003/cnmd10k2013.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695615000003/cnmd10k2014.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695616000013/0000816956-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695617000002/0000816956-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695618000003/0000816956-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695619000003/0000816956-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695620000003/0000816956-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695621000003/0000816956-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695622000004/0000816956-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,4600000,2700000,300000,200000,4500000,7600000,2000000,3600000,1500000,20200000,13500000,5900000,3700000,3470000,1402000,5626000,5986000,4189000,3454000,3831000,11695000,11811000,10098000,12417000,26048000,23720000,54443000,66332000,72504000,27428000,32622000,17511000,25856000,27356000,20847000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,300000,4600000,2700000,300000,200000,4500000,7600000,2000000,3600000,1500000,20200000,13500000,5900000,3700000,3470000,1402000,5626000,5986000,4189000,3454000,3831000,11695000,11811000,10098000,12417000,26048000,23720000,54443000,66332000,72504000,27428000,32622000,17511000,25856000,27356000,20847000
34,Net Receivables,1700000,2500000,2400000,5100000,6400000,9000000,8600000,11500000,13100000,23600000,27100000,47400000,66800000,76400000,78626000,51188000,58093000,60449000,74593000,83327000,75120000,82067000,96515000,126162000,145350000,135641000,139315000,144231000,129870000,135742000,148244000,167037000,181550000,189097000,177152000,183882000
35,Inventory,1800000,2300000,3600000,5800000,4300000,7000000,9000000,9000000,9600000,20900000,23200000,57900000,78100000,89700000,104612000,107390000,120443000,120945000,127935000,152428000,151687000,164969000,159976000,164275000,172796000,168438000,156228000,143211000,148149000,166894000,135869000,141436000,154599000,164616000,194868000,231644000
36,Other Current Assets,100000,200000,200000,1100000,300000,4700000,500000,1800000,2000000,3200000,1300000,3100000,8800000,6900000,5323000,4569000,9504000,13726000,16225000,16306000,19245000,20291000,25960000,25075000,19629000,26597000,26924000,30247000,36799000,32347000,18971000,15688000,20691000,17794000,17278000,23750000
37,Total Current Assets,3900000,9600000,8900000,12300000,11200000,25200000,25700000,24300000,28300000,49200000,71800000,121900000,159600000,176700000,192031000,164549000,193666000,201106000,222942000,255515000,249883000,279022000,294262000,325610000,350192000,356724000,346187000,372132000,381150000,407487000,330512000,356783000,374351000,397363000,416654000,460123000
38,PP&E,2400000,3300000,4300000,5900000,8000000,8700000,12100000,16400000,16200000,19700000,26500000,59400000,60800000,57800000,62450000,91026000,95608000,97383000,101465000,104224000,116480000,123679000,143737000,143502000,140895000,139187000,139041000,138985000,133429000,125452000,122029000,116229000,113245000,118883000,111407000,108863000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,41400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,290512000,289508000,290245000,290505000,295068000,234815000,256821000,248428000,256232000,260651000,397664000,401954000,400440000,618042000,618440000,617528000
40,Intangible Assets,- -,- -,- -,3300000,2900000,3400000,3400000,14500000,17600000,6100000,70600000,369500000,404400000,427600000,420809000,440892000,442665000,484531000,529717000,527053000,191135000,191807000,195939000,190849000,190091000,195531000,190809000,319440000,316440000,308171000,419549000,414940000,413193000,532800000,501537000,471049000
41,Intangible Assets,- -,- -,- -,3300000,2900000,3400000,3400000,14500000,17600000,47500000,70600000,369500000,404400000,427600000,420809000,440892000,442665000,484531000,529717000,527053000,481647000,481315000,486184000,481354000,485159000,430346000,447630000,567868000,572672000,568822000,817213000,816894000,813633000,1150842000,1119977000,1088577000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1953000,2009000,2389000,1057000,1183000,1398000,1332000,3712000,4721000,5162000,5659000,6842000,9657000
44,Other Non-Current Assets,100000,100000,300000,400000,100000,1000000,700000,2100000,- -,3000000,1200000,10800000,4000000,100000,4281000,5141000,10201000,22038000,18701000,16991000,13561000,9935000,7478000,5994000,7518000,6948000,150547000,10340000,9545000,9851000,55517000,63334000,62747000,102348000,96793000,98797000
45,Total Non-Current Assets,2500000,3400000,4600000,9600000,11000000,13100000,16200000,33000000,33800000,70200000,98300000,439700000,469200000,485500000,487540000,537059000,548474000,603952000,649883000,648268000,611688000,614929000,637399000,632803000,635581000,578870000,738275000,718376000,717044000,705457000,998471000,1001178000,994787000,1377732000,1335019000,1305894000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6400000,13000000,13500000,21900000,22200000,38300000,41900000,57300000,62100000,119400000,170100000,561600000,628800000,662200000,679571000,701608000,742140000,805058000,872825000,903783000,861571000,893951000,931661000,958413000,985773000,935594000,1084462000,1090508000,1098194000,1112944000,1328983000,1357961000,1369138000,1775095000,1751673000,1766017000
48,Accounts Payable,- -,- -,- -,- -,1100000,1100000,700000,1300000,1500000,2400000,2400000,9600000,19600000,16500000,20350000,19877000,22074000,18320000,28913000,31084000,41823000,38987000,35887000,26210000,21692000,21162000,23622000,27448000,23752000,34720000,41647000,42044000,53498000,55968000,53310000,58197000
49,Short-Term Debt,100000,600000,100000,2000000,500000,100000,100000,2500000,2500000,- -,- -,11000000,23000000,32900000,36068000,73429000,2631000,4143000,4037000,4208000,3148000,3349000,3185000,2174000,110433000,54557000,1050000,1140000,1234000,1339000,10202000,14699000,18336000,13596000,25884000,12249000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1279000,677000,973000,6470000,- -,2116000,2668000,2903000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1200000,1200000,1300000,2700000,1700000,1900000,1100000,5100000,6200000,9500000,3400000,10000000,23600000,17800000,21858000,26531000,33269000,32392000,30111000,26840000,30234000,34948000,35842000,50723000,47741000,55465000,97836000,82677000,90970000,83659000,62103000,93260000,89110000,118523000,111007000,126200000
53,Total Current Liabilities,1300000,1800000,1400000,4700000,3300000,3100000,1900000,8900000,10200000,11900000,5800000,30600000,66200000,67200000,78276000,119837000,57974000,54855000,63061000,62132000,75205000,77284000,74914000,79107000,179866000,131184000,122508000,111265000,115956000,119718000,113952000,150003000,160944000,188087000,190201000,196646000
54,Long-Term Debt,700000,600000,500000,5300000,4900000,100000,- -,9400000,6900000,29900000,- -,354000000,361900000,361800000,342680000,262500000,254756000,260448000,290485000,302643000,264676000,219485000,196190000,182195000,85182000,88952000,160802000,214435000,240201000,269471000,488288000,471744000,438564000,755211000,749977000,672407000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,500000,600000,600000,600000,500000,600000,700000,1000000,- -,- -,- -,- -,3300000,12154000,18655000,28446000,46143000,51433000,62554000,51004000,71188000,83498000,97916000,106046000,92785000,107518000,113199000,112223000,114623000,119143000,77668000,81061000,74488000,57875000,68537000
57,Other Non-Current Liabilities,200000,- -,100000,1000000,600000,600000,700000,800000,900000,2600000,5700000,14300000,18500000,18600000,15858000,16982000,14025000,10122000,19863000,23448000,30332000,20992000,45325000,22680000,28116000,49602000,86636000,45290000,48516000,24059000,27024000,27114000,26299000,46842000,44582000,42992000
58,Total Non-Current Liabilities,1200000,1100000,1200000,6900000,6100000,1200000,1300000,10900000,8800000,32500000,5700000,368300000,380400000,383700000,370692000,298137000,297227000,316713000,361781000,388645000,346012000,311665000,325013000,302791000,219344000,231339000,354956000,372924000,400940000,408153000,634455000,576526000,545924000,876541000,852434000,783936000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22812000,- -
61,Total Liabilities,2500000,2900000,2600000,11600000,9400000,4300000,3200000,19800000,19000000,44400000,11500000,398900000,446600000,450900000,448968000,417974000,355201000,371568000,424842000,450777000,421217000,388949000,399927000,381898000,399210000,362523000,477464000,484189000,516896000,527871000,748407000,726529000,706868000,1064628000,1042635000,980582000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,200000,153000,253000,288000,291000,301000,311000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000,313000
64,Retained Earnings,3700000,4800000,5600000,5000000,7400000,11400000,15500000,14100000,19500000,30300000,46600000,39600000,57400000,84500000,103834000,128240000,162391000,194473000,227938000,259932000,247425000,284850000,327471000,325370000,354020000,354439000,377907000,395889000,406145000,414506000,406932000,440085000,464851000,470844000,457417000,496605000
65,Other Comprehensive Income/Loss,-1700000,-2100000,-2800000,-5000000,-5800000,-7100000,-8600000,-10200000,-12100000,-14200000,-17400000,-21300000,-29400000,-34500000,-43000000,-51168000,-7153000,2069000,-6399000,-9736000,-8612000,-505000,-31032000,-12405000,-15861000,-26348000,-27581000,-17572000,-39822000,-53894000,-58526000,-49078000,-55737000,-59277000,-63681000,-54203000
66,Other Total Stockholders Equity,1900000,7400000,8100000,10300000,11200000,29700000,31800000,33600000,35700000,58800000,129400000,144400000,154200000,161100000,169616000,206309000,231413000,236657000,226143000,202499000,201228000,220344000,234982000,263237000,248091000,244667000,256359000,227689000,214662000,224148000,231857000,240112000,252843000,298587000,314989000,342720000
67,Total Stockholders Equity,3900000,10100000,10900000,10300000,12800000,34000000,38700000,37500000,43100000,75000000,158600000,162700000,182200000,211300000,230603000,283634000,386939000,433490000,447983000,453006000,440354000,505002000,531734000,576515000,586563000,573071000,606998000,606319000,581298000,585073000,580576000,631432000,662270000,710467000,709038000,785435000
68,Total Liabilities And Stockholders Equity,6400000,13000000,13500000,21900000,22200000,38300000,41900000,57300000,62100000,119400000,170100000,561600000,628800000,662200000,679571000,701608000,742140000,805058000,872825000,903783000,861571000,893951000,931661000,958413000,985773000,935594000,1084462000,1090508000,1098194000,1112944000,1328983000,1357961000,1369138000,1775095000,1751673000,1766017000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6400000,13000000,13500000,21900000,22200000,38300000,41900000,57300000,62100000,119400000,170100000,561600000,628800000,662200000,679571000,701608000,742140000,805058000,872825000,903783000,861571000,893951000,931661000,958413000,985773000,935594000,1084462000,1090508000,1098194000,1112944000,1328983000,1357961000,1369138000,1775095000,1751673000,1766017000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816956/0000914317-95-000125-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431796000058/0000914317-96-000058-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816956/000091431705000930/0000914317-05-000930-index.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431706000770/form10k-74773_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431707000529/form10k-82160_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431708000611/form10k.htm,https://www.sec.gov/Archives/edgar/data/816956/000091431709000511/0000914317-09-000511-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431710000357/0000914317-10-000357-index.html,https://www.sec.gov/Archives/edgar/data/816956/000091431711000319/form10k-113048_cnmd.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695612000007/0000816956-12-000007-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695613000003/0000816956-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695614000003/cnmd10k2013.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695615000003/cnmd10k2014.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695616000013/0000816956-16-000013-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695617000002/0000816956-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695618000003/0000816956-18-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695619000003/0000816956-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695620000003/0000816956-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/816956/000081695621000003/0000816956-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/816956/000081695622000004/0000816956-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,2400000,3900000,4100000,-1400000,5400000,10900000,16300000,-7100000,17800000,27200000,19314000,24406000,34151000,32082000,33465000,31994000,-12507000,41456000,44561000,12137000,30346000,752000,40481000,35939000,32192000,30498000,14664000,55487000,40854000,28620000,9517000,62542000
74,Depreciation and Amortization,- -,- -,- -,- -,1600000,2100000,2200000,3300000,3900000,5000000,6400000,7000000,23600000,25700000,29487000,30148000,22370000,24854000,26868000,30786000,29851000,31534000,32336000,37172000,37563000,38784000,46616000,47867000,45734000,43879000,55309000,58548000,61803000,72323000,72625000,70743000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,- -,- -,- -,200000,- -,3700000,-10800000,7000000,8600000,7974000,8562000,10664000,13715000,4301000,10128000,-12289000,16714000,18984000,4241000,13158000,-11901000,12946000,7218000,-284000,2251000,-2871000,-40021000,2063000,-6310000,-14234000,3005000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4178000,4308000,4223000,5240000,5653000,5593000,9330000,7499000,8375000,8472000,10037000,11779000,13111000,16335000
77,Change in Working Capital,- -,- -,- -,- -,1100000,14200000,1700000,-8400000,2700000,19200000,28700000,25300000,2100000,16100000,4255000,-69043000,90980000,10559000,13630000,33502000,-18705000,27060000,17610000,27155000,-76177000,55214000,-1861000,37188000,4327000,22575000,-71209000,-9780000,6627000,-4131000,17177000,-55697000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3735000,-12879000,9342000,8464000,1687000,-798000,5255000,-9643000,-6380000,-13631000,-17460000,-13943000,13920000,-9159000
79,Inventory,- -,- -,- -,- -,1500000,-1600000,-2100000,1600000,-600000,-4300000,400000,6300000,-19300000,-8600000,-18035000,-4235000,-15213000,-3411000,1441000,-33620000,-9380000,-22621000,-8110000,-9454000,-20317000,-7850000,3810000,-1817000,-20940000,-34536000,3103000,-3926000,-15037000,-117000,-30397000,-37806000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7043000,-7400000,-4645000,2649000,259000,4223000,-3449000,11508000,2094000,-286000,12109000,38000,-2977000,4890000
81,Other Working Capital,- -,- -,- -,- -,7900000,22100000,23800000,15400000,18100000,37300000,66000000,91300000,93400000,109500000,113755000,44712000,135692000,146251000,159881000,193383000,174678000,201738000,219348000,246503000,170326000,225540000,223679000,260867000,265194000,287769000,216560000,206780000,213407000,209276000,226453000,9392000
