,https://roic.ai/company/HCKT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,33000,20000,7000,- -,6000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630000,472000,- -,626000,387000,584000,638000,311000,- -,95000
14,Depreciation and Amortization,- -,10400000,12589000,12531000,5327000,- -,5177000,4870000,5168000,3445000,- -,2784000,3797000,2825000,2627000,2485000,- -,4569000,3585000,4532000,4834000,4242000,- -,4377000
15,EBITDA,- -,19100000,29089000,5831000,-67140000,- -,5353000,5470000,1081000,12723000,- -,21184000,17998000,20130000,19479000,18055000,- -,17161000,38138000,35354000,34958000,35574000,- -,50846000
16,EBITDA ratio,- -,0.0733,0.0980,0.0233,-0.3797,- -,0.0373,0.0335,0.0060,0.0719,- -,0.1103,0.0894,0.0963,0.0875,0.0807,- -,0.0725,0.1363,0.1278,0.1223,0.1259,- -,0.1824
17,Operating Income,- -,23300000,14210000,-9737000,-32926000,- -,-996000,546000,-4642000,8948000,- -,17899000,12452000,17241000,16829000,15727000,- -,12586000,34553000,30822000,33574000,31338000,- -,46476000
18,Operating Income ratio,- -,0.0894,0.0479,-0.0389,-0.1862,- -,-0.0069,0.0033,-0.0257,0.0506,- -,0.0932,0.0618,0.0825,0.0756,0.0703,- -,0.0532,0.1235,0.1114,0.1174,0.1109,- -,0.1667
19,Total Other Income Expenses (Gains),- -,-12500000,3290000,11137000,561000,- -,802000,54000,542000,352000,- -,401000,1749000,-341000,-429000,-427000,- -,-620000,-1423000,-2702000,-638000,-311000,- -,-95000
20,Income Before Tax,- -,10800000,17500000,1400000,-32365000,- -,-194000,600000,-4100000,9300000,- -,18300000,14201000,16900000,16400000,15300000,- -,11966000,33130000,28120000,32936000,31027000,- -,46381000
21,Income Before Tax Ratio,- -,0.0415,0.0590,0.0056,-0.1830,- -,-0.0014,0.0037,-0.0227,0.0525,- -,0.0953,0.0705,0.0808,0.0736,0.0684,- -,0.0505,0.1184,0.1017,0.1152,0.1098,- -,0.1664
22,Income Tax expense (Gain),- -,7600000,8600000,1800000,-3508000,- -,324000,- -,913000,278000,- -,500000,-26000,-4495000,-478000,6398000,- -,2255000,12625000,2884000,5577000,7744000,- -,4829000
23,Net Income,- -,1100000,7900000,-8500000,-68959000,- -,-148000,600000,-5000000,9000000,- -,17900000,14227000,21800000,16700000,8700000,- -,9711000,21541000,27354000,23909000,23277000,- -,41545000
24,Net Income ratio,- -,0.0042,0.0266,-0.0340,-0.3899,- -,-0.0010,0.0037,-0.0277,0.0508,- -,0.0932,0.0707,0.1043,0.0750,0.0389,- -,0.0410,0.0770,0.0989,0.0836,0.0824,- -,0.1490
25,EPS,- -,0.03,0.20,-0.19,-1.49,- -,-0.00,0.04,-0.11,0.20,- -,0.44,0.35,0.55,0.53,0.29,- -,0.34,0.74,0.95,0.81,0.78,- -,1.38
26,EPS Diluted,- -,0.03,0.18,-0.19,-1.49,- -,-0.00,0.04,-0.11,0.20,- -,0.43,0.34,0.52,0.50,0.27,- -,0.33,0.66,0.85,0.74,0.72,- -,1.26
27,Weighted Average Shares Outstanding,- -,34952724,40262000,43999000,46348000,- -,44188000,43575000,44653000,44127000,- -,40471000,40349000,39895000,31704000,30283000,- -,28718000,29082000,28852000,29379000,29805000,- -,30021000
28,Weighted Average Shares Outstanding Diluted,- -,43097501,45137000,43999000,46348000,- -,44188000,45302000,44653000,44978000,- -,41498000,42372000,41875000,33511000,32116000,- -,29881000,32815000,32196000,32330000,32453000,- -,32883000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1057379/000095017001000419/0000950170-01-000419-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000120677405000369/0001206774-05-000369-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312506056874/0001193125-06-056874-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312507053722/d10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000119312508053080/0001193125-08-053080-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000119312509057747/0001193125-09-057747-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312511062468/d10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000119312512077809/0001193125-12-077809-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312513105417/0001193125-13-105417-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156276214000056/hckt-20131227x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000156276215000087/hckt-20150102x10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000156276217000031/0001562762-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459018005161/0001564590-18-005161-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459019007043/0001564590-19-007043-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459020008982/0001564590-20-008982-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000156459022008703/0001564590-22-008703-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,27100000,51700000,59900000,63419000,- -,38890000,18100000,8800000,20100000,- -,32100000,25337000,32900000,16900000,18200000,- -,14608000,19710000,17512000,13808000,25954000,- -,45794000
32,Short-Term Investments,- -,2400000,- -,- -,- -,- -,- -,9900000,10800000,7000000,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,29500000,51700000,59900000,63419000,- -,38890000,28000000,19600000,27100000,- -,33800000,25337000,32900000,16900000,18200000,- -,14608000,19710000,17512000,13808000,25954000,- -,45794000
34,Net Receivables,- -,72700000,63300000,40000000,24159000,- -,28883000,41900000,35800000,29700000,- -,25500000,31580000,35200000,36900000,34000000,- -,37421000,47399000,52267000,54807000,49778000,- -,50616000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,13400000,16400000,15600000,19273000,- -,3459000,7000000,1600000,1600000,- -,3000000,5056000,9400000,7100000,7400000,- -,1839000,1704000,5506000,4476000,2895000,- -,5766000
37,Total Current Assets,- -,115600000,131400000,115500000,106851000,- -,71232000,76900000,57000000,58400000,- -,62300000,61973000,77500000,60900000,59600000,- -,53868000,68813000,75285000,73091000,78627000,- -,102176000
38,PP&E,- -,11200000,14700000,18500000,11790000,- -,7568000,6300000,5200000,5700000,- -,5800000,8816000,11700000,12900000,13000000,- -,13753000,14774000,18851000,19750000,27878000,- -,19675000
39,Goodwill,- -,- -,82600000,77900000,26720000,- -,- -,61700000,66700000,68300000,- -,63600000,75623000,75600000,76200000,76300000,- -,75429000,72376000,85074000,84207000,84578000,- -,85070000
40,Intangible Assets,- -,70600000,- -,- -,- -,- -,33786000,- -,- -,- -,- -,- -,- -,1600000,1000000,900000,- -,6009000,2702000,5523000,3090000,- -,- -,- -
41,Intangible Assets,- -,70600000,82600000,77900000,26720000,- -,33786000,61700000,66700000,68300000,- -,63600000,75623000,77200000,77200000,77200000,- -,81438000,75078000,90597000,87297000,84578000,- -,85070000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,3300000,4600000,3600000,- -,1800000,- -,1700000,- -,4400000,- -,3097000,10216000,6240000,6435000,- -,- -,- -
44,Other Non-Current Assets,- -,3300000,- -,- -,- -,- -,16147000,3700000,-200000,-500000,- -,200000,4389000,-700000,2900000,-3900000,- -,-2558000,-9582000,-5742000,-5821000,2652000,- -,620000
45,Total Non-Current Assets,- -,85100000,97300000,96400000,38510000,- -,57501000,75000000,76300000,77100000,- -,71400000,88828000,89900000,93000000,90700000,- -,95730000,90486000,109946000,107661000,115108000,- -,105365000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,200700000,228700000,211900000,145361000,- -,128733000,151900000,133300000,135500000,- -,133700000,150801000,167400000,153900000,150300000,- -,149598000,159299000,185231000,180752000,193735000,- -,207541000
48,Accounts Payable,- -,9000000,10000000,5200000,5684000,- -,3462000,6300000,5400000,4000000,- -,3700000,5590000,7400000,7700000,8100000,- -,7549000,9089000,8434000,7429000,8494000,- -,7677000
49,Short-Term Debt,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2895000,- -,- -,- -,- -,- -,- -,2707000,- -,2299000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2271000,1393000,- -,1977000,4437000,5649000,1769000,2611000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,4680000,- -,- -,- -,- -,- -,- -,- -,7684000,8345000,- -,8896000,10975000,9271000,8259000,9583000,- -,14616000
52,Other Current Liabilities,- -,49500000,46600000,29000000,26630000,- -,13230000,43300000,24800000,29000000,- -,34300000,29140000,28100000,18821000,17255000,- -,22005000,35750000,33743000,28539000,22899000,- -,30297000
53,Total Current Liabilities,- -,60400000,56600000,34200000,32314000,- -,21372000,49600000,30200000,33000000,- -,38000000,34730000,35500000,37100000,33700000,- -,38450000,55814000,51448000,44227000,43683000,- -,54889000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22100000,19000000,- -,18263000,7000000,19000000,6500000,5255000,- -,1474000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1710000,4387000,- -,5925000,10216000,6240000,6435000,7183000,- -,7325000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7507000,3200000,4600000,3600000,- -,1700000,2831000,1700000,-1710000,13000,- -,-2828000,- -,1268000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,7507000,3200000,4600000,3600000,- -,1700000,2831000,1700000,22100000,23400000,- -,21360000,17216000,26508000,12935000,12438000,- -,8799000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7962000,- -,3773000
61,Total Liabilities,- -,60400000,56600000,34200000,32314000,- -,28879000,52800000,34800000,36600000,- -,39700000,37561000,37200000,59200000,57100000,- -,59810000,73030000,77956000,57162000,56121000,- -,63688000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,48000,- -,49000,100000,100000,100000,- -,100000,60000,100000,100000,100000,- -,53000,55000,56000,57000,58000,- -,60000
64,Retained Earnings,- -,-78800000,-70900000,-79500000,-148419000,- -,-153389000,-153700000,-158700000,-150200000,- -,-132300000,-124898000,-103100000,-89500000,-83900000,- -,-77677000,-56581000,-38515000,-25424000,-13714000,- -,11272000
65,Other Comprehensive Income/Loss,- -,-11300000,-600000,-11300000,- -,- -,-5984000,-8051000,1352000,1268000,- -,-6436000,-5031000,-5442000,-4504000,-4451000,- -,-6165000,-11549000,-8509000,-11394000,-10550000,- -,-10473000
66,Other Total Stockholders Equity,- -,230400000,243600000,268500000,- -,- -,259178000,262533000,255703000,247651000,- -,232553000,243109000,238690000,188630000,181427000,- -,173577000,154344000,154243000,160351000,161820000,- -,142994000
67,Total Stockholders Equity,- -,140300000,172100000,177700000,113047000,- -,99854000,100882000,98455000,98819000,- -,93917000,113240000,130248000,94726000,93176000,- -,89788000,86269000,107275000,123590000,137614000,- -,143853000
68,Total Liabilities And Stockholders Equity,- -,200700000,228700000,211900000,145361000,- -,128733000,153682000,133255000,135419000,- -,133617000,150801000,167448000,153926000,150276000,- -,149598000,159299000,185231000,180752000,193735000,- -,207541000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-1782000,45000,81000,- -,83000,- -,-48000,-26000,24000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,200700000,228700000,211900000,145361000,- -,128733000,151900000,133300000,135500000,- -,133700000,150801000,167400000,153900000,150300000,- -,149598000,159299000,185231000,180752000,193735000,- -,207541000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1057379/000095017001000419/0000950170-01-000419-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000120677405000369/0001206774-05-000369-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312506056874/0001193125-06-056874-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312507053722/d10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000119312508053080/0001193125-08-053080-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000119312509057747/0001193125-09-057747-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312511062468/d10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000119312512077809/0001193125-12-077809-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312513105417/0001193125-13-105417-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156276214000056/hckt-20131227x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000156276215000087/hckt-20150102x10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000156276217000031/0001562762-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459018005161/0001564590-18-005161-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459019007043/0001564590-19-007043-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459020008982/0001564590-20-008982-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000156459022008703/0001564590-22-008703-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1100000,7900000,-8500000,-68959000,- -,-148000,600000,-5000000,9000000,- -,17900000,14227000,21800000,16700000,8700000,- -,9711000,21541000,27354000,23909000,23283000,- -,41552000
74,Depreciation and Amortization,- -,10400000,12589000,12531000,5327000,- -,5177000,4870000,5168000,3445000,- -,2784000,3797000,2825000,2627000,2485000,- -,4569000,3585000,4532000,4834000,4242000,- -,4377000
75,Deferred Income Tax,- -,-2700000,-175000,-160000,4961000,- -,- -,- -,- -,- -,- -,- -,- -,-5257000,-1191000,5705000,- -,1949000,2092000,-1781000,223000,999000,- -,1469000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4301000,4605000,5522000,6119000,- -,6370000,8765000,10316000,9310000,7716000,- -,10122000
77,Change in Working Capital,- -,5500000,19600000,6500000,-6763000,- -,-8940000,-22560000,-500000,-1400000,- -,-1100000,15843000,14757000,-18200000,2100000,- -,-10482000,-4376000,10838000,5027000,3833000,- -,-11449000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3667000,-3010000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1915000,1843000,278000,369000,- -,-171000,790000,-1064000,-1005000,1065000,- -,1580000
81,Other Working Capital,- -,55200000,74800000,81300000,74537000,- -,49860000,27300000,26800000,25400000,- -,24300000,27243000,42000000,23800000,25900000,- -,15418000,12999000,23837000,28864000,- -,- -,- -
82,Other Non-Cash Items,- -,-7000000,-19755000,5144000,72464000,- -,6350000,22796000,7042000,10512000,- -,7885000,-18632000,-18415000,14894000,-850000,- -,3895000,1282000,-24750000,-10892000,2288000,- -,282000
83,Cash Provided by Operating Activities,- -,7300000,20159000,15515000,7030000,- -,2439000,5706000,6710000,21557000,- -,27469000,19536000,20315000,20352000,24259000,- -,16012000,32889000,26509000,32411000,42361000,- -,46353000
84,CAPEX,- -,-16200000,-8920000,-9514000,-4044000,- -,-3199000,-1762000,-2134000,-2620000,- -,-2188000,-3481000,-4939000,-3252000,-2068000,- -,-3097000,-3179000,-6517000,-9637000,-4568000,- -,-3242000
85,Acquisitions Net,- -,- -,-4560000,-2142000,-851000,- -,-7210000,-23256000,-10481000,-1276000,- -,- -,- -,- -,- -,- -,- -,-2355000,- -,-11007000,- -,-1010000,- -,- -
86,Purchases of Investments,- -,-2400000,-500000,- -,- -,- -,-39750000,-27900000,- -,-6970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1000000,2932000,- -,- -,- -,39750000,27900000,10000000,10231000,- -,5305000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-2909000,- -,- -,2400000,3657000,19000,- -,23000,-135000,724000,202000,329000,- -,354000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-17600000,-11048000,-11656000,-7804000,- -,-10409000,-22618000,1042000,-616000,- -,3140000,-3616000,-4215000,-3050000,-1739000,- -,-5098000,-3179000,-17524000,-9637000,-5578000,- -,-3242000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000000,-16974000,- -,-11487000,-23000000,-14000000,-17500000,-7500000,- -,- -
91,Common Stock Issued,- -,15000000,17177000,4367000,6513000,- -,2911000,1704000,907000,379000,- -,757000,440000,316000,752000,1080000,- -,937000,984000,1208000,778000,806000,- -,755000
92,Common Stock Repurchased,- -,- -,- -,- -,-2208000,- -,-10492000,-5373000,-1748000,-10073000,- -,-19101000,-6066000,-8955000,-55587000,-13132000,- -,-10955000,-34083000,-15716000,-4786000,-7807000,- -,-34605000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3081000,-3096000,- -,-3508000,-7163000,-8670000,-10048000,-11196000,- -,-12885000
94,Other Financing Activites,- -,-14500000,-1750000,- -,- -,- -,- -,-206000,-5429000,- -,- -,- -,- -,- -,39518000,10873000,- -,10478000,29763000,26000000,5000000,1000000,- -,-4000
95,Cash Used/Provided by Financing Activities,- -,500000,15427000,4367000,4305000,- -,-7581000,-3875000,-6270000,-9694000,- -,-18344000,-5626000,-8639000,-33398000,-21249000,- -,-14535000,-33499000,-11178000,-26556000,-24697000,- -,-46739000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,- -,-266000,39000,138000,66000,22000,- -,30000,-4000,-5000,78000,60000,- -,-33000
97,Net Change In Cash,- -,-9800000,24538000,8226000,3531000,- -,-15551000,-20787000,1482000,11229000,- -,11999000,10333000,7599000,-16030000,1293000,- -,-3591000,-3793000,-2198000,-3704000,12146000,- -,-3661000
98,Cash at the End of Period,- -,27100000,51662000,59888000,63419000,- -,38890000,18103000,19585000,20061000,- -,32060000,25337000,32936000,16906000,18199000,- -,14608000,19710000,17512000,13808000,25954000,- -,45794000
99,Cash at the Beginning of Period,- -,36900000,27124000,51662000,59888000,- -,54441000,38890000,18103000,8832000,- -,20061000,15004000,25337000,32936000,16906000,- -,18199000,23503000,19710000,17512000,13808000,- -,49455000
100,Free Cash Flow,- -,-8900000,11239000,6001000,2986000,- -,-760000,3944000,4576000,18937000,- -,25281000,16055000,15376000,17100000,22191000,- -,12915000,29710000,19992000,22774000,37793000,- -,43111000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1057379/000095017001000419/0000950170-01-000419-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000120677405000369/0001206774-05-000369-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312506056874/0001193125-06-056874-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312507053722/d10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000119312508053080/0001193125-08-053080-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000119312509057747/0001193125-09-057747-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312511062468/d10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000119312512077809/0001193125-12-077809-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000119312513105417/0001193125-13-105417-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156276214000056/hckt-20131227x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000156276215000087/hckt-20150102x10k.htm,https://www.sec.gov/Archives/edgar/data/1057379/000156276217000031/0001562762-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459018005161/0001564590-18-005161-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459019007043/0001564590-19-007043-index.html,https://www.sec.gov/Archives/edgar/data/1057379/000156459020008982/0001564590-20-008982-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1057379/000156459022008703/0001564590-22-008703-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
