,https://roic.ai/company/TACT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),2200000,2900000,600000,100000,-448000,-2748000,-390000,725000,2979000,-48000,2117000,-1384000,774000,1073000,1923000,2332000,1964000,1596000,-1433000,1350000,1553000,3561000,1040000,-149000,-2539000,-2071000
23,Net Income,3300000,4900000,1200000,300000,-344000,-4922000,-692000,1528000,5458000,377000,3916000,-2274000,1444000,2140000,3904000,4676000,3621000,4935000,-2421000,3092000,3617000,3211000,5426000,516000,-5630000,-4145000
24,Net Income ratio,0.0784,0.0839,0.0230,0.0067,-0.0064,-0.1119,-0.0175,0.0293,0.0912,0.0074,0.0609,-0.0466,0.0232,0.0367,0.0618,0.0709,0.0529,0.0821,-0.0456,0.0518,0.0632,0.0570,0.0994,0.0113,-0.1840,-0.1052
25,EPS,0.38,0.48,0.13,0.04,-0.08,-0.63,-0.13,0.13,0.55,0.04,0.41,-0.24,0.16,0.23,0.42,0.50,0.40,0.57,-0.01,0.40,0.48,0.43,0.73,0.07,-0.72,-0.53
26,EPS Diluted,0.38,0.47,0.13,0.04,-0.08,-0.63,-0.13,0.13,0.51,0.04,0.40,-0.24,0.15,0.23,0.41,0.49,0.40,0.57,-0.01,0.39,0.47,0.42,0.70,0.07,-0.72,-0.53
27,Weighted Average Shares Outstanding,8826000,10150500,9244500,8347500,8256000,8326500,8454000,8689500,9593000,9849000,9577000,9364000,9308000,9289000,9390000,9443000,9032000,8589000,8307000,7818000,7610000,7423000,7444000,7466000,7827000,7827000
28,Weighted Average Shares Outstanding Diluted,12649925,10398000,9255000,8421000,8256000,8326500,8454000,9334500,10231000,10163000,9870000,9364000,9489000,9377000,9590000,9603000,9121000,8703000,8307000,7854000,7655000,7592000,7759000,7677000,7827000,7827000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1017303/000091403997000080/0000914039-97-000080-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403998000134/0000914039-98-000134-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403999000129/0000914039-99-000129-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403900000145/0000914039-00-000145-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403901000108/0000914039-01-000108-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403902000121/0000914039-02-000121-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012303003629/0000950123-03-003629-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012304003987/0000950123-04-003987-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012305003228/0000950123-05-003228-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730309000003/0001017303-09-000003-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730314000015/0001017303-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730315000021/0001017303-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730316000085/0001017303-16-000085-index.html,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730318000022/0001017303-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730319000020/0001017303-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730320000012/0001017303-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730321000020/0001017303-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730322000014/0001017303-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,400000,500000,300000,992000,417000,902000,498000,8628000,4579000,3436000,2561000,2000000,10017000,11285000,6863000,7537000,2936000,3131000,4473000,2503000,5507000,4691000,4203000,10359000,19457000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,400000,500000,300000,992000,417000,902000,498000,8628000,4579000,3436000,2561000,2000000,10017000,11285000,6863000,7537000,2936000,3131000,4473000,2503000,5507000,4691000,4203000,10359000,19457000
34,Net Receivables,5400000,7200000,5200000,4900000,6137000,4047000,4039000,9074000,8910000,8359000,11464000,6179000,8769000,9266000,10864000,10029000,15927000,13234000,9094000,7174000,10585000,10948000,8025000,7435000,3477000,9093000
35,Inventory,7400000,8600000,8700000,10300000,9857000,10633000,8435000,8061000,8074000,6036000,7567000,8665000,9919000,5952000,12795000,14151000,10321000,13509000,11806000,11296000,9707000,8875000,12835000,12099000,11286000,7720000
36,Other Current Assets,700000,1400000,1700000,1400000,2016000,2594000,2776000,2849000,3466000,3288000,2719000,1891000,2406000,2761000,2108000,2011000,1914000,2542000,3966000,2369000,372000,1031000,1486000,1178000,3053000,875000
37,Total Current Assets,14500000,17600000,16100000,16900000,19002000,17691000,16152000,20482000,29078000,22262000,25186000,19296000,23094000,27996000,37052000,33054000,35699000,32221000,27997000,25312000,23167000,26361000,27037000,24915000,28175000,37145000
38,PP&E,4000000,5000000,5700000,6700000,6794000,5190000,3924000,3607000,3177000,4510000,5938000,6338000,5563000,4551000,4200000,3358000,3302000,2732000,2438000,2507000,2241000,2169000,2272000,5099000,5568000,5237000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1469000,1469000,1469000,1469000,1469000,2518000,2621000,2621000,2621000,2621000,2621000,2621000,2621000,2621000,2621000,2621000
40,Intangible Assets,2200000,2100000,1900000,1900000,1678000,1469000,1469000,1469000,1469000,2003000,571000,482000,349000,214000,111000,2861000,2328000,1856000,1341000,888000,545000,458000,797000,817000,583000,397000
41,Intangible Assets,2200000,2100000,1900000,1900000,1678000,1469000,1469000,1469000,1469000,2003000,2040000,1951000,1818000,1683000,1580000,5379000,4949000,4477000,3962000,3509000,3166000,3079000,3418000,3438000,3204000,3018000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1120000,193000,684000,274000,557000,542000,3019000,1759000,669000,789000,890000,1172000,920000,1068000,1213000,3432000,2308000,2198000,2565000,2939000,5141000
44,Other Non-Current Assets,100000,- -,100000,200000,145000,321000,292000,119000,101000,- -,- -,- -,- -,- -,- -,59000,106000,58000,26000,28000,36000,33000,31000,44000,2361000,400000
45,Total Non-Current Assets,6300000,7100000,7700000,8800000,8617000,8100000,5878000,5879000,5021000,7070000,8520000,11308000,9140000,6903000,6569000,9686000,9529000,8187000,7494000,7257000,8875000,7589000,7919000,11146000,14072000,13796000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,20800000,24700000,23800000,25700000,27619000,25791000,22030000,26361000,34099000,29332000,33706000,30604000,32234000,34899000,43621000,42740000,45228000,40408000,35491000,32569000,32042000,33950000,34956000,36061000,42247000,50941000
48,Accounts Payable,2500000,3000000,2200000,3100000,2690000,2903000,2983000,3288000,3804000,2859000,3997000,4688000,4863000,5052000,8342000,3019000,6422000,4749000,2365000,2642000,4894000,3841000,3483000,2960000,1691000,4308000
49,Short-Term Debt,1000000,300000,700000,- -,- -,100000,100000,90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,945000,837000,789000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,- -,- -,629000,26000,13000,245000,19000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,1537000,717000,410000,389000,522000,333000,580000,320000,141000,93000,300000,313000,604000,117000,169000,384000,700000,504000,805000
52,Other Current Liabilities,2400000,2800000,3100000,2700000,2681000,6322000,4492000,3780000,4232000,3618000,4362000,2852000,2847000,1890000,2865000,2672000,3692000,2301000,6958000,3083000,2413000,3339000,2765000,3041000,3665000,3894000
53,Total Current Liabilities,5900000,6100000,6000000,5800000,5371000,9325000,7575000,8695000,8753000,6887000,8748000,8062000,8043000,7522000,11527000,5832000,10207000,7350000,9636000,6329000,7424000,7349000,6632000,7646000,6697000,9796000
54,Long-Term Debt,- -,- -,5100000,7100000,5944000,5344000,2791000,330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2104000,5037000,1781000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,732000,886000,688000,581000,168000,103000,64000,77000,67000,69000,265000,219000,111000,186000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,500000,700000,500000,600000,445000,3807000,5119000,6989000,1631000,1188000,668000,934000,177000,137000,272000,1014000,1484000,434000,397000,435000,442000,518000,492000,166000,166000,187000
58,Total Non-Current Liabilities,500000,700000,5600000,7700000,6389000,9151000,7910000,7319000,1631000,1188000,668000,934000,909000,1023000,960000,1595000,1652000,537000,461000,512000,509000,587000,757000,2489000,5314000,2154000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3049000,3701000,2570000
61,Total Liabilities,6400000,6800000,11600000,13500000,11760000,18476000,15485000,16014000,10384000,8075000,9416000,8996000,8952000,8545000,12487000,7427000,11859000,7887000,10097000,6841000,7933000,7936000,7389000,10135000,12011000,11950000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,56000,57000,57000,60000,100000,102000,104000,104000,105000,105000,106000,108000,109000,111000,111000,112000,112000,114000,115000,115000,130000,139000
64,Retained Earnings,1200000,6100000,7300000,7600000,6929000,1649000,599000,1769000,7112000,7489000,11405000,9449000,10893000,13033000,16937000,21613000,24708000,27326000,22349000,22956000,24157000,24756000,27515000,25348000,19718000,15573000
65,Other Comprehensive Income/Loss,-5400000,-6300000,-7700000,-7700000,-8740000,-11006000,-419000,77000,-898000,-1801000,168000,178000,-68000,-66000,-69000,-71000,-55000,-63000,-72000,-80000,-109000,-99000,-82000,-31000,-38000,143000
66,Other Total Stockholders Equity,18600000,18100000,12600000,12200000,17614000,16615000,6308000,8441000,17401000,15467000,12613000,11877000,12352000,- -,14160000,13663000,8607000,5147000,3006000,2740000,-51000,1243000,19000,494000,10426000,23136000
67,Total Stockholders Equity,14400000,17900000,12200000,12200000,15859000,7315000,6545000,10347000,23715000,21257000,24290000,21608000,23282000,26354000,31134000,35313000,33369000,32521000,25394000,25728000,24109000,26014000,27567000,25926000,30236000,38991000
68,Total Liabilities And Stockholders Equity,20800000,24700000,23800000,25700000,27619000,25791000,22030000,26361000,34099000,29332000,33706000,30604000,32234000,34899000,43621000,42740000,45228000,40408000,35491000,32569000,32042000,33950000,34956000,36061000,42247000,50941000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,20800000,24700000,23800000,25700000,27619000,25791000,22030000,26361000,34099000,29332000,33706000,30604000,32234000,34899000,43621000,42740000,45228000,40408000,35491000,32569000,32042000,33950000,34956000,36061000,42247000,50941000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1017303/000091403997000080/0000914039-97-000080-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403998000134/0000914039-98-000134-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403999000129/0000914039-99-000129-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403900000145/0000914039-00-000145-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403901000108/0000914039-01-000108-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403902000121/0000914039-02-000121-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012303003629/0000950123-03-003629-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012304003987/0000950123-04-003987-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012305003228/0000950123-05-003228-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730309000003/0001017303-09-000003-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730314000015/0001017303-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730315000021/0001017303-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730316000085/0001017303-16-000085-index.html,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730318000022/0001017303-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730319000020/0001017303-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730320000012/0001017303-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730321000020/0001017303-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730322000014/0001017303-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3300000,4900000,1200000,300000,-344000,-4922000,-692000,1528000,5458000,377000,3916000,-2274000,1444000,2140000,3904000,4676000,3621000,4935000,-2421000,3092000,3617000,3211000,5426000,516000,-5630000,-4145000
74,Depreciation and Amortization,1100000,1600000,2000000,2200000,2750000,3398000,2119000,1656000,1634000,1493000,1568000,1844000,1847000,1757000,1549000,1608000,1758000,1741000,1445000,1426000,1331000,1081000,997000,1371000,1342000,957000
75,Deferred Income Tax,-100000,-100000,-400000,- -,-78000,-2643000,968000,162000,380000,-648000,583000,-1839000,592000,1002000,540000,519000,-95000,46000,-1558000,878000,-295000,1117000,-107000,-294000,-367000,-2150000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803000,640000,565000,587000,520000,521000,506000,488000,611000,609000,629000,692000,876000,1206000
77,Change in Working Capital,-2100000,2900000,-1400000,1000000,2531000,-5265000,211000,3210000,8538000,-4950000,1063000,-5204000,3817000,5423000,5051000,1697000,-1730000,-621000,-6510000,622000,-3240000,3269000,1393000,2527000,328000,3514000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1977000,-6332000,2685000,4139000,1916000,-3434000,-405000,2688000,1589000,2976000,-4217000
79,Inventory,-1000000,-1200000,-200000,-1500000,400000,-776000,2198000,374000,-13000,2038000,-1531000,-2053000,-1457000,3968000,-6851000,-568000,3684000,-3189000,1703000,509000,1580000,834000,-4049000,796000,876000,3573000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000,187000,3289000,-5427000,3403000,-1674000,-2384000,277000,2255000,-988000,-332000,-517000,-1276000,2534000
81,Other Working Capital,8600000,11500000,10100000,11100000,13631000,8366000,8577000,11787000,20325000,15375000,16438000,11234000,15051000,20474000,25525000,27222000,25492000,24871000,18361000,18983000,15743000,19012000,20405000,- -,- -,- -
82,Other Non-Cash Items,-200000,-5500000,2600000,-1500000,-4526000,10877000,1073000,-4742000,-7667000,6601000,-3830000,10077000,-7802000,-2589000,-9477000,-6991000,3956000,-4129000,14591000,-959000,2599000,-3369000,-3229000,34000,-59000,-1892000
83,Cash Provided by Operating Activities,2000000,3800000,4000000,2000000,333000,1445000,3679000,1814000,8343000,2873000,3300000,2604000,701000,8373000,2132000,2096000,8030000,2493000,6053000,5547000,4623000,5918000,5109000,4846000,-3510000,-2510000
84,CAPEX,-1800000,-2300000,-2200000,-3000000,-2415000,-1382000,-577000,-1261000,-1178000,-2756000,-2891000,-2166000,-979000,-643000,-1107000,-1256000,-1117000,-751000,-660000,-959000,-608000,-985000,-1473000,-1366000,-744000,-1384000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-400000,232000,2000,- -,331000,- -,-510000,- -,37000,- -,- -,10000,-1255000,-20000,-746000,-660000,-955000,-600000,-985000,-1473000,-2366000,-1344000,222000
89,Cash Used for Investing Activites,-1300000,-2300000,-2200000,-3400000,-2183000,-1380000,-577000,-930000,-1178000,-3266000,-2891000,-2129000,-979000,-643000,-1097000,-5255000,-1102000,-746000,-660000,-955000,-600000,-985000,-1473000,-2366000,-1344000,222000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,-2756000,- -
91,Common Stock Issued,9000000,100000,- -,- -,3960000,262000,130000,1364000,1516000,347000,687000,149000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9798000,12214000
92,Common Stock Repurchased,-1100000,-2300000,-7200000,-200000,- -,- -,- -,- -,- -,-3867000,-2625000,-1503000,-543000,- -,-177000,-2680000,-5938000,-5194000,-2634000,-1020000,-3571000,-358000,-2000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-205000,-280000,-280000,-280000,-91000,- -,- -,- -,- -,- -,- -,- -,-526000,-2317000,-2556000,-2485000,-2416000,-2581000,-2667000,-2683000,- -,- -
94,Other Financing Activites,-7500000,- -,5500000,1300000,-1156000,-600000,-2553000,-2471000,-522000,-3000,254000,-6000,314000,290000,414000,1426000,222000,1177000,12000,2767000,24000,1020000,151000,-214000,3989000,-742000
95,Cash Used/Provided by Financing Activities,400000,-2200000,-1700000,1100000,2599000,-618000,-2703000,-1387000,903000,-3523000,-1684000,-1360000,-229000,290000,237000,-1254000,-6242000,-6334000,-5178000,-3238000,-5963000,-1919000,-4516000,-2897000,11031000,11472000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-36000,-22000,86000,99000,62000,-133000,132000,10000,-54000,-3000,-4000,-9000,-12000,-14000,-20000,-12000,-30000,-10000,64000,-71000,-21000,-86000
97,Net Change In Cash,400000,-2200000,-1700000,-200000,713000,-575000,485000,-404000,8130000,-4049000,-1143000,-875000,-561000,8017000,1268000,-4422000,674000,-4601000,195000,1342000,-1970000,3004000,-816000,-488000,6156000,9098000
98,Cash at the End of Period,- -,- -,- -,300000,992000,417000,902000,498000,8628000,4579000,3436000,2561000,2000000,10017000,11285000,6863000,7537000,2936000,3131000,4473000,2503000,5507000,4691000,4203000,10359000,19457000
99,Cash at the Beginning of Period,- -,1000000,400000,500000,279000,992000,417000,902000,498000,8628000,4579000,3436000,2561000,2000000,10017000,11285000,6863000,7537000,2936000,3131000,4473000,2503000,5507000,4691000,4203000,10359000
100,Free Cash Flow,200000,1500000,1800000,-1000000,-2082000,63000,3102000,553000,7165000,117000,409000,438000,-278000,7730000,1025000,840000,6913000,1742000,5393000,4588000,4015000,4933000,3636000,3480000,-4254000,-3894000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1017303/000091403997000080/0000914039-97-000080-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403998000134/0000914039-98-000134-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403999000129/0000914039-99-000129-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403900000145/0000914039-00-000145-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403901000108/0000914039-01-000108-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000091403902000121/0000914039-02-000121-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012303003629/0000950123-03-003629-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012304003987/0000950123-04-003987-index.html,https://www.sec.gov/Archives/edgar/data/1017303/000095012305003228/0000950123-05-003228-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730309000003/0001017303-09-000003-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730314000015/0001017303-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730315000021/0001017303-15-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730316000085/0001017303-16-000085-index.html,- -,https://www.sec.gov/Archives/edgar/data/1017303/000101730318000022/0001017303-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730319000020/0001017303-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730320000012/0001017303-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730321000020/0001017303-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1017303/000101730322000014/0001017303-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
