,https://roic.ai/company/FLEX,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,- -,- -,- -,- -,2388000,166497000,173753000,179297000,879525000,843082000,1041944000,1609177000,1700429000,1488975000,1493805000,3388337000,2755282000,1990258000,2199195000,2157798000,1650973000,2070020000,2037571000,2709389000,2890609000,2897631000,2421904000,2689109000,4077000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,3710000,4812000,4831000,4780000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,33684000,42013000,32639000,50705000,120463000,187817000,229121000,230630000,202901000,156481000,182842000,571119000,313321000,320516000,310330000,303842000,521039000,571764000,475580000,497857000,519851000,531587000,507590000,958270000,489000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,39782000,213322000,211223000,234782000,999988000,1030899000,1271065000,1839807000,1903330000,1645456000,1676647000,3959456000,3068603000,2310774000,2509525000,2461640000,2172012000,2641784000,2513151000,3207246000,3410460000,3429218000,2929494000,3647379000,4566000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7909000,15084000,9141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528967000,562000000
61,Total Liabilities,- -,- -,- -,- -,275157000,528320000,624110000,1490386000,3541294000,4189203000,3852084000,5216724000,5783524000,5603760000,6164715000,11360471000,9483329000,8657985000,9338456000,8749825000,8344797000,10298471000,9269374000,9779451000,9915087000,10697282000,10527007000,10858464000,12400000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,88000,134000,299000,773000,2871000,3043000,3078000,3135000,3360000,- -,- -,- -,- -,- -,- -,8292370000,8015142000,7614515000,7265827000,6987214000,6733539000,6636747000,6523750000,6336445000,6232000000
64,Retained Earnings,- -,- -,- -,- -,-12066000,6934000,58464000,192264000,-132892000,-286640000,-370093000,-722471000,-382600000,-241438000,267200000,-372170000,-6458317000,-6664723000,-6068504000,-5579739000,-5302688000,-4937094000,-4336293000,-3892212000,-3572648000,-3144114000,-3012012000,-2902410000,-2289000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-42172000,-80342000,-109143000,-194498000,-618649000,-832682000,-39566000,71559000,116884000,23511000,-14340000,-2109000,-57449000,-15405000,20754000,-40437000,-77481000,-126156000,-180505000,-135915000,-128143000,-85845000,-151163000,-214667000,-119000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,138227000,289077000,520649000,1598157000,4779031000,5571775000,4948601000,5014990000,5486404000,- -,5923459000,8538614000,8349468000,8664290000,8342200000,-388215000,- -,-388215000,-388215000,-388215000,-388215000,-388215000,-388215000,-388215000,-388000000
67,Total Stockholders Equity,- -,- -,- -,- -,84077000,215803000,470269000,1596696000,4030361000,4455496000,4542020000,4367213000,5224048000,5354647000,6176659000,8164444000,1834151000,1984567000,2294696000,2283979000,2246758000,2163050000,2360814000,2570872000,2644533000,3018573000,2972360000,2831153000,3436000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,359234000,744123000,1094379000,3087082000,7571655000,8644699000,8394104000,9583937000,11007572000,10958407000,12341374000,19524915000,11317480000,10642552000,11633152000,11033804000,10591555000,12461521000,11630188000,12350323000,12559620000,13715855000,13499367000,13689617000,15836000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38629000,35436000,34658000,33743000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,359234000,744123000,1094379000,3087082000,7571655000,8644699000,8394104000,9583937000,11007572000,10958407000,12341374000,19524915000,11317480000,10642552000,11633152000,11033804000,10591555000,12500150000,11665624000,12384981000,12593363000,13715855000,13499367000,13689617000,15836000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866374/000089161802002120/f81104e10-k.htm,https://www.sec.gov/Archives/edgar/data/866374/000089161803002879/f90693e10vk.htm,https://www.sec.gov/Archives/edgar/data/866374/000095013404008798/f99562e10vk.htm,https://www.sec.gov/Archives/edgar/data/866374/000089161805000429/f09750e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/866374/000103570407000431/0001035704-07-000431-index.html,https://www.sec.gov/Archives/edgar/data/866374/000103570408000251/0001035704-08-000251-index.html,https://www.sec.gov/Archives/edgar/data/866374/000095013409011144/0000950134-09-011144-index.html,https://www.sec.gov/Archives/edgar/data/866374/000095012310052098/0000950123-10-052098-index.html,https://www.sec.gov/Archives/edgar/data/866374/000104746911005449/0001047469-11-005449-index.html,https://www.sec.gov/Archives/edgar/data/866374/000104746912006353/a2209735z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/866374/000104746914005069/0001047469-14-005069-index.html,https://www.sec.gov/Archives/edgar/data/866374/000104746915004931/0001047469-15-004931-index.html,https://www.sec.gov/Archives/edgar/data/866374/000162828016016576/0001628280-16-016576-index.html,https://www.sec.gov/Archives/edgar/data/1630391/000107997417000187/0001079974-17-000187-index.html,https://www.sec.gov/Archives/edgar/data/866374/000086637418000007/0000866374-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/866374/000086637419000006/0000866374-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/866374/000086637420000009/0000866374-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/866374/000086637421000030/0000866374-21-000030-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1300000,2900000,6200000,-17400000,7463000,19913000,51530000,120915000,-446019000,-153748000,-83453000,-352378000,339871000,141162000,508638000,-639370000,-6086147000,18594000,596219000,488765000,277051000,365594000,600801000,444081000,319564000,428534000,93399000,87579000,613000000
74,Depreciation and Amortization,3700000,3400000,6100000,10400000,13938000,30948000,50407000,82687000,524069000,483631000,420171000,664570000,375825000,390828000,421740000,712840000,693597000,707530000,471668000,521923000,566357000,464543000,540490000,515367000,609660000,555364000,764952000,748050000,569000000
75,Deferred Income Tax,- -,- -,- -,100000,-791000,999000,-576000,-5561000,-179744000,-182677000,-92798000,-97171000,-84070000,47953000,-26492000,633850000,-19899000,-108272000,-51198000,-1022000,-32647000,-36261000,-59261000,-64346000,-20041000,43187000,-13856000,6476000,-12000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56914000,56474000,55237000,48454000,34529000,40439000,50270000,77580000,77330000,81346000,76032000,71546000,79000000
77,Change in Working Capital,-4600000,- -,- -,- -,-25047000,149583000,116609000,801946000,871650000,-519858000,-497142000,-12925000,22155000,31661000,164347000,1808943000,-1391642000,122510000,582478000,21097000,-647749000,145023000,241038000,-241756000,140228000,19201000,-396431000,369266000,1653815000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1025434000,-121194000,26519000,-30249000,519140000,-592346000,316773000,317946000,-164239000,-296910000,-3628129000,-2126355000,-1656000000
79,Inventory,-4900000,-5800000,-3200000,-19200000,-2533000,-32258000,-44346000,-454556000,-559842000,639954000,184710000,-56108000,-105126000,-220988000,-628024000,205584000,1128936000,141754000,-664738000,301053000,596131000,-758846000,72660000,84790000,85047000,-354319000,-360152000,-66462000,-96000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1212108000,413053000,609868000,-750169000,-671424000,1117449000,-176941000,-365051000,268686000,623148000,68070000,-14554000,103000000
81,Other Working Capital,- -,- -,- -,- -,-25047000,124536000,241145000,1043091000,1914741000,1394883000,897741000,884816000,906971000,938632000,1102979000,2911922000,1520280000,1642790000,2225268000,2246365000,1598616000,1743639000,1984677000,1742921000,1883149000,1902350000,1505919000,1875185000,3529000000
82,Other Non-Cash Items,-300000,100000,-15700000,6200000,51104000,-163157000,-152591000,-1067379000,-1239681000,1231560000,861006000,-14398000,70484000,-62248000,-791857000,-1473430000,8063956000,2080000,-797060000,-274949000,917889000,237122000,-579304000,405519000,23168000,-374034000,-3495120000,-2816193000,-2758815000
83,Cash Provided by Operating Activities,100000,6400000,-3400000,-700000,46667000,38286000,65379000,-67392000,-469725000,858908000,607784000,187698000,724265000,549356000,276376000,1042833000,1316779000,798916000,857344000,804268000,1115430000,1216460000,794034000,1136445000,1149909000,753598000,-2971024000,-1533276000,144000000
84,CAPEX,-1900000,-5000000,-15900000,-15800000,-26984000,-98617000,-147865000,-250458000,-711227000,-330392000,-208311000,-181461000,-289680000,-251174000,-569424000,-327547000,-462079000,-176463000,-470702000,-437191000,-488993000,-609643000,-347413000,-510634000,-525111000,-561997000,-725606000,-461745000,-351000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-6250000,-46200000,-256660000,-158882000,-314498000,-501602000,-119983000,-469003000,-130655000,-356422000,-629182000,-214496000,-75901000,-16341000,-90859000,-161512000,-233432000,-66854000,-910787000,-152353000,-271326000,254351000,2012000,-3000000
86,Purchases of Investments,-400000,-2600000,- -,- -,- -,-3621000,-17546000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26450000,260188000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,2300000,-2600000,-13200000,-85007000,3820000,7050000,-65076000,-246530000,-438370000,-103133000,-102323000,20406000,-47090000,534351000,21358000,5269000,- -,73802000,46686000,-46694000,59143000,172051000,25045000,-24723000,-75662000,3724152000,2738763000,152000000
89,Cash Used for Investing Activites,-2300000,-5300000,-18500000,-29000000,-111991000,-104668000,-204561000,-572194000,-1116639000,-1083260000,-813046000,-403767000,-738277000,-428919000,-391495000,-935371000,-644856000,7824000,-413241000,-481364000,-697199000,-783932000,-242216000,-1396376000,-702187000,-908985000,3252897000,2279030000,-202000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11660047000,-1512154000,-4002226000,-2869121000,-1391859000,-1082420000,-344156000,-190221000,-141730000,-1420977000,-3059828000,-1315691000,-1142000000
91,Common Stock Issued,- -,38600000,5500000,1000000,1362000,104643000,208301000,962859000,1500155000,561482000,27885000,61113000,336101000,49986000,21153000,35911000,- -,- -,23299000,- -,- -,- -,- -,61278000,12438000,2774000,245000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260074000,- -,-400400000,-509800000,-322040000,-475314000,-415945000,-420317000,-349532000,-180050000,-188979000,-259912000,-183000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-23514000,-190000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1700000,-13100000,-8000000,30600000,81015000,28853000,16528000,130236000,4986000,-192139000,-131429000,333640000,-19766000,-94294000,-122118000,926231000,11273320000,798882000,3737631000,2856759000,1374321000,1146942000,244084000,798902000,236717000,1410468000,3218858000,1067143000,2068000000
95,Cash Used/Provided by Financing Activities,1700000,25500000,-2500000,31600000,82377000,133496000,224829000,1069581000,1504951000,369343000,-103544000,394753000,316335000,-44308000,-100965000,962142000,-646801000,-713272000,-641696000,-522162000,-339578000,-410792000,-516017000,249642000,-242107000,-187785000,-29704000,-508460000,743000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-100000,46000,-1883000,-2053000,-5923000,-34048000,-31455000,-12298000,12572000,-48341000,-2528000,-12250000,-64181000,76816000,12202000,18508000,-30884000,-9895000,-15095000,-1121000,-10549000,17490000,-15079000,-27968000,-11233000,29000000
