,https://roic.ai/company/JCS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269151,221611,181393,136255,106101,79841,120435,119627,71428,38355,38440,28514,-8023
14,Depreciation and Amortization,1800000,1900000,1900000,2200000,1200000,1300000,1500000,1700000,1800000,2100000,2500000,2300000,2500000,3100000,4800000,5098123,5015807,2633671,2463478,2271569,1924487,2354003,2159184,1865111,1698321,1858881,2100735,2133511,2184830,2482300,3312587,3683009,3186458,2214848,1032797,962307,- -
15,EBITDA,5300000,4300000,4700000,5300000,2200000,4900000,6900000,9100000,9900000,10600000,13900000,12900000,16600000,13000000,16200000,13036046,5980246,6882746,6798959,9802302,8122564,8077083,14181950,13046403,12766812,17715029,19902118,5667446,3394056,5743369,-6968701,-4053962,-8602249,-4133265,7525017,-784511,-8161882
16,EBITDA ratio,0.1573,0.1198,0.1237,0.1349,0.0751,0.1463,0.1821,0.1661,0.1634,0.1425,0.1624,0.1878,0.2193,0.1826,0.1386,0.1089,0.0629,0.0641,0.0664,0.0885,0.0740,0.0700,0.1170,0.1063,0.1163,0.1475,0.1384,0.0544,0.0258,0.0482,-0.0647,-0.0408,-0.1045,-0.0629,0.1478,-0.0184,-1.1643
17,Operating Income,3000000,2100000,2500000,2600000,2000000,3700000,4500000,6600000,7500000,8100000,10400000,10400000,12500000,8600000,11300000,7933358,812450,3939725,4020169,7363768,6805183,5025384,10262568,10583587,10218533,15614384,17514920,3396118,1156367,3292919,-10505869,-4456547,-11764829,-6558118,9214,-2697350,-8171623
18,Operating Income ratio,0.0890,0.0585,0.0658,0.0662,0.0683,0.1104,0.1187,0.1204,0.1238,0.1089,0.1215,0.1514,0.1651,0.1208,0.0967,0.0663,0.0085,0.0367,0.0393,0.0665,0.0620,0.0435,0.0846,0.0863,0.0931,0.1300,0.1218,0.0326,0.0088,0.0277,-0.0976,-0.0449,-0.1429,-0.0997,0.0002,-0.0634,-1.1657
19,Total Other Income Expenses (Gains),- -,200000,300000,500000,400000,300000,900000,300000,600000,400000,1000000,900000,1600000,1300000,300000,338814,224799,-45053,315312,166965,438490,697696,1760198,597705,580807,20153,105070,1562,-53242,-111691,104146,-3400051,-95306,171650,226136,922018,17764
20,Income Before Tax,3000000,2300000,2800000,3100000,2400000,4000000,5400000,6900000,8100000,8500000,11400000,11300000,14100000,9900000,11600000,8272172,1037249,3894672,4335481,7530733,7243673,5723080,12022766,11181292,10799340,15634537,17619990,3397680,1103125,3181228,-10401723,-7856598,-11860135,-6386468,235350,-1775332,-8153859
21,Income Before Tax Ratio,0.0890,0.0641,0.0737,0.0789,0.0819,0.1194,0.1425,0.1259,0.1337,0.1142,0.1332,0.1645,0.1863,0.1390,0.0992,0.0691,0.0109,0.0363,0.0423,0.0680,0.0660,0.0496,0.0992,0.0911,0.0984,0.1302,0.1226,0.0326,0.0084,0.0267,-0.0966,-0.0791,-0.1441,-0.0971,0.0046,-0.0417,-1.1632
22,Income Tax expense (Gain),400000,300000,600000,800000,500000,800000,1100000,1400000,1400000,1700000,2300000,2300000,3200000,2000000,2600000,1600000,325000,1558000,1618000,2768000,1728279,1228000,4512000,4569875,4755695,5919104,7822124,1159566,2061013,1219355,-753415,256950,-34503,405267,-15269,20342,-11127506
23,Net Income,3100000,2100000,2200000,2300000,500000,2800000,4300000,6000000,6700000,6800000,9100000,8300000,10900000,7900000,8800000,6337923,639439,2691075,2717481,4762733,4469798,4495080,7510766,6611417,6043645,9715433,9797866,2238114,-957888,1961873,-9648308,-8113548,-11825632,-6791735,6469049,-1795674,2973647
24,Net Income ratio,0.0920,0.0585,0.0579,0.0585,0.0171,0.0836,0.1135,0.1095,0.1106,0.0914,0.1063,0.1208,0.1440,0.1110,0.0753,0.0529,0.0067,0.0251,0.0265,0.0430,0.0407,0.0389,0.0619,0.0539,0.0550,0.0809,0.0681,0.0215,-0.0073,0.0165,-0.0896,-0.0817,-0.1436,-0.1033,0.1271,-0.0422,0.4242
25,EPS,1.20,0.84,0.88,1.04,0.24,1.28,1.96,2.68,3.04,3.00,3.96,3.52,4.72,3.48,4.16,3.04,0.36,1.12,1.32,2.32,2.08,2.08,3.44,3.08,2.88,4.64,4.64,1.04,-0.44,0.92,-4.44,-3.68,-5.28,-3.00,2.80,-0.08,1.24
26,EPS Diluted,1.20,0.84,0.88,1.04,0.24,1.28,1.96,2.68,3.00,3.00,3.96,3.52,4.68,3.48,4.12,3.00,0.36,1.12,1.32,2.28,2.04,2.04,3.40,3.08,2.88,4.60,4.60,1.04,-0.44,0.92,-4.44,-3.68,-5.28,-3.00,2.76,-0.08,1.24
27,Weighted Average Shares Outstanding,2583333,2500000,2500000,2211538,2083333,2187500,2193878,2238806,2203947,2266667,2304250,2338000,2307964,2260000,2161000,2187569,2090761,2061338,2042269,2065760,2144266,2180543,2190325,2134849,2084891,2096060,2112153,2127124,2132768,2155508,2180056,2207945,2235630,2277194,2318064,2330668,2384464
28,Weighted Average Shares Outstanding Diluted,2583333,2500000,2500000,2211538,2083333,2187500,2193878,2238806,2233333,2266667,2304250,2368421,2331177,2271000,2181750,2216366,2091138,2061620,2046419,2080153,2178971,2201844,2207678,2140633,2088021,2103641,2123968,2129653,2132768,2160104,2180056,2207945,2235630,2277194,2334355,2330668,2418879
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/22701/000002270196000002/0000022701-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270197000001/0000022701-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270198000001/0000022701-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270199000002/0000022701-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/22701/000002270101000001/0000022701-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270102000001/0000022701-02-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/22701/000110465904008711/a04-3963_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/22701/000110465906020685/a06-8005_110k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710107001115/comsys072122_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710108000744/csi081443_10-k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710109000596/0000897101-09-000596-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710110000581/0000897101-10-000581-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710111000407/csi111322_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710112000451/0000897101-12-000451-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710113000372/0000897101-13-000372-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710114000329/csi140930_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710115000326/csi150952_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710116002004/0000897101-16-002004-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710117000402/0000897101-17-000402-index.html,https://www.sec.gov/Archives/edgar/data/22701/000138713118001457/csi180866_10-k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710119000179/0000897101-19-000179-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710120000165/0000897101-20-000165-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710121000260/0000897101-21-000260-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000002270122000004/0000022701-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,17800000,17900000,20400000,14800000,11321374,22239883,19816328,14941254,25842580,26660533,28751172,29427879,29951561,21293448,16787558,22515710,17869712,20059120,13736857,9812737,10443274,12453663,11056426,13928504,13092484,3491160
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11236940,21698905,18635601,12701538,5742314,4602717,5228668,5805276,5540744,- -,9449650,2759024,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,17800000,17900000,20400000,14800000,11321374,22239883,19816328,14941254,25842580,26660533,28751172,29427879,29951561,32530388,38486463,41151311,30571250,25801434,18339574,15041405,16248550,17994407,11056426,23378154,15851508,3491160
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,10700000,12600000,14600000,21100000,26154799,21948218,19541329,23034540,22361365,20214370,19762416,17550391,17243788,15042411,17544136,14461168,14683227,22902323,13839662,17849207,14552191,12183217,13401042,10242405,10177445,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19500000,13900000,18400000,20800000,21200000,27479839,24931739,28958291,24354041,23935421,23156642,25331621,28102468,29398443,24598317,24498935,25986003,33752710,29111656,31109653,24985560,22204902,13984428,16175616,8531112,8696880,194506
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2100000,7900000,1900000,2300000,2460884,2733311,4693592,3879896,4080399,9325011,4565068,5703466,4225336,4796330,5674629,8347913,6910906,5857036,6616852,4013574,2367450,1304366,1702008,7250139,1032420,2842229
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45100000,44500000,56800000,57700000,59400000,67416896,71853151,73009540,66209731,76219765,79356556,78410277,80784204,80819128,76967446,86204163,89946395,85918093,83672449,69905741,61889746,55373093,45466418,42335092,49401810,35758253,6527895
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,9000000,9700000,11400000,11000000,10106044,8136673,7424550,5831711,7040075,7690941,8579932,13944597,12014541,13321825,13214067,14019019,14474913,14941492,18153152,17468420,15719403,12625000,10962000,8605909,7242072,300405
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4638068,5253793,5253793,- -,5264095,5264095,5264095,4560217,4560217,4560217,5990571,5956934,- -,- -,1462503,1462503,- -,- -,- -,2086393,2086393
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,10500000,2900000,8400000,8800000,6728995,- -,- -,- -,5264095,- -,- -,- -,- -,- -,- -,- -,- -,644059,465000,383000,190000,17000,5000,- -,2775361,2330073
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,10500000,2900000,8400000,8800000,6728995,4638068,5253793,5253793,5264095,5264095,5264095,5264095,4560217,4560217,4560217,5990571,5956934,644059,465000,1845503,1652503,17000,5000,- -,4861754,4416466
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7538903,4588267,4883510,5376397,3920978,11540261,6293505,- -,- -,- -,250000,7109212,135240
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2796978,1252757,569037,402418,330042,232011,643667,- -,- -,- -,- -,- -,- -,- -,- -,38136,19068,9534,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,3600000,8100000,6400000,12300000,8946119,3383911,273631,547966,388099,169354,138493,535406,700238,525303,503513,1819421,808308,353763,222081,419056,432017,-293,- -,883370,-7109212,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18200000,23100000,20700000,26200000,32100000,25781158,16158652,15748952,12886227,13261306,13526808,14312562,19976109,17918663,25946248,22866064,26712521,26616552,19860292,30380494,26026484,17803923,12679843,10986068,9748813,12103826,4852111
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63300000,67600000,77500000,83900000,91500000,93198054,88011803,88758492,79095958,89481071,92883364,92722839,100760313,98737791,102913694,109070227,116658916,112534645,103532741,100286235,87916230,73177016,58146261,53321160,59150623,47862079,11380006
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,3200000,2800000,4600000,8100000,5866627,5567390,5291706,2194560,4631722,4900824,3192671,3941648,4126756,4986028,5385558,4398848,9237233,4894869,5180631,8373292,6953710,4554683,5394981,3720445,2378449,798457
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,9100000,9000000,9101438,9000000,7000000,- -,- -,- -,- -,322309,348373,372926,399209,427345,457464,489706,524220,103603,- -,- -,- -,115935,213553,117527
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3374
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456912,635894
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,5400000,5500000,6700000,8000000,6963061,6136412,7595508,6063633,7798077,8131364,6261280,7520869,5615803,7395044,6884611,10561453,5546747,7688275,7290010,6964557,4414453,4405707,6244789,7513664,4388737,1058089
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,8600000,8300000,20400000,25100000,21931126,20703802,19887214,8258193,12429799,13032188,9453951,11784826,10090932,12753998,12669378,15387646,15241444,13072850,12994861,15441452,11368163,8960390,11639770,11350044,7437651,2609967
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3122847,4185033,2401548,2002339,1574993,1117529,627823,103603,- -,- -,- -,- -,- -,- -,50170
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,396360
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,208111,585317,1476969,1381785,809179,1089994,61453,52998,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,1300000,723800,922058,733683,1610744,2416500,688748,798494,400846,77279,228634,123163,15144,28267,408386,- -,-2609967
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,1300000,723800,4044905,4918716,4220403,5004156,3740710,3297808,1837848,1270876,290087,176161,15144,28267,408386,- -,-2163437
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359973,410861,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,8600000,8200000,20400000,25100000,21931126,20703802,19887214,8258193,12429799,13032188,10177751,15829731,15009648,16974401,17673534,19128356,18539252,14910698,14265737,15731539,11544324,8975534,11668037,11758430,623947,446530
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,443869,448685,457922,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,430846,413116,407135,409268,425135,433527,436621,427060,414117,417644,421144,423339,423745,427666,432738,437727,- -,- -,- -,462637,466096,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,36900000,44600000,37900000,41000000,42309918,39463137,40920358,42278484,45456339,47346552,48203511,49784593,50503410,52007261,56769816,61466342,57755178,51323718,47689688,32284061,20596203,7328671,-734001,4649395,4135284,-28349336
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14800000,-15300000,-17000000,-19300000,-21200000,-23360224,-24818363,-69378,195377,366316,-334776,416611,1196966,-208538,-127122,-285637,107606,-588048,-240012,-695158,-666382,-686661,-613379,-751293,-697664,-678767,2283
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34800000,37400000,41700000,44900000,46200000,51886388,52250111,27613163,27954636,30803482,32405873,33488345,33521963,33019154,33641510,34491370,35533273,36404518,37110671,38593230,40129285,42036489,42842056,43387128,42977914,43572114,45364564
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54100000,59000000,69300000,63500000,66400000,71266928,67308001,68871278,70837765,77051272,79851176,82545088,84930582,83728143,85939293,91396693,97530560,93995393,88622043,86020498,72184691,61632692,49170727,41653127,47392282,47494727,17017511
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63300000,67600000,77500000,83900000,91500000,93198054,88011803,88758492,79095958,89481071,92883364,92722839,100760313,98737791,102913694,109070227,116658916,112534645,103532741,100286235,87916230,73177016,58146261,53321164,59150712,48118674,17464041
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4,-89,-256595,-6084035
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63300000,67600000,77500000,83900000,91500000,93198054,88011803,88758492,79095958,89481071,92883364,92722839,100760313,98737791,102913694,109070227,116658916,112534645,103532741,100286235,87916230,73177016,58146261,53321160,59150623,47862079,11380006
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/22701/000002270196000002/0000022701-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270197000001/0000022701-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270198000001/0000022701-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270199000002/0000022701-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/22701/000002270101000001/0000022701-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/22701/000002270102000001/0000022701-02-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/22701/000110465904008711/a04-3963_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/22701/000110465906020685/a06-8005_110k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710107001115/comsys072122_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710108000744/csi081443_10-k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710109000596/0000897101-09-000596-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710110000581/0000897101-10-000581-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710111000407/csi111322_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710112000451/0000897101-12-000451-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710113000372/0000897101-13-000372-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710114000329/csi140930_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710115000326/csi150952_10k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710116002004/0000897101-16-002004-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710117000402/0000897101-17-000402-index.html,https://www.sec.gov/Archives/edgar/data/22701/000138713118001457/csi180866_10-k.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710119000179/0000897101-19-000179-index.html,https://www.sec.gov/Archives/edgar/data/22701/000089710120000165/0000897101-20-000165-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000089710121000260/0000897101-21-000260-index.htm,https://www.sec.gov/Archives/edgar/data/22701/000002270122000004/0000022701-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3100000,2100000,- -,2300000,500000,2800000,4300000,6000000,6700000,6800000,9100000,8300000,10900000,7900000,8800000,6337923,639439,2691075,2717481,4762733,4469798,4495080,7510766,6611417,6043645,9715433,9797866,2238114,-957888,1961873,-9648308,-8113548,-11825632,-6791735,6469049,-1795674,2973647
74,Depreciation and Amortization,1800000,1900000,- -,2200000,1200000,1300000,1500000,1700000,1800000,2100000,2500000,2300000,2500000,3100000,4800000,5098123,5015807,2633671,2463478,2271569,1924487,2354003,2159184,1865111,1698321,1858881,2100735,2133511,2184830,2482300,3312587,3683009,3186458,2214848,1032797,962307,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,-200000,- -,-200000,-100000,-400000,-200000,-400000,700000,-700000,-800000,-666985,-674963,-905114,2215920,733251,-425838,288489,837263,-484944,641574,-518234,1695595,-631626,-317727,790402,2220623,-8456,-91134,19068,9534,9534,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31571,39093,448896,302964,-80886,784785,898760,631875,417489,190721,412776,463274,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35900000,- -,12600000,-11200000,-3000000,11185770,5663579,1972977,4829212,5838428,2534402,2631958,43052,1728818,-6514748,9321337,1023964,-3882100,-77050,-13688719,-10462586,-2443364,-7498902,-5810706,7356444,-9731164,-24402674
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2287237,-2521012,3273730,-189775,-8207253,9057078,-3979435,3249449,2393310,-1237986,-618663,261192,- -
79,Inventory,- -,- -,- -,- -,2200000,-700000,-600000,-100000,-4900000,-1200000,-3300000,1600000,-4600000,1100000,700000,-6455692,2491627,1075464,4945452,1280612,-1999113,-654166,-2740228,-1912971,4908760,69693,-602414,-7705772,4647916,-2039599,6097476,2682835,8268676,-2249296,2469800,-83977,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,827562,407757,-1025703,4819481,-4342626,105602,2941322,-1178120,-2499232,944052,-381293,-1392457,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35900000,35900000,48500000,37300000,34300000,45485770,51149349,53122326,57951538,63789966,66324368,68956326,68999378,70728196,64213448,73534785,74558749,70676649,70599599,56910880,46448294,44004930,36506028,30695322,38051766,28320602,3917928
