,https://roic.ai/company/ICUI,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,3000000,4900000,3300000,2900000,4200000,4700000,5700000,7200000,9400000,11788000,15387000,19682000,22297000,5000000,20274000,25660000,23079000,24300000,26557000,30929000,44669000,41281000,40418000,26335000,44985000,63084000,68644000,28793000,101035000,86870000,103135000
24,Net Income ratio,0.4000,0.4804,0.2895,0.1758,0.1972,0.1911,0.1875,0.1809,0.2000,0.2098,0.2228,0.2242,0.2077,0.0662,0.1287,0.1273,0.1227,0.1187,0.1147,0.1087,0.1478,0.1303,0.1288,0.0852,0.1317,0.1663,0.0531,0.0206,0.0798,0.0683,0.0784
25,EPS,0.36,0.47,0.32,0.27,0.35,0.36,0.47,0.60,0.77,0.95,1.20,1.43,1.62,0.37,1.47,1.78,1.62,1.72,1.80,2.27,3.23,2.90,2.75,1.72,2.84,3.90,3.50,1.41,4.90,4.16,4.86
26,EPS Diluted,0.36,0.47,0.31,0.27,0.35,0.36,0.47,0.57,0.72,0.87,1.07,1.28,1.48,0.33,1.35,1.64,1.51,1.67,1.77,2.23,3.15,2.80,2.65,1.68,2.73,3.66,3.29,1.33,4.69,4.02,4.74
27,Weighted Average Shares Outstanding,8329169,10494753,10307346,10604454,11880852,13262343,11919492,11984301,12232288,12495103,12840556,13792760,13752732,13691139,13810516,14411699,14281696,14144245,14720000,13611000,13835000,14223000,14688000,15282000,15848000,16168000,19614000,20394000,20629000,20907000,21206000
28,Weighted Average Shares Outstanding Diluted,8329169,10494753,10755492,10869565,12109330,13262343,12043486,12633919,13035664,13588279,14454087,15352419,15050437,14960378,15039890,15599132,15265108,14564893,14984000,13855000,14161000,14725000,15274000,15647000,16496000,17254000,20858000,21601000,21545000,21591000,21781000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883984/000110465906015798/0001104659-06-015798-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465907015473/0001104659-07-015473-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465908012370/0001104659-08-012370-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465909011196/0001104659-09-011196-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465910008164/0001104659-10-008164-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465911008318/0001104659-11-008318-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398412000041/0000883984-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398413000016/0000883984-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398414000012/0000883984-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398415000005/0000883984-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398416000057/0000883984-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398417000013/0000883984-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398418000010/0000883984-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398419000007/0000883984-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398420000014/0000883984-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398421000005/0000883984-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398422000014/0000883984-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2400000,2800000,1800000,600000,29700000,2100000,3000000,2000000,1900000,1945000,3901000,4165000,1787000,5616000,6854000,13153000,7873000,55696000,51248000,78850000,99590000,146900000,226022000,275812000,336164000,445082000,290072000,344781000,268670000,396097000,552827000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,36500000,48841000,69126000,84300000,71350000,81725000,79888000,103765000,87770000,56093000,56887000,14507000,60395000,79259000,70869000,70952000,41233000,- -,10061000,37329000,23967000,14687000,14420000
33,Cash and Short-Term Investments,2400000,2800000,1800000,600000,29700000,2100000,3000000,2000000,38400000,50786000,73027000,88465000,73137000,87341000,86742000,116918000,95643000,111789000,108135000,93357000,159985000,226159000,296891000,346764000,377397000,445082000,300133000,382110000,292637000,410784000,567247000
34,Net Receivables,800000,14100000,1600000,2200000,2700000,3000000,3400000,6500000,7100000,12425000,13062000,16633000,29085000,11556000,24822000,26606000,26115000,38423000,47777000,55106000,43571000,49127000,45318000,39051000,57847000,56161000,219600000,201507000,206641000,127769000,105894000
35,Inventory,400000,600000,1200000,2900000,1500000,2200000,1800000,2000000,2100000,1435000,1594000,5749000,3398000,8429000,15435000,16315000,19504000,17930000,41327000,44056000,40423000,36333000,34451000,36933000,43632000,49264000,288657000,311163000,337640000,314928000,290235000
36,Other Current Assets,- -,200000,15400000,8600000,1800000,30900000,32900000,37400000,1800000,2552000,2718000,3362000,5597000,9718000,10763000,11599000,11995000,11246000,10699000,15314000,16429000,13884000,17636000,14464000,26131000,18590000,56272000,32256000,45279000,67296000,66433000
37,Total Current Assets,3600000,17700000,20000000,14300000,35700000,38200000,41100000,47900000,49400000,67198000,90401000,114209000,111217000,117044000,137762000,171438000,153257000,179388000,207938000,207833000,260408000,325503000,394296000,437212000,505007000,569097000,864662000,927036000,882197000,920777000,1029809000
38,PP&E,600000,1100000,3400000,11700000,11600000,10900000,9600000,13800000,24400000,23921000,25122000,34608000,41041000,40934000,52194000,59037000,72708000,69897000,78389000,83545000,83048000,85937000,87861000,86091000,74320000,85696000,398684000,432641000,490550000,513199000,508212000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1478000,1478000,1478000,1478000,1478000,1478000,6463000,5577000,12357000,11195000,31245000,33001000,43439000
40,Intangible Assets,- -,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4166000,2780000,10963000,9781000,11884000,10780000,16782000,14806000,11419000,9952000,8490000,7063000,23936000,22383000,143753000,133421000,211408000,197231000,188311000
41,Intangible Assets,- -,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4166000,2780000,10963000,9781000,11884000,10780000,18260000,16284000,12897000,11430000,9968000,8541000,30399000,27960000,156110000,144616000,242653000,230232000,231750000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11350000,- -,- -,- -,- -,- -,- -,- -,- -,14579000,2025000,- -,12974000,4620000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,963000,4313000,2680000,- -,723000,2878000,2432000,3855000,3710000,4564000,4759000,5642000,7518000,9258000,17099000,21935000,24775000,38654000,27998000,31034000,42604000
44,Other Non-Current Assets,100000,100000,- -,300000,600000,500000,500000,700000,1600000,1741000,856000,3902000,5184000,4010000,2895000,1114000,2313000,8164000,856000,- -,- -,- -,- -,- -,- -,- -,38141000,40419000,48984000,55475000,63743000
45,Total Non-Current Assets,700000,1300000,3600000,12000000,12200000,11400000,10100000,14500000,26000000,25662000,26941000,42823000,53071000,47724000,66775000,72810000,89337000,104046000,101215000,104393000,100704000,103009000,105347000,103890000,121818000,135591000,632289000,658355000,810185000,842914000,850929000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4300000,19000000,23600000,26300000,47900000,49600000,51200000,62400000,75400000,92860000,117342000,157032000,164288000,164768000,204537000,244248000,242594000,283434000,309153000,312226000,361112000,428512000,499643000,541102000,626825000,704688000,1496951000,1585391000,1692382000,1763691000,1880738000
48,Accounts Payable,300000,400000,700000,800000,1000000,1900000,1400000,700000,1000000,1687000,2401000,5046000,3051000,2693000,5078000,8130000,8439000,7879000,18423000,10879000,13251000,11308000,11335000,11378000,13670000,14641000,78228000,120469000,128629000,71864000,81128000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7362000,8740000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1064000,960000,398000,993000,1472000,9062000,6154000,8732000,5989000,1454000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2389000,254000,- -,- -,- -,- -,- -,- -,3326000,3814000,6696000,5566000,- -
52,Other Current Liabilities,2100000,1000000,1400000,800000,1000000,800000,1800000,3400000,6400000,7793000,8264000,6599000,5234000,4761000,8809000,7789000,13036000,14081000,12884000,14629000,16059000,17810000,15551000,17350000,28948000,25896000,128738000,125006000,105781000,109318000,119649000
53,Total Current Liabilities,2400000,1400000,2100000,1600000,2000000,2700000,3200000,4100000,7400000,9480000,10665000,11645000,8285000,7454000,13887000,15919000,21475000,21960000,33696000,25762000,29310000,29118000,26886000,28728000,42618000,40537000,210292000,249289000,248468000,195488000,200777000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47247000,14488000,566000,1201000,- -
56,Deferred Tax Liabilities,- -,- -,- -,100000,200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,529000,3084000,4325000,8443000,5698000,8023000,7144000,5247000,3630000,1376000,1372000,1370000,1487000,721000,2091000,1663000,1490000
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,2890000,- -,4754000,4155000,4081000,3290000,4402000,2746000,2964000,2626000,39671000,57238000,64013000,63074000,62440000
58,Total Non-Current Liabilities,- -,100000,- -,- -,200000,200000,100000,100000,- -,- -,- -,- -,- -,- -,529000,3084000,7215000,8443000,10452000,12178000,11225000,8537000,8032000,4122000,4336000,3996000,88405000,72447000,66670000,65938000,63930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36258000,52147000,- -
61,Total Liabilities,2400000,1500000,2100000,1600000,2200000,2900000,3300000,4200000,7400000,9480000,10665000,11645000,8285000,7454000,14416000,19003000,28690000,30403000,44148000,37940000,40535000,37655000,34918000,32850000,46954000,44533000,298697000,321736000,315138000,261426000,264707000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,900000,887000,887000,1409000,1416000,1416000,1416000,1475000,1475000,1478000,1481000,1486000,1486000,1486000,1510000,1559000,1608000,1633000,2021000,2049000,2074000,2106000,2128000
64,Retained Earnings,-8500000,-3600000,-300000,2600000,6800000,11300000,16900000,24200000,33400000,45610000,61012000,80694000,102991000,107991000,128265000,153925000,177004000,201304000,227861000,258790000,300877000,342158000,382576000,408911000,453896000,516980000,585624000,620747000,721782000,808652000,911787000
65,Other Comprehensive Income/Loss,-500000,-700000,-1300000,-2400000,-4100000,-5200000,-7100000,-9100000,-12500000,-16210000,-19825000,-24350000,177000,480000,-28000,381000,1396000,902000,1187000,-1064000,-3234000,-1429000,2193000,-9554000,-20758000,-21272000,-14959000,-16945000,-15402000,-1522000,-19269000
66,Other Total Stockholders Equity,10900000,21800000,23100000,24500000,43000000,40600000,38100000,43100000,46200000,53093000,64603000,87634000,51419000,46461000,59545000,69106000,34029000,49347000,34476000,15074000,21448000,48642000,78446000,107336000,145125000,162814000,625568000,657804000,668790000,693029000,721385000
67,Total Stockholders Equity,1900000,17500000,21500000,24700000,45700000,46700000,47900000,58200000,68000000,83380000,106677000,145387000,156003000,156348000,189198000,224887000,213904000,253031000,265005000,274286000,320577000,390857000,464725000,508252000,579871000,660155000,1198254000,1263655000,1377244000,1502265000,1616031000
68,Total Liabilities And Stockholders Equity,4300000,19000000,23600000,26300000,47900000,49600000,51200000,62400000,75400000,92860000,117342000,157032000,164288000,163802000,203614000,243890000,242594000,283434000,309153000,312226000,361112000,428512000,499643000,541102000,626825000,704688000,1496951000,1585391000,1692382000,1763691000,1880738000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000,923000,358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4300000,19000000,23600000,26300000,47900000,49600000,51200000,62400000,75400000,92860000,117342000,157032000,164288000,164768000,204537000,244248000,242594000,283434000,309153000,312226000,361112000,428512000,499643000,541102000,626825000,704688000,1496951000,1585391000,1692382000,1763691000,1880738000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/883984/000110465906015798/0001104659-06-015798-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465907015473/0001104659-07-015473-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465908012370/0001104659-08-012370-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465909011196/0001104659-09-011196-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465910008164/0001104659-10-008164-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000110465911008318/0001104659-11-008318-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398412000041/0000883984-12-000041-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398413000016/0000883984-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398414000012/0000883984-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398415000005/0000883984-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398416000057/0000883984-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398417000013/0000883984-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398418000010/0000883984-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398419000007/0000883984-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398420000014/0000883984-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398421000005/0000883984-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/883984/000088398422000014/0000883984-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3000000,4900000,3300000,2900000,4200000,4700000,5700000,7200000,9400000,11788000,15387000,19682000,22297000,5000000,20274000,25660000,23079000,24300000,26557000,30929000,44669000,41281000,40418000,26335000,44985000,63084000,68644000,28793000,101035000,86870000,103135000
74,Depreciation and Amortization,100000,200000,500000,1100000,1800000,2000000,2100000,2400000,3900000,4612000,5034000,5288000,7361000,8598000,9698000,11231000,11796000,14220000,15671000,17345000,18294000,19001000,19506000,19447000,18073000,19050000,66569000,74735000,85210000,94847000,89698000
75,Deferred Income Tax,- -,- -,-400000,- -,300000,- -,-400000,-500000,-1100000,-888000,-37000,528000,1446000,- -,1647000,- -,- -,- -,- -,-530000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18037000,874000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1891000,2708000,3471000,4016000,5563000,5434000,9592000,12827000,15242000,19352000,24241000,21918000,23954000,27341000
77,Change in Working Capital,600000,15100000,1600000,-5200000,21000000,1800000,2400000,5900000,-1800000,15718000,22018000,22828000,368000,6658000,14285000,31644000,-23737000,25646000,16814000,7829000,49027000,65287000,71025000,41074000,53905000,66171000,125810000,23377000,-44018000,91560000,223392000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12375000,-9043000,-8001000,6232000,-5395000,3556000,4912000,-20515000,744000,-54533000,-76742000,-23684000,78049000,13755000
79,Inventory,300000,-300000,-600000,-1700000,1400000,-700000,500000,-200000,-100000,621000,-159000,-2869000,3462000,-5031000,3069000,-785000,-3033000,1447000,2012000,-3670000,3170000,4573000,2319000,-3836000,-8337000,-5501000,181699000,-21770000,-24997000,19196000,20815000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8222000,2673000,-1536000,-31000,-621000,3118000,-463000,46648000,23270000,-2697000,-46415000,2347000
81,Other Working Capital,1200000,16300000,17900000,12700000,33700000,35500000,37900000,43800000,42000000,57718000,79736000,102564000,102932000,109590000,123875000,155519000,131782000,157428000,174242000,182071000,231098000,296385000,367410000,408484000,462389000,528560000,654370000,677747000,633729000,725289000,948681000
82,Other Non-Cash Items,-700000,-17200000,-1700000,2100000,-20300000,-2000000,-1100000,-8400000,4400000,-18470000,-18073000,-20229000,-8643000,5027000,-18532000,-36927000,30374000,-35830000,-13141000,-25949000,-51519000,-64861000,-70657000,-35808000,-74925000,-73606000,-125952000,9069000,-62227000,-56442000,-176902000
83,Cash Provided by Operating Activities,3000000,3000000,3300000,900000,7000000,6500000,8700000,6600000,14800000,12760000,24329000,28097000,22829000,25283000,27372000,31608000,41512000,30227000,48609000,33095000,64487000,66271000,65726000,60640000,54865000,89941000,154423000,160215000,101918000,222752000,267538000
84,CAPEX,-300000,-700000,-3100000,-9400000,-1700000,-1300000,-800000,-6700000,-14800000,-3994000,-6234000,-11894000,-10668000,-7101000,-5509000,-19612000,-23645000,-11351000,-16690000,-23171000,-15824000,-20305000,-19495000,-17593000,-13935000,-24553000,-79682000,-100779000,-106040000,-100390000,-68542000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9484000,-5882000,- -,-32606000,- -,-3224000,- -,-5662000,- -,- -,- -,- -,- -,-27816000,-2584000,-162448000,-1300000,-76133000,- -,-14452000
86,Purchases of Investments,- -,- -,-1800000,-1000000,- -,- -,-2500000,-3900000,-500000,- -,-20285000,-15174000,- -,-23625000,-60413000,-43724000,-38863000,-62945000,-96655000,-23382000,-90502000,-98876000,-86022000,-93588000,-56137000,-118384000,-24743000,-30496000,-26040000,-32825000,-10034000
87,Sales/Maturities of Investments,- -,- -,- -,8000000,4000000,500000,- -,- -,- -,-12300000,- -,- -,12950000,13250000,62250000,19847000,54858000,83272000,107211000,64670000,44391000,77798000,92348000,89426000,83054000,158534000,- -,15440000,41292000,28900000,18000000
88,Other Investing Activites,- -,-12700000,- -,- -,- -,-2000000,- -,100000,- -,- -,- -,- -,-8907000,2660000,2649000,8943000,577000,-5368000,-23433000,1515000,16201000,-1135000,-1031000,-984000,2641000,2076000,-5201000,5706000,-8695000,-2209000,-15659000
89,Cash Used for Investing Activites,-300000,-13400000,-4900000,-2400000,2300000,-2800000,-3300000,-10500000,-15300000,-16294000,-26519000,-36552000,-12507000,-14816000,-33629000,-34546000,-10297000,3608000,-35229000,19632000,-45734000,-41373000,-13120000,-21750000,-11242000,16281000,-266871000,-103370000,-166888000,-98139000,-90687000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000000,- -,- -,-150357000,-607000
91,Common Stock Issued,- -,10700000,600000,300000,16800000,1500000,100000,3500000,2000000,3697000,4146000,8719000,2624000,3192000,7657000,9749000,3492000,- -,- -,- -,- -,2220000,2457000,2485000,2162000,2361000,2705000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5100000,-4600000,-400000,-1700000,-119000,- -,- -,-15324000,-10133000,- -,-6986000,-41000000,-5859000,-20441000,-28648000,-11956000,- -,-3033000,-5836000,-1523000,-17235000,-4057000,-6252000,-18639000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2300000,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,6512000,551000,19840000,2747000,5773000,14090000,19411000,24970000,22698000,24372000,17346000,32003000,14275000,7732000,150317000,-16263000
95,Cash Used/Provided by Financing Activities,-2300000,10700000,600000,300000,16800000,-3600000,-4500000,3100000,400000,3578000,4146000,8719000,-12700000,-6941000,7657000,9275000,-36957000,13981000,-17694000,-22875000,2134000,21631000,24394000,19347000,25011000,2472000,-44349000,8023000,-10907000,-40000,-16870000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,303000,-162000,-38000,462000,7000,-134000,-2250000,-147000,781000,2122000,-8447000,-8282000,224000,1787000,-10159000,-234000,2854000,-3251000
