,https://roic.ai/company/VMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,185800000,210800000,217900000,219900000,220000000,313100000,284600000,294900000,321100000,428505000,408312000,494700000,621600000,755800000,715400000,1094200000,1252943000,1425900000,1597800000,1392941000,1226852000,1253216000,1472565000,1340640000,1432224000,1554625000,1712763000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,86400000,113500000,120600000,140800000,157400000,173900000,208300000,209600000,193200000,190100000,205655000,194676000,200600000,232700000,269300000,283100000,439600000,454877000,512600000,534200000,606453000,532489000,518335000,518928000,513992000,558129000,597727000,598605000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29600000,25400000,66800000,55900000,55700000,56000000,- -,- -,108300000,116100000,175300000,178300000,314800000,314662000,330800000,349600000,385111000,336916000,321110000,337720000,385207000,428864000,430322000,1135881000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16900000,15600000,14400000,169359000,166835000,56300000,58300000,104500000,96400000,185500000,168083000,172300000,170900000,202004000,170197000,144378000,138599000,175956000,175742000,167193000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29600000,25400000,66800000,72800000,71300000,70400000,169359000,166835000,164600000,174400000,279800000,274700000,500300000,482745000,503100000,520500000,587115000,507113000,465488000,476319000,561163000,604606000,597515000,1135881000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,4300000,4700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,9500000,9000000,12000000,11100000,15400000,15100000,18200000,22700000,- -,- -,35000000,35500000,45100000,49300000,89900000,- -,88300000,78900000,71797000,35669000,- -,34906000,43489000,58906000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8800000,-2500000,-3600000,-4300000,-11900000,-11100000,-15400000,6800000,1000000,500000,32589000,32219000,-2600000,-11600000,-23700000,-20300000,-33300000,115511000,38700000,45100000,71362000,90259000,154692000,99532000,70990000,153351000,203293000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,95200000,122900000,130800000,150200000,187100000,199300000,275100000,304300000,283700000,283700000,407603000,393730000,397600000,431000000,570500000,586800000,996500000,1053133000,1142700000,1178700000,1336727000,1165530000,1138515000,1129685000,1189634000,1374992000,1398535000,1734486000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,266200000,308700000,341600000,368100000,407000000,419300000,588200000,588900000,578600000,604800000,836108000,802042000,892300000,1052600000,1326300000,1302200000,2090700000,2306076000,2568600000,2776500000,2729668000,2392382000,2391731000,2602250000,2530274000,2807216000,2953160000,3447249000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,40800000,46900000,43700000,48700000,46000000,46800000,63000000,57000000,55200000,63300000,69979000,90674000,103300000,128600000,136900000,118200000,179800000,234537000,212400000,216100000,196565000,179983000,177488000,227906000,218115000,197957000,268099000,347841000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,9400000,3500000,24000000,18500000,25500000,18800000,43500000,11300000,13998000,30509000,12644000,18501000,31467000,37515000,20456000,12131000,9062000,11638000,13599000,19226000,15133000,2053000,1597000,1127000,11457000,22534000,37895000,18323000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17012000000,10903000000,- -,- -,17130000,22866000,32380000,42361000,32727000,- -,58381000,65697000,68010000,24526000,- -,34906000,43489000,47955000,130018000,135746000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,54400000,61700000,56300000,49000000,55800000,61000000,70700000,-16940398000,-10845309000,68438000,69976000,65003000,82019000,90864000,84108000,125311000,161895000,128020000,135577000,117506000,159992000,170763000,139059000,135974000,245333000,237291000,263946000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,90100000,104800000,129400000,123500000,120500000,121400000,167500000,139000000,140800000,151500000,151061000,179151000,216900000,271000000,280600000,256800000,346900000,408070000,412400000,436600000,397214000,366554000,349848000,402998000,409035000,513779000,673303000,765856000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,35500000,28700000,21900000,20700000,90500000,104300000,202000000,186900000,155500000,134700000,314813000,218757000,202800000,200700000,337100000,160300000,468600000,474415000,472600000,470900000,766654000,756918000,754795000,753888000,741822000,764944000,808633000,1094831000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,42639000,43199000,- -,- -,- -,- -,-89922000,85497000,-88300000,-78924000,-71797000,35669000,35803000,34906000,43489000,47955000,41689000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,16000000,15100000,16800000,20000000,23100000,26800000,37200000,40300000,53100000,22833000,24889000,71300000,70300000,84500000,98800000,449322000,140183000,421900000,425924000,435764000,314800000,268699000,297622000,276166000,336200000,221699000,172965000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,48100000,44700000,37000000,37500000,110500000,127400000,228800000,224100000,195800000,187800000,380285000,286845000,274100000,271000000,421600000,259100000,828000000,700095000,806200000,817900000,1130621000,1107387000,1059297000,1086416000,1061477000,1149099000,1072021000,1267796000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85817000,80202000,147759000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,138200000,149500000,166400000,161000000,231000000,248800000,396300000,363100000,336600000,339300000,531346000,465996000,491000000,542000000,702200000,515900000,1174900000,1108165000,1218600000,1254500000,1527835000,1473941000,1409145000,1489414000,1470512000,1662878000,1745324000,2033652000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,14000000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,27900000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,112500000,137000000,153100000,179400000,200400000,220500000,244900000,264900000,289100000,306900000,324748000,357025000,405600000,496400000,624300000,767400000,850300000,1079698000,1300500000,1562700000,1718662000,1729679000,1874722000,1954344000,2027596000,2173802000,2245035000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94000000,7200000,3400000,-2000000,-2800000,-10400000,-14000000,-24000000,-10049000,-2147000,1207000,-6183000,3626000,16996000,-533000,16953000,63645000,64052000,43938000,-47685000,-134433000,-267218000,-346359000,-279022000,-303185000,-313422000,-309786000,-263127000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000000,1100000,4700000,1800000,- -,- -,- -,- -,-64931000,-67159000,- -,-50067000,-35845000,-30683000,-27536000,-25992000,-25953000,-24688000,-22426000,-20890000,-410296000,-571920000,-612781000,-590386000,-692549000,-776796000,-781087000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,127500000,159300000,175200000,207100000,175900000,170500000,191900000,225800000,242020000,265494000,294655000,328675000,401281000,510613000,624131000,786261000,915892000,1146962000,1349912000,1522025000,1201833000,918441000,943482000,1112836000,1059762000,1111484000,1182062000,1413597000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,265700000,308800000,341600000,368100000,406900000,419300000,588200000,588900000,578620000,604794000,826001000,794671000,892281000,1052613000,1326331000,1302161000,2090792000,2255127000,2568512000,2776525000,2729668000,2392382000,2352627000,2602250000,2530274000,2774362000,2927386000,3447249000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,-100000,- -,- -,100000,- -,- -,- -,-20000,6000,10107000,7371000,19000,-13000,-31000,39000,-92000,50949000,88000,-25000,- -,- -,39104000,- -,- -,32854000,25774000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,266200000,308700000,341600000,368100000,407000000,419300000,588200000,588900000,578600000,604800000,836108000,802042000,892300000,1052600000,1326300000,1302200000,2090700000,2306076000,2568600000,2776500000,2729668000,2392382000,2391731000,2602250000,2530274000,2807216000,2953160000,3447249000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/102729/000010272995000005/0000102729-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272996000020/0000102729-96-000020-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272997000007/0000102729-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272998000004/0000102729-98-000004-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746999011029/0001047469-99-011029-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/102729/000104746903010763/0001047469-03-010763-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746904007232/0001047469-04-007232-index.html,- -,https://www.sec.gov/Archives/edgar/data/102729/000110465906016322/a06-1899_110k.htm,https://www.sec.gov/Archives/edgar/data/102729/000110465907014217/a07-4532_110k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746908001722/a2182782z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746909001743/0001047469-09-001743-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746910001156/0001047469-10-001156-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746911001183/a2202005z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746912001703/0001047469-12-001703-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746913001680/0001047469-13-001680-index.html,https://www.sec.gov/Archives/edgar/data/102729/000104746914001292/a2218400z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000104746915001179/a2223109z10-k.htm,https://www.sec.gov/Archives/edgar/data/102729/000010272916000009/0000102729-16-000009-index.html,https://www.sec.gov/Archives/edgar/data/102729/000162828017002033/0001628280-17-002033-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272918000008/0000102729-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272919000003/0000102729-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272920000004/0000102729-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/102729/000010272921000012/0000102729-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/102729/000010272922000008/0000102729-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,20700000,15500000,-8000000,13200000,5000000,16100000,24800000,21200000,37500000,27600000,26400000,30400000,26700000,33600000,25500000,26881000,39079000,61500000,94700000,132400000,150600000,94400000,228308000,234100000,278500000,183976000,40117000,173232000,116240000,94351000,153769000,140693000,195630000
74,Depreciation and Amortization,- -,- -,- -,- -,8700000,10500000,10800000,12100000,10300000,10400000,12400000,14800000,16400000,19800000,21900000,30270000,36324000,33942000,34597000,38644000,39807000,36541000,35176000,39597000,44748000,59663000,74560000,70218000,77436000,89328000,91144000,82417000,84957000,82827000,82264000,82892000,92577000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4701000,-1946000,-11027000,-1620000,-4502000,7375000,5017000,-84962000,3720000,-10141000,5251000,4858000,-23685000,39755000,-1659000,3940000,-1397000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4736000,6586000,7154000,5931000,5829000,6513000,6730000,7244000,9931000,10706000,10392000,11587000,14874000,- -
77,Change in Working Capital,- -,- -,- -,- -,11000000,- -,- -,- -,- -,80900000,100000,400000,13000000,5000000,-800000,47000000,- -,8500000,15500000,107844000,-48283000,48639000,72800000,124600000,-16600000,288700000,97573000,168627000,147700000,-165473000,-135429000,43070000,166199000,-137962000,-13160000,-37123000,-284739000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84890000,-12708000,907000,50267000,24622000,-49112000,12571000,5408000,-24403000,- -
