,https://roic.ai/company/ALLY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
25,EPS,8.09,9.30,9.76,10.88,11.39,17.02,7.01,5.53,4.44,-5.65,4.53,-24.96,2.61,-2.23,3.01,0.75,1.83,-2.66,2.15,2.05,2.97,4.36,2.89,8.15
26,EPS Diluted,8.09,9.30,9.76,10.88,11.39,17.02,7.01,5.53,4.44,-5.65,4.53,-24.96,2.61,-2.23,3.01,0.75,1.83,-2.66,2.15,2.04,2.95,4.34,2.88,8.11
27,Weighted Average Shares Outstanding,164111520,164111520,164111520,164111520,164111520,164111520,412600700,412600700,412600700,412600700,412600700,412600700,412600700,412600700,412600700,479767470,481155000,482873000,481105000,453704000,425165000,393234000,375629000,375629000
28,Weighted Average Shares Outstanding Diluted,164111520,164111520,164111520,164111520,164111520,164111520,412600700,412600700,412600700,412600700,412600700,412600700,412600700,412600700,412600700,479767470,481934000,483934000,482182000,455350000,427680000,395395000,377101000,377101000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/40729/000004072901500062/0000040729-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072902000015/0000040729-02-000015-index.html,https://www.sec.gov/Archives/edgar/data/40729/000095012403000626/k74335e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012404000762/k82520e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012405001563/k91417e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012406001524/k01870e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012407001471/k12221e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012408000900/k23730e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000119312509039567/0001193125-09-039567-index.html,https://www.sec.gov/Archives/edgar/data/40729/000119312510043252/0001193125-10-043252-index.html,https://www.sec.gov/Archives/edgar/data/40729/000119312511047688/d10k.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072912000011/0000040729-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072913000005/0000040729-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072914000007/gjm2013123110k.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072915000092/ally2014123110k.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072916000473/0000040729-16-000473-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072917000067/0000040729-17-000067-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072918000035/0000040729-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072919000010/0000040729-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072920000005/0000040729-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072921000008/0000040729-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072922000007/0000040729-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,8103000000,17976000000,22718000000,18331000000,18082000000,21027000000,18311000000,16382000000,12838000000,13873000000,7955000000,5933000000,5879000000,6632000000,6118000000,4363000000,4537000000,3555000000,15621000000,5062000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12155000000,- -,- -,- -,- -,- -,- -,14045000000,15017000000,16103000000,28384000000,29685000000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,8103000000,17976000000,22718000000,18331000000,18082000000,21027000000,18311000000,28537000000,12838000000,13873000000,7955000000,5933000000,5879000000,6632000000,20163000000,19380000000,20640000000,31939000000,45306000000,5062000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,6502000000,3549000000,2999000000,2246000000,899000000,879000000,1342000000,672000000,290000000,298000000,158000000,576000000,666000000,802000000,706000000,870000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,111726000000,130736000000,161068000000,190838000000,240141000000,269043000000,238060000000,216994000000,166889000000,129388000000,109091000000,128366000000,139760000000,144274000000,- -,- -,- -,115060000000,120180000000,127847000000,105786000000,90730000000,- -
37,Total Current Assets,- -,111726000000,130736000000,161068000000,198941000000,258117000000,291761000000,262893000000,238625000000,190915000000,149945000000,138527000000,142083000000,154975000000,152901000000,- -,- -,- -,135799000000,140226000000,149289000000,138431000000,136906000000,- -
38,PP&E,- -,30744000000,30564000000,26751000000,26034000000,26269000000,28435000000,32965000000,24762000000,32907000000,26821000000,16331000000,9504000000,9640000000,13832000000,17915000000,19735000000,16506000000,11846000000,9197000000,8981000000,9678000000,10527000000,10862000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2446000000,1827000000,1496000000,1357000000,526000000,525000000,518000000,27000000,- -,- -,- -,240000000,240000000,240000000,393000000,343000000,- -
40,Intangible Assets,- -,6320000000,7173000000,4902000000,2753000000,3777000000,3943000000,4046000000,4989000000,4796000000,2908000000,3554000000,3738000000,2519000000,952000000,- -,- -,- -,- -,- -,- -,69000000,50000000,- -
41,Intangible Assets,- -,6320000000,7173000000,4902000000,2753000000,3777000000,3943000000,6492000000,6816000000,6292000000,4265000000,4080000000,4263000000,3037000000,979000000,- -,- -,- -,240000000,240000000,240000000,462000000,393000000,- -
42,Investments,- -,- -,- -,469000000,587000000,1560000000,1751000000,18207000000,17236000000,17596000000,8445000000,13368000000,16158000000,16407000000,14635000000,17420000000,16408000000,17575000000,15843000000,17485000000,20359000000,32073000000,34339000000,35859000000
43,Tax Assets,- -,3497000000,3574000000,3883000000,3667000000,3650000000,3754000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-3497000000,-3574000000,-4352000000,-4254000000,-5210000000,-5505000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,37064000000,37737000000,31653000000,28787000000,30046000000,32378000000,57664000000,48814000000,56795000000,39531000000,33779000000,29925000000,29084000000,29446000000,- -,- -,- -,27929000000,26922000000,29580000000,42213000000,45259000000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,378221000000,336253000000,304505000000,229007000000,206085000000,201933000000,213143000000,211793000000,151167000000,151828000000,158581000000,191657000000,194070000000,208449000000,222857000000,227424000000,182350000000
47,Total Assets,- -,148790000000,168473000000,192721000000,227728000000,288163000000,324139000000,320557000000,287439000000,247710000000,189476000000,172306000000,172008000000,184059000000,182347000000,151167000000,151828000000,158581000000,163728000000,167148000000,178869000000,180644000000,182165000000,182350000000
48,Accounts Payable,- -,1551000000,1766000000,2381000000,7979000000,8121000000,9353000000,5227000000,4436000000,4223000000,4103000000,2912000000,3096000000,2765000000,1497000000,1302000000,775000000,741000000,1000000000,1121000000,1039000000,1176000000,1014000000,210000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,13223000000,13860000000,15205000000,4451000000,2917000000,7508000000,7680000000,7461000000,7045000000,6288000000,7453000000,11497000000,10521000000,9302000000,5531000000,2136000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,-169000000,249000000,425000000,506000000,756000000,647000000,496000000,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,3497000000,4228000000,4727000000,- -,- -,- -,- -,- -,85000000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,80793000000,94811000000,80400000000,80627000000,94118000000,111003000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
53,Total Current Liabilities,- -,82344000000,96577000000,82781000000,92103000000,106467000000,125083000000,18450000000,18296000000,19428000000,8554000000,5829000000,10689000000,10531000000,8958000000,8347000000,7063000000,8194000000,12497000000,11642000000,10341000000,6707000000,3150000000,- -
54,Long-Term Debt,- -,55324000000,57855000000,93806000000,117794000000,161460000000,176639000000,213191000000,193387000000,159342000000,115935000000,89974000000,86491000000,92559000000,71938000000,69465000000,66558000000,66234000000,54128000000,44226000000,44193000000,34223000000,22193000000,17029000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,5054000000,5002000000,1184000000,602000000,91000000,85000000,86000000,97000000,122000000,151000000,108000000,56000000,32000000,27000000,36000000,104000000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,4364000000,1007000000,1250000000,558000000,302000000,- -,111000000,6000000,- -,- -,- -,- -,- -,- -,67000000,92000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,55324000000,57855000000,93806000000,117794000000,161460000000,176639000000,222609000000,199396000000,161776000000,117095000000,90367000000,86576000000,92756000000,72041000000,69587000000,66709000000,66342000000,54184000000,44258000000,44220000000,34326000000,22389000000,17029000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,503031000000,454170000000,374493000000,276163000000,236005000000,227406000000,246913000000,225532000000,198199000000,196075000000,203290000000,192098000000,186270000000,199480000000,193847000000,186701000000,182329000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000000,187000000,- -
61,Total Liabilities,- -,137668000000,154432000000,176587000000,209897000000,267927000000,301722000000,298872000000,273070000000,232145000000,167622000000,151467000000,151519000000,164688000000,162449000000,136959000000,136429000000,145142000000,150411000000,153654000000,165601000000,166228000000,167462000000,165300000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1052000000,6287000000,12180000000,6972000000,6940000000,6940000000,1255000000,1255000000,696000000,- -,- -,- -,- -,- -,2324000000
63,Common Stock,- -,2200000000,5128000000,5641000000,5641000000,5641000000,5760000000,5760000000,- -,- -,- -,13829000000,19668000000,19668000000,19668000000,20939000000,21038000000,21100000000,21166000000,21245000000,21345000000,21438000000,21544000000,16483000000
64,Retained Earnings,- -,8804000000,9029000000,10815000000,12285000000,14078000000,15491000000,15095000000,7173000000,4649000000,6286000000,-5630000000,-6410000000,-7324000000,-7021000000,-7710000000,-6828000000,-8110000000,-7151000000,-6406000000,-5489000000,-4057000000,-4278000000,-1599000000
65,Other Comprehensive Income/Loss,- -,119000000,-116000000,-644000000,-190000000,1034000000,2332000000,830000000,485000000,952000000,-389000000,460000000,259000000,87000000,311000000,-276000000,-66000000,-231000000,-341000000,-235000000,-539000000,123000000,631000000,-158000000
66,Other Total Stockholders Equity,- -,- -,- -,322000000,95000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-357000000,-1110000000,-2049000000,-3088000000,-3194000000,- -
67,Total Stockholders Equity,- -,11123000000,14041000000,16134000000,17831000000,20236000000,22417000000,21685000000,14369000000,15565000000,21854000000,20839000000,20489000000,19371000000,19898000000,14208000000,15399000000,13439000000,13317000000,13494000000,13268000000,14416000000,14703000000,17050000000
68,Total Liabilities And Stockholders Equity,- -,148791000000,168473000000,192721000000,227728000000,288163000000,324139000000,320557000000,287439000000,247710000000,189476000000,172306000000,172008000000,184059000000,182347000000,151167000000,151828000000,158581000000,163728000000,167148000000,178869000000,180644000000,182165000000,182350000000
69,Minority Interest,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,148790000000,168473000000,192721000000,227728000000,288163000000,324139000000,320557000000,287439000000,247710000000,189476000000,172306000000,172008000000,184059000000,182347000000,151167000000,151828000000,158581000000,163728000000,167148000000,178869000000,180644000000,182165000000,182350000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/40729/000004072901500062/0000040729-01-500062-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072902000015/0000040729-02-000015-index.html,https://www.sec.gov/Archives/edgar/data/40729/000095012403000626/k74335e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012404000762/k82520e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012405001563/k91417e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012406001524/k01870e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012407001471/k12221e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000095012408000900/k23730e10vk.htm,https://www.sec.gov/Archives/edgar/data/40729/000119312509039567/0001193125-09-039567-index.html,https://www.sec.gov/Archives/edgar/data/40729/000119312510043252/0001193125-10-043252-index.html,https://www.sec.gov/Archives/edgar/data/40729/000119312511047688/d10k.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072912000011/0000040729-12-000011-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072913000005/0000040729-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072914000007/gjm2013123110k.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072915000092/ally2014123110k.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072916000473/0000040729-16-000473-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072917000067/0000040729-17-000067-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072918000035/0000040729-18-000035-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072919000010/0000040729-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072920000005/0000040729-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/40729/000004072921000008/0000040729-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/40729/000004072922000007/0000040729-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1327000000,1527000000,1602000000,1786000000,1870000000,2793000000,2894000000,2282000000,2125000000,-2332000000,1868000000,-10298000000,1075000000,-157000000,1196000000,361000000,1150000000,1289000000,1067000000,929000000,1263000000,1715000000,1085000000,3060000000
74,Depreciation and Amortization,4782000000,5025000000,5490000000,5297000000,4842000000,5340000000,6817000000,6746000000,7302000000,7197000000,8972000000,6100000000,4972000000,2713000000,2381000000,2864000000,2936000000,- -,2382000000,1859000000,1649000000,1555000000,1550000000,1261000000
75,Deferred Income Tax,- -,- -,234000000,345000000,-454000000,-463000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-2159000000,29382000000,4777000000,44128000000,28551000000,44812000000,-787000000,-32046000000,-24486000000,-7185000000,-1409000000,1239000000,62000000,846000000,-1263000000,-2412000000,-1073000000,705000000,293000000,410000000,363000000,41000000,-32000000,118813000000
78,Accounts Receivable,- -,- -,- -,- -,-239000000,-88000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-215000000,-615000000,- -,- -,311000000,-290000000,-470000000,-332000000,-651000000,83000000,177000000,-98000000,-311000000,-39000000,-411000000,-127000000,1000000,24000000,148000000,118000000,-229000000,- -
81,Other Working Capital,- -,29382000000,34159000000,78287000000,106838000000,151650000000,1781000000,-587000000,83000000,-557000000,673000000,-680000000,-579000000,63000000,332000000,-434000000,-247000000,-12000000,160000000,74000000,-30000000,-51000000,-93000000,118813000000
82,Other Non-Cash Items,-2000000,-25728000000,-1949000000,-47883000000,-27409000000,-47762000000,539000000,-82000000,365000000,3780000000,4664000000,-2173000000,5498000000,2091000000,2735000000,1688000000,390000000,3101000000,825000000,881000000,875000000,739000000,1136000000,-119212000000
83,Cash Provided by Operating Activities,3948000000,10206000000,10154000000,3673000000,7400000000,4720000000,9463000000,-23100000000,-14694000000,1460000000,14095000000,-5132000000,11607000000,5493000000,5049000000,2501000000,3403000000,5095000000,4567000000,4079000000,4150000000,4050000000,3739000000,4042000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-14381000000,-15763000000,-18251000000,-17268000000,-10544000000,-732000000,-3607000000,-6528000000,-7444000000,-9196000000,-9884000000,-4685000000,-3274000000,-4052000000,-3709000000,-4023000000,-4320000000,- -
85,Acquisitions Net,- -,- -,- -,- -,-182000000,-144000000,9000000,-2000000,8197000000,-194000000,319000000,296000000,161000000,50000000,516000000,7444000000,47000000,1049000000,-309000000,- -,- -,-171000000,- -,-699000000
86,Purchases of Investments,- -,- -,- -,- -,-36392000000,-15529000000,-12783000000,-19165000000,-28184000000,-16682000000,-16202000000,-21148000000,-24116000000,-19377000000,-12816000000,-12304000000,-5417000000,-12250000000,-16872000000,-12260000000,-9522000000,-16211000000,-18750000000,-1346000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,21222000000,9413000000,10526000000,14608000000,29775000000,16129000000,21570000000,14680000000,22399000000,19197000000,13335000000,9136000000,6917000000,11129000000,14415000000,7600000000,5001000000,13349000000,20427000000,376000000
88,Other Investing Activites,-23023000000,-21395000000,-24585000000,-15006000000,-18100000000,-33494000000,-11069000000,34209000000,33199000000,36259000000,15775000000,24032000000,-2460000000,-7470000000,-10146000000,1377000000,5125000000,-4990000000,-2644000000,-15000000,-6279000000,3287000000,11070000000,-9429000000
89,Cash Used for Investing Activites,-23023000000,-21395000000,-24585000000,-15006000000,-33452000000,-39754000000,-27372000000,14154000000,24797000000,18244000000,10918000000,17128000000,-7567000000,-14128000000,-16555000000,-3543000000,-3212000000,-9747000000,-8684000000,-8727000000,-14509000000,-3769000000,8427000000,-11098000000
90,Debt Repayment,- -,- -,- -,- -,-24561000000,-38944000000,-57743000000,-69520000000,-100840000000,-82134000000,-59627000000,-61493000000,-49530000000,-40473000000,-39909000000,-31892000000,-30426000000,-31350000000,-26412000000,-27908000000,-17940000000,-17224000000,-16107000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1247000000,- -,- -,- -,1270000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,2449000000,500000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5925000000,- -,-559000000,-1037000000,-753000000,-939000000,-1039000000,-106000000,- -
93,Dividends Paid,-300000000,-75000000,-1377000000,- -,-400000000,-1000000000,-1500000000,-2500000000,-4755000000,-179000000,-113000000,-1592000000,-1253000000,-819000000,-802000000,-810000000,-268000000,-2571000000,-108000000,-184000000,-242000000,-273000000,-289000000,- -
94,Other Financing Activites,19231000000,11349000000,13809000000,19808000000,49005000000,84583000000,81599000000,74088000000,95004000000,64735000000,31572000000,50858000000,42798000000,51342000000,48748000000,34278000000,30549000000,39940000000,31227000000,30878000000,29842000000,17006000000,16527000000,- -
95,Cash Used/Provided by Financing Activities,18931000000,11274000000,14881000000,20308000000,24044000000,44639000000,22356000000,2068000000,-10591000000,-17578000000,-28168000000,-10980000000,-7985000000,10050000000,8037000000,-3079000000,-145000000,5460000000,3670000000,2033000000,10721000000,-1530000000,25000000,- -
96,Effect of Forex Changes on Cash,2000000,- -,-6000000,-22000000,10000000,268000000,295000000,-45000000,152000000,92000000,629000000,-602000000,102000000,49000000,-58000000,45000000,-1000000,-4000000,1000000,3000000,-5000000,3000000,3000000,- -
97,Net Change In Cash,-141000000,86000000,444000000,8953000000,-1998000000,9873000000,4742000000,-6923000000,-336000000,2218000000,-2526000000,-363000000,-3118000000,1365000000,-5522000000,-1982000000,45000000,804000000,-446000000,-2612000000,357000000,-1246000000,12194000000,- -
98,Cash at the End of Period,-141000000,86000000,444000000,8953000000,-1998000000,9873000000,22718000000,15795000000,15459000000,17677000000,15151000000,14788000000,11670000000,13035000000,7513000000,5531000000,5576000000,6380000000,5934000000,5269000000,5626000000,4380000000,16574000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,17976000000,22718000000,15795000000,15459000000,17677000000,15151000000,14788000000,11670000000,13035000000,7513000000,5531000000,5576000000,6380000000,7881000000,5269000000,5626000000,4380000000,- -
100,Free Cash Flow,3948000000,10206000000,10154000000,3673000000,7400000000,4720000000,-4918000000,-38863000000,-32945000000,-15808000000,3551000000,-5864000000,8000000000,-1035000000,-2395000000,-6695000000,-6481000000,410000000,1293000000,27000000,441000000,27000000,-581000000,4042000000
