,https://roic.ai/company/ALCO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2100000,2400000,2700000,3900000,3900000,4500000,5800000,8000000,6400000,7500000,2500000,2800000,3000000,3400000,3500000,4415614,5471128,10806157,6319000,6471000,10664000,11759000,13474000,11478000,9096000,6458000,8196000,8490000,9739000,12234000,16894000,13213000,15024000,15058000,15146000,10998000,9453000
11,COGS and Expenses,9100000,9800000,10800000,12100000,12700000,14400000,19000000,24500000,23600000,26100000,23900000,28200000,29100000,32600000,35800000,38710519,45176829,50312924,43582000,45390000,53204000,74452000,118609000,113803000,96786000,76327000,83355000,103445000,89726000,80824000,134060000,122350000,135923000,70746000,77037000,85586000,94124000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,919000,- -,- -,704000,131000,59000,- -,-148000,39000,49000,- -,23000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5430000,6879000,2020000,1616000,1257000,969000,8373000,9893000,9289000,8561000,7180000,5883000,3987000
14,Depreciation and Amortization,900000,1000000,1100000,2000000,2100000,2700000,3800000,3600000,3800000,3900000,4200000,4100000,4200000,4700000,5400000,5118854,6946005,6982221,6723000,6509000,6957000,8590000,8770000,8317000,7544000,7221000,7327000,8429000,- -,- -,- -,- -,- -,- -,- -,- -,15122000
15,EBITDA,13000000,8500000,6800000,13600000,16200000,9900000,12300000,11000000,10600000,15600000,18600000,10900000,22100000,15700000,12500000,25693828,27058320,16775418,25807000,34309000,16195000,21274000,28172000,12265000,9487000,12276000,21874000,39507000,32932000,12752000,35042000,22407000,-4008000,22001000,57796000,37208000,65535000
16,EBITDA ratio,0.6599,0.5247,0.4304,0.5887,0.6255,0.4760,0.4522,0.3492,0.3855,0.4171,0.4831,0.3105,0.4784,0.3668,0.2880,0.4342,0.4296,0.3411,0.5345,0.6591,0.2917,0.2747,0.2089,0.1054,0.1060,0.1539,0.2219,0.3106,0.3239,0.1438,0.2289,0.1554,-0.0309,0.2707,0.4728,0.4022,0.6037
17,Operating Income,10600000,6400000,5000000,11000000,13200000,6400000,8200000,7000000,3900000,11300000,14600000,6900000,17100000,10200000,7600000,20464413,17804236,-1127561,4703000,6667000,2321000,2982000,16228000,2579000,-7258000,3465000,15237000,23742000,11935000,7856000,19059000,21846000,-6094000,10535000,45214000,6921000,14440000
18,Operating Income ratio,0.5381,0.3951,0.3165,0.4762,0.5097,0.3077,0.3015,0.2222,0.1418,0.3021,0.3792,0.1966,0.3701,0.2383,0.1751,0.3458,0.2827,-0.0229,0.0974,0.1281,0.0418,0.0385,0.1204,0.0222,-0.0811,0.0434,0.1545,0.1867,0.1174,0.0886,0.1245,0.1515,-0.0469,0.1296,0.3698,0.0748,0.1330
19,Total Other Income Expenses (Gains),1500000,1100000,700000,600000,900000,800000,300000,400000,600000,400000,-100000,-100000,700000,-9100000,-500000,110561,2308079,10920758,14381000,21133000,6917000,9702000,3174000,2259000,3771000,-5289000,-2710000,5720000,19740000,3927000,7579000,-9366000,-7248000,2655000,5019000,24456000,31947000
20,Income Before Tax,12100000,7500000,5700000,11600000,14100000,7200000,8500000,7400000,4500000,11700000,14500000,6800000,17800000,1100000,7100000,20574974,20112315,9793197,19084000,27800000,9238000,12684000,19402000,4838000,-3487000,-1824000,12527000,29462000,31675000,11783000,26638000,12480000,-13342000,13190000,50233000,31377000,46387000
21,Income Before Tax Ratio,0.6142,0.4630,0.3608,0.5022,0.5444,0.3462,0.3125,0.2349,0.1636,0.3128,0.3766,0.1937,0.3853,0.0257,0.1636,0.3477,0.3193,0.1991,0.3952,0.5340,0.1664,0.1638,0.1439,0.0416,-0.0389,-0.0229,0.1271,0.2316,0.3116,0.1329,0.1740,0.0865,-0.1028,0.1623,0.4109,0.3392,0.4273
22,Income Tax expense (Gain),4600000,2400000,2100000,3600000,5300000,2500000,2800000,2500000,1500000,4000000,5500000,2400000,6700000,4200000,3000000,6464358,4046184,2258192,6425000,9987000,3148000,6215000,33246000,-765000,162000,-1201000,5430000,10973000,12029000,3733000,10905000,5521000,-3846000,390000,12783000,7663000,11567000
23,Net Income,7500000,5100000,3600000,8000000,8800000,4700000,5700000,4900000,5300000,7700000,8900000,4400000,11200000,6800000,4100000,14110616,16066131,7535005,12659000,17813000,6090000,6469000,-13844000,4713000,-3649000,-623000,7097000,18489000,19646000,8050000,15764000,6993000,-9451000,13050000,37833000,23662000,34859000
24,Net Income ratio,0.3807,0.3148,0.2278,0.3463,0.3398,0.2260,0.2096,0.1556,0.1927,0.2059,0.2312,0.1254,0.2424,0.1589,0.0945,0.2385,0.2551,0.1532,0.2622,0.3422,0.1097,0.0835,-0.1027,0.0405,-0.0408,-0.0078,0.0720,0.1454,0.1933,0.0908,0.1030,0.0485,-0.0728,0.1606,0.3095,0.2558,0.3211
25,EPS,1.04,0.71,0.50,1.11,1.24,0.67,0.81,0.70,0.75,1.10,1.27,0.63,1.59,0.96,0.58,2.01,2.29,1.07,1.78,2.47,0.83,0.88,-1.88,0.64,-0.50,-0.08,0.96,2.51,2.69,1.10,1.96,0.84,-1.14,1.59,5.06,3.16,4.64
26,EPS Diluted,1.04,0.71,0.50,1.11,1.24,0.67,0.81,0.70,0.75,1.10,1.27,0.63,1.59,0.96,0.58,2.01,2.29,1.05,1.74,2.44,0.83,0.88,-1.88,0.64,-0.50,-0.08,0.96,2.51,2.67,1.09,1.96,0.84,-1.14,1.57,5.05,3.16,4.64
27,Weighted Average Shares Outstanding,7211538,7183099,7200000,7207207,7096774,7014925,7037037,7000000,7066667,7000000,7027827,7027827,7027827,7027827,7027827,7027827,7032929,7070024,7106000,7219000,7331000,7368000,7369000,7367000,7368000,7374000,7363000,7355000,7313000,7336000,8056000,8303000,8300000,8232000,7472000,7484000,7516000
28,Weighted Average Shares Outstanding Diluted,7211538,7183099,7200000,7207207,7096774,7014925,7037037,7000000,7066667,7000000,7027827,7027827,7027827,7027827,7027827,7027827,7032929,7198191,7256000,7295000,7347000,7379000,7377000,7385000,7368000,7374000,7363000,7355000,7357000,7354000,8061000,8311000,8300000,8301000,7493000,7496000,7519000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3545/000000354595000006/0000003545-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354596000007/0000003545-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354597000006/0000003545-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354598000007/0000003545-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354599000010/0000003545-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354500000007/0000003545-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354501500022/0000003545-01-500022-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354502000031/0000003545-02-000031-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3545/000136231008008222/0001362310-08-008222-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000095012309070551/0000950123-09-070551-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000119312510280251/0001193125-10-280251-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000119312511341017/0001193125-11-341017-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109212007249/0000891092-12-007249-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109213009936/0000891092-13-009936-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109214009303/0000891092-14-009303-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354515000102/0000003545-15-000102-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354516000188/0000003545-16-000188-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354517000091/0000003545-17-000091-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354518000108/0000003545-18-000108-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354519000143/0000003545-19-000143-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000156459020056379/0001564590-20-056379-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000156459021059499/0001564590-21-059499-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13300000,10300000,9600000,9300000,900000,700000,600000,900000,500000,1000000,1100000,1400000,1500000,900000,700000,1796428,6225088,10139659,16352000,24299000,13384000,25065000,34825000,54370000,18794000,10926000,1336000,13328000,24583000,30779000,7360000,6625000,3395000,25260000,18630000,3163000,886000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9400000,9600000,11400000,12300000,15000000,18055099,18726723,21417046,38820000,55570000,70824000,50100000,46242000,24267000,3410000,1439000,989000,257000,260000,263000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13300000,10300000,9600000,9300000,900000,700000,600000,900000,500000,1000000,10500000,11000000,12900000,13200000,15700000,19851527,24951811,31556705,55172000,79869000,84208000,75165000,81067000,78637000,22204000,12365000,2325000,13585000,24843000,31042000,7360000,6625000,3395000,25260000,18630000,3163000,886000
34,Net Receivables,600000,2200000,3300000,4400000,3500000,3000000,3600000,4700000,5600000,7600000,8000000,10400000,8400000,11200000,8100000,14463755,12635659,12183210,12214000,19101000,13586000,8679000,16225000,14612000,7995000,5461000,3627000,4398000,4266000,3847000,6340000,5753000,4286000,2544000,713000,5128000,9338000
35,Inventory,100000,100000,100000,3800000,5300000,7100000,10000000,9300000,9000000,10700000,13100000,13300000,16400000,17600000,20500000,21915039,23246609,21671964,21845000,26273000,22711000,24545000,25214000,27451000,18737000,18601000,22373000,27290000,29403000,19929000,55142000,58469000,36204000,41033000,40143000,40855000,43377000
36,Other Current Assets,- -,- -,100000,- -,7500000,7500000,7700000,7700000,8500000,9000000,100000,200000,200000,400000,900000,348062,510760,855447,973000,682000,8472000,2524000,4710000,2430000,2399000,1014000,856000,6194000,1283000,57254000,1838000,2261000,22604000,3403000,2491000,2753000,1312000
37,Total Current Assets,14000000,12600000,13100000,17500000,17200000,18300000,21900000,22600000,23600000,28300000,31700000,34900000,37900000,42400000,45200000,56578383,61344839,66267326,90204000,125925000,128977000,110913000,127216000,123130000,51335000,37441000,29181000,51467000,59795000,112072000,70680000,73108000,66489000,72240000,61977000,51899000,54913000
38,PP&E,15100000,22100000,27100000,30300000,37200000,45200000,52800000,56800000,60300000,63100000,66800000,69300000,69900000,77900000,101000000,104855889,103473990,105254422,104837000,105686000,105954000,131351000,128990000,125412000,119048000,124973000,128780000,122834000,131071000,87432000,381667000,379247000,349337000,340403000,345648000,350835000,373231000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2246000,2246000,2246000,2246000,2246000,2246000,2246000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2246000,2246000,2246000,2246000,2246000,2246000,2246000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16365000,12503000,7710000,6499000,2902000,1663000,689000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3950000,6056000,7356000,9159000,8672000,2168000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1700000,2400000,2100000,2100000,3200000,5800000,5700000,6200000,6600000,10800000,10500000,10300000,9900000,10300000,10700000,15441768,14314751,20387952,17707000,6631000,12763000,20489000,20731000,19334000,22496000,879000,899000,904000,1475000,1161000,4324000,3372000,1110000,8533000,7517000,18957000,2827000
45,Total Non-Current Assets,16800000,24500000,29200000,32400000,40400000,51000000,58500000,63000000,66900000,73900000,77300000,79600000,79800000,88200000,111700000,120297657,117788741,125642374,122544000,112317000,118717000,151840000,153671000,150802000,148900000,151376000,150854000,133616000,139045000,91495000,389900000,385554000,352693000,351182000,355411000,372038000,378304000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30800000,37100000,42300000,49900000,57600000,69300000,80400000,85600000,90500000,102200000,109000000,114500000,117700000,130600000,156900000,176876040,179133580,191909700,212748000,238242000,247694000,262753000,280887000,273932000,200235000,188817000,180035000,185083000,198840000,203567000,460580000,458662000,419182000,423422000,417388000,423937000,433217000
48,Accounts Payable,- -,- -,- -,- -,1100000,1300000,900000,1300000,800000,1400000,900000,1100000,1200000,1500000,2600000,2429242,1810094,1437756,2110000,1743000,2180000,1966000,2328000,1847000,1283000,1988000,2946000,4929000,1729000,1729000,4022000,5975000,3192000,3764000,4163000,3533000,7274000
49,Short-Term Debt,- -,1500000,4700000,- -,2200000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1298890,1301146,3318524,3321000,3319000,3309000,3315000,1350000,5470000,5122000,1281000,3279000,3267000,2000000,2000000,4788000,4781000,4550000,5275000,5338000,9657000,4285000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000,2805000,6422000,2640000,2736000,2648000,4516000,7653000,2057000,2018000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1987000,3471000,938000,965000,- -,- -,- -,- -,- -
52,Other Current Liabilities,1300000,2100000,1800000,3600000,2300000,1400000,2500000,3500000,2100000,4300000,4800000,4000000,3800000,3800000,4800000,8618145,4579360,4786729,5291000,5074000,12330000,12797000,13841000,10883000,6239000,4643000,5602000,8952000,5775000,8496000,13885000,7010000,8241000,12459000,19450000,7968000,10747000
53,Total Current Liabilities,1300000,3600000,6500000,3600000,5600000,5200000,3400000,4800000,2900000,5700000,5700000,5100000,5000000,5600000,8700000,12346277,7690600,9543009,10722000,10136000,17819000,18078000,17519000,18200000,12644000,7912000,11827000,17148000,11491000,15696000,23633000,18731000,15983000,21498000,28951000,21158000,22306000
54,Long-Term Debt,700000,- -,- -,- -,- -,7400000,14900000,13700000,17700000,18700000,16100000,20600000,12900000,23200000,45600000,40302855,46704954,52657508,54127000,48266000,48039000,60687000,135539000,132288000,73806000,72179000,53879000,36633000,34000000,32000000,201370000,197726000,180159000,170196000,156742000,140897000,121023000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29122000,28440000,26440000,24928000,- -,- -,- -
56,Deferred Tax Liabilities,1000000,2400000,2700000,4000000,5500000,7600000,8500000,9700000,8100000,9400000,11700000,11300000,11700000,11700000,10800000,10889095,11909252,9727889,9668000,11445000,13424000,14807000,- -,- -,- -,- -,- -,- -,6584000,5739000,24134000,31004000,27108000,25153000,32125000,39728000,41977000
57,Other Non-Current Liabilities,200000,400000,400000,700000,600000,500000,400000,400000,500000,400000,100000,100000,-100000,100000,400000,9792809,203416,6763795,12049000,23197000,24226000,28078000,8883000,7951000,6909000,3489000,3667000,3756000,4029000,4695000,4722000,4498000,4123000,4052000,172000,372000,306000
58,Total Non-Current Liabilities,1900000,2800000,3100000,4700000,6100000,15500000,23800000,23800000,26300000,28500000,27900000,32000000,24500000,35000000,56800000,60984759,58817622,69149192,75844000,82908000,85689000,103572000,144422000,140239000,80715000,75668000,57546000,40389000,44613000,42434000,259348000,261668000,237830000,224329000,189039000,180997000,163306000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000,865000,588000,- -,- -,- -,868000,- -
61,Total Liabilities,3200000,6400000,9600000,8300000,11700000,20700000,27200000,28600000,29200000,34200000,33600000,37100000,29500000,40600000,65500000,73331036,66508222,78692201,86566000,93044000,103508000,121650000,161941000,158439000,93359000,83580000,69373000,57537000,56104000,58130000,282981000,280399000,253813000,245827000,217990000,202155000,185612000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,7000000,7000000,7000000,7000000,7027827,7044513,7080344,7116000,7309000,7369000,7376000,7376000,7376000,7377000,7379000,7377000,7377000,7377000,7377000,8416000,8416000,8416000,8416000,8416000,8416000,8416000
64,Retained Earnings,25300000,28400000,25500000,34800000,42100000,45400000,50100000,53900000,54300000,60900000,68100000,70100000,80200000,82800000,83300000,95339847,104378151,104854116,115031000,128560000,125439000,124352000,102402000,98799000,90068000,88720000,94935000,111659000,128679000,134968000,147049000,151504000,140033000,151111000,198049000,219019000,243651000
65,Other Comprehensive Income/Loss,-5400000,-6200000,-7200000,-12200000,-14100000,-16300000,-18300000,-21200000,-20300000,-22400000,-25000000,-27700000,-26800000,-29200000,-31400000,-31966492,-34878310,-37100353,961000,1529000,2195000,-29000,45000,-92000,-59688000,- -,-65104000,-65220000,-71857000,-63031000,-69621000,-83122000,-82443000,-91858000,-104169000,-115440000,- -
66,Other Total Stockholders Equity,7700000,8500000,14400000,19000000,17900000,19500000,21400000,24300000,27300000,29500000,25300000,28000000,27800000,29400000,32500000,33143822,36081004,38383392,3074000,7800000,- -,- -,- -,9410000,69119000,9138000,73454000,73730000,78537000,66123000,86948000,96692000,94635000,104448000,92007000,104346000,-9864000
67,Total Stockholders Equity,27600000,30700000,32700000,41600000,45900000,48600000,53200000,57000000,61300000,68000000,75400000,77400000,88200000,90000000,91400000,103545004,112625358,113217499,126182000,145198000,144186000,141103000,118946000,115493000,106876000,105237000,110662000,127546000,142736000,145437000,172792000,173490000,160641000,172117000,194303000,216341000,242203000
68,Total Liabilities And Stockholders Equity,30800000,37100000,42300000,49900000,57600000,69300000,80400000,85600000,90500000,102200000,109000000,114500000,117700000,130600000,156900000,176876040,179133580,191909700,212748000,238242000,247694000,262753000,280887000,273932000,200235000,188817000,180035000,185083000,198840000,203567000,455773000,453889000,414454000,417944000,412293000,418496000,427815000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4807000,4773000,4728000,5478000,5095000,5441000,5402000
70,Total Liabilities & Equity,30800000,37100000,42300000,49900000,57600000,69300000,80400000,85600000,90500000,102200000,109000000,114500000,117700000,130600000,156900000,176876040,179133580,191909700,212748000,238242000,247694000,262753000,280887000,273932000,200235000,188817000,180035000,185083000,198840000,203567000,460580000,458662000,419182000,423422000,417388000,423937000,433217000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3545/000000354595000006/0000003545-95-000006-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354596000007/0000003545-96-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354597000006/0000003545-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354598000007/0000003545-98-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354599000010/0000003545-99-000010-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354500000007/0000003545-00-000007-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354501500022/0000003545-01-500022-index.html,https://www.sec.gov/Archives/edgar/data/3545/000000354502000031/0000003545-02-000031-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/3545/000136231008008222/0001362310-08-008222-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000095012309070551/0000950123-09-070551-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000119312510280251/0001193125-10-280251-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000119312511341017/0001193125-11-341017-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109212007249/0000891092-12-007249-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109213009936/0000891092-13-009936-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000089109214009303/0000891092-14-009303-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354515000102/0000003545-15-000102-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354516000188/0000003545-16-000188-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354517000091/0000003545-17-000091-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354518000108/0000003545-18-000108-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000000354519000143/0000003545-19-000143-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000156459020056379/0001564590-20-056379-index.htm,https://www.sec.gov/Archives/edgar/data/3545/000156459021059499/0001564590-21-059499-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,8800000,4700000,5700000,4900000,5300000,7700000,8900000,4400000,11200000,6800000,4100000,14110616,16066131,7535005,12659000,17813000,6090000,6469000,-13844000,4713000,-3649000,-623000,7097000,18489000,19646000,8050000,15764000,6993000,-9451000,13050000,37833000,23662000,34859000
74,Depreciation and Amortization,- -,- -,- -,- -,2100000,2700000,3800000,3600000,3800000,3900000,4200000,4100000,4200000,4700000,5400000,5118854,6946005,6982221,6723000,6509000,6957000,8590000,8770000,8317000,7544000,7221000,7327000,8429000,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,1100000,1600000,1400000,800000,-1700000,1500000,2900000,-600000,-300000,700000,-600000,-613097,1178810,1263260,582000,472000,3209000,680000,-21351000,-1694000,-1288000,-259000,563000,6005000,9062000,-845000,12351000,5277000,-3948000,-1955000,3267000,7603000,2249000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865000,353000,415000,458000,923000,1256000,1126000,925000,1653000,2613000,824000,1306000,1230000
77,Change in Working Capital,- -,- -,- -,- -,-2200000,5400000,-700000,2900000,1900000,3400000,3800000,3100000,3900000,-300000,7732106,9422133,3070078,22757683,36307000,-4631000,-18323000,16862000,-26909000,-66239000,-9162000,-12175000,16965000,13985000,48072000,-49329000,7330000,-3871000,236000,-17716000,-2285000,1866000,-3419000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3101000,-2627000,1230000,-143000,-1195000,419000,5468000,-1707000,142000,1718000,1531000,-3634000,-1758000
79,Inventory,- -,- -,- -,- -,-1500000,-1800000,-2900000,800000,200000,-1000000,-2400000,-200000,-2800000,-1900000,-3800000,-2214387,-1701762,1059247,-173000,474000,-692000,-4159000,-669000,-219000,5759000,136000,-3772000,-4917000,-2113000,9474000,9708000,-196000,3724000,-6554000,82000,-712000,-2522000
