,https://roic.ai/company/DLHC,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.1176,0.0870,0.0357,0.0313,-0.1622,-0.1714,-0.1522,- -,-0.0316,0.0136,0.0105,-0.0298,-0.0040,-0.0204,0.0136,0.0131,0.0054,0.0052,0.0059,-0.0463,-0.0814,-0.0491,-0.0257,-0.0304,0.0098,0.0084,-0.1061,-0.1007,-0.0437,0.0046,0.0126,0.0382,0.0475,0.0573,0.0659,0.0621,0.0643,0.0700
19,Total Other Income Expenses (Gains),- -,100000,100000,200000,100000,-600000,-300000,- -,- -,-100000,-100000,-1200000,300000,100000,-500000,-600000,-1039000,-315000,949000,381000,189000,6000,-283000,-1464000,527000,-38000,-261000,-367000,125000,-407000,-4000,744000,-1618000,-1228000,-1116000,-2473000,-3441000,-3784000
20,Income Before Tax,200000,300000,200000,300000,-500000,-1200000,- -,- -,- -,100000,300000,-3400000,- -,- -,1400000,2600000,1379000,3094000,4860000,-2524000,-2848000,-2733000,-2210000,-3497000,1248000,348000,-4598000,-4590000,-2026000,-159000,760000,3240000,2446000,5402000,7666000,7495000,10020000,13439000
21,Income Before Tax Ratio,0.1176,0.1304,0.0714,0.0938,-0.1351,-0.3429,- -,- -,- -,0.0068,0.0079,-0.0461,- -,- -,0.0100,0.0106,0.0031,0.0048,0.0073,-0.0402,-0.0764,-0.0490,-0.0295,-0.0523,0.0170,0.0076,-0.1125,-0.1095,-0.0412,-0.0030,0.0126,0.0496,0.0286,0.0467,0.0575,0.0467,0.0479,0.0546
22,Income Tax expense (Gain),100000,100000,100000,100000,-100000,-100000,- -,- -,- -,-200000,-400000,-100000,- -,- -,-1300000,800000,428000,1316000,1785000,-930000,-1083000,-1039000,16017000,-123000,60000,-28000,- -,- -,- -,- -,-4597000,-5488000,-938000,2114000,5830000,2171000,2906000,3294000
23,Net Income,100000,200000,200000,200000,-400000,-1100000,-1100000,-400000,-700000,300000,700000,-3300000,-600000,-2800000,2700000,1800000,951000,1424000,3075000,-28885000,-4079000,-2489000,-13247000,-8067000,1146000,-4355000,-5807000,-4320000,-2026000,-159000,5357000,8728000,3384000,3288000,1836000,5324000,7114000,10145000
24,Net Income ratio,0.0588,0.0870,0.0714,0.0625,-0.1081,-0.3143,-0.2391,-0.0455,-0.0737,0.0204,0.0184,-0.0447,-0.0059,-0.0228,0.0193,0.0074,0.0021,0.0022,0.0046,-0.4599,-0.1094,-0.0446,-0.1767,-0.1206,0.0156,-0.0946,-0.1421,-0.1030,-0.0412,-0.0030,0.0886,0.1336,0.0395,0.0284,0.0138,0.0332,0.0340,0.0412
25,EPS,0.50,1.00,0.67,0.67,-1.33,-3.74,-4.14,-1.26,-2.21,0.55,0.83,-3.31,-0.55,-2.07,1.93,0.97,0.47,0.63,0.75,-7.25,-1.02,-0.55,-2.72,-0.95,0.24,-0.88,-1.13,-0.78,-0.29,-0.02,0.55,0.90,0.34,0.29,0.15,0.44,0.58,0.81
26,EPS Diluted,0.50,1.00,0.67,0.67,-1.33,-3.74,-4.14,-1.26,-2.21,0.55,0.71,-3.31,-0.55,-2.07,1.93,0.97,0.47,0.63,0.75,-7.25,-1.02,-0.55,-2.72,-0.95,0.24,-0.88,-1.13,-0.78,-0.29,-0.02,0.53,0.86,0.30,0.27,0.14,0.41,0.54,0.75
27,Weighted Average Shares Outstanding,200000,200000,300000,300000,300000,293779,265800,317148,317148,543682,845728,985493,1220714,1382359,1396969,1808365,2018121,2205636,4062932,3991499,3986932,4619199,4891185,4893722,4938376,4972882,5107860,5541212,7130504,9448476,9712344,9715388,9966000,11345000,11881000,12018000,12282000,12549000
28,Weighted Average Shares Outstanding Diluted,200000,200000,300000,300000,300000,293779,265800,317148,317148,543682,986683,986683,1268592,1404513,1406494,1812826,2027442,2259942,4106044,3991499,3986932,4619199,4891185,4893722,4947510,5160634,5107860,5541212,7130504,9448476,9985345,10188320,11220000,12352000,12873000,13041000,13105000,13597000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785557/000095013604004523/0000950136-04-004523-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013605008205/0000950136-05-008205-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013606010475/0000950136-06-010475-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013608000162/0000950136-08-000162-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000136231008008525/0001362310-08-008525-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095012310003294/0000950123-10-003294-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095012311013827/0000950123-11-013827-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000104746911009874/0001047469-11-009874-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000104746912011231/0001047469-12-011231-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555713000040/0000785557-13-000040-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555714000055/0000785557-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555715000042/0000785557-15-000042-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555716000151/0000785557-16-000151-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828017012307/0001628280-17-012307-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828018015050/0001628280-18-015050-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828019014978/0001628280-19-014978-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555720000016/0000785557-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555721000026/0000785557-21-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,700000,- -,600000,- -,100000,200000,100000,1000000,200000,- -,- -,800000,1500000,1900000,4285000,13854000,12455000,4329000,3060000,1304000,2157000,592000,5213000,2992000,1187000,763000,3089000,3408000,3908000,5558000,3427000,4930000,6355000,1790000,1357000,24051000
32,Short-Term Investments,- -,600000,1800000,2400000,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,700000,2500000,2500000,1900000,- -,100000,200000,100000,1000000,200000,- -,- -,800000,1500000,1900000,4285000,13854000,12455000,4329000,3060000,1304000,2157000,592000,5213000,2992000,1187000,763000,3089000,3408000,3908000,5558000,3427000,4930000,6355000,1790000,1357000,24051000
34,Net Receivables,- -,400000,400000,600000,800000,600000,800000,1000000,900000,1200000,2700000,4900000,6300000,5800000,6900000,13600000,21117000,25149000,24569000,4926000,3013000,9470000,8712000,8279000,12892000,11427000,11324000,11112000,13028000,11943000,12706000,3559000,7011000,12269000,10639000,23527000,33904000,34442000
35,Inventory,- -,- -,- -,100000,100000,100000,- -,100000,- -,100000,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,100000,100000,100000,100000,500000,800000,1600000,1200000,1200000,700000,2400000,2896000,3257000,6761000,6356000,4157000,3250000,2017000,1600000,1169000,2192000,856000,697000,649000,599000,260000,1138000,168000,240000,401000,1530000,2136000,3270000
37,Total Current Assets,- -,1100000,2900000,3200000,2800000,800000,1000000,1400000,1100000,2800000,3700000,6500000,7800000,7800000,9100000,17900000,28298000,42260000,43785000,15611000,10230000,14024000,12886000,10471000,19274000,16611000,13367000,12572000,16766000,15950000,16874000,10255000,10606000,17439000,17395000,26847000,37397000,61763000
38,PP&E,- -,200000,300000,200000,500000,800000,700000,500000,600000,500000,500000,800000,800000,900000,800000,800000,1090000,2735000,1801000,1218000,917000,1266000,879000,741000,695000,260000,334000,214000,268000,156000,63000,336000,644000,1391000,1566000,5343000,25766000,21831000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27167000,- -,- -,- -,11986000,10305000,10305000,8595000,8595000,8595000,8595000,8595000,8595000,8595000,34745000,25989000,25989000,52758000,67144000,65643000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,500000,500000,500000,700000,2900000,5100000,4800000,4300000,4100000,16800000,19633000,37550000,13484000,5909000,5909000,14480000,4569000,4569000,4569000,3924000,2583000,- -,- -,- -,- -,- -,7559000,15127000,13365000,41208000,52612000,47469000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,500000,500000,500000,700000,2900000,5100000,4800000,4300000,4100000,16800000,19633000,37550000,40651000,5909000,5909000,14480000,16555000,14874000,14874000,12519000,11178000,8595000,8595000,8595000,8595000,8595000,42304000,41116000,39354000,93966000,119756000,113112000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6984000,6680000,14875000,16723000,17848000,- -,- -,- -,- -,- -,- -,- -,- -,4513000,9325000,11415000,9639000,4137000,2345000,37000,- -
44,Other Non-Current Assets,- -,100000,- -,100000,100000,1200000,100000,200000,400000,300000,600000,1400000,1400000,1200000,2600000,900000,493000,1567000,1049000,23004000,3650000,2436000,456000,82000,151000,267000,360000,536000,793000,1057000,27000,113000,105000,139000,89000,757000,606000,464000
45,Total Non-Current Assets,- -,300000,300000,300000,600000,2000000,1300000,1200000,1500000,1500000,4000000,7300000,7000000,6400000,7500000,18500000,21216000,48836000,50181000,45006000,27199000,36030000,17890000,15697000,15720000,13046000,11872000,9345000,9656000,9808000,13198000,18369000,54468000,52285000,45146000,102411000,146165000,135407000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1400000,3200000,3500000,3400000,2800000,2300000,2600000,2600000,4300000,7700000,13800000,14800000,14200000,16600000,36400000,49514000,91096000,93966000,60617000,37429000,50054000,30776000,26168000,34994000,29657000,25239000,21917000,26422000,25758000,30072000,28624000,65074000,69724000,62541000,129258000,183562000,197170000
48,Accounts Payable,- -,100000,100000,200000,300000,300000,300000,300000,200000,100000,500000,1600000,1600000,2300000,1800000,2900000,7062000,7072000,4252000,669000,731000,1537000,3207000,3727000,2578000,1890000,1887000,1983000,2296000,370000,779000,87000,4324000,5205000,3393000,10054000,14645000,16684000
49,Short-Term Debt,- -,- -,- -,- -,100000,200000,600000,1000000,500000,100000,1200000,6000000,3000000,2800000,500000,1000000,1938000,70000,59000,61000,112000,5669000,1561000,1563000,1569000,1520000,1518000,1459000,2414000,1313000,- -,- -,3560000,3601000,- -,- -,8772000,2261000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1394000,1448000,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22273000
52,Other Current Liabilities,- -,400000,300000,400000,300000,700000,1200000,900000,1100000,600000,900000,2800000,2900000,4100000,3500000,11000000,16233000,22479000,23498000,6575000,3766000,5816000,3715000,3880000,12729000,12327000,13433000,12687000,13557000,16271000,15432000,5559000,6632000,9719000,12540000,19431000,24544000,25158000
53,Total Current Liabilities,- -,500000,400000,600000,700000,1200000,2100000,2200000,1800000,800000,2600000,10400000,7500000,9200000,5800000,14900000,25233000,29621000,27809000,7305000,4609000,13022000,8483000,9170000,16876000,15737000,16838000,16129000,18267000,17954000,16211000,5646000,14516000,18525000,15933000,29485000,47961000,66376000
54,Long-Term Debt,- -,- -,- -,- -,100000,- -,- -,600000,300000,100000,- -,100000,100000,100000,3000000,4500000,6222000,193000,147000,94000,24000,220000,- -,155000,- -,- -,- -,46000,202000,- -,- -,- -,18656000,15126000,- -,53629000,60544000,64010000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1176000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,-100000,200000,200000,100000,100000,- -,- -,-100000,- -,- -,- -,1271000,18108000,1803000,2500000,1089000,249000,232000,104000,13000,188000,203000,20000,15000,109000,126000,218000,7190000,573000,21620000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,100000,- -,- -,500000,500000,300000,100000,200000,100000,100000,2900000,4500000,6222000,193000,1418000,18202000,1827000,2720000,1089000,404000,232000,104000,13000,234000,405000,20000,15000,109000,18782000,15344000,7190000,54202000,82164000,65186000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,247000,183000,128000,47000,26000,8000,51000,22000,- -,- -,- -,- -,- -,- -,23665000,21635000
61,Total Liabilities,- -,500000,400000,600000,800000,1200000,2100000,2700000,2300000,1100000,2600000,10600000,7600000,9300000,8700000,19400000,31455000,29814000,29227000,25507000,6436000,15742000,9572000,9574000,17108000,15841000,16851000,16363000,18672000,17974000,16226000,5755000,33298000,33869000,23123000,83687000,130125000,131562000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,16000,16000,16000,16000,19000,19000,19000,5000,5000,5000,6000,9000,9000,10000,10000,11000,12000,12000,12000,12000,13000
64,Retained Earnings,- -,800000,1000000,1200000,800000,-300000,-1500000,-1900000,-2600000,-2400000,-1800000,-5100000,-5700000,-8500000,-5800000,-4100000,-3110000,-1686000,1313000,-27572000,-31651000,-34140000,-47387000,-52080000,-50934000,-55289000,-61096000,-65416000,-67442000,-67601000,-62244000,-53516000,-50132000,-46844000,-44879000,-39555000,-32443000,-22298000
65,Other Comprehensive Income/Loss,- -,-500000,-600000,-700000,-200000,-1000000,-1200000,-1300000,-1500000,-1700000,-1900000,-2100000,-2200000,-2300000,-2600000,-3000000,-3459000,-3735000,-4289000,-273000,-311000,-158000,-88000,-33000,-5000,- -,-3112000,-346000,-429000,-550000,-656000,-383000,-543000,-829000,-1308000,-2542000,-4726000,- -
66,Other Total Stockholders Equity,- -,600000,2400000,2400000,2000000,2900000,2900000,3100000,4400000,7300000,8800000,10400000,15100000,15700000,16300000,24100000,24620000,66687000,67699000,62939000,62939000,68591000,68660000,68688000,68820000,69100000,72591000,71310000,75612000,75926000,76736000,76758000,82440000,83516000,85593000,87656000,90594000,- -
67,Total Stockholders Equity,- -,900000,2800000,2900000,2600000,1600000,200000,-100000,300000,3200000,5100000,3200000,7200000,4900000,7900000,17000000,18059000,61282000,64739000,35110000,30993000,34312000,21204000,16594000,17886000,13816000,8388000,5554000,7750000,7784000,13846000,22869000,31776000,35855000,39418000,45571000,53437000,65608000
68,Total Liabilities And Stockholders Equity,- -,1400000,3200000,3500000,3400000,2800000,2300000,2600000,2600000,4300000,7700000,13800000,14800000,14200000,16600000,36400000,49514000,91096000,93966000,60617000,37429000,50054000,30776000,26168000,34994000,29657000,25239000,21917000,26422000,25758000,30072000,28624000,65074000,69724000,62541000,129258000,183562000,197170000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1400000,3200000,3500000,3400000,2800000,2300000,2600000,2600000,4300000,7700000,13800000,14800000,14200000,16600000,36400000,49514000,91096000,93966000,60617000,37429000,50054000,30776000,26168000,34994000,29657000,25239000,21917000,26422000,25758000,30072000,28624000,65074000,69724000,62541000,129258000,183562000,197170000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/785557/000095013604004523/0000950136-04-004523-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013605008205/0000950136-05-008205-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013606010475/0000950136-06-010475-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095013608000162/0000950136-08-000162-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000136231008008525/0001362310-08-008525-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095012310003294/0000950123-10-003294-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000095012311013827/0000950123-11-013827-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000104746911009874/0001047469-11-009874-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000104746912011231/0001047469-12-011231-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555713000040/0000785557-13-000040-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555714000055/0000785557-14-000055-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555715000042/0000785557-15-000042-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555716000151/0000785557-16-000151-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828017012307/0001628280-17-012307-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828018015050/0001628280-18-015050-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000162828019014978/0001628280-19-014978-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555720000016/0000785557-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/785557/000078555721000026/0000785557-21-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,200000,-400000,-1100000,-1100000,-400000,-700000,300000,700000,-3300000,-600000,-2800000,2700000,1800000,951000,1424000,3075000,-28885000,-4079000,-2489000,-13247000,-8067000,1146000,-4355000,-5807000,-4320000,-2026000,-159000,5357000,8728000,3384000,3288000,1836000,5324000,7114000,10145000
74,Depreciation and Amortization,- -,- -,- -,120000,140000,200000,200000,200000,200000,200000,300000,900000,800000,1000000,700000,1100000,1333000,1424000,1413000,329000,409000,561000,381000,349000,311000,111000,118000,146000,275000,299000,116000,55000,1244000,1724000,2242000,3956000,7003000,8115000
75,Deferred Income Tax,- -,- -,- -,-10000,20000,- -,- -,- -,- -,-200000,-400000,- -,- -,- -,-1400000,600000,73000,123000,1173000,-1083000,1444000,-1575000,18482000,- -,- -,- -,- -,- -,- -,- -,-4597000,-5710000,-1108000,1776000,5502000,1792000,2308000,1213000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,412000,260000,- -,- -,- -,465000,662000,1375000,790000,910000,1660000
77,Change in Working Capital,- -,- -,- -,-140000,-500000,-2500000,-700000,300000,100000,2700000,-900000,-5000000,4200000,-1700000,4700000,-300000,65000,9574000,3337000,-7670000,-2685000,-4619000,3401000,-3102000,1097000,-1524000,-4345000,-86000,2056000,-503000,2667000,3946000,-8519000,2824000,2548000,-4100000,-7926000,23740000
78,Accounts Receivable,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,454000,103000,212000,-1916000,1085000,-429000,-220000,-3351000,-5274000,1631000,617000,-5408000,-906000
79,Inventory,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5262000,7188000,4139000
81,Other Working Capital,- -,- -,- -,2600000,2100000,-400000,-1100000,-800000,-700000,2000000,1100000,-3900000,300000,-1400000,3300000,3000000,3065000,12639000,15976000,8306000,5621000,1002000,4403000,1301000,2398000,874000,-3471000,-3557000,-1501000,-2004000,663000,4609000,-3910000,-1086000,1462000,-2638000,-10564000,22759000
82,Other Non-Cash Items,- -,- -,- -,- -,540000,3300000,1300000,-200000,400000,-3800000,-400000,4300000,-6800000,4500000,-6700000,- -,1420000,-8608000,-7822000,30503000,3718000,6069000,-358000,9445000,2128000,3678000,7790000,2861000,-3347000,2168000,-1878000,-5036000,10574000,-3750000,574000,10277000,10042000,792000
