,https://roic.ai/company/TCX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,2349906,2620641,2068399,2726349,2195943,11989822,2327793,3450610,6428298,5799803,9428325,17942957,25112924,24074768,26155000,24571000,10760000,7270000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.0526,0.0540,0.0318,0.0365,0.0280,0.1481,0.0275,0.0355,0.0560,0.0446,0.0638,0.1038,0.1323,0.0731,0.0756,0.0729,0.0346,0.0239
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-3150432,-151975,-92035,50816,121134,-251384,210845,-2719621,2004156,1619339,3054229,6569227,9045770,1748174,9020000,9173000,4985000,3906000
23,Net Income,-13800000,-17400000,-17400000,24700000,-14320853,-13412763,1866831,2063438,5500338,2772616,2160434,2675533,2074809,12241206,2116948,6170231,4424142,4180464,6374096,11373730,16067154,22326594,17135000,15398000,5775000,3364000
24,Net Income ratio,-9.8571,-2.5588,-1.1678,1.0647,-1.2831,-0.4246,0.0504,0.0555,0.1230,0.0571,0.0332,0.0358,0.0264,0.1512,0.0250,0.0636,0.0386,0.0322,0.0432,0.0658,0.0846,0.0678,0.0495,0.0457,0.0186,0.0111
25,EPS,-6.61,-7.32,-7.08,8.40,-4.64,-0.96,0.12,0.12,0.32,0.16,0.12,0.16,0.12,0.72,0.16,0.48,0.40,0.40,0.57,1.04,1.53,2.12,1.62,1.45,0.55,0.32
26,EPS Diluted,-6.61,-7.32,-7.08,7.52,-4.64,-0.96,0.12,0.12,0.32,0.16,0.12,0.12,0.12,0.68,0.16,0.44,0.36,0.37,0.54,1.00,1.50,2.07,1.59,1.43,0.54,0.31
27,Weighted Average Shares Outstanding,2086976,2372900,2457725,2932475,3087025,14038183,16156607,16156607,16519776,17269332,18508207,18590367,18454336,17286250,14495562,13363668,11458215,10468250,11220874,10968500,10524856,10537356,10604722,10623799,10590684,10662337
28,Weighted Average Shares Outstanding Diluted,2090909,2375000,2457725,3281575,3087025,14038183,16156607,16181482,17012894,18120301,19122345,19261629,18707554,17589003,14988947,13937358,12283736,11281409,11730398,11360084,10713595,10793622,10794170,10772812,10692281,10817468
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909494/000090949401500016/0000909494-01-500016-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000091205702013042/0000912057-02-013042-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746903010841/0001047469-03-010841-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746904008965/0001047469-04-008965-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746905007680/0001047469-05-007680-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000110465906017734/0001104659-06-017734-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000110465907023306/0001104659-07-023306-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746908003631/0001047469-08-003631-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746909003275/0001047469-09-003275-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746910002531/0001047469-10-002531-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746911002439/0001047469-11-002439-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774912002406/0001437749-12-002406-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774913002947/0001437749-13-002947-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774914004497/0001437749-14-004497-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774915004707/0001437749-15-004707-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774916027177/0001437749-16-027177-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774917003986/0001437749-17-003986-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774918004044/0001437749-18-004044-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774919004069/0001437749-19-004069-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774920004330/0001437749-20-004330-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774921004866/0001437749-21-004866-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774922004915/0001437749-22-004915-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16100000,2300000,3300000,1700000,2200000,4800000,8844829,12912811,13914988,17348088,6256392,8093476,5427467,9632394,4205729,6408209,6415679,12418888,8271377,7723253,15105075,18049164,12637000,20393000,8311000,9105000
32,Short-Term Investments,- -,- -,- -,- -,10885773,1367072,- -,- -,- -,1771569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,16100000,2300000,3300000,1700000,13085773,6167072,8844829,12912811,13914988,19119657,6256392,8093476,5427467,9632394,4205729,6408209,6415679,12418888,8271377,7723253,15105075,18049164,12637000,20393000,8311000,9105000
34,Net Receivables,400000,1900000,3200000,700000,800000,800000,338697,486289,1111082,1478903,2969997,3422180,3200362,3496045,3641995,4747277,6143896,5781292,6790682,9464303,11146073,15379977,12260000,16364000,16842000,18831000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,587104,309686,393774,903775,1210789,2944246,3775000,3457000,1875000,- -
36,Other Current Assets,11900000,10900000,900000,300000,-2085773,10732928,14033773,15399014,19218886,21235808,26582608,31676226,32076653,36202983,40214707,47170938,50664519,49600156,59009346,53019549,55820180,117488058,103254000,105461000,114172000,119068000
37,Total Current Assets,28400000,15100000,7400000,2700000,11800000,17700000,23217299,28798114,34244956,41834368,35808997,43191882,40704482,49331422,48062431,58326424,63811198,68110022,74465179,71110880,83282117,153861445,131926000,145675000,141200000,147004000
38,PP&E,1700000,3000000,2600000,2300000,3800000,3700000,1581321,1048400,1017237,1542671,5647532,4963311,3072958,1986768,1552349,1437564,1352144,1757836,1609787,7126676,13450438,24620298,48065000,93456000,128768000,190177000
39,Goodwill,- -,- -,- -,23700000,3200000,-1800000,- -,- -,- -,1951067,12094817,17490807,17990807,17990807,17990807,18873127,18873127,18873127,18873127,21005143,21005143,90053483,90054000,109818000,116304000,130410000
40,Intangible Assets,- -,- -,- -,2000000,2000000,2000000,- -,- -,2206707,1006080,18554436,22150738,20206996,18656353,16883401,17482590,16415651,15403228,14202585,14469677,19973793,58414178,49395000,57654000,47444000,50409000
41,Intangible Assets,- -,- -,- -,25700000,5200000,200000,- -,- -,2206707,2957147,30649253,39641545,38197803,36647160,34874208,36355717,35288778,34276355,33075712,35474820,40978936,148467661,139449000,167472000,163748000,180819000
42,Investments,- -,- -,- -,- -,100000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2012000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,2000000,2000000,2000000,1000000,2410000,3907476,4155600,6880377,5970462,5370037,4880423,4377374,5708725,- -,- -,- -,226000,22000
44,Other Non-Current Assets,100000,700000,200000,- -,1600000,2600000,4054077,5489931,7835303,8723122,10559657,11247799,12134471,12264360,12836079,12689477,12350561,11838579,11764765,11040929,10993156,23700931,20135000,19315000,17961000,19562000
45,Total Non-Current Assets,1800000,3700000,2800000,28000000,10700000,7900000,5635398,6538331,13059247,15222940,48856442,56852655,55815232,54805764,53418236,57363135,54961945,53242807,51330687,58019799,71131255,196788890,207649000,280243000,310703000,392592000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30200000,18800000,10200000,30700000,22500000,25600000,28852697,35336445,47304203,57057308,84665439,100044537,96519714,104137186,101480667,115689559,118773143,121352829,125795866,129130679,154413372,350650335,339575000,425918000,451903000,539596000
48,Accounts Payable,1200000,1300000,1900000,600000,2800000,2000000,1605630,1632294,1483543,1655195,2867814,2689346,1633830,1547863,1664006,1051115,1928459,2361481,3579920,4166135,4786645,7026282,8445000,6671000,6329000,10016000
49,Short-Term Debt,- -,- -,400000,2900000,71213,58772,- -,- -,- -,- -,- -,7914242,2624242,3220125,1305883,850000,3700000,6300000,- -,3500000,2233110,18289853,18400000,1413000,1761000,3150000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158258,1255108,1024004,473480,444053,1548121,1226157,1668000,1324000,863000,102000
51,Deferred Revenue,- -,- -,- -,- -,858159000,18444280000,18431100,20715191,23648381,26790166,31658081,35465584,37985821,43836083,49792686,56886445,59953558,58880665,59957293,61783299,68213701,144409927,128653000,137175000,142738000,141090000
52,Other Current Liabilities,1300000,6600000,10600000,-2100000,-839530213,-18421638772,4246069,4248836,5080483,4345483,6558456,7039961,7804854,3328112,3049846,4457130,5204613,5901947,5997035,8811588,9195907,8834459,9849000,11649000,12137000,- -
53,Total Current Liabilities,2500000,7900000,12900000,1400000,21500000,24700000,24282799,26596321,30212407,32790844,41084351,53109133,50048747,51932183,55812421,63244690,70786630,73444093,69534248,78261022,84429363,178560521,165347000,156908000,162965000,154256000
54,Long-Term Debt,- -,400000,- -,- -,- -,100000,- -,- -,- -,- -,6000000,6859366,3235125,- -,- -,- -,- -,135522,- -,- -,8015698,58634174,46201000,122927000,130912000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16098812,16738429,16492155,16002464,15638517,15610753,14947639,15998657,31856306,26960000,26202000,24909000,23677000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5396000,5396000,5396000,4840000,4840000,5345700,5234100,5141500,4787351,4876691,4827192,19833678,20925000,25471000,24694000,22569000
57,Other Non-Current Liabilities,- -,- -,600000,200000,2700000,4200000,5929917,7874001,9634415,11174322,13642513,15328989,16389178,169620,168580,188027,199742,75979,221121,4715902,3325376,1554922,366000,216000,3725000,204575000
58,Total Non-Current Liabilities,- -,400000,600000,200000,2700000,4300000,5929917,7874001,9634415,11174322,25038513,27584355,25020303,21108432,21747009,22025882,21436306,20991518,20619225,24540232,32166923,111879080,94452000,174816000,184240000,250821000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521069000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10837000,10940000,15003000
61,Total Liabilities,2500000,8300000,13500000,1600000,24200000,29000000,30212716,34470322,39846822,43965166,66122864,80693488,75069050,73040615,77559430,85270572,92222936,94435611,90153473,102801254,116596286,290439601,259799000,331724000,347205000,424504000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,8500000,8540687,8540687,9541277,12403422,- -,- -,- -,- -,- -,- -,10084417,11859267,14130059,14530633,14460500,15368161,15823000,16633000,20798000,28515000
64,Retained Earnings,-25300000,-42700000,-60100000,-10400000,-48200000,-61600000,-59709538,-57646100,-52145762,-49373146,-47212712,-44537179,-42462370,-30221164,-28104216,-21933985,-17509843,-13329379,-6955283,4381849,20399511,42675805,60810000,76208000,80106000,83470000
65,Other Comprehensive Income/Loss,-800000,-1700000,-200000,-200000,2000000,-600000,-183297,-20593,-10000000,-11000000,-14000000,-18100000,-9900000,-10600000,-11100000,-9000000,44104,-244981,-622441,-1109452,99154,- -,-810000,473000,2336000,343000
66,Other Total Stockholders Equity,53800000,54900000,57000000,39700000,44500000,50300000,49992129,49992129,60061866,61061866,- -,- -,- -,- -,- -,- -,33931529,28632311,29090058,8526395,2857921,2166768,3953000,880000,1458000,- -
67,Total Stockholders Equity,27700000,10500000,-3300000,29100000,-1700000,-3400000,-1360019,866123,7457381,13092142,18542575,19351049,21450664,31096571,23921237,30418987,26550207,26917218,35642393,26329425,37817086,60210734,79776000,94194000,104698000,115092000
68,Total Liabilities And Stockholders Equity,30200000,18800000,10200000,30700000,22500000,25600000,28852697,35336445,47304203,57057308,84665439,100044537,96519714,104137186,101480667,115689559,118773143,121352829,125795866,129130679,154413372,350650335,339575000,425918000,451903000,539596000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30200000,18800000,10200000,30700000,22500000,25600000,28852697,35336445,47304203,57057308,84665439,100044537,96519714,104137186,101480667,115689559,118773143,121352829,125795866,129130679,154413372,350650335,339575000,425918000,451903000,539596000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909494/000090949401500016/0000909494-01-500016-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000091205702013042/0000912057-02-013042-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746903010841/0001047469-03-010841-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746904008965/0001047469-04-008965-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746905007680/0001047469-05-007680-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000110465906017734/0001104659-06-017734-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000110465907023306/0001104659-07-023306-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746908003631/0001047469-08-003631-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746909003275/0001047469-09-003275-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746910002531/0001047469-10-002531-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000104746911002439/0001047469-11-002439-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774912002406/0001437749-12-002406-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774913002947/0001437749-13-002947-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774914004497/0001437749-14-004497-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774915004707/0001437749-15-004707-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774916027177/0001437749-16-027177-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774917003986/0001437749-17-003986-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774918004044/0001437749-18-004044-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774919004069/0001437749-19-004069-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774920004330/0001437749-20-004330-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774921004866/0001437749-21-004866-index.htm,https://www.sec.gov/Archives/edgar/data/909494/000143774922004915/0001437749-22-004915-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-13800000,-17400000,-17400000,24700000,-14320853,-13412763,1866831,2063438,5500338,2772616,2160434,2675533,2074809,12241206,2116948,6170231,4424142,4180464,6374096,11373730,16067154,22326594,17135000,15398000,5775000,3364000
74,Depreciation and Amortization,600000,1200000,1600000,2300000,1194028,6859794,2898058,1489570,1297087,1187852,3855511,5505737,4870289,3498398,2944580,2028000,1821820,1803330,1522722,1667022,2776857,12127758,14965000,19294000,24052000,27993000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,- -,- -,- -,- -,- -,-3046669,832736,-247371,-1084470,134861,1194232,-3336824,1038000,1285000,-3939000,-1328000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295261,400002,310956,360699,430903,542738,526025,799434,1456572,2574000,2876000,3718000,4592000
77,Change in Working Capital,-900000,-18700000,-12700000,6800000,-11000000,2700000,5934500,3267293,1830756,5010975,-14318878,-4641897,572986,6743504,-5149229,2831724,-2057166,1641361,10265002,-12081073,6002896,-23551830,-8721924,22188000,-10532000,-2000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,378317,-199950,-270594,-533081,-892138,-1484282,-220188,-3754234,1009620,1539000,-3015000,-281000,1586000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-381507,277418,-84088,-442806,-307014,-1733457,-831000,318000,945000,-787000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-172582,-35210,-611532,931467,529537,1152042,249931,390887,-3825526,171000,-1222000,-902000,- -
81,Other Working Capital,25900000,7200000,-5500000,1300000,-9700000,-7000000,-1065500,2201793,4032549,9043524,-5275354,-9917251,-9344265,-2600761,-7749990,-4918266,-6975432,-5334071,4930931,-7150142,-1147246,-24699076,-33421000,-11233000,-21765000,- -
82,Other Non-Cash Items,100000,22200000,16800000,-40400000,15928368,-2210751,-7260972,-3600670,-960287,-4907795,17121006,5083625,-5157482,-16312730,6456614,-2408973,961200,895420,-8742744,11725446,-5190876,22874370,10218924,-20660000,17007000,-2984000
83,Cash Provided by Operating Activities,-14000000,-12700000,-11700000,-6600000,-8198457,-6063720,3438417,3219631,4667894,4063648,8818073,8622998,2360602,6465639,6768915,5885269,6343431,8704107,8877344,13346011,21649697,31896640,37209000,40381000,36081000,29637000
84,CAPEX,-1400000,-2300000,-900000,-500000,-2273555,-2871575,-875136,-956649,-1034709,-1477126,-4607774,-3408403,-2113904,-821305,-589054,-851008,-997036,-1345627,-711656,-2967360,-14447476,-15877236,-28484000,-47636000,-44509000,-73949000
85,Acquisitions Net,- -,- -,- -,- -,- -,8833431,- -,- -,-2019510,- -,-14124651,-10451014,-500000,- -,- -,-2392461,- -,- -,- -,-357492,- -,-78237460,-1200000,-28450000,-8770000,-26527000
86,Purchases of Investments,-11500000,-22700000,-7800000,- -,- -,- -,- -,- -,- -,-1771569,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2012000
87,Sales/Maturities of Investments,200000,23300000,18500000,- -,- -,- -,- -,- -,- -,- -,1771569,1019423,- -,4090395,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,4800000,11783990,-253737,1578518,1805000,-1337548,742602,-1032591,-376053,6764528,-13775,- -,- -,508800,- -,-8199000,6619831,-6529654,-2942364,-565000,-3566000,-72000,-264000
89,Cash Used for Investing Activites,-12700000,-1700000,9800000,4300000,9510435,5708119,703382,848351,-4391767,-2506093,-17993447,-13216047,4150624,3269090,-589054,-3243469,-488236,-1345627,-8910656,3294979,-14447476,-94114696,-29684000,-76086000,-53279000,-101978000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2639242,-1914242,-2985883,-1150000,-2600000,-6300000,- -,-9758276,-19975574,-19596000,-8130000,- -,- -
91,Common Stock Issued,42000000,- -,3200000,600000,980641,24396,- -,- -,726050,1875545,206608,258296,9450,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,-2446955,-272444,-2915982,-9707093,-18442,-9115833,-6537616,-1181857,-23616286,-7180257,- -,- -,-4986000,-3281000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-300000,700000,-400000,2500000,-1570537,2975199,-111159,- -,- -,- -,-2122930,8618792,-8914241,25422,14809,2565005,4418108,7782345,3367658,6427172,17118134,85137719,6659000,56577000,8397000,73135000
95,Cash Used/Provided by Financing Activities,41700000,700000,2800000,2800000,-589896,2999595,-111159,- -,726050,1875545,-1916322,6430133,-9177235,-5529802,-11606526,-439320,-5847725,-1355271,-4114199,-17189114,179601,65162145,-12937000,43461000,5116000,73135000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,41700000,700000,2800000,400000,722082,2643994,4030640,4067982,1002177,3433100,-11091696,1837084,-2666009,4204927,-5426665,2202480,7470,6003209,-4147511,-548124,7381822,2944089,-5412000,7756000,-12082000,794000
98,Cash at the End of Period,- -,- -,- -,3700000,4461106,4814189,8844829,12912811,13914988,17348088,6256392,8093476,5427467,9632394,4205729,6408209,6415679,12418888,8271377,7723253,15105075,18049164,12637000,20393000,8311000,9105000
99,Cash at the Beginning of Period,1000000,16100000,2300000,3300000,3739024,2170195,4814189,8844829,12912811,13914988,17348088,6256392,8093476,5427467,9632394,4205729,6408209,6415679,12418888,8271377,7723253,15105075,18049000,12637000,20393000,8311000
100,Free Cash Flow,-15400000,-15000000,-12600000,-7100000,-10472012,-8935295,2563281,2262982,3633185,2586522,4210299,5214595,246698,5644334,6179861,5034261,5346395,7358480,8165688,10378651,7202221,16019404,8725000,-7255000,-8428000,-44312000
