,https://roic.ai/company/UCTT,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,5505000,5042000,11128000,8409000,15761000,17515000,25352000,34000000,- -,87900000,33664000,35500000,47500000,51400000,54949000,65189000,64392000,78232000,115137000,166900000,170400000,244304000
11,COGS and Expenses,73747000,71171000,86086000,75722000,170756000,144972000,311894000,380300000,- -,329400000,417657000,429100000,395100000,428100000,495773000,463262000,540368000,834954000,1035819000,1036300000,1277200000,1915942000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,900000,427000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,870000,667000,1106000,1648000,- -,- -,- -,- -,- -,- -,25600000,16900000,24183000
14,Depreciation and Amortization,- -,- -,1708000,1808000,2365000,2388000,3871000,4375000,- -,5599000,2323000,2945000,6981000,9113000,7888000,10940000,11739000,10712000,21115000,41600000,44800000,70877000
15,EBITDA,-73747000,2894000,-478000,2148000,15426000,5096000,27447000,26075000,- -,-56831000,27800000,26451000,15329000,21713000,24218000,14547000,30686000,101254000,70830000,67800000,158600000,242436000
16,EBITDA ratio,-Infinity,0.0378,-0.0057,0.0277,0.0837,0.0345,0.0814,0.0646,- -,-0.2129,0.0627,0.0584,0.0380,0.0489,0.0471,0.0310,0.0545,0.1095,0.0646,0.0636,0.1134,0.1154
17,Operating Income,9254000,5315000,-1832000,1798000,13448000,2562000,25334000,23507000,- -,-62483000,25477000,23546000,8345000,15908000,18184000,5841000,22391000,89397000,60704000,29900000,121400000,185700000
18,Operating Income ratio,Infinity,0.0695,-0.0217,0.0232,0.0730,0.0174,0.0751,0.0582,- -,-0.2341,0.0575,0.0520,0.0207,0.0358,0.0354,0.0125,0.0398,0.0967,0.0554,0.0280,0.0868,0.0884
19,Total Other Income Expenses (Gains),-687000,-440000,-354000,-1458000,-387000,149000,-1758000,-1807000,- -,-917000,-667000,-1146000,-1645000,-3308000,-1854000,-2234000,-3444000,-2455000,-8436000,-27600000,-21700000,-31384000
20,Income Before Tax,8567000,4875000,-2186000,340000,13061000,2711000,23576000,21700000,- -,-63400000,24810000,22400000,6700000,12600000,16330000,3607000,18947000,86942000,52268000,2300000,99700000,154316000
21,Income Before Tax Ratio,Infinity,0.0637,-0.0259,0.0044,0.0709,0.0184,0.0699,0.0537,- -,-0.2375,0.0560,0.0495,0.0166,0.0284,0.0318,0.0077,0.0337,0.0941,0.0477,0.0022,0.0713,0.0734
22,Income Tax expense (Gain),- -,- -,-25000,232000,4511000,705000,7266000,5800000,- -,-10900000,4713000,-1300000,1500000,2200000,4973000,14339000,8896000,15457000,13119000,10000000,19300000,27931000
23,Net Income,8703000,2894000,-2161000,108000,8550000,2003000,16310000,15900000,- -,-52400000,20097000,23700000,5200000,10400000,11357000,-10732000,10051000,75085000,36596000,-9400000,77600000,119445000
24,Net Income ratio,Infinity,0.0378,-0.0256,0.0014,0.0464,0.0136,0.0484,0.0394,- -,-0.1963,0.0454,0.0524,0.0129,0.0234,0.0221,-0.0229,0.0179,0.0812,0.0334,-0.0088,0.0555,0.0568
25,EPS,2.36,0.79,-0.50,0.01,0.59,0.12,0.85,0.75,- -,-2.43,0.92,1.05,0.20,0.37,0.39,-0.34,0.31,2.25,0.95,-0.24,1.93,2.97
26,EPS Diluted,1.95,0.64,-0.50,0.01,0.55,0.12,0.83,0.72,- -,-2.43,0.87,1.01,0.20,0.36,0.38,-0.34,0.30,2.19,0.94,-0.24,1.89,2.91
27,Weighted Average Shares Outstanding,3680000,3680000,4304000,9976000,14605000,16241000,19220000,21293000,- -,21542000,21799000,22689000,25698000,28346000,29301000,31564000,32632000,33409000,38366000,39467000,40198000,40198000
28,Weighted Average Shares Outstanding Diluted,4467000,4535000,4304000,10711000,15542000,17169000,19649000,22118000,- -,21542000,22975000,23437000,26261000,29037000,29936000,31564000,33150000,34303000,38919000,39467000,41074000,41074000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275014/000095013405006380/f07248e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000095013406003861/f17722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000089161807000206/f27355e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000089161808000162/f38318e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1275014/000095013409005647/0000950134-09-005647-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312511068704/d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312512124498/0001193125-12-124498-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312513105509/0001193125-13-105509-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312514095837/d652760d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312515087568/d824683d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312516498459/0001193125-16-498459-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459017004405/0001564590-17-004405-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459018005652/0001564590-18-005652-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459019009033/0001564590-19-009033-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459020010037/0001564590-20-010037-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459021007569/0001564590-21-007569-index.htm,https://www.sec.gov/Archives/edgar/data/1275014/000156459022008065/0001564590-22-008065-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3722000,- -,6237000,6035000,11440000,10663000,23321000,33400000,- -,29600000,34654000,52200000,54300000,60400000,78997000,50103000,52465000,68306000,144145000,162500000,200300000,466455000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3722000,- -,6237000,6035000,11440000,10663000,23321000,33400000,- -,29600000,34654000,52200000,54300000,60400000,78997000,50103000,52465000,68306000,144145000,162500000,200300000,466455000
34,Net Receivables,- -,- -,8362000,11724000,13785000,19528000,44543000,34800000,- -,13800000,54589000,41100000,50100000,67500000,61817000,59148000,74663000,90213000,106956000,112700000,145500000,250147000
35,Inventory,- -,- -,8229000,9123000,15133000,19106000,47914000,49300000,- -,39800000,59288000,55500000,54000000,63900000,56850000,72716000,103861000,236840000,186116000,172400000,180400000,379235000
36,Other Current Assets,- -,- -,3562000,2012000,4300000,3966000,5489000,7800000,- -,11300000,5935000,5300000,6700000,8700000,10783000,8172000,6461000,12089000,25708000,19400000,18900000,41260000
37,Total Current Assets,- -,- -,26390000,28894000,44658000,53263000,121267000,125300000,- -,94500000,154466000,154100000,165100000,200500000,208447000,190139000,237450000,407448000,462925000,467000000,545100000,1137097000
38,PP&E,- -,- -,4680000,3573000,5392000,4312000,9433000,14100000,- -,9000000,8971000,10000000,9300000,8500000,10841000,17267000,18858000,32246000,143459000,180200000,197000000,325704000
39,Goodwill,- -,- -,6608000,- -,6617000,- -,33490000,34200000,- -,- -,- -,- -,56700000,55900000,55918000,85248000,85248000,85248000,150226000,171100000,171100000,270044000
40,Intangible Assets,- -,- -,8987000,15604000,10755000,15071000,22112000,20800000,- -,9000000,8987000,9000000,27700000,21700000,16824000,42782000,37024000,31587000,193507000,180300000,160500000,245696000
41,Intangible Assets,- -,- -,15595000,15604000,17372000,15071000,55602000,55000000,- -,9000000,8987000,9000000,84400000,77600000,72742000,128030000,122272000,116835000,343733000,351400000,331600000,515740000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,1742000,1731000,- -,2132000,- -,1000000,- -,- -,- -,- -,- -,- -,- -,5026000,9917000,9981000,15834000,25200000,23500000,37607000
44,Other Non-Current Assets,- -,- -,429000,353000,276000,231000,745000,-400000,- -,4900000,571000,5200000,7100000,5900000,4112000,-4309000,-7800000,-3098000,-474000,-4500000,5300000,9242000
45,Total Non-Current Assets,- -,- -,22446000,21261000,23040000,21746000,65780000,69700000,- -,22900000,18529000,24200000,100800000,92000000,87695000,146014000,143247000,155964000,502552000,552300000,557400000,888293000
46,Other Assets,34918000,20652000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34918000,20652000,48836000,50155000,67698000,75009000,187047000,195000000,- -,117400000,172995000,178300000,265900000,292500000,296142000,336153000,380697000,563412000,965477000,1019300000,1102500000,2025390000
48,Accounts Payable,- -,- -,7113000,9805000,12302000,14188000,37583000,36800000,- -,11300000,45957000,29500000,23500000,54000000,48944000,39660000,71189000,173521000,99011000,133100000,121300000,332897000
49,Short-Term Debt,- -,- -,50000,111000,102000,2413000,4267000,3608000,- -,5736000,4110000,2931000,48706000,37705000,9541000,12744000,16819000,12381000,9671000,22000000,19100000,39370000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,3597000,- -,2451000,770000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,3160000,1459000,2393000,2773000,7830000,795000,- -,1813000,6884000,4269000,6994000,8295000,7683000,11800000,13053000,21445000,30616000,55500000,60800000,96850000
53,Total Current Liabilities,- -,- -,10323000,11375000,14797000,19374000,49680000,44800000,- -,21300000,57721000,36700000,79200000,100000000,66168000,64204000,101061000,207347000,139298000,210600000,201200000,469117000
54,Long-Term Debt,- -,- -,- -,30013000,- -,- -,27358000,18600000,- -,12700000,24542000,21800000,26900000,17400000,38614000,62795000,50931000,39893000,331549000,283400000,261600000,595842000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3223000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,2523000,- -,- -,- -,- -,1992000,9490000,4071000,3777000,4519000,9917000,9981000,15834000,25200000,33600000,54889000
57,Other Non-Current Liabilities,- -,- -,30424000,447000,426000,354000,318000,2100000,- -,5000000,- -,508000,-6490000,-871000,-969000,3692000,2657000,5886000,42498000,63400000,54900000,12894000
58,Total Non-Current Liabilities,- -,- -,30424000,30460000,426000,354000,30199000,20700000,- -,17700000,27765000,24300000,29900000,20600000,41422000,71006000,63505000,55760000,389881000,372000000,350100000,663625000
59,Other Liabilities,29142000,11982000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,662000,447000,426000,354000,318000,1029000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42000000,42800000,83222000
61,Total Liabilities,29142000,11982000,40747000,41835000,15223000,19728000,79879000,65500000,- -,39000000,85486000,61000000,109100000,120600000,107590000,135210000,164566000,263107000,529179000,582600000,551300000,1132742000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,10198000,10377000,46237000,46819000,82198000,89100000,- -,93800000,102796000,108800000,- -,- -,30000,32000,33000,34000,40000,100000,100000,511628000
64,Retained Earnings,- -,- -,-1849000,-1741000,6809000,8812000,25122000,40400000,- -,-12000000,-11950000,11800000,16900000,27400000,38718000,27986000,38037000,113122000,149718000,140300000,217900000,337417000
65,Other Comprehensive Income/Loss,- -,- -,-230000,-316000,-571000,-350000,-152000,-10000000,- -,-13600000,-16415000,-19000000,-230000,-22000000,-24661000,-18000,-383000,1847000,-547000,-1300000,5100000,-167000
66,Other Total Stockholders Equity,5776000,8670000,-30000,- -,- -,- -,- -,9988000,- -,10199000,13078000,15685000,159100000,166500000,174465000,172943000,178444000,185302000,287087000,297600000,309500000,- -
67,Total Stockholders Equity,5776000,8670000,8089000,8320000,52475000,55281000,107168000,129488000,- -,78399000,87509000,117285000,156780000,171929000,188552000,200943000,216131000,300305000,436298000,436700000,532600000,848878000
68,Total Liabilities And Stockholders Equity,34918000,20652000,48836000,50155000,67698000,75009000,187047000,194988000,- -,117399000,172995000,178285000,265880000,292529000,296142000,336153000,380697000,563412000,965477000,1019300000,1083900000,1981620000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,12000,- -,1000,- -,15000,20000,-29000,- -,- -,- -,- -,- -,- -,18600000,43770000
70,Total Liabilities & Equity,34918000,20652000,48836000,50155000,67698000,75009000,187047000,195000000,- -,117400000,172995000,178300000,265900000,292500000,296142000,336153000,380697000,563412000,965477000,1019300000,1102500000,2025390000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1275014/000095013405006380/f07248e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000095013406003861/f17722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000089161807000206/f27355e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000089161808000162/f38318e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1275014/000095013409005647/0000950134-09-005647-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312511068704/d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312512124498/0001193125-12-124498-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312513105509/0001193125-13-105509-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312514095837/d652760d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312515087568/d824683d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312516498459/0001193125-16-498459-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459017004405/0001564590-17-004405-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459018005652/0001564590-18-005652-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459019009033/0001564590-19-009033-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459020010037/0001564590-20-010037-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459021007569/0001564590-21-007569-index.htm,https://www.sec.gov/Archives/edgar/data/1275014/000156459022008065/0001564590-22-008065-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-2161000,108000,8550000,2003000,16310000,15900000,- -,-52400000,20097000,23700000,5200000,10400000,11357000,-10732000,10051000,75085000,36596000,-9400000,77600000,119445000
74,Depreciation and Amortization,- -,- -,1708000,1808000,2365000,2388000,3871000,4375000,- -,5599000,2323000,2945000,6981000,9113000,7888000,10940000,11739000,10712000,21115000,41600000,44800000,70877000
75,Deferred Income Tax,- -,- -,-646000,213000,-575000,-318000,-2002000,-903000,- -,-5225000,-284000,-6278000,-2731000,78000,2190000,10352000,3534000,-3755000,-82000,-3600000,400000,-3200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,3539000,3196000,4359000,5069000,4685000,4400000,3660000,5671000,7757000,10272000,12100000,12700000,15765000
77,Change in Working Capital,- -,- -,1586000,1452000,12342000,4028000,37698000,8913000,- -,-7300000,35345000,20655000,-31500000,14600000,41779000,-16344000,10454000,63712000,123526000,-67227000,87500000,-2090000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,21055000,-19802000,13538000,8047000,-17376000,5633000,5818000,-15834000,-14930000,7237000,-4500000,-32700000,-52975000
79,Inventory,- -,- -,-1513000,-894000,-6010000,-3973000,-14073000,-1933000,- -,9528000,-12312000,3815000,24282000,-9133000,7092000,-8329000,-31516000,-131874000,50151000,22300000,-8000000,-125120000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25562000,-214000,-16506000,-19498000,30644000,-5186000,-12593000,31705000,99569000,-83195000,31000000,-12600000,172524000
81,Other Working Capital,- -,- -,16067000,17519000,29861000,33889000,71587000,80500000,- -,73200000,96745000,117400000,85900000,100500000,142279000,125935000,136389000,200101000,323627000,256400000,343900000,654000
82,Other Non-Cash Items,- -,- -,2252000,-3152000,-18660000,-11277000,-48192000,-4765000,- -,67369000,-65534000,-21657000,44320000,-8945000,-37255000,3050000,-23872000,-104606000,-149718000,147527000,-125700000,12266000
83,Cash Provided by Operating Activities,- -,- -,2739000,429000,4022000,-3176000,7685000,23520000,- -,11582000,-4857000,23724000,27339000,29931000,30359000,926000,17577000,48905000,41709000,121000000,97300000,213063000
84,CAPEX,- -,- -,-1771000,-491000,-3323000,-1126000,-3941000,-7707000,- -,-9448000,-3817000,-3983000,-609000,-2963000,-5334000,-10152000,-7278000,-16149000,-26152000,-26300000,-36400000,-59342000
85,Acquisitions Net,- -,- -,-26285000,- -,- -,- -,-32353000,-46000,- -,- -,- -,- -,-74945000,- -,- -,-45064000,- -,- -,-319781000,-29900000,- -,-344707000
86,Purchases of Investments,- -,- -,-250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10448000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,672000,- -,27000,- -,- -,46000,- -,- -,96000,191000,- -,- -,- -,- -,7000000,6600000,7738000
89,Cash Used for Investing Activites,- -,- -,-28306000,-491000,-3323000,-454000,-36294000,-7726000,- -,-9448000,-3771000,-3983000,-75554000,-2867000,-5143000,-55216000,-7278000,-16149000,-345933000,-49200000,-29800000,-406759000
90,Debt Repayment,- -,- -,-9272000,- -,- -,- -,- -,- -,- -,-3752000,-2453000,-19923000,-84220000,-84000000,-56000000,-55205000,-14341000,-31248000,-86354000,-93000000,-105500000,-131712000
91,Common Stock Issued,- -,- -,9930000,- -,35423000,582000,11539000,2429000,- -,1240000,1795000,1011000,327000,774000,1940000,2411000,602000,1816000,94614000,300000,600000,193536000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -
94,Other Financing Activites,- -,- -,30386000,-140000,-30717000,2271000,29728000,-8097000,- -,-112000,17243000,16672000,134264000,62266000,47426000,78193000,5886000,12362000,371815000,39900000,73800000,399007000
95,Cash Used/Provided by Financing Activities,- -,- -,31044000,-140000,4706000,2853000,41267000,-5668000,- -,-5961000,16585000,-2240000,50371000,-20960000,-6634000,25399000,-7853000,-17070000,380075000,-53400000,-31100000,460831000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-84000,155000,-12000,- -,1400000,-954000
97,Net Change In Cash,- -,- -,5477000,-202000,5405000,-777000,12658000,10126000,- -,-3827000,7957000,17501000,2156000,6104000,18582000,-28894000,2362000,15841000,75839000,18400000,37800000,266181000
98,Cash at the End of Period,- -,- -,9667000,6035000,11440000,10663000,23321000,33447000,- -,29620000,34654000,52155000,54311000,60415000,78997000,50103000,52465000,68306000,144145000,162500000,200300000,466455000
99,Cash at the Beginning of Period,- -,- -,4190000,6237000,6035000,11440000,10663000,23321000,- -,33447000,26697000,34654000,52155000,54311000,60415000,78997000,50103000,52465000,68306000,144100000,162500000,200274000
100,Free Cash Flow,- -,- -,968000,-62000,699000,-4302000,3744000,15813000,- -,2134000,-8674000,19741000,26730000,26968000,25025000,-9226000,10299000,32756000,15557000,94700000,60900000,153721000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1275014/000095013405006380/f07248e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000095013406003861/f17722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000089161807000206/f27355e10vk.htm,https://www.sec.gov/Archives/edgar/data/1275014/000089161808000162/f38318e10vk.htm,undefined,https://www.sec.gov/Archives/edgar/data/1275014/000095013409005647/0000950134-09-005647-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312511068704/d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312512124498/0001193125-12-124498-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312513105509/0001193125-13-105509-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000119312514095837/d652760d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312515087568/d824683d10k.htm,https://www.sec.gov/Archives/edgar/data/1275014/000119312516498459/0001193125-16-498459-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459017004405/0001564590-17-004405-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459018005652/0001564590-18-005652-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459019009033/0001564590-19-009033-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459020010037/0001564590-20-010037-index.html,https://www.sec.gov/Archives/edgar/data/1275014/000156459021007569/0001564590-21-007569-index.htm,https://www.sec.gov/Archives/edgar/data/1275014/000156459022008065/0001564590-22-008065-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
