,https://roic.ai/company/USAP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.2105,0.0681,0.1260,0.1427,0.1157,0.0570,0.1300,0.1384,0.0427,-0.0345,0.0851,0.1213,0.1589,0.1453,0.0812,-0.0373,0.1078,0.1175,0.0932,-0.0222,0.0530,-0.1665,-0.0257,0.0209,0.0628,0.0300,-0.1247,-0.0787
19,Total Other Income Expenses (Gains),-400000,-300000,- -,-200000,-500000,-800000,-908000,-519000,2000,-255000,697000,-414000,-584000,45000,806000,606000,-360000,-1209000,-2452000,-2561000,-3701000,-2737000,-4904000,-4228000,-3473000,-3518000,-1886000,8231000
20,Income Before Tax,- -,2900000,7600000,11400000,7900000,3000000,10580000,12025000,3025000,-2637000,10966000,20215000,31815000,33452000,19898000,-4051000,20063000,28478000,20951000,-6566000,7199000,-32816000,-8873000,9000,12597000,3773000,-24294000,-4041000
21,Income Before Tax Ratio,- -,0.0617,0.1260,0.1402,0.1088,0.0450,0.1198,0.1326,0.0427,-0.0382,0.0909,0.1189,0.1561,0.1455,0.0846,-0.0324,0.1059,0.1127,0.0835,-0.0363,0.0350,-0.1816,-0.0575,0.0000,0.0492,0.0155,-0.1352,-0.0259
22,Income Tax expense (Gain),- -,200000,2800000,4200000,2900000,900000,3970000,4386000,933000,-1220000,3835000,7159000,11201000,10948000,5948000,-1093000,6821000,10356000,6334000,-2504000,3149000,-12144000,-3526000,-7601000,1935000,-502000,-5247000,-3283000
23,Net Income,-2400000,2700000,4800000,7200000,5000000,2100000,5064000,7639000,2092000,-1417000,7131000,13056000,20614000,22504000,13950000,-2958000,13242000,18122000,14617000,-4062000,4050000,-20672000,-5347000,7610000,10662000,4275000,-19047000,-758000
24,Net Income ratio,-0.4211,0.0574,0.0796,0.0886,0.0689,0.0315,0.0573,0.0843,0.0295,-0.0205,0.0591,0.0768,0.1011,0.0979,0.0593,-0.0237,0.0699,0.0717,0.0582,-0.0225,0.0197,-0.1144,-0.0346,0.0376,0.0417,0.0176,-0.1060,-0.0049
25,EPS,-0.84,0.57,0.76,1.15,0.79,0.34,0.83,1.26,0.34,-0.23,1.13,2.05,3.20,3.39,2.08,-0.44,1.95,2.65,2.13,-0.58,0.58,-2.92,-0.74,1.05,1.31,0.49,-2.16,-0.09
26,EPS Diluted,-0.84,0.57,0.76,1.12,0.79,0.34,0.83,1.25,0.34,-0.23,1.12,2.02,3.12,3.32,2.05,-0.44,1.93,2.56,2.02,-0.58,0.57,-2.92,-0.74,1.03,1.28,0.48,-2.16,-0.09
27,Weighted Average Shares Outstanding,2500000,4736842,6270952,6285531,6304524,6110911,6101205,6080045,6203800,6287088,6304909,6375257,6451037,6644374,6706535,6755560,6782576,6826490,6874669,6950976,7031539,7069954,7193300,7225697,8132632,8778753,8818974,8818974
28,Weighted Average Shares Outstanding Diluted,2500000,4736842,6270952,6428571,6304524,6110911,6101205,6111200,6203800,6287088,6366964,6479114,6612530,6774924,6801203,6755560,6868255,7138824,7454030,6950976,7116431,7069954,7193300,7374805,8347692,8873719,8818974,8818974
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931584/000119312504034572/0001193125-04-034572-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312505042840/0001193125-05-042840-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312506068113/0001193125-06-068113-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312507044300/0001193125-07-044300-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312508050080/0001193125-08-050080-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312509047391/0001193125-09-047391-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312510042355/0001193125-10-042355-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312511054913/0001193125-11-054913-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312512099305/0001193125-12-099305-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312513112726/0001193125-13-112726-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156276214000043/0001562762-14-000043-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156276215000033/0001562762-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000093158416000009/0000931584-16-000009-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459017001991/0001564590-17-001991-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459018003014/0001564590-18-003014-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459019003431/0001564590-19-003431-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459020005259/0001564590-20-005259-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459021006425/0001564590-21-006425-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459022005590/0001564590-22-005590-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3100000,10000000,4200000,200000,1400000,900000,1109000,5454000,3308000,4735000,241000,620000,2909000,10648000,14812000,42349000,34944000,274000,321000,307000,142000,112000,75000,207000,3696000,170000,164000,118000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3100000,10000000,4200000,200000,1400000,900000,1109000,5454000,3308000,4735000,241000,620000,2909000,10648000,14812000,42349000,34944000,274000,321000,307000,142000,112000,75000,207000,3696000,170000,164000,118000
34,Net Receivables,3500000,7800000,9400000,14500000,8800000,12100000,12819000,13257000,11550000,12690000,24562000,27963000,33308000,27501000,33057000,17028000,29273000,39398000,25881000,21447000,29057000,17683000,19437000,24990000,32618000,35595000,18101000,21192000
35,Inventory,5200000,7100000,9800000,15500000,16200000,15700000,18788000,17900000,22717000,22281000,38318000,51398000,66019000,65572000,63222000,41322000,69710000,85088000,95749000,82593000,101070000,83373000,91342000,116663000,134738000,147402000,111380000,140684000
36,Other Current Assets,200000,500000,600000,800000,2000000,1600000,1347000,1482000,3581000,4285000,3417000,2790000,3044000,5537000,8239000,9344000,5661000,30636000,25479000,16948000,12364000,2584000,2729000,4404000,3756000,8300000,7471000,8567000
37,Total Current Assets,12000000,25400000,24000000,31000000,28400000,30300000,34063000,38093000,41156000,43991000,66538000,82771000,105280000,109258000,119330000,110043000,139588000,155396000,147430000,121295000,142633000,103752000,113583000,146264000,174808000,191467000,137116000,170561000
38,PP&E,2600000,6700000,17800000,24900000,35700000,37000000,39090000,41202000,42246000,40176000,40716000,45761000,49251000,54271000,62626000,70085000,71581000,183148000,206150000,203590000,199795000,193505000,182398000,174444000,177844000,176061000,164983000,159162000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20479000,20268000,20268000,20268000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20479000,20268000,20268000,20268000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,300000,300000,300000,400000,900000,594000,151000,642000,758000,586000,495000,584000,767000,988000,1586000,1499000,2649000,2418000,2771000,1861000,1298000,64000,523000,668000,871000,947000,909000
45,Total Non-Current Assets,2800000,7000000,18100000,25200000,36100000,37900000,39684000,41353000,42888000,40934000,41302000,46256000,49835000,55038000,63614000,71671000,73080000,206276000,228836000,226629000,221924000,194803000,182462000,174967000,178512000,176932000,165930000,160071000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14800000,32400000,42100000,56200000,64500000,68200000,73747000,79446000,84044000,84925000,107840000,129027000,155115000,164296000,182944000,181714000,212668000,361672000,376266000,347924000,364557000,298555000,296045000,321231000,353320000,368399000,303046000,330632000
48,Accounts Payable,3500000,4100000,5900000,8000000,3200000,5500000,5624000,4597000,4190000,6792000,11666000,12579000,13123000,16047000,19350000,7783000,20022000,29912000,10610000,14288000,25009000,11850000,19906000,34898000,44379000,40912000,12632000,24000000
49,Short-Term Debt,- -,- -,300000,300000,2300000,2900000,1808000,1832000,1971000,1944000,4682000,4656000,2364000,383000,943000,2957000,3377000,3000000,1500000,3000000,3000000,3000000,4579000,4707000,3907000,3934000,16978000,2702000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1600000,2300000,1900000,2700000,1100000,1100000,3073000,3009000,1457000,1841000,2272000,3872000,9450000,6907000,4216000,1731000,6093000,8513000,5406000,4453000,6872000,3896000,4701000,5343000,10868000,5279000,4283000,4936000
53,Total Current Liabilities,5100000,6400000,8100000,11000000,6600000,9500000,10505000,9438000,7618000,10577000,18620000,21107000,24937000,23337000,24509000,12471000,29492000,41425000,17516000,21741000,34881000,18746000,29186000,44948000,59154000,50125000,33893000,31638000
54,Long-Term Debt,800000,500000,2500000,5400000,11800000,10000000,8199000,6490000,7502000,5599000,12190000,17317000,17228000,1453000,1046000,10823000,7990000,91650000,105242000,86796000,83875000,74137000,66528000,73531000,41815000,59892000,33939000,67203000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1000000,2000000,3400000,5000000,6276000,7146000,8123000,9313000,10093000,9600000,8402000,9904000,11689000,14049000,15276000,48291000,55227000,42532000,42108000,20666000,17629000,9605000,11481000,10962000,5725000,2461000
57,Other Non-Current Liabilities,- -,-100000,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145000,287000,- -,- -,397000,63000,29000,1482000,1479000,3859000,4284000,3809000,3009000
58,Total Non-Current Liabilities,800000,400000,3500000,7400000,15300000,15000000,14475000,13636000,15625000,14912000,22283000,26917000,25630000,11357000,12735000,25017000,23553000,139941000,160469000,129725000,126046000,94832000,85639000,84615000,57155000,75138000,43473000,72673000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1763000,1897000,1502000,1026000,1803000,1444000
61,Total Liabilities,5900000,6800000,11600000,18400000,21900000,24500000,24980000,23074000,23243000,25489000,40903000,48024000,50567000,34694000,37244000,37488000,53045000,181366000,177985000,151466000,160927000,113578000,114825000,129563000,116309000,125263000,77366000,104311000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,6000,6000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,7000,8000,8000,9000,9000,9000,9000
64,Retained Earnings,-2500000,200000,5000000,12200000,17300000,19400000,24417000,32056000,34148000,32731000,39862000,52918000,73532000,96142000,110092000,107134000,120376000,138498000,153115000,149053000,153103000,132431000,127084000,135529000,146191000,150487000,131440000,130682000
65,Other Comprehensive Income/Loss,- -,-300000,-700000,-1800000,-3300000,-5300000,-7770000,-10534000,-13653000,-16706000,-19752000,-22290000,-25605000,-29311000,-32931000,-32000,-182000,- -,-62016000,-76364000,-91314000,-107155000,21000,-93000,1000,-31000,-45000,40000
66,Other Total Stockholders Equity,11400000,25700000,26200000,27400000,28600000,29600000,32114000,34844000,40299000,43404000,46820000,50368000,56614000,62764000,68532000,37117000,39422000,41801000,107175000,123762000,141834000,159694000,54107000,56224000,90810000,92671000,94276000,95590000
67,Total Stockholders Equity,8900000,25600000,30500000,37800000,42600000,43700000,48767000,56372000,60801000,59436000,66937000,81003000,104548000,129602000,145700000,144226000,159623000,180306000,198281000,196458000,203630000,184977000,181220000,191668000,237011000,243136000,225680000,226321000
68,Total Liabilities And Stockholders Equity,14800000,32400000,42100000,56200000,64500000,68200000,73747000,79446000,84044000,84925000,107840000,129027000,155115000,164296000,182944000,181714000,212668000,361672000,376266000,347924000,364557000,298555000,296045000,321231000,353320000,368399000,303046000,330632000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14800000,32400000,42100000,56200000,64500000,68200000,73747000,79446000,84044000,84925000,107840000,129027000,155115000,164296000,182944000,181714000,212668000,361672000,376266000,347924000,364557000,298555000,296045000,321231000,353320000,368399000,303046000,330632000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/931584/000119312504034572/0001193125-04-034572-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312505042840/0001193125-05-042840-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312506068113/0001193125-06-068113-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312507044300/0001193125-07-044300-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312508050080/0001193125-08-050080-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312509047391/0001193125-09-047391-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312510042355/0001193125-10-042355-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312511054913/0001193125-11-054913-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312512099305/0001193125-12-099305-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000119312513112726/0001193125-13-112726-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156276214000043/0001562762-14-000043-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156276215000033/0001562762-15-000033-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000093158416000009/0000931584-16-000009-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459017001991/0001564590-17-001991-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459018003014/0001564590-18-003014-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459019003431/0001564590-19-003431-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459020005259/0001564590-20-005259-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459021006425/0001564590-21-006425-index.htm,https://www.sec.gov/Archives/edgar/data/931584/000156459022005590/0001564590-22-005590-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2400000,2700000,4800000,7200000,5000000,2100000,5064000,7639000,2092000,-1417000,7131000,13056000,20614000,22504000,13950000,-2958000,13242000,18122000,14617000,-4062000,4050000,-20672000,-5347000,7610000,10662000,4275000,-19047000,-758000
74,Depreciation and Amortization,100000,300000,500000,1100000,1500000,2100000,2466000,2782000,3271000,3093000,3061000,3085000,3337000,3731000,4167000,4859000,5486000,7271000,12627000,16280000,17476000,18608000,18533000,18823000,18918000,19133000,19449000,19300000
75,Deferred Income Tax,- -,-200000,700000,800000,1600000,400000,1509000,1087000,596000,996000,724000,-90000,-1836000,253000,558000,1853000,730000,10072000,12635000,-2998000,2935000,-12060000,-3525000,-7593000,1850000,-517000,-5231000,-3288000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,838000,1058000,1819000,1408000,1314000,1827000,2082000,1865000,1405000,1564000,1442000,1390000,1455000,1121000
77,Change in Working Capital,-3000000,12100000,-3100000,4100000,1800000,-1000000,2758000,5097000,4883000,-124000,14504000,13746000,18679000,5578000,8900000,2751000,12524000,3875000,15943000,-30360000,8198000,-22746000,-609000,16919000,14338000,25688000,-38119000,-24344000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5556000,16029000,-12245000,-5281000,10267000,3334000,-7610000,11374000,-1754000,-5567000,-7628000,-2977000,17494000,-3091000
79,Inventory,-4100000,-1400000,-2700000,-5700000,-700000,500000,-3058000,888000,-859000,436000,-16037000,-13080000,-14621000,447000,2350000,21900000,-28388000,-15378000,-10661000,11934000,-20075000,15929000,-9155000,-27378000,-20373000,-14965000,34326000,-30986000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5367000,-11567000,12239000,-5000,-20130000,3391000,10721000,-13009000,7096000,14178000,5293000,-1412000,-25282000,10986000
81,Other Working Capital,6900000,19000000,15900000,20000000,21800000,20800000,23558000,28655000,33538000,33414000,47918000,61664000,80343000,85921000,94821000,97572000,110096000,113971000,129914000,99554000,107752000,85006000,84397000,101316000,115654000,141342000,103223000,-1253000
82,Other Non-Cash Items,1000000,-16800000,700000,-12100000,-3000000,1300000,-5512000,-4700000,-7018000,1230000,-35137000,-26466000,-34493000,1557000,-10743000,20143000,-32506000,-30061000,-36327000,47932000,-21852000,54175000,-2051000,-36218000,-30603000,-54378000,65304000,-10000000
83,Cash Provided by Operating Activities,-4300000,-1900000,3600000,1100000,6900000,4900000,6285000,11905000,3824000,3778000,-9717000,3331000,6301000,33623000,17670000,27706000,1295000,10687000,20809000,28619000,12889000,19170000,8406000,1105000,16607000,-4409000,23811000,-17969000
84,CAPEX,-100000,-3000000,-11400000,-8100000,-12100000,-3400000,-4598000,-5253000,-4194000,-1193000,-3586000,-8464000,-7716000,-8782000,-12905000,-12394000,-7481000,-16790000,-34229000,-11502000,-11173000,-9551000,-4376000,-7996000,-15388000,-17354000,-9157000,-11105000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-1283000,- -,- -,-344000,- -,- -,- -,- -,- -,-91298000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-1900000,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,18000,20000,14000,- -,- -,218000,1571000,70000,10000,- -,-9157000,-11105000
89,Cash Used for Investing Activites,-2000000,-3900000,-11400000,-8100000,-12100000,-3400000,-4598000,-5253000,-5477000,-1193000,-3586000,-8808000,-7716000,-8782000,-12905000,-12334000,-7463000,-108068000,-34215000,-11502000,-11173000,-9333000,-2805000,-7926000,-15378000,-17354000,-9157000,-11105000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1911000,-403000,-2223000,-42098000,-107000000,-93730000,-106706000,-83253000,-276691000,-343914000,-401092000,-157536000,-140686000,-113317000
91,Common Stock Issued,13300000,14000000,- -,100000,200000,100000,50000,53000,1920000,52000,319000,803000,1585000,1059000,781000,372000,603000,627000,1608000,1117000,1040000,455000,651000,553000,32246000,- -,- -,- -
92,Common Stock Repurchased,-2000000,- -,- -,- -,-500000,-1100000,- -,-87000,- -,- -,- -,- -,- -,- -,- -,- -,-260000,- -,-234000,-137000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1900000,700000,1900000,2900000,6900000,-1100000,-1496000,-2273000,-2413000,-1210000,8490000,5053000,2119000,-18161000,529000,12196000,643000,104726000,119079000,75619000,103785000,72931000,270402000,350314000,371501000,175378000,126026000,142345000
95,Cash Used/Provided by Financing Activities,9400000,14700000,1900000,3000000,6600000,-2100000,-1446000,-2307000,-493000,-1158000,8809000,5856000,3704000,-17102000,-601000,12165000,-1237000,63255000,13453000,-17131000,-1881000,-9867000,-5638000,6953000,2655000,17842000,-14660000,29028000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-500000,241000,4345000,-2146000,1427000,-4494000,379000,2289000,7739000,4164000,27537000,-7405000,-34126000,47000,-14000,-165000,-30000,-37000,132000,3884000,-3921000,-6000,-46000
98,Cash at the End of Period,- -,- -,- -,- -,- -,900000,1109000,5454000,3308000,4735000,241000,620000,2909000,10648000,14812000,42349000,34944000,274000,321000,307000,142000,112000,75000,207000,4091000,170000,164000,118000
99,Cash at the Beginning of Period,- -,1100000,10000000,4200000,200000,1400000,868000,1109000,5454000,3308000,4735000,241000,620000,2909000,10648000,14812000,42349000,34400000,274000,321000,307000,142000,112000,75000,207000,4091000,170000,164000
100,Free Cash Flow,-4400000,-4900000,-7800000,-7000000,-5200000,1500000,1687000,6652000,-370000,2585000,-13303000,-5133000,-1415000,24841000,4765000,15312000,-6186000,-6103000,-13420000,17117000,1716000,9619000,4030000,-6891000,1219000,-21763000,14654000,-29074000
