,https://roic.ai/company/Y,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-14900000,-13600000,-20600000,-34600000,-41800000,-146630000,-41469000,-52230000,-16580000,-29769000,-27257000,-15424000,-12034000,-13851000,-13990000,-16489000,-9613000,-4867000,-5441000,-9760000,-5539000,-6607000,-6411000,-8123000,-17427000,-43681000,-27258000,-24005000,- -,-23286000,-47572000,-37519000,-59651000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,316348000,-82043000,- -,- -,- -,- -,385744000,529116000,-221056000,-109244000,35485000,176280000,- -,-189899000,-50816000,- -,- -,- -,-436502000,- -,-8203000,-156867000,-180242000,-86119000,-235176000,-218260000,-128921000,-303475000
86,Purchases of Investments,- -,- -,- -,-860300000,-1559300000,-1586300000,-1243100000,-1931800000,-931133000,-718751000,-761229000,-591358000,-321092000,-459228000,-341676000,-542169000,-885410000,-1451746000,-1282535000,-1534560000,-1680791000,-1610014000,-1884135000,-2332932000,-2244141000,-2228761000,-5182210000,-11088659000,-8304317000,-10643455000,-8496944000,-10379779000,-6074323000,-7247770000,-8695698000,-8263076000
87,Sales/Maturities of Investments,- -,- -,- -,879800000,1500000000,1617600000,1109000000,1831800000,773541000,678615000,430834000,434871000,370059000,405024000,117521000,110303000,1466725000,1945067000,940419000,922232000,931490000,1314163000,1475404000,2411052000,1965191000,2265175000,5477123000,10392762000,8664326000,11204005000,8475256000,10390167000,6782863000,7086955000,7574697000,6455732000
88,Other Investing Activites,- -,- -,- -,-113400000,-183400000,-139600000,-76700000,-91900000,6297000,25787000,4239000,20960000,-177858000,-1067000,8499000,-6941000,-315947000,-601040000,-19988000,-65317000,-111956000,4640000,3700000,-913000,55036000,3801000,-163948000,92770000,-257090000,-204767000,-446792000,-79389000,-104646000,-49892000,2994000,161340000
89,Cash Used for Investing Activites,- -,- -,- -,-108800000,-256300000,-128900000,-245400000,-233700000,18423000,-137861000,-378386000,-152107000,-158660000,-82528000,154664000,78275000,30461000,-230953000,-343108000,-510978000,-866124000,-486551000,-465607000,71668000,-230521000,33804000,-313660000,-620554000,51035000,171658000,-672727000,-155120000,345432000,-476539000,-1284447000,-2009130000
90,Debt Repayment,- -,- -,- -,-47500000,-117300000,-225800000,-59800000,-33100000,-379818000,-167274000,-172505000,-112000000,-22000000,-92476000,-72518000,-77296000,-43124000,-49104000,-26382000,- -,- -,-80000000,- -,- -,- -,- -,- -,- -,-318588000,-367002000,- -,-28924000,- -,- -,-307095000,- -
91,Common Stock Issued,- -,- -,- -,700000,600000,600000,500000,1800000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86288000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-400000,-25500000,- -,-1200000,-7900000,-10127000,-7705000,- -,- -,- -,-22292000,-86245000,-12576000,-28731000,-287000,- -,- -,-125474000,- -,-25068000,-193214000,-83135000,-120325000,-17768000,-40389000,-300478000,-243814000,-68320000,-16048000,-491633000,-144422000,-194762000,-290521000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-75000,-144000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8342000,-17367000,-17350000,-7456000,- -,- -,- -,- -,- -,- -,- -,- -,-153967000,- -,-215013000,- -
94,Other Financing Activites,- -,- -,- -,230100000,370700000,393800000,131000000,170000000,309472000,164178000,281360000,104850000,21120000,67436000,106258000,-324275000,14225000,58321000,16762000,11081000,380451000,101541000,-537000,-22000,297003000,888000,405696000,-30217000,316991000,2033000,50906000,-19400000,108916000,41208000,552862000,595091000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,182900000,228500000,168600000,70500000,130800000,-80548000,-10845000,108855000,-7150000,-880000,-47332000,-52505000,-414147000,-57630000,8930000,-9620000,11081000,332923000,4174000,-42955000,-200692000,213868000,-119437000,387928000,-70606000,-302075000,-608783000,-17414000,-64372000,-536684000,-103214000,-164008000,304570000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5347000,-43909000,-14795000,-18845000,16038000,18041000,-10783000,5683000,23965000,-19149000
97,Net Change In Cash,- -,- -,- -,182900000,228500000,168600000,70500000,130800000,-1224000,70126000,4779000,8890000,-20331000,1345000,-14754000,5470000,11706000,204160000,57507000,-106998000,20875000,-3217000,-39521000,14401000,44215000,8008000,564775000,-151209000,106944000,-129992000,118824000,244284000,200388000,140335000,-387656000,136524000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,107942000,178068000,59954000,45772000,25441000,26786000,10247000,15717000,27423000,231583000,288436000,160762000,68332000,65115000,18125000,32526000,76741000,84749000,649524000,498315000,605259000,475267000,594091000,838375000,1038763000,1179098000,791442000,927966000
99,Cash at the Beginning of Period,- -,- -,- -,36600000,80600000,55300000,104000000,81800000,109166000,107942000,55175000,36882000,45772000,25441000,25001000,10247000,15717000,27423000,230929000,267760000,47457000,68332000,57646000,18125000,32526000,76741000,84749000,649524000,498315000,605259000,475267000,594091000,838375000,1038763000,1179098000,791442000
100,Free Cash Flow,- -,- -,- -,-45000000,1600000,-11600000,118100000,143200000,-85729000,177363000,222080000,151567000,109440000,103948000,-132337000,329308000,25024000,412193000,393746000,370063000,549209000,473719000,320786000,137886000,54261000,87230000,487731000,566433000,329098000,298720000,768922000,445735000,379137000,666833000,999315000,1800582000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012395000585/0000950123-95-000585-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012396001240/0000950123-96-001240-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012301002452/0000950123-01-002452-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012307002859/y30951e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000095012308002163/y44451e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000095012309003629/0000950123-09-003629-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012310017570/0000950123-10-017570-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012311018269/y88984e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312512076843/0001193125-12-076843-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312513069346/0001193125-13-069346-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312514067345/d647217d10k.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312515060159/d840943d10k.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312516473635/0001193125-16-473635-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312517052180/0001193125-17-052180-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312518052080/0001193125-18-052080-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312519045528/0001193125-19-045528-index.html,https://www.sec.gov/Archives/edgar/data/775368/000156459020005335/0001564590-20-005335-index.html,https://www.sec.gov/Archives/edgar/data/775368/000156459021007601/0001564590-21-007601-index.htm,https://www.sec.gov/Archives/edgar/data/775368/000095017022001798/0000950170-22-001798-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
