,https://roic.ai/company/DAL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2175000000,3400000000,2206000000,7802000000,6952000000,6114000000,5264000000,6618000000,-12469000000,1886000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0593,0.0900,0.0547,0.1917,0.1754,0.1482,0.1185,0.1408,-0.7294,0.0631
19,Total Other Income Expenses (Gains),- -,98200000,42600000,-41300000,32900000,48400000,-50200000,-111500000,-158300000,-739000000,-167000000,-1016000000,-167000000,-45000000,-44000000,-88000000,-262000000,-693000000,-403000000,-2559000000,-1858000000,-7026000000,723000000,-11446000000,-5202000000,-3705000000,-1448000000,-1150000000,-873000000,-1134000000,-645000000,-316000000,-413000000,-113000000,-420000000,-3118000000,-1488000000
20,Income Before Tax,- -,45100000,447200000,455800000,711200000,467900000,-500200000,-786400000,-651200000,-660000000,494000000,276000000,1415000000,1648000000,1826000000,1549000000,-1864000000,-2002000000,-1189000000,-3992000000,-3859000000,-6968000000,1819000000,-9041000000,-1581000000,608000000,769000000,1025000000,2527000000,1072000000,7157000000,6636000000,5701000000,5151000000,6198000000,-15587000000,398000000
21,Income Before Tax Ratio,- -,0.0103,0.0841,0.0659,0.0879,0.0545,-0.0545,-0.0726,-0.0543,-0.0534,0.0405,0.0222,0.1041,0.1166,0.1241,0.0925,-0.1343,-0.1505,-0.0894,-0.2661,-0.2383,-0.4058,0.0950,-0.3983,-0.0563,0.0191,0.0219,0.0280,0.0669,0.0266,0.1758,0.1674,0.1382,0.1159,0.1319,-0.9118,0.0133
22,Income Tax expense (Gain),- -,-2200000,183500000,149000000,250300000,165100000,-175800000,-280100000,-236500000,-251000000,200000000,120000000,561000000,647000000,725000000,621000000,-648000000,-730000000,-416000000,1206000000,-41000000,-765000000,207000000,-119000000,-344000000,15000000,-85000000,16000000,-8013000000,413000000,2631000000,2263000000,2124000000,1216000000,1431000000,-3202000000,-118000000
23,Net Income,- -,47300000,263700000,306800000,460900000,302800000,-324400000,-506300000,-1001800000,-409000000,408000000,156000000,854000000,1001000000,1101000000,828000000,-1216000000,-1272000000,-773000000,-5198000000,-3818000000,-6203000000,1612000000,-8922000000,-1237000000,593000000,854000000,1009000000,10540000000,659000000,4526000000,4373000000,3577000000,3935000000,4767000000,-12385000000,516000000
24,Net Income ratio,- -,0.0108,0.0496,0.0444,0.0570,0.0353,-0.0354,-0.0467,-0.0835,-0.0331,0.0335,0.0125,0.0628,0.0708,0.0748,0.0495,-0.0876,-0.0956,-0.0581,-0.3465,-0.2358,-0.3612,0.0842,-0.3931,-0.0441,0.0187,0.0243,0.0275,0.2790,0.0163,0.1112,0.1103,0.0867,0.0886,0.1014,-0.7245,0.0173
25,EPS,- -,0.59,2.95,3.15,4.69,2.90,-3.87,-5.30,-11.16,-10.32,6.32,1.42,11.30,13.28,7.63,6.58,-9.99,-10.44,-6.40,-41.07,-23.75,-31.58,9.10,-19.08,-1.50,0.71,1.02,1.20,12.41,0.79,5.68,5.82,4.53,5.69,7.32,-19.49,0.81
26,EPS Diluted,- -,0.59,2.95,3.15,4.69,2.64,-3.87,-5.30,-11.16,-10.32,5.43,1.42,11.01,12.68,7.20,6.28,-9.99,-10.44,-6.40,-41.07,-23.75,-31.58,6.71,-19.08,-1.50,0.70,1.01,1.19,12.29,0.78,5.63,5.79,4.43,5.67,7.30,-19.49,0.81
27,Weighted Average Shares Outstanding,- -,80169492,89389831,97396825,98272921,96275862,88630491,99037736,99659498,100124481,50632911,102857143,74778761,74548193,142857143,123860182,123123123,123275862,123437500,127027027,161515789,196485117,230000000,468000000,827000000,834000000,838000000,845000000,849000000,836000000,797000000,751000000,707197979,691000000,651000000,636000000,637000000
28,Weighted Average Shares Outstanding Diluted,- -,80169492,89389831,97396825,98272921,105757576,88630491,99037736,99659498,100124481,58931860,102857143,76748411,78075710,151388889,129777070,123123123,123275862,123437500,127027027,161515789,196485117,311922504,468000000,827000000,843000000,844000000,850000000,858000000,845000000,804000000,755000000,723476298,694000000,653000000,636000000,641000000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27904/000095010994001748/0000950109-94-001748-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014495002692/0000950144-95-002692-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014496006709/0000950144-96-006709-index.html,https://www.sec.gov/Archives/edgar/data/27904/000095014497010440/0000950144-97-010440-index.html,https://www.sec.gov/Archives/edgar/data/27904/000104746998035570/0001047469-98-035570-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27904/000095014404002423/0000950144-04-002423-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095014405002298/0000950144-05-002298-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095014406002765/0000950144-06-002765-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000118811207000582/0001188112-07-000582-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000119312508032611/0001193125-08-032611-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000119312509042726/0001193125-09-042726-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095012310016275/0000950123-10-016275-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000095012311014364/0000950123-11-014364-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000144530512000272/0001445305-12-000272-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000144530513000209/0001445305-13-000209-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790414000003/0000027904-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790415000003/0000027904-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790416000018/0000027904-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790417000004/0000027904-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790418000006/0000027904-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790419000003/0000027904-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790420000004/0000027904-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790421000003/0000027904-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/27904/000002790422000003/0000027904-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,61300000,379900000,822800000,529700000,68500000,763700000,50400000,1180400000,1302000000,1233000000,1145000000,662000000,1077000000,1124000000,- -,2210000000,1969000000,2710000000,1463000000,2008000000,2034000000,2648000000,4255000000,4607000000,2892000000,2657000000,2416000000,2844000000,2088000000,1972000000,2762000000,1814000000,1565000000,2882000000,8307000000,7933000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,408000000,529000000,507000000,508000000,557000000,19000000,- -,5000000,- -,- -,336000000,- -,614000000,138000000,212000000,71000000,718000000,958000000,958000000,959000000,1217000000,1465000000,487000000,825000000,203000000,- -,5789000000,3386000000
33,Cash and Short-Term Investments,- -,61300000,379900000,822800000,529700000,68500000,763700000,50400000,1180400000,1710000000,1762000000,1652000000,1170000000,1634000000,1143000000,- -,2215000000,1969000000,2710000000,1799000000,2008000000,2648000000,2786000000,4467000000,4678000000,3610000000,3615000000,3374000000,3803000000,3305000000,3437000000,3249000000,2639000000,1768000000,2882000000,14096000000,11319000000
34,Net Receivables,- -,425900000,626100000,644500000,752200000,726100000,772600000,1090700000,1024900000,886000000,755000000,968000000,943000000,938000000,602000000,- -,368000000,611000000,662000000,696000000,819000000,915000000,1066000000,2582000000,1360000000,1456000000,1563000000,1693000000,1609000000,3222000000,2139000000,2064000000,2377000000,2314000000,2854000000,1396000000,2404000000
35,Inventory,- -,35500000,42300000,52400000,57000000,68300000,70300000,88500000,90600000,- -,- -,- -,- -,- -,- -,- -,181000000,164000000,202000000,203000000,172000000,181000000,262000000,388000000,327000000,318000000,367000000,1023000000,1063000000,852000000,697000000,891000000,1329000000,1055000000,1251000000,732000000,694000000
36,Other Current Assets,- -,60200000,131300000,131500000,135900000,155100000,285700000,468800000,526000000,627000000,497000000,662000000,754000000,790000000,927000000,- -,803000000,1158000000,1393000000,908000000,1481000000,1641000000,1126000000,1467000000,1376000000,1923000000,2184000000,2182000000,3176000000,5086000000,2783000000,1247000000,1499000000,1203000000,1262000000,1180000000,1523000000
37,Total Current Assets,- -,582900000,1179600000,1651200000,1474800000,1018000000,1892300000,1698400000,2821900000,3223000000,3014000000,3282000000,2867000000,3362000000,2672000000,- -,3567000000,3902000000,4967000000,3606000000,4480000000,5385000000,5240000000,8904000000,7741000000,7307000000,7729000000,8272000000,9651000000,12465000000,9056000000,7451000000,7844000000,6340000000,8249000000,17404000000,15940000000
38,PP&E,- -,3134500000,3673900000,3566200000,4477900000,5398900000,5640700000,7093300000,7140700000,6603000000,6936000000,6132000000,8042000000,9321000000,11467000000,- -,16097000000,16524000000,16752000000,16556000000,14280000000,12973000000,11701000000,20627000000,20433000000,20307000000,20223000000,20713000000,21854000000,21929000000,23039000000,24375000000,26563000000,34329000000,36937000000,32262000000,35922000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,274000000,265000000,257000000,265000000,782000000,- -,2092000000,2092000000,2092000000,227000000,227000000,227000000,12104000000,9731000000,9787000000,9794000000,9794000000,9794000000,9794000000,9794000000,9794000000,9794000000,9794000000,9781000000,9781000000,9753000000,9753000000
40,Intangible Assets,- -,- -,371800000,326300000,317900000,309400000,300900000,300300000,291600000,- -,- -,- -,- -,- -,- -,- -,94000000,102000000,95000000,79000000,74000000,89000000,2806000000,4944000000,4829000000,4749000000,4751000000,4679000000,4658000000,4603000000,4861000000,4844000000,4847000000,4830000000,5163000000,6011000000,6001000000
41,Intangible Assets,- -,- -,371800000,326300000,317900000,309400000,300900000,300300000,291600000,283000000,274000000,265000000,257000000,265000000,782000000,- -,2186000000,2194000000,2187000000,306000000,301000000,316000000,14910000000,14675000000,14616000000,14543000000,14545000000,14473000000,14452000000,14397000000,14655000000,14638000000,14641000000,14611000000,14944000000,15764000000,15754000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000000,21000000,- -,- -,- -,24000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2568000000,1665000000,1712000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,560000000,- -,415000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4992000000,4320000000,4956000000,3064000000,935000000,242000000,- -,1988000000,1370000000
44,Other Non-Current Assets,- -,68100000,117100000,204700000,213400000,500700000,576800000,1069600000,1616800000,1227000000,1919000000,2132000000,1575000000,1655000000,1623000000,- -,1755000000,1893000000,2429000000,1333000000,978000000,948000000,548000000,808000000,749000000,1031000000,1002000000,1092000000,1303000000,1010000000,1428000000,1733000000,3309000000,4744000000,1834000000,2913000000,1773000000
45,Total Non-Current Assets,- -,3202600000,4162800000,4097200000,5009200000,6209000000,6518400000,8463200000,9049100000,8673000000,9129000000,8944000000,9874000000,11241000000,13872000000,- -,20038000000,20818000000,21389000000,18195000000,15559000000,14237000000,27183000000,36110000000,35798000000,35881000000,35770000000,36278000000,42601000000,41656000000,44078000000,43810000000,45448000000,53926000000,56283000000,54592000000,56531000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3785500000,5342400000,5748400000,6484000000,7227000000,8410700000,10161600000,11871000000,11896000000,12143000000,12226000000,12741000000,14603000000,16544000000,- -,23605000000,24720000000,26356000000,21801000000,20039000000,19622000000,32423000000,45014000000,43539000000,43188000000,43499000000,44550000000,52252000000,54121000000,53134000000,51261000000,53292000000,60266000000,64532000000,71996000000,72471000000
48,Accounts Payable,- -,- -,- -,- -,- -,940900000,698300000,956700000,1202000000,- -,- -,- -,- -,- -,- -,- -,- -,1921000000,1759000000,1560000000,1407000000,936000000,1045000000,1604000000,1249000000,1713000000,1600000000,2293000000,2300000000,2622000000,2743000000,2572000000,3674000000,2976000000,3266000000,2840000000,4240000000
49,Short-Term Debt,- -,61000000,47200000,36400000,16900000,105400000,79000000,822500000,47200000,227000000,151000000,40000000,236000000,67000000,660000000,- -,1025000000,693000000,1021000000,893000000,1186000000,1503000000,1014000000,5722000000,4746000000,2073000000,1944000000,1627000000,1547000000,1216000000,1563000000,1131000000,2242000000,2473000000,3088000000,2410000000,3564000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,862000000,915000000,499000000,525000000,500000000,320000000,565000000,525000000,579000000,594000000,585000000,673000000,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1055000000,1624000000,1614000000,4996000000,5329000000,5502000000,5983000000,5876000000,6138000000,6274000000,6710000000,7650000000,8335000000,5821000000,2710000000
52,Other Current Liabilities,- -,685000000,1133900000,1355500000,1746000000,786300000,1378200000,1763600000,1723600000,3309000000,3290000000,3598000000,3847000000,4510000000,4667000000,- -,5378000000,3841000000,3844000000,3488000000,2672000000,3330000000,3491000000,2072000000,2188000000,2603000000,3828000000,3848000000,4322000000,7165000000,7082000000,5262000000,5947000000,5479000000,5515000000,4856000000,10442000000
53,Total Current Liabilities,- -,746000000,1181100000,1391900000,1762900000,1832600000,2155500000,3542800000,2972800000,3536000000,3441000000,3638000000,4083000000,4577000000,5327000000,- -,6403000000,6455000000,6624000000,5941000000,5265000000,5769000000,6605000000,11022000000,9797000000,11385000000,12701000000,13270000000,14152000000,16879000000,17526000000,15239000000,18573000000,18578000000,20204000000,15927000000,20956000000
54,Long-Term Debt,- -,868600000,1018400000,729500000,703000000,1315200000,2058600000,2832600000,3716700000,3142000000,2683000000,1799000000,1475000000,1533000000,1756000000,- -,8279000000,10074000000,11460000000,13005000000,6557000000,6509000000,7986000000,15411000000,15665000000,13179000000,11847000000,11082000000,9795000000,8561000000,6766000000,6201000000,6592000000,8253000000,8873000000,33138000000,23356000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2532000000,3489000000,3198000000,2777000000,2700000000,2628000000,2559000000,2602000000,2246000000,2278000000,2296000000,3652000000,3509000000,5905000000,4849000000
56,Deferred Tax Liabilities,- -,427300000,590900000,539900000,519100000,506000000,378200000,244900000,- -,- -,- -,- -,- -,262000000,820000000,- -,465000000,- -,- -,- -,- -,406000000,855000000,1981000000,1667000000,1924000000,2028000000,2047000000,- -,- -,- -,- -,- -,- -,1456000000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3751000000,4444000000,4249000000,4176000000,4208000000,4193000000,- -,4689000000,7298000000,8931000000,8651000000,18112000000,20531000000,4332000000,12237000000,12967000000,13026000000,15619000000,17654000000,14103000000,17266000000,15746000000,15256000000,11921000000,16096000000,15132000000,15492000000,19676000000
58,Total Non-Current Liabilities,- -,1295900000,1609300000,1269400000,1222100000,1821200000,2436800000,3077500000,3716700000,6893000000,7127000000,6048000000,5651000000,6003000000,6769000000,- -,13433000000,17372000000,20391000000,21656000000,24669000000,27446000000,15705000000,33118000000,33497000000,30906000000,32194000000,33411000000,26457000000,28429000000,24758000000,23735000000,20809000000,28001000000,28970000000,54535000000,47881000000
59,Other Liabilities,- -,3033500000,3832700000,3417100000,3323500000,4597400000,6185900000,7731200000,10619500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127000000,97000000,- -,- -,- -,127000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6756000000,6095000000,6391000000,- -
61,Total Liabilities,- -,2483600000,3404500000,3539600000,3864300000,4608800000,5904600000,8196500000,9875600000,10429000000,10568000000,9686000000,9734000000,10580000000,12096000000,- -,19836000000,23827000000,27015000000,27597000000,29934000000,33215000000,22310000000,44140000000,43294000000,42291000000,44895000000,46681000000,40609000000,45308000000,42284000000,38974000000,39382000000,46579000000,49174000000,70462000000,68572000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437000000,420000000,390000000,336000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,163000000,164000000,217000000,251000000,265000000,270000000,- -,271000000,271000000,271000000,286000000,2000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,1088300000,1307600000,1556000000,1957800000,2157900000,1761100000,1176800000,35900000,-490000000,-184000000,-119000000,711000000,1687000000,2756000000,- -,2930000000,1639000000,844000000,-4373000000,-8209000000,-14414000000,314000000,-8608000000,-9845000000,-9252000000,-8398000000,-7389000000,3049000000,3456000000,7623000000,7903000000,9636000000,10039000000,12454000000,-428000000,-148000000
65,Other Comprehensive Income/Loss,- -,-2329500000,-2419400000,-2728800000,-2984000000,-3347300000,-3819100000,-4308300000,-4830700000,-5130000000,-5662000000,-4767000000,-5444000000,- -,- -,- -,-8085000000,-1562000000,-2338000000,-2358000000,-2722000000,-518000000,435000000,-4080000000,-3563000000,-3578000000,-6766000000,-8577000000,-5130000000,-7311000000,-7275000000,-7636000000,-7621000000,-7825000000,-7989000000,-9038000000,-7130000000
66,Other Total Stockholders Equity,- -,2543100000,3049700000,3381600000,3645900000,3807600000,4564100000,5096600000,6790200000,6924000000,7257000000,7209000000,7489000000,2071000000,1422000000,- -,8653000000,108000000,144000000,259000000,698000000,1337000000,9364000000,13562000000,13653000000,13727000000,13768000000,13835000000,13724000000,12668000000,10502000000,12020000000,11895000000,11473000000,10893000000,- -,11165000000
67,Total Stockholders Equity,- -,1301900000,1937900000,2208800000,2619700000,2618200000,2506100000,1965100000,1995400000,1467000000,1575000000,2540000000,3007000000,4023000000,4448000000,- -,3769000000,893000000,-659000000,-5796000000,-9895000000,-13593000000,10113000000,874000000,245000000,897000000,-1396000000,-2131000000,11643000000,8813000000,10850000000,12287000000,13910000000,13687000000,15358000000,1534000000,3887000000
68,Total Liabilities And Stockholders Equity,- -,3785500000,5342400000,5748400000,6484000000,7227000000,8410700000,10161600000,11871000000,11896000000,12143000000,12226000000,12741000000,14603000000,16544000000,- -,23605000000,24720000000,26356000000,21801000000,20039000000,19622000000,32423000000,45014000000,43539000000,43188000000,43499000000,44550000000,52252000000,54121000000,53134000000,51261000000,53292000000,60266000000,64532000000,71996000000,72459000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000
70,Total Liabilities & Equity,- -,3785500000,5342400000,5748400000,6484000000,7227000000,8410700000,10161600000,11871000000,11896000000,12143000000,12226000000,12741000000,14603000000,16544000000,- -,23605000000,24720000000,26356000000,21801000000,20039000000,19622000000,32423000000,45014000000,43539000000,43188000000,43499000000,44550000000,52252000000,54121000000,53134000000,51261000000,53292000000,60266000000,64532000000,71996000000,72471000000
