,https://roic.ai/company/PTSI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,11700000,23800000,40100000,38400000,39300000,33600000,37000000,37600000,38000000,67175292,81691000,105280000,115251000,127186000,196235000,198387000,215051000,244152000,308424000,344367000,376428000,413049000,442194000,202333000,172820000,162100000,171681000,26332000,28422000,30145000,24219000,24984000,26733000,29174000,49383000,22004000,31087000
11,COGS and Expenses,16300000,33200000,56500000,65300000,64000000,53900000,57100000,55000000,55800000,92634764,112330000,144012000,157764000,172713000,280742000,284537000,306823000,347476000,469411000,539067000,599547000,661909000,707029000,381229000,280474000,306557000,364586000,377896000,392161000,392518000,386574000,417624000,425216000,492965000,501047000,452529000,608362000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2429000,2373000,2252000,1798000,2596000,3375000,2897000,2818000,3641000,3902000,6245000,8654000,8815000,8039000
14,Depreciation and Amortization,1800000,3900000,8000000,9400000,8300000,7900000,-6000000,-3100000,-4700000,7141533,9428000,11999000,12995000,14003000,18392000,18806000,20300000,24715000,26601000,30016000,31376000,33929000,38759000,37460000,37742000,27035000,34163000,38298000,39088000,36296000,32346000,39114000,42274000,49387000,55107000,56168000,13586000
15,EBITDA,3400000,8400000,11800000,8300000,- -,2600000,-8600000,-1200000,-1300000,13375385,17515000,17458000,23187000,27234000,37197000,33158000,37092000,52370000,45896000,47908000,53498000,63966000,43378000,10509000,22344000,27684000,30371000,44489000,52134000,61405000,70092000,60527000,60807000,86973000,73876000,88392000,124130000
16,EBITDA ratio,0.1735,0.1981,0.1718,0.1095,- -,0.0452,-0.1309,-0.0180,-0.0185,0.1757,0.1912,0.1545,0.1823,0.1902,0.1794,0.1616,0.1643,0.1984,0.1563,0.1474,0.1482,0.1598,0.1061,0.0258,0.0765,0.0834,0.0845,0.1169,0.1294,0.1494,0.1681,0.1398,0.1389,0.1631,0.1437,0.1816,0.1755
17,Operating Income,3300000,9200000,12200000,10500000,6100000,3600000,8600000,11700000,14400000,8971811,11442000,9565000,13615000,17060000,24455000,19400000,21269000,29640000,20686000,19186000,23526000,31064000,5365000,-21955000,-14653000,-203000,-5343000,2903000,11506000,23010000,36230000,19928000,12680000,41602000,12547000,33923000,100205000
18,Operating Income ratio,0.1684,0.2170,0.1776,0.1385,0.0870,0.0626,0.1309,0.1754,0.2051,0.1178,0.1249,0.0846,0.1070,0.1192,0.1179,0.0945,0.0942,0.1123,0.0705,0.0590,0.0652,0.0776,0.0131,-0.0540,-0.0502,-0.0006,-0.0149,0.0076,0.0286,0.0560,0.0869,0.0460,0.0290,0.0780,0.0244,0.0697,0.1417
19,Total Other Income Expenses (Gains),-1700000,-4700000,-8400000,-11600000,-14400000,-1200000,- -,-9800000,-11000000,-2708370,-3355000,-4106000,-3423000,-3829000,-5650000,-5048000,-4477000,-1985000,-1391000,-1294000,-1404000,-1027000,-746000,-7425000,-3118000,-1400000,-247000,692000,-1835000,-798000,-1302000,-2156000,1951000,-10261000,-2432000,-10514000,2300000
20,Income Before Tax,1600000,4500000,3800000,-1100000,-8300000,- -,- -,1900000,3400000,6263441,8087000,5459000,10192000,13231000,18805000,14352000,16792000,27655000,19295000,17892000,22122000,30037000,4619000,-29380000,-17771000,-1603000,-5590000,3595000,9671000,22212000,34928000,17772000,14631000,31341000,10115000,23409000,102505000
21,Income Before Tax Ratio,0.0816,0.1061,0.0553,-0.0145,-0.1184,- -,- -,0.0285,0.0484,0.0823,0.0883,0.0483,0.0801,0.0924,0.0907,0.0699,0.0744,0.1047,0.0657,0.0550,0.0613,0.0750,0.0113,-0.0722,-0.0609,-0.0048,-0.0156,0.0094,0.0240,0.0541,0.0838,0.0411,0.0334,0.0588,0.0197,0.0481,0.1450
22,Income Tax expense (Gain),100000,1900000,1400000,-200000,-1500000,- -,- -,100000,300000,2493542,3073000,2147000,3892000,5158000,7536000,5694000,6721000,11062000,7805000,7304000,8983000,12073000,1966000,-10615000,-6924000,-948000,-2733000,1416000,3756000,8721000,13492000,6671000,-24268000,7347000,2215000,5582000,25989000
23,Net Income,1500000,2600000,2400000,-900000,-6800000,-5300000,-2600000,1800000,3100000,3740310,5014000,3312000,6300000,8073000,11269000,8658000,10071000,16593000,11490000,10588000,13139000,17964000,2653000,-18765000,-10847000,-655000,-2857000,2179000,5915000,13491000,21436000,11101000,38899000,23994000,7900000,17827000,76516000
24,Net Income ratio,0.0765,0.0613,0.0349,-0.0119,-0.0970,-0.0922,-0.0396,0.0270,0.0442,0.0491,0.0547,0.0293,0.0495,0.0564,0.0543,0.0422,0.0446,0.0628,0.0391,0.0326,0.0364,0.0449,0.0065,-0.0461,-0.0372,-0.0020,-0.0080,0.0057,0.0147,0.0328,0.0514,0.0256,0.0888,0.0450,0.0154,0.0366,0.1082
25,EPS,0.13,0.17,0.12,-0.04,-0.35,-0.27,-0.13,0.07,0.11,0.12,0.16,0.11,0.19,0.24,0.33,0.25,0.29,0.39,0.25,0.23,0.30,0.44,0.06,-0.48,-0.29,-0.02,-0.08,0.06,0.17,0.42,0.73,0.42,1.52,0.97,0.34,0.77,3.40
26,EPS Diluted,0.13,0.17,0.12,-0.04,-0.35,-0.27,-0.13,0.07,0.11,0.12,0.16,0.11,0.19,0.24,0.33,0.25,0.29,0.39,0.25,0.23,0.30,0.44,0.06,-0.48,-0.29,-0.02,-0.08,0.06,0.17,0.42,0.73,0.42,1.52,0.97,0.34,0.77,3.40
27,Weighted Average Shares Outstanding,11111112,15072464,19591836,20000000,19290780,19478260,19672132,24347826,18947368,30080108,30644000,30312000,32768000,33224000,33572000,33820000,34088000,42676000,45164000,45192000,43864000,41184000,40952000,38732000,37644000,37660000,36224000,34800000,34648000,31960000,29152000,26508000,25324000,24332000,23328000,23008000,22348022
28,Weighted Average Shares Outstanding Diluted,11111112,15072464,19591836,20000000,19290780,19478260,19672132,24347826,28000000,30088068,30736000,30616132,33160000,33776000,33952000,34072000,34200000,42860000,45304000,45296000,43904000,41208000,40956000,38732000,37664000,37660000,36224000,34808000,34728000,32136000,29300000,26596000,25592000,24636000,23520000,23072000,22528000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798287/000079828707000007/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828708000005/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828709000004/0000798287-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828710000005/0000798287-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828711000006/form10k_2010.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828712000005/0000798287-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828713000007/0000798287-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774914004185/ptsi20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774915005163/ptsi20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774916027684/0001437749-16-027684-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774917004478/0001437749-17-004478-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774918004278/0001437749-18-004278-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774919004644/0001437749-19-004644-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774920005139/0001437749-20-005139-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774921005114/0001437749-21-005114-index.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774922005995/0001437749-22-005995-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,300000,4400000,1800000,3500000,600000,300000,200000,200000,3600000,4077854,7629000,5941000,6401000,5963000,3557000,485000,896000,30766000,3064000,19659000,1129000,1040000,407000,858000,9870000,13774000,180000,507000,1172000,27649000,157000,137000,224000,282000,318000,337000,18509000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,622790,691000,- -,- -,- -,- -,- -,- -,- -,5492000,8792000,10999000,14437000,17269000,12540000,14921000,18273000,20264000,17320000,20975000,24895000,24575000,27621000,26664000,27549000,29521000,27941000,39424000
33,Cash and Short-Term Investments,300000,4400000,1800000,3500000,600000,300000,200000,200000,3600000,4700644,8320000,5941000,6401000,5963000,3557000,485000,896000,30766000,8556000,28451000,12128000,15477000,17676000,13398000,24791000,32047000,20444000,17827000,22147000,52544000,24732000,27758000,26888000,27831000,29839000,28278000,57933000
34,Net Receivables,2600000,7000000,12000000,8100000,5300000,7700000,6900000,7500000,8200000,9134663,12919000,17102000,19033000,20917000,24035000,24559000,25464000,35733000,48526000,49790000,67050000,63328000,65945000,45427000,47929000,54156000,50470000,53929000,62374000,64959000,58027000,61863000,63582000,69040000,66057000,83726000,129223000
35,Inventory,- -,- -,- -,3200000,4000000,1400000,- -,- -,- -,1164262,1691000,382000,1978000,458000,60000,71000,255000,411000,653000,913000,749000,819000,905000,858000,750000,832000,1658000,1770000,1498000,1306000,1890000,1900000,1660000,1461000,1327000,1345000,1456000
36,Other Current Assets,600000,1000000,2100000,2700000,2100000,400000,2000000,2700000,5700000,3448712,3341000,4080000,3445000,4384000,4786000,3827000,4452000,3774000,6771000,14862000,15095000,14928000,14978000,9443000,6659000,9518000,10993000,11274000,6621000,10110000,8052000,8777000,10112000,10393000,8669000,10172000,10962000
37,Total Current Assets,3500000,12400000,15900000,17500000,12000000,9800000,9100000,10400000,17500000,18448281,26271000,27505000,30857000,31722000,32438000,28942000,31067000,70684000,64506000,94016000,95022000,94552000,99504000,69126000,80129000,96553000,83565000,84800000,92640000,128919000,92701000,100298000,102242000,108725000,105892000,123521000,199574000
38,PP&E,12700000,28900000,51100000,44500000,34900000,25400000,19400000,19600000,36100000,44983579,57289000,62880000,66190000,91431000,126120000,125328000,141712000,147372000,182730000,174143000,181495000,203314000,204243000,220564000,178780000,165377000,193130000,230439000,234225000,193247000,262852000,277376000,286944000,354587000,387275000,450825000,384179000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,602214,1140000,2511000,2400000,2277000,8911000,8506000,8102000,8102000,15413000,15413000,15413000,15413000,15413000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,900000,900000,- -,800000,800000,700000,700000,600000,- -,1059000,1178000,737000,297000,261000,131000,- -,- -,- -,654000,417000,217000,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,900000,900000,- -,800000,800000,700000,700000,600000,602214,2199000,3689000,3137000,2574000,9172000,8637000,8102000,8102000,15413000,16067000,15830000,15630000,15430000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,100000,900000,100000,- -,- -,- -,1900000,1289824,1049000,821000,504000,744000,1231000,1611000,1635000,2162000,2200000,1123000,1094000,750000,727000,671000,1747000,2410000,2398000,2430000,2437000,2439000,2442000,2392000,2999000,2754000,4842000,4246000,3628000
45,Total Non-Current Assets,12800000,29800000,52100000,45400000,35800000,26200000,20100000,20300000,38600000,46875617,60537000,67390000,69831000,94749000,136523000,135576000,151449000,157636000,200343000,191333000,198419000,219694000,220400000,221235000,180527000,167787000,195528000,232869000,236662000,195686000,265294000,279768000,289943000,357341000,392117000,455071000,387807000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,16300000,42200000,68000000,62900000,47800000,36000000,29200000,30700000,56100000,65323898,86808000,94895000,100688000,126471000,168961000,164518000,182516000,228320000,264849000,285349000,293441000,314246000,319904000,290361000,260656000,264340000,279093000,317669000,329302000,324605000,357995000,380066000,392185000,466066000,498009000,578592000,587381000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,8400000,3800000,2800000,4983179,6729000,5583000,9233000,8494000,11210000,10610000,7800000,15725000,22295000,28702000,22055000,38510000,25346000,20269000,14492000,17092000,23803000,19025000,27970000,41695000,17791000,16088000,19645000,20002000,16597000,46102000,43381000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15120000,16849000,15544000,13362000,22271000,17753000,17692000,1017000,2039000,2080000,1859000,1915000,2065000,15928000,10331000,23410000,17438000,39629000,50120000,54631000,51974000,53164000,79544000,75189000,75111000,69027000,49544000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4364000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,224000,131000,- -,- -,- -,- -,68883000,- -
52,Other Current Liabilities,5600000,10000000,22300000,20000000,23700000,19200000,9300000,11700000,10200000,13183812,3457000,3882000,4835000,5178000,7674000,8074000,8722000,9601000,12497000,16990000,17641000,15652000,15440000,15841000,10504000,10643000,11947000,13869000,15136000,18521000,16848000,11972000,11706000,12216000,33137000,-53533000,18478000
53,Total Current Liabilities,5600000,10000000,22300000,20000000,23700000,19200000,17700000,15500000,13000000,18166991,25306000,26314000,29612000,27034000,41155000,36437000,34214000,26343000,36831000,47772000,41555000,56077000,42851000,52038000,35327000,51145000,53188000,72523000,93226000,115071000,86744000,81224000,110895000,107407000,124845000,130479000,111403000
54,Long-Term Debt,7700000,12400000,22400000,20700000,10100000,4900000,2200000,4100000,28600000,32206125,37966000,34938000,28226000,44816000,55617000,42073000,47023000,20175000,26740000,23225000,39693000,21205000,44172000,35492000,27202000,17201000,44135000,78583000,70366000,52293000,99223000,124391000,98995000,157315000,174187000,228330000,172733000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,100000,1200000,2200000,2000000,500000,800000,800000,800000,1000000,1917198,4489000,6569000,9376000,13164000,18693000,23798000,28682000,37350000,43708000,45375000,47197000,51902000,53504000,47354000,51000000,48046000,44293000,44368000,49764000,57125000,70474000,80293000,54691000,61897000,63522000,68883000,86715000
57,Other Non-Current Liabilities,-100000,100000,- -,- -,100000,3300000,-100000,- -,-100000,- -,815000,762000,312000,- -,131000,- -,- -,- -,695000,434000,234000,34000,- -,- -,- -,- -,- -,- -,- -,131000,- -,- -,- -,- -,1480000,919000,420000
58,Total Non-Current Liabilities,7700000,13700000,24600000,22700000,10700000,9000000,2900000,4900000,29500000,34123323,43270000,42269000,37914000,57980000,74441000,65871000,75705000,57525000,71143000,69034000,87124000,73141000,97676000,82846000,78202000,65247000,88428000,122951000,120130000,109549000,169697000,204684000,153686000,219212000,239189000,298132000,259868000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2097000,1546000,- -
61,Total Liabilities,13300000,23700000,46900000,42700000,34400000,28200000,20600000,20400000,42500000,52290314,68576000,68583000,67526000,85014000,115596000,102308000,109919000,83868000,107974000,116806000,128679000,129218000,140527000,134884000,113529000,116392000,141616000,195474000,213356000,224620000,256441000,285908000,264581000,326619000,364034000,428611000,371271000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,49379,50000,81000,83000,83000,84000,85000,86000,113000,113000,113000,113000,114000,114000,114000,114000,114000,114000,114000,114000,115000,115000,115000,115000,116000,117000,117000,234000
64,Retained Earnings,2900000,5600000,8100000,7300000,400000,-5100000,-8100000,-6600000,-3900000,-139036,4875000,8187000,14487000,22560000,33829000,42487000,52558000,69151000,80641000,91229000,104368000,122332000,124985000,106220000,95373000,94718000,91861000,76637000,82552000,96043000,117479000,128580000,167669000,199107000,207007000,224834000,301350000
65,Other Comprehensive Income/Loss,-2000000,-5600000,-13000000,-15700000,-17100000,-21600000,-27500000,-25600000,-21100000,-19316030,-21540000,-29714000,-37382000,-42429000,-51382000,-59308000,-70190000,-85787000,-86689000,-83029000,2000000,3000000,2000000,1000000,3000000,4000000,5000000,4000000,6000000,6000000,5000000,7000000,7000000,-137738000,-175887000,- -,- -
66,Other Total Stockholders Equity,2100000,18500000,26000000,28600000,30100000,34500000,44200000,42500000,38600000,32439271,34847000,47758000,55974000,61243000,70834000,78946000,90143000,160975000,162810000,160230000,58281000,59582000,52278000,48143000,48640000,49116000,40502000,41444000,27280000,-2173000,-21040000,-41537000,-47180000,77962000,102738000,-74970000,- -
67,Total Stockholders Equity,3000000,18500000,21100000,20200000,13400000,7800000,8600000,10300000,13600000,13033584,18232000,26312000,33162000,41457000,53365000,62210000,72597000,144452000,156875000,168543000,164762000,185028000,179377000,155477000,147127000,147948000,137477000,122195000,115946000,99985000,101554000,94158000,127604000,139447000,133975000,149981000,216110000
68,Total Liabilities And Stockholders Equity,16300000,42200000,68000000,62900000,47800000,36000000,29200000,30700000,56100000,65323898,86808000,94895000,100688000,126471000,168961000,164518000,182516000,228320000,264849000,285349000,293441000,314246000,319904000,290361000,260656000,264340000,279093000,317669000,329302000,324605000,357995000,380066000,392185000,466066000,498009000,578592000,587381000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,16300000,42200000,68000000,62900000,47800000,36000000,29200000,30700000,56100000,65323898,86808000,94895000,100688000,126471000,168961000,164518000,182516000,228320000,264849000,285349000,293441000,314246000,319904000,290361000,260656000,264340000,279093000,317669000,329302000,324605000,357995000,380066000,392185000,466066000,498009000,578592000,587381000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/798287/000079828707000007/form10k_2006.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828708000005/form10k_2007.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828709000004/0000798287-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828710000005/0000798287-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828711000006/form10k_2010.htm,https://www.sec.gov/Archives/edgar/data/798287/000079828712000005/0000798287-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/798287/000079828713000007/0000798287-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774914004185/ptsi20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774915005163/ptsi20141231_10k.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774916027684/0001437749-16-027684-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774917004478/0001437749-17-004478-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774918004278/0001437749-18-004278-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774919004644/0001437749-19-004644-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774920005139/0001437749-20-005139-index.html,https://www.sec.gov/Archives/edgar/data/798287/000143774921005114/0001437749-21-005114-index.htm,https://www.sec.gov/Archives/edgar/data/798287/000143774922005995/0001437749-22-005995-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-2600000,1800000,3100000,3740310,5014000,3312000,6300000,8073000,11269000,8658000,10071000,16593000,11490000,10588000,13139000,17964000,2653000,-18765000,-10847000,-655000,-2857000,2179000,5915000,13491000,21436000,11101000,38899000,23994000,7900000,17827000,76516000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,-6000000,-3100000,-4700000,7141533,9428000,11999000,12995000,14003000,18392000,18806000,20300000,24715000,26601000,30016000,31376000,33929000,38759000,37460000,37742000,27035000,34163000,38298000,39088000,36296000,32346000,39114000,42274000,49387000,55107000,56168000,13586000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,200000,1333089,2545000,1888000,2772000,3835000,5429000,4638000,5420000,9344000,7175000,6825000,1411000,2305000,1749000,- -,- -,- -,- -,1365000,3597000,7512000,12901000,6658000,-24630000,7206000,1625000,5362000,86715000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,346000,317000,270000,267000,302000,614000,732000,912000,460000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,3300000,3500000,9600000,-4218710,683710,226000,54000,3443000,-13405000,1222000,4348000,47488000,-16666000,18569000,7223000,-14992000,18178000,-39565000,27714000,606000,-15031000,-18100000,-12863000,14434000,-7891000,13117000,-27727000,9971000,-20271000,11995000,7046171
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,700000,-600000,-700000,-936944,-3013000,-2047000,-1515000,-2261000,2322000,-242000,-1556000,-11516000,-11983000,-1393000,-19236000,3483000,889000,14505000,-3415000,-2232000,1580000,-2837000,-8873000,5109000,1128000,-6725000,-1436000,-5970000,884000,-17835000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1780000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,2900000,-700000,-1000000,2165687,1652000,-2934000,3650000,-739000,920000,-295000,-3927000,7925000,7156000,7202000,-5881000,2219000,1089000,-11007000,136000,108000,4987000,-3369000,-2802000,-1555000,886000,3231000,682000,1731000,-2233000,20880000,43381000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-8600000,-5100000,4500000,281290,965000,1191000,1245000,4688000,-8717000,-7495000,-3147000,44341000,27675000,46244000,53467000,38475000,56653000,17088000,44802000,45408000,30377000,12277000,-586000,13848000,5957000,19074000,-8653000,1318000,-18953000,-6958000,88171
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,12100000,200000,-2000000,4891654,-2392710,-4366000,2877000,-5839000,17870000,-867000,-8694000,-49273000,9335000,-21283000,-29408000,21497000,-16150000,61515000,-22471000,-11982000,18620000,9537000,7116000,-16750000,2466000,-22890000,21046000,-8943000,39024000,-24222000,-183863171
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,6800000,2400000,6200000,12887876,15278000,13059000,24998000,23515000,39555000,32457000,31445000,48867000,37935000,44715000,23741000,60703000,45189000,40645000,32138000,15004000,34895000,33625000,43170000,55253000,61525000,47402000,50476000,82347000,84297000,67590000,- -
