,https://roic.ai/company/CIDM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-14.10,-13.70,-7.00,-11.90,-11.00,-14.00,-13.60,-10.50,-9.50,-6.50,-4.50,-4.60,-4.10,-6.51,-1.92,-0.81,-0.44,-0.34,-0.49
27,Weighted Average Shares Outstanding,302786,482677,966887,1408600,2372976,2557678,2747642,2862415,3079410,3625903,4751716,5708431,7678535,6467978,8049160,23104811,37919754,44004780,127787379
28,Weighted Average Shares Outstanding Diluted,302786,482677,966887,1408600,2372976,2557678,2747642,2862415,3079410,3625903,4751716,5708431,7678535,6467978,8049160,23104811,37919754,44004780,127787379
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173204/000093244007000408/form10ksb_1219472.htm,https://www.sec.gov/Archives/edgar/data/1173204/000093244008000371/0000932440-08-000371-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000093244009000479/0000932440-09-000479-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000093244010000126/0000932440-10-000126-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000144530511001107/0001445305-11-001107-index.html,- -,https://www.sec.gov/Archives/edgar/data/1173204/000117320413000005/0001173204-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000117320414000006/0001173204-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000117320415000008/0001173204-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828016017605/cidm-033116x10k.htm,https://www.sec.gov/Archives/edgar/data/1173204/000162828017006835/0001628280-17-006835-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828018008341/0001628280-18-008341-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828019008761/cidm03311910-k.htm,https://www.sec.gov/Archives/edgar/data/1173204/000162828020010192/0001628280-20-010192-index.htm,https://www.sec.gov/Archives/edgar/data/1173204/000121390021039361/0001213900-21-039361-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,956000,2330000,4779000,36641000,29376000,29655000,26329000,9094000,10748000,17843000,13448000,50215000,18999000,25481000,12566000,17952000,17872000,14294000,16849000
32,Short-Term Investments,- -,- -,- -,24000000,- -,- -,- -,5927000,6480000,9477000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,956000,2330000,4779000,60641000,29376000,29655000,26329000,15021000,17228000,27320000,13448000,50215000,18999000,25481000,12566000,17952000,17872000,14294000,16849000
34,Net Receivables,41000,509000,1497000,3128000,22487000,28045000,17582000,18584000,27085000,32510000,45094000,67785000,70635000,63758000,63656000,49704000,41191000,38295000,23472000
35,Inventory,- -,- -,- -,12000,9000,- -,- -,- -,- -,- -,- -,3164000,3210000,2024000,1137000,792000,673000,582000,166000
36,Other Current Assets,330000,304000,762000,688000,1979000,5175000,5734000,11713000,8492000,3563000,4260000,3310000,14099000,10582000,9091000,5720000,5143000,7891000,2655000
37,Total Current Assets,1327000,3143000,7038000,64469000,53851000,62875000,49645000,45318000,52805000,63393000,62802000,124474000,106943000,101845000,86450000,74168000,64879000,61062000,43142000
38,PP&E,5133000,5865000,14261000,44551000,197452000,269031000,243124000,215814000,224496000,200974000,170511000,134936000,98561000,61740000,33138000,21483000,14047000,9177000,3600000
39,Goodwill,- -,- -,- -,9310000,13249000,14549000,8024000,6261000,5874000,5765000,12739000,25494000,26701000,8701000,8701000,8701000,8701000,8701000,8701000
40,Intangible Assets,2309000,9578000,13700000,3736000,22272000,16369000,14360000,11561000,8640000,466000,19931000,37639000,31784000,25940000,20227000,14653000,9686000,6924000,9860000
41,Intangible Assets,2309000,9578000,13700000,13046000,35521000,30918000,22384000,17822000,14514000,6231000,32670000,63133000,58485000,34641000,28928000,23354000,18387000,15625000,18561000
42,Investments,- -,- -,- -,- -,- -,- -,424000,2284000,- -,1490000,1812000,- -,- -,- -,- -,- -,- -,23433000,6443000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1125000,2589000,2778000,1881000,16461000,10852000,6820000,15909000,15673000,18049000,16263000,23455000,15716000,11172000,2818000,2177000,1526000,1143000,3700000
45,Total Non-Current Assets,8567000,18032000,30739000,59478000,249434000,310801000,272752000,251829000,254683000,226744000,221256000,221524000,172762000,107553000,64884000,47014000,33960000,49378000,32304000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9894000,21175000,37777000,123947000,303285000,373676000,322397000,297147000,307488000,290137000,284058000,345998000,279705000,209398000,151334000,121182000,98839000,110440000,75446000
48,Accounts Payable,792000,1371000,2415000,7523000,22051000,25213000,5992000,2769000,- -,15658000,18289000,36803000,30903000,30866000,33069000,35032000,38393000,50708000,40668000
49,Short-Term Debt,1413000,765000,1847000,1292000,2555000,17087000,25737000,26924000,28728000,35830000,34579000,53658000,57907000,29415000,25721000,5287000,43319000,49284000,9829000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000,258000,302000,224000,347000,619000,352000,322000,453000,-99000
51,Deferred Revenue,76000,755000,884000,768000,8871000,6204000,5535000,5892000,6687000,3677000,3900000,3214000,2760000,2901000,2461000,1821000,1687000,1645000,924000
52,Other Current Liabilities,- -,40000,158000,6035000,8567000,333000,8962000,11163000,16254000,5271000,23531000,35801000,46244000,37651000,40610000,34193000,30314000,26377000,5959000
53,Total Current Liabilities,2281000,2931000,5304000,15618000,42044000,48837000,46226000,46748000,51669000,60436000,80299000,129476000,137814000,100833000,101861000,76333000,113713000,128014000,57380000
54,Long-Term Debt,1730000,5589000,12682000,1948000,164196000,250689000,225957000,216471000,242246000,222699000,203462000,188304000,146075000,170176000,114444000,63005000,19132000,- -,2165000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,1057000,1828000,9788000,11451000,10931000,12519000,10098000,7532000,5324000,3842000,2357000,919000,- -
56,Deferred Tax Liabilities,- -,1520000,1210000,898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1344000,1545000,7534000,7002000,6240000,6143000,10370000,20808000,1998000,7024000,6680000,5472000,4855000,3884000,408000,306000,205000,794000,19000
58,Total Non-Current Liabilities,3074000,8654000,21426000,9848000,170436000,256832000,237384000,239107000,254032000,241174000,221073000,206295000,161028000,181592000,120176000,67153000,21694000,1713000,2184000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,252000,35000,6058000,5978000,5903000,5814000,6007000,249000,61000,5430000,4518000,6086000,5495000,4225000,66000,- -,- -,1277000,100000
61,Total Liabilities,5355000,11585000,26730000,25466000,212480000,305669000,283610000,285855000,305701000,301610000,301372000,335771000,298842000,282425000,222037000,143486000,135407000,129727000,59564000
62,Preferred Stock,2911000,- -,- -,- -,- -,- -,3476000,3583000,3250000,3357000,3466000,3559000,3559000,3559000,3559000,3559000,3559000,3559000,3559000
63,Common Stock,3000,8000,10000,23000,25000,27000,28000,29000,32000,38000,48000,76000,77000,79000,12000,35000,36000,62000,164000
64,Retained Earnings,-9894000,-14699000,-21487000,-38299000,-65005000,-100692000,-138110000,-168018000,-197648000,-221044000,-242466000,-268686000,-300350000,-342448000,-360415000,-379225000,-395814000,-410904000,-474080000
65,Other Comprehensive Income/Loss,-11000,-3888000,-4367000,-8057000,-18662000,-45689000,-77955000,-67000,-95000,- -,-200008000,-69000,-57000,-64000,-38000,-38000,10000,92000,-68000
66,Other Total Stockholders Equity,11530000,28159000,36891000,144814000,174447000,214361000,251348000,175765000,196248000,206176000,421646000,275347000,277812000,267032000,287393000,354620000,356928000,389181000,487669000
67,Total Stockholders Equity,4539000,9580000,11047000,98481000,90805000,68007000,38787000,11292000,1787000,-11473000,-17314000,10227000,-18959000,-71842000,-69489000,-21049000,-35281000,-18010000,17244000
68,Total Liabilities And Stockholders Equity,9894000,21165000,37777000,123947000,303285000,373676000,322397000,297147000,307488000,290137000,284058000,345998000,279883000,210583000,152548000,122437000,100126000,111717000,76808000
69,Minority Interest,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-178000,-1185000,-1214000,-1255000,-1287000,-1277000,-1362000
70,Total Liabilities & Equity,9894000,21175000,37777000,123947000,303285000,373676000,322397000,297147000,307488000,290137000,284058000,345998000,279705000,209398000,151334000,121182000,98839000,110440000,75446000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173204/000093244007000408/form10ksb_1219472.htm,https://www.sec.gov/Archives/edgar/data/1173204/000093244008000371/0000932440-08-000371-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000093244009000479/0000932440-09-000479-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000093244010000126/0000932440-10-000126-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000144530511001107/0001445305-11-001107-index.html,- -,https://www.sec.gov/Archives/edgar/data/1173204/000117320413000005/0001173204-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000117320414000006/0001173204-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000117320415000008/0001173204-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828016017605/cidm-033116x10k.htm,https://www.sec.gov/Archives/edgar/data/1173204/000162828017006835/0001628280-17-006835-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828018008341/0001628280-18-008341-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828019008761/cidm03311910-k.htm,https://www.sec.gov/Archives/edgar/data/1173204/000162828020010192/0001628280-20-010192-index.htm,https://www.sec.gov/Archives/edgar/data/1173204/000121390021039361/0001213900-21-039361-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,-3404000,-4805000,-6788000,-16812000,-25999000,-35687000,-37368000,-29508000,-29236000,-23040000,-21066000,-25864000,-31308000,-41742000,-15129000,-18454000,-16233000,-14734000,-62820000
74,Depreciation and Amortization,1687000,2810000,3681000,5237000,18312000,34165000,36642000,36672000,37963000,39787000,39228000,41957000,43383000,43196000,33440000,17992000,13751000,9392000,6919000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5019000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,945000,1481000,2265000,3418000,2279000,2514000,2197000,1832000,1726000,2279000,1576000,543000,2892000
77,Change in Working Capital,576000,1166000,1522000,47117000,-37044000,2231000,-10619000,-4849000,2566000,1821000,-20454000,12495000,-25869000,31883000,-16423000,13246000,-46669000,-18118000,52714000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,10670000,-1042000,-6843000,-10410000,860000,-12979000,-2317000,5988000,-2186000,14870000,1149000,-33000,13814000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-813000,-146000,286000,511000,737000,211000,495000,251000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-954000,212000,1734000,48851000,11807000,14038000,3419000,-1430000,1136000,2957000,-17497000,-5002000,-30871000,1012000,-15411000,-2165000,-48834000,-66952000,-14238000
82,Other Non-Cash Items,381000,1150000,-1673000,-40799000,25541000,-1152000,44218000,6152000,16517000,17952000,34401000,8492000,20808000,-9665000,28085000,7334000,58663000,30679000,-19712000
83,Cash Provided by Operating Activities,-760000,321000,-3258000,-5257000,-19190000,-443000,33818000,9948000,30075000,39938000,29369000,39594000,9211000,25504000,31699000,22397000,11088000,7762000,-20007000
84,CAPEX,-327000,-279000,-1932000,-26692000,-156507000,-96757000,-23735000,-15067000,-43923000,-18589000,-9600000,-3509000,-2436000,-1389000,-486000,-931000,-1970000,-1247000,-2609000
85,Acquisitions Net,-2309000,-3067000,-3394000,- -,-3163000,-171000,- -,- -,- -,6271000,-3127000,-48500000,3633000,- -,- -,- -,- -,- -,815000
86,Purchases of Investments,- -,- -,- -,-24180000,-9000000,-6075000,- -,-11361000,-4676000,-7400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,33393000,6148000,- -,3446000,6115000,2403000,9477000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1000,-248000,-599000,-231000,- -,- -,-1703000,2750000,800000,-2194000,-4124000,-2153000,-865000,-8000,-5000,-6000,-553000,-10000,-2461000
89,Cash Used for Investing Activites,-2635000,-3594000,-5925000,-51103000,-135277000,-96855000,-23735000,-19394000,-41067000,-17315000,-4250000,-52009000,1197000,-1389000,-486000,-931000,-1970000,-1247000,-1710000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-17173000,-76420000,-190818000,-37944000,-232658000,-46273000,-58958000,-60435000,-55640000,-53167000,-24594000,-39493000,-7703000
91,Common Stock Issued,2500000,4780000,5067000,90343000,139000,35000,- -,- -,1141000,7071000,11000000,50212000,- -,- -,- -,28031000,- -,- -,42652000
92,Common Stock Repurchased,- -,- -,-172000,- -,- -,- -,-755000,-6265000,-66000,- -,- -,- -,- -,-2667000,- -,-163000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,850000,-133000,6737000,-2121000,147063000,97542000,4519000,85397000,202389000,15345000,192144000,45243000,17334000,45469000,11512000,9219000,15396000,29400000,-10677000
95,Cash Used/Provided by Financing Activities,3350000,4647000,11632000,88222000,147202000,97577000,-13409000,2712000,12646000,-15528000,-29514000,49182000,-41624000,-17633000,-44128000,-16080000,-9198000,-10093000,24272000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-45000,1374000,2449000,31862000,-7265000,279000,-3326000,-6734000,1654000,7095000,-4395000,36767000,-31216000,6482000,-12915000,5386000,-80000,-3578000,2555000
98,Cash at the End of Period,956000,2330000,4779000,36641000,29376000,29655000,26329000,9094000,10748000,17843000,13448000,50215000,18999000,25481000,12566000,17952000,18872000,15294000,17849000
99,Cash at the Beginning of Period,1001000,956000,2330000,4779000,36641000,29376000,29655000,15828000,9094000,10748000,17843000,13448000,50215000,18999000,25481000,12566000,18952000,18872000,15294000
100,Free Cash Flow,-1087000,42000,-5190000,-31949000,-175697000,-97200000,10083000,-5119000,-13848000,21349000,19769000,36085000,6775000,24115000,31213000,21466000,9118000,6515000,-22616000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1173204/000093244007000408/form10ksb_1219472.htm,https://www.sec.gov/Archives/edgar/data/1173204/000093244008000371/0000932440-08-000371-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000093244009000479/0000932440-09-000479-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000093244010000126/0000932440-10-000126-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000144530511001107/0001445305-11-001107-index.html,- -,https://www.sec.gov/Archives/edgar/data/1173204/000117320413000005/0001173204-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000117320414000006/0001173204-14-000006-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000117320415000008/0001173204-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828016017605/cidm-033116x10k.htm,https://www.sec.gov/Archives/edgar/data/1173204/000162828017006835/0001628280-17-006835-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828018008341/0001628280-18-008341-index.html,https://www.sec.gov/Archives/edgar/data/1173204/000162828019008761/cidm03311910-k.htm,https://www.sec.gov/Archives/edgar/data/1173204/000162828020010192/0001628280-20-010192-index.htm,https://www.sec.gov/Archives/edgar/data/1173204/000121390021039361/0001213900-21-039361-index.htm
102,false,,,,,,,,,,,,,,,,,,,
